simplified	PL	example_PL
见多识广	doświadczony i oczytany	Ten starszy człowiek jest doświadczony i oczytany
见解	pogląd	Ma własny pogląd na ten problem
见闻	doświadczenia z podróży	Podróże poszerzyły jego doświadczenia
见义勇为	bohatersko postąpić w słusznej sprawie	Został pochwalony za bohaterskie postępowanie w słusznej sprawie
践踏	deptać	Nie depcz trawnika
鉴别	rozróżniać	Ekspert potrafi rozróżnić autentyczność tego obrazu
鉴定	identyfikować	Policja identyfikuje odciski palców
鉴于	z uwagi na	Z uwagi na złą pogodę wydarzenie przełożono
间谍	szpieg	Ten film opowiada historię szpiega
间隔	odstęp	Między dwoma spotkaniami jest tygodniowy odstęp
间接	pośredni	Ta polityka będzie miała pośredni wpływ
僵硬	sztywny	Jego uśmiech wyglądał bardzo sztywno
将军	generał	Generał wydał rozkaz
将近	prawie	Ten projekt trwał prawie dwa lata
将就	zadowolić się	Warunki są złe, więc możemy tylko tymczasowo się nimi zadowolić
奖励	nagradzać	Szkoła nagrodziła najlepszych uczniów
奖赏	nagroda	Król dał wojownikowi hojną nagrodę
桨	wiosło	Przewoźnik użył wiosła, żeby skierować łódź do brzegu
降临	zapadać	Noc powoli zapadła nad miastem
交叉	krzyżować się	Dwie drogi krzyżują się tutaj
交代	wyjaśnić	Proszę jasno wyjaśnić zadanie
交涉	negocjować	Obie strony negocjują kwestię odszkodowania
交易	transakcja	Ta transakcja została już zakończona
娇气	wydelikacony	Nie bądź taki wydelikacony, wcale nie jest zimno
焦点	punkt centralny	Problem zatrudnienia stał się punktem centralnym dyskusji
焦急	zaniepokojony	Matka z niepokojem czekała na powrót dziecka
侥幸	szczęśliwym trafem	Szczęśliwym trafem uniknął nieszczęścia
搅拌	mieszać	Proszę równomiernie wymieszać ciasto
缴纳	opłacać	Mieszkańcy muszą terminowo opłacać rachunki za wodę
角落	kąt	Kot schował się w kącie pokoju
教养	wychowanie	Dobre wychowanie widać w szczegółach
较量	zmierzyć się	Dwie silne drużyny wkrótce się zmierzą
接连	pod rząd	Otrzymał trzy e-maile pod rząd
揭露	ujawniać	Dziennikarz ujawnił problem bezpieczeństwa żywności
皆	wszyscy	Te przepisy są wszystkim znane
阶层	warstwa społeczna	Różne warstwy społeczne mają różne potrzeby
截止	zamknąć	Rejestracja zostanie zamknięta jutro po południu
截至	do	Do dziś zapisało się już dwieście osób
杰出	wybitny	Ona jest wybitną naukowczynią
竭尽全力	dołożyć wszelkich starań	Dołożymy wszelkich starań, aby wykonać zadanie
结晶	owoc wysiłku	Ten wynik jest owocem wielu lat wysiłku
结局	zakończenie	Zakończenie historii było nieoczekiwane
结算	rozliczyć	Klient zażądał rozliczenia opłat pod koniec miesiąca
节制	umiarkowanie	W jedzeniu trzeba zachować umiarkowanie
节奏	rytm	Ta piosenka ma szybki rytm
解除	usunąć	Firma usunęła alarm bezpieczeństwa
解放	wyzwolić	Reforma wyzwoliła siły produkcyjne
解雇	zwolnić	Szef postanowił zwolnić tego pracownika
解剖	anatomia	Studenci medycyny uczą się anatomii
解散	rozwiązać	Po zakończeniu spotkania grupa została rozwiązana
解体	rozpaść się	Ten sojusz ostatecznie się rozpadł
借鉴	czerpać z doświadczeń	Możemy czerpać z zagranicznych doświadczeń
借助	z pomocą	Z pomocą mapy znalazł trasę
戒备	czujność	Obszar przy granicy utrzymuje wysoką czujność
界限	granica	Praca i życie potrzebują wyraźnych granic
津津有味	z wielkim zainteresowaniem	Dzieci słuchały opowieści z wielkim zainteresowaniem
金融	finanse	Rynek finansowy dziś mocno się waha
紧迫	pilny	Czas jest pilny, musimy działać natychmiast
锦上添花	dodać blasku czemuś dobremu	Ten prezent naprawdę dodał blasku czemuś już dobremu
晋升	awansować	W zeszłym roku awansował na kierownika działu
浸泡	namaczać	Fasolę trzeba namoczyć przez noc
近来	ostatnio	Ostatnio pogoda bardzo się zmienia
进而	następnie	Najpierw zrozum potrzeby, a następnie opracuj plan
进攻	atakować	Drużyna w drugiej połowie wzmocniła atak
进化	ewolucja	Organizmy ewoluują wraz ze środowiskiem
进展	postęp	Projekt obecnie postępuje sprawnie
兢兢业业	sumienny	Pracował sumiennie przez trzydzieści lat
惊动	zaalarmować	Głośny huk zaalarmował okolicznych mieszkańców
惊奇	zadziwiony	Dzieci z zadziwieniem oglądały pokaz magii
惊讶	zaskoczony	Jego odpowiedź mnie zaskoczyła
精打细算	skrupulatnie planować	Ona zawsze skrupulatnie planuje codzienne wydatki
精华	esencja	Ten artykuł podsumowuje esencję teorii
精简	uprościć	Firma postanowiła uprościć strukturę zarządzania
精密	precyzyjny	To urządzenie jest bardzo precyzyjne
精确	dokładny	Dane muszą być dokładne do dwóch miejsc po przecinku
精通	biegle znać	On biegle zna trzy języki obce
精心	starannie	Matka starannie przygotowała kolację
精益求精	dążyć do coraz większej doskonałości	Dobrzy rzemieślnicy zawsze dążą do coraz większej doskonałości
精致	wytworny	Ten prezent jest bardzo wytwornie zapakowany
经费	fundusze	Fundusze na badania zostały już zatwierdzone
经纬	długość i szerokość geograficzna	Na mapie zaznaczono długość i szerokość geograficzną
茎	łodyga	Łodyga rośliny podtrzymuje liście
井	studnia	Przy wejściu do wsi jest stara studnia
警告	ostrzegać	Nauczyciel ostrzegł uczniów, żeby nie ściągali
警惕	zachować czujność	Musimy zachować czujność wobec oszustw internetowych
颈椎	kręgi szyjne	Długie pochylanie głowy szkodzi kręgom szyjnym
境界	poziom	Jego malarstwo osiągnęło nowy poziom
敬礼	salutować	Żołnierz salutował fladze narodowej
敬业	zaangażowany w pracę	Pracuje sumiennie i jest bardzo zaangażowana w pracę
竞赛	konkurs	Szkoła zorganizowała konkurs matematyczny
竞选	kandydować	Przygotowuje się, żeby kandydować na burmistrza
镜头	obiektyw	Fotograf wyregulował obiektyw
纠纷	spór	Obie strony rozwiązały spór przez mediację
纠正	poprawiać	Nauczyciel w porę poprawił błąd wymowy
酒精	alkohol	Lekarz zdezynfekował ranę alkoholem
就近	w pobliżu	Uczniowie mogą chodzić do szkoły w pobliżu
就业	zatrudnienie	Rząd wprowadził politykę wspierającą zatrudnienie
就职	objąć stanowisko	Nowy kierownik oficjalnie obejmie stanowisko w przyszłym tygodniu
救济	pomoc doraźna	Ofiary katastrofy otrzymały pomoc doraźną na czas
居民	mieszkaniec	Okoliczni mieszkańcy sprzeciwiają się zanieczyszczeniu hałasem
居住	mieszkać	Mieszkają tutaj od dziesięciu lat
拘留	zatrzymać	Policja zgodnie z prawem zatrzymała podejrzanego
拘束	skrępowany	Przy przyjaciołach nie trzeba czuć się skrępowanym
鞠躬	ukłonić się	Aktorzy ukłonili się publiczności w podziękowaniu
局部	miejscowy	Lekarz zastosował tylko znieczulenie miejscowe
局面	sytuacja	Negocjacje poprawiły napiętą sytuację
局势	sytuacja	Sytuacja międzynarodowa nadal jest złożona
局限	ograniczenie	Ta metoda ma wyraźne ograniczenia
举动	zachowanie	Jego zachowanie bardzo wszystkich poruszyło
举世瞩目	przyciągać uwagę całego świata	Ten projekt osiągnął sukces przyciągający uwagę całego świata
举足轻重	odgrywać decydującą rolę	Ta firma odgrywa decydującą rolę w branży
咀嚼	żuć	Podczas jedzenia trzeba powoli żuć
沮丧	przygnębiony	Po porażce w meczu był bardzo przygnębiony
剧本	scenariusz	Reżyser poprawia scenariusz
剧烈	gwałtowny	Ziemia gwałtownie zadrżała
据悉	jak podano	Jak podano, spotkanie zostanie przesunięte na przyszły tydzień
聚精会神	skupić uwagę	Dzieci słuchały lekcji w pełnym skupieniu
卷	zwijać	Zwinął mapę i włożył ją do torby
倔强	uparty	To dziecko ma bardzo uparty charakter
决策	decyzja	Zarząd omawia ważną decyzję
绝望	rozpacz	Po porażce przez pewien czas czuł rozpacz
觉悟	świadomość	To doświadczenie podniosło jego świadomość
觉醒	budzić się	Świadomość ekologiczna społeczeństwa się budzi
军队	wojsko	Wojsko szybko dotarło do rejonu katastrofy
君子	człowiek szlachetny	Człowiek szlachetny powinien być spójny w słowach i czynach
卡通	kreskówka	Dziecko lubi oglądać filmy kreskówkowe
开采	wydobywać	Ta firma odpowiada za wydobywanie surowców
开除	wydalić	Szkoła postanowiła wydalić ucznia, który ściągał
开阔	otwarty	Ze szczytu góry widok był bardzo otwarty
开朗	pogodny	Ma pogodny charakter i wielu przyjaciół
开明	otwarty	Postawa rodziców jest bardzo otwarta
开辟	uruchomić	Miasto uruchomiło nową linię autobusową
开拓	rozwijać	Firma planuje rozwijać rynki zagraniczne
开展	rozpocząć	Szkoła rozpoczęła działania z zakresu edukacji bezpieczeństwa
开支	wydatki	Miesięczne wydatki rodziny wzrosły
刊登	opublikować	Gazeta opublikowała jego artykuł
刊物	czasopismo	To czasopismo ukazuje się raz w miesiącu
勘探	badania poszukiwawcze	Ekipa inżynieryjna prowadzi badania poszukiwawcze wód podziemnych
侃侃而谈	mówić swobodnie	Na spotkaniu mówił swobodnie i pewnie
砍伐	wycinać	Zabrania się dowolnego wycinania lasów
看待	traktować	Musimy traktować ten problem obiektywnie
慷慨	hojny	Hojnie przekazał nagrodę
抗议	sprzeciw	Mieszkańcy wyrażają sprzeciw wobec budowy nowej fabryki
考察	zbadać	Eksperci pojechali na miejsce zbadać środowisko
考古	archeologia	Zespół archeologiczny odkrył starożytne groby
考核	oceniać	Firma co roku ocenia wyniki pracowników
考验	próba	Ten kryzys był próbą możliwości zespołu
靠拢	zbliżyć się	Członkowie zespołu zbliżyli się do środka
磕	uderzyć się	Przez nieuwagę uderzył się o róg stołu
科目	przedmiot	Matematyka jest jego ulubionym przedmiotem
可观	znaczny	Ta inwestycja przyniosła znaczne zyski
可口	smaczny	Dania w tej restauracji są bardzo smaczne
可恶	odrażający	Takie oszustwo jest naprawdę odrażające
可行	wykonalny	Ten plan jest zasadniczo wykonalny
渴望	pragnąć	Dzieci pragną więcej możliwości
克制	powściągać	Podczas sporu trzeba powściągać emocje
刻不容缓	nie cierpi zwłoki	Ochrona źródeł wody nie cierpi zwłoki
客户	klient	Klient jest bardzo zadowolony z obsługi
课题	temat	Ten temat zasługuje na głębsze badania
啃	obgryzać	Dziecko obgryza kawałek kukurydzy
恳切	szczery	Szczerze prosił wszystkich o pomoc
坑	dół	Przy drodze jest głęboki dół
空洞	pusty	Treść tego raportu jest pusta
空前绝后	bezprecedensowy	Ten występ można nazwać bezprecedensowym
空想	fantazja	Sama fantazja nie rozwiąże problemu
空虚	pustka	Po okresie zajęć poczuł pustkę
孔	otwór	W ścianie jest mały otwór
恐怖	przerażający	Atmosfera tego filmu jest przerażająca
恐吓	zastraszać	Druga strona groźbami zastraszała świadka
恐惧	lęk	Ciemność wywołuje u dziecka lęk
空白	puste miejsce	Proszę podpisać się w pustym miejscu
空隙	szczelina	Między drzwiami a podłogą jest szczelina
口气	ton	Jego ton wypowiedzi jest bardzo twardy
口腔	jama ustna	Lekarz zbadał jego jamę ustną
口头	ustny	Mają tylko ustną umowę
口音	akcent	Jego mandaryński ma lekki akcent
扣	zapiąć	Proszę zapiąć pas bezpieczeństwa
哭泣	płakać	Dziewczynka schowała się w kącie i płakała
枯萎	więdnąć	Brak wody sprawił, że kwiaty zwiędły
枯燥	nużący	Ta praca jest trochę nużąca
苦尽甘来	po trudach przychodzi szczęście	Po wielu latach wytrwałości wreszcie po trudach przyszło szczęście
苦涩	gorzki	Ta herbata lecznicza ma gorzki smak
挎	nosić na ramieniu	Wyszła z domu, niosąc materiałową torbę na ramieniu
跨	przekroczyć	Przekroczył rów i poszedł dalej
快活	wesoły	Dzieci bawiły się wesoło na trawie
宽敞	przestronny	Ta sala lekcyjna jest jasna i przestronna
宽容	tolerancja	Społeczeństwo potrzebuje więcej zrozumienia i tolerancji
款待	gościć	Gospodarz serdecznie gościł przybyszów
款式	fason	Ta odzież ma bardzo nowatorski fason
筐	kosz	Niósł do domu kosz jabłek na plecach
况且	ponadto	Droga jest daleka, ponadto zaraz się ściemni
旷课	wagarować	Nieusprawiedliwione wagary ucznia zostaną odnotowane
框架	ramy	Najpierw trzeba ustalić ramy raportu
矿产	surowce mineralne	Ten region jest bogaty w surowce mineralne
亏待	traktować niesprawiedliwie	Firma nie będzie traktować niesprawiedliwie pracowników, którzy pracują sumiennie
亏损	strata	Fabryka poniosła w tym roku poważną stratę
捆绑	związać	Proszę mocno związać te skrzynie
扩充	rozszerzyć	Szkoła planuje rozszerzyć zbiory biblioteki
扩散	rozprzestrzeniać się	Plotka szybko rozprzestrzeniła się w internecie
扩张	ekspansja	Firma ostrożnie prowadzi ekspansję działalności
啦	partykuła końcowa	Nie martw się, wszystko się ułoży
喇叭	klakson	Nagle zabrzmiał klakson samochodu
蜡烛	świeca	Na torcie urodzinowym stały świece
来历	pochodzenie	Pochodzenie tego zabytku jest niejasne
来源	źródło	Wiadomość musi podawać źródło informacji
栏目	rubryka	Ta rubryka jest emitowana raz w tygodniu
懒惰	leniwy	Leniwość wpływa na efekty nauki
狼狈	żałosny	Po deszczu był cały przemoczony i wyglądał żałośnie
狼吞虎咽	pochłaniać jedzenie	Był strasznie głodny i pochłaniał jedzenie
捞	wyławiać	Rybak wyłowił z rzeki sieć
唠叨	zrzędzić	Matka zawsze zrzędzi o drobiazgi
牢固	solidny	Konstrukcja tego mostu jest bardzo solidna
牢骚	pretensje	Ma mnóstwo pretensji, ale nie chce nic zmienić
乐趣	przyjemność	Czytanie daje jej dużo przyjemności
乐意	chętnie	Chętnie pomogę ci poprawić CV
雷达	urządzenie radarowe	Urządzenie radarowe wykryło samolot w oddali
类似	podobny	Podobne problemy pojawiały się już wcześniej
冷酷	bezwzględny	Jego ton brzmiał bardzo bezwzględnie
冷落	traktować chłodno	Nowy pracownik czuł, że jest traktowany chłodno
冷却	ochłodzić	Maszyna musi najpierw ostygnąć przed naprawą
愣	osłupieć	Po usłyszeniu tej wiadomości osłupiał
黎明	świt	O świcie miasto powoli się budziło
理睬	zwracać uwagę	Złościł się i nie zwracał uwagi na nikogo
理所当然	oczywistość	Nie traktuj pomocy innych jako oczywistości
理直气壮	pewny swojej racji	Dowody były wystarczające, więc mówił pewny swojej racji
理智	rozsądek	W konflikcie trzeba zachować rozsądek
礼节	etykieta	Różne kultury mają różną etykietę
礼尚往来	odwzajemniać uprzejmość	Między sąsiadami ceni się odwzajemnianie uprzejmości
里程碑	kamień milowy	Ten sukces jest kamieniem milowym projektu
例外	wyjątek	Wszyscy muszą uczestniczyć, bez wyjątku
利害	interesy	To dotyczy interesów obu stron
力求	dążyć	Staramy się obniżyć błędy do minimum
力所能及	w miarę możliwości	Proszę zrobić coś w miarę swoich możliwości
力争	starać się	Zespół stara się zakończyć zadanie przed terminem
历代	kolejne pokolenia	Kolejne pokolenia uczonych badały ten problem
历来	od zawsze	To miasto od zawsze przywiązuje wagę do edukacji
立场	stanowisko	Na spotkaniu jasno przedstawił swoje stanowisko
立方	sześcienny	Ten zbiornik ma pojemność trzech metrów sześciennych
立交桥	wiadukt	Ten wiadukt zmniejszył korki
立体	trójwymiarowy	Ten obraz ma silne wrażenie trójwymiarowości
立足	zakorzenić się	Przedsiębiorstwo musi zakorzenić się na lokalnym rynku
粒	ziarenko	Na stole leży kilka ziarenek ryżu
廉洁	uczciwy	Urzędnicy muszą zachować uczciwość
联欢	spotkanie towarzyskie	Uczniowie zorganizowali noworoczne spotkanie towarzyskie
联络	kontaktować się	Proszę jak najszybciej skontaktować się z klientem
联盟	sojusz	Kilka państw utworzyło sojusz handlowy
联想	kojarzyć	To zdjęcie kojarzy mi się z dzieciństwem
连年	przez kolejne lata	Ten region przez kolejne lata doświadczał powodzi
连锁	sieć	Ta firma prowadzi sieć supermarketów
连同	wraz z	Proszę przesłać fakturę wraz z umową
良心	sumienie	Człowiek powinien postępować zgodnie z sumieniem
晾	suszyć	Rozwiesiła ubrania na balkonie, żeby je wysuszyć
谅解	zrozumienie	Mam nadzieję, że zrozumiesz nasze trudności
辽阔	rozległy	Step jest rozległy i nie widać jego końca
列举	wymienić	Nauczyciel wymienił trzy przykłady
临床	kliniczny	Ten lek przechodzi badania kliniczne
淋	zmoknąć	Nie stój zbyt długo na deszczu, bo zmokniesz
吝啬	skąpy	Nigdy nie jest skąpy wobec przyjaciół
伶俐	bystry	Ta dziewczynka jest bardzo bystra
凌晨	nad ranem	Samolot startuje o trzeciej nad ranem
灵感	inspiracja	Muzyka dała mu inspirację twórczą
灵魂	dusza	Wolność jest duszą tego dzieła
灵敏	czuły	To urządzenie reaguje bardzo czule
零星	pojedynczy	Na nocnym niebie widać pojedyncze światła
领会	zrozumieć	Szybko zrozumiał, co nauczyciel miał na myśli
领事馆	konsulat	Poszedł do konsulatu załatwić wizę
领土	terytorium	Każde państwo ceni integralność terytorium
领悟	pojąć	Po porażce pojął, czym jest odpowiedzialność
领先	prowadzić	Ich technologia obecnie prowadzi w branży
领袖	przywódca	Ten przywódca cieszy się wielkim szacunkiem ludzi
溜	wymknąć się	Pies wymknął się przez szparę w drzwiach
流浪	wędrować	W młodości wędrował po różnych miejscach
流露	ujawniać	Na jej twarzy ujawniła się radość
流氓	chuligan	Policja złapała kilku ulicznych chuliganów
流通	krążyć	Ta waluta kiedyś krążyła lokalnie
留恋	żal opuszczać	Przy ukończeniu szkoły wszystkim było żal opuszczać kampus
留念	na pamiątkę	Zrobiliśmy zdjęcie przy bramie szkoły na pamiątkę
留神	uważać	Przechodząc przez ulicę, koniecznie trzeba uważać
聋哑	głuchoniemy	Szkoła zapewnia pomoc dzieciom głuchoniemym
隆重	uroczysty	Konferencja odbyła się uroczyście w auli
垄断	monopolizować	Monopolizacja szkodzi konkurencji rynkowej
笼罩	spowijać	Gęsta mgła spowijała całą wieś
搂	objąć	Matka delikatnie objęła dziecko
炉灶	kuchenka	Kuchenkę w kuchni trzeba wyczyścić
轮船	statek	Statek powoli odpłynął z portu
轮廓	kontur	Kontur odległych gór był bardzo wyraźny
轮胎	opona	Opony samochodu trzeba wymienić
论坛	platforma dyskusyjna	Ekspert wygłosił przemówienie na platformie dyskusyjnej
论证	uzasadniać	Raport musi dalej uzasadnić swoje stanowisko
啰唆	gadać za dużo	Nie gadaj za dużo, przejdź od razu do sedna
络绎不绝	nieprzerwany strumień	Turyści przybywali do starego miasta nieprzerwanym strumieniem
落成	ukończyć budowę	Nowa hala sportowa zostanie jutro oficjalnie ukończona
落实	wdrażać	Spotkanie wymaga jak najszybszego wdrożenia nowej polityki
屡次	wielokrotnie	Wielokrotnie przypominał wszystkim o bezpieczeństwie
履行	wypełniać	Obie strony muszą wypełniać zobowiązania umowne
掠夺	grabież	Wojna spowodowała grabież zasobów
嘛	partykuła oczywistości	Ta sprawa jest przecież prosta
麻痹	odrętwienie	Długotrwałe powodzenie łatwo prowadzi do odrętwienia czujności
麻木	zdrętwiały	Zimno sprawiło, że palce mu zdrętwiały
麻醉	znieczulenie	Przed operacją lekarz podał pacjentowi znieczulenie
码头	nabrzeże	Statek towarowy zacumował przy nabrzeżu
蚂蚁	mrówka	Mrówki przenoszą jedzenie
埋伏	zasadzka	Żołnierze urządzili zasadzkę w dolinie
埋没	zmarnować	Nie pozwól, żeby talent został zmarnowany
埋葬	pochować	Mieszkańcy wioski pochowali starca na zboczu
脉搏	puls	Pielęgniarka mierzy mu puls
迈	zrobić krok	Zrobił duży krok w stronę drzwi
埋怨	narzekać	Nie narzekaj ciągle na innych
慢性	przewlekły	Choroby przewlekłe wymagają długiego leczenia
漫长	długi	Przeżyli długie oczekiwanie
漫画	komiks	Ten komiks jest bardzo popularny wśród młodych ludzi
蔓延	rozprzestrzeniać się	Ogień szybko rozprzestrzeniał się w głąb lasu
忙碌	zapracowany	Koniec roku jest w firmie najbardziej zapracowanym okresem
盲目	ślepy	Inwestycje nie mogą ślepo podążać za tłumem
茫茫	bezkresny	Statek zniknął na bezkresnym morzu
茫然	zdezorientowany	Po wysłuchaniu wyjaśnień nadal wyglądał na zdezorientowanego
冒充	podszywać się	Ktoś podszył się pod policjanta i wyłudził pieniądze
冒犯	urazić	Nie chciałem cię urazić swoimi słowami
茂盛	bujny	Drzewa na podwórku rosną bardzo bujnie
媒介	środek przekazu	Internet jest ważnym środkiem przekazu informacji
枚	klasyfikator małych przedmiotów	Zebrał kilka pamiątkowych monet
美观	estetyczny	Ten projekt jest zarówno praktyczny, jak i estetyczny
美满	szczęśliwy	Prowadzą szczęśliwe życie
美妙	wspaniały	Koncert przyniósł wspaniałe przeżycie
萌芽	kiełkować	Nowe pomysły zaczęły kiełkować
猛烈	gwałtowny	Burza przyszła bardzo gwałtownie
眯	mrużyć oczy	Słońce było zbyt mocne, więc zmrużył oczy
弥补	zrekompensować	Przeprosiny nie mogą całkowicie zrekompensować strat
弥漫	wypełniać powietrze	Zapach kwiatów wypełniał podwórko
谜语	zagadka	Dzieci lubią zgadywać zagadki
迷惑	zdezorientować	Skomplikowane dane go zdezorientowały
迷人	uroczy	Nocny widok nad morzem jest bardzo uroczy
迷信	przesąd	Edukacja naukowa może ograniczać przesądy
密度	gęstość	Ten metal ma dużą gęstość
密封	uszczelnić	Po otwarciu proszę ponownie uszczelnić torbę
棉花	bawełna	Rolnicy zbierają bawełnę
免得	żeby uniknąć	Wyjdź wcześniej, żeby uniknąć spóźnienia
免疫	odporność	Ta szczepionka może zwiększyć odporność
勉励	zachęcać	Nauczyciel często zachęca uczniów do wytrwałej nauki
勉强	niechętnie	Niechętnie zgodził się na ten układ
面貌	wygląd	Wygląd miasta bardzo się zmienił
面子	twarz	Nie chciał stracić twarzy publicznie
描绘	opisywać	Powieść opisuje życie na wsi
瞄准	celować	Strzelec wycelował w cel
渺小	mały	Wobec natury człowiek wydaje się bardzo mały
藐视	lekceważyć	Nie możemy lekceważyć żadnego przeciwnika
灭亡	upadek	Ta dynastia ostatecznie zmierzała ku upadkowi
蔑视	pogarda	Jego ton był pełen pogardy
民间	ludowy	Sztuka ludowa wymaga ochrony
民主	głosowanie demokratyczne	Na spotkaniu zastosowano głosowanie demokratyczne
敏捷	zwinny	Ruchy sportowca są bardzo zwinne
敏锐	przenikliwy	Dziennikarz potrzebuje przenikliwej obserwacji
名次	miejsce w klasyfikacji	Zajęła dobre miejsce w zawodach
名额	limit miejsc	W tym projekcie jest tylko dziesięć miejsc
名副其实	prawdziwy	On jest prawdziwym ekspertem
名誉	reputacja	Ta sprawa zaszkodziła reputacji firmy
明明	wyraźnie	Wyraźnie znał odpowiedź, ale nie chciał jej powiedzieć
明智	rozsądny	Odłożenie decyzji było rozsądnym wyborem
命名	nazwać	Naukowcy nazwali nowy gatunek
摸索	szukać metod	Zespół nadal szuka nowych metod
摩擦	tarcia	Między dwoma krajami pojawiły się tarcia handlowe
模范	wzór	Jest wzorem dla uczniów całej szkoły
模式	model	Ten model biznesowy jest bardzo udany
模型	model	Inżynier wykonał model mostu
磨合	docierać się	Nowy zespół potrzebuje czasu, żeby się dotrzeć
膜	membrana	Ta membrana może filtrować zanieczyszczenia
魔鬼	diabeł	Diabeł w opowieści był bardzo przebiegły
魔术	sztuczki magiczne	Dzieci lubią oglądać pokazy sztuczek magicznych
抹杀	wymazać	Nie można wymazać jego wkładu
墨水儿	atrament	Atrament w piórze prawie się skończył
莫名其妙	niepojęty	Jego reakcja była niepojęta
默默	po cichu	Po cichu pomogła wielu ludziom
谋求	dążyć	Przedsiębiorstwo dąży do nowych możliwości rozwoju
模样	wygląd	Jego obecny wygląd bardzo się zmienił
母语	język ojczysty	Dziecko od małego uczy się języka ojczystego
沐浴	kąpać się	Wioska o świcie kąpała się w słońcu
目睹	być świadkiem	Wiele osób było świadkiem tego wypadku
目光	spojrzenie	Spojrzenia wszystkich skupiły się na scenie
拿手	specjalność	Ryba duszona w sosie to jego specjalność
纳闷儿	zastanawiać się	Cały czas zastanawiałem się, dlaczego się spóźnił
耐用	trwały	Te buty są bardzo trwałe
南辕北辙	działać wbrew celowi	Jego sposób działania był sprzeczny z celem
难得	rzadki	To rzadka okazja
难堪	zawstydzony	To pytanie bardzo go zawstydziło
难能可贵	godny uznania	Zachowanie uczciwości pod presją jest godne uznania
恼火	zirytowany	Sprzęt znów się zepsuł, więc był zirytowany
内涵	treść wewnętrzna	To słowo ma bogatą treść kulturową
内幕	kulisy	Dziennikarz próbował zbadać kulisy wydarzenia
内在	wewnętrzny	Bardziej ceni wewnętrzne cechy człowieka
能量	energia	To śniadanie dało mi dużo energii
拟定	sporządzać	Sekretarz sporządza porządek spotkania
逆行	jechać pod prąd	Ten samochód jechał pod prąd ulicą jednokierunkową
年度	roczny	Firma opublikowała raport roczny
捏	uszczypnąć	Lekko uszczypnęła dziecko w policzek
凝固	stwardnieć	Po ochłodzeniu wosk powoli stwardnieje
凝聚	skupić	Wspólny cel potrafi skupić siłę zespołu
凝视	wpatrywać się	Wpatrywał się w odległe światła
拧	wykręcić	Uszczypnął mnie ręką
宁肯	wolę raczej	Wolałaby raczej ponieść porażkę niż porzucić zasady
宁愿	woleć	Wolę iść pieszo niż czekać na autobus
扭转	odwrócić	Nowa polityka odwróciła sytuację strat
纽扣儿	guzik	Z tej koszuli odpadł guzik
农历	kalendarz księżycowy	Święto Wiosny obchodzi się według kalendarza księżycowego
浓厚	silny	On bardzo silnie interesuje się historią
奴隶	niewolnik	W starożytnym społeczeństwie istniał system niewolnictwa
挪	przesunąć	Proszę przesunąć krzesło trochę na bok
虐待	znęcać się	Prawo zabrania znęcania się nad dziećmi
哦	och	Och, wreszcie zrozumiałem
殴打	pobić	Policja aresztowała człowieka, który pobił przechodnia
偶像	bożyszcze	Traktuje tego pisarza jak swoje bożyszcze
呕吐	wymiotować	Po zjedzeniu zepsutego jedzenia zaczął wymiotować
趴	leżeć na brzuchu	Kotek leżał na brzuchu na parapecie i spał
徘徊	krążyć	Długo krążył przed wejściem
排斥	odpychać	Nowy materiał odpycha wilgoć
排除	wykluczyć	Lekarz najpierw wykluczył poważną chorobę
排放	emisja	Fabryka musi zmniejszyć emisję spalin
排练	próba	Aktorzy robią próbę nowego programu
派别	frakcja	Wewnątrz tej organizacji są różne frakcje
派遣	wysłać	Firma wysłała inżyniera na miejsce
攀登	wspinać się	Planują jutro wspinać się na ośnieżoną górę
盘旋	krążyć	Samolot krążył nad lotniskiem
判决	wyrok	Sąd ogłosił dziś wyrok
畔	brzeg	Dzieci spacerowały nad brzegiem jeziora
庞大	ogromny	Ten projekt wymaga ogromnych funduszy
抛弃	porzucić	Nie chce porzucić swoich marzeń
泡沫	piana	W kubku było dużo białej piany
培育	kształtować	Szkoła stara się kształtować poczucie odpowiedzialności uczniów
配备	wyposażyć	Nowy samochód wyposażono w system bezpieczeństwa
配偶	małżonek	W formularzu trzeba wpisać dane małżonka
配套	kompletny	Osiedle ma kompletne zaplecze usługowe
盆地	kotlina	W tej kotlinie latem jest bardzo gorąco
烹饪	gotowanie	Gotowanie wymaga cierpliwości i doświadczenia
捧	trzymać w dłoniach	Trzymała bukiet kwiatów obiema dłońmi
劈	rąbać	Robotnik rąbie drewno siekierą
批发	hurt	Ten sklep zajmuje się głównie hurtową sprzedażą owoców
批判	krytykować	Artykuł krytykuje ten błędny pogląd
疲惫	wyczerpany	Po długiej podróży wszyscy byli wyczerpani
疲倦	zmęczony	Ciągła praca sprawiła, że poczuł się zmęczony
皮革	skóra	Ta torba jest zrobiona ze skóry
屁股	pośladki	Dziecko po upadku bolały pośladki
譬如	na przykład	Na przykład możemy najpierw zrobić mały test
偏差	odchylenie	Wyniki eksperymentu mają wyraźne odchylenie
偏见	uprzedzenie	Powinniśmy unikać uprzedzeń narodowych
偏僻	oddalony	Ta wieś leży w bardzo oddalonym miejscu
偏偏	na przekór	Im bardziej się spieszę, tym na przekór samochód jedzie wolniej
片断	fragment	W filmie jest kilka świetnych fragmentów
片刻	chwila	Proszę poczekać tu na mnie chwilę
