simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
经济	økonomi; økonomisk	Økonomien har udviklet sig hurtigt i de seneste år.	talous; taloudellinen	Talous on kehittynyt nopeasti viime vuosina.	ekonomika; ekonomický	Ekonomika se v posledních letech rychle rozvíjela.	ekonomika; ekonomický	Ekonomika sa v posledných rokoch rýchlo rozvíjala.
经历	en oplevelse; at opleve	Hun skrev en artikel om sine oplevelser på rejsen.	kokemus; kokea	Hän kirjoitti artikkelin matkakokemuksistaan.	zážitek; zkušenost	Napsala článek o svých cestovních zážitcích.	zážitok; skúsenosť	Napísala článok o svojich cestovných zážitkoch.
经验	erfaring	Han er en lærer med stor erfaring.	kokemus	Hän on kokenut opettaja.	zkušenost	Je to zkušený učitel.	skúsenosť	Je to skúsený učiteľ.
景色	udsigt; landskab	Ved solnedgang er landskabet ved havet smukt.	maisema	Auringonlaskun aikaan merenrannan maisema on kaunis.	krajina; scenérie	Při západu slunce je přímořská scenérie krásná.	krajina; scenéria	Pri západe slnka je prímorská scenéria krásna.
警察	politi; politibetjent	Politiet er i gang med en undersøgelse.	poliisi	Poliisi tutkii asiaa.	policie; policista	Policie provádí vyšetřování.	polícia; policajt	Polícia vykonáva vyšetrovanie.
竞争	at konkurrere; konkurrence	Han er meget selvsikker og kan lide at konkurrere med andre.	kilpailla; kilpailu	Hän on hyvin itsevarma ja pitää muiden kanssa kilpailemisesta.	soutěžit; konkurence	Je velmi sebevědomý a rád soutěží s ostatními.	súťažiť; konkurencia	Je veľmi sebavedomý a rád súťaží s ostatnými.
竟然	overraskende; uventet	Jeg havde slet ikke troet, at han var sådan en person.	yllättäen; odottamatta	En olisi lainkaan uskonut, että hän on sellainen ihminen.	nečekaně; kupodivu	Vůbec mě nenapadlo, že je takový člověk.	nečakane; napodiv	Vôbec mi nenapadlo, že je taký človek.
镜子	et spejl	Undskyld, jeg slog spejlet i stykker.	peili	Anteeksi, rikoin peilin.	zrcadlo	Promiňte, rozbil jsem zrcadlo.	zrkadlo	Prepáčte, rozbil som zrkadlo.
究竟	egentlig; præcis	Hvorfor græder du egentlig?	oikeastaan; tarkalleen	Miksi sinä oikeastaan itket?	vlastně; přesně	Proč vlastně pláčeš?	vlastne; presne	Prečo vlastne plačeš?
举	at række op; at løfte	Ræk venligst hånden op for at svare på spørgsmålet.	nostaa	Nosta kätesi vastataksesi kysymykseen.	zvednout	Zvedněte prosím ruku a odpovězte na otázku.	zdvihnúť	Zdvihnite, prosím, ruku a odpovedzte na otázku.
举办	at afholde; at arrangere	Dette arrangement bliver organiseret af os.	järjestää	Me järjestämme tämän tapahtuman.	pořádat; uspořádat	Tuto akci pořádáme my.	usporiadať; organizovať	Toto podujatie organizujeme my.
举行	at afholde	Mødet holdes klokken to.	pitää; järjestää	Kokous pidetään kello kaksi.	konat se; pořádat	Schůze se koná ve dvě hodiny.	konať sa; usporiadať	Schôdza sa koná o druhej.
拒绝	at nægte; at afslå	Han afslog alles invitation.	kieltäytyä; torjua	Hän kieltäytyi kaikkien kutsusta.	odmítnout	Odmítl pozvání všech.	odmietnuť	Odmietol pozvanie všetkých.
聚会	en fest; en sammenkomst	Der er en fest i morgen, vil du deltage?	juhla; kokoontuminen	Huomenna on juhlat, haluatko osallistua?	setkání; večírek	Zítra je setkání, chceš se zúčastnit?	stretnutie; večierok	Zajtra je stretnutie, chceš sa zúčastniť?
距离	afstand; være langt fra	Mit hjem ligger langt fra firmaet.	etäisyys; olla kaukana	Kotini on kaukana yrityksestä.	vzdálenost; být daleko	Můj domov je daleko od firmy.	vzdialenosť; byť ďaleko	Môj domov je ďaleko od firmy.
开玩笑	at joke; at lave sjov	Laver du sjov?	vitsailla; pilailla	Vitsailetko sinä?	žertovat; dělat si legraci	Děláš si legraci?	žartovať; robiť si srandu	Robíš si srandu?
开心	glad; lykkelig	Lillesøster smilede lykkeligt.	iloinen; onnellinen	Pikkusisko hymyili iloisesti.	šťastný; veselý	Mladší sestra se šťastně usmála.	šťastný; veselý	Mladšia sestra sa šťastne usmiala.
看法	en mening; et synspunkt	Han har altid holdt fast i sit synspunkt.	näkemys; mielipide	Hän on aina pitänyt kiinni omasta näkemyksestään.	názor; pohled	Vždy trval na svém názoru.	názor; pohľad	Vždy trval na svojom názore.
烤鸭	stegt and; pekingand	Pekingand er berømt.	paistettu ankka; pekinginankka	Pekingin ankka on kuuluisaa.	pečená kachna	Pekingská pečená kachna je slavná.	pečená kačica	Pekinská pečená kačica je slávna.
考虑	at overveje	Jeg vil alvorligt overveje dette spørgsmål.	harkita	Harkitsen tätä asiaa vakavasti.	zvážit; uvažovat	Vážně tuto otázku zvážím.	zvážiť; uvažovať	Vážne túto otázku zvážim.
棵	klassifikator for træer og planter	Dette træ er både højt og stort.	luokittelusana puille ja kasveille	Tämä puu on korkea ja suuri.	klasifikátor pro stromy a rostliny	Tento strom je vysoký a velký.	klasifikátor pre stromy a rastliny	Tento strom je vysoký a veľký.
科学	videnskab; videnskabelig	Han lærte meget videnskabelig viden i skolen.	tiede; tieteellinen	Hän oppi koulussa paljon tieteellistä tietoa.	věda; vědecký	Ve škole se naučil mnoho vědeckých poznatků.	veda; vedecký	V škole sa naučil veľa vedeckých poznatkov.
咳嗽	at hoste	Han er forkølet og hoster kraftigt.	yskiä	Hänellä on flunssa ja paha yskä.	kašlat	Je nachlazený a silně kašle.	kašľať	Je prechladnutý a silno kašle.
可怜	stakkels; ynkelig	Dette barn kan ikke finde hjem, hvor er det synd.	säälittävä; raukka	Tämä lapsi ei löydä kotiin, voi raukkaa.	ubohý; politováníhodný	To dítě nemůže najít domov, je mi ho líto.	úbohý; poľutovaniahodný	To dieťa nevie nájsť domov, je mi ho ľúto.
可是	men; dog	Selv om jeg virkelig gerne vil af sted, har jeg slet ikke tid.	mutta; kuitenkin	Vaikka haluaisin todella mennä, minulla ei oikeasti ole aikaa.	ale; avšak	I když opravdu chci jít, opravdu nemám čas.	ale; avšak	Hoci veľmi chcem ísť, naozaj nemám čas.
可惜	det er synd; ærgerligt	Det er synd, at du ikke kan komme til vores fest.	harmi; sääli	On harmi, ettet voi tulla juhliimme.	škoda; je mi líto	Je škoda, že nemůžeš přijít na naši oslavu.	škoda; je mi ľúto	Je škoda, že nemôžeš prísť na našu oslavu.
客厅	en stue	Far ser fjernsyn i stuen.	olohuone	Isä katsoo televisiota olohuoneessa.	obývací pokoj	Táta se dívá na televizi v obývacím pokoji.	obývačka	Otec pozerá televíziu v obývačke.
肯定	bestemt; helt sikkert	Jeg kommer helt sikkert tilbage før klokken fem.	varmasti; varma	Palaan varmasti ennen kello viittä.	určitě; jistý	Určitě se vrátím před pátou hodinou.	určite; istý	Určite sa vrátim pred piatou hodinou.
空	tom; ledig	Dette værelse er tomt.	tyhjä; vapaa	Tämä huone on tyhjä.	prázdný; volný	Tento pokoj je prázdný.	prázdny; voľný	Táto izba je prázdna.
空气	luft	Luften i parken er meget frisk.	ilma	Puiston ilma on hyvin raikas.	vzduch	Vzduch v parku je velmi čerstvý.	vzduch	Vzduch v parku je veľmi čerstvý.
恐怕	jeg er bange for; frygte	Jeg er bange for, at det kommer til at regne. Har du paraply med?	pelkään että; pelätä	Pelkään, että alkaa sataa. Otitko sateenvarjon mukaan?	obávám se, že; bát se	Obávám se, že bude pršet. Vzal sis deštník?	obávam sa, že; báť sa	Obávam sa, že bude pršať. Vzal si si dáždnik?
苦	bitter; hård	Denne kop kaffe er meget bitter.	karvas; katkera	Tämä kahvikuppi on hyvin kitkerä.	hořký; těžký	Tato káva je velmi hořká.	horký; ťažký	Táto káva je veľmi horká.
矿泉水	mineralvand	Jeg købte to flasker mineralvand.	kivennäisvesi	Ostin kaksi pulloa kivennäisvettä.	minerální voda	Koupil jsem dvě lahve minerální vody.	minerálna voda	Kúpil som dve fľaše minerálnej vody.
困	søvnig; træt	Jeg er søvnig og vil gå i seng.	uninen; väsynyt	Olen uninen ja haluan mennä nukkumaan.	ospalý; unavený	Jsem ospalý a chci jít spát.	ospalý; unavený	Som ospalý a chcem ísť spať.
困难	svær; vanskelighed	Denne opgave er meget svær for mig.	vaikea; vaikeus	Tämä tehtävä on minulle hyvin vaikea.	obtížný; obtíž	Tento úkol je pro mě velmi obtížný.	ťažký; ťažkosť	Táto úloha je pre mňa veľmi ťažká.
垃圾桶	en skraldespand	Der er mange skraldespande på gaden.	roskakori; roskasäiliö	Kadulla on paljon roskakoreja.	odpadkový koš	Na ulici je mnoho odpadkových košů.	odpadkový kôš	Na ulici je veľa odpadkových košov.
拉	at trække; at holde	Mor holdt datteren i hånden.	vetää; pitää kiinni	Äiti piti tytärtään kädestä.	táhnout; držet	Matka držela dceru za ruku.	ťahať; držať	Matka držala dcéru za ruku.
辣	stærk; krydret	Jeg er ikke vant til at spise retter, der er for stærke.	tulinen; mausteinen	En ole tottunut syömään liian tulisia ruokia.	pálivý; ostrý	Nejsem zvyklý jíst příliš pálivá jídla.	štipľavý; pikantný	Nie som zvyknutý jesť príliš štipľavé jedlá.
来不及	ikke at nå det; for sent	Jeg stod sent op i morges og nåede ikke at spise morgenmad.	ei ehtiä; liian myöhäistä	Heräsin tänä aamuna myöhään enkä ehtinyt syödä aamiaista.	nestihnout; být pozdě	Dnes ráno jsem vstal pozdě a nestihl jsem snídani.	nestihnúť; byť neskoro	Dnes ráno som vstal neskoro a nestihol som raňajky.
来得及	at kunne nå det; der er stadig tid	Filmen begynder først halv ti, så vi kan stadig nå det.	ehtiä; vielä on aikaa	Elokuva alkaa vasta puoli kymmeneltä, joten vielä ehdimme.	stihnout; je ještě čas	Film začíná až v půl desáté, takže to ještě stihneme.	stihnúť; je ešte čas	Film sa začína až o pol desiatej, takže to ešte stihneme.
来自	at komme fra	Jeg kommer fra Shandong-provinsen.	tulla jostakin	Olen kotoisin Shandongin maakunnasta.	pocházet z	Pocházím z provincie Šan-tung.	pochádzať z	Pochádzam z provincie Šan-tung.
懒	doven	Min lille kat er meget doven og sover hele eftermiddagen.	laiska	Kissani on hyvin laiska ja nukkuu koko iltapäivän.	líný	Naše kočka je velmi líná a celé odpoledne spí.	lenivý	Naša mačka je veľmi lenivá a celé popoludnie spí.
浪费	at spilde	At gøre det på den måde er bare spild af tid.	tuhlata	Tällä tavalla tekeminen on vain ajanhukkaa.	plýtvat	Takhle to dělat je jen plýtvání časem.	plytvať	Takto to robiť je len plytvanie časom.
浪漫	romantisk	Denne bog fortæller en romantisk kærlighedshistorie.	romanttinen	Tämä kirja kertoo romanttisen rakkaustarinan.	romantický	Tato kniha vypráví romantický milostný příběh.	romantický	Táto kniha rozpráva romantický milostný príbeh.
老虎	en tiger	Hver gang vi går i zoologisk have, er tigeren det, min søn helst vil se.	tiikeri	Aina kun menemme eläintarhaan, poikani haluaa eniten katsoa tiikereitä.	tygr	Pokaždé, když jdeme do zoo, syn se nejraději dívá na tygry.	tiger	Vždy, keď ideme do zoo, syn sa najradšej pozerá na tigre.
冷静	rolig; fattet	Bliv ikke ophidset, ro dig først ned.	rauhallinen; tyyni	Älä kiihdy, rauhoitu ensin.	klidný; rozvážný	Nerozčiluj se, nejdřív se uklidni.	pokojný; rozvážny	Nerozčuľuj sa, najprv sa upokoj.
理发	at blive klippet; en klipning	Hvornår skal du klippes?	käydä hiustenleikkuussa; hiustenleikkuu	Milloin menet hiustenleikkuuseen?	nechat se ostříhat; stříhání	Kdy se půjdeš ostříhat?	dať sa ostrihať; strihanie	Kedy sa pôjdeš ostrihať?
理解	at forstå	Kan du forstå dette spørgsmål?	ymmärtää	Ymmärrätkö tämän kysymyksen?	rozumět; pochopit	Rozumíš této otázce?	rozumieť; pochopiť	Rozumieš tejto otázke?
理想	ideal; drøm	Hvad er dit ideelle job?	ihanne; unelma	Mikä on ihannetyösi?	ideál; sen	Jaké je tvoje ideální povolání?	ideál; sen	Aké je tvoje ideálne povolanie?
礼拜天	søndag	Har du tid denne søndag?	sunnuntai	Onko sinulla aikaa tänä sunnuntaina?	neděle	Máš tuto neděli čas?	nedeľa	Máš túto nedeľu čas?
礼貌	høflighed; manerer	Dette barn er meget høfligt.	kohteliaisuus; käytöstavat	Tämä lapsi on hyvin kohtelias.	zdvořilost; slušné chování	Toto dítě je velmi zdvořilé.	zdvorilosť; slušné správanie	Toto dieťa je veľmi zdvorilé.
例如	for eksempel	Jeg kan lide sport, for eksempel løb og svømning.	esimerkiksi	Pidän urheilusta, esimerkiksi juoksemisesta ja uimisesta.	například	Mám rád sport, například běh a plavání.	napríklad	Mám rád šport, napríklad beh a plávanie.
力气	styrke	Efter at have gået så langt var jeg så træt, at jeg slet ingen kræfter havde tilbage.	voima	Kun olin kävellyt näin pitkälle, olin niin väsynyt, ettei minulla ollut yhtään voimia jäljellä.	síla	Po tak dlouhé chůzi jsem byl tak unavený, že mi nezbyla žádná síla.	sila	Po takej dlhej chôdzi som bol taký unavený, že mi nezostala žiadna sila.
厉害	alvorlig; svær	Han var meget syg og blev indlagt.	vakava; paha	Hän oli hyvin sairas ja joutui sairaalaan.	vážný; těžký	Byl vážně nemocný a byl hospitalizován.	vážny; ťažký	Bol vážne chorý a hospitalizovali ho.
俩	to; begge	Vi to er gode venner.	kaksi; molemmat	Me kaksi olemme hyviä ystäviä.	dva; oba	My dva jsme dobří přátelé.	dvaja; obaja	My dvaja sme dobrí priatelia.
联系	kontakt; forbindelse	Har du stadig kontakt med dine universitetskammerater?	yhteys; kontakti	Oletko yhä yhteydessä yliopistokavereihisi?	kontakt; spojení	Jsi stále v kontaktu se spolužáky z univerzity?	kontakt; spojenie	Si stále v kontakte so spolužiakmi z univerzity?
连	endda; selv	Hvordan kunne du endda glemme mig?	jopa; edes	Kuinka voit unohtaa jopa minut?	dokonce; i	Jak jsi mohl zapomenout i na mě?	dokonca; aj	Ako si mohol zabudnúť aj na mňa?
凉快	kølig; behageligt kølig	Vejret om efteråret er behageligt køligt.	viileä; miellyttävän viileä	Syksyn sää on mukavan viileä.	chladný; příjemně chladný	Podzimní počasí je příjemně chladné.	chladný; príjemne chladný	Jesenné počasie je príjemne chladné.
零钱	småkroner; byttepenge	Kan De veksle nogle penge til småpenge for mig?	pikkuraha; vaihtoraha	Voisitteko vaihtaa minulle vähän pikkurahaa?	drobné; malé peníze	Mohl byste mi rozměnit nějaké peníze na drobné?	drobné; malé peniaze	Mohli by ste mi rozmeniť nejaké peniaze na drobné?
另外	anden; desuden	Jeg vil også tale med dig om en anden ting.	toinen; lisäksi	Haluan puhua kanssasi vielä toisesta asiasta.	jiný; kromě toho	Chci s tebou mluvit ještě o jiné věci.	iný; okrem toho	Chcem s tebou hovoriť ešte o inej veci.
流利	flydende	Du taler kinesisk flydende.	sujuva	Puhut kiinaa sujuvasti.	plynulý	Mluvíš čínsky plynule.	plynulý	Hovoríš po čínsky plynule.
流行	populær; moderne	Mange unge kan lide popmusik.	suosittu; muodikas	Monet nuoret pitävät popmusiikista.	populární; módní	Mnoho mladých lidí má rádo populární hudbu.	populárny; módny	Mnoho mladých ľudí má rado populárnu hudbu.
留	at efterlade; at blive	Efterlad venligst dit telefonnummer.	jättää; jäädä	Jätä puhelinnumerosi, ole hyvä.	nechat; zůstat	Prosím, zanechte své telefonní číslo.	nechať; zostať	Prosím, nechajte svoje telefónne číslo.
旅行	at rejse; en rejse	Vi planlægger at rejse til Yunnan om sommeren.	matkustaa; matka	Suunnittelemme matkustavamme Yunnaniin kesällä.	cestovat; cesta	Plánujeme v létě cestovat do Yunnanu.	cestovať; cesta	Plánujeme v lete cestovať do Yunnanu.
乱	rodet; uordnet	Hvalpen rodede værelset til.	sotkuinen; sekava	Pentu sotki huoneen.	nepořádný; zmatený	Štěně udělalo v pokoji nepořádek.	neporiadny; zmätený	Šteňa urobilo v izbe neporiadok.
律师	en advokat	Min mor er advokat.	asianajaja	Äitini on asianajaja.	právník	Moje maminka je právnička.	právnik	Moja mama je právnička.
麻烦	at ulejlige; besværlig	Må jeg ulejlige Dem til at hente et glas for mig?	vaivata; hankala	Voisitteko auttaa ja tuoda minulle kupin?	obtěžovat; nepříjemný	Mohl byste mi prosím podat hrnek?	obťažovať; nepríjemný	Mohli by ste mi, prosím, podať pohár?
马虎	skødesløs; sjusket	Bare lidt skødesløshed kan føre til fejl.	huolimaton; hutiloiva	Pienikin huolimattomuus voi johtaa virheisiin.	nepozorný; nedbalý	I malá nepozornost může vést k chybám.	nepozorný; nedbanlivý	Aj malá nepozornosť môže viesť k chybám.
满	fuld	Koppen er fuld.	täysi	Kuppi on täynnä.	plný	Hrnek je plný.	plný	Pohár je plný.
毛	pels; hår	Pelsen på denne kat er hvid.	turkki; karva	Tämän kissan turkki on valkoinen.	srst; chlup	Srst této kočky je bílá.	srsť; chlp	Srsť tejto mačky je biela.
毛巾	et håndklæde	Det er varmt, ikke? Tør sveden af med et håndklæde.	pyyhe	On kuuma, pyyhi hiki pyyhkeellä.	ručník	Je horko, utři si pot ručníkem.	uterák	Je horúco, utri si pot uterákom.
美丽	smuk	Hun er virkelig en smuk pige.	kaunis	Hän on todella kaunis tyttö.	krásný	Je to opravdu krásná dívka.	krásny	Je to naozaj krásne dievča.
梦	en drøm	Det er virkelig en interessant drøm!	uni	Tämä on todella mielenkiintoinen uni!	sen	To je opravdu zajímavý sen!	sen	To je naozaj zaujímavý sen!
迷路	at fare vild	Han fór vild i skoven.	eksyä	Hän eksyi metsään.	ztratit se	Ztratil se v lese.	stratiť sa	Stratil sa v lese.
密码	en adgangskode; en kode	Jeg glemte adgangskoden til mit kreditkort.	salasana; koodi	Unohdin luottokorttini salasanan.	heslo; kód	Zapomněl jsem heslo ke kreditní kartě.	heslo; kód	Zabudol som heslo ku kreditnej karte.
免费	gratis	Drikkevarer er gratis, når man spiser på denne restaurant.	ilmainen	Tässä ravintolassa syödessä juomat ovat ilmaisia.	zdarma; bezplatný	V této restauraci jsou nápoje k jídlu zdarma.	zdarma; bezplatný	V tejto reštaurácii sú nápoje k jedlu zdarma.
秒	et sekund	Vent venligst ti sekunder på mig.	sekunti	Odota minua kymmenen sekuntia.	sekunda	Počkejte na mě prosím deset sekund.	sekunda	Počkajte na mňa, prosím, desať sekúnd.
民族	en etnisk gruppe; nationalitet	Kina er et multietnisk land.	kansallisuus; etninen ryhmä	Kiina on monietninen maa.	národnost; etnická skupina	Čína je mnohonárodnostní země.	národnosť; etnická skupina	Čína je mnohonárodnostná krajina.
母亲	en mor	Lad mig præsentere hende, dette er min mor.	äiti	Annanpa esitellä, tämä on äitini.	matka	Dovolte mi představit, toto je moje matka.	matka	Dovoľte mi predstaviť, toto je moja matka.
目的	et formål; et mål	Jeg forstår ikke hans formål med at gøre dette.	tarkoitus; tavoite	En ymmärrä hänen tarkoitustaan tehdä näin.	účel; cíl	Nerozumím účelu toho, proč to dělá.	účel; cieľ	Nerozumiem účelu toho, prečo to robí.
耐心	tålmodighed; tålmodig	Man skal have tålmodighed, når man opdrager børn.	kärsivällisyys; kärsivällinen	Lasten kasvattamiseen tarvitaan kärsivällisyyttä.	trpělivost; trpělivý	Při výchově dětí je potřeba trpělivost.	trpezlivosť; trpezlivý	Pri výchove detí je potrebná trpezlivosť.
难道	kan det virkelig være; mon	Er disse retter da ikke lækre?	eikö muka; voiko olla	Entä eivätkö nämä ruoat muka ole hyviä?	snad; copak	Copak tato jídla nejsou dobrá?	azda; vari	Vari tieto jedlá nie sú chutné?
难受	at have det dårligt; utilpas	Jeg er forkølet og har det virkelig dårligt.	voida huonosti; paha olo	Minulla on flunssa ja todella huono olo.	cítit se špatně; být zle	Jsem nachlazený a cítím se hrozně.	cítiť sa zle; byť zle	Som prechladnutý a cítim sa hrozne.
内	inden for; inde	Færdiggør venligst opgaven inden for tre dage.	sisällä; kuluessa	Suorita tehtävä kolmen päivän kuluessa.	do; uvnitř	Dokončete prosím úkol do tří dnů.	do; vnútri	Dokončite, prosím, úlohu do troch dní.
内容	indhold	Indholdet i denne artikel er meget spændende.	sisältö	Tämän artikkelin sisältö on hyvin kiinnostava.	obsah	Obsah tohoto článku je velmi poutavý.	obsah	Obsah tohto článku je veľmi pútavý.
能力	evne; kapacitet	Han er meget dygtig på arbejdet.	kyky; valmius	Hän on työssään hyvin kyvykäs.	schopnost	Je v práci velmi schopný.	schopnosť	Je v práci veľmi schopný.
年龄	alder	Det er uhøfligt bare at spørge andre om deres alder.	ikä	On epäkohteliasta kysyä toisen ikää noin vain.	věk	Je nezdvořilé jen tak se ptát na věk druhých.	vek	Je nezdvorilé len tak sa pýtať na vek druhých.
弄	at gøre; at lave	Hvalpen rodede værelset til.	tehdä; saada aikaan	Pentu sotki huoneen.	udělat; zařídit	Štěně udělalo v pokoji nepořádek.	urobiť; zariadiť	Šteňa urobilo v izbe neporiadok.
暖和	varm; dejlig varm	Foråret er kommet, og vejret bliver varmere.	lämmin; mukavan lämmin	Kevät on tullut, ja sää lämpenee.	teplý; příjemně teplý	Přišlo jaro a počasí se otepluje.	teplý; príjemne teplý	Prišla jar a počasie sa otepľuje.
偶尔	af og til; nogle gange	Jeg ser hende af og til på skolen.	silloin tällöin; joskus	Näen hänet joskus koulussa.	občas; někdy	Občas ji vídám ve škole.	občas; niekedy	Občas ju vídam v škole.
排队	at stå i kø	Folk, der køber billetter, står i kø.	jonottaa	Lippuja ostavat ihmiset jonottavat.	stát ve frontě	Lidé kupující lístky stojí ve frontě.	stáť v rade	Ľudia kupujúci lístky stoja v rade.
排列	at arrangere; at stille i rækkefølge	Arranger venligst disse æsker fra størst til mindst.	järjestää	Aseta nämä laatikot suuruusjärjestykseen suurimmasta pienimpään.	uspořádat; seřadit	Uspořádejte prosím tyto krabice od největší po nejmenší.	usporiadať; zoradiť	Usporiadajte, prosím, tieto škatule od najväčšej po najmenšiu.
判断	en vurdering; at vurdere	Din vurdering er helt korrekt.	arvio; arvioida	Arviosi on täysin oikea.	úsudek; posoudit	Tvůj úsudek je zcela správný.	úsudok; posúdiť	Tvoj úsudok je úplne správny.
陪	at ledsage; at være hos	Når jeg er ked af det, er du altid ved min side.	olla seurana; seurata	Kun olen surullinen, olet aina vierelläni.	doprovázet; být s někým	Když jsem smutný, vždy jsi po mém boku.	sprevádzať; byť s niekým	Keď som smutný, vždy si pri mne.
批评	at kritisere; kritik	Læreren kritiserer mig sjældent.	kritisoida; kritiikki	Opettaja kritisoi minua harvoin.	kritizovat; kritika	Učitel mě málokdy kritizuje.	kritizovať; kritika	Učiteľ ma málokedy kritizuje.
皮肤	hud	Mor lægger stor vægt på at beskytte huden.	iho	Äiti kiinnittää paljon huomiota ihon suojaamiseen.	kůže	Maminka hodně dbá na ochranu pokožky.	koža	Mama veľmi dbá na ochranu pokožky.
脾气	temperament; sind	Han har et godt temperament og bliver aldrig vred.	luonne; temperamentti	Hänellä on hyvä luonne eikä hän koskaan suutu.	povaha; temperament	Má dobrou povahu a nikdy se nerozzlobí.	povaha; temperament	Má dobrú povahu a nikdy sa nenahnevá.
篇	en artikel; et stykke tekst	Jeg har læst denne artikel mange gange.	artikkeli; kirjoitus	Olen lukenut tämän artikkelin monta kertaa.	článek; text	Tento článek jsem četl mnohokrát.	článok; text	Tento článok som čítal mnohokrát.
骗	at lyve for; at bedrage	Jeg løj ikke for dig, han kom virkelig.	valehdella; pettää	En valehdellut sinulle, hän todella tuli.	lhát; podvést	Nelhal jsem ti, opravdu přišel.	klamať; podviesť	Neklamal som ti, naozaj prišiel.
乒乓球	bordtennis	Hvem vil deltage i bordtenniskampen?	pöytätennis	Kuka haluaa osallistua pöytätennisotteluun?	stolní tenis	Kdo se chce zúčastnit zápasu ve stolním tenise?	stolný tenis	Kto sa chce zúčastniť zápasu v stolnom tenise?
平时	til daglig; normalt	Hun dyrker sjældent motion til daglig.	tavallisesti; arkena	Hän harrastaa tavallisesti harvoin liikuntaa.	obvykle; v běžné době	Obvykle moc necvičí.	zvyčajne; bežne	Zvyčajne veľa necvičí.
破	ødelagt; at ødelægge	Undskyld, jeg slog spejlet i stykker.	rikki; rikkoa	Anteeksi, rikoin peilin.	rozbitý; rozbít	Promiňte, rozbil jsem zrcadlo.	rozbitý; rozbiť	Prepáčte, rozbil som zrkadlo.
葡萄	en drue	Druer koster fem yuan per halvt kilo.	rypäle	Rypäleet maksavat viisi yuania puolelta kilolta.	hrozen	Vinné hrozny stojí pět jüanů za půl kila.	hrozno	Hrozno stojí päť jüanov za pol kila.
普遍	almindelig; udbredt	Dette problem er meget almindeligt.	yleinen; laajalle levinnyt	Tämä ongelma on hyvin yleinen.	obecný; rozšířený	Tento problém je velmi běžný.	všeobecný; rozšírený	Tento problém je veľmi bežný.
普通话	mandarin; Putonghua	Du taler mandarin meget godt.	mandariinikiina; putonghua	Puhut mandariinikiinaa hyvin.	mandarínština; putonghua	Mluvíš mandarínsky velmi dobře.	mandarínčina; putonghua	Hovoríš mandarínsky veľmi dobre.
其次	derefter; for det andet	Sikkerhed kommer først, derefter hastighed.	toiseksi; seuraavaksi	Turvallisuus tulee ensin, nopeus toiseksi.	za druhé; potom	Na prvním místě je bezpečnost, potom rychlost.	po druhé; potom	Na prvom mieste je bezpečnosť, potom rýchlosť.
其中	blandt dem; heraf	Der er tyve elever i vores klasse, hvoraf fem kommer fra udlandet.	joista; niiden joukossa	Luokallamme on kaksikymmentä oppilasta, joista viisi tulee ulkomailta.	mezi nimi; z toho	V naší třídě je dvacet studentů, z toho pět ze zahraničí.	medzi nimi; z toho	V našej triede je dvadsať študentov, z toho päť zo zahraničia.
气候	klima	Kan du vænne dig til klimaet i nord?	ilmasto	Voitko sopeutua pohjoisen ilmastoon?	podnebí; klima	Dokážeš si zvyknout na severní klima?	podnebie; klíma	Dokážeš si zvyknúť na severné podnebie?
千万	endelig; absolut ikke	Du må endelig ikke glemme mødet i morgen.	ehdottomasti; missään nimessä	Älä missään nimessä unohda huomista kokousta.	rozhodně; v žádném případě	Rozhodně nezapomeň na zítřejší schůzi.	rozhodne; v žiadnom prípade	Rozhodne nezabudni na zajtrajšiu schôdzu.
签证	et visum	Jeg skal på ambassaden i morgen for at søge om visum.	viisumi	Menen huomenna suurlähetystöön hakemaan viisumia.	vízum	Zítra půjdu na velvyslanectví vyřídit vízum.	vízum	Zajtra pôjdem na veľvyslanectvo vybaviť vízum.
敲	at banke	Nogen banker på døren, gå og se, hvem der er kommet.	koputtaa	Joku koputtaa oveen, käy katsomassa kuka tuli.	klepat	Někdo klepe na dveře, běž se podívat, kdo přišel.	klopať	Niekto klope na dvere, choď sa pozrieť, kto prišiel.
桥	en bro	Der er en lille bro over floden.	silta	Joen yli on pieni silta.	most	Nad řekou je malý most.	most	Nad riekou je malý most.
巧克力	chokolade	Jeg elsker chokolade allermest.	suklaa	Pidän suklaasta kaikkein eniten.	čokoláda	Nejraději jím čokoládu.	čokoláda	Najradšej jem čokoládu.
亲戚	en slægtning	De fleste af mine slægtninge bor i Beijing.	sukulainen	Suurin osa sukulaisistani asuu Pekingissä.	příbuzný	Většina mých příbuzných žije v Pekingu.	príbuzný	Väčšina mojich príbuzných žije v Pekingu.
轻	let	Denne kasse er let.	kevyt	Tämä laatikko on kevyt.	lehký	Tato krabice je lehká.	ľahký	Táto škatuľa je ľahká.
轻松	afslappet; let	Dette job er ikke let for ham.	rento; helppo	Tämä työ ei ole hänelle helppoa.	snadný; uvolněný	Tato práce pro něj není snadná.	ľahký; uvoľnený	Táto práca pre neho nie je ľahká.
情况	en situation	Situationen har ændret sig meget.	tilanne	Tilanne on muuttunut paljon.	situace	Situace se hodně změnila.	situácia	Situácia sa veľmi zmenila.
