simplified	TA	example_TA
模糊	மங்கலான	இந்த புகைப்படம் சற்றே மங்கலாக உள்ளது.
模特	ஆடை அலங்கார மாடல்	அவள் ஆடை அலங்கார மாடல்.
陌生	அறிமுகமற்ற	இந்த நகரம் எனக்கு மிகவும் அறிமுகமற்றது.
某	ஒரு குறிப்பிட்ட	ஒரு குறிப்பிட்ட ஆசிரியர் எனக்கு தொலைபேசி செய்தார்.
木头	மரம்	இந்த மேசை மரத்தால் செய்யப்பட்டதாகும்.
目标	இலக்கு	என் இலக்கு தேர்வில் தேர்ச்சி பெறுவது.
目录	பொருளடக்கம்	தயவு செய்து முதலில் புத்தகத்தின் முன்பகுதியில் உள்ள பொருளடக்கத்தைப் பாருங்கள்.
目前	தற்போது	தற்போது நிலைமை ஒப்பீட்டளவில் நிலையாக உள்ளது.
哪怕	என்றாலும் கூட	அவர் பிஸியாக இருந்தாலும் கூட தொடர்ந்து படிக்கிறார்.
难怪	ஆச்சரியமில்லை	இன்று நீ இவ்வளவு மகிழ்ச்சியாக இருப்பதில் ஆச்சரியமில்லை.
难免	தவிர்க்க முடியாத	முதல்முறையாக செய்வதில் தவறு தவிர்க்க முடியாதது.
脑袋	தலை	அவருக்கு தலை சற்று வலிக்கிறது.
内部	உள்	இது நிறுவனத்தின் உள் தகவல்.
内科	உள்நோய் மருத்துவம்	அவர் இன்று உள்நோய் மருத்துவரைச் சந்திக்கப் போகிறார்.
嫩	மென்மையான	இந்த இறைச்சி மிகவும் மென்மையாக உள்ளது.
能干	திறமையான	அவள் மிகவும் திறமையானவர்.
能源	ஆற்றல் மூலம்	சூரிய ஆற்றல் ஒரு சுத்தமான ஆற்றல் மூலம்.
嗯	ம்	ம், எனக்கு புரிந்தது.
年代	காலப்பகுதி	இந்த புகைப்படம் எண்பதுகளில் எடுக்கப்பட்டது.
年纪	வயது	அவருக்கு வயது அதிகமில்லை, ஆனால் அனுபவம் அதிகம்.
念	வாசித்தல்	தயவு செய்து பாடத்தை ஒருமுறை சத்தமாக வாசியுங்கள்.
宁可	மேலாக விரும்புதல்	பேருந்துக்காக காத்திருப்பதை விட நான் நடந்து செல்ல விரும்புகிறேன்.
牛仔裤	ஜீன்ஸ் கால்சட்டை	அவர் ஒரு ஜீன்ஸ் கால்சட்டை அணிந்திருக்கிறார்.
农村	கிராமப்புறம்	அவள் கிராமப்புறத்தில் வளர்ந்தாள்.
农民	விவசாயி	விவசாயிகள் வயல்களில் வேலை செய்கிறார்கள்.
农业	விவசாயம்	இந்த பகுதியிற்கு விவசாயம் மிகவும் முக்கியமானது.
浓	கனமான	இந்த காபி மிகவும் கனமாக உள்ளது.
女士	பெண்மணி	அந்த பெண்மணி பேருந்துக்காக காத்திருக்கிறார்.
欧洲	ஐரோப்பா	அவர் அடுத்த மாதம் ஐரோப்பாவுக்கு பயணம் செய்கிறார்.
偶然	தற்செயலாக	நான் தற்செயலாக பழைய வகுப்புத்தோழரை சந்தித்தேன்.
拍	படம் எடுப்பது	தயவு செய்து எனக்கு படம் எடுக்க உதவுங்கள்.
派	அனுப்புதல்	நிறுவனம் அவரை ஷாங்காய்க்கு தொழில்பயணமாக அனுப்பியது.
盼望	ஆவலுடன் எதிர்பார்த்தல்	உன்னை விரைவில் பார்க்க ஆவலுடன் எதிர்பார்க்கிறேன்.
培训	பயிற்சி	புதிய பணியாளர்கள் பயிற்சியில் கலந்து கொள்ள வேண்டும்.
培养	வளர்த்தல்	பள்ளி மாணவர்களின் திறன்களை வளர்ப்பதை மதிக்கிறது.
赔偿	இழப்பீடு அளித்தல்	நிறுவனம் இழப்பீடு அளிக்க ஒப்புக்கொண்டது.
佩服	மதித்துப் பாராட்டுதல்	அவரது தைரியத்தை நான் உண்மையாக மதித்துப் பாராட்டுகிறேன்.
配合	ஒத்துழைத்தல்	தயவு செய்து ஆசிரியரின் ஏற்பாடுகளுடன் ஒத்துழையுங்கள்.
盆	தொட்டி	மாடிப்படியில் ஒரு மலர் தொட்டி உள்ளது.
碰	தொடுதல்	கவனமாக இரு, சூடான நீரை தொடாதே.
批	தொகுதி	இந்த சரக்குத் தொகுதி இன்று வந்தது.
批准	ஒப்புதல் அளித்தல்	மேலாளர் இந்த திட்டத்திற்கு ஒப்புதல் அளித்தார்.
披	மேல் போர்த்துதல்	அவள் தோள்களின் மேல் ஒரு கோட்டை போர்த்தியிருக்கிறாள்.
疲劳	சோர்வு	நீண்ட நேரம் வேலை செய்வது சோர்வை ஏற்படுத்தும்.
匹	குதிரைகளுக்கான எண்ணுச்சொல்	புல்வெளியில் ஒரு குதிரை உள்ளது.
片	துண்டு	தயவு செய்து எனக்கு ஒரு ரொட்டித் துண்டு கொடுங்கள்.
片面	ஒருதலைப்பட்சமான	இந்த கருத்து மிக ஒருதலைப்பட்சமானது.
飘	மிதத்தல்	பனித்துகள்கள் காற்றில் மிதக்கின்றன.
拼音	பின்யின்	தயவு செய்து சீன எழுத்துகளின் அருகில் பின்யின் எழுதுங்கள்.
频道	சேனல்	தயவு செய்து செய்தி சேனலுக்கு மாற்றுங்கள்.
凭	அடிப்படையில்	டிக்கெட்டின் அடிப்படையில் உள்ளே செல்லலாம்.
平均	சராசரி	சராசரியாக ஒவ்வொருவரும் பத்து யுவான் செலவழித்தனர்.
平	சமதளமான	இந்த சாலை மிகவும் சமதளமாக உள்ளது.
平安	பாதுகாப்பான	உங்கள் பயணம் பாதுகாப்பாக அமையட்டும்.
平常	வழக்கமாக	அவர் வழக்கமாக தாமதமாக வருவது அரிது.
平等	சமத்துவம்	ஒவ்வொருவரையும் சமமாக நடத்த வேண்டும்.
平方	சதுர	இந்த அறை இருபது சதுர மீட்டர்.
平衡	சமநிலை	வேலைக்கும் வாழ்க்கைக்கும் சமநிலை தேவை.
平静	அமைதியான	ஏரியின் மேற்பரப்பு மிகவும் அமைதியாக உள்ளது.
评价	மதிப்பீடு செய்தல்	ஆசிரியர் மிகவும் உயர்ந்த மதிப்பீடு அளித்தார்.
破产	திவாலாகுதல்	அந்த நிறுவனம் கடந்த ஆண்டு திவாலானது.
破坏	சேதப்படுத்துதல்	தயவு செய்து பொது சொத்துகளை சேதப்படுத்தாதீர்கள்.
迫切	அவசரமான	எங்களுக்கு இன்னும் அதிக மருத்துவர்கள் அவசரமாக தேவை.
期待	ஆவலுடன் எதிர்பார்த்தல்	இந்த பயணத்தை நான் ஆவலுடன் எதிர்பார்க்கிறேன்.
期间	காலத்தில்	கூட்டத்தின் போது தயவு செய்து உங்கள் தொலைபேசியை அணைத்துவிடுங்கள்.
其余	மீதமுள்ள	மீதமுள்ள பிரச்சினைகள் நாளை விவாதிக்கப்படும்.
奇迹	அதிசயம்	இது ஒரு அதிசயம் என்று மருத்துவர் கூறினார்.
企业	நிறுவனம்	இந்த நிறுவனம் வேகமாக வளர்ந்து வருகிறது.
启发	ஊக்கம் அளித்தல்	இந்த புத்தகம் எனக்கு நிறைய ஊக்கம் அளித்தது.
气氛	சூழ்நிலை	வகுப்பறையின் சூழ்நிலை மிகவும் இலகுவாக உள்ளது.
汽油	பெட்ரோல்	காருக்கு பெட்ரோல் தேவை.
签	கையொப்பமிடுதல்	தயவு செய்து இங்கே உங்கள் பெயரை கையொப்பமிடுங்கள்.
谦虚	பணிவான	அவர் சிறந்தவராக இருந்தாலும் மிகவும் பணிவானவர்.
前途	எதிர்கால வாய்ப்பு	இந்த துறைக்கு நல்ல எதிர்கால வாய்ப்பு உள்ளது.
浅	ஆழமற்ற	இந்த நதி மிகவும் ஆழமற்றது.
欠	கடன்பட்டிருத்தல்	அவர் இன்னும் எனக்கு இருபது யுவான் கடன்பட்டிருக்கிறார்.
枪	துப்பாக்கி	காவலர் துப்பாக்கி பிடித்திருக்கிறார்.
墙	சுவர்	சுவரில் ஒரு ஓவியம் தொங்குகிறது.
强调	வலியுறுத்துதல்	ஆசிரியர் பாதுகாப்பு பிரச்சினைகளை வலியுறுத்தினார்.
强烈	வலுவான	அவருக்கு வலுவான பொறுப்புணர்வு உள்ளது.
抢	பறித்துக்கொள்ளுதல்	இருக்கைக்காக மற்றவர்களுடன் பறித்துக்கொள்ளாதே.
悄悄	அமைதியாக	அவள் அமைதியாக அறைக்குள் நடந்துவந்தாள்.
瞧	பார்த்தல்	பார், வெளியே பனி பெய்கிறது.
巧妙	நுணுக்கமான	இந்த முறை மிகவும் நுணுக்கமானது.
切	வெட்டுதல்	தயவு செய்து பழத்தை சிறு துண்டுகளாக வெட்டுங்கள்.
亲爱	அன்புள்ள	அன்புள்ள நண்பரே, நன்றி.
亲切	அன்பான	ஆசிரியர் மிகவும் அன்பாகப் பேசுகிறார்.
亲自	தனிப்பட்ட முறையில்	மேலாளர் தனிப்பட்ட முறையில் விருந்தினர்களை வரவேற்றார்.
勤奋	உழைப்பான	உழைப்பானவர்கள் வெற்றி பெற அதிக வாய்ப்பு உள்ளது.
清淡	மிதமான சுவையுள்ள	எனக்கு மிதமான சுவையுள்ள உணவுகள் பிடிக்கும்.
轻视	குறைவாக மதித்தல்	இந்த சிறிய பிரச்சினையை குறைவாக மதிக்காதே.
轻易	எளிதாக	அவர் எளிதாக கைவிடமாட்டார்.
青	நீலப்பச்சை	இந்த ஆடை நீலப்பச்சை நிறத்தில் உள்ளது.
青春	இளமை	இளமை மதிப்புமிக்கது.
青少年	இளையோர்	இளையோருக்கு போதுமான தூக்கம் தேவை.
情景	காட்சி	திரைப்படத்தின் காட்சி மிகவும் மனதை நெகிழச்செய்கிறது.
情绪	உணர்ச்சி நிலை	அவரது உணர்ச்சி நிலை மிகவும் நிலையாக இல்லை.
请求	கோரிக்கை	அவர் ஒரு கோரிக்கை வைத்தார்.
庆祝	கொண்டாடுதல்	நாங்கள் அவரது பிறந்தநாளை கொண்டாடினோம்.
球迷	விளையாட்டு ரசிகர்	பல விளையாட்டு ரசிகர்கள் போட்டியைப் பார்க்க வந்தனர்.
趋势	போக்கு	இந்த போக்கு மேலும் மேலும் தெளிவாகிறது.
取消	ரத்து செய்தல்	மழையால் நிகழ்ச்சி ரத்து செய்யப்பட்டது.
娶	திருமணம் செய்துகொள்ளுதல்	அவர் அடுத்த ஆண்டு அவளை திருமணம் செய்ய திட்டமிட்டுள்ளார்.
去世	மரணமடைதல்	அவரது தாத்தா கடந்த ஆண்டு மரணமடைந்தார்.
圈	வட்டம்	தயவு செய்து சரியான பதிலை வட்டமிடுங்கள்.
全面	முழுமையான	நாம் நிலைமையை முழுமையாகப் புரிந்துகொள்ள வேண்டும்.
权利	உரிமை	ஒவ்வொருவருக்கும் கல்வி பெறும் உரிமை உள்ளது.
权力	அதிகாரம்	அதிகாரம் கண்காணிக்கப்பட வேண்டும்.
劝	அறிவுறுத்துதல்	என் நண்பர் என்னை சீக்கிரம் ஓய்வெடுக்க அறிவுறுத்தினார்.
缺乏	பற்றாக்குறை	இந்த பகுதியில் சுத்தமான நீர் பற்றாக்குறை உள்ளது.
确定	தீர்மானித்தல்	நான் இன்னும் நேரத்தை தீர்மானிக்க முடியவில்லை.
确认	உறுதிப்படுத்துதல்	தயவு செய்து உங்கள் முகவரியை உறுதிப்படுத்துங்கள்.
群	குழு	ஒரு குழந்தைகள் குழு விளையாட்டு மைதானத்தில் விளையாடுகிறது.
燃烧	எரிதல்	மரம் எரிகிறது.
绕	சுற்றிச் செல்லுதல்	நாங்கள் ஏரியை ஒருமுறை சுற்றிச் சென்றோம்.
热爱	மிக நேசித்தல்	அவர் தனது வேலையை மிகவும் நேசிக்கிறார்.
热烈	உற்சாகமான	அனைவரும் விருந்தினர்களை உற்சாகமாக வரவேற்றனர்.
热心	உதவித் தன்மையுள்ள	அயலவர்கள் எல்லோரும் மிகவும் உதவித் தன்மையுள்ளவர்கள்.
人才	திறமையாளர்	நிறுவனத்திற்கு மேலும் திறமையாளர்கள் தேவை.
人口	மக்கள் தொகை	இந்த நகரத்தின் மக்கள் தொகை அதிகம்.
人类	மனிதகுலம்	மனிதகுலம் பூமியை பாதுகாக்க வேண்டும்.
人民币	ரென்மின்பி	நான் கொஞ்சம் ரென்மின்பி மாற்றிக்கொண்டேன்.
人生	வாழ்க்கை	வாழ்க்கையில் பல தேர்வுகள் உள்ளன.
人事	மனிதவளம்	அவள் மனிதவளத் துறையில் வேலை செய்கிறாள்.
人物	பாத்திரம்	நாவலின் பாத்திரங்கள் மிகவும் உண்மையாகத் தோன்றுகின்றன.
人员	பணியாளர்கள்	பணியாளர்கள் அனைவரும் வந்துவிட்டனர்.
忍不住	அடக்க முடியாமல்	நகைச்சுவையை கேட்ட பிறகு அவர் சிரிப்பை அடக்க முடியவில்லை.
日常	அன்றாட	இது என் அன்றாட வேலை.
日程	நிகழ்ச்சி நிரல்	இன்றைய நிகழ்ச்சி நிரல் மிகவும் நிரம்பியுள்ளது.
日历	நாட்காட்டி	சுவரில் ஒரு நாட்காட்டி தொங்குகிறது.
日期	தேதி	தயவு செய்து தேதியை தெளிவாக எழுதுங்கள்.
日用品	அன்றாடப் பொருட்கள்	பல்பொருள் அங்காடியில் பல அன்றாடப் பொருட்கள் விற்கப்படுகின்றன.
日子	நாட்கள்	இந்த நாட்களில் அவர் மிகவும் பிஸியாக இருக்கிறார்.
如何	எப்படி	இந்த பிரச்சினையை நாம் எப்படி தீர்ப்பது?
如今	இப்போது	இப்போது போக்குவரத்து மிகவும் வசதியாக உள்ளது.
软	மென்மையான	இந்த படுக்கை மிகவும் மென்மையாக உள்ளது.
软件	மென்பொருள்	இந்த மென்பொருள் பயன்படுத்த எளிதாக உள்ளது.
弱	பலவீனமான	அவரது உடல் ஒப்பீட்டளவில் பலவீனமாக உள்ளது.
洒	சிந்துதல்	அவர் தவறுதலாக நீரை சிந்திவிட்டார்.
嗓子	தொண்டை	என் தொண்டை சற்று வலிக்கிறது.
色彩	நிறங்கள்	இந்த ஓவியத்தில் நிறங்கள் செறிவாக உள்ளன.
杀	கொலை செய்தல்	இந்த திரைப்படத்தில் கொலை காட்சிகள் இல்லை.
沙漠	பாலைவனம்	பாலைவனத்தில் நீர் மிகவும் மதிப்புமிக்கது.
沙滩	மணற்கரை	குழந்தைகள் மணற்கரையில் விளையாடுகிறார்கள்.
傻	முட்டாள்தனமான	முட்டாள்தனமான காரியம் எதையும் செய்யாதே.
晒	வெயிலில் உலர்த்துதல்	ஆடைகள் பால்கனியில் வெயிலில் உலர்கின்றன.
删除	நீக்குதல்	தயவு செய்து இந்த மின்னஞ்சலை நீக்குங்கள்.
闪电	மின்னல்	இரவில் மின்னல் தோன்றியது.
善良	நல்ல மனமுள்ள	அவள் நல்ல மனமுள்ளவர்.
善于	திறமையாக இருப்பது	அவர் பிரச்சினைகளைத் தீர்ப்பதில் திறமையானவர்.
扇子	விசிறி	கோடைக்காலத்தில் நான் அடிக்கடி விசிறி பயன்படுத்துகிறேன்.
伤害	காயப்படுத்துதல்	மற்றவர்களின் உணர்வுகளை காயப்படுத்தாதே.
商品	விற்பனைப் பொருள்	இந்த கடையில் பல விற்பனைப் பொருட்கள் உள்ளன.
商务	வணிகம் சார்ந்த	அவர் நாளை வணிகக் கூட்டத்தில் கலந்து கொள்வார்.
商业	வர்த்தகம்	இந்த பகுதியில் வர்த்தகம் நன்றாக வளர்ந்துள்ளது.
上当	ஏமாற்றப்படுதல்	அவர் கிட்டத்தட்ட ஏமாற்றப்பட்டார்.
蛇	பாம்பு	புல்லில் ஒரு பாம்பு உள்ளது.
舍不得	விட்டுப் பிரிய மனமில்லாத	இந்த இடத்தை விட்டு பிரிய எனக்கு மனமில்லை.
射击	துப்பாக்கிச் சுடுதல்	அவர் துப்பாக்கிச் சுடுதல் பயிற்சி செய்கிறார்.
摄影	புகைப்படக்கலை	அவளுக்கு புகைப்படக்கலையில் மிகுந்த ஆர்வம் உள்ளது.
设备	உபகரணம்	ஆய்வகத்தின் உபகரணங்கள் மிகவும் மேம்பட்டவை.
设计	வடிவமைப்பு	இந்த வடிவமைப்பு மிகவும் படைப்பாற்றலானது.
设施	வசதிகள்	பள்ளியின் விளையாட்டு வசதிகள் நல்லவை.
伸	நீட்டுதல்	தயவு செய்து உங்கள் கையை நீட்டுங்கள்.
深刻	ஆழமான	இந்த அனுபவம் எனக்கு ஆழமான தாக்கத்தை விட்டது.
身材	உடல்வாகு	அவளுக்கு ஆரோக்கியமான உடல்வாகு உள்ளது.
身份	அடையாளம்	தயவு செய்து அடையாளச் சான்றை காட்டுங்கள்.
神话	புராணக் கதை	குழந்தைகள் புராணக் கதைகள் கேட்க விரும்புகிறார்கள்.
神秘	மர்மமான	இந்த பண்டைய நகரம் மிகவும் மர்மமானது.
升	உயர்தல்	எண்ணெய் விலை ஒரு லிட்டருக்கு கொஞ்சம் உயர்ந்தது.
声调	தொனி	சீன மொழியில் நான்கு அடிப்படை தொனிகள் உள்ளன.
生产	உற்பத்தி செய்தல்	இந்த தொழிற்சாலை கைப்பேசிகளை உற்பத்தி செய்கிறது.
生动	உயிரோட்டமான	ஆசிரியர் மிகவும் உயிரோட்டமாக விளக்குகிறார்.
生长	வளர்தல்	இந்த வகை செடி வேகமாக வளர்கிறது.
绳子	கயிறு	தயவு செய்து பெட்டியை கயிறால் கட்டுங்கள்.
省略	விட்டுவிடுதல்	இங்கே ஒரு எழுத்தை விட்டுவிடலாம்.
胜利	வெற்றி	அவர்கள் இறுதியில் வெற்றி பெற்றனர்.
失眠	தூக்கமின்மை	சமீபத்தில் அவருக்கு அடிக்கடி தூக்கமின்மை உள்ளது.
失去	இழத்தல்	நம்பிக்கையை இழக்காதே.
失业	வேலையிழப்பு	வேலை இழந்த பிறகு அவர் புதிய திறன்களை கற்கத் தொடங்கினார்.
湿润	ஈரப்பதமான	மழைக்குப் பிறகு காற்று மிகவும் ஈரப்பதமாக உள்ளது.
狮子	சிங்கம்	விலங்குக் காட்சிச்சாலையில் இரண்டு சிங்கங்கள் உள்ளன.
诗	கவிதை	அவர் ஒரு கவிதை எழுதினார்.
实话	உண்மை	தயவு செய்து உண்மையைச் சொல்லுங்கள்.
实践	நடைமுறை	கோட்பாடு நடைமுறையின் மூலம் சோதிக்கப்பட வேண்டும்.
实习	பயிற்சி வேலை	கோடை விடுமுறையில் அவள் மருத்துவமனையில் பயிற்சி வேலை செய்வாள்.
实现	நனவாக்குதல்	அவர் இறுதியில் தனது கனவை நனவாக்கினார்.
实验	சோதனை	மாணவர்கள் சோதனை செய்கிறார்கள்.
实用	நடைமுறை பயனுள்ள	இந்த கருவி மிகவும் நடைமுறை பயனுடையது.
时差	நேர வித்தியாசம்	அவர் இன்னும் நேர வித்தியாசத்துக்கு பழகவில்லை.
时代	காலம்	நாம் தகவல் காலத்தில் வாழ்கிறோம்.
时刻	தருணம்	தயவு செய்து இந்த முக்கியமான தருணத்தை நினைவில் கொள்ளுங்கள்.
时髦	நவநாகரிகமான	இந்த ஆடை மிகவும் நவநாகரிகமானது.
时期	காலம்	அவரது பல்கலைக்கழக காலம் அவர்மீது பெரும் தாக்கம் ஏற்படுத்தியது.
时尚	நாகரிகம்	அவளுக்கு நாகரிகத்தில் அதிக ஆர்வம் உள்ளது.
石头	கல்	சாலையோரத்தில் ஒரு கல் உள்ளது.
食物	உணவு	தயவு செய்து உணவை குளிர்சாதனப் பெட்டியில் வையுங்கள்.
使劲儿	முழு வலிமை பயன்படுத்துதல்	இந்த பாட்டிலைத் திறக்க கொஞ்சம் வலிமை பயன்படுத்த வேண்டும்.
始终	எப்போதும்	அவர் வெற்றி பெற முடியும் என்று எப்போதும் நம்பினார்.
事实	உண்மை நிலை	உண்மை நிலை அவர் சரியானவர் என்பதை நிரூபிக்கிறது.
事物	பொருள்	குழந்தைகள் புதிய பொருட்களைப் பற்றி மிகவும் ஆர்வமாக இருக்கிறார்கள்.
事先	முன்கூட்டியே	தயவு செய்து நேரத்தை எனக்கு முன்கூட்டியே சொல்லுங்கள்.
似的	போல	அவர் மிகவும் சோர்வாக இருந்து, ஒரு வார்த்தையும் பேச விரும்பாதவர் போல இருந்தார்.
士兵	படைவீரர்	படைவீரர்கள் பயிற்சி செய்கிறார்கள்.
市场	சந்தை	இந்த சந்தை மிகவும் பரபரப்பாக உள்ளது.
试卷	தேர்வுத்தாள்	ஆசிரியர் தேர்வுத்தாள்களை திருத்துகிறார்.
收获	பலன்	இந்த பயணத்தில் எனக்கு நிறைய பலன் கிடைத்தது.
收据	ரசீது	பணம் செலுத்திய பிறகு தயவு செய்து ரசீதை வைத்துக்கொள்ளுங்கள்.
手工	கைத்தொழில்	இந்த பரிசு கையால் செய்யப்பட்டதாகும்.
手术	அறுவை சிகிச்சை	மருத்துவர் நாளை அவருக்கு அறுவை சிகிச்சை செய்வார்.
手套	கையுறை	குளிர்காலத்தில் வெளியே செல்லும்போது கையுறை அணியுங்கள்.
手续	நடவடிக்கைகள்	நடவடிக்கைகளை செய்ய அடையாள அட்டை தேவை.
手指	விரல்	அவரது விரல் காயமடைந்துள்ளது.
首	பாடலுக்கான எண்ணுச்சொல்	அவள் ஒரு பாடல் பாடினாள்.
受伤	காயமடைதல்	அவர் போட்டியின் போது காயமடைந்தார்.
寿命	ஆயுட்காலம்	இந்த வகை இயந்திரத்திற்கு நீண்ட ஆயுட்காலம் உள்ளது.
书架	புத்தக அலமாரி	புத்தக அலமாரி புத்தகங்களால் நிரம்பியுள்ளது.
梳子	சீப்பு	அவள் சீப்பால் தலைமுடியை வாருகிறாள்.
舒适	வசதியான	இந்த அறை மிகவும் வசதியாக உள்ளது.
蔬菜	காய்கறிகள்	அதிக காய்கறிகள் சாப்பிடுவது உடல்நலத்திற்கு நல்லது.
输入	உள்ளிடுதல்	தயவு செய்து கடவுச்சொல்லை கணினியில் உள்ளிடுங்கள்.
熟练	திறமையாக	அவர் கணினியை திறமையாகப் பயன்படுத்த முடியும்.
属于	சேர்ந்திருத்தல்	இந்த புத்தகம் நூலகத்துக்குச் சேர்ந்தது.
数	எண்ணுதல்	தயவு செய்து எத்தனை பேர் உள்ளனர் என்று எண்ணுங்கள்.
鼠标	கணினி சுட்டி	என் கணினி சுட்டி பழுதாகியுள்ளது.
数据	தரவு	இந்த தரவுகள் மிகவும் முக்கியமானவை.
数码	மின்னணு	அவர் ஒரு மின்னணு கேமரா வாங்கினார்.
摔倒	விழுதல்	அவள் சாலையில் விழுந்தாள்.
甩	உதறுதல்	அவர் கைகளிலிருந்த நீரை உதறினார்.
双方	இரு தரப்புகள்	இரு தரப்புகளும் இந்த திட்டத்திற்கு ஒப்புக்கொண்டன.
税	வரி	பொருட்கள் வாங்கும்போது வரி செலுத்த வேண்டும்.
说不定	ஒருவேளை	ஒருவேளை நாளை பனி பெய்யலாம்.
说服	சமாதானப்படுத்துதல்	அவர் இறுதியில் தன் பெற்றோரை சமாதானப்படுத்தினார்.
丝绸	பட்டு	இந்த கழுத்துத் துணி பட்டால் செய்யப்பட்டதாகும்.
丝毫	சிறிதளவும்	அவர் தனது எண்ணத்தை சிறிதளவும் மாற்றவில்லை.
思考	சிந்தித்தல்	தயவு செய்து இந்த பிரச்சினையை கவனமாக சிந்தியுங்கள்.
思想	சிந்தனை	அவரது சிந்தனை மிகவும் திறந்ததாக உள்ளது.
撕	கிழித்தல்	தயவு செய்து இந்த காகிதத்தை கிழிக்காதீர்கள்.
私人	தனிப்பட்ட	இது என் தனிப்பட்ட இடம்.
似乎	போலத் தெரிகிறது	அவர் மிகவும் மகிழ்ச்சியாக இல்லாதவர் போலத் தெரிகிறார்.
搜索	தேடுதல்	நான் இணையத்தில் பொருட்களைத் தேடினேன்.
宿舍	விடுதி	மாணவர்கள் பள்ளி விடுதியில் வசிக்கிறார்கள்.
随身	உடன் வைத்திருத்தல்	தயவு செய்து உங்கள் கடவுச்சீட்டை உடன் வைத்திருங்கள்.
随时	எப்போது வேண்டுமானாலும்	நீங்கள் எப்போது வேண்டுமானாலும் எனக்கு அழைக்கலாம்.
随手	வழியிலேயே	வெளியே செல்லும்போது வழியிலேயே கதவை மூடுங்கள்.
碎	உடைந்த	கோப்பை தரையில் விழுந்து உடைந்தது.
损失	இழப்பு	இந்த விபத்து பெரிய இழப்பை ஏற்படுத்தியது.
缩短	குறைத்தல்	புதிய பாதை பயணத்தை குறைத்தது.
所	நிறுவனங்களுக்கான எண்ணுச்சொல்	இந்த பள்ளி மிகவும் புகழ்பெற்றது.
锁	பூட்டுதல்	வெளியே செல்லும் முன் கதவை பூட்டுங்கள்.
台阶	படிக்கட்டு	முதியவர் படிக்கட்டுகளை மெதுவாக ஏறினார்.
太极拳	தைச்சி	பூங்காவில் சிலர் தைச்சி பயிற்சி செய்கிறார்கள்.
太太	திருமதி	திருமதி வாங் சமைத்துக் கொண்டிருக்கிறார்.
谈判	பேச்சுவார்த்தை	இரு தரப்புகளும் பேச்சுவார்த்தை நடத்துகின்றன.
坦率	வெளிப்படையான	அவர் தன் எண்ணங்களை வெளிப்படையாகச் சொன்னார்.
烫	சூடான	இந்த தேநீர் மிகவும் சூடாக உள்ளது.
桃	பீச் பழம்	மரத்தில் பல பீச் பழங்கள் வளர்ந்துள்ளன.
淘气	குறும்பான	இந்த குழந்தை கொஞ்சம் குறும்பானது.
逃	தப்பிச் செல்வது	நாய்க்குட்டி முற்றத்திலிருந்து தப்பிச் சென்றது.
逃避	தவிர்த்தல்	பொறுப்பை தவிர்க்காதே.
讨价还价	விலை பேசுதல்	அவர் பொருட்கள் வாங்கும்போது விலை பேச விரும்புகிறார்.
套	தொகுப்பு	அவர் புதிய ஆடைத்தொகுப்பு வாங்கினார்.
特色	சிறப்பம்சம்	இந்த உணவகத்திற்கு உள்ளூர் சிறப்பம்சங்கள் உள்ளன.
特殊	சிறப்பு	இன்று ஒரு சிறப்பு நாள்.
特征	அம்சம்	இந்த வகை விலங்கிற்கு தெளிவான அம்சங்கள் உள்ளன.
疼爱	மிக நேசித்தல்	தாத்தா பாட்டி குழந்தையை மிகவும் நேசிக்கிறார்கள்.
提倡	வலியுறுத்திப் பரப்புதல்	பள்ளி தண்ணீர் சேமிப்பை வலியுறுத்திப் பரப்புகிறது.
提纲	குறிப்புரு	கட்டுரை எழுதுவதற்கு முன் குறிப்புரு தயாரிக்கவும்.
提问	கேள்வி கேட்குதல்	மாணவர்கள் எப்போது வேண்டுமானாலும் கேள்வி கேட்கலாம்.
题目	கேள்வி	இந்த கேள்வி மிகவும் கடினமல்ல.
体会	புரிதல்	பயணம் மூலம் எனக்கு புதிய புரிதல் கிடைத்தது.
体贴	அக்கறையுள்ள	அவர் குடும்பத்தினரிடம் மிகவும் அக்கறையுள்ளவர்.
体现	பிரதிபலித்தல்	இந்த விஷயம் குழு உணர்வை பிரதிபலிக்கிறது.
体验	அனுபவித்தல்	நான் உள்ளூர் வாழ்க்கையை அனுபவிக்க விரும்புகிறேன்.
天空	வானம்	இன்று வானம் மிகவும் நீலமாக உள்ளது.
天真	அப்பாவியான	குழந்தையின் எண்ணம் மிகவும் அப்பாவியானது.
调皮	குறும்பான	அந்த பூனை மிகவும் குறும்பானது.
调整	சரிசெய்தல்	நாம் திட்டத்தை சரிசெய்ய வேண்டும்.
挑战	சவால்	இது ஒரு பெரிய சவால்.
通常	வழக்கமாக	அவர் வழக்கமாக ஏழு மணிக்கு எழுந்திருப்பார்.
统一	ஒன்றுபடுத்துதல்	அனைவரின் கருத்துகளையும் ஒன்றுபடுத்த வேண்டும்.
痛苦	வேதனை	நண்பரை இழந்தது அவருக்கு மிகுந்த வேதனையை அளித்தது.
痛快	மிக மகிழ்ச்சியாக	இன்று நாங்கள் மிகவும் மகிழ்ச்சியாக இருந்தோம்.
偷	திருடுதல்	மற்றவர்களின் பொருட்களை திருடாதே.
投入	முழு கவனத்துடன் ஈடுபடுதல்	அவர் மிகுந்த கவனத்துடன் வேலை செய்கிறார்.
