simplified	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
举办	megrendezni; megtartani	Ezt az eseményt mi szervezzük.	a organiza; a ține	Acest eveniment este organizat de noi.	организирам; провеждам	Това събитие се организира от нас.	organizirati; održati	Ovaj događaj organiziramo mi.
举行	megtartani; megrendezni	Az értekezlet két órakor lesz.	a avea loc; a ține	Ședința va avea loc la ora două.	провеждам; състоя се	Срещата ще се проведе в два часа.	održati; održavati	Sastanak će se održati u dva sata.
拒绝	visszautasítani; elutasítani	Visszautasította mindenki meghívását.	a refuza; a respinge	A refuzat invitația tuturor.	отказвам; отхвърлям	Той отказа поканата на всички.	odbiti; odbaciti	Odbio je svačiji poziv.
聚会	összejövetel; buli; találkozni	Holnap lesz egy összejövetel, szeretnél részt venni?	o petrecere; o întâlnire; a se întâlni	Mâine este o petrecere, vrei să participi?	събиране; парти	Утре има събиране, искаш ли да участваш?	zabava; okupljanje	Sutra je okupljanje, želiš li sudjelovati?
距离	távolság; messze lenni	Az otthonom nagyon messze van a cégtől.	distanță; a fi departe	Casa mea este foarte departe de companie.	разстояние; далеч съм	Домът ми е много далеч от фирмата.	udaljenost; biti daleko	Moj je dom daleko od tvrtke.
开玩笑	viccelni; tréfálni	Csak viccelsz, ugye?	a glumi; a face o glumă	Glumești, nu-i așa?	шегувам се	Шегуваш се, нали?	šaliti se	Šališ se, zar ne?
开心	boldognak lenni; jól érezni magát	A húgom boldogan elmosolyodott.	a fi fericit; a se bucura	Sora mea mai mică a zâmbit fericită.	щастлив съм; радвам се	Малката ми сестра се усмихна щастливо.	biti sretan; veseliti se	Moja se mlađa sestra sretno nasmiješila.
看法	nézet; vélemény; álláspont	Mindig ragaszkodott a saját véleményéhez.	opinie; punct de vedere	A insistat mereu asupra propriei opinii.	мнение; гледна точка	Той винаги е настоявал на своето мнение.	mišljenje; gledište	Uvijek je ustrajao u svom mišljenju.
烤鸭	sült kacsa	A pekingi sült kacsa híres.	rață friptă	Rața friptă de Beijing este celebră.	печена патица	Пекинската печена патица е известна.	pečena patka	Pekinška pečena patka je poznata.
考虑	átgondolni; megfontolni	Komolyan átgondolom ezt a kérdést.	a se gândi; a lua în considerare	Voi lua serios în considerare această problemă.	обмислям; разглеждам	Ще обмисля сериозно този въпрос.	razmotriti; promisliti	Ozbiljno ću razmotriti ovo pitanje.
棵	számlálószó fákra és növényekre	Ez a fa magas és nagy.	clasificator pentru copaci și plante	Acest copac este înalt și mare.	класификатор за дървета и растения	Това дърво е високо и голямо.	klasifikator za stabla i biljke	Ovo je stablo visoko i veliko.
科学	tudomány; tudományos	Az iskolában sok tudományos ismeretet szerzett.	știință; științific	La școală a învățat multe cunoștințe științifice.	наука; научен	В училище той научи много научни знания.	znanost; znanstveni	U školi je stekao mnogo znanstvenog znanja.
咳嗽	köhögni	Megfázott, és nagyon csúnyán köhög.	a tuși	A răcit și tușește foarte tare.	кашлям	Той е настинал и кашля силно.	kašljati	Prehlađen je i jako kašlje.
可怜	sajnálatra méltó; szegény	A gyerek nem talál haza, szegény.	vrednic de milă; sărman	Acest copil nu-și găsește casa, sărmanul.	жалък; клет	Това дете не може да намери дома си, горкото.	jadan; vrijedan žaljenja	Ovo dijete ne može pronaći dom, jadno.
可是	de; azonban	Bár nagyon szeretnék menni, tényleg nincs időm.	dar; însă	Deși vreau foarte mult să merg, chiar nu am timp.	но; обаче	Въпреки че много искам да отида, наистина нямам време.	ali; međutim	Iako stvarno želim ići, zaista nemam vremena.
可惜	kár; milyen kár	Nagy kár, hogy nem tudsz eljönni az összejövetelünkre.	păcat; ce păcat	Este mare păcat că nu poți veni la petrecerea noastră.	жалко; каква жал	Много жалко, че не можеш да дойдеш на нашето събиране.	šteta; kakva šteta	Šteta je što ne možeš doći na naše okupljanje.
客厅	nappali	Apa éppen tévét néz a nappaliban.	o sufragerie; un living	Tata se uită la televizor în sufragerie.	дневна; хол	Татко гледа телевизия в хола.	dnevni boravak	Tata gleda televiziju u dnevnom boravku.
肯定	biztos; bizonyosan	Öt óra előtt biztosan visszajövök.	sigur; cu siguranță	Cu siguranță mă voi întoarce înainte de ora cinci.	сигурен; със сигурност	Със сигурност ще се върна преди пет часа.	siguran; sigurno	Sigurno ću se vratiti prije pet sati.
空	üres; szabad	Ez a szoba üres.	gol; liber	Această cameră este goală.	празен; свободен	Тази стая е празна.	prazan; slobodan	Ova je soba prazna.
空气	levegő; légkör	A parkban nagyon friss a levegő.	aer; atmosferă	Aerul din parc este foarte proaspăt.	въздух; атмосфера	Въздухът в парка е много свеж.	zrak; atmosfera	Zrak u parku je vrlo svjež.
恐怕	attól tartok; félek, hogy	Attól tartok, esni fog. Hoztál esernyőt?	mă tem că; mi-e teamă că	Mă tem că va ploua, ai adus umbrelă?	страхувам се, че; опасявам се	Опасявам се, че ще вали. Носиш ли чадър?	bojim se da; strahovati	Bojim se da će padati kiša. Jesi li ponio kišobran?
苦	keserű; nehézség; szenvedés	Ez a kávé nagyon keserű.	amar; suferință; greutate	Această cafea este foarte amară.	горчив; страдание; трудност	Тази чаша кафе е много горчива.	gorak; patnja; teškoća	Ova je kava vrlo gorka.
矿泉水	ásványvíz	Vettem két üveg ásványvizet.	apă minerală	Am cumpărat două sticle de apă minerală.	минерална вода	Купих две бутилки минерална вода.	mineralna voda	Kupio sam dvije boce mineralne vode.
困	álmos; fáradt	Álmos vagyok, aludni megyek.	somnolent; obosit	Mi-e somn și vreau să merg la culcare.	сънлив; уморен	Сънлив съм и искам да си лягам.	pospan; umoran	Pospan sam i želim ići spavati.
困难	nehéz; nehézség	Ez a feladat számomra nagyon nehéz.	dificil; dificultate	Această sarcină este foarte dificilă pentru mine.	труден; трудност	Тази задача е много трудна за мен.	težak; poteškoća	Ovaj je zadatak za mene vrlo težak.
垃圾桶	szemetes kuka	Az utcán sok szemetes kuka van.	un coș de gunoi	Pe stradă sunt multe coșuri de gunoi.	кош за боклук	На улицата има много кошчета за боклук.	kanta za smeće	Na ulici ima mnogo kanti za smeće.
拉	húzni; fogni	Anya megfogta a lánya kezét.	a trage; a ține	Mama și-a luat fiica de mână.	дърпам; държа	Майката хвана дъщеря си за ръка.	povući; držati	Majka je uhvatila kćer za ruku.
辣	csípős; pikáns	Nem vagyok hozzászokva a túl csípős ételekhez.	iute; picant	Nu sunt obișnuit să mănânc mâncăruri prea iuți.	лют; пикантен	Не съм свикнал да ям твърде люти ястия.	ljut; pikantan	Nisam navikao jesti previše ljuta jela.
来不及	nincs elég idő; már túl késő	Ma reggel későn keltem, és már nem volt időm reggelizni.	a nu avea timp; a fi prea târziu	M-am trezit târziu azi-dimineață și nu am mai avut timp să iau micul dejun.	няма време; твърде късно е	Тази сутрин станах късно и не ми остана време за закуска.	ne stići; biti prekasno	Jutros sam kasno ustao i nisam stigao doručkovati.
来得及	még van idő; időben sikerül	A film csak fél tízkor kezdődik, még van idő.	a mai avea timp; a reuși la timp	Filmul începe abia la nouă și jumătate, încă avem timp.	има още време; успявам навреме	Филмът започва чак в девет и половина, още има време.	stignuti; imati još vremena	Film počinje tek u pola deset, još ima vremena.
来自	származni; jönni valahonnan	Shandong tartományból származom.	a veni din	Eu vin din provincia Shandong.	идвам от	Аз съм от провинция Шандун.	dolaziti iz	Dolazim iz pokrajine Shandong.
懒	lusta	A macskám nagyon lusta, egész délután alszik.	leneș	Pisica mea este foarte leneșă și doarme toată după-amiaza.	мързелив	Моята котка е много мързелива и спи цял следобед.	lijen	Moja je mačka vrlo lijena i spava cijelo poslijepodne.
浪费	pazarolni; eltékozolni	Ezt így csinálni csak időpazarlás.	a risipi; a irosi	A face așa este doar o pierdere de timp.	пилея; прахосвам	Да се прави така е просто губене на време.	rasipati; tratiti	Tako raditi samo je gubljenje vremena.
浪漫	romantikus	Ez a könyv egy romantikus szerelmi történetet mesél el.	romantic	Această carte spune o poveste de dragoste romantică.	романтичен	Тази книга разказва романтична любовна история.	romantičan	Ova knjiga priča romantičnu ljubavnu priču.
老虎	tigris	Valahányszor állatkertbe megyünk, a fiam legszívesebben a tigrist nézi.	un tigru	De fiecare dată când mergem la grădina zoologică, fiului meu îi place cel mai mult să vadă tigrul.	тигър	Всеки път, когато ходим в зоопарка, синът ми най-много обича да гледа тигъра.	tigar	Svaki put kad idemo u zoološki vrt, moj sin najviše voli gledati tigra.
冷静	nyugodt; higgadt	Ne izgulj fel, először nyugodj meg.	calm; lucid	Nu te agita, mai întâi calmează-te.	спокоен; хладнокръвен	Не се вълнувай, първо се успокой.	miran; pribran	Nemoj se uzbuđivati, prvo se smiri.
理发	hajat vágatni; hajvágás	Mikor mész hajat vágatni?	a se tunde; tunsoare	Când mergi să te tunzi?	подстригвам се; подстрижка	Кога ще отидеш да се подстрижеш?	ošišati se; šišanje	Kada ideš na šišanje?
理解	megérteni; megértés	Meg tudod már érteni ezt a kérdést?	a înțelege; înțelegere	Poți înțelege acum această întrebare?	разбирам; разбиране	Можеш ли вече да разбереш този въпрос?	razumjeti; razumijevanje	Možeš li razumjeti ovo pitanje?
理想	ideál; álom	Mi az ideális foglalkozás számodra?	ideal; vis	Care este cariera ta ideală?	идеал; мечта	Каква е идеалната ти професия?	ideal; san	Koja je tvoja idealna karijera?
礼拜天	vasárnap	Szabad vagy ezen a vasárnapon?	duminică	Ești liber duminica aceasta?	неделя	Свободен ли си тази неделя?	nedjelja	Jesi li slobodan ove nedjelje?
礼貌	udvariasság; jó modor	Ez a kisgyerek nagyon udvarias.	politețe; bune maniere	Acest copil este foarte politicos.	учтивост; добри обноски	Това дете е много учтиво.	pristojnost; manire	Ovo je dijete vrlo pristojno.
例如	például; mint például	Szeretem a sportot, például a futást és az úszást.	de exemplu; precum	Îmi plac sporturile, de exemplu alergarea și înotul.	например; като например	Обичам спортове, например бягане и плуване.	na primjer; primjerice	Volim sportove, na primjer trčanje i plivanje.
力气	erő	Ennyi gyaloglás után annyira elfáradtam, hogy semmi erőm nem maradt.	putere; forță	După atâta mers, eram atât de obosit încât nu mai aveam deloc putere.	сила	След толкова ходене бях толкова уморен, че нямах никаква сила.	snaga	Nakon toliko hodanja bio sam toliko umoran da mi nije ostalo nimalo snage.
厉害	komoly; súlyos	Nagyon súlyosan beteg volt, és kórházba került.	grav; sever	A fost foarte bolnav și a fost internat în spital.	сериозен; тежък	Той беше много тежко болен и беше приет в болница.	ozbiljan; težak	Bio je teško bolestan i završio je u bolnici.
俩	ketten; mindketten	Mi ketten jó barátok vagyunk.	doi; amândoi	Noi doi suntem prieteni buni.	двама; и двамата	Ние двамата сме добри приятели.	dvoje; oboje	Nas dvoje smo dobri prijatelji.
联系	kapcsolat; kapcsolatban lenni	Tartod még a kapcsolatot az egyetemi csoporttársaiddal?	contact; legătură	Mai ții legătura cu colegii de facultate?	връзка; контакт	Още ли поддържаш връзка със състудентите си?	kontakt; veza	Jesi li još u kontaktu s kolegama s fakulteta?
连	még; beleértve	Hogy felejthettél el még engem is?	chiar; inclusiv	Cum ai putut să mă uiți chiar și pe mine?	дори; включително	Как можа да забравиш дори мен?	čak; uključujući	Kako si mogao zaboraviti čak i mene?
凉快	kellemesen hűvös; hűs	Az őszi időjárás kellemesen hűvös.	răcoros; plăcut de rece	Vremea de toamnă este răcoroasă.	прохладен; приятно хладен	Есенното време е много прохладно.	ugodno hladan; svjež	Jesensko vrijeme je ugodno svježe.
零钱	aprópénz; visszajáró	Tudna nekem aprópénzre váltani?	mărunțiș; bani mărunți	Puteți să-mi schimbați niște bani în mărunțiș?	дребни пари; ресто	Можете ли да ми развалите пари на дребно?	sitniš; sitan novac	Možete li mi razmijeniti novac u sitniš?
另外	másik; ezenkívül	Még egy másik dologról is szeretnék beszélni veled.	alt; în plus	Vreau să mai vorbesc cu tine despre încă un lucru.	друг; освен това	Искам да говоря с теб и за още нещо.	drugi; osim toga	Želim razgovarati s tobom o još jednoj stvari.
流利	folyékonyan	A kínait nagyon folyékonyan beszéled.	fluent	Vorbești chineza foarte fluent.	свободен; гладък	Говориш китайски много свободно.	tečan	Kineski govoriš vrlo tečno.
流行	népszerű; divatos	Sok fiatal szereti a popzenét.	popular; la modă	Mulți tineri iubesc muzica pop.	популярен; модерен	Много млади хора харесват поп музика.	popularan; moderan	Mnogi mladi vole popularnu glazbu.
留	hagyni; maradni	Kérem, hagyja meg a telefonszámát.	a lăsa; a rămâne	Vă rog să vă lăsați numărul de telefon.	оставям; оставам	Моля, оставете телефонния си номер.	ostaviti; ostati	Molim vas, ostavite svoj telefonski broj.
旅行	utazni; utazás	Azt tervezzük, hogy nyáron Yunnanba utazunk.	a călători; călătorie	Plănuim să călătorim în Yunnan vara.	пътувам; пътуване	Планираме през лятото да пътуваме до Юнан.	putovati; putovanje	Planiramo ljeti putovati u Yunnan.
乱	rendetlen; zavaros	A kiskutya nagyon rendetlenné tette a szobát.	dezordon; haotic	Cățelul a făcut camera foarte dezordonată.	разхвърлян; безреден	Кученцето направи стаята много разхвърляна.	neuredan; kaotičan	Štene je jako uneredilo sobu.
律师	ügyvéd	Anyukám ügyvéd.	avocat	Mama mea este avocat.	адвокат	Майка ми е адвокат.	odvjetnik	Moja majka je odvjetnica.
麻烦	zavarni; kellemetlen; baj	Megtenné, hogy hoz nekem egy poharat?	a deranja; supărător; necaz	Mă puteți ajuta să-mi aduceți un pahar?	безпокоя; неприятен; проблем	Бихте ли ми помогнали да взема една чаша?	gnjaviti; problematičan	Možete li mi, molim vas, donijeti čašu?
马虎	gondatlan; hanyag	Egy kis figyelmetlenség is hibához vezethet.	neglijent; neatent	Puțină neatenție poate duce la greșeli.	небрежен; невнимателен	Дори малко невнимание може да доведе до грешки.	nepažljiv; nemaran	Malo nepažnje može dovesti do pogrešaka.
满	teli; tele van	A pohár tele van.	plin; umplut	Paharul este plin.	пълен; напълнен	Чашата е пълна.	pun; ispunjen	Čaša je puna.
毛	szőr; haj	Ennek a macskának fehér a szőre.	păr; blană	Blana acestei pisici este albă.	козина; косъм	Козината на тази котка е бяла.	dlaka; krzno	Krzno ove mačke je bijelo.
毛巾	törölköző	Meleged van, töröld le az izzadságot egy törölközővel.	un prosop	Ți-e cald, șterge-ți transpirația cu un prosop.	кърпа	Горещо ти е, избърши потта си с кърпа.	ručnik	Vruće ti je, obriši znoj ručnikom.
美丽	szép; gyönyörű	Ő tényleg gyönyörű lány.	frumos; superb	Ea este într-adevăr o fată frumoasă.	красив; прекрасен	Тя наистина е красиво момиче.	lijep; prekrasan	Ona je zaista lijepa djevojka.
梦	álom	Ez tényleg érdekes álom!	un vis	Acesta este într-adevăr un vis interesant!	сън; мечта	Това наистина е интересен сън!	san	Ovo je zaista zanimljiv san!
迷路	eltévedni	Elveszett az erdőben.	a se rătăci	S-a rătăcit în pădure.	изгубвам се	Той се изгуби в гората.	izgubiti se	Izgubio se u šumi.
密码	jelszó; kód	Elfelejtettem a hitelkártyám jelszavát.	o parolă; cod	Am uitat parola cardului meu de credit.	парола; код	Забравих паролата на кредитната си карта.	lozinka; kod	Zaboravio sam lozinku svoje kreditne kartice.
免费	ingyenes	Ebben az étteremben az italok ingyenesek.	gratuit	La acest restaurant, băuturile sunt gratuite.	безплатен	В този ресторант напитките са безплатни.	besplatan	U ovom su restoranu pića besplatna.
秒	másodperc	Kérlek, várj rám tíz másodpercet.	o secundă	Te rog să mă aștepți zece secunde.	секунда	Моля, изчакай ме десет секунди.	sekunda	Molim te, pričekaj me deset sekundi.
民族	nemzetiség; etnikai csoport	Kína soknemzetiségű ország.	naționalitate; grup etnic	China este o țară multietnică.	народност; етническа група	Китай е многоетническа държава.	narodnost; etnička skupina	Kina je multietnička zemlja.
母亲	anya; édesanya	Hadd mutassam be, ő az édesanyám.	mamă; mamă formală	Permiteți-mi să vă prezint, aceasta este mama mea.	майка	Позволете да представя, това е майка ми.	majka	Dopustite da predstavim, ovo je moja majka.
目的	cél; szándék	Nem értem, mi a célja ezzel.	scop; obiectiv	Nu înțeleg scopul pentru care face asta.	цел; намерение	Не разбирам целта му да прави това.	cilj; svrha	Ne razumijem njegovu svrhu u tome.
耐心	türelem; türelmes	A gyerekek neveléséhez türelem kell.	răbdare; răbdător	Este nevoie de răbdare când educi copiii.	търпение; търпелив	За възпитанието на деца е нужно търпение.	strpljenje; strpljiv	Za odgoj djece potrebno je strpljenje.
难道	hát nem; talán nem	Hát ezek az ételek nem finomak?	oare; nu cumva	Oare aceste feluri de mâncare nu sunt gustoase?	нима; да не би	Нима тези ястия не са вкусни?	zar; nije li	Zar ova jela nisu ukusna?
难受	rosszul érezni magát; kellemetlen	Megfáztam, és nagyon rosszul érzem magam.	a se simți rău; neplăcut	Am răcit și mă simt foarte rău.	чувствам се зле; неприятно	Настинал съм и се чувствам много зле.	osjećati se loše; neugodan	Prehlađen sam i osjećam se jako loše.
内	belül; alatt	Kérem, három napon belül fejezze be a feladatot.	înăuntru; în termen de	Vă rog să finalizați sarcina în termen de trei zile.	в рамките на; вътре	Моля, завършете задачата в рамките на три дни.	unutar; u roku od	Molim vas, dovršite zadatak u roku od tri dana.
内容	tartalom; részletek	Ennek a cikknek a tartalma nagyon izgalmas.	conținut; detalii	Conținutul acestui articol este foarte captivant.	съдържание; подробности	Съдържанието на тази статия е много интересно.	sadržaj; pojedinosti	Sadržaj ovog članka vrlo je zanimljiv.
能力	képesség; alkalmasság	Nagyon jó a munkaképessége.	abilitate; capacitate	Are o capacitate de lucru foarte bună.	способност; умение	Той има много силни работни способности.	sposobnost; vještina	Vrlo je sposoban u poslu.
年龄	életkor; kor	Udvariatlanság csak úgy megkérdezni mások életkorát.	vârstă	Este nepoliticos să întrebi pe cineva vârsta fără motiv.	възраст	Не е учтиво просто така да питаш за възрастта на другите.	dob	Nepristojno je neobavezno pitati nekoga za dob.
弄	csinálni; tenni; okozni	A kiskutya nagyon rendetlenné tette a szobát.	a face; a provoca	Cățelul a făcut camera foarte dezordonată.	правя; причинявам	Кученцето направи стаята много разхвърляна.	napraviti; učiniti	Štene je jako uneredilo sobu.
暖和	meleg; kellemesen meleg	Megjött a tavasz, és az idő melegszik.	cald; plăcut de cald	A venit primăvara și vremea se încălzește.	топъл; приятно топъл	Дойде пролетта и времето се затопля.	topao; ugodno topao	Došlo je proljeće i vrijeme postaje toplije.
偶尔	néha; alkalmanként	Néha látom őt az iskolában.	ocazional; uneori	O văd ocazional la școală.	понякога; от време на време	Понякога я виждам в училище.	ponekad; povremeno	Ponekad je vidim u školi.
排队	sorban állni; sorba rendeződni	A jegyet vásárlók sorban állnak.	a sta la coadă	Oamenii care cumpără bilete stau la coadă.	стоя на опашка	Хората, които купуват билети, стоят на опашка.	stajati u redu	Ljudi koji kupuju karte stoje u redu.
排列	elrendezni; sorba rendezni	Kérem, rendezze ezeket a dobozokat nagyság szerint csökkenő sorrendbe.	a aranja; a ordona	Vă rog să aranjați aceste cutii de la cea mai mare la cea mai mică.	подреждам; нареждам	Моля, подредете тези кутии от най-голямата към най-малката.	poredati; složiti	Molim vas, poredajte ove kutije od najveće do najmanje.
判断	ítélet; megítélni	Az ítéleted teljesen helyes.	judecată; a judeca	Judecata ta este complet corectă.	преценка; преценявам	Преценката ти е напълно правилна.	prosudba; prosuditi	Tvoja je prosudba potpuno točna.
陪	kísérni; társaságot nyújtani	Amikor szomorú vagyok, te mindig mellettem vagy.	a însoți; a ține companie	Când sunt trist, ești mereu lângă mine.	придружавам; правя компания	Когато съм тъжен, ти винаги си до мен.	pratiti; praviti društvo	Kad sam tužan, uvijek si uz mene.
批评	kritizálni; kritika	A tanár ritkán kritizál engem.	a critica; critică	Profesorul mă critică rar.	критикувам; критика	Учителят рядко ме критикува.	kritizirati; kritika	Učitelj me rijetko kritizira.
皮肤	bőr	Anya nagyon figyel a bőre védelmére.	piele	Mama acordă multă atenție protejării pielii.	кожа	Майка ми много внимава да пази кожата си.	koža	Mama jako pazi na zaštitu kože.
脾气	természet; vérmérséklet; harag	Jó természetű, soha nem gurul dühbe.	fire; temperament	Are o fire bună și nu se enervează niciodată.	характер; темперамент	Той е с добър характер и никога не се ядосва.	narav; temperament	Ima dobru narav i nikada se ne ljuti.
篇	cikk; írás; darab	Ezt a cikket sokszor elolvastam.	un articol; o scriere	Am citit acest articol de multe ori.	статия; текст	Прочетох тази статия много пъти.	članak; tekst	Ovaj sam članak pročitao mnogo puta.
骗	becsapni; hazudni valakinek	Nem csaptalak be, tényleg eljött.	a înșela; a minți	Nu te-am mințit, chiar a venit.	мамя; лъжа	Не те излъгах, той наистина дойде.	prevariti; lagati	Nisam ti lagao, stvarno je došao.
乒乓球	asztalitenisz; pingpong	Ki szeretne részt venni az asztalitenisz-versenyen?	tenis de masă; ping-pong	Cine vrea să participe la un meci de tenis de masă?	тенис на маса; пинг-понг	Кой иска да участва в състезание по тенис на маса?	stolni tenis; ping-pong	Tko želi sudjelovati u stolnoteniskom meču?
平时	általában; rendes időben	Általában ritkán sportol.	de obicei; în mod obișnuit	De obicei face rar mișcare.	обикновено; в делнично време	Обикновено тя рядко спортува.	obično; inače	Obično rijetko vježba.
破	törött; eltörni	Bocsánat, eltörtem a tükröt.	stricat; a sparge	Îmi pare rău, am spart oglinda.	счупен; счупвам	Извинявай, счупих огледалото.	razbijen; slomiti	Oprosti, razbio sam ogledalo.
葡萄	szőlő	A szőlő fél kilója öt jüan.	strugure	Strugurii costă cinci yuani la jumătate de kilogram.	грозде	Гроздето струва пет юана за половин килограм.	grožđe	Grožđe stoji pet juana za pola kilograma.
普遍	általános; elterjedt	Ez a probléma nagyon gyakori.	universal; răspândit	Această problemă este foarte comună.	общ; широко разпространен	Този проблем е много често срещан.	općenit; raširen	Ovaj je problem vrlo čest.
普通话	mandarin; putonghua	Nagyon jól beszélsz mandarinul.	mandarină; putonghua	Vorbești mandarina foarte bine.	мандарин; путунхуа	Говориш мандарин много добре.	mandarinski; putonghua	Vrlo dobro govoriš mandarinski.
其次	másodszor; ezután	Először a biztonság, másodszor a gyorsaság.	în al doilea rând; apoi	Siguranța vine prima, iar viteza a doua.	второ; след това	Първо е безопасността, после скоростта.	drugo; zatim	Sigurnost je prva, a brzina druga.
其中	köztük; ezek közül	Az osztályunkban húsz diák van, közülük öten külföldről jöttek.	printre care; dintre acestea	În clasa noastră sunt douăzeci de elevi, dintre care cinci vin din străinătate.	сред тях; от които	В нашия клас има двадесет ученици, от които петима са от чужбина.	među njima; od kojih	U našem razredu ima dvadeset učenika, od kojih je pet iz inozemstva.
气候	éghajlat; klíma	Hozzá tudsz szokni az északi éghajlathoz?	climă	Te poți adapta la clima din nord?	климат	Можеш ли да се приспособиш към северния климат?	klima	Možeš li se prilagoditi sjevernoj klimi?
千万	feltétlenül; semmiképpen se	Semmiképpen se felejtsd el a holnapi értekezletet.	neapărat; să nu cumva	Să nu cumva să uiți ședința de mâine.	непременно; в никакъв случай	В никакъв случай не забравяй утрешната среща.	obavezno; nikako	Nikako nemoj zaboraviti sutrašnji sastanak.
签证	vízum	Holnap a nagykövetségre megyek vízumot intézni.	o viză	Mâine merg la ambasadă să-mi fac viza.	виза	Утре ще отида в посолството да подам документи за виза.	viza	Sutra idem u veleposlanstvo predati zahtjev za vizu.
敲	kopogni; megütni	Valaki kopog az ajtón, menj, nézd meg, ki jött.	a bate; a lovi	Cineva bate la ușă, du-te să vezi cine a venit.	чукам; удрям	Някой чука на вратата, иди виж кой е дошъл.	kucati; udariti	Netko kuca na vrata, idi vidi tko je došao.
桥	híd	A folyón van egy kis híd.	un pod	Pe râu este un pod mic.	мост	Над реката има малък мост.	most	Preko rijeke je mali most.
巧克力	csokoládé	A csokoládét szeretem a legjobban.	ciocolată	Îmi place cel mai mult ciocolata.	шоколад	Най-много обичам шоколад.	čokolada	Najviše volim čokoladu.
亲戚	rokon	A rokonaim többsége Pekingben él.	o rudă	Majoritatea rudelor mele locuiesc la Beijing.	роднина	Повечето ми роднини живеят в Пекин.	rođak; rodbina	Većina moje rodbine živi u Pekingu.
轻	könnyű; nem nehéz	Ez a bőrönd könnyű.	ușor	Această valiză este ușoară.	лек	Този куфар е лек.	lagan	Ovaj je kovčeg lagan.
轻松	könnyű; laza	Ez a munka számára nem könnyű.	ușor; relaxat	Acest loc de muncă nu este ușor pentru el.	лесен; спокоен	Тази работа не е лесна за него.	lagan; opušten	Ovaj posao za njega nije lagan.
情况	helyzet; körülmény	A helyzet nagyon sokat változott.	situație; circumstanță	Situația s-a schimbat mult.	ситуация; обстоятелства	Ситуацията се промени много.	situacija; okolnosti	Situacija se jako promijenila.
穷	szegény	Bár ez az idős ember nagyon szegény, boldogan él.	sărac	Deși acest bătrân este foarte sărac, trăiește fericit.	беден	Макар този старец да е много беден, живее щастливо.	siromašan	Iako je ovaj starac vrlo siromašan, živi sretno.
区别	különbség; megkülönböztetni	Van különbség e két anyag között?	diferență; a distinge	Există vreo diferență între aceste două materiale?	разлика; различавам	Има ли разлика между тези два материала?	razlika; razlikovati	Ima li razlike između ova dva materijala?
取	kivenni; elvenni	Elmegyek a bankba pénzt kivenni.	a retrage; a lua	Merg la bancă să retrag bani.	тегля; вземам	Отивам в банката да изтегля пари.	podignuti; uzeti	Idem u banku podignuti novac.
全部	összes; minden	A zene számomra mindent jelent.	tot; totul	Muzica este totul pentru mine.	всичко; целият	Музиката е всичко за мен.	sve; cjelokupno	Glazba je za mene sve.
缺点	hiányosság; gyenge pont	Az ember nem hasonlíthatja a saját hiányosságait mások erősségeihez.	un defect; un neajuns	Nu trebuie să compari propriile defecte cu avantajele altora.	недостатък; слаба страна	Човек не бива да сравнява своите недостатъци с чуждите предимства.	mana; nedostatak	Čovjek ne može uspoređivati svoje mane s tuđim prednostima.
缺少	hiányozni; hiányt szenvedni	Nézd meg, mi hiányzik még, most rögtön elmegyek megvenni.	a lipsi; a fi insuficient	Vezi ce mai lipsește, merg acum să cumpăr.	липсвам; недостигам	Виж какво още липсва, сега ще отида да го купя.	nedostajati; manjkati	Pogledaj što još nedostaje, odmah ću otići kupiti.
却	de; mégis	Sok mondanivalóm van, de amikor ideges leszek, nem tudom kimondani.	dar; totuși	Am multe de spus, dar când devin nervos, nu mai pot vorbi.	но; обаче	Имам много да кажа, но щом се притесня, не мога да го изрека.	ali; ipak	Imam mnogo toga reći, ali kad se unervozim, ne mogu izgovoriti.
确实	valóban; tényleg	Ez a módszer valóban jó.	într-adevăr; chiar	Această metodă este într-adevăr bună.	наистина; действително	Този метод наистина е добър.	doista; stvarno	Ova je metoda doista dobra.
然而	azonban; mégis	Sok időt töltöttem ezzel a könyvvel, de még nem fejeztem be.	totuși; însă	Am petrecut mult timp citind această carte, însă încă nu am terminat-o.	обаче; въпреки това	Прекарах много време в четене на тази книга, но още не съм я довършил.	međutim; ipak	Proveo sam mnogo vremena čitajući ovu knjigu, ali je još nisam završio.
热闹	élénk; nyüzsgő	Az utcán nagyon nagy a nyüzsgés.	animat; plin de viață	Strada este foarte animată.	оживен; шумен	Улицата е много оживена.	živ; užurban	Ulica je vrlo živahna.
任何	bármely; akármilyen	Anya jobban megért engem, mint bárki más.	orice; oricare	Mama mă înțelege mai bine decât oricine.	който и да е; всякакъв	Мама ме разбира по-добре от всеки друг.	bilo koji; ikakav	Mama me razumije bolje od bilo koga.
任务	feladat; küldetés	A feladat nyolcvan százaléka elkészült.	o sarcină; misiune	Sarcina este finalizată în proporție de optzeci la sută.	задача; мисия	Задачата е изпълнена на осемдесет процента.	zadatak; misija	Osamdeset posto zadatka je dovršeno.
扔	dobni; kidobni	Kérem, dobja a szemetet a szemetesbe.	a arunca	Vă rog să aruncați gunoiul în coșul de gunoi.	хвърлям; изхвърлям	Моля, хвърлете боклука в кошчето.	baciti; odbaciti	Molim vas, bacite smeće u kantu za smeće.
