simplified	ET	example_ET	IS	example_IS
推迟	edasi lükkama; viivitama	Lennuki väljumisaeg lükati kakskümmend minutit edasi.	fresta; seinka	Brottfarartíma flugvélarinnar var seinkað um tuttugu mínútur.
脱	seljast võtma	Tuba on väga soe, võta mantel seljast.	fara úr; taka af	Herbergið er mjög hlýtt, farðu úr kápunni.
袜子	sokid	Pesin sokid puhtaks.	sokkar	Ég þvoði sokkana mína.
完全	täiesti; täielikult	Sinu hinnang on täiesti õige.	alveg; fullkomlega	Mat þitt er alveg rétt.
往往	sageli	Pühapäeviti käib ta sageli pargis jalutamas.	oft	Á sunnudögum fer hann oft í göngutúr í garðinum.
网球	tennis	Alles hiljuti hakkasin tennist õppima.	tennis	Ég byrjaði nýlega að læra að spila tennis.
网站	veebisait; veebileht	Sellel veebisaidil on palju hiinakeelseid materjale.	vefsíða	Það er mikið af kínversku efni á þessari vefsíðu.
危险	oht; ohtlik	Öösel üksi mäkke ronimine on väga ohtlik.	hætta; hættulegur	Að klífa fjall einn að nóttu er hættulegt.
卫生间	tualett; vannituba	Vabandage, kus on tualett?	salerni; baðherbergi	Afsakið, hvar er salernið?
味道	maitse	Selle restorani täidetud kuklid maitsevad väga hästi.	bragð	Fylltu brauðbollurnar á þessum veitingastað bragðast mjög vel.
温度	temperatuur	Talve saabudes langeb temperatuur järjest madalamale.	hitastig	Þegar veturinn gengur í garð lækkar hitastigið sífellt.
文章	artikkel; essee	Artikli kõige olulisem osa on kolmas lõik.	grein; ritgerð	Mikilvægasti hluti greinarinnar er þriðja málsgreinin.
污染	reostus; saastumine	Keskkonnareostus muutub nüüd järjest tõsisemaks.	mengun	Umhverfismengun verður sífellt alvarlegri núna.
无	ilma; ei	Tema sõnad on alusetud.	án; enginn	Orð hans eru án grundvallar.
无聊	igav; igavust tundma	See saade on natuke igav.	leiðinlegur; leiðast	Þessi þáttur er svolítið leiðinlegur.
无论	ükskõik kuidas; hoolimata	Ükskõik kuidas ma seletan, ta ei saa aru.	sama hvernig; óháð	Sama hvernig ég útskýri það, hann skilur ekki.
误会	valesti aru saama; arusaamatus	Vabandust, ma sain sinust valesti aru.	misskilja; misskilningur	Fyrirgefðu, ég misskildi þig.
吸引	ligi tõmbama; köitma	See film on väga köitev.	laða að; heilla	Þessi kvikmynd er mjög heillandi.
西红柿	tomat	Ostsin mõned tomatid.	tómatur	Ég keypti nokkra tómata.
咸	soolane	Soola on liiga palju pandud, toit on natuke soolane.	saltur	Það var sett of mikið salt, maturinn er svolítið saltur.
现金	sularaha	Mul pole palju sularaha kaasas, aga poes saab kaardiga maksta.	reiðufé	Ég er ekki með mikið reiðufé á mér, en verslunin tekur kort.
羡慕	kadestama; imetlema	Kadestan teda, et tal on hea töö.	öfundast; dást að	Ég öfunda hann af því að hafa gott starf.
相反	vastupidine; vastupidi	See, mida sa ütlesid, on täpselt vastupidine sellele, mida mina mõistsin.	öfugur; gagnstæður	Það sem þú sagðir er nákvæmlega andstætt því sem ég skildi.
相同	sama; ühesugune	Sinu jalgratas on täpselt samasugune nagu minu oma.	samur; eins	Hjólið þitt er nákvæmlega eins og mitt.
香	lõhnav; isuäratav	Sinu tehtud toit lõhnab väga hästi!	ilmandi; bragðgóður	Maturinn sem þú eldaðir ilmar svo vel!
详细	üksikasjalik; põhjalik	Tema tehtud plaan on väga põhjalik.	ítarlegur	Áætlunin sem hún gerði er mjög ítarleg.
响	helisema; kõlama	Kuula, kas telefon helises?	hljóma; hringja	Hlustaðu, hringdi síminn?
橡皮	kustutuskumm	Kas ma võin korraks sinu kustutuskummi laenata?	strokleður	Má ég fá strokleðrið þitt lánað augnablik?
消息	uudis; teade	See uudis on tõesti põnev.	frétt; skilaboð	Þessar fréttir eru virkilega spennandi.
小吃	suupiste; vahepala	Pekingisse tulles pead kindlasti Pekingi suupisteid proovima.	snarl; smáréttur	Þú verður að prófa pekingskt snarl þegar þú kemur til Peking.
小伙子	noormees	See noormees on väga südamlik.	ungur maður	Þessi ungi maður er mjög hlýlegur.
小说	romaan; ilukirjandus	Loen praegu seda romaani.	skáldsaga	Ég er að lesa þessa skáldsögu.
效果	mõju; tulemus	See külmetusravim mõjub väga hästi.	áhrif; árangur	Þetta kveflyf virkar mjög vel.
笑话	nali; välja naerma	Palun ära naera teiste üle.	brandari; hlæja að	Vinsamlegast ekki hlæja að öðrum.
心情	tuju	Tema tuju paranes.	skap; líðan	Skapið hans batnaði.
辛苦	raske; kurnav	Isa töö on väga raske.	erfiður; þreytandi	Vinna pabba er mjög erfið.
信封	ümbrik	Ta pani valmis kirjutatud kirja ümbrikusse.	umslag	Hann setti skrifaða bréfið í umslagið.
信息	info; teave	Palun saada mulle oma kontaktandmed.	upplýsingar; skilaboð	Vinsamlegast sendu mér tengiliðaupplýsingarnar þínar.
信心	enesekindlus; usaldus	Meil on sinusse suur usk; sa saad sellega kindlasti hakkama.	sjálfstraust; traust	Við höfum mikið traust á þér; þú getur þetta örugglega.
兴奋	elevil; elevus	Kui lapsed kuulsid, et nad lähevad kevadisele väljasõidule, hüppasid nad elevusest püsti.	spenntur; spenningur	Þegar börnin heyrðu að þau færu í vorferð stukku þau upp af spenningi.
行	sobib; kõlbab	Kas nii sobib?	í lagi; ganga	Er þetta í lagi?
醒	ärkama; ärkvel olema	Ärkasin hommikul juba kell kuus.	vakna; vera vakandi	Ég vaknaði strax klukkan sex um morguninn.
幸福	õnn; õnnelik	Raha eest õnne osta ei saa.	hamingja; hamingjusamur	Peningar geta ekki keypt hamingju.
性别	sugu	Palun märkige vormi teisele reale sugu.	kyn	Vinsamlegast skráðu kynið í aðra línu eyðublaðsins.
性格	iseloom; karakter	Mu naisel on väga hea iseloom ja ta ei lähe kunagi endast välja.	persónuleiki; skapgerð	Konan mín hefur mjög góða skapgerð og missir aldrei stjórn á skapi sínu.
修理	parandama; remontima	Pärast parandust töötab mu arvuti jälle normaalselt.	gera við; viðgerð	Eftir viðgerðina virkar tölvan mín aftur eðlilega.
许多	palju; arvukalt	Tänaval on palju prügikaste.	margir; mikið af	Það eru margar ruslatunnur á götunni.
学期	semester; õppeperiood	Sel semestril valisin palju kursusi, sealhulgas kunsti, ajalugu ja majandust.	önn; skólaönn	Á þessari önn valdi ég mörg námskeið, þar á meðal list, sögu og hagfræði.
呀	üllatust väljendav hüüdsõna	Ah, lund sajab!	upphrópunarögn	Ah, það er farið að snjóa!
压力	surve; pinge	Tal on viimasel ajal tööl suur pinge.	álag; þrýstingur	Hann hefur verið undir miklu álagi í vinnunni undanfarið.
牙膏	hambapasta	Hambapasta sai otsa, ostame homme uue.	tannkrem	Tannkremið er búið; kaupum nýtt á morgun.
亚洲	Aasia	Hiina on Aasia riik.	Asía	Kína er land í Asíu.
严格	range; nõudlik	Õpetaja nõudmised meie suhtes on väga ranged.	strangur; kröfuharður	Kennarinn gerir mjög strangar kröfur til okkar.
严重	tõsine; raske	Tema haigus on tõsine.	alvarlegur; þungur	Veikindi hans eru alvarleg.
盐	sool	Soola pandi liiga palju, toit on natuke soolane.	salt	Það var sett of mikið salt, maturinn er svolítið saltur.
研究	uurima; uurimus	Ta uurib praegu seda probleemi.	rannsaka; rannsókn	Hann er að rannsaka þetta vandamál.
演出	esinemine; etendus	Esimesel esinemisel oli ta väga närvis.	sýning; framkoma	Í fyrstu sýningunni var hann mjög taugaóstyrkur.
演员	näitleja; esineja	Ta on kuulus näitleja.	leikari; flytjandi	Hann er frægur leikari.
眼镜	prillid	Tal on ees mustad prillid.	gleraugu	Hann er með svört gleraugu.
阳光	päikesevalgus; päikesepaiste	Päikesevalgus tuli aknast tuppa.	sólarljós; sólskin	Sólarljós kom inn í herbergið um gluggann.
养成	kujundama; harjumust omandama	Olen selle harjumuse omandanud juba lapsest saadik.	mynda; þróa með sér venju	Ég hef þróað með mér þessa venju frá unga aldri.
样子	välimus; stiil	See riideese näeb väga hea välja.	útlit; stíll	Þessi flík lítur mjög vel út.
邀请	kutsuma; kutse	Ta lükkas kõigi kutse tagasi.	bjóða; boð	Hann hafnaði boði allra.
要是	kui; juhul kui	Kui sina enne jõuad, siis oota mind natuke.	ef	Ef þú kemur á undan, bíddu þá aðeins eftir mér.
钥匙	võti	Unustasin täna võtme kaasa võtta.	lykill	Ég gleymdi að taka lykilinn með mér í dag.
也许	võib-olla; ehk	Võib-olla ta ei tule.	kannski; ef til vill	Kannski kemur hann ekki.
叶子	leht	Kevad tuli ja noortele puudele kasvasid uued lehed.	laufblað	Vorið er komið og ný lauf hafa sprottið á ungu trjánum.
页	lehekülg	Palun keerake kümnendale leheküljele.	síða	Vinsamlegast flettu á síðu tíu.
一切	kõik	Kõigi koduste asjade eest vastutab ema.	allt	Mamma ber ábyrgð á öllu heima.
以	kasutama kui; võtma näiteks	Palun võtke see lause näiteks.	taka sem; nota sem	Vinsamlegast taktu þessa setningu sem dæmi.
以为	arvama; uskuma	Ma arvasin, et sa oled juba läinud.	halda; trúa	Ég hélt að þú hefðir þegar farið.
意见	arvamus; ettepanek	Ma võtan kõik su arvamused arvesse.	skoðun; tillaga	Ég tek allar skoðanir þínar til greina.
艺术	kunst	Olen kunstist väga huvitatud.	list	Ég hef mikinn áhuga á list.
因此	seetõttu; sellepärast	Ta oli haige, seetõttu ei tulnud ta tundi.	þess vegna; því	Hann var veikur, þess vegna kom hann ekki í tíma.
引起	põhjustama; esile kutsuma	See asi tekitas kõigis rahulolematust.	valda; vekja	Þetta mál vakti óánægju hjá öllum.
印象	mulje	Ta jättis mulle väga hea mulje.	áhrif; hughrif	Hann hafði mjög góð áhrif á mig.
赢	võitma	Kes eilse jalgpallimatši võitis?	vinna	Hver vann fótboltaleikinn í gær?
应聘	tööle kandideerima	Ta tahab sellele töökohale kandideerida.	sækja um starf	Hún vill sækja um þetta starf.
勇敢	julge; vapper	Mu vanem vend on väga vapper inimene.	hugrakkur; djarfur	Eldri bróðir minn er mjög hugrakkur maður.
永远	igavesti; alati	Ma ei unusta kunagi sinu abi.	að eilífu; alltaf	Ég mun aldrei gleyma hjálpinni þinni.
优点	tugev külg; eelis	Inimene ei peaks võrdlema oma puudusi teiste tugevate külgedega.	kostur; sterkur punktur	Maður á ekki að bera eigin galla saman við kosti annarra.
优秀	suurepärane; väljapaistev	Ta on suurepärane arst.	framúrskarandi; frábær	Hann er framúrskarandi læknir.
幽默	humoorikas; huumor	Professor Li räägib väga humoorikalt.	fyndinn; húmor	Prófessor Li hefur mjög góðan húmor þegar hann talar.
尤其	eriti; iseäranis	Talle meeldib maalida, eriti hiina maale.	sérstaklega; einkum	Honum finnst gaman að mála, sérstaklega kínversk málverk.
由	poolt; kaudu	Selle ürituse korraldame meie.	af; með	Þessi viðburður er skipulagður af okkur.
由于	tõttu; kuna	Vihma tõttu lükati võistlus edasi.	vegna	Vegna rigningar var leiknum frestað.
邮局	postkontor	Postkontor avatakse hommikul kell üheksa.	pósthús	Pósthúsið opnar klukkan níu að morgni.
友好	sõbralik	Mu üürileandja on väga sõbralik ja aitab mind sageli.	vingjarnlegur	Leigusalinn minn er mjög vingjarnlegur og hjálpar mér oft.
友谊	sõprus	Meie vahel on sügav sõprus.	vinátta	Það er djúp vinátta á milli okkar.
有趣	huvitav	See on tõesti huvitav unenägu!	áhugaverður; skemmtilegur	Þetta er virkilega áhugaverður draumur!
于是	seetõttu; siis	Tahtsin temalt midagi küsida, seetõttu helistasin talle.	því; þá	Ég vildi spyrja hann að einhverju, svo ég hringdi í hann.
愉快	meeldiv; rõõmus	Soovin sulle meeldivat nädalavahetust!	ánægjulegur; glaður	Eigðu góða helgi!
与	koos; kellegagi	Ta on väga enesekindel ja talle meeldib teistega võistelda.	með	Hann er mjög sjálfsöruggur og finnst gaman að keppa við aðra.
羽毛球	sulgpall	Kas sa mängid sageli sulgpalli?	badminton	Spilarðu oft badminton?
语法	grammatika	Õppisin natuke grammatika põhialuseid.	málfræði	Ég lærði smá grunnmálfræði.
语言	keel	Keele õppimiseks on vaja selle grammatikast natuke aru saada.	tungumál	Að læra tungumál krefst nokkurs skilnings á málfræði þess.
预习	õppetükki ette valmistama	Palun valmistage tekst korralikult ette.	undirbúa kennsluefni	Vinsamlegast undirbúið textann vel fyrirfram.
原来	endine; algne	Ma elan ikka samas kohas nagu enne.	upprunalegur; eins og áður	Ég bý enn á sama stað og áður.
原谅	andeks andma	Palun anna mulle andeks see, mida ma just ütlesin.	fyrirgefa	Vinsamlegast fyrirgefðu mér það sem ég sagði rétt áðan.
原因	põhjus; ajend	Ta selgitas põhjuse väga selgelt.	ástæða; orsök	Hann útskýrði ástæðuna mjög skýrt.
约会	kohting; kokkusaamine	Ta hakkas Xiao Liga kohtamas käima.	stefnumót; tími	Hún byrjaði að fara á stefnumót með Xiao Li.
阅读	lugema; lugemine	Loen praegu seda romaani.	lesa; lestur	Ég er að lesa þessa skáldsögu.
云	pilv	Taevas on üha rohkem pilvi.	ský	Það eru sífellt fleiri ský á himninum.
允许	lubama	Palun lubage mul ennast tutvustada.	leyfa	Vinsamlegast leyfðu mér að kynna mig.
杂志	ajakiri	Kõik selle ajakirja artiklid on hästi kirjutatud.	tímarit	Allar greinarnar í þessu tímariti eru vel skrifaðar.
咱们	meie; meid	Kui suured on meie selle kuu elamiskulud?	við; okkur	Hversu mikill er framfærslukostnaðurinn okkar í þessum mánuði?
暂时	ajutiselt; esialgu	Ta parkis auto ajutiselt tee äärde.	tímabundið; í bili	Hann lagði bílnum tímabundið við vegkantinn.
脏	must; määrdunud	Ma määrisin kogemata oma riided ära.	skítugur; óhreinn	Ég óhreinkaði fötin mín óvart.
责任	vastutus; kohustus	Me kõik vastutame selle asja eest.	ábyrgð; skylda	Við berum öll ábyrgð á þessu máli.
增加	suurenema; suurendama	Õpilaste arv suurenes sel aastal.	aukast; auka	Nemendum fjölgaði í ár.
占线	kinni; liin hõivatud	Helistasin mitu korda järjest, aga tema telefon oli kogu aeg kinni.	á tali; símalína upptekin	Ég hringdi nokkrum sinnum í röð, en síminn hans var alltaf á tali.
招聘	värbama; töölevõtt	Ettevõte värbab praegu uusi töötajaid.	ráða fólk; ráðning	Fyrirtækið er að ráða nýja starfsmenn.
照	järgi; vastavalt	Tegutse selle plaani järgi.	eftir; samkvæmt	Farðu eftir þessari áætlun.
真正	tõeline; päris	Tõeline sõber aitab sind, kui satud raskustesse.	sannur; raunverulegur	Sannur vinur hjálpar þér þegar þú lendir í erfiðleikum.
整理	korrastama; korda seadma	Palun korrasta laual olevad raamatud.	taka til; raða	Vinsamlegast raðaðu bókunum á borðinu.
正常	normaalne; tavapärane	Pärast parandust töötab mu arvuti jälle normaalselt.	eðlilegur; venjulegur	Eftir viðgerðina virkar tölvan mín aftur eðlilega.
正好	täpselt; just	See, mida sa ütlesid, on täpselt vastupidine sellele, mida mina mõistsin.	nákvæmlega; einmitt	Það sem þú sagðir er nákvæmlega andstætt því sem ég skildi.
正确	õige; korrektne	Sinu hinnang on täiesti õige.	réttur; nákvæmur	Mat þitt er alveg rétt.
正式	ametlik; formaalne	Võistlus algab nüüd ametlikult.	formlegur; opinber	Nú hefst keppnin formlega.
证明	tõestama; tõend	Faktid tõestavad, et tal on õigus.	sanna; sönnun	Staðreyndirnar sanna að hann hefur rétt fyrir sér.
之	-st; üks ...-st	See on üks osa Hiina kultuurist.	af; einn af	Þetta er einn hluti kínverskrar menningar.
支持	toetama; toetus	Me peame teineteist toetama.	styðja; stuðningur	Við tvö verðum að styðja hvort annað.
知识	teadmised	Sain lugedes palju teadmisi.	þekking	Ég öðlaðist mikla þekkingu við lestur.
值得	väärt olema; tasuma	Seda romaani tasub lugeda.	vera þess virði; eiga skilið	Þessi skáldsaga er þess virði að lesa.
植物	taim	Seda liiki taim vajab palju päikesevalgust.	planta	Þessi tegund plantna þarf mikið sólarljós.
直接	otsene; otse	Pärast tööpäeva läks ta otse koju.	beinn; beint	Eftir vinnu fór hann beint heim.
职业	elukutse; amet	Mis on sinu ideaalne elukutse?	starf; atvinnugrein	Hvert er draumastarfið þitt?
只好	peab; pole muud valikut	Vihma sadas liiga kõvasti, seega pidime koju jääma.	verða að; eiga ekki annan kost	Rigningin var svo mikil að við urðum að vera heima.
只要	niikaua kui; kui ainult	Kui sa pingutad, saad selle asja kindlasti hästi tehtud.	svo lengi sem; ef aðeins	Svo lengi sem þú leggur þig fram geturðu örugglega gert þetta vel.
指	osutama; näitama	Aitäh, et osutasid mu veale.	benda á; benda	Takk fyrir að benda mér á mistökin mín.
至少	vähemalt	See hoone on vähemalt sada meetrit kõrge.	að minnsta kosti	Þessi bygging er að minnsta kosti hundrað metra há.
质量	kvaliteet	Nende kingade kvaliteet on väga hea.	gæði	Gæðin á þessum skóm eru mjög góð.
重	raske	See kast on väga raske.	þungur	Þessi kassi er mjög þungur.
重点	põhipunkt; fookus	See, mida ta just ütles, ongi probleemi tuum.	aðalatriði; áhersla	Það sem hann sagði rétt áðan er kjarni vandans.
重视	tähtsaks pidama; väärtustama	Vanemad peavad laste haridust väga tähtsaks.	meta mikils; leggja áherslu á	Foreldrar leggja mikla áherslu á menntun barna sinna.
周围	ümber; ümbrus	Kooli ümber on palju poode.	í kringum; umhverfi	Það eru margar verslanir í kringum skólann.
主意	idee; plaan	Kui sul on hea idee, räägi, kuulame ära.	hugmynd; áætlun	Ef þú ert með góða hugmynd, segðu hana, við hlustum.
祝贺	õnnitlema; õnnitlused	Õnnitlen teid heade tulemuste puhul.	óska til hamingju; hamingjuóskir	Til hamingju með góðan árangur.
著名	kuulus; tuntud	Ta on kuulus näitleja.	frægur; þekktur	Hann er frægur leikari.
专门	spetsiaalselt; eraldi	Tulin spetsiaalselt sind vaatama.	sérstaklega; gagngert	Ég kom sérstaklega til að hitta þig.
专业	eriala; õppevaldkond	Õpin ülikoolis õigusteadust.	sérgrein; fræðasvið	Ég stunda nám í lögfræði í háskóla.
转	pöörama; keerama	Pööra ees esimesel ristmikul vasakule ja näed haiglat.	beygja; snúa	Beygðu til vinstri á fyrstu gatnamótunum framundan og þá sérðu sjúkrahúsið.
赚	teenima; kasumit saama	Ta teenis äriga päris palju raha.	vinna sér inn; græða	Hann græddi töluverða peninga í viðskiptum.
准确	täpne; korrektne	Sinu vastus on väga täpne.	nákvæmur; réttur	Svar þitt er mjög nákvæmt.
准时	õigel ajal; täpne	Koosolek algas õigel ajal.	á réttum tíma; stundvís	Fundurinn hófst á réttum tíma.
仔细	hoolikas; tähelepanelik	Ta teeb kõike väga hoolikalt.	vandvirkur; gaumgæfilegur	Hún vinnur mjög vandlega.
自然	loodus; loomulik	Me peame looduskeskkonda kaitsma.	náttúra; náttúrulegur	Við þurfum að vernda náttúrulegt umhverfi.
自信	enesekindlus	Ta on väga enesekindel ja talle meeldib teistega võistelda.	sjálfstraust	Hann er mjög sjálfsöruggur og finnst gaman að keppa við aðra.
总结	kokku võtma; kokkuvõte	Palun võtke meie jaoks kokku oma edukas kogemus.	draga saman; samantekt	Vinsamlegast taktu saman fyrir okkur reynsluna sem leiddi til árangurs þíns.
租	üürima; rentima	Üürisin ettevõtte lähedal korteri.	leigja	Ég leigði íbúð nálægt fyrirtækinu.
最好	parim	Ta on mu parim sõber.	bestur	Hún er besta vinkona mín.
尊重	austama; lugupidamine	Ausad inimesed väärivad meie austust.	virða; virðing	Heiðarlegt fólk á skilið virðingu okkar.
左右	umbes; ligikaudu	Ta näeb välja umbes neljakümneaastane.	um; u.þ.b.	Hann lítur út fyrir að vera um fertugt.
作家	kirjanik; autor	Kas oled selle kirjaniku romaane lugenud?	rithöfundur; höfundur	Hefurðu lesið skáldsögur þessa rithöfundar?
作用	mõju; funktsioon	See külmetusravim ei mõju mulle eriti.	áhrif; virkni	Þetta kveflyf hefur lítil áhrif á mig.
作者	autor	Selle raamatu autor on väga kuulus.	höfundur	Höfundur þessarar bókar er mjög frægur.
座	loendussõna hoonete ja sildade kohta	Jõe kohal on väike sild.	mælieining fyrir byggingar og brýr	Það er lítil brú yfir ánni.
座位	istekoht; koht	Ta loovutas oma istekoha ühele vanale inimesele.	sæti; sætispláss	Hann gaf eldri manni sætið sitt.
