simplified	MS	example_MS
坚固	kukuh	Jambatan ini sangat kukuh
坚韧	tabah	Dia mempunyai watak yang tabah
坚实	kukuh	Penyelidikan ini mempunyai asas yang kukuh
坚硬	keras	Batu ini sangat keras
尖端	termaju	Syarikat melabur dalam teknologi termaju
尖锐	tajam	Masalah ini sangat tajam
煎	menggoreng	Cef sedang menggoreng ikan
监督	menyelia	Penyeliaan awam membantu memperbaiki kerja
监视	memantau	Polis sedang memantau suspek
监狱	penjara	Dia menjalani hukuman di penjara
艰难	sukar	Peringkat awal memulakan perniagaan sangat sukar
剪彩	memotong reben	Datuk bandar memotong reben untuk perpustakaan baharu
拣	memilih	Dia memilih beberapa epal daripada bakul itu
检讨	menilai semula	Dia menilai semula kesilapannya dengan serius
检验	menguji	Eksperimen dapat menguji hipotesis ini
简化	memudahkan	Sila mudahkan proses itu lagi
简陋	serba sederhana	Mereka tinggal di sebuah pondok serba sederhana
简体字	aksara Cina ringkas	Buku teks ini menggunakan aksara Cina ringkas
简要	ringkas	Sila jelaskan pandangan kamu secara ringkas
健全	mantap	Syarikat perlu memantapkan sistem pengurusan
剑	pedang	Sebilah pedang kuno tergantung di dinding
溅	terpercik	Air hujan terpercik pada seluarnya
舰艇	kapal perang	Beberapa kapal perang menyertai latihan itu
见多识广	luas pengalaman	Orang tua ini luas pengalaman dan pengetahuan
见解	pandangan	Dia mempunyai pandangan unik tentang isu ini
见闻	pengalaman dan pengetahuan	Perjalanan meluaskan pengalaman dan pengetahuannya
见义勇为	berani membela kebenaran	Dia dipuji kerana berani membela kebenaran
践踏	memijak	Jangan memijak rumput
鉴别	membezakan	Pakar dapat membezakan sama ada lukisan ini asli
鉴定	mengenal pasti	Polis sedang mengenal pasti cap jari
鉴于	memandangkan	Memandangkan cuaca buruk, acara ditangguhkan
间谍	pengintip	Filem ini menceritakan kisah pengintip
间隔	selang	Selang antara dua mesyuarat ialah satu minggu
间接	tidak langsung	Dasar ini akan menghasilkan kesan tidak langsung
僵硬	kaku	Senyumannya kelihatan sangat kaku
将军	jeneral	Jeneral mengeluarkan arahan
将近	hampir	Projek ini berlangsung hampir dua tahun
将就	sekadar mencukupkan	Keadaannya kurang baik, jadi kami hanya boleh sekadar mencukupkan
奖励	memberi ganjaran	Sekolah memberi ganjaran kepada pelajar cemerlang
奖赏	ganjaran	Raja memberikan ganjaran besar kepada pahlawan itu
桨	dayung	Tukang perahu menggunakan dayung untuk mendayung perahu ke tebing
降临	menjelma	Malam beransur-ansur menjelma di langit bandar
交叉	bersilang	Dua jalan bersilang di sini
交代	menerangkan	Sila terangkan tugas itu dengan jelas
交涉	berunding	Kedua-dua pihak sedang berunding tentang pampasan
交易	urus niaga	Urus niaga ini sudah selesai
娇气	manja	Jangan terlalu manja, cuaca tidak sejuk
焦点	tumpuan	Isu pekerjaan menjadi tumpuan perbincangan
焦急	cemas	Ibu menunggu anaknya pulang dengan cemas
侥幸	nasib baik	Dia terselamat daripada bencana itu kerana nasib baik
搅拌	mengacau	Sila kacau adunan itu hingga sekata
缴纳	membayar	Penduduk perlu membayar bil air tepat pada masanya
角落	sudut	Kucing bersembunyi di sudut bilik
教养	didikan	Didikan yang baik terlihat dalam perkara kecil
较量	bertanding	Dua pasukan kuat itu akan bertanding
接连	berturut-turut	Dia menerima tiga e-mel berturut-turut
揭露	mendedahkan	Wartawan mendedahkan masalah keselamatan makanan
皆	semua	Peraturan ini diketahui semua orang
阶层	lapisan sosial	Lapisan sosial yang berbeza mempunyai keperluan berbeza
截止	ditutup	Pendaftaran ditutup petang esok
截至	setakat	Setakat hari ini, dua ratus orang sudah mendaftar
杰出	cemerlang	Dia seorang saintis yang cemerlang
竭尽全力	berusaha sedaya upaya	Kami akan berusaha sedaya upaya untuk menyelesaikan tugas
结晶	hasil	Pencapaian ini ialah hasil usaha bertahun-tahun
结局	pengakhiran	Pengakhiran cerita itu tidak dijangka
结算	menyelesaikan bayaran	Pelanggan meminta bayaran diselesaikan pada akhir bulan
节制	mengawal diri	Dalam makan dan minum, perlu mengawal diri
节奏	rentak	Rentak lagu ini sangat cepat
解除	menarik balik	Syarikat menarik balik amaran keselamatan
解放	membebaskan	Pembaharuan membebaskan daya produktif
解雇	memecat	Bos memutuskan untuk memecat pekerja itu
解剖	anatomi	Pelajar perubatan sedang mempelajari anatomi
解散	bersurai	Selepas mesyuarat tamat, kumpulan itu bersurai
解体	berpecah	Perikatan itu akhirnya berpecah
借鉴	mengambil iktibar	Kita boleh mengambil iktibar daripada pengalaman luar negara
借助	dengan bantuan	Dia menemui laluan itu dengan bantuan peta
戒备	berjaga-jaga	Kawasan sempadan kekal sangat berjaga-jaga
界限	batas	Kerja dan kehidupan memerlukan batas yang jelas
津津有味	penuh minat	Kanak-kanak mendengar cerita dengan penuh minat
金融	kewangan	Pasaran kewangan turun naik dengan besar hari ini
紧迫	mendesak	Masa mendesak, kita mesti bertindak segera
锦上添花	menambah seri	Hadiah ini benar-benar menambah seri
晋升	dinaikkan pangkat	Dia dinaikkan pangkat menjadi pengurus jabatan tahun lalu
浸泡	merendam	Kacang perlu direndam semalaman
近来	kebelakangan ini	Kebelakangan ini cuaca banyak berubah
进而	seterusnya	Fahami keperluan dahulu, seterusnya susun rancangan
进攻	menyerang	Pasukan itu menguatkan serangan pada separuh masa kedua
进化	evolusi	Makhluk hidup berevolusi mengikut persekitaran
进展	kemajuan	Projek ini kini menunjukkan kemajuan yang lancar
兢兢业业	tekun dan berhati-hati	Dia bekerja dengan tekun dan berhati-hati selama tiga puluh tahun
惊动	mengejutkan	Bunyi kuat itu mengejutkan penduduk berhampiran
惊奇	kagum	Kanak-kanak menonton pertunjukan silap mata dengan kagum
惊讶	terkejut	Jawapannya membuat saya terkejut
精打细算	berjimat cermat	Dia selalu berjimat cermat dalam mengurus rumah tangga
精华	inti pati	Artikel ini merumuskan inti pati teori itu
精简	merampingkan	Syarikat memutuskan untuk merampingkan lapisan pengurusan
精密	sangat tepat	Alat ini sangat tepat
精确	tepat	Data mesti tepat hingga dua tempat perpuluhan
精通	mahir	Dia mahir dalam tiga bahasa asing
精心	dengan teliti	Ibu menyediakan makan malam dengan teliti
精益求精	sentiasa menambah baik	Tukang yang cemerlang sentiasa menambah baik hasil kerja
精致	halus	Hadiah ini dibungkus dengan sangat halus
经费	dana	Dana penyelidikan sudah diluluskan
经纬	longitud dan latitud	Peta itu menandakan garis longitud dan latitud
茎	batang	Batang tumbuhan menyokong daunnya
井	perigi	Di pintu masuk kampung ada sebuah perigi lama
警告	memberi amaran	Guru memberi amaran kepada pelajar supaya tidak menipu
警惕	berwaspada	Kita perlu berwaspada terhadap penipuan dalam talian
颈椎	vertebra serviks	Menunduk terlalu lama boleh mencederakan vertebra serviks
境界	tahap	Lukisannya mencapai tahap baharu
敬礼	memberi hormat	Askar itu memberi hormat kepada bendera negara
敬业	berdedikasi terhadap kerja	Dia bekerja dengan serius dan sangat berdedikasi terhadap kerja
竞赛	pertandingan	Sekolah mengadakan pertandingan matematik
竞选	bertanding dalam pilihan raya	Dia bersedia bertanding untuk jawatan datuk bandar
镜头	lensa	Jurugambar melaras lensa kamera
纠纷	pertikaian	Kedua-dua pihak menyelesaikan pertikaian melalui mediasi
纠正	membetulkan	Guru segera membetulkan kesalahan sebutan
酒精	alkohol	Doktor menggunakan alkohol untuk menyahjangkit luka
就近	berdekatan	Pelajar boleh bersekolah di sekolah berdekatan
就业	pekerjaan	Kerajaan memperkenalkan dasar untuk menggalakkan pekerjaan
就职	memegang jawatan	Pengurus baharu akan memegang jawatan secara rasmi minggu depan
救济	bantuan kecemasan	Mangsa bencana menerima bantuan kecemasan tepat pada masanya
居民	penduduk	Penduduk berhampiran menentang pencemaran bunyi
居住	tinggal	Mereka tinggal di sini selama sepuluh tahun
拘留	menahan	Polis menahan suspek mengikut undang-undang
拘束	kekok	Tidak perlu berasa kekok di hadapan rakan
鞠躬	tunduk hormat	Pelakon itu tunduk hormat kepada penonton sebagai terima kasih
局部	setempat	Doktor hanya melakukan bius setempat
局面	keadaan	Rundingan memperbaiki keadaan yang tegang
局势	situasi	Situasi antarabangsa masih rumit
局限	batasan	Kaedah ini mempunyai batasan yang jelas
举动	tindakan	Tindakannya membuat semua orang tersentuh
举世瞩目	menarik perhatian dunia	Projek ini mencapai kejayaan yang menarik perhatian dunia
举足轻重	sangat berpengaruh	Syarikat ini sangat berpengaruh dalam industri
咀嚼	mengunyah	Ketika makan, perlu mengunyah perlahan-lahan
沮丧	kecewa	Selepas kalah dalam pertandingan, dia sangat kecewa
剧本	skrip	Pengarah sedang menyemak skrip
剧烈	hebat	Tanah bergegar dengan hebat
据悉	dilaporkan	Dilaporkan bahawa mesyuarat akan ditangguhkan ke minggu depan
聚精会神	menumpukan perhatian	Kanak-kanak menumpukan perhatian ketika mendengar pelajaran
卷	menggulung	Dia menggulung peta lalu memasukkannya ke dalam beg
倔强	degil	Kanak-kanak ini berwatak degil
决策	keputusan penting	Pihak pengurusan sedang membincangkan keputusan penting
绝望	putus asa	Selepas gagal, dia pernah berasa putus asa
觉悟	kesedaran	Pengalaman ini meningkatkan kesedarannya
觉醒	terjaga	Kesedaran alam sekitar masyarakat sedang terjaga
军队	tentera	Tentera segera tiba di kawasan bencana
君子	orang berbudi	Orang berbudi harus selaras antara kata dan tindakan
卡通	kartun	Kanak-kanak itu suka menonton filem kartun
开采	melombong	Syarikat ini bertanggungjawab melombong mineral
开除	memecat	Sekolah memutuskan untuk memecat pelajar yang menipu
开阔	luas	Berdiri di puncak gunung, pandangan sangat luas
开朗	periang	Dia berwatak periang dan mempunyai ramai kawan
开明	terbuka	Sikap ibu bapanya sangat terbuka
开辟	membuka	Bandar itu membuka laluan bas baharu
开拓	membangunkan	Syarikat merancang membangunkan pasaran luar negara
开展	menjalankan	Sekolah menjalankan aktiviti pendidikan keselamatan
开支	perbelanjaan	Perbelanjaan bulanan keluarga meningkat
刊登	menerbitkan	Akhbar menerbitkan artikelnya
刊物	penerbitan	Penerbitan ini keluar sebulan sekali
勘探	meninjau	Pasukan kejuruteraan sedang meninjau sumber air bawah tanah
侃侃而谈	berbicara dengan yakin	Dia berbicara dengan yakin dalam mesyuarat
砍伐	menebang	Dilarang menebang hutan sesuka hati
看待	melihat	Kita perlu melihat isu ini secara objektif
慷慨	murah hati	Dia dengan murah hati mendermakan hadiah wangnya
抗议	membantah	Penduduk membantah pembinaan kilang baharu
考察	meninjau	Pakar pergi ke tapak untuk meninjau persekitaran
考古	arkeologi	Pasukan arkeologi menemui makam purba
考核	menilai	Syarikat menilai prestasi pekerja setiap tahun
考验	menguji	Krisis ini menguji kemampuan pasukan
靠拢	merapat	Anggota pasukan merapat ke arah tengah
磕	terhantuk	Dia tidak sengaja terhantuk pada bucu meja
科目	mata pelajaran	Matematik ialah mata pelajaran kegemarannya
可观	lumayan	Pelaburan ini membawa pulangan yang lumayan
可口	sedap	Makanan di restoran ini sangat sedap
可恶	menjijikkan	Perbuatan menipu seperti ini benar-benar menjijikkan
可行	boleh dilaksanakan	Rancangan ini pada dasarnya boleh dilaksanakan
渴望	menginginkan	Kanak-kanak menginginkan lebih banyak peluang
克制	mengawal diri	Ketika berdebat, perlu mengawal emosi
刻不容缓	tidak boleh ditangguhkan	Melindungi sumber air tidak boleh ditangguhkan
客户	pelanggan	Pelanggan sangat puas hati dengan perkhidmatan
课题	topik	Topik ini wajar dikaji dengan mendalam
啃	menggigit	Kanak-kanak itu sedang menggigit sebatang jagung
恳切	ikhlas	Dia meminta bantuan semua orang dengan ikhlas
坑	lubang	Di tepi jalan ada lubang yang sangat dalam
空洞	kosong	Laporan ini kosong dari segi isi
空前绝后	tiada tandingan	Persembahan ini boleh dikatakan tiada tandingan
空想	khayalan	Hanya bergantung pada khayalan tidak dapat menyelesaikan masalah
空虚	hampa	Selepas kesibukan berlalu, dia berasa hampa
孔	lubang	Ada sebuah lubang kecil di dinding
恐怖	menakutkan	Suasana filem itu sangat menakutkan
恐吓	mengugut	Pihak lawan menggunakan ancaman untuk mengugut saksi
恐惧	ketakutan	Kegelapan membuat kanak-kanak itu berasa takut
空白	ruang kosong	Sila tandatangan di ruang kosong
空隙	celah	Ada celah antara pintu dan lantai
口气	nada	Nada percakapannya sangat keras
口腔	rongga mulut	Doktor memeriksa rongga mulutnya
口头	lisan	Mereka hanya mempunyai perjanjian lisan
口音	loghat	Bahasa Mandarinnya mempunyai sedikit loghat
扣	mengancingkan	Sila kancingkan tali pinggang keselamatan
哭泣	menangis	Gadis itu bersembunyi di sudut dan menangis
枯萎	layu	Kekurangan air membuat bunga layu
枯燥	membosankan	Kerja ini agak membosankan
苦尽甘来	habis susah datang senang	Selepas bertahun-tahun bertahan, akhirnya habis susah datang senang
苦涩	pahit	Teh herba ini rasanya pahit
挎	menyandang	Dia menyandang beg kain lalu keluar
跨	melangkah	Dia melangkah melepasi parit lalu terus berjalan ke depan
快活	gembira	Kanak-kanak bermain dengan gembira di atas rumput
宽敞	luas	Bilik darjah ini cerah dan luas
宽容	toleransi	Masyarakat memerlukan lebih banyak pemahaman dan toleransi
款待	melayan	Tuan rumah melayan tetamu dengan mesra
款式	gaya	Pakaian ini mempunyai gaya yang sangat baharu
筐	bakul	Dia memikul sebakul epal pulang ke rumah
况且	tambahan pula	Jalannya jauh, tambahan pula hari hampir gelap
旷课	ponteng kelas	Pelajar yang ponteng kelas tanpa sebab akan direkodkan
框架	rangka	Laporan itu perlu menentukan rangka terlebih dahulu
矿产	mineral	Kawasan ini kaya dengan sumber mineral
亏待	melayan dengan tidak adil	Syarikat tidak akan melayan pekerja rajin dengan tidak adil
亏损	kerugian	Kilang itu mengalami kerugian besar tahun ini
捆绑	mengikat	Sila ikat kotak-kotak ini dengan kukuh
扩充	memperluas	Sekolah merancang memperluas koleksi perpustakaan
扩散	tersebar	Khabar angin cepat tersebar di internet
扩张	berkembang	Syarikat sedang mengembangkan perniagaan dengan berhati-hati
啦	partikel akhir ayat	Jangan risau, semuanya akan menjadi baik
喇叭	hon	Hon kereta tiba-tiba berbunyi
蜡烛	lilin	Lilin dipasang di atas kek hari jadi
来历	asal usul	Asal usul artifak budaya ini tidak jelas
来源	sumber	Berita mesti menyatakan sumber maklumat
栏目	ruangan	Ruangan ini disiarkan sekali seminggu
懒惰	malas	Kemalasan boleh menjejaskan hasil pembelajaran
狼狈	keadaan menyedihkan	Selepas hujan, seluruh badannya basah dan kelihatan menyedihkan
狼吞虎咽	makan gelojoh	Dia terlalu lapar lalu makan dengan gelojoh
捞	mengangkat dari air	Nelayan mengangkat sebuah jaring dari sungai
唠叨	membebel	Ibu selalu membebel tentang perkara kecil
牢固	kukuh	Struktur jambatan ini sangat kukuh
牢骚	rungutan	Dia penuh rungutan tetapi tidak mahu berubah
乐趣	keseronokan	Membaca membawa banyak keseronokan kepadanya
乐意	sudi	Saya sangat sudi membantu kamu menyemak resume
雷达	radar	Radar mengesan pesawat di kejauhan
类似	serupa	Masalah serupa pernah berlaku sebelum ini
冷酷	dingin	Nadanya kedengaran sangat dingin
冷落	terabai	Pekerja baharu itu berasa dirinya terabai
冷却	menyejuk	Mesin perlu menyejuk dahulu sebelum dibaiki
愣	terpaku	Mendengar berita itu, dia terpaku
黎明	fajar	Pada waktu fajar, bandar perlahan-lahan bangun
理睬	mengendahkan	Dia marah dan tidak mengendahkan sesiapa
理所当然	sudah sewajarnya	Jangan menganggap bantuan orang lain sebagai sudah sewajarnya
理直气壮	yakin kerana benar	Bukti mencukupi, jadi dia bercakap dengan yakin kerana benar
理智	rasional	Apabila menghadapi konflik, perlu kekal rasional
礼节	adab	Budaya berbeza mempunyai adab yang berbeza
礼尚往来	balas budi dengan budi	Jiran tetangga mementingkan balas budi dengan budi
里程碑	tonggak	Kejayaan ini ialah tonggak projek
例外	pengecualian	Semua orang mesti hadir, tiada pengecualian
利害	kepentingan	Perkara ini melibatkan kepentingan kedua-dua pihak
力求	berusaha sedaya upaya	Kami berusaha sedaya upaya mengurangkan kesilapan
力所能及	dalam kemampuan	Sila lakukan perkara yang dalam kemampuan kamu
力争	berusaha keras	Pasukan berusaha keras menyiapkan tugas lebih awal
历代	generasi terdahulu	Sarjana generasi terdahulu pernah mengkaji masalah ini
历来	sentiasa	Bandar ini sentiasa mementingkan pendidikan
立场	pendirian	Dia menyatakan pendiriannya dalam mesyuarat
立方	meter padu	Tangki air ini berkapasiti tiga meter padu
立交桥	jambatan bertingkat	Jambatan bertingkat ini mengurangkan kesesakan lalu lintas
立体	tiga dimensi	Lukisan ini mempunyai kesan tiga dimensi yang kuat
立足	bertapak	Perusahaan perlu bertapak di pasaran tempatan
粒	butir	Ada beberapa butir nasi di atas meja
廉洁	jujur	Penjawat awam mesti kekal jujur dan bersih
联欢	perjumpaan riang	Rakan sekelas mengadakan perjumpaan Tahun Baharu
联络	menghubungi	Sila hubungi pelanggan secepat mungkin
联盟	perikatan	Beberapa negara membentuk perikatan perdagangan
联想	mengingatkan	Foto ini mengingatkan saya kepada zaman kanak-kanak
连年	bertahun-tahun berturut-turut	Kawasan ini mengalami banjir bertahun-tahun berturut-turut
连锁	rangkaian	Syarikat ini mengendalikan pasar raya rangkaian
连同	bersama	Sila hantar invois bersama kontrak
良心	hati nurani	Seseorang harus hidup tanpa mengkhianati hati nurani
晾	menjemur	Dia menjemur pakaian di balkoni
谅解	memahami	Saya harap kamu dapat memahami kesukaran kami
辽阔	luas terbentang	Padang rumput itu luas terbentang sejauh mata memandang
列举	menyenaraikan	Guru menyenaraikan tiga contoh
临床	klinikal	Ubat ini sedang menjalani ujian klinikal
淋	basah kuyup	Jangan terlalu lama basah kuyup dalam hujan
吝啬	kedekut	Dia tidak pernah kedekut terhadap kawan-kawannya
伶俐	cerdik	Gadis kecil ini cerdik dan tangkas
凌晨	awal pagi	Pesawat berlepas pada pukul tiga awal pagi
灵感	inspirasi	Muzik memberi inspirasi kreatif kepadanya
灵魂	jiwa	Kebebasan ialah jiwa karya ini
灵敏	peka	Alat ini bertindak balas dengan sangat peka
零星	bertaburan	Di langit malam ada cahaya yang bertaburan
领会	memahami	Dia cepat memahami maksud guru
领事馆	konsulat	Dia pergi ke konsulat untuk mengurus visa
领土	wilayah	Setiap negara mementingkan keutuhan wilayah
领悟	menyedari	Selepas mengalami kegagalan, dia menyedari tanggungjawab
领先	mendahului	Teknologi mereka kini mendahului rakan seindustri
领袖	pemimpin	Pemimpin ini sangat dihormati rakyat
溜	menyelinap	Anak anjing menyelinap keluar melalui celah pintu
流浪	merantau	Ketika muda, dia pernah merantau ke merata tempat
流露	terpancar	Kegembiraan terpancar pada wajahnya
流氓	samseng	Polis menangkap beberapa samseng jalanan
流通	beredar	Mata wang ini pernah beredar di kawasan tempatan
留恋	berat hati meninggalkan	Ketika tamat belajar, semua orang berat hati meninggalkan kampus
留念	kenang-kenangan	Kami mengambil gambar di pintu sekolah sebagai kenang-kenangan
留神	berhati-hati	Ketika melintas jalan, mesti berhati-hati
聋哑	pekak bisu	Sekolah menyediakan bantuan untuk kanak-kanak pekak bisu
隆重	meriah	Persidangan itu diadakan dengan meriah di dewan
垄断	monopoli	Monopoli boleh merosakkan persaingan pasaran
笼罩	menyelubungi	Kabus tebal menyelubungi seluruh kampung
搂	memeluk	Ibu memeluk anaknya dengan lembut
炉灶	dapur	Dapur di dalam bilik masak perlu dibersihkan
轮船	kapal	Kapal perlahan-lahan meninggalkan pelabuhan
轮廓	garis bentuk	Garis bentuk puncak gunung di kejauhan sangat jelas
轮胎	tayar	Tayar kereta perlu diganti
论坛	forum	Pakar menyampaikan ucapan di forum
论证	membuktikan hujah	Laporan itu perlu membuktikan hujah dengan lebih lanjut
啰唆	bertele-tele	Jangan bertele-tele, terus sebut perkara utama
络绎不绝	tidak putus-putus	Pelancong datang ke kota lama itu tidak putus-putus
落成	siap dibina	Stadium baharu itu akan siap dibina secara rasmi esok
落实	melaksanakan	Mesyuarat meminta dasar baharu dilaksanakan secepat mungkin
屡次	berulang kali	Dia berulang kali mengingatkan semua orang supaya menjaga keselamatan
履行	menunaikan	Kedua-dua pihak mesti menunaikan kewajipan kontrak
掠夺	merampas	Perang menyebabkan rampasan sumber
嘛	partikel penegasan	Perkara ini mudah sahaja
麻痹	lalai	Keadaan yang lancar terlalu lama mudah membuat orang lalai
麻木	kebas	Kesejukan membuat jari-jarinya kebas
麻醉	bius	Sebelum pembedahan, doktor membius pesakit
码头	dermaga	Kapal kargo berlabuh di tepi dermaga
蚂蚁	semut	Semut sedang mengangkut makanan
埋伏	serang hendap	Askar bersembunyi untuk serang hendap di lembah
埋没	tenggelam	Jangan biarkan bakat tenggelam begitu sahaja
埋葬	mengebumikan	Penduduk kampung mengebumikan orang tua itu di lereng bukit
脉搏	nadi	Jururawat sedang mengukur nadinya
迈	melangkah	Dia melangkah besar ke arah pintu
埋怨	mengeluh	Jangan selalu mengeluh tentang orang lain
慢性	kronik	Penyakit kronik memerlukan rawatan jangka panjang
漫长	panjang	Mereka melalui penantian yang panjang
漫画	komik	Komik ini sangat popular dalam kalangan orang muda
蔓延	merebak	Api cepat merebak ke bahagian dalam hutan
忙碌	sibuk	Akhir tahun ialah masa paling sibuk bagi syarikat
盲目	membuta tuli	Pelaburan tidak boleh mengikut trend secara membuta tuli
茫茫	luas terbentang	Perahu itu hilang di laut yang luas terbentang
茫然	bingung	Selepas mendengar penjelasan, wajahnya masih bingung
冒充	menyamar	Ada orang menyamar sebagai polis untuk menipu wang
冒犯	menyinggung	Kata-kata saya tidak berniat menyinggung kamu
茂盛	subur	Pokok-pokok di halaman tumbuh dengan sangat subur
媒介	medium	Internet ialah medium maklumat yang penting
枚	keping	Dia mengumpul beberapa keping syiling kenangan
美观	cantik	Reka bentuk ini praktikal dan cantik
美满	bahagia	Mereka menjalani kehidupan yang bahagia
美妙	indah	Konsert itu membawa pengalaman yang indah
萌芽	bercambah	Idea baharu mula bercambah
猛烈	dahsyat	Ribut datang dengan sangat dahsyat
眯	mengecilkan mata	Cahaya matahari terlalu kuat, jadi dia mengecilkan mata
弥补	menebus	Permintaan maaf tidak dapat sepenuhnya menebus kerugian
弥漫	memenuhi udara	Haruman bunga memenuhi halaman
谜语	teka-teki	Kanak-kanak suka meneka teka-teki
迷惑	keliru	Data yang rumit membuatnya keliru
迷人	menawan	Pemandangan malam di tepi laut sangat menawan
迷信	tahyul	Pendidikan sains dapat mengurangkan tahyul
密度	ketumpatan	Logam ini mempunyai ketumpatan yang tinggi
密封	menutup rapat	Selepas dibuka, sila tutup beg itu rapat-rapat
棉花	kapas	Petani sedang memetik kapas
免得	supaya tidak	Keluar lebih awal supaya tidak lewat
免疫	imuniti	Vaksin ini dapat meningkatkan imuniti
勉励	menggalakkan	Guru sering menggalakkan pelajar terus belajar
勉强	terpaksa	Dia terpaksa bersetuju dengan susunan ini
面貌	wajah	Bandar ini mengalami perubahan wajah yang besar
面子	air muka	Dia tidak mahu kehilangan air muka di depan orang ramai
描绘	menggambarkan	Novel itu menggambarkan kehidupan desa
瞄准	membidik	Penembak membidik sasaran
渺小	kecil	Manusia kelihatan sangat kecil di hadapan alam
藐视	memandang rendah	Kita tidak boleh memandang rendah mana-mana lawan
灭亡	runtuh	Dinasti itu akhirnya menuju keruntuhan
蔑视	penghinaan	Nadanya penuh penghinaan
民间	rakyat	Seni rakyat perlu dilindungi
民主	demokrasi	Mesyuarat menggunakan kaedah undian demokrasi
敏捷	lincah	Gerakan atlet itu sangat lincah
敏锐	tajam	Wartawan memerlukan daya pemerhatian yang tajam
名次	kedudukan	Dia memperoleh kedudukan yang baik dalam pertandingan
名额	kuota	Program ini hanya mempunyai sepuluh kuota
名副其实	benar-benar	Dia benar-benar seorang pakar
名誉	reputasi	Perkara ini merosakkan reputasi syarikat
明明	jelas-jelas	Dia jelas-jelas tahu jawapannya, tetapi enggan berkata
明智	bijak	Menangguhkan keputusan ialah pilihan yang bijak
命名	menamakan	Saintis menamakan spesies baharu itu
摸索	mencari-cari	Pasukan masih mencari-cari kaedah baharu
摩擦	geseran	Geseran perdagangan muncul antara dua negara
模范	teladan	Dia ialah teladan kepada semua pelajar di sekolah
模式	model	Model perniagaan ini sangat berjaya
模型	model	Jurutera membuat model jambatan
磨合	menyesuaikan diri	Pasukan baharu memerlukan masa untuk menyesuaikan diri
膜	membran	Membran ini boleh menapis kekotoran
魔鬼	iblis	Iblis dalam cerita itu sangat licik
魔术	silap mata	Kanak-kanak suka menonton pertunjukan silap mata
抹杀	menghapuskan	Sumbangannya tidak boleh dihapuskan
墨水儿	dakwat	Dakwat dalam pen hampir habis
莫名其妙	membingungkan	Reaksinya membuat orang berasa membingungkan
默默	diam-diam	Dia diam-diam membantu ramai orang
谋求	mencari	Perusahaan sedang mencari peluang pembangunan baharu
模样	rupa	Rupanya sekarang banyak berubah
母语	bahasa ibunda	Kanak-kanak belajar bahasa ibunda sejak kecil
沐浴	bermandikan	Kampung pada waktu pagi bermandikan cahaya matahari
目睹	menyaksikan	Ramai orang menyaksikan kemalangan itu
目光	pandangan	Pandangan semua orang tertumpu pada pentas
拿手	keistimewaan	Ikan masak kicap ialah hidangan keistimewaannya
纳闷儿	tertanya-tanya	Saya terus tertanya-tanya mengapa dia lewat
耐用	tahan lama	Sepasang kasut ini sangat tahan lama
南辕北辙	bertentangan dengan tujuan	Caranya bertentangan dengan tujuan
难得	jarang	Ini peluang yang jarang diperoleh
难堪	malu	Soalan ini membuatnya sangat malu
难能可贵	sangat terpuji	Tetap jujur di bawah tekanan sangat terpuji
恼火	marah	Peralatan itu rosak lagi, dia sangat marah
内涵	makna mendalam	Perkataan ini mempunyai makna budaya yang mendalam
内幕	cerita dalaman	Wartawan cuba menyiasat cerita dalaman kejadian itu
内在	dalaman	Dia lebih menghargai kualiti dalaman seseorang
能量	tenaga	Sarapan ini memberi saya banyak tenaga
拟定	merangka	Setiausaha sedang merangka agenda mesyuarat
逆行	melawan arah	Kereta itu melawan arah di jalan sehala
年度	tahunan	Syarikat menerbitkan laporan tahunan
捏	mencubit	Dia mencubit pipi anak itu dengan lembut
凝固	membeku	Selepas sejuk, lilin akan perlahan-lahan membeku
凝聚	menyatukan	Matlamat bersama dapat menyatukan kekuatan pasukan
凝视	merenung	Dia merenung cahaya di kejauhan
拧	mencubit	Dia mencubit saya sekali dengan tangannya
宁肯	lebih rela	Dia lebih rela gagal daripada melepaskan prinsip
宁愿	lebih rela	Saya lebih rela berjalan daripada menunggu bas
扭转	membalikkan	Dasar baharu membalikkan keadaan kerugian
纽扣儿	butang	Baju kemeja ini kehilangan sebutang butang
农历	kalendar lunar	Perayaan Tahun Baharu Cina diraikan mengikut kalendar lunar
浓厚	mendalam	Dia mempunyai minat yang mendalam terhadap sejarah
奴隶	hamba	Masyarakat kuno mempunyai sistem hamba
挪	mengalihkan	Sila alihkan kerusi sedikit ke tepi
虐待	mendera	Undang-undang melarang mendera kanak-kanak
哦	oh	Oh, akhirnya saya faham
殴打	memukul	Polis menangkap orang yang memukul pejalan kaki
偶像	idola	Dia menganggap penulis itu sebagai idola
呕吐	muntah	Selepas makan makanan rosak, dia mula muntah
趴	meniarap	Anak kucing meniarap tidur di ambang tingkap
徘徊	berlegar	Dia berlegar lama di pintu
排斥	menolak	Bahan baharu ini menolak kelembapan
排除	menolak kemungkinan	Doktor terlebih dahulu menolak kemungkinan penyakit serius
排放	pelepasan	Kilang mesti mengurangkan pelepasan gas buangan
排练	berlatih	Pelakon sedang berlatih program baharu
派别	puak	Dalam organisasi ini ada puak yang berbeza
派遣	menghantar	Syarikat menghantar jurutera ke tapak
攀登	mendaki	Mereka merancang mendaki gunung bersalji esok
盘旋	berpusing	Pesawat berpusing di atas lapangan terbang
判决	keputusan mahkamah	Mahkamah mengumumkan keputusan hari ini
