simplified	KN	example_KN
蜜蜂	ಜೇನುನೊಣ	ಹೂಗಳ ನಡುವೆ ಅನೇಕ ಜೇನುನೊಣಗಳಿವೆ.
面对	ಎದುರಿಸುವುದು	ನಾವು ಕಷ್ಟಗಳನ್ನು ಧೈರ್ಯವಾಗಿ ಎದುರಿಸಬೇಕು.
面积	ವಿಸ್ತೀರ್ಣ	ಈ ಕೊಠಡಿಯ ವಿಸ್ತೀರ್ಣ ದೊಡ್ಡದಲ್ಲ.
面临	ಎದುರಿಸುತ್ತಿರುವುದು	ಕಂಪನಿ ಹೊಸ ಸವಾಲುಗಳನ್ನು ಎದುರಿಸುತ್ತಿದೆ.
描写	ವರ್ಣಿಸುವುದು; ಚಿತ್ರಿಸುವುದು	ಲೇಖಕರು ಗ್ರಾಮೀಣ ಜೀವನವನ್ನು ವರ್ಣಿಸಿದರು.
苗条	ಸೊಗಸಾದ; ಸಣ್ಣ ಮೈಕಟ್ಟಿನ	ಅವಳ ಮೈಕಟ್ಟು ಸೊಗಸಾಗಿದೆ.
敏感	ಸಂವೇದನಾಶೀಲ	ಈ ವಿಷಯ ಸ್ವಲ್ಪ ಸಂವೇದನಾಶೀಲವಾಗಿದೆ.
名牌	ಪ್ರಸಿದ್ಧ ಬ್ರ್ಯಾಂಡ್	ಅವನು ಪ್ರಸಿದ್ಧ ಬ್ರ್ಯಾಂಡ್‌ನ ಗಡಿಯಾರ ಕೊಂಡನು.
名片	ವ್ಯವಹಾರ ಕಾರ್ಡ್	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ವ್ಯವಹಾರ ಕಾರ್ಡ್ ಕೊಡಿ.
名胜古迹	ಪ್ರಸಿದ್ಧ ದೃಶ್ಯಸ್ಥಳಗಳು ಮತ್ತು ಐತಿಹಾಸಿಕ ಸ್ಮಾರಕಗಳು	ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ಅನೇಕ ಪ್ರಸಿದ್ಧ ದೃಶ್ಯಸ್ಥಳಗಳು ಮತ್ತು ಐತಿಹಾಸಿಕ ಸ್ಮಾರಕಗಳಿವೆ.
明确	ಸ್ಪಷ್ಟ; ಸ್ಪಷ್ಟಪಡಿಸುವುದು	ಶಿಕ್ಷಕರು ಅಗತ್ಯಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸಿದರು.
明显	ಸ್ಪಷ್ಟ; ಗೋಚರ	ಅವನ ಪ್ರಗತಿ ಸ್ಪಷ್ಟವಾಗಿದೆ.
明星	ನಕ್ಷತ್ರ; ಪ್ರಸಿದ್ಧ ವ್ಯಕ್ತಿ	ಅವಳು ಚಲನಚಿತ್ರ ನಕ್ಷತ್ರವಾಗಲು ಬಯಸುತ್ತಾಳೆ.
命令	ಆಜ್ಞೆ; ಆದೇಶ	ಸೈನಿಕರು ಆದೇಶಗಳನ್ನು ಪಾಲಿಸಬೇಕು.
命运	ವಿಧಿ	ವಿಧಿಯನ್ನು ಬದಲಾಯಿಸಬಹುದು ಎಂದು ಅವನು ನಂಬುತ್ತಾನೆ.
摸	ಮುಟ್ಟುವುದು; ಸ್ಪರ್ಶಿಸುವುದು	ದಯವಿಟ್ಟು ಈ ಚಿತ್ರವನ್ನು ಮುಟ್ಟಬೇಡಿ.
摩托车	ಮೋಟಾರ್ ಸೈಕಲ್	ಅವನು ಕೆಲಸಕ್ಕೆ ಮೋಟಾರ್ ಸೈಕಲ್‌ನಲ್ಲಿ ಹೋಗುತ್ತಾನೆ.
模仿	ಅನುಕರಿಸುವುದು	ಮಕ್ಕಳಿಗೆ ದೊಡ್ಡವರ ಮಾತನ್ನು ಅನುಕರಿಸಲು ಇಷ್ಟ.
模糊	ಅಸ್ಪಷ್ಟ; ಮಸುಕಾದ	ಈ ಫೋಟೋ ಸ್ವಲ್ಪ ಮಸುಕಾಗಿದೆ.
模特	ಮಾಡೆಲ್	ಅವಳು ಫ್ಯಾಷನ್ ಮಾಡೆಲ್.
陌生	ಅಪರಿಚಿತ	ಈ ನಗರ ನನಗೆ ತುಂಬಾ ಅಪರಿಚಿತವಾಗಿದೆ.
某	ಯಾವುದೋ; ಒಬ್ಬ	ಯಾವುದೋ ಒಬ್ಬ ಶಿಕ್ಷಕರು ನನಗೆ ಕರೆ ಮಾಡಿದರು.
木头	ಮರದ ತುಂಡು; ಮರ	ಈ ಮೇಜು ಮರದಿಂದ ಮಾಡಲಾಗಿದೆ.
目标	ಗುರಿ	ಪರೀಕ್ಷೆಯಲ್ಲಿ ಉತ್ತೀರ್ಣರಾಗುವುದು ನನ್ನ ಗುರಿ.
目录	ವಿಷಯ ಸೂಚಿ; ಪಟ್ಟಿಕೆ	ದಯವಿಟ್ಟು ಮೊದಲು ಪುಸ್ತಕದ ಮುಂಭಾಗದ ವಿಷಯ ಸೂಚಿಯನ್ನು ನೋಡಿ.
目前	ಪ್ರಸ್ತುತ; ಈಗ	ಪ್ರಸ್ತುತ ಪರಿಸ್ಥಿತಿ ತುಸು ಸ್ಥಿರವಾಗಿದೆ.
哪怕	ಆದರೂ; ಎಷ್ಟೇ ಆಗಲಿ	ಅವನು ಬ್ಯುಸಿಯಾಗಿದ್ದರೂ ಅಧ್ಯಯನ ಮುಂದುವರಿಸುತ್ತಾನೆ.
难怪	ಅದಕ್ಕೇ; ಆಶ್ಚರ್ಯವಿಲ್ಲ	ಇಂದು ನೀನು ಇಷ್ಟು ಸಂತೋಷವಾಗಿರುವುದಕ್ಕೆ ಆಶ್ಚರ್ಯವಿಲ್ಲ.
难免	ತಪ್ಪಿಸಿಕೊಳ್ಳಲು ಕಷ್ಟ; ಅನಿವಾರ್ಯ	ಮೊದಲ ಬಾರಿ ಮಾಡುವಾಗ ತಪ್ಪುಗಳು ಆಗುವುದು ಅನಿವಾರ್ಯ.
脑袋	ತಲೆ	ಅವನ ತಲೆ ಸ್ವಲ್ಪ ನೋಯುತ್ತಿದೆ.
内部	ಆಂತರಿಕ; ಒಳಗಿನ	ಇದು ಕಂಪನಿಯ ಆಂತರಿಕ ಸಾಮಗ್ರಿ.
内科	ಆಂತರಿಕ ವೈದ್ಯಕೀಯ ವಿಭಾಗ	ಅವನು ಇಂದು ಆಂತರಿಕ ವೈದ್ಯಕೀಯ ವಿಭಾಗಕ್ಕೆ ಹೋಗುತ್ತಿದ್ದಾನೆ.
嫩	ಮೃದುವಾದ; ನಾಜೂಕಾದ	ಈ ಮಾಂಸದ ತುಂಡು ತುಂಬಾ ಮೃದುವಾಗಿದೆ.
能干	ಸಾಮರ್ಥ್ಯವಿರುವ; ಕೆಲಸ ಬಲ್ಲ	ಅವಳು ತುಂಬಾ ಸಾಮರ್ಥ್ಯವಿರುವ ವ್ಯಕ್ತಿ.
能源	ಶಕ್ತಿಸ್ರೋತ; ಇಂಧನ	ಸೌರಶಕ್ತಿ ಒಂದು ಸ್ವಚ್ಛ ಶಕ್ತಿಸ್ರೋತ.
嗯	ಹೂಂ; ಒಪ್ಪಿಗೆಯ ಧ್ವನಿ	ಹೂಂ, ನನಗೆ ಅರ್ಥವಾಯಿತು.
年代	ದಶಕ; ಯುಗ	ಈ ಫೋಟೋ ಎಂಭತ್ತರ ದಶಕದಲ್ಲಿ ತೆಗೆದದ್ದು.
年纪	ವಯಸ್ಸು	ಅವನು ಬಹಳ ವಯಸ್ಸಾದವನು ಅಲ್ಲ, ಆದರೆ ಅನುಭವ ಹೆಚ್ಚು.
念	ಓದುವುದು; ನೆನಪಿಸಿಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ಪಠ್ಯವನ್ನು ಒಮ್ಮೆ ಜೋರಾಗಿ ಓದಿ.
宁可	ಮೇಲು; ಬಯಸುವುದು	ಬಸ್ ಕಾಯುವುದಕ್ಕಿಂತ ನಡೆದು ಹೋಗುವುದೇ ನನಗೆ ಮೇಲು.
牛仔裤	ಜೀನ್ಸ್ ಪ್ಯಾಂಟ್	ಅವನು ಒಂದು ಜೋಡಿ ಜೀನ್ಸ್ ಪ್ಯಾಂಟ್ ಧರಿಸಿದ್ದಾನೆ.
农村	ಗ್ರಾಮೀಣ ಪ್ರದೇಶ; ಹಳ್ಳಿ	ಅವಳು ಗ್ರಾಮೀಣ ಪ್ರದೇಶದಲ್ಲಿ ಬೆಳೆದಳು.
农民	ರೈತ	ರೈತರು ಹೊಲಗಳಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
农业	ಕೃಷಿ	ಈ ಪ್ರದೇಶಕ್ಕೆ ಕೃಷಿ ತುಂಬಾ ಮುಖ್ಯ.
浓	ಗಾಢ; ದಟ್ಟ	ಈ ಕಾಫಿ ತುಂಬಾ ಗಾಢವಾಗಿದೆ.
女士	ಮಹಿಳೆ; ಮ್ಯಾಡಂ	ಆ ಮಹಿಳೆ ಬಸ್‌ಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾರೆ.
欧洲	ಯುರೋಪ್	ಅವನು ಮುಂದಿನ ತಿಂಗಳು ಯುರೋಪ್‌ಗೆ ಪ್ರಯಾಣಿಸುತ್ತಿದ್ದಾನೆ.
偶然	ಆಕಸ್ಮಿಕವಾಗಿ	ನಾನು ಆಕಸ್ಮಿಕವಾಗಿ ಹಳೆಯ ಸಹಪಾಠಿಯನ್ನು ಭೇಟಿಯಾದೆ.
拍	ಫೋಟೋ ತೆಗೆದುಕೊಳ್ಳುವುದು; ತಟ್ಟುವುದು	ದಯವಿಟ್ಟು ನನಗೆ ಫೋಟೋ ತೆಗೆದು ಕೊಡಿ.
派	ಕಳುಹಿಸುವುದು; ಪಂಗಡ	ಕಂಪನಿ ಅವನನ್ನು ವ್ಯವಹಾರ ಪ್ರಯಾಣಕ್ಕೆ ಶಾಂಘೈಗೆ ಕಳುಹಿಸಿತು.
盼望	ಕಾತರದಿಂದ ಕಾಯುವುದು	ನಿನ್ನನ್ನು ಬೇಗ ನೋಡಲು ನಾನು ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.
培训	ತರಬೇತಿ	ಹೊಸ ನೌಕರರು ತರಬೇತಿಗೆ ಹಾಜರಾಗಬೇಕು.
培养	ಬೆಳೆಸುವುದು; ತರಬೇತುಗೊಳಿಸುವುದು	ಶಾಲೆ ವಿದ್ಯಾರ್ಥಿಗಳ ಸಾಮರ್ಥ್ಯವನ್ನು ಬೆಳೆಸುವುದಕ್ಕೆ ಮೌಲ್ಯ ಕೊಡುತ್ತದೆ.
赔偿	ಪರಿಹಾರ ಕೊಡುವುದು	ನಷ್ಟಕ್ಕೆ ಪರಿಹಾರ ಕೊಡಲು ಕಂಪನಿ ಒಪ್ಪಿಕೊಂಡಿತು.
佩服	ಮೆಚ್ಚುವುದು; ಗೌರವಿಸುವುದು	ಅವನ ಧೈರ್ಯವನ್ನು ನಾನು ನಿಜವಾಗಿಯೂ ಮೆಚ್ಚುತ್ತೇನೆ.
配合	ಸಹಕರಿಸುವುದು; ಹೊಂದಿಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ಶಿಕ್ಷಕರ ವ್ಯವಸ್ಥೆಯೊಂದಿಗೆ ಸಹಕರಿಸಿ.
盆	ಕುಂಡ; ಪಾತ್ರೆ	ಬಾಲ್ಕನಿಯಲ್ಲಿ ಒಂದು ಹೂ ಕುಂಡ ಇದೆ.
碰	ಮುಟ್ಟುವುದು; ಡಿಕ್ಕಿ ಹೊಡೆಯುವುದು	ಜಾಗರೂಕರಾಗಿರಿ, ಬಿಸಿ ನೀರನ್ನು ಮುಟ್ಟಬೇಡಿ.
批	ಗುಂಪು; ಬ್ಯಾಚ್	ಈ ಸರಕುಗಳ ಬ್ಯಾಚ್ ಇಂದು ಬಂದಿದೆ.
批准	ಅನುಮೋದಿಸುವುದು	ನಿರ್ವಾಹಕರು ಈ ಯೋಜನೆಯನ್ನು ಅನುಮೋದಿಸಿದರು.
披	ಹೊದಿಕೊಳ್ಳುವುದು; ಭುಜದ ಮೇಲೆ ಹಾಕಿಕೊಳ್ಳುವುದು	ಅವಳು ಭುಜದ ಮೇಲೆ ಕೋಟು ಹೊದಿಕೊಂಡಿದ್ದಾಳೆ.
疲劳	ದಣಿವು	ದೀರ್ಘಕಾಲ ಕೆಲಸ ಮಾಡಿದರೆ ದಣಿವು ಬರುತ್ತದೆ.
匹	ಕುದುರೆಗೆ ಎಣಿಕೆಪದ	ಹುಲ್ಲಿನ ಮೇಲೆ ಒಂದು ಕುದುರೆ ಇದೆ.
片	ತುಂಡು; ಸಣ್ಣ ಚೂರು	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ರೊಟ್ಟಿ ತುಂಡು ಕೊಡಿ.
片面	ಏಕಪಕ್ಷೀಯ	ಈ ಅಭಿಪ್ರಾಯ ತುಂಬಾ ಏಕಪಕ್ಷೀಯವಾಗಿದೆ.
飘	ತೇಲುವುದು; ಹಾರಾಡುವುದು	ಹಿಮದ ಕಣಗಳು ಗಾಳಿಯಲ್ಲಿ ತೇಲುತ್ತಿವೆ.
拼音	ಪಿನ್ಯಿನ್; ಚೀನಿ ಧ್ವನಿಲಿಪಿ	ದಯವಿಟ್ಟು ಚೀನಿ ಅಕ್ಷರಗಳ ಪಕ್ಕದಲ್ಲಿ ಪಿನ್ಯಿನ್ ಬರೆಯಿರಿ.
频道	ಚಾನೆಲ್	ದಯವಿಟ್ಟು ಸುದ್ದಿ ಚಾನೆಲ್‌ಗೆ ಬದಲಿಸಿ.
凭	ಆಧರಿಸಿ; ಮೂಲಕ	ಟಿಕೆಟ್ ಮೂಲಕ ನೀವು ಒಳಗೆ ಹೋಗಬಹುದು.
平均	ಸರಾಸರಿ; ಸಮವಾಗಿ	ಸರಾಸರಿಯಾಗಿ ಪ್ರತಿಯೊಬ್ಬರೂ ಹತ್ತು ಯುವಾನ್ ಖರ್ಚು ಮಾಡಿದರು.
平	ಸಮತಟ್ಟಾದ; ಸಮ	ಈ ರಸ್ತೆ ತುಂಬಾ ಸಮತಟ್ಟಾಗಿದೆ.
平安	ಸುರಕ್ಷಿತ; ಕ್ಷೇಮ	ನಿಮ್ಮ ಪ್ರಯಾಣ ಸುರಕ್ಷಿತವಾಗಿರಲಿ.
平常	ಸಾಮಾನ್ಯವಾಗಿ; ದೈನಂದಿನ	ಸಾಮಾನ್ಯವಾಗಿ ಅವನು ವಿರಳವಾಗಿ ತಡವಾಗಿ ಬರುತ್ತಾನೆ.
平等	ಸಮಾನತೆ; ಸಮಾನ	ಎಲ್ಲರನ್ನೂ ಸಮಾನವಾಗಿ ನೋಡಬೇಕು.
平方	ಚದರ	ಈ ಕೊಠಡಿ ಇಪ್ಪತ್ತು ಚದರ ಮೀಟರ್.
平衡	ಸಮತೋಲನ	ಕೆಲಸ ಮತ್ತು ಜೀವನಕ್ಕೆ ಸಮತೋಲನ ಬೇಕು.
平静	ಶಾಂತ; ನೆಮ್ಮದಿಯ	ಸರೋವರದ ಮೇಲ್ಮೈ ತುಂಬಾ ಶಾಂತವಾಗಿದೆ.
评价	ಮೌಲ್ಯಮಾಪನ; ಅಂದಾಜಿಸುವುದು	ಶಿಕ್ಷಕರು ತುಂಬಾ ಉನ್ನತ ಮೌಲ್ಯಮಾಪನ ನೀಡಿದರು.
破产	ದಿವಾಳಿಯಾಗುವುದು	ಆ ಕಂಪನಿ ಕಳೆದ ವರ್ಷ ದಿವಾಳಿಯಾಯಿತು.
破坏	ಹಾನಿ ಮಾಡುವುದು; ನಾಶಮಾಡುವುದು	ದಯವಿಟ್ಟು ಸಾರ್ವಜನಿಕ ಆಸ್ತಿಗೆ ಹಾನಿ ಮಾಡಬೇಡಿ.
迫切	ತುರ್ತು; ಅತ್ಯಾವಶ್ಯಕ	ನಮಗೆ ಇನ್ನಷ್ಟು ವೈದ್ಯರು ತುರ್ತುವಾಗಿ ಬೇಕು.
期待	ಕಾಯುವುದು; ನಿರೀಕ್ಷಿಸುವುದು	ನಾನು ಈ ಪ್ರಯಾಣವನ್ನು ಕಾತರದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.
期间	ಅವಧಿ; ಸಮಯದಲ್ಲಿ	ಸಭೆಯ ಅವಧಿಯಲ್ಲಿ ದಯವಿಟ್ಟು ಫೋನ್ ಆರಿಸಿ.
其余	ಉಳಿದ; ಇತರೆ	ಉಳಿದ ಸಮಸ್ಯೆಗಳನ್ನು ನಾಳೆ ಚರ್ಚಿಸಲಾಗುತ್ತದೆ.
奇迹	ಅದ್ಭುತ; ಚಮತ್ಕಾರ	ವೈದ್ಯರು ಇದು ಒಂದು ಅದ್ಭುತ ಎಂದರು.
企业	ಉದ್ಯಮ; ಕಂಪನಿ	ಈ ಉದ್ಯಮ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿದೆ.
启发	ಪ್ರೇರಣೆ ನೀಡುವುದು; ಬುದ್ಧಿ ತೆರೆಸುವುದು	ಈ ಪುಸ್ತಕ ನನಗೆ ಬಹಳ ಪ್ರೇರಣೆ ನೀಡಿತು.
气氛	ವಾತಾವರಣ; ಮನೋಭಾವ	ತರಗತಿಯ ವಾತಾವರಣ ತುಂಬಾ ಆರಾಮವಾಗಿದೆ.
汽油	ಪೆಟ್ರೋಲ್	ಕಾರಿಗೆ ಪೆಟ್ರೋಲ್ ಬೇಕು.
签	ಸಹಿ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಇಲ್ಲಿ ನಿಮ್ಮ ಹೆಸರನ್ನು ಸಹಿ ಮಾಡಿ.
谦虚	ವಿನಯಶೀಲ; ವಿನಮ್ರ	ಅವನು ಅತ್ಯುತ್ತಮ, ಜೊತೆಗೆ ತುಂಬಾ ವಿನಯಶೀಲ.
前途	ಭವಿಷ್ಯ; ಅವಕಾಶಗಳು	ಈ ವಿಭಾಗಕ್ಕೆ ಒಳ್ಳೆಯ ಭವಿಷ್ಯವಿದೆ.
浅	ಆಳವಿಲ್ಲದ; ಮೇಲ್ಮೈಯ	ಈ ನದಿ ತುಂಬಾ ಆಳವಿಲ್ಲ.
欠	ಬಾಕಿ ಇರುವುದು; ಸಾಲಿರುವುದು	ಅವನು ಇನ್ನೂ ನನಗೆ ಇಪ್ಪತ್ತು ಯುವಾನ್ ಬಾಕಿ ಇಟ್ಟಿದ್ದಾನೆ.
枪	ತೋಪು	ಪೊಲೀಸ್ ಅಧಿಕಾರಿ ತೋಪು ಹಿಡಿದಿದ್ದಾನೆ.
墙	ಗೋಡೆ	ಗೋಡೆಯ ಮೇಲೆ ಒಂದು ಚಿತ್ರ ನೇತಾಡುತ್ತಿದೆ.
强调	ಒತ್ತಿಹೇಳುವುದು	ಶಿಕ್ಷಕರು ಸುರಕ್ಷತಾ ವಿಷಯಗಳನ್ನು ಒತ್ತಿಹೇಳಿದರು.
强烈	ತೀವ್ರ; ಬಲವಾದ	ಅವನಿಗೆ ಬಲವಾದ ಹೊಣೆಗಾರಿಕೆಯ ಭಾವನೆ ಇದೆ.
抢	ಕಸಿದುಕೊಳ್ಳಲು ಹೋಗುವುದು; ಪೈಪೋಟಿ ಮಾಡುವುದು	ಆಸನಗಳಿಗಾಗಿ ಇತರರ ಜೊತೆ ಪೈಪೋಟಿ ಮಾಡಬೇಡಿ.
悄悄	ನಿಶ್ಶಬ್ದವಾಗಿ; ಮೌನವಾಗಿ	ಅವಳು ಮೌನವಾಗಿ ಕೊಠಡಿಗೆ ನಡೆದುಬಂದಳು.
瞧	ನೋಡುವುದು	ನೋಡು, ಹೊರಗೆ ಹಿಮ ಬೀಳುತ್ತಿದೆ.
巧妙	ಚಾತುರ್ಯದ; ಕುಶಲ	ಈ ವಿಧಾನ ತುಂಬಾ ಚಾತುರ್ಯದಾಗಿದೆ.
切	ಕತ್ತರಿಸುವುದು	ದಯವಿಟ್ಟು ಹಣ್ಣನ್ನು ಸಣ್ಣ ತುಂಡುಗಳಾಗಿ ಕತ್ತರಿಸಿ.
亲爱	ಪ್ರಿಯ	ಪ್ರಿಯ ಸ್ನೇಹಿತ, ಧನ್ಯವಾದಗಳು.
亲切	ಸ್ನೇಹಪರ; ಆತ್ಮೀಯ	ಶಿಕ್ಷಕರು ತುಂಬಾ ಆತ್ಮೀಯವಾಗಿ ಮಾತನಾಡುತ್ತಾರೆ.
亲自	ಸ್ವತಃ	ನಿರ್ವಾಹಕರು ಸ್ವತಃ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಿದರು.
勤奋	ಶ್ರಮಶೀಲ; ಪರಿಶ್ರಮಿ	ಶ್ರಮಶೀಲ ಜನರಿಗೆ ಯಶಸ್ಸು ಸಿಗುವ ಸಾಧ್ಯತೆ ಹೆಚ್ಚು.
清淡	ಲಘು ರುಚಿಯ; ಕಡಿಮೆ ಕಾರದ	ನನಗೆ ಲಘು ರುಚಿಯ ತಿನಿಸು ತಿನ್ನಲು ಇಷ್ಟ.
轻视	ಕಡಿಮೆ ಅಂದಾಜಿಸುವುದು; ತಿರಸ್ಕರಿಸುವುದು	ಈ ಸಣ್ಣ ಸಮಸ್ಯೆಯನ್ನು ಕಡಿಮೆ ಅಂದಾಜಿಸಬೇಡಿ.
轻易	ಸುಲಭವಾಗಿ	ಅವನು ಸುಲಭವಾಗಿ ಕೈಬಿಡುವುದಿಲ್ಲ.
青	ನೀಲಿ-ಹಸಿರು; ಹಸಿರುತನ	ಈ ಬಟ್ಟೆ ನೀಲಿ-ಹಸಿರು ಬಣ್ಣದಲ್ಲಿದೆ.
青春	ಯೌವನ	ಯೌವನ ಅಮೂಲ್ಯ.
青少年	ಕಿಶೋರರು; ಯುವಜನರು	ಕಿಶೋರರಿಗೆ ಸಾಕಷ್ಟು ನಿದ್ರೆ ಬೇಕು.
情景	ದೃಶ್ಯ; ಪರಿಸ್ಥಿತಿ	ಚಲನಚಿತ್ರದ ದೃಶ್ಯ ತುಂಬಾ ಮನಕಲುಕುವಂತಿದೆ.
情绪	ಭಾವನೆ; ಮನಸ್ಥಿತಿ	ಅವನ ಭಾವನೆಗಳು ಹೆಚ್ಚು ಸ್ಥಿರವಾಗಿಲ್ಲ.
请求	ವಿನಂತಿ; ಕೇಳಿಕೊಳ್ಳುವುದು	ಅವನು ಒಂದು ವಿನಂತಿ ಮಾಡಿದನು.
庆祝	ಆಚರಿಸುವುದು	ನಾವು ಅವನ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ಆಚರಿಸಿದೆವು.
球迷	ಕ್ರೀಡಾಭಿಮಾನಿ	ಅನೇಕ ಅಭಿಮಾನಿಗಳು ಪಂದ್ಯ ನೋಡಲು ಬಂದರು.
趋势	ಪ್ರವೃತ್ತಿ; ಧೋರಣೆ	ಈ ಪ್ರವೃತ್ತಿ ಹೆಚ್ಚು ಹೆಚ್ಚು ಸ್ಪಷ್ಟವಾಗುತ್ತಿದೆ.
取消	ರದ್ದು ಮಾಡುವುದು	ಮಳೆಯ ಕಾರಣ ಕಾರ್ಯಕ್ರಮ ರದ್ದಾಯಿತು.
娶	ಮದುವೆಯಾಗುವುದು; ಹೆಂಡತಿಯಾಗಿ ಸ್ವೀಕರಿಸುವುದು	ಅವನು ಮುಂದಿನ ವರ್ಷ ಅವಳನ್ನು ಮದುವೆಯಾಗಲು ಯೋಜಿಸಿದ್ದಾನೆ.
去世	ಮರಣಹೊಂದುವುದು	ಅವನ ತಾತ ಕಳೆದ ವರ್ಷ ಮರಣಹೊಂದಿದರು.
圈	ವೃತ್ತ; ಗುರುತು ಹಾಕುವುದು	ದಯವಿಟ್ಟು ಸರಿಯಾದ ಉತ್ತರಕ್ಕೆ ವೃತ್ತ ಹಾಕಿ.
全面	ಸಮಗ್ರ; ಪೂರ್ಣ	ನಾವು ಪರಿಸ್ಥಿತಿಯನ್ನು ಸಮಗ್ರವಾಗಿ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.
权利	ಹಕ್ಕು	ಪ್ರತಿಯೊಬ್ಬರಿಗೂ ಶಿಕ್ಷಣ ಪಡೆಯುವ ಹಕ್ಕಿದೆ.
权力	ಅಧಿಕಾರ	ಅಧಿಕಾರ ಮೇಲ್ವಿಚಾರಣೆಯಲ್ಲಿರಬೇಕು.
劝	ಸಲಹೆ ನೀಡುವುದು; ಮನವೊಲಿಸುವುದು	ನನ್ನ ಸ್ನೇಹಿತ ಬೇಗ ವಿಶ್ರಾಂತಿ ಪಡೆಯಲು ನನಗೆ ಸಲಹೆ ನೀಡಿದನು.
缺乏	ಕೊರತೆ; ಅಭಾವ	ಈ ಪ್ರದೇಶದಲ್ಲಿ ಸ್ವಚ್ಛ ನೀರಿನ ಕೊರತೆ ಇದೆ.
确定	ನಿರ್ಧರಿಸುವುದು; ಖಚಿತ	ನಾನು ಇನ್ನೂ ಸಮಯವನ್ನು ನಿರ್ಧರಿಸಲಾರೆ.
确认	ದೃಢೀಕರಿಸುವುದು	ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಿಳಾಸವನ್ನು ದೃಢೀಕರಿಸಿ.
群	ಗುಂಪು	ಮಕ್ಕಳ ಒಂದು ಗುಂಪು ಆಟದ ಮೈದಾನದಲ್ಲಿ ಆಟ ಆಡುತ್ತಿದೆ.
燃烧	ಸುಡುವುದು; ದಹನ	ಮರದ ತುಂಡುಗಳು ಸುಡುತ್ತಿವೆ.
绕	ಸುತ್ತುವುದು	ನಾವು ಸರೋವರದ ಸುತ್ತ ಒಂದು ಸಾರಿ ನಡೆದೆವು.
热爱	ಆಳವಾಗಿ ಪ್ರೀತಿಸುವುದು	ಅವನು ತನ್ನ ಕೆಲಸವನ್ನು ಆಳವಾಗಿ ಪ್ರೀತಿಸುತ್ತಾನೆ.
热烈	ಉತ್ಸಾಹಭರಿತ; ಆತ್ಮೀಯ	ಎಲ್ಲರೂ ಅತಿಥಿಗಳನ್ನು ಆತ್ಮೀಯವಾಗಿ ಸ್ವಾಗತಿಸಿದರು.
热心	ಉತ್ಸಾಹಿ; ಸಹಾಯಸಿದ್ಧ	ನೆರೆಹೊರೆಯವರು ಎಲ್ಲರೂ ತುಂಬಾ ಸಹಾಯಸಿದ್ಧರು.
人才	ಪ್ರತಿಭಾವಂತ ವ್ಯಕ್ತಿ	ಕಂಪನಿಗೆ ಇನ್ನಷ್ಟು ಪ್ರತಿಭಾವಂತ ಜನರು ಬೇಕು.
人口	ಜನಸಂಖ್ಯೆ	ಈ ನಗರದ ಜನಸಂಖ್ಯೆ ದೊಡ್ಡದು.
人类	ಮಾನವಕುಲ	ಮಾನವಕುಲ ಭೂಮಿಯನ್ನು ರಕ್ಷಿಸಬೇಕು.
人民币	ರೆನ್‌ಮಿನ್‌ಬಿ; ಚೀನಿ ಯುವಾನ್	ನಾನು ಸ್ವಲ್ಪ ರೆನ್‌ಮಿನ್‌ಬಿ ವಿನಿಮಯ ಮಾಡಿಕೊಂಡೆ.
人生	ಮಾನವ ಜೀವನ	ಜೀವನದಲ್ಲಿ ಅನೇಕ ಆಯ್ಕೆಗಳಿವೆ.
人事	ಮಾನವ ಸಂಪನ್ಮೂಲ; ಸಿಬ್ಬಂದಿ ವ್ಯವಹಾರ	ಅವಳು ಮಾನವ ಸಂಪನ್ಮೂಲ ವಿಭಾಗದಲ್ಲಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
人物	ಪಾತ್ರ; ವ್ಯಕ್ತಿ	ಕಾದಂಬರಿಯ ಪಾತ್ರಗಳು ತುಂಬಾ ನಿಜವಾದಂತೆ ಅನ್ನಿಸುತ್ತವೆ.
人员	ಸಿಬ್ಬಂದಿ	ಸಿಬ್ಬಂದಿ ಎಲ್ಲರೂ ಬಂದಿದ್ದಾರೆ.
