simplified	BG	example_BG
亿	сто милиона	Тази страна има население от над един милиард.
意外	неочакван; инцидент	Това закъснение беше напълно неочаквано.
意义	значение	Това събитие е много значимо.
议论	обсъждам; коментирам	Всички обсъждат този въпрос.
因而	затова; следователно	Той учи усърдно, затова оценките му са добри.
因素	фактор	Времето е важен фактор.
银	сребро; сребърен	Тя носи сребърна гривна.
印刷	печат; печатам	Тази книга е отпечатана много ясно.
英俊	красив; представителен	Той изглежда много красив.
英雄	герой	Пожарникарите са истински герои.
营养	хранителност; хранене	Закуската трябва да има достатъчно хранителни вещества.
营业	работя; търгувам	Този магазин започва работа в девет часа.
迎接	посрещам	Отидохме на летището да посрещнем гостите.
影子	сянка	Сянката му е под уличната лампа.
应付	справям се	Той може да се справи с този проблем.
应用	прилагам; приложение	Този метод може да се приложи в преподаването.
硬	твърд	Този стол е твърде твърд.
硬件	хардуер	Този компютър има добър хардуер.
拥抱	прегръщам	Детето изтича и прегърна мама.
拥挤	претъпкан	Метрото е много претъпкано в сутрешния пик.
勇气	смелост	Той има смелостта да признае грешката си.
用功	уча усърдно	Тя учи много усърдно.
用途	употреба; приложение	Този материал има широка употреба.
优惠	отстъпка; изгоден	Днес в този магазин има отстъпка.
优美	красив; изящен	Околната среда тук е много красива.
优势	предимство	Предимството му е богатият опит.
悠久	дълъг; древен	Китай има дълга история.
油炸	пържа в мазнина	Рядко ям пържени храни.
游览	разглеждам забележителности	Утре ще разгледаме Забранения град.
犹豫	колебая се	Той се поколеба известно време, преди да отговори.
有利	благоприятен; изгоден	Това условие е благоприятно за нас.
幼儿园	детска градина	Детето ще тръгне на детска градина догодина.
娱乐	развлечение	Гледането на филми е вид развлечение.
与其	вместо да	Вместо да се оплакваш, по-добре действай.
语气	тон	Тонът му на говорене е много мек.
玉米	царевица	За вечеря има царевична супа.
预报	прогноза	Прогнозата за времето казва, че утре ще вали.
预订	резервирам	Вече резервирах хотела.
预防	предотвратявам; предпазвам	Честото миене на ръце може да предотврати настинка.
元旦	Нова година	На Нова година имаме един почивен ден.
原料	суровина	Основната суровина за хляба е брашното.
原则	принцип	Човек трябва да има принципи.
员工	служител	Компанията има триста служители.
圆	кръгъл	Луната е голяма и кръгла.
愿望	желание	Желанието му е да обиколи света.
乐器	музикален инструмент	Тя може да свири на няколко музикални инструмента.
晕	замаян	Когато пътувам с лодка, ми се завива свят.
运气	късмет	Днес късметът ми е добър.
运输	транспорт; превоз	Тези стоки трябва да се превозят с железопътен транспорт.
运用	използвам; прилагам	Моля, използвайте тези думи гъвкаво.
灾害	бедствие	Наводнението е вид природно бедствие.
再三	многократно	Учителят многократно ни напомни да преговаряме.
在乎	интересувам се; държа на	Той много държи на мнението на приятелите си.
在于	състои се в	Успехът се състои в постоянството.
赞成	съгласен съм; одобрявам	Съгласен съм с твоето предложение.
赞美	хваля	Всички похвалиха смелостта й.
糟糕	ужасен; лош	Времето днес е наистина ужасно.
造成	причинявам	Силният дъжд причини задръстване.
则	тогава; в такъв случай	Ако човек се старае, ще има напредък.
责备	обвинявам; укорявам	Учителят не го укори.
摘	късам; бера	Тя откъсна цвете в градината.
窄	тесен	Този път е твърде тесен.
粘贴	залепям	Моля, залепете снимката тук.
展开	разгръщам; започвам	Обсъждането бързо започна.
展览	изложба; излагам	В музея има нова изложба.
占	заемам	Тази маса заема място.
战争	война	Войната носи страдание на хората.
掌握	овладявам	Той вече е овладял основната граматика.
涨	поскъпвам; покачвам се	Напоследък наемът отново се покачи.
长辈	по-възрастни роднини	По Нова година трябва да поздравяваме по-възрастните роднини.
账户	сметка; акаунт	Моля, проверете банковата си сметка.
招待	посрещам; угощавам	Домакинът топло посрещна гостите.
着火	запалвам се	Кухнята внезапно се запали.
着凉	настивам	Студено е, не настивай.
召开	свиквам; провеждам	Училището ще проведе среща утре.
照常	както обикновено	Магазинът утре ще работи както обикновено.
哲学	философия	В университета той е учил философия.
珍惜	ценя	Трябва да ценим времето.
真实	истински	Тази история е истинска.
针对	насочен към	Това предложение е насочено към новите ученици.
诊断	диагноза; диагностицирам	Лекарят бързо постави диагноза.
振动	вибрация; вибрирам	Телефонът вибрира на масата.
阵	кратък период; вълна	Навън преваля кратък дъжд.
争论	споря; спор	Те спориха дълго по този въпрос.
争取	стремя се към; боря се за	Трябва да се стремим към повече възможности.
征求	искам мнение	Учителят поиска мнението на всички.
挣	изкарвам; освобождавам се с усилие	Птичката се освободи от въжето.
睁	отварям очи	Моля, отвори очите си малко по-широко.
整个	цял	Целият град е много тих.
整齐	подреден	Книгите са подредени много добре.
整体	цялост; общ	Трябва да обмислим общия ефект.
政府	правителство	Правителството публикува ново съобщение.
政治	политика	Той много се интересува от политика.
正	правилен; точно	Този отговор е правилен.
证件	документ за самоличност	Моля, покажете документа си за самоличност.
证据	доказателство	Полицията намери ново доказателство.
支	брояч за дълги тънки предмети	На масата има една писалка.
支票	чек	Той плати с чек.
执照	разрешително; лиценз	За шофиране е нужна шофьорска книжка.
直	направо; прав	По този път вървете направо.
指导	насочвам; ръководя	Учителят ни насочваше при писането на работата.
指挥	командвам; ръководя	Той отговаря за ръководенето на тази операция.
制定	изготвям; формулирам	Компанията изготви нов план.
制度	система; правила	Училището има строга система.
制造	произвеждам	Тази фабрика произвежда машини.
制作	правя; изработвам	Тя прави торта за рожден ден.
志愿者	доброволец	Много доброволци участваха в събитието.
智慧	мъдрост	Този възрастен човек има голяма мъдрост.
治疗	лечение; лекувам	Лекарят лекува пациента.
秩序	ред	Моля, всички да спазват ред.
至今	до днес	Този проблем до днес не е решен.
至于	що се отнася до	Що се отнася до разходите, ще говорим утре.
中介	посредник; агенция	Той нае жилище чрез агенция.
中心	център	Болницата е в центъра на града.
中旬	средата на месеца	Срещата е насрочена за средата на май.
种类	вид	Тук има много видове плодове.
重大	значим; важен	Това е важно решение.
重量	тегло	Какво е теглото на тази кутия?
周到	внимателен; грижовен	Обслужването му е много внимателно.
猪	прасе	Във фермата се отглеждат много прасета.
竹子	бамбук	Пандите обичат да ядат бамбук.
逐步	постепенно; стъпка по стъпка	Планът ще се изпълнява стъпка по стъпка.
逐渐	постепенно	Времето постепенно застудя.
主持	водя; председателствам	Тя води днешната среща.
主动	инициативен; по своя инициатива	Той по своя инициатива помогна на съученика си.
主观	субективен	Тази оценка е малко субективна.
主人	домакин; собственик	Домакинът ни посрещна топло.
主任	директор; ръководител	Ръководителят е в офиса.
主题	тема	Темата на днешното обсъждане е опазването на околната среда.
主席	председател	Председателят обяви началото на срещата.
主张	отстоявам; възглед	Той отстоява първо да се реши проблемът с транспорта.
煮	варя; готвя	Мама вари юфка.
注册	регистрирам се	Новите потребители първо трябва да се регистрират.
祝福	благословия; пожелание	Приятелите изпратиха пожеланията си.
抓	хващам	Детето хвана ръката на мама.
抓紧	използвам добре; стягам	Трябва добре да използваме времето.
专家	експерт	Експертът даде предложения.
专心	съсредоточен	В час трябва да слушаш съсредоточено.
转变	промяна; променям се	Отношението му се промени.
转告	предавам съобщение	Моля, предай му, че утре има среща.
装	слагам; преструвам се	Моля, сложете книгите в чантата.
装饰	украсявам; украса	Те украсиха стаята с цветя.
装修	ремонтирам; обновявам	Новата къща се ремонтира.
撞	удрям; сблъсквам се	Две коли се сблъскаха на кръстовището.
状况	състояние; ситуация	Сегашното състояние е сравнително стабилно.
状态	състояние	Днес той е в добро състояние.
追	гоня	Детето гони кученцето отзад.
追求	преследвам; стремя се към	Той винаги преследва мечтата си.
咨询	консултирам се	Можеш да се консултираш със специалист лекар.
姿势	поза	Моля, поддържайте правилна поза.
资格	квалификация; право	Той има право да участва в състезанието.
资金	средства; капитал	Проектът се нуждае от повече средства.
资料	материали; данни	Моля, изпратете ми материалите.
资源	ресурси	Водата е важен природен ресурс.
紫	лилав	Тя харесва лилавия цвят.
字母	буква	Английският има двадесет и шест букви.
字幕	субтитри	Този филм има китайски субтитри.
自从	откакто	Откакто завърши, той рядко се връща.
自动	автоматичен	Тази врата се отваря автоматично.
自豪	гордост; гордея се	Гордея се със своя напредък.
自觉	съзнателен; самостоятелно	Той самостоятелно завърши домашното.
自私	егоистичен	Човек не бива да бъде твърде егоистичен.
自由	свобода; свободен	Всеки цени свободата.
自愿	доброволен	Те доброволно участваха в събитието.
综合	обобщавам; интегрирам	Трябва цялостно да обмислим различните фактори.
总裁	главен изпълнителен директор	Главният изпълнителен директор днес произнесе реч.
总共	общо	Това пътуване струва общо три хиляди юана.
总理	министър-председател	Министър-председателят присъства на срещата.
总算	най-накрая	Проблемът най-накрая беше решен.
总统	президент	Президентът произнесе телевизионно обръщение.
总之	накратко	Накратко, трябва да завършим навреме.
组	група; образувам	Учителят ни раздели на три групи.
组成	съставям	Водата се състои от водород и кислород.
组合	комбинация	Тази цветова комбинация изглежда добре.
组织	организирам; организация	Училището организира пътуване.
阻止	предотвратявам; спирам	Полицията спря опасното поведение.
最初	в началото	В началото не разбирах много добре.
醉	пиян	Той пи твърде много и е малко пиян.
尊敬	уважавам	Всички ученици много уважават учителя.
遵守	спазвам	Трябва да спазваме правилата за движение.
作品	произведение	Тази картина е негово произведение.
作为	като; в качеството на	Като учител той е много търпелив.
作文	съчинение	Учителят ни накара да напишем съчинение.
