simplified	SI	example_SI
立即	වහාම	කරුණාකර වහාම මෙතැනින් පිටවන්න.
立刻	ඉක්මනින්ම	පුවත ඇසූ පසු ඔහු ඉක්මනින්ම පිටත් විය.
联合	එක්වීම	සමාගම් දෙක එක්ව නිෂ්පාදනයක් සංවර්ධනය කළහ.
连忙	ඉක්මනින්ම	දුරකථන හඬ ඇසුණු විට ඔහු ඉක්මනින්ම එය අරගත්තේය.
连续	අඛණ්ඩව	ඔහු අඛණ්ඩව පැය දහයක් වැඩ කළේය.
恋爱	ප්‍රේම සම්බන්ධතාවය	ඔවුන් ප්‍රේම සම්බන්ධතාවයක සිටිති.
粮食	ධාන්‍ය	මේ වසරේ ධාන්‍ය නිෂ්පාදනය වැඩි විය.
良好	හොඳ	ඔහුට හොඳ ඉගෙනීමේ පුරුදු ඇත.
亮	දීප්තිමත්	කාමරයේ ලාම්පුව ඉතා දීප්තිමත්ය.
了不起	විශිෂ්ට	ඇය විශිෂ්ට ප්‍රතිඵල ලබා ගත්තාය.
列车	දුම්රිය	දුම්රිය දැන්මම පිටත් වීමට නියමිතය.
临时	තාවකාලික	මෙය තාවකාලික තීරණයකි.
灵活	නම්‍යශීලී	ඉගෙනීමේ ක්‍රම නම්‍යශීලී විය යුතුය.
铃	සීනුව	පන්ති සීනුව නාද විය.
零件	අමතර කොටස	යන්ත්‍රයට අමතර කොටසක් අඩුය.
零食	කෙටි කෑම	ළමයින් කෙටි කෑම කෑමට කැමතියි.
领导	නායකයා	නායකයා රැස්වීමක සිටී.
领域	ක්ෂේත්‍රය	ඇය අධ්‍යාපන ක්ෂේත්‍රයේ වැඩ කරයි.
流传	පරම්පරාවෙන් පැවතීම	මෙම කතාව බොහෝ කාලයක් පරම්පරාවෙන් පැවතී ඇත.
流泪	කඳුළු වැගිරීම	මෙම පුවත අසා ඇය කඳුළු වැගිරුවාය.
浏览	ඉක්මනින් පිරික්සීම	මම පළමුව වෙබ් පිටුව ඉක්මනින් පිරික්සමි.
龙	මකරා	චීන සංස්කෘතියේ මකරුන් ඇත.
漏	කාන්දු වීම	වහලයෙන් වැසි ජලය කාන්දු වේ.
录取	ඇතුළත් කර ගැනීම	ඔහු විශ්වවිද්‍යාලයට ඇතුළත් කර ගන්නා ලදී.
录音	ශබ්ද පටිගත කිරීම	කරුණාකර ශබ්ද පටිගත කිරීම ආරම්භ කරන්න.
陆地	ගොඩබිම	මුහුදු කැස්බෑවා ගොඩබිමට නැගුණි.
陆续	එකින් එක	අමුත්තෝ එකින් එක පැමිණියහ.
轮流	මාරුවෙන් මාරුවට	අපි මාරුවෙන් මාරුවට පන්ති කාමරය පිරිසිදු කරමු.
论文	නිබන්ධනය	ඇය උපාධි නිබන්ධනය ලියමින් සිටී.
逻辑	තර්කය	ඔහුගේ තර්කය ඉතා පැහැදිලිය.
落后	පසුබැසීම	අපි අනෙක් අයට වඩා පසුබැසිය නොයුතුය.
骂	බැනීම	කරුණාකර දරුවාට බනින්න එපා.
麦克风	මයික්‍රෆෝනය	කරුණාකර මයික්‍රෆෝනය ඔහුට දෙන්න.
馒头	වාෂ්ප බනිස්	උදේ ආහාරයට මම වාෂ්ප බනිස් එකක් කෑවෙමි.
满足	සපුරාලීම	මෙම පිළිතුර අවශ්‍යතා සපුරාලන්නේ නැත.
毛病	දෝෂය	මෙම පරිගණකයේ පොඩි දෝෂයක් ඇත.
矛盾	ගැටුම	ඔවුන් අතර ගැටුම් කිහිපයක් ඇත.
冒险	අවදානම් ගැනීම	තනිව එහි යාම ඉතා අවදානම්ය.
贸易	වෙළඳාම	ජාත්‍යන්තර වෙළඳාම ඉක්මනින් වර්ධනය වේ.
媒体	මාධ්‍ය	මාධ්‍ය මෙම කාරණය වාර්තා කළේය.
煤炭	ගල් අඟුරු	මෙම ප්‍රදේශය ගල් අඟුරු නිෂ්පාදනය කරයි.
眉毛	ඇහි බැම	ඇගේ ඇහි බැම ඉතා ඝනය.
美术	චිත්‍රකලා	මගේ නංගි චිත්‍රකලාවට කැමතියි.
魅力	ආකර්ෂණය	මෙම නගරයට විශාල ආකර්ෂණයක් ඇත.
梦想	සිහිනය	ඔහුගේ සිහිනය වෛද්‍යවරයෙකු වීමයි.
密切	සමීප	අපි සමීප සම්බන්ධතාවක් පවත්වා ගනිමු.
秘密	රහස	මෙය අපගේ රහසයි.
秘书	ලේකම්	ලේකම් රැස්වීමේ වේලාව සකස් කළේය.
蜜蜂	මී මැස්සා	මල් අතර මී මැස්සන් බොහෝ ඇත.
面对	මුහුණ දීම	අපි දුෂ්කරතාවලට ධෛර්යයෙන් මුහුණ දිය යුතුය.
面积	වර්ග ප්‍රමාණය	මෙම කාමරයේ වර්ග ප්‍රමාණය විශාල නැත.
面临	මුහුණ පා සිටීම	සමාගම නව අභියෝගවලට මුහුණ පා සිටී.
描写	විස්තර කිරීම	කතුවරයා ගම්මාන ජීවිතය විස්තර කළේය.
苗条	සිහින්	ඇගේ ශරීරය ඉතා සිහින්ය.
敏感	සංවේදී	මෙම මාතෘකාව තරමක් සංවේදීය.
名牌	ප්‍රසිද්ධ වෙළඳ නාමය	ඔහු ප්‍රසිද්ධ වෙළඳ නාමයක ඔරලෝසුවක් මිලදී ගත්තේය.
名片	ව්‍යාපාරික කාඩ්පත	කරුණාකර මට ව්‍යාපාරික කාඩ්පතක් දෙන්න.
名胜古迹	ඓතිහාසික හා දර්ශනීය ස්ථාන	බෙයිජිංහි ඓතිහාසික හා දර්ශනීය ස්ථාන බොහෝ ඇත.
明确	පැහැදිලි	ගුරුවරයා අවශ්‍යතා පැහැදිලිව විස්තර කළේය.
明显	පැහැදිලි	ඔහුගේ ප්‍රගතිය ඉතා පැහැදිලිය.
明星	තරුව	ඇයට චිත්‍රපට තරුවක් වීමට අවශ්‍යය.
命令	නියෝගය	සෙබළුන් නියෝග පිළිපැදිය යුතුය.
命运	දෛවය	දෛවය වෙනස් කළ හැකි බව ඔහු විශ්වාස කරයි.
摸	ස්පර්ශ කිරීම	කරුණාකර මෙම චිත්‍රය ස්පර්ශ කරන්න එපා.
摩托车	යතුරුපැදිය	ඔහු යතුරුපැදියෙන් වැඩට යයි.
模仿	අනුකරණය කිරීම	ළමයින් වැඩිහිටියන්ගේ කතා අනුකරණය කිරීමට කැමතියි.
模糊	අපැහැදිලි	මෙම ඡායාරූපය ටිකක් අපැහැදිලිය.
模特	නිරූපිකාව	ඇය ඇඳුම් නිරූපිකාවකි.
陌生	නුහුරු	මෙම නගරය මට ඉතා නුහුරුය.
某	යම්	යම් ගුරුවරයෙක් මට දුරකථනයෙන් කතා කළේය.
木头	ලී	මෙම මේසය ලී වලින් සාදා ඇත.
目标	ඉලක්කය	මගේ ඉලක්කය විභාගය සමත් වීමයි.
目录	පටුන	කරුණාකර පළමුව පොතේ මුල ඇති පටුන බලන්න.
目前	දැනට	දැනට තත්ත්වය තරමක් ස්ථාවරය.
哪怕	වුවත්	ඉතා කාර්යබහුල වුවත් ඔහු ඉගෙනීම අත්නොහරී.
难怪	ඒකයි	ඒකයි ඔබ අද මෙතරම් සතුටින් ඉන්නේ.
难免	වැළැක්වීමට අමාරු	පළමු වරට කරන විට වැරදි වීම වැළැක්වීමට අමාරුය.
脑袋	හිස	ඔහුගේ හිස ටිකක් රිදෙනවා.
内部	අභ්‍යන්තර	මෙය සමාගමේ අභ්‍යන්තර තොරතුරුය.
内科	අභ්‍යන්තර වෛද්‍ය අංශය	ඔහු අද අභ්‍යන්තර වෛද්‍ය අංශයට යයි.
嫩	මෘදු	මෙම මස් කැබැල්ල ඉතා මෘදුය.
能干	දක්ෂ	ඇය ඉතා දක්ෂ පුද්ගලයෙකි.
能源	ශක්ති ප්‍රභවය	සූර්ය ශක්තිය පිරිසිදු ශක්ති ප්‍රභවයකි.
嗯	ම්ම්	ම්ම්, මට තේරුණා.
年代	දශකය	මෙම ඡායාරූපය අසූව දශකයේ ගන්නා ලද්දකි.
年纪	වයස	ඔහුගේ වයස වැඩි නැත, නමුත් අත්දැකීම් බොහෝ ඇත.
念	හඬින් කියවීම	කරුණාකර පාඩම එක් වතාවක් හඬින් කියවන්න.
宁可	වඩා කැමති	මට බස් රථය බලා සිටීමට වඩා ඇවිදීමට කැමතිය.
牛仔裤	ජීන්ස් කලිසම	ඔහු ජීන්ස් කලිසමක් ඇඳ සිටී.
农村	ගම්බද ප්‍රදේශය	ඇය ගම්බද ප්‍රදේශයක වැඩුණාය.
农民	ගොවියා	ගොවියෝ කුඹුරේ වැඩ කරමින් සිටිති.
农业	කෘෂිකර්මය	කෘෂිකර්මය මෙම ප්‍රදේශයට ඉතා වැදගත්ය.
浓	තද	මෙම කෝපි කෝප්පය ඉතා තදය.
女士	කාන්තාව	එම කාන්තාව බස් රථය බලා සිටී.
欧洲	යුරෝපය	ඔහු ලබන මාසයේ යුරෝපයට සංචාරය කරයි.
偶然	අහම්බෙන්	මට අහම්බෙන් පැරණි පන්තියේ මිතුරෙකු හමු විය.
拍	ඡායාරූප ගැනීම	කරුණාකර මට ඡායාරූපයක් ගන්න උදව් කරන්න.
派	යැවීම	සමාගම ඔහුව ෂැංහයි වෙත ව්‍යාපාරික ගමනකට යැව්වේය.
盼望	බලාපොරොත්තු වීම	මම ඔබව ඉක්මනින් දැකීමට බලාපොරොත්තු වෙමි.
培训	පුහුණුව	නව සේවකයන් පුහුණුවට සහභාගී විය යුතුය.
培养	වර්ධනය කිරීම	පාසල සිසුන්ගේ හැකියාවන් වර්ධනය කිරීම වැදගත් ලෙස සලකයි.
赔偿	වන්දි ගෙවීම	සමාගම අලාභයට වන්දි ගෙවීමට එකඟ විය.
佩服	ගෞරවයෙන් අගය කිරීම	මම ඔහුගේ ධෛර්යය ගෞරවයෙන් අගය කරමි.
配合	සහයෝගය දීම	කරුණාකර ගුරුවරයාගේ සැලසුම්වලට සහයෝගය දෙන්න.
盆	මල් පෝච්චිය	බැල්කනියේ මල් පෝච්චියක් ඇත.
碰	ස්පර්ශ කිරීම	පරෙස්සම් වන්න, උණු වතුර ස්පර්ශ කරන්න එපා.
批	තොගය	මේ තොගය අද පැමිණියේය.
批准	අනුමත කිරීම	කළමනාකරු මේ සැලැස්ම අනුමත කළේය.
披	ඇඟට දමා ගැනීම	ඇය කබායක් ඇඟට දමාගෙන සිටී.
疲劳	තෙහෙට්ටුව	දිගු වේලාවක් වැඩ කළ විට තෙහෙට්ටුව දැනේ.
匹	සතුන් ගණන් කරන පදය	තණ බිමේ අශ්වයෙක් සිටී.
片	පෙත්ත	කරුණාකර මට පාන් පෙත්තක් දෙන්න.
片面	එක පැත්තක් පමණක් දකින	මේ අදහස ඉතා එක පැත්තක් පමණක් දකින එකකි.
飘	පාවීම	හිම කැට වාතයේ පාවෙමින් තිබේ.
拼音	පින්යින්	කරුණාකර චීන අකුරුවල අසල පින්යින් ලියන්න.
频道	නාලිකාව	කරුණාකර පුවත් නාලිකාවට මාරු කරන්න.
凭	පදනම් කරගෙන	ටිකට්පත පදනම් කරගෙන ඇතුළු විය හැක.
平均	සාමාන්‍යයෙන්	සාමාන්‍යයෙන් එක් පුද්ගලයෙකුට යුවාන් දහයක් වැය විය.
平	සමතලා	මේ පාර ඉතා සමතලාය.
平安	ආරක්ෂිතව	ඔබට ආරක්ෂිත ගමනක් වේවා.
平常	සාමාන්‍යයෙන්	ඔහු සාමාන්‍යයෙන් ප්‍රමාද වන්නේ ඉතා කලාතුරකිනි.
平等	සමානතාව	සෑම කෙනෙකුටම සමාන ලෙස සලකිය යුතුය.
平方	වර්ග මිනුම	මේ කාමරය වර්ග මීටර විස්සකි.
平衡	සමතුලිතතාව	වැඩ සහ ජීවිතය අතර සමතුලිතතාව අවශ්‍යය.
平静	නිශ්ශබ්ද හා සන්සුන්	වැවේ මතුපිට ඉතා සන්සුන්ය.
评价	ඇගයීම	ගුරුවරයා ඉතා උසස් ඇගයීමක් දුන්නේය.
破产	බංකොලොත් වීම	ඒ සමාගම පසුගිය වසරේ බංකොලොත් විය.
破坏	හානි කිරීම	කරුණාකර පොදු දේපළවලට හානි කරන්න එපා.
迫切	අතිශයින් හදිසි	අපට තවත් වෛද්‍යවරුන් අතිශයින් හදිසියෙන් අවශ්‍යය.
期待	බලා සිටීම	මම මේ සංචාරය ගැන මහත් ආශාවෙන් බලා සිටිමි.
期间	කාලය තුළ	රැස්වීම අතරතුර කරුණාකර දුරකථනය වසා දමන්න.
其余	ඉතිරි	ඉතිරි ප්‍රශ්න හෙට සාකච්ඡා කරමු.
奇迹	අරුම පුදුම දෙය	වෛද්‍යවරයා කීවේ මෙය අරුම පුදුම දෙයක් බවයි.
企业	ව්‍යාපාර ආයතනය	මේ ව්‍යාපාර ආයතනය ඉතා වේගයෙන් දියුණු වේ.
启发	ආභාසය දීම	මේ පොත මට බොහෝ ආභාසය දුන්නේය.
气氛	වාතාවරණය	පන්ති කාමරයේ වාතාවරණය ඉතා සැහැල්ලුය.
汽油	පෙට්‍රල්	මෝටර් රථයට පෙට්‍රල් පිරවිය යුතුය.
签	අත්සන් කිරීම	කරුණාකර මෙහි ඔබේ නම අත්සන් කරන්න.
谦虚	නිහතමානී	ඔහු ඉතා දක්ෂය, ඒත් ඉතා නිහතමානීය.
前途	අනාගත අපේක්ෂාව	මේ විෂයට හොඳ අනාගත අපේක්ෂාවක් තිබේ.
浅	නොගැඹුරු	මේ ගඟ ඉතා නොගැඹුරුය.
欠	ණය වීම	ඔහු තවමත් මට යුවාන් විස්සක් ණයයි.
枪	තුවක්කුව	පොලිස් නිලධාරියා අතේ තුවක්කුවක් තිබේ.
墙	බිත්තිය	බිත්තියේ චිත්‍රයක් එල්ලා ඇත.
强调	අවධාරණය කිරීම	ගුරුවරයා ආරක්ෂාව පිළිබඳ ප්‍රශ්නය අවධාරණය කළේය.
强烈	ශක්තිමත් හා දැඩි	ඔහුට දැඩි වගකීම් හැඟීමක් තිබේ.
抢	උදුරා ගැනීමට පොර වීම	අන් අය සමඟ ආසන සඳහා පොර වෙන්න එපා.
悄悄	නිහඬව	ඇය නිහඬව කාමරයට ඇතුළු වූවාය.
瞧	බලන්න	බලන්න, පිටත හිම වැටෙයි.
巧妙	චතුර	මේ ක්‍රමය ඉතා චතුරය.
切	කැපීම	කරුණාකර පලතුරු කුඩා කෑලිවලට කපන්න.
亲爱	ආදරණීය	ආදරණීය මිතුරාණෙනි, ඔබට ස්තුතියි.
亲切	කරුණාවන්ත	ගුරුවරයා ඉතා කරුණාවන්ත ලෙස කතා කරයි.
亲自	තමාම	කළමනාකරු තමාම අමුත්තන් පිළිගත්තේය.
勤奋	කඩිසර	කඩිසර මිනිසුන්ට සාර්ථක වීම පහසුය.
清淡	සැහැල්ලු රසැති	මම සැහැල්ලු රසැති කෑම කන්න කැමතියි.
轻视	අවතක්සේරු කිරීම	මේ කුඩා ප්‍රශ්නය අවතක්සේරු කරන්න එපා.
轻易	ලේසියෙන්	ඔහු ලේසියෙන් අතහරින්නේ නැත.
青	නිල් කොළ	මේ ඇඳුම නිල් කොළ පැහැයයි.
青春	යෞවනය	යෞවනය වටිනාය.
青少年	තරුණ වයසේ දරුවන්	තරුණ වයසේ දරුවන්ට ප්‍රමාණවත් නින්ද අවශ්‍යය.
情景	දර්ශනය	චිත්‍රපටයේ දර්ශනය ඉතා සංවේදීය.
情绪	හැඟීම් තත්ත්වය	ඔහුගේ හැඟීම් තත්ත්වය ඉතා ස්ථිර නැත.
请求	ඉල්ලීම	ඔහු ඉල්ලීමක් ඉදිරිපත් කළේය.
庆祝	සමරීම	අපි ඔහුගේ උපන් දිනය සැමරුවෙමු.
球迷	ක්‍රීඩා රසිකයා	බොහෝ ක්‍රීඩා රසිකයෝ තරගය බලන්න පැමිණියහ.
趋势	ප්‍රවණතාව	මේ ප්‍රවණතාව තව තවත් පැහැදිලි වෙමින් පවතී.
取消	අවලංගු කිරීම	වැසි නිසා ක්‍රියාකාරකම අවලංගු විය.
娶	කාන්තාවක් විවාහ කර ගැනීම	ඔහු ලබන වසරේ ඇයව විවාහ කර ගැනීමට අදහස් කරයි.
去世	අභාවප්‍රාප්ත වීම	ඔහුගේ සීයා පසුගිය වසරේ අභාවප්‍රාප්ත විය.
圈	රවුම	කරුණාකර නිවැරදි පිළිතුර වටා රවුමක් අඳින්න.
全面	සම්පූර්ණ	අපට තත්ත්වය සම්පූර්ණයෙන් අවබෝධ කරගත යුතුය.
权利	අයිතිය	සෑම කෙනෙකුටම අධ්‍යාපනය ලැබීමේ අයිතිය ඇත.
权力	බලය	බලය අධීක්ෂණයට ලක් විය යුතුය.
劝	උපදෙස් දීම	මිතුරා මට ඉක්මනින් විවේක ගන්නා ලෙස උපදෙස් දුන්නේය.
缺乏	හිඟ වීම	මේ ප්‍රදේශයට පිරිසිදු ජලය හිඟය.
确定	නිශ්චය කිරීම	මට තවමත් වේලාව නිශ්චය කළ නොහැක.
确认	තහවුරු කිරීම	කරුණාකර ඔබේ ලිපිනය තහවුරු කරන්න.
群	කණ්ඩායම	ළමයින් කණ්ඩායමක් ක්‍රීඩාංගණයේ සෙල්ලම් කරමින් සිටිති.
燃烧	දැවීම	ලී කැබලි දැවෙමින් තිබේ.
绕	වටා යාම	අපි වැව වටා එක් වටයක් ඇවිද්දෙමු.
热爱	අතිශයින් ආදරය කිරීම	ඔහු තම රැකියාවට අතිශයින් ආදරය කරයි.
热烈	උණුසුම්	හැමෝම අමුත්තන් උණුසුම් ලෙස පිළිගත්හ.
热心	උනන්දුවෙන් උදව් කරන	අසල්වැසියෝ සියල්ලෝම උනන්දුවෙන් උදව් කරන අය වෙති.
人才	දක්ෂ පුද්ගලයා	සමාගමට තවත් දක්ෂ පුද්ගලයන් අවශ්‍යය.
人口	ජනගහනය	මේ නගරයේ ජනගහනය විශාලය.
人类	මනුෂ්‍ය වර්ගය	මනුෂ්‍ය වර්ගයට පෘථිවිය ආරක්ෂා කළ යුතුය.
人民币	චීන යුවාන්	මම චීන යුවාන් කිහිපයක් මාරු කරගත්තෙමි.
人生	ජීවිතය	ජීවිතයේ බොහෝ තේරීම් ඇත.
人事	මානව සම්පත්	ඇය මානව සම්පත් අංශයේ වැඩ කරයි.
人物	චරිතය	නවකතාවේ චරිත ඉතා සැබෑ ලෙස දැනේ.
人员	කාර්ය මණ්ඩලය	කාර්ය මණ්ඩලය සියල්ලෝම පැමිණ සිටිති.
忍不住	තමන්ව නවතාගත නොහැකි වීම	විහිළුව අසා ඔහුට සිනහව නවතාගත නොහැකි විය.
日常	දෛනික	මෙය මගේ දෛනික වැඩයයි.
日程	කාලසටහන	අද කාලසටහන ඉතා පිරී ඇත.
日历	දිනදර්ශනය	බිත්තියේ දිනදර්ශනයක් එල්ලා ඇත.
日期	දිනය	කරුණාකර දිනය පැහැදිලිව ලියන්න.
日用品	දෛනික අවශ්‍ය භාණ්ඩ	සුපිරි වෙළඳසැලේ දෛනික අවශ්‍ය භාණ්ඩ බොහෝ විකුණයි.
日子	දින	මේ දිනවල ඔහු ඉතා කාර්යබහුලය.
如何	කෙසේද	අපි මේ ප්‍රශ්නය කෙසේ විසඳිය යුතුද?
如今	වර්තමානයේ	වර්තමානයේ ප්‍රවාහනය බොහෝ පහසු වී ඇත.
软	මෘදු	මේ ඇඳ ඉතා මෘදුය.
软件	මෘදුකාංගය	මේ මෘදුකාංගය භාවිතයට ඉතා පහසුය.
弱	දුර්වල	ඔහුගේ ශරීරය සාපේක්ෂව දුර්වලය.
洒	හැලීම	ඔහු අත්වැරදීමෙන් වතුර හැලුවේය.
嗓子	උගුර	මගේ උගුර ටිකක් රිදේ.
色彩	වර්ණ	මේ චිත්‍රයේ වර්ණ ඉතා පොහොසත්ය.
杀	මරා දැමීම	මේ චිත්‍රපටයේ මිනීමැරුම් දර්ශන නැත.
沙漠	කාන්තාරය	කාන්තාරයේ ජලය ඉතා වටිනාය.
沙滩	වැලි වෙරළ	ළමයින් වැලි වෙරළේ සෙල්ලම් කරමින් සිටිති.
傻	මෝඩ	මෝඩ වැඩ කරන්න එපා.
晒	හිරු එළියේ වියළීම	ඇඳුම් බැල්කනියේ හිරු එළියේ වියළෙමින් තිබේ.
删除	මකා දැමීම	කරුණාකර මේ විද්‍යුත් ලිපිය මකා දමන්න.
闪电	විදුලි කෙටීම	රාත්‍රියේ විදුලි කෙටීමක් පෙනුණි.
善良	කරුණාවන්ත	ඇය කරුණාවන්ත පුද්ගලයෙකි.
善于	දක්ෂ වීම	ඔහු ප්‍රශ්න විසඳීමට දක්ෂය.
扇子	අතින් හමන පංකාව	ගිම්හානයේදී මම නිතර අතින් හමන පංකාවක් භාවිතා කරමි.
伤害	රිදවීම	අන් අයගේ හැඟීම් රිදවන්න එපා.
商品	භාණ්ඩ	මේ වෙළඳසැලේ භාණ්ඩ බොහෝය.
商务	ව්‍යාපාර කටයුතු	ඔහු හෙට ව්‍යාපාර රැස්වීමකට සහභාගී වේ.
商业	වාණිජ කටයුතු	මේ ප්‍රදේශයේ වාණිජ කටයුතු ඉතා දියුණුය.
上当	රැවටීම	ඔහු තව ටිකෙන් රැවටීමට ලක් විය.
蛇	සර්පයා	තණකොළ අතර සර්පයෙක් සිටී.
舍不得	අත්හැරීමට අකමැති වීම	මට මෙතැනින් යාම අත්හැරීමට අකමැතිය.
射击	වෙඩි තැබීම	ඔහු වෙඩි තැබීම පුහුණු වෙමින් සිටී.
摄影	ඡායාරූපකරණය	ඇයට ඡායාරූපකරණය ගැන මහත් උනන්දුවක් ඇත.
设备	උපකරණ	විද්‍යාගාරයේ උපකරණ ඉතා නවීනයි.
设计	සැලසුම	මේ සැලසුම ඉතා නිර්මාණශීලීය.
设施	පහසුකම්	පාසලේ ක්‍රීඩා පහසුකම් හොඳය.
伸	දිගු කිරීම	කරුණාකර අත පිටතට දිගු කරන්න.
深刻	ගැඹුරු	මේ අත්දැකීම මට ගැඹුරු මතකයක් ඉතිරි කළේය.
身材	ශරීර හැඩය	ඇයට සෞඛ්‍යවත් ශරීර හැඩයක් ඇත.
身份	අනන්‍යතාව	කරුණාකර අනන්‍යතාව තහවුරු කරන ලියවිල්ල පෙන්වන්න.
神话	පුරාවෘත්තය	ළමයින් පුරාවෘත්ත කතා ඇසීමට කැමතියි.
神秘	අභිරහස්	මේ පැරණි නගරය ඉතා අභිරහස්ය.
升	ඉහළ යාම	තෙල් මිල ලීටරයකට ටිකක් ඉහළ ගියේය.
声调	ස්වරය	චීන භාෂාවට මූලික ස්වර හතරක් ඇත.
生产	නිෂ්පාදනය කිරීම	මේ කර්මාන්ත ශාලාව ජංගම දුරකථන නිෂ්පාදනය කරයි.
生动	සජීවී	ගුරුවරයා ඉතා සජීවී ලෙස පැහැදිලි කරයි.
生长	වර්ධනය වීම	මේ ශාකය ඉතා වේගයෙන් වර්ධනය වේ.
绳子	කඹය	කරුණාකර කඹයකින් පෙට්ටිය හොඳින් බැඳන්න.
省略	මඟ හැරීම	මෙහි එක් අකුරක් මඟ හැරිය හැක.
胜利	ජයග්‍රහණය	ඔවුන් අවසානයේ ජයග්‍රහණය ලබාගත්හ.
失眠	නින්ද නොයාම	ඔහුට මෑතකදී නිතර නින්ද නොයයි.
失去	අහිමි වීම	විශ්වාසය අහිමි කරගන්න එපා.
失业	රැකියාව අහිමි වීම	රැකියාව අහිමි වූ පසු ඔහු නව කුසලතා ඉගෙනීමට පටන් ගත්තේය.
湿润	තෙතමනය සහිත	වැස්සෙන් පසු වාතය තෙතමනය සහිතය.
狮子	සිංහයා	සත්ත්වෝද්‍යානයේ සිංහයන් දෙදෙනෙක් සිටිති.
诗	කවිය	ඔහු කවියක් ලිව්වේය.
实话	ඇත්ත	කරුණාකර ඇත්ත කියන්න.
实践	ප්‍රායෝගික ක්‍රියාව	න්‍යාය ප්‍රායෝගික ක්‍රියාවෙන් පරීක්ෂා කළ යුතුය.
实习	පුහුණු සේවය	ඇය ගිම්හාන නිවාඩුවේ රෝහලක පුහුණු සේවයට යයි.
实现	සාක්ෂාත් කර ගැනීම	ඔහු අවසානයේ තම සිහිනය සාක්ෂාත් කරගත්තේය.
实验	පරීක්ෂණය	සිසුන් පරීක්ෂණයක් කරමින් සිටිති.
实用	ප්‍රායෝගික	මේ මෙවලම ඉතා ප්‍රායෝගිකය.
时差	කාල වෙනස	ඔහු තවමත් කාල වෙනසට හුරු වී නැත.
时代	යුගය	අපි තොරතුරු යුගයේ ජීවත් වෙමු.
时刻	මොහොත	කරුණාකර මේ වැදගත් මොහොත මතක තබාගන්න.
时髦	විලාසිතාකාරී	මේ ඇඳුම ඉතා විලාසිතාකාරීය.
时期	කාල පරිච්ඡේදය	විශ්වවිද්‍යාල කාල පරිච්ඡේදය ඔහුට විශාල බලපෑමක් කළේය.
时尚	විලාසිතාව	ඇයට විලාසිතාව ගැන මහත් උනන්දුවක් ඇත.
石头	ගල	පාර අසල ගලක් තිබේ.
食物	ආහාර	කරුණාකර ආහාර ශීතකරණයට දමන්න.
使劲儿	ශක්තිය යෙදීම	මේ බෝතලය විවෘත කිරීමට ශක්තිය යෙදිය යුතුය.
始终	සැමවිටම	ඔහු සැමවිටම තමන් සාර්ථක විය හැකි බව විශ්වාස කළේය.
事实	කරුණ	කරුණු ඔහු නිවැරදි බව ඔප්පු කරයි.
事物	දේවල්	ළමයින් නව දේවල් ගැන ඉතා කුතුහලයෙන් සිටිති.
事先	කලින්	කරුණාකර වේලාව මට කලින් කියන්න.
似的	වගේ	ඔහු එතරම් වෙහෙසට පත්ව, වචනයක්වත් කියන්නට අකමැති වගේ පෙනුණි.
士兵	සෙබළා	සෙබළුන් පුහුණුව ලබමින් සිටිති.
市场	වෙළඳපොළ	මේ වෙළඳපොළ ඉතා සජීවීය.
试卷	විභාග පත්‍රය	ගුරුවරයා විභාග පත්‍ර පරීක්ෂා කරමින් සිටී.
收获	ලැබූ ප්‍රතිලාභ	මේ සංචාරයෙන් මට බොහෝ ප්‍රතිලාභ ලැබුණි.
收据	රිසිට්පත	ගෙවීමෙන් පසු කරුණාකර රිසිට්පත තබාගන්න.
手工	අතින් කළ	මේ තෑග්ග අතින් කළ එකකි.
手术	ශල්‍යකර්මය	වෛද්‍යවරයා හෙට ඔහුට ශල්‍යකර්මයක් කරයි.
手套	අත්වැසුම්	ශීත ඍතුවේ පිටතට යන විට අත්වැසුම් පැළඳිය යුතුය.
手续	ක්‍රියාපටිපාටි	ක්‍රියාපටිපාටි සම්පූර්ණ කිරීමට හැඳුනුම්පත අවශ්‍යය.
手指	ඇඟිල්ල	ඔහුගේ ඇඟිල්ල තුවාල වී ඇත.
首	ගීත ගණන් කරන පදය	ඇය ගීතයක් ගායනා කළාය.
受伤	තුවාල වීම	ඔහු තරගයේදී තුවාල විය.
寿命	ආයු කාලය	මේ යන්ත්‍ර වර්ගයේ ආයු කාලය දිගුය.
书架	පොත් රාක්කය	පොත් රාක්කය පොත්වලින් පිරී ඇත.
梳子	පනා	ඇය පනාවකින් හිසකෙස් පීරයි.
舒适	සුවපහසු	මේ කාමරය ඉතා සුවපහසුය.
蔬菜	එළවළු	එළවළු වැඩිපුර කෑම ශරීරයට හොඳය.
输入	ඇතුළත් කිරීම	කරුණාකර මුරපදය පරිගණකයට ඇතුළත් කරන්න.
熟练	දක්ෂ ලෙස	ඔහුට පරිගණකය දක්ෂ ලෙස භාවිතා කළ හැක.
属于	අයත් වීම	මේ පොත පුස්තකාලයට අයත්ය.
数	ගණන් කිරීම	කරුණාකර මිනිසුන් කී දෙනෙක් සිටිනවාදැයි ගණන් කරන්න.
鼠标	මවුසය	මගේ පරිගණක මවුසය කැඩී ඇත.
数据	දත්ත	මේ දත්ත ඉතා වැදගත්ය.
数码	ඩිජිටල්	ඔහු ඩිජිටල් කැමරාවක් මිලදී ගත්තේය.
