simplified	LT	example_LT
寄托	sudėti viltis	Ji sudėjo viltis į savo vaiką.
忌讳	tabu	Vietiniai žmonės laiko tai tabu prie vakarienės stalo.
技巧	technika	Įvaldžius techniką galima padidinti efektyvumą.
纪要	posėdžio protokolas	Sekretorė parengė posėdžio protokolą.
继承	paveldėti	Jis paveldėjo tėvo profesiją.
计较	kabinėtis	Nesikabinėkite prie tokios smulkmenos.
记性	atmintis	Jo atmintis labai gera.
记载	įrašas	Istoriniuose įrašuose aprašytas šis karas.
迹象	ženklas	Šiuo metu nėra pagerėjimo ženklų.
佳肴	delikatėsai	Stalas buvo nukrautas gardžiais delikatesais.
加工	apdoroti	Šias žaliavas reikia dar apdoroti.
加剧	sustiprėti	Konfliktas vis stiprėja.
夹杂	susimaišyti	Lietaus garsas susimaišė su perkūnija.
家常	namų virtuvė	Man patinka valgyti namų virtuvės patiekalus.
家伙	tipas	Tas tipas visada vėluoja.
家属	šeimos narys	Gydytojas pranešė paciento šeimos nariams.
家喻户晓	visiems žinomas	Ši istorija visiems žinoma.
坚定	tvirtas	Jos požiūris labai tvirtas.
坚固	tvirtas	Šis tiltas labai tvirtas.
坚韧	atsparus	Jis turi atsparų charakterį.
坚实	tvirtas	Šis tyrimas turi tvirtą pagrindą.
坚硬	kietas	Šis akmuo labai kietas.
尖端	pažangiausias	Įmonė investuoja į pažangiausias technologijas.
尖锐	aštrus	Šis klausimas labai aštrus.
煎	kepti keptuvėje	Virėjas keptuvėje kepa žuvį.
监督	priežiūra	Viešoji priežiūra padeda gerinti darbą.
监视	stebėti	Policija stebi įtariamąjį.
监狱	kalėjimas	Jis atlieka bausmę kalėjime.
艰难	sunkus	Pradinis verslo kūrimo etapas yra labai sunkus.
剪彩	perkirpti juostelę	Meras perkirpo naujos bibliotekos atidarymo juostelę.
拣	atrinkti	Ji iš krepšio atrinko kelis obuolius.
检讨	apsvarstyti klaidas	Jis rimtai apsvarstė savo klaidas.
检验	patikrinti	Eksperimentai gali patikrinti šią hipotezę.
简化	supaprastinti	Prašome dar labiau supaprastinti procesą.
简陋	primityvus	Jie gyveno primityvioje trobelėje.
简体字	supaprastintas kinų rašmuo	Šiame vadovėlyje vartojami supaprastinti kinų rašmenys.
简要	trumpas	Prašome trumpai paaiškinti savo požiūrį.
健全	tobulinti	Įmonei reikia tobulinti valdymo sistemą.
剑	kardas	Ant sienos kabo senovinis kardas.
溅	taškytis	Lietaus vanduo aptaškė jo kelnes.
舰艇	karinis laivas	Pratybose dalyvavo keli kariniai laivai.
见多识广	daug matęs ir išmanantis	Šis senolis yra daug matęs ir išmanantis.
见解	įžvalga	Jis turi savitų įžvalgų šiuo klausimu.
见闻	patirtis	Kelionės praplėtė jo patirtį.
见义勇为	drąsiai pasielgti teisingai	Jis buvo pagirtas už tai, kad drąsiai pasielgė teisingai.
践踏	mindžioti	Nemindžiokite vejos.
鉴别	atskirti	Ekspertai gali atskirti, ar šis paveikslas tikras.
鉴定	identifikuoti	Policija identifikuoja pirštų atspaudus.
鉴于	atsižvelgiant į	Atsižvelgiant į blogą orą, renginys buvo atidėtas.
间谍	šnipas	Šis filmas pasakoja šnipo istoriją.
间隔	tarpas	Tarp dviejų susitikimų yra vienos savaitės tarpas.
间接	netiesioginis	Ši politika turės netiesioginį poveikį.
僵硬	sustingęs	Jo šypsena atrodė sustingusi.
将军	generolas	Generolas davė įsakymą.
将近	beveik	Šis projektas truko beveik dvejus metus.
将就	tenkintis	Sąlygos prastos, todėl galime tik tenkintis tuo, kas yra.
奖励	apdovanoti	Mokykla apdovanojo puikius mokinius.
奖赏	apdovanojimas	Karalius kariui skyrė dosnų apdovanojimą.
桨	irklas	Valtininkas irklu nuirklavo valtį prie kranto.
降临	nusileisti	Naktis pamažu nusileido ant miesto.
交叉	kirstis	Šie du keliai čia kertasi.
交代	paaiškinti	Prašome aiškiai paaiškinti užduotį.
交涉	derėtis	Abi pusės derasi dėl kompensacijos.
交易	sandoris	Šis sandoris jau baigtas.
娇气	lepus	Nebūkite tokie lepūs, oras nėra šaltas.
焦点	dėmesio centras	Užimtumas tapo diskusijos dėmesio centru.
焦急	nerimastingas	Motina nerimastingai laukė vaiko sugrįžtant.
侥幸	per atsitiktinę sėkmę	Jis per atsitiktinę sėkmę išvengė nelaimės.
搅拌	maišyti	Prašome tolygiai išmaišyti tešlą.
缴纳	sumokėti	Gyventojai turi laiku sumokėti vandens mokestį.
角落	kampas	Katė pasislėpė kambario kampe.
教养	išsiauklėjimas	Geras išsiauklėjimas matyti smulkmenose.
较量	varžytis	Dvi stiprios komandos netrukus varžysis.
接连	vienas po kito	Jis gavo tris laiškus vieną po kito.
揭露	atskleisti	Žurnalistas atskleidė maisto saugos problemą.
皆	visi	Šios taisyklės visiems žinomos.
阶层	sluoksnis	Skirtingi socialiniai sluoksniai turi skirtingų poreikių.
截止	baigtis	Registracija baigsis rytoj po pietų.
截至	iki	Iki šiandienos užsiregistravo du šimtai žmonių.
杰出	išskirtinis	Ji yra išskirtinė mokslininkė.
竭尽全力	dėti visas pastangas	Dėsime visas pastangas, kad atliktume užduotį.
结晶	vaisius	Šis pasiekimas yra daugelio metų pastangų vaisius.
结局	pabaiga	Šios istorijos pabaiga buvo netikėta.
结算	atsiskaityti	Klientas paprašė mėnesio pabaigoje atsiskaityti už paslaugas.
节制	saikas	Valgant ir geriant reikia saiko.
节奏	ritmas	Šios dainos ritmas greitas.
解除	panaikinti	Įmonė panaikino saugumo įspėjimą.
解放	išlaisvinti	Reforma išlaisvino gamybines jėgas.
解雇	atleisti	Viršininkas nusprendė atleisti tą darbuotoją.
解剖	anatomija	Medicinos studentai mokosi anatomijos.
解散	išsiskirstyti	Pasibaigus susitikimui, grupė išsiskirstė.
解体	suirti	Tas aljansas galiausiai suiro.
借鉴	pasiremti patirtimi	Galime pasiremti užsienio patirtimi.
借助	padedant	Jis rado maršrutą padedant žemėlapiui.
戒备	budrumas	Pasienio zona tebėra padidinto budrumo būsenoje.
界限	riba	Darbui ir gyvenimui reikia aiškių ribų.
津津有味	su dideliu susidomėjimu	Vaikai su dideliu susidomėjimu klausėsi pasakojimo.
金融	finansai	Finansų rinka šiandien smarkiai svyravo.
紧迫	skubus	Laikas skubus, todėl turime veikti nedelsdami.
锦上添花	vyšnia ant torto	Ši dovana buvo tikra vyšnia ant torto.
晋升	paaukštinti	Praėjusiais metais jis buvo paaukštintas į skyriaus vadovus.
浸泡	mirkyti	Pupeles reikia mirkyti per naktį.
近来	pastaruoju metu	Pastaruoju metu oras labai pasikeitė.
进而	tada	Pirmiausia supraskite poreikius, tada sudarykite planą.
进攻	pulti	Antroje rungtynių pusėje komanda sustiprino puolimą.
进化	evoliucija	Organizmai evoliucionuoja kartu su aplinka.
进展	pažanga	Projektas šiuo metu vyksta sklandžiai.
兢兢业业	kruopštus	Jis trisdešimt metų dirbo kruopščiai.
惊动	suneraminti	Garsus triukšmas suneramino netoliese gyvenančius žmones.
惊奇	nustebti	Vaikai nustebę žiūrėjo magijos pasirodymą.
惊讶	nustebinti	Jo atsakymas mane nustebino.
精打细算	kruopščiai skaičiuoti	Ji visada kruopščiai skaičiuoja namų išlaidas.
精华	esmė	Šiame straipsnyje apibendrinta teorijos esmė.
精简	sumažinti	Įmonė nusprendė sumažinti valdymo grandžių skaičių.
精密	tikslus	Šis prietaisas labai tikslus.
精确	tikslus	Duomenys turi būti tikslūs iki dviejų skaitmenų po kablelio.
精通	puikiai mokėti	Jis puikiai moka tris užsienio kalbas.
精心	kruopščiai	Mama kruopščiai paruošė vakarienę.
精益求精	siekti tobulumo	Puikūs meistrai visada siekia tobulumo.
精致	išskirtinis	Ši dovana supakuota labai išskirtinai.
经费	lėšos	Tyrimų lėšos jau patvirtintos.
经纬	ilguma ir platuma	Žemėlapyje pažymėtos ilgumos ir platumos linijos.
茎	stiebas	Augalo stiebas laiko lapus.
井	šulinys	Kaimo įėjime yra senas šulinys.
警告	įspėti	Mokytojas įspėjo mokinius nesukčiauti.
警惕	budrus	Turime būti budrūs dėl internetinių sukčių.
颈椎	kaklo slanksteliai	Ilgas žiūrėjimas žemyn gali pakenkti kaklo slanksteliams.
境界	lygis	Jo tapyba pasiekė naują lygį.
敬礼	atiduoti pagarbą	Kareivis atidavė pagarbą nacionalinei vėliavai.
敬业	atsidavęs darbui	Ji dirba rimtai ir yra labai atsidavusi darbui.
竞赛	varžybos	Mokykla surengė matematikos varžybas.
竞选	kandidatuoti	Jis ruošiasi kandidatuoti į merus.
镜头	kadras	Fotografas pakoregavo objektyvą.
纠纷	ginčas	Abi pusės išsprendė ginčą tarpininkaujant.
纠正	ištaisyti	Mokytojas laiku ištaisė tarimo klaidą.
酒精	alkoholis	Gydytojas dezinfekavo žaizdą alkoholiu.
就近	netoliese	Mokiniai gali lankyti netoliese esančią mokyklą.
就业	užimtumas	Vyriausybė pristatė politiką užimtumui skatinti.
就职	pradėti eiti pareigas	Naujas vadovas oficialiai pradės eiti pareigas kitą savaitę.
救济	parama	Nukentėjusieji nuo nelaimės laiku gavo paramą.
居民	gyventojas	Netoliese gyvenantys gyventojai priešinasi triukšmo taršai.
居住	gyventi	Jie čia gyvena jau dešimt metų.
拘留	sulaikyti	Policija pagal įstatymą sulaikė įtariamąjį.
拘束	varžytis	Prie draugų nereikia varžytis.
鞠躬	nusilenkti	Aktorius nusilenkė žiūrovams dėkodamas.
局部	vietinis	Gydytojas atliko tik vietinę nejautrą.
局面	padėtis	Derybos pagerino įtemptą padėtį.
局势	situacija	Tarptautinė situacija tebėra sudėtinga.
局限	ribotumas	Šis metodas turi akivaizdų ribotumą.
举动	veiksmas	Jo veiksmas sujaudino visus.
举世瞩目	atkreipti pasaulio dėmesį	Šis projektas atkreipė pasaulio dėmesį.
举足轻重	lemiamas	Ši įmonė atlieka lemiamą vaidmenį pramonėje.
咀嚼	kramtyti	Valgant reikia lėtai kramtyti.
沮丧	nusivylęs	Pralaimėjęs rungtynes jis jautėsi labai nusivylęs.
剧本	scenarijus	Režisierius taiso scenarijų.
剧烈	smarkus	Žemė smarkiai drebėjo.
据悉	pranešama	Pranešama, kad susitikimas bus atidėtas iki kitos savaitės.
聚精会神	susikaupęs	Vaikai susikaupę klausėsi pamokos.
卷	susukti	Jis susuko žemėlapį ir įdėjo į krepšį.
倔强	užsispyręs	Šis vaikas turi užsispyrusį charakterį.
决策	sprendimas	Vadovybė aptaria svarbų sprendimą.
绝望	neviltis	Po nesėkmės jis kurį laiką jautė neviltį.
觉悟	sąmoningumas	Ši patirtis padidino jo sąmoningumą.
觉醒	pabusti	Visuomenės aplinkosauginis sąmoningumas bunda.
军队	kariuomenė	Kariuomenė greitai atvyko į nelaimės zoną.
君子	kilnus žmogus	Kilnus žmogus turi suderinti žodžius su veiksmais.
卡通	animacinis filmas	Vaikas mėgsta žiūrėti animacinius filmus.
开采	kasti	Ši įmonė atsakinga už mineralų kasimą.
开除	pašalinti	Mokykla nusprendė pašalinti sukčiavusį mokinį.
开阔	platus	Nuo kalno viršūnės atsiveria labai platus vaizdas.
开朗	atviras	Ji yra atvira ir turi daug draugų.
开明	atvirų pažiūrų	Tėvai laikosi atvirų pažiūrų.
开辟	atidaryti	Miestas atidarė naują autobusų maršrutą.
开拓	plėsti	Įmonė planuoja plėsti veiklą užsienio rinkose.
开展	vykdyti	Mokykla vykdė saugaus elgesio mokymus.
开支	išlaidos	Šeimos mėnesinės išlaidos padidėjo.
刊登	paskelbti	Laikraštis paskelbė jo straipsnį.
刊物	leidinys	Šis leidinys pasirodo kartą per mėnesį.
勘探	žvalgyba	Inžinierių komanda atlieka požeminio vandens šaltinių žvalgybą.
侃侃而谈	užtikrintai kalbėti	Susitikime jis ilgai ir užtikrintai kalbėjo.
砍伐	kirsti	Draudžiama savavališkai kirsti miškus.
看待	vertinti	Šį klausimą turėtume vertinti objektyviai.
慷慨	dosnus	Jis dosniai paaukojo savo premijos pinigus.
抗议	protestas	Gyventojai protestavo prieš naujos gamyklos statybą.
考察	tirti	Ekspertai nuvyko į vietą tirti aplinkos.
考古	archeologija	Archeologų komanda atrado senovinius kapus.
考核	vertinimas	Įmonė kasmet atlieka darbuotojų veiklos vertinimą.
考验	išbandymas	Ši krizė išbandė komandos gebėjimus.
靠拢	priartėti	Komandos nariai priartėjo prie centro.
磕	trenkti	Jis netyčia trenkėsi į stalo kampą.
科目	dalykas	Matematika yra jo mėgstamiausias dalykas.
可观	žymus	Ši investicija atnešė žymią grąžą.
可口	skanus	Šio restorano maistas yra skanus.
可恶	nekenčiamas	Tokia apgaulė tikrai nekenčiama.
可行	įmanomas	Šis planas iš esmės įmanomas.
渴望	trokšti	Vaikai trokšta daugiau galimybių.
克制	susivaldyti	Ginčo metu turėtumėte susivaldyti.
刻不容缓	neatidėliotinas	Vandens šaltinių apsauga yra neatidėliotina.
客户	klientas	Klientas labai patenkintas paslauga.
课题	tema	Šią temą verta išsamiai nagrinėti.
啃	graužti	Vaikas graužia kukurūzo burbuolę.
恳切	nuoširdus	Jis nuoširdžiai paprašė visų pagalbos.
坑	duobė	Prie kelio yra gili duobė.
空洞	tuščias	Ši ataskaita turiniu tuščia.
空前绝后	nepakartojamas	Šį pasirodymą galima vadinti nepakartojamu.
空想	fantazija	Vien fantazijomis problemų neišspręsi.
空虚	tuštuma	Praėjus darbų įkarščiui, jis pajuto tuštumą.
孔	skylė	Sienoje yra maža skylė.
恐怖	baisus	Tame filme tvyro baisi atmosfera.
恐吓	gąsdinti	Kita pusė bandė gąsdinti liudytoją grasinimais.
恐惧	baimė	Tamsa privertė vaiką pajusti baimę.
空白	tuščia vieta	Prašome pasirašyti tuščioje vietoje.
空隙	tarpas	Tarp durų ir grindų yra tarpas.
口气	tonas	Jo kalbos tonas buvo labai griežtas.
口腔	burnos ertmė	Gydytojas apžiūrėjo jo burnos ertmę.
口头	žodinis	Jie turi tik žodinį susitarimą.
口音	akcentas	Jo mandarinų kalboje girdimas lengvas akcentas.
扣	prisegti	Prašome prisisegti saugos diržą.
哭泣	verkti	Mergaitė pasislėpė kampe ir verkė.
枯萎	nuvysti	Vandens trūkumas privertė gėles nuvysti.
枯燥	nuobodus	Šis darbas šiek tiek nuobodus.
苦尽甘来	po vargų ateina džiaugsmas	Po daugelio metų atkaklumo po vargų pagaliau atėjo džiaugsmas.
苦涩	kartus	Ši vaistinė arbata yra karti ir aitri.
挎	nešti ant rankos	Ji išėjo nešdamasi medžiaginį krepšį ant rankos.
跨	peržengti	Jis peržengė griovį ir ėjo toliau.
快活	linksmas	Vaikai linksmai žaidė ant žolės.
宽敞	erdvus	Ši klasė šviesi ir erdvi.
宽容	tolerancija	Visuomenei reikia daugiau supratimo ir tolerancijos.
款待	svetingai priimti	Šeimininkas svetingai priėmė svečius.
款式	stilius	Šio drabužio stilius labai naujas.
筐	krepšys	Jis parsinešė namo krepšį obuolių.
况且	be to	Kelias tolimas, be to, jau temsta.
旷课	praleisti pamokas	Be priežasties pamokas praleidžiantys mokiniai bus užregistruoti.
框架	struktūra	Ataskaitai pirmiausia reikia nustatyti struktūrą.
矿产	naudingosios iškasenos	Šis regionas turtingas naudingųjų iškasenų.
亏待	netinkamai elgtis	Įmonė netinkamai nesielgs su rimtai dirbančiais darbuotojais.
亏损	nuostolis	Šiemet gamykla patyrė didelių nuostolių.
捆绑	surišti	Prašome tvirtai surišti šias dėžes.
扩充	išplėsti	Mokykla planuoja išplėsti bibliotekos fondą.
扩散	plisti	Gandas greitai išplito internete.
扩张	plėtra	Įmonė atsargiai plečia savo veiklą.
啦	dalelytė	Nesijaudink, viskas pagerės.
喇叭	signalas	Automobilio signalas staiga suskambo.
蜡烛	žvakė	Ant gimtadienio torto buvo padėtos žvakės.
来历	kilmė	Šios kultūros vertybės kilmė neaiški.
来源	šaltinis	Naujienose turi būti nurodytas informacijos šaltinis.
栏目	rubrika	Ši programos rubrika transliuojama kartą per savaitę.
懒惰	tingus	Tingumas gali paveikti mokymosi rezultatus.
狼狈	apgailėtinas	Po lietaus jis buvo kiaurai permirkęs ir atrodė apgailėtinai.
狼吞虎咽	ryti maistą	Jis buvo labai alkanas ir rijo maistą.
捞	ištraukti	Žvejys ištraukė tinklą iš upės.
唠叨	bambėti	Mama visada bambėdavo dėl smulkmenų.
牢固	tvirtas	Šio tilto konstrukcija labai tvirta.
牢骚	skundas	Jis pilnas skundų, bet nenori keistis.
乐趣	malonumas	Skaitymas jai teikia daug malonumo.
乐意	mielai	Mielai padėsiu jums pataisyti gyvenimo aprašymą.
雷达	radaras	Radaras aptiko tolumoje skrendantį lėktuvą.
类似	panašus	Panašių problemų buvo ir anksčiau.
冷酷	šaltas	Jo tonas skambėjo labai šaltai.
冷落	ignoruoti	Naujas darbuotojas jautėsi ignoruojamas.
冷却	atvėsti	Prieš remontą mašina turi atvėsti.
愣	sustingti	Išgirdęs naujieną jis sustingo.
黎明	aušra	Auštant miestas pamažu pabudo.
理睬	kreipti dėmesį	Jis supyko ir nekreipė dėmesio į kitus.
理所当然	savaime suprantamas	Nelaikykite kitų pagalbos savaime suprantama.
理直气壮	užtikrintai	Turėdamas pakankamai įrodymų, jis kalbėjo užtikrintai.
理智	protas	Susidūrę su konfliktu turėtumėte išlaikyti protą.
礼节	etiketas	Skirtingos kultūros turi skirtingą etiketą.
礼尚往来	atsakyti mandagumu	Kaimynai vertina atsakymą mandagumu į mandagumą.
里程碑	gairė	Ši sėkmė yra projekto gairė.
例外	išimtis	Visi privalo dalyvauti, be išimčių.
利害	interesai	Tai susiję su abiejų pusių interesais.
力求	stengtis	Mes stengiamės sumažinti klaidų skaičių iki minimumo.
力所能及	pagal išgales	Prašome padaryti tai pagal savo išgales.
力争	stengtis iš visų jėgų	Komanda stengiasi iš visų jėgų užduotį baigti anksčiau.
历代	ankstesnės kartos	Ankstesnių kartų mokslininkai tyrė šį klausimą.
历来	visada	Šis miestas visada vertino švietimą.
立场	pozicija	Jis susitikime išdėstė savo poziciją.
立方	kubinis	Šio vandens bako talpa yra trys kubiniai metrai.
立交桥	viadukas	Šis viadukas sumažino eismo spūstis.
立体	trimatis	Šis paveikslas turi stiprų trimatį efektą.
立足	įsitvirtinti	Įmonės turėtų įsitvirtinti vietos rinkoje.
粒	grūdelis	Ant stalo yra keli ryžių grūdeliai.
廉洁	sąžiningas	Valstybės tarnautojai turi išlikti sąžiningi ir švarūs.
联欢	vakarėlis	Klasės draugai surengė naujametinį vakarėlį.
联络	susisiekti	Prašome kuo greičiau susisiekti su klientu.
联盟	aljansas	Kelios šalys sudarė prekybos aljansą.
联想	priminti	Ši nuotrauka man primena vaikystę.
连年	daugelį metų	Šis regionas daugelį metų iš eilės kentė potvynius.
连锁	tinklas	Ši įmonė valdo prekybos centrų tinklą.
连同	kartu su	Prašome atsiųsti sąskaitą kartu su sutartimi.
良心	sąžinė	Žmogus turėtų gyventi taip, kad neišduotų sąžinės.
晾	džiovinti	Ji pakabino drabužius džiūti balkone.
谅解	supratimas	Tikiuosi, kad suprasite mūsų sunkumus.
辽阔	platus	Stepė plati ir tęsiasi už horizonto.
列举	išvardyti	Mokytojas išvardijo tris pavyzdžius.
临床	klinikinis	Šis vaistas dalyvauja klinikiniuose tyrimuose.
淋	permirkti	Negalima per ilgai permirkti lietuje.
吝啬	šykštus	Jis niekada nėra šykštus draugams.
伶俐	gudrus	Ši maža mergaitė gudri ir greitai mąsto.
凌晨	paryčiai	Lėktuvas pakyla trečią valandą paryčiais.
灵感	įkvėpimas	Muzika suteikė jam kūrybinio įkvėpimo.
灵魂	siela	Laisvė yra šio kūrinio siela.
灵敏	jautrus	Šis prietaisas reaguoja labai jautriai.
零星	pavienis	Nakties danguje matėsi pavienės šviesos.
领会	suvokti	Jis greitai suvokė, ką turėjo omenyje mokytojas.
领事馆	konsulatas	Jis nuėjo į konsulatą tvarkyti vizos.
领土	teritorija	Kiekviena šalis vertina teritorinį vientisumą.
领悟	suprasti	Patyręs nesėkmę jis suprato atsakomybę.
领先	pirmauti	Jų technologija šiuo metu pirmauja tarp konkurentų.
领袖	lyderis	Šis lyderis labai gerbiamas žmonių.
溜	prasprukti	Šuniukas praspruko pro plyšį duryse.
流浪	klajoti	Jaunystėje jis kadaise klajojo iš vietos į vietą.
流露	atsiskleisti	Jos veide atsiskleidė džiaugsmas.
流氓	chuliganas	Policija sugavo kelis gatvės chuliganus.
流通	cirkuliuoti	Ši valiuta kadaise cirkuliavo vietoje.
留恋	nenorėti išvykti	Baigdami mokyklą visi nenorėjo išvykti iš kampuso.
留念	atminimas	Prie mokyklos vartų nusifotografavome atminimui.
留神	būti atsargiam	Eidami per kelią turite būti atsargūs.
聋哑	kurčnebylis	Mokykla teikia pagalbą kurčnebyliams vaikams.
隆重	iškilmingas	Konferencija iškilmingai surengta auditorijoje.
垄断	monopolija	Monopolija gali pakenkti rinkos konkurencijai.
笼罩	apgaubti	Tirštas rūkas apgaubė visą kaimą.
搂	apglėbti	Mama švelniai apglėbė vaiką.
炉灶	viryklė	Virtuvės viryklę reikia išvalyti.
轮船	laivas	Laivas lėtai išplaukė iš uosto.
轮廓	kontūras	Tolimų kalnų viršūnių kontūras labai aiškus.
轮胎	padanga	Automobilio padangas reikia pakeisti.
论坛	forumas	Ekspertai skaitė pranešimus forume.
论证	pagrįsti	Ataskaitoje reikia toliau pagrįsti argumentą.
啰唆	daugžodžiauti	Nustokite daugžodžiauti ir eikite tiesiai prie esmės.
络绎不绝	nenutrūkstamu srautu	Lankytojai nenutrūkstamu srautu atvyko į senamiestį.
落成	baigti statybas	Nauja sporto salė bus oficialiai baigta rytoj.
落实	įgyvendinti	Susitikime pareikalauta greitai įgyvendinti naują politiką.
屡次	pakartotinai	Jis pakartotinai priminė visiems atkreipti dėmesį į saugumą.
履行	vykdyti	Abi pusės privalo vykdyti sutartinius įsipareigojimus.
掠夺	plėšti	Karas lėmė išteklių plėšimą.
嘛	dalelytė	Šis reikalas juk paprastas.
麻痹	nerūpestingumas	Ilgalaikė sklandi eiga gali lengvai padaryti žmones nerūpestingus.
麻木	nutirpęs	Šaltis privertė jo pirštus nutirpti.
麻醉	anestezija	Prieš operaciją gydytojas pacientui atliko anesteziją.
码头	prieplauka	Krovininis laivas prisišvartavo prie prieplaukos.
蚂蚁	skruzdėlė	Skruzdėlės neša maistą.
埋伏	pasala	Kareiviai slėpėsi pasaloje slėnyje.
埋没	likti nepastebėtam	Neleiskite talentingiems žmonėms likti nepastebėtiems.
埋葬	palaidoti	Kaimiečiai palaidojo senolį ant kalvos šlaito.
脉搏	pulsas	Slaugytoja matuoja jo pulsą.
迈	žengti	Jis plačiu žingsniu nužengė durų link.
埋怨	skųstis	Ne visada skųskitės kitais.
慢性	lėtinis	Lėtinėms ligoms reikia ilgalaikio gydymo.
漫长	ilgas	Jie išgyveno ilgą laukimą.
漫画	komiksas	Šis komiksas labai populiarus tarp jaunimo.
蔓延	plisti	Ugnis greitai išplito gilyn į mišką.
忙碌	užimtas	Metų pabaiga yra užimčiausias įmonės laikas.
盲目	aklai	Investuojant nereikėtų aklai sekti madomis.
茫茫	beribis	Valtis dingo beribėje jūroje.
茫然	suglumęs	Išklausęs paaiškinimą jis vis dar atrodė suglumęs.
冒充	apsimesti	Kažkas apsimetė policininku ir išviliojo pinigų.
冒犯	įžeisti	Mano žodžiai nebuvo skirti jūsų įžeisti.
茂盛	vešlus	Kieme medžiai auga vešliai.
媒介	terpė	Internetas yra svarbi informacijos terpė.
枚	vienetas	Jis surinko kelias progines monetas.
美观	estetiškas	Šis dizainas yra ir praktiškas, ir estetiškas.
美满	laimingas	Jie gyvena laimingą ir pilnavertį gyvenimą.
美妙	nuostabus	Koncertas suteikė nuostabią patirtį.
萌芽	užuomazga	Pradėjo rastis naujos idėjos užuomazga.
猛烈	smarkus	Audra užklupo labai smarkiai.
眯	prisimerkti	Saulė buvo per ryški, todėl jis prisimerkė.
弥补	kompensuoti	Atsiprašymas negali visiškai kompensuoti nuostolio.
弥漫	pripildyti	Gėlių kvapas pripildė kiemą.
谜语	mįslė	Vaikams patinka spėti mįsles.
迷惑	sutrikdyti	Sudėtingi duomenys jį sutrikdė.
迷人	žavus	Jūros pakrantės naktinis vaizdas labai žavus.
迷信	prietaras	Mokslinis švietimas gali sumažinti prietarus.
密度	tankis	Šis metalas turi didelį tankį.
密封	užsandarinti	Atidarę maišelį, prašome vėl jį užsandarinti.
棉花	medvilnė	Ūkininkai renka medvilnę.
免得	kad nebūtų	Išeikite anksčiau, kad nebūtumėte pavėlavę.
免疫	imunitetas	Ši vakcina gali sustiprinti imunitetą.
勉励	drąsinti	Mokytojas dažnai drąsina mokinius tęsti mokslus.
勉强	nenoriai	Jis nenoriai sutiko su šiuo susitarimu.
面貌	išvaizda	Miesto išvaizda labai pasikeitė.
面子	prestižas	Jis nenorėjo prarasti prestižo viešumoje.
描绘	vaizduoti	Romanas vaizduoja kaimo gyvenimą.
瞄准	nusitaikyti	Šaulys nusitaikė į taikinį.
渺小	menkas	Gamtos akivaizdoje žmonės atrodo labai menki.
藐视	niekinti	Negalime niekinti jokio varžovo.
灭亡	žlugti	Ši dinastija galiausiai ėmė žlugti.
蔑视	paniekinti	Jo tonas buvo kupinas paniekos.
民间	liaudies	Liaudies meną reikia saugoti.
民主	demokratija	Susitikime buvo balsuojama demokratiškai.
敏捷	vikrus	Sportininko judesiai labai vikrūs.
敏锐	aštrus	Žurnalistams reikia aštraus pastabumo.
名次	vieta reitinge	Ji varžybose pasiekė gerą vietą.
名额	vieta	Šioje programoje yra tik dešimt vietų.
名副其实	tikras	Jis yra tikras ekspertas ne tik vardu, bet ir iš tikrųjų.
名誉	reputacija	Šis reikalas pakenkė įmonės reputacijai.
明明	akivaizdžiai	Jis akivaizdžiai žinojo atsakymą, bet atsisakė jį pasakyti.
明智	išmintingas	Sprendimo atidėjimas buvo išmintingas pasirinkimas.
命名	pavadinti	Mokslininkai pavadino naują rūšį.
摸索	ieškoti	Komanda vis dar ieško naujų metodų.
摩擦	trintis	Tarp dviejų šalių atsirado prekybos trintis.
模范	pavyzdys	Jis yra pavyzdys visiems mokyklos mokiniams.
模式	modelis	Šis verslo modelis labai sėkmingas.
模型	modelis	Inžinierius pagamino tilto modelį.
磨合	apsiprasti	Naujai komandai reikia laiko apsiprasti tarpusavyje.
膜	membrana	Ši membrana gali filtruoti priemaišas.
魔鬼	velnias	Pasakos velnias labai klastingas.
魔术	magija	Vaikams patinka žiūrėti magijos pasirodymus.
抹杀	paneigti	Jo indėlio negalima paneigti.
墨水儿	rašalas	Rašiklyje rašalas beveik baigėsi.
莫名其妙	nesuprantamas	Jo reakcija žmonėms atrodė nesuprantama.
默默	tyliai	Ji tyliai padėjo daugeliui žmonių.
谋求	siekti	Įmonė siekia naujų plėtros galimybių.
模样	išvaizda	Dabar jo išvaizda labai pasikeitė.
母语	gimtoji kalba	Vaikai nuo mažens mokosi gimtosios kalbos.
沐浴	maudytis	Rytinis kaimas maudėsi saulės šviesoje.
目睹	matė	Daugelis žmonių matė avariją.
目光	žvilgsnis	Visų žvilgsniai buvo nukreipti į sceną.
拿手	specialybė	Troškinta žuvis yra jo firminis patiekalas.
纳闷儿	stebėtis	Vis stebėjausi, kodėl jis pavėlavo.
耐用	patvarus	Ši batų pora labai patvari.
南辕北辙	prieštarauti tikslui	Jo metodas prieštarauja tikslui.
难得	retas	Tai reta galimybė.
难堪	sugluminti	Šis klausimas jį suglumino.
难能可贵	ypač vertingas	Išlikti sąžiningam spaudimo sąlygomis yra ypač vertinga.
恼火	susierzinęs	Įranga vėl sugedo, ir jis buvo labai susierzinęs.
内涵	prasmė	Šis žodis turi turtingą kultūrinę prasmę.
内幕	užkulisiai	Žurnalistas bandė ištirti įvykio užkulisius.
