simplified	RU	example_RU
显然	очевидно; явно	Очевидно, он уже знает результат.
显示	показывать; отображать	Экран показывает неправильное время.
县	уезд; округ	В этом уезде много чайных плантаций.
现代	современный; современность	Современная жизнь неотделима от интернета.
现实	реальность; реальный	Мы должны смотреть в лицо реальности.
现象	явление	Это явление очень распространено.
限制	ограничивать; ограничение	Здесь ограничен въезд транспорта.
相处	ладить; уживаться	Они очень хорошо ладят.
相当	довольно; соответствующий	Эта книга довольно интересная.
相对	относительно; сравнительно	Цены здесь относительно низкие.
相关	связанный; соответствующий	Пожалуйста, предоставьте соответствующие материалы.
相似	похожий; сходный	Значения этих двух иероглифов очень похожи.
香肠	колбаса; сосиска	На завтрак есть яйца и сосиски.
享受	наслаждаться; удовольствие	Они наслаждаются отпуском.
想念	скучать; тосковать	Я очень скучаю по семье.
想象	представлять; воображать	Я не могу представить себе такую жизнь.
象棋	китайские шахматы	Дедушка любит играть в китайские шахматы.
象征	символ; символизировать	Белый цвет часто символизирует чистоту.
项	пункт; счетное слово для задач и проектов	Эта задача очень важная.
项链	ожерелье; цепочка	На ней серебряное ожерелье.
项目	проект; пункт	На этот проект потребуется три месяца.
消费	потребление; тратить	Во время праздников потребление выросло.
消化	переваривать; пищеварение	Прогулка после еды помогает пищеварению.
消极	негативный; пассивный	Не смотри на проблемы с негативным настроем.
消失	исчезать	Солнце медленно исчезло за горой.
销售	продавать; продажи	Эта компания продает электронику.
小麦	пшеница	На севере выращивают много пшеницы.
小气	скупой; мелочный	Не будь таким скупым.
孝顺	почтительный к родителям	Он очень почтителен к родителям.
效率	эффективность	Такой способ может повысить эффективность.
歇	отдохнуть; сделать перерыв	Давай сначала немного отдохнем.
斜	косой; наклонный	Эта дорога немного наклонная.
写作	письмо; сочинительство	Письмо требует долгой практики.
心理	психологический; психика	Перед экзаменом нужно настроить психологическое состояние.
心脏	сердце	Здоровье сердца очень важно.
欣赏	любоваться; ценить	Мы любовались красивым пейзажем.
信号	сигнал	Здесь плохой сигнал мобильной связи.
信任	доверять; доверие	Между друзьями нужно доверие.
形成	формироваться; образовываться	Хорошие привычки формируются постепенно.
形容	описывать	Я не знаю, как описать это чувство.
形势	ситуация; обстановка	Текущая ситуация довольно сложная.
形式	форма	Собрание можно провести в онлайн-формате.
形象	образ; имидж	У него хороший публичный имидж.
形状	форма; очертание	Форма этой коробки очень необычная.
行动	действие; действовать	Нам нужно действовать немедленно.
行人	пешеход	Переходя дорогу, обращайте внимание на пешеходов.
行为	поведение; поступок	Такое поведение невежливо.
幸亏	к счастью; хорошо, что	Хорошо, что ты мне напомнил.
幸运	удачливый; удача	Ему повезло найти работу.
性质	характер; природа	Эта проблема по своему характеру очень серьезная.
兄弟	братья	У этих двух братьев хорошие отношения.
胸	грудь	Он чувствует небольшую тяжесть в груди.
休闲	досуг; отдых	Выходные - хорошее время для отдыха.
修改	исправлять; редактировать	Пожалуйста, отредактируйте эту статью.
虚心	скромный; открытый к советам	Нам нужно открыто прислушиваться к мнениям.
叙述	рассказывать; излагать	Он ясно рассказал, что произошло.
宣布	объявлять	Школа объявила новые правила.
宣传	распространять; продвигать	Они распространяют знания об охране окружающей среды.
学历	образование; академическая квалификация	Для этой работы требуется степень бакалавра.
学术	научный; академический	На этой конференции обсуждают научные вопросы.
学问	знания; эрудиция	Он очень эрудирован.
血	кровь	У него из руки немного пошла кровь.
寻找	искать; разыскивать	Мы ищем новый способ.
询问	спрашивать; расспрашивать	Он спросил у учителя время экзамена.
训练	тренироваться; тренировка	Спортсмен каждый день продолжает тренироваться.
迅速	быстрый; быстро	Новость быстро распространилась.
押金	залог; депозит	При аренде жилья нужно внести залог.
牙齿	зубы	Пожалуйста, каждый день заботьтесь о зубах.
严肃	серьезный; строгий	Выражение лица учителя было очень серьезным.
延长	продлевать; удлинять	Собрание продлили на полчаса.
演讲	речь; выступление	Он готовит завтрашнее выступление.
宴会	банкет; званый ужин	Они участвовали в банкете.
阳台	балкон	На балконе стоит несколько горшков с цветами.
痒	чесаться; зудеть	У меня немного чешется рука.
样式	стиль; фасон; тип	Этот стиль очень популярен.
腰	поясница; талия	Если долго сидеть, может заболеть поясница.
摇	качать; трясти	Ветер качал ветки туда-сюда.
咬	кусать	Эта собака не кусается.
要不	а может; иначе	Может, мы пойдем завтра?
业务	дела; бизнес; направление работы	Бизнес компании становится все больше.
业余	свободное время; любительский	В свободное время он изучает фотографию.
夜	ночь	Ночью на улице очень тихо.
依然	по-прежнему; все еще	Он по-прежнему живет в Пекине.
一辈子	всю жизнь	Она всю жизнь любила музыку.
一旦	как только; если	Как только решил, нужно держаться решения.
一律	все без исключения	Во время собрания все телефоны должны быть выключены.
一再	снова и снова; неоднократно	Он неоднократно напоминал нам о безопасности.
一致	единый; совпадающий	Мнения всех полностью совпадают.
疑问	вопрос; сомнение	У меня есть вопрос по этому ответу.
移动	двигать; перемещать	Пожалуйста, немного передвиньте стол.
移民	эмигрировать; иммигрант	Они планируют переехать за границу.
遗憾	сожаление; сожалеть	Мне жаль, что я не смог тебя увидеть.
乙	второй; сторона Б	В договоре сторона Б отвечает за оплату.
以及	а также; и	Я купил книги, а также канцелярские принадлежности.
以来	с тех пор как	После выпуска он все время работает в Пекине.
义务	обязанность; долг	Защита окружающей среды - обязанность каждого.
亿	сто миллионов	В этой стране население больше миллиарда человек.
意外	неожиданный; случайность	Это опоздание было совершенно неожиданным.
意义	значение; смысл	Это мероприятие очень значимое.
议论	обсуждать; рассуждать	Все обсуждают это дело.
因而	поэтому; вследствие этого	Он усердно учится, поэтому у него хорошие оценки.
因素	фактор	Погода - важный фактор.
银	серебро; серебряный	На ней серебряный браслет.
印刷	печать; печатать	Эта книга напечатана очень четко.
英俊	красивый; статный	Он очень красивый.
英雄	герой	Пожарные - настоящие герои.
营养	питание; питательность	В завтраке должно быть достаточно питательных веществ.
营业	работать; вести торговлю	Этот магазин открывается в девять.
迎接	встречать; приветствовать	Мы поехали в аэропорт встречать гостей.
影子	тень	Под фонарем видна его тень.
应付	справляться; иметь дело	Он справится с этой проблемой.
应用	применять; приложение	Этот метод можно применять в преподавании.
硬	твердый; жесткий	Этот стул слишком жесткий.
硬件	аппаратное обеспечение; железо	У этого компьютера хорошее железо.
拥抱	обнимать	Ребенок побежал обнять маму.
拥挤	переполненный; тесный	В метро очень тесно в утренний час пик.
勇气	смелость; мужество	У него есть смелость признать ошибку.
用功	усердно учиться	Она очень усердно учится.
用途	назначение; применение	У этого материала очень широкое применение.
优惠	скидка; льготный	Сегодня в этом магазине есть скидки.
优美	красивый; изящный	Здесь очень красивая обстановка.
优势	преимущество	Его преимущество - богатый опыт.
悠久	древний; многовековой	У Китая древняя история.
油炸	жарить во фритюре; жареный во фритюре	Я редко ем жареную во фритюре еду.
游览	осматривать; посещать достопримечательности	Завтра мы будем осматривать Запретный город.
犹豫	колебаться; сомневаться	Он немного поколебался и только потом ответил.
有利	благоприятный; выгодный	Это условие нам выгодно.
幼儿园	детский сад	В следующем году ребенок пойдет в детский сад.
娱乐	развлечение; развлекаться	Просмотр фильмов - это вид развлечения.
与其	лучше, чем; вместо того чтобы	Вместо того чтобы жаловаться, лучше действовать.
语气	тон; манера речи	Он говорит очень мягким тоном.
玉米	кукуруза	На ужин есть кукурузный суп.
预报	прогноз	Прогноз погоды говорит, что завтра будет дождь.
预订	бронировать; заказывать заранее	Я уже забронировал гостиницу.
预防	предотвращать; профилактика	Частое мытье рук помогает предотвращать простуду.
元旦	Новый год; первое января	На Новый год у нас один выходной день.
原料	сырье; исходный материал	Главное сырье для хлеба - мука.
原则	принцип	У человека должны быть принципы.
员工	сотрудник; персонал	В компании триста сотрудников.
圆	круглый; круг	Луна большая и круглая.
愿望	желание	Его желание - объехать весь мир.
乐器	музыкальный инструмент	Она умеет играть на нескольких музыкальных инструментах.
晕	кружиться; укачивать	На корабле меня немного укачивает.
运气	удача	Сегодня мне везет.
运输	транспортировка; перевозка	Эти товары нужно перевозить по железной дороге.
运用	применять; использовать	Пожалуйста, гибко используйте эти слова.
灾害	бедствие; катастрофа	Наводнение - это природное бедствие.
再三	снова и снова; многократно	Учитель многократно напоминал нам повторять материал.
在乎	заботиться; быть важным	Ему очень важно мнение друзей.
在于	заключаться в	Успех заключается в настойчивости.
赞成	соглашаться; поддерживать	Я согласен с твоим предложением.
赞美	хвалить; восхищаться	Все хвалили ее смелость.
糟糕	ужасный; плохо	Сегодня погода просто ужасная.
造成	вызывать; приводить к	Сильный дождь вызвал пробку.
则	то; тогда	Если стараться, будет прогресс.
责备	винить; упрекать	Учитель не стал его упрекать.
摘	срывать; собирать	Она сорвала цветок в саду.
窄	узкий	Эта дорога слишком узкая.
粘贴	наклеивать; вставлять	Пожалуйста, наклейте фотографию здесь.
展开	разворачиваться; начинаться	Обсуждение быстро началось.
展览	выставка; выставлять	В музее есть новая выставка.
占	занимать; оккупировать	Этот стол занимает место.
战争	война	Война приносит людям страдания.
掌握	овладеть; освоить	Он уже освоил базовую грамматику.
涨	расти; повышаться	В последнее время аренда снова выросла.
长辈	старшие; старшие родственники	На Новый год нужно приветствовать старших родственников.
账户	счет; аккаунт	Пожалуйста, проверь свой банковский счет.
招待	принимать гостей; угощать	Хозяин тепло принял гостей.
着火	загореться	Кухня внезапно загорелась.
着凉	простудиться	Стало холодно, не простудись.
召开	созывать; проводить собрание	Школа завтра проведет собрание.
照常	как обычно	Завтра магазин будет работать как обычно.
哲学	философия	В университете он изучал философию.
珍惜	ценить; дорожить	Нам нужно ценить время.
真实	настоящий; правдивый	Эта история правдивая.
针对	быть направленным на; касаться	Это предложение предназначено для новых студентов.
诊断	диагноз; диагностировать	Врач быстро поставил диагноз.
振动	вибрация; вибрировать	Телефон вибрирует на столе.
阵	короткий промежуток; порыв; счетное слово	На улице прошел короткий дождь.
争论	спорить; спор	Они долго спорили об этом вопросе.
争取	стремиться получить; добиваться	Нам нужно добиваться большего количества возможностей.
征求	запрашивать; спрашивать мнение	Учитель спросил мнение всех.
挣	вырваться; добывать усилием	Птичка вырвалась из веревки.
睁	открывать глаза	Пожалуйста, откройте глаза немного шире.
整个	весь; целый	Весь город был очень тихим.
整齐	аккуратный; ровный	Книги расставлены очень аккуратно.
整体	целое; общий	Нам нужно учитывать общий эффект.
政府	правительство	Правительство выпустило новое уведомление.
政治	политика; политический	Он очень интересуется политикой.
正	правильный; прямой; ровно	Этот ответ правильный.
证件	документ; удостоверение	Пожалуйста, предъявите свой документ.
证据	доказательство; улика	Полиция нашла новые доказательства.
支	счетное слово для ручек и длинных предметов; поддерживать	На столе лежит ручка.
支票	чек	Он оплатил чеком.
执照	лицензия; разрешение	Для вождения нужны водительские права.
直	прямой; прямо	Идите прямо вперед по этой дороге.
指导	направлять; руководить	Учитель руководит нами при написании работы.
指挥	командовать; руководить	Он отвечает за руководство этой операцией.
制定	разрабатывать; устанавливать	Компания разработала новый план.
制度	система; порядок	В школе строгие правила.
制造	производить; изготавливать	Эта фабрика производит машины.
制作	делать; изготавливать	Она делает торт ко дню рождения.
志愿者	волонтер	Многие волонтеры участвовали в мероприятии.
智慧	мудрость	Этот пожилой человек очень мудр.
治疗	лечить; лечение	Врач лечит пациента.
秩序	порядок	Пожалуйста, сохраняйте порядок.
至今	до сих пор	Эта проблема до сих пор не решена.
至于	что касается	Что касается расходов, мы обсудим их завтра.
中介	посредник; агентство	Он снял квартиру через агентство.
中心	центр	Больница находится в центре города.
中旬	середина месяца	Собрание назначено на середину мая.
种类	вид; тип; разновидность	Здесь много видов фруктов.
重大	важный; значительный	Это важное решение.
重量	вес	Какой вес у этой коробки?
周到	внимательный; продуманный	Его обслуживание очень внимательное.
猪	свинья	На ферме держат много свиней.
竹子	бамбук	Панды любят есть бамбук.
逐步	постепенно; шаг за шагом	План будет реализовываться постепенно.
逐渐	постепенно	Погода постепенно стала холоднее.
主持	вести; председательствовать	Она ведет сегодняшнее собрание.
主动	инициативный; по собственной инициативе	Он сам предложил помощь однокласснику.
主观	субъективный	Эта оценка немного субъективна.
主人	хозяин; принимающая сторона	Хозяин тепло нас поприветствовал.
主任	директор; заведующий	Заведующий сейчас в кабинете.
主题	тема	Тема сегодняшнего обсуждения - охрана окружающей среды.
主席	председатель	Председатель объявил начало собрания.
主张	выступать за; позиция	Он выступает за то, чтобы сначала решить транспортную проблему.
煮	варить; готовить	Мама варит лапшу.
注册	регистрироваться; регистрация	Новым пользователям нужно сначала зарегистрироваться.
祝福	пожелание; благословение	Друзья прислали пожелания.
抓	хватать; ловить	Ребенок схватил маму за руку.
抓紧	не терять; крепко ухватить	Нам нужно не терять времени.
专家	эксперт; специалист	Эксперт предложил рекомендации.
专心	сосредоточиться; внимательно	На уроке нужно внимательно слушать.
转变	изменение; измениться	Его отношение изменилось.
转告	передать сообщение	Пожалуйста, передай ему, что завтра собрание.
装	класть внутрь; притворяться; одеваться	Пожалуйста, положите книги в сумку.
装饰	украшать; украшение	Они украсили комнату цветами.
装修	ремонтировать; отделывать	Новый дом сейчас ремонтируют.
撞	столкнуться; удариться	Две машины столкнулись на перекрестке.
状况	ситуация; состояние	Текущая ситуация довольно стабильная.
状态	состояние	Сегодня он в хорошей форме.
追	догонять; преследовать	Ребенок бежит за щенком.
追求	стремиться к; добиваться	Он всегда стремился к своей мечте.
咨询	консультироваться; консультация	Ты можешь проконсультироваться с профильным врачом.
姿势	поза; осанка	Пожалуйста, сохраняйте правильную осанку.
资格	квалификация; право	У него есть право участвовать в соревновании.
资金	средства; финансирование	Проекту нужно больше средств.
资料	материалы; данные	Пожалуйста, отправьте мне материалы.
资源	ресурсы	Вода - важный природный ресурс.
紫	фиолетовый	Ей нравится фиолетовый цвет.
字母	буква; алфавит	В английском языке двадцать шесть букв.
字幕	субтитры	В этом фильме есть китайские субтитры.
自从	с тех пор как	После выпуска он редко возвращается.
自动	автоматический; автоматически	Эта дверь открывается автоматически.
自豪	гордиться; гордость	Я горжусь своим прогрессом.
自觉	сознательно; по собственной инициативе	Он сам выполнил домашнее задание.
自私	эгоистичный	Человек не должен быть слишком эгоистичным.
自由	свобода; свободный	Каждый человек дорожит свободой.
自愿	добровольно; добровольный	Они добровольно участвовали в мероприятии.
综合	комплексный; обобщать	Нам нужно комплексно учитывать разные факторы.
总裁	генеральный директор	Генеральный директор сегодня выступил с речью.
总共	всего; в общей сложности	Эта поездка в общей сложности стоила три тысячи юаней.
总理	премьер-министр	Премьер-министр присутствовал на собрании.
总算	наконец; в конце концов	Проблему наконец решили.
总统	президент	Президент выступил с телевизионным обращением.
总之	короче говоря; в общем	В общем, мы должны закончить вовремя.
组	группа; делить на группы	Учитель разделил нас на три группы.
组成	состоять из; образовывать	Вода состоит из водорода и кислорода.
组合	сочетание; комбинация	Это сочетание цветов красиво выглядит.
组织	организовывать; организация	Школа организовала поездку.
阻止	останавливать; предотвращать	Полиция остановила опасное поведение.
最初	сначала; первоначально	Сначала я не совсем понял.
醉	пьяный; опьянеть	Он выпил слишком много и немного пьян.
尊敬	уважать	Все ученики уважают учителя.
遵守	соблюдать	Мы должны соблюдать правила дорожного движения.
作品	произведение; работа	Эта картина - его произведение.
作为	как; в качестве	Как учитель, он очень терпелив.
作文	сочинение	Учитель попросил нас написать сочинение.
