simplified	KN	example_KN	ML	example_ML
生气	ಕೋಪಗೊಳ್ಳುವುದು	ಕೋಪಗೊಳ್ಳಬೇಡ, ನಾನು ಅದನ್ನು ಉದ್ದೇಶಪೂರ್ವಕವಾಗಿ ಮಾಡಲಿಲ್ಲ.	കോപിക്കുക	കോപിക്കരുത്, ഞാൻ അത് ഉദ്ദേശപൂർവ്വം ചെയ്തതല്ല.
世界	ಲೋಕ; ಜಗತ್ತು	ಜಗತ್ತು ತುಂಬಾ ದೊಡ್ಡದು.	ലോകം	ലോകം വളരെ വലുതാണ്.
试	ಪ್ರಯತ್ನಿಸುವುದು; ಪರೀಕ್ಷಿಸುವುದು	ನಾನು ಈ ಚರ್ಮದ ಬೂಟಿನ ಜೋಡಿಯನ್ನು ಹಾಕಿ ನೋಡಬೇಕು.	ശ്രമിക്കുക; പരീക്ഷിക്കുക	എനിക്ക് ഈ തോൽ ചെരുപ്പ് ജോഡി ധരിച്ചു നോക്കണം.
瘦	ಸಣ್ಣ; ಸಣ್ಣಗಾದ	ಅವನು ಹಿಂದಿಗಿಂತ ಸಣ್ಣಗಿದ್ದಾನೆ.	മെലിഞ്ഞ	അവൻ മുമ്പേക്കാൾ മെലിഞ്ഞിരിക്കുന്നു.
叔叔	ಮಾಮ	ಮಾಮ ಕಾರಿನಲ್ಲಿ ನನ್ನನ್ನು ಶಾಲೆಗೆ ಕರೆದೊಯ್ಯುತ್ತಾರೆ.	അമ്മാവൻ	അമ്മാവൻ എന്നെ കാറിൽ സ്കൂളിലേക്ക് കൊണ്ടുപോകുന്നു.
舒服	ಸೌಕರ್ಯಕರ; ಸುಖಕರ	ಈ ಕುರ್ಚಿ ಸೌಕರ್ಯಕರವಾಗಿದೆ.	സൗകര്യപ്രദം; സുഖകരം	ഈ കസേര സുഖകരമാണ്.
数学	ಗಣಿತ	ಗಣಿತ ತರಗತಿ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.	ഗണിതം	ഗണിത ക്ലാസ് രസകരമാണ്.
树	ಮರ	ಮನೆಯ ಮುಂದೆ ಒಂದು ಮರ ಇದೆ.	മരം	വീട്ടിന്റെ മുന്നിൽ ഒരു മരമുണ്ട്.
刷牙	ಹಲ್ಲು ತೊಳೆಯುವುದು	ನಾನು ಪ್ರತಿ ಬೆಳಿಗ್ಗೆ ಹಲ್ಲು ತೊಳೆಯುತ್ತೇನೆ.	പല്ലുതേയ്ക്കുക	ഞാൻ ഓരോ രാവിലെയും പല്ലുതേക്കുന്നു.
双	ಜೋಡಿ	ನಾನು ಒಂದು ಜೋಡಿ ಚರ್ಮದ ಬೂಟು ಖರೀದಿಸಿದೆ.	ജോഡി	ഞാൻ ഒരു ജോഡി തോൽ ചെരുപ്പ് വാങ്ങി.
水平	ಮಟ್ಟ	ಅವನ ಚೀನೀ ಮಟ್ಟ ಉನ್ನತವಾಗಿದೆ.	നില; കഴിവ്	അവന്റെ ചൈനീസ് നില ഉയർന്നതാണ്.
司机	ಚಾಲಕ	ಚಾಲಕ ಬಾಗಿಲಿನ ಹತ್ತಿರ ನಮ್ಮಿಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾನೆ.	ഡ്രൈവർ	ഡ്രൈവർ വാതിലിനരികിൽ ഞങ്ങളെ കാത്തിരിക്കുന്നു.
太阳	ಸೂರ್ಯ	ಇಂದು ಬಿಸಿಲು ತುಂಬಾ ತೀವ್ರವಾಗಿದೆ.	സൂര്യൻ	ഇന്ന് വെയിൽ വളരെ ശക്തമാണ്.
特别	ವಿಶೇಷವಾಗಿ; ವಿಶೇಷ	ಈ ಕಾರ್ಯಕ್ರಮ ವಿಶೇಷವಾಗಿ ಆಸಕ್ತಿದಾಯಕವಾಗಿದೆ.	പ്രത്യേകം; പ്രത്യേകിച്ച്	ഈ പരിപാടി പ്രത്യേകിച്ച് രസകരമാണ്.
疼	ನೋವು ಉಂಟಾಗುವುದು	ನನ್ನ ಪಾದ ನೋಯುತ್ತಿದೆ.	വേദനിക്കുക	എന്റെ കാൽപാദം വേദനിക്കുന്നു.
提高	ಮೇಲೇರಿಸುವುದು; ಸುಧಾರಿಸುವುದು	ಹೆಚ್ಚು ಅಭ್ಯಾಸ ಮಾಡಿದರೆ ಚೀನೀ ಮಟ್ಟವನ್ನು ಸುಧಾರಿಸಬಹುದು.	മെച്ചപ്പെടുത്തുക; ഉയർത്തുക	കൂടുതൽ പരിശീലിച്ചാൽ ചൈനീസ് നില മെച്ചപ്പെടുത്താം.
体育	ಕ್ರೀಡೆ; ದೈಹಿಕ ಶಿಕ್ಷಣ	ನನಗೆ ದೈಹಿಕ ಶಿಕ್ಷಣ ತರಗತಿ ಇಷ್ಟ.	കായികം; ശാരീരിക വിദ്യാഭ്യാസം	എനിക്ക് ശാരീരിക വിദ്യാഭ്യാസ ക്ലാസ് ഇഷ്ടമാണ്.
甜	ಸಿಹಿ	ಈ ಪಾನೀಯ ತುಂಬಾ ಸಿಹಿಯಾಗಿದೆ.	മധുരം	ഈ പാനം വളരെ മധുരമാണ്.
条	ಉದ್ದವಾದ ವಸ್ತುಗಳ ಎಣಿಕೆ ಪದ; ಪಟ್ಟೆ	ನಾನು ಒಂದು ಸ್ಕರ್ಟ್ ಖರೀದಿಸಿದೆ.	നീളമുള്ള വസ്തുക്കൾക്കുള്ള എണ്ണൽപദം; പട്ടി	ഞാൻ ഒരു സ്കർട്ട് വാങ്ങി.
同事	ಸಹೋದ್ಯೋಗಿ	ನನ್ನ ಸಹೋದ್ಯೋಗಿ ತುಂಬಾ ಬ್ಯುಸಿಯಾಗಿದ್ದಾನೆ.	സഹപ്രവർത്തകൻ	എന്റെ സഹപ്രവർത്തകൻ വളരെ തിരക്കിലാണ്.
同意	ಒಪ್ಪಿಕೊಳ್ಳುವುದು	ನಿನ್ನ ನಿರ್ಧಾರಕ್ಕೆ ನಾನು ಒಪ್ಪುತ್ತೇನೆ.	സമ്മതിക്കുക	നിന്റെ തീരുമാനത്തോട് ഞാൻ സമ്മതിക്കുന്നു.
头发	ಕೂದಲು	ಅವಳ ಕೂದಲು ಉದ್ದವಾಗಿದೆ.	മുടി	അവളുടെ മുടി നീളമുള്ളതാണ്.
突然	ಅಕಸ್ಮಾತ್	ಅವನು ಅಕಸ್ಮಾತ್ ಹೊರಟುಹೋದನು.	പെട്ടെന്ന്	അവൻ പെട്ടെന്ന് പോയി.
图书馆	ಗ್ರಂಥಾಲಯ	ಗ್ರಂಥಾಲಯ ಇಂದು ತೆರೆಯಲಾಗಿಲ್ಲ.	ലൈബ്രറി	ലൈബ്രറി ഇന്ന് തുറന്നിട്ടില്ല.
腿	ಕಾಲು	ಬೆಟ್ಟ ಹತ್ತಿದ ನಂತರ ನನ್ನ ಕಾಲುಗಳು ನೋಯುತ್ತಿವೆ.	കാൽ	മല കയറിയ ശേഷം എന്റെ കാലുകൾ വേദനിക്കുന്നു.
完成	ಪೂರ್ಣಗೊಳಿಸುವುದು	ನಾನು ಮನೆಕೆಲಸವನ್ನು ಈಗಾಗಲೇ ಪೂರ್ಣಗೊಳಿಸಿದ್ದೇನೆ.	പൂർത്തിയാക്കുക	ഞാൻ ഹോംവർക്ക് ഇതിനകം പൂർത്തിയാക്കി.
碗	ಬಟ್ಟಲು	ಮೇಜಿನ ಮೇಲೆ ಎರಡು ಬಟ್ಟಲುಗಳು ಇವೆ.	കിണ്ണം	മേശപ്പുറത്ത് രണ്ട് കിണ്ണങ്ങളുണ്ട്.
万	ಹತ್ತು ಸಾವಿರ	ಈ ನಗರದಲ್ಲಿ ಹತ್ತು ಸಾವಿರ ಜನರು ಇದ್ದಾರೆ.	പത്തായിരം	ഈ നഗരത്തിൽ പത്തായിരം പേർ ഉണ്ട്.
忘记	ಮರೆಯುವುದು	ಪಾಸ್‌ಪೋರ್ಟ್ ತೆಗೆದುಕೊಂಡು ಬರುವುದನ್ನು ಮರೆಯಬೇಡ.	മറക്കുക	പാസ്‌പോർട്ട് കൊണ്ടുവരാൻ മറക്കരുത്.
为	ಗಾಗಿ; ಕಾರಣದಿಂದ	ನಿನ್ನಗಾಗಿ ನಾನು ಸಂತೋಷವಾಗಿದ್ದೇನೆ.	വേണ്ടി; കാരണം	നിനക്കായി ഞാൻ സന്തോഷിക്കുന്നു.
为了	ಗಾಗಿ; ಉದ್ದೇಶಕ್ಕಾಗಿ	ಪರೀಕ್ಷೆಗಾಗಿ ಅವಳು ಪ್ರತಿದಿನ ಮರುಅಧ್ಯಯನ ಮಾಡುತ್ತಾಳೆ.	വേണ്ടി; ലക്ഷ്യത്തോടെ	പരീക്ഷയ്ക്കായി അവൾ ദിവസവും ആവർത്തിച്ചു പഠിക്കുന്നു.
位	ಜನರಿಗೆ ಗೌರವ ಎಣಿಕೆ ಪದ	ಈ ಶಿಕ್ಷಕರು ತುಂಬಾ ಪ್ರಸಿದ್ಧರು.	മനുഷ്യർക്കുള്ള ആദരസൂചക എണ്ണൽപദം	ഈ അധ്യാപകൻ വളരെ പ്രശസ്തനാണ്.
文化	ಸಂಸ್ಕೃತಿ	ನಾನು ಚೀನೀ ಸಂಸ್ಕೃತಿಯನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.	സംസ്കാരം	എനിക്ക് ചൈനീസ് സംസ്കാരം മനസ്സിലാക്കണം.
西	ಪಶ್ಚಿಮ	ಬ್ಯಾಂಕ್ ಶಾಲೆಯ ಪಶ್ಚಿಮದಲ್ಲಿದೆ.	പടിഞ്ഞാറ്	ബാങ്ക് സ്കൂളിന്റെ പടിഞ്ഞാറിലാണ്.
习惯	ಅಭ್ಯಾಸ; ಅಭ್ಯಾಸವಾಗುವುದು	ಬೆಳಿಗ್ಗೆ ವ್ಯಾಯಾಮ ಮಾಡುವುದು ನನಗೆ ಅಭ್ಯಾಸವಾಗಿದೆ.	ശീലം; പതിവാകുക	രാവിലെ വ്യായാമം ചെയ്യുന്നത് എനിക്ക് ശീലമായി.
洗手间	ಶೌಚಾಲಯ	ಶೌಚಾಲಯ ಬಲಬದಿಯಲ್ಲಿ ಇದೆ.	ശൗചാലയം	ശൗചാലയം വലത് വശത്താണ്.
洗澡	ಸ್ನಾನ ಮಾಡುವುದು	ಸಂಜೆ ನಾನು ಸ್ನಾನ ಮಾಡುತ್ತೇನೆ.	കുളിക്കുക	വൈകുന്നേരം ഞാൻ കുളിക്കുന്നു.
夏	ಬೇಸಿಗೆ	ಬೇಸಿಗೆ ತುಂಬಾ ಬಿಸಿಯಾಗಿರುತ್ತದೆ.	വേനൽക്കാലം	വേനൽക്കാലം വളരെ ചൂടാണ്.
先	ಮೊದಲು	ನೀನು ಮೊದಲು ತಿನ್ನು.	ആദ്യം	നീ ആദ്യം കഴിക്കൂ.
相信	ನಂಬುವುದು	ಅವನು ಬರುತ್ತಾನೆ ಎಂದು ನಾನು ನಂಬುತ್ತೇನೆ.	വിശ്വസിക്കുക	അവൻ വരുമെന്ന് ഞാൻ വിശ്വസിക്കുന്നു.
香蕉	ಬಾಳೆಹಣ್ಣು	ನಾನು ಮೂರು ಬಾಳೆಹಣ್ಣುಗಳನ್ನು ಖರೀದಿಸಿದೆ.	വാഴപ്പഴം	ഞാൻ മൂന്ന് വാഴപ്പഴം വാങ്ങി.
像	ಹಾಗೆ; ಹೋಲುವುದು	ಈ ಮೋಡ ಹಕ್ಕಿಯ ಹಾಗೆ ಇದೆ.	പോലെ; സാദൃശ്യമുള്ളത്	ഈ മേഘം ഒരു പക്ഷിയെപ്പോലെയാണ്.
向	ಕಡೆಗೆ; ದಿಕ್ಕು	ದಯವಿಟ್ಟು ಎಡಕ್ಕೆ ಹೋಗಿ.	ദിശ; നേരെ	ദയവായി ഇടത്തേക്ക് പോകൂ.
小心	ಜಾಗರೂಕವಾಗಿರುವುದು	ಮಳೆ ಬರುತ್ತಿದೆ, ದಾರಿಯಲ್ಲಿ ಜಾಗರೂಕರಾಗಿರು.	ശ്രദ്ധിക്കുക	മഴ പെയ്യുന്നു, വഴിയിൽ ശ്രദ്ധിക്കൂ.
校长	ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು	ಮುಖ್ಯೋಪಾಧ್ಯಾಯರು ಕಚೇರಿಯಲ್ಲಿ ಇದ್ದಾರೆ.	പ്രധാനാധ്യാപകൻ	പ്രധാനാധ്യാപകൻ ഓഫീസിലാണ്.
新闻	ಸುದ್ದಿ	ಅಪ್ಪ ಪ್ರತಿದಿನ ಸುದ್ದಿ ನೋಡುತ್ತಾರೆ.	വാർത്ത	അച്ഛൻ ദിവസവും വാർത്ത കാണുന്നു.
新鲜	ತಾಜಾ	ಈ ಹಣ್ಣು ತುಂಬಾ ತಾಜಾಗಿದೆ.	പുതിയത്; തഴച്ചു നിൽക്കുന്ന	ഈ പഴം വളരെ പുതുതാണ്.
信用卡	ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್	ನಾನು ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್‌ನಿಂದ ಪಾವತಿಸಬಹುದೇ?	ക്രെഡിറ്റ് കാർഡ്	എനിക്ക് ക്രെഡിറ്റ് കാർഡിൽ പണം അടയ്ക്കാമോ?
行李箱	ಪ್ರಯಾಣ ಚೀಲ	ನನ್ನ ಪ್ರಯಾಣ ಚೀಲ ಭಾರವಾಗಿದೆ.	സ്യൂട്ട്‌കേസ്	എന്റെ സ്യൂട്ട്‌കേസ് ഭാരമുള്ളതാണ്.
熊猫	ಪಾಂಡಾ	ಮಕ್ಕಳಿಗೆ ಪಾಂಡಾಗಳನ್ನು ನೋಡುವುದು ಇಷ್ಟ.	പാണ്ട	കുട്ടികൾക്ക് പാണ്ടകളെ കാണാൻ ഇഷ്ടമാണ്.
需要	ಅಗತ್ಯವಿರುವುದು	ನನಗೆ ನಿನ್ನ ಸಹಾಯ ಬೇಕು.	ആവശ്യമാകുക	എനിക്ക് നിന്റെ സഹായം വേണം.
选择	ಆಯ್ಕೆ ಮಾಡುವುದು; ಆಯ್ಕೆ	ನೀನು ಯಾವ ಶರ್ಟ್ ಆಯ್ಕೆ ಮಾಡುತ್ತೀಯ?	തിരഞ്ഞെടുക്കുക; തിരഞ്ഞെടുപ്പ്	നീ ഏത് ഷർട്ട് തിരഞ്ഞെടുക്കുന്നു?
要求	ಕೋರುವುದು; ಅವಶ್ಯಕತೆ	ಶಿಕ್ಷಕರು ಮನೆಕೆಲಸವನ್ನು ಗಮನದಿಂದ ಮಾಡಬೇಕು ಎಂದು ಕೇಳುತ್ತಾರೆ.	ആവശ്യപ്പെടുക; ആവശ്യം	ഹോംവർക്ക് ശ്രദ്ധയോടെ ചെയ്യണമെന്ന് അധ്യാപകൻ ആവശ്യപ്പെടുന്നു.
爷爷	ತಾತ	ತಾತ ಪ್ರತಿದಿನ ಉದ್ಯಾನಕ್ಕೆ ಹೋಗುತ್ತಾರೆ.	മുത്തച്ഛൻ	മുത്തച്ഛൻ ദിവസവും പാർക്കിലേക്ക് പോകുന്നു.
一直	ನಿರಂತರವಾಗಿ; ಬಹಳ ಕಾಲದಿಂದ	ಅವನು ಬಹಳ ಸಮಯದಿಂದ ನಿನ್ನಿಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾನೆ.	തുടർച്ചയായി; എല്ലായ്പ്പോഴും	അവൻ ഏറെ നേരമായി നിന്നെ കാത്തിരിക്കുന്നു.
一定	ಖಂಡಿತವಾಗಿ	ನಾನು ಖಂಡಿತವಾಗಿ ಬರುತ್ತೇನೆ.	തീർച്ചയായും	ഞാൻ തീർച്ചയായും വരും.
一共	ಒಟ್ಟು	ಈ ಪುಸ್ತಕಗಳು ಒಟ್ಟು ಎಷ್ಟು?	മൊത്തം	ഈ പുസ്തകങ്ങൾ മൊത്തം എത്ര?
一会儿	ಸ್ವಲ್ಪ ಹೊತ್ತು	ದಯವಿಟ್ಟು ನನ್ನಿಗಾಗಿ ಸ್ವಲ್ಪ ಹೊತ್ತು ಕಾಯಿರಿ.	അല്പനേരം	ദയവായി എനിക്കായി അല്പനേരം കാത്തിരിക്കൂ.
一样	ಒಂದೇ; ಸಮಾನ	ಈ ಎರಡು ಕಪ್‌ಗಳು ಒಂದೇ ಗಾತ್ರದವು.	ഒരേ; സമാനമായ	ഈ രണ്ട് കപ്പുകളും ഒരേ വലുപ്പമാണ്.
以前	ಹಿಂದೆ; ಮೊದಲು	ನಾನು ಹಿಂದೆ ಬೀಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೆ.	മുമ്പ്	ഞാൻ മുമ്പ് ബെയ്ജിംഗിൽ താമസിച്ചിരുന്നു.
一般	ಸಾಮಾನ್ಯ; ಸರಾಸರಿ	ಈ ರೆಸ್ಟೋರೆಂಟ್‌ನ ಆಹಾರ ಸಾಮಾನ್ಯವಾಗಿದೆ.	സാധാരണം; ശരാശരി	ഈ ഭക്ഷണശാലയിലെ ഭക്ഷണം സാധാരണമാണ്.
一边	ಒಂದು ಕಡೆ; ಒಂದೇ ಸಮಯದಲ್ಲಿ	ಅವಳು ಸಂಗೀತ ಕೇಳುತ್ತಾ ಮನೆಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.	ഒരു വശം; ഒരേസമയം	അവൾ സംഗീതം കേൾക്കുമ്പോൾ ഹോംവർക്ക് ചെയ്യുന്നു.
音乐	ಸಂಗೀತ	ನನಗೆ ಚೀನೀ ಸಂಗೀತ ಇಷ್ಟ.	സംഗീതം	എനിക്ക് ചൈനീസ് സംഗീതം ഇഷ്ടമാണ്.
银行	ಬ್ಯಾಂಕ್	ಬ್ಯಾಂಕ್ ಸೂಪರ್ ಮಾರ್ಕೆಟ್ ಪಕ್ಕದಲ್ಲಿದೆ.	ബാങ്ക്	ബാങ്ക് സൂപ്പർ മാർക്കറ്റിന്റെ അടുത്താണ്.
饮料	ಪಾನೀಯ	ಈ ಪಾನೀಯದ ರುಚಿ ಚೆನ್ನಾಗಿದೆ.	പാനം	ഈ പാനീയത്തിന്റെ രുചി നല്ലതാണ്.
应该	ಬೇಕು; ಮಾಡಬೇಕು	ನೀನು ಇನ್ನಷ್ಟು ವಿಶ್ರಾಂತಿ ಪಡೆಯಬೇಕು.	വേണം	നീ കൂടുതൽ വിശ്രമിക്കണം.
影响	ಪ್ರಭಾವ; ಪ್ರಭಾವ ಬೀರುವುದು	ಹವಾಮಾನ ಸ್ಪರ್ಧೆಯ ಮೇಲೆ ಪ್ರಭಾವ ಬೀರುತ್ತದೆ.	പ്രഭാവം; ബാധിക്കുക	കാലാവസ്ഥ മത്സരത്തെ ബാധിക്കും.
用	ಬಳಸುವುದು	ಮನೆಕೆಲಸ ಮಾಡಲು ನಾನು ಕಂಪ್ಯೂಟರ್ ಬಳಸುತ್ತೇನೆ.	ഉപയോഗിക്കുക	ഹോംവർക്ക് ചെയ്യാൻ ഞാൻ കമ്പ്യൂട്ടർ ഉപയോഗിക്കുന്നു.
游戏	ಆಟ	ಮಕ್ಕಳು ಒಂದು ಆಟ ಆಡುತ್ತಿದ್ದಾರೆ.	കളി	കുട്ടികൾ ഒരു കളി കളിക്കുന്നു.
有名	ಪ್ರಸಿದ್ಧ	ಈ ರೆಸ್ಟೋರೆಂಟ್ ತುಂಬಾ ಪ್ರಸಿದ್ಧವಾಗಿದೆ.	പ്രശസ്തം	ഈ ഭക്ഷണശാല വളരെ പ്രശസ്തമാണ്.
又	ಮತ್ತೆ	ಅವನು ಇಂದು ಮತ್ತೆ ತಡವಾಗಿ ಬಂದನು.	വീണ്ടും	അവൻ ഇന്ന് വീണ്ടും വൈകി.
遇到	ಭೇಟಿಯಾಗುವುದು; ಎದುರಾಗುವುದು	ನಾನು ಬೀದಿಯಲ್ಲಿ ಶಿಕ್ಷಕರನ್ನು ಭೇಟಿಯಾದೆ.	കണ്ടുമുട്ടുക; നേരിടുക	ഞാൻ തെരുവിൽ അധ്യാപകനെ കണ്ടു.
元	ಯುವಾನ್	ಈ ನಿಘಂಟು ಐವತ್ತು ಯುವಾನ್.	യുവാൻ	ഈ നിഘണ്ടുവിന് അമ്പത് യുവാൻ വിലയാണ്.
愿意	ಬಯಸುವುದು; ಸಿದ್ಧವಾಗಿರುವುದು	ನೀವು ಭಾಗವಹಿಸಲು ಸಿದ್ಧರಿದ್ದೀರಾ?	സന്നദ്ധമാകുക; ഇഷ്ടപ്പെടുക	നിങ്ങൾ പങ്കെടുക്കാൻ തയ്യാറാണോ?
月亮	ಚಂದ್ರ	ಇಂದು ರಾತ್ರಿ ಚಂದ್ರ ಪ್ರಕಾಶಮಾನವಾಗಿದೆ.	ചന്ദ്രൻ	ഇന്നിരാത്രി ചന്ദ്രൻ പ്രകാശമാണ്.
越	ಎಷ್ಟು ಹೆಚ್ಚು... ಅಷ್ಟು ಹೆಚ್ಚು...	ನಾನು ಚೈನೀಸ್ ಹೆಚ್ಚು ಹೆಚ್ಚು ಕಲಿಯುತ್ತಿದ್ದಂತೆ ಅದು ಇನ್ನಷ್ಟು ಆಸಕ್ತಿದಾಯಕವಾಗುತ್ತದೆ.	എത്ര കൂടുതൽ... അത്ര കൂടുതൽ...	ചൈനീസ് കൂടുതൽ പഠിക്കുന്നതോറും അത് കൂടുതൽ രസകരമാകുന്നു.
站	ನಿಲ್ದಾಣ; ನಿಂತಿರುವುದು	ಅವನು ಬಾಗಿಲಿನ ಹತ್ತಿರ ನಿಂತಿದ್ದಾನೆ.	സ്റ്റേഷൻ; നിൽക്കുക	അവൻ വാതിലിനരികിൽ നിൽക്കുന്നു.
张	ಸಮತಟ್ಟಾದ ವಸ್ತುಗಳ ಎಣಿಕೆ ಪದ	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ನಕ್ಷೆ ಕೊಡಿ.	തട്ടായ വസ്തുക്കൾക്കുള്ള എണ്ണൽപദം	ദയവായി എനിക്ക് ഒരു ഭൂപടം തരൂ.
长	ಬೆಳೆಯುವುದು	ಮಕ್ಕಳು ಬೇಗ ಬೆಳೆಯುತ್ತಾರೆ.	വളരുക	കുട്ടികൾ വേഗം വളരുന്നു.
着急	ಆತುರಪಡುವುದು; ಚಿಂತಿಸುವುದು	ಚಿಂತಿಸಬೇಡ, ಲಿಫ್ಟ್ ಬೇಗ ಬರುತ್ತದೆ.	അശാന്തരാകുക; അടിയന്തിരപ്പെടുക	ആശങ്കപ്പെടേണ്ട, ലിഫ്റ്റ് ഉടൻ വരും.
照顾	ನೋಡಿಕೊಳ್ಳುವುದು	ಅವಳು ಅಸ್ವಸ್ಥ ಅಜ್ಜಿಯನ್ನು ನೋಡಿಕೊಳ್ಳುತ್ತಾಳೆ.	പരിചരിക്കുക	അവൾ രോഗിയായ മുത്തശ്ശിയെ പരിചരിക്കുന്നു.
照片	ಫೋಟೋ	ಈ ಫೋಟೋ ಚೆನ್ನಾಗಿ ಕಾಣುತ್ತದೆ.	ഫോട്ടോ	ഈ ഫോട്ടോ നന്നായി കാണുന്നു.
照相机	ಕ್ಯಾಮೆರಾ	ನಾನು ಕ್ಯಾಮೆರಾದಿಂದ ಫೋಟೋ ತೆಗೆದುಕೊಳ್ಳುತ್ತೇನೆ.	ക്യാമറ	ഞാൻ ക്യാമറയിൽ ഫോട്ടോ എടുക്കുന്നു.
283:只	ಮಾತ್ರ	ನಾನು ಒಂದು ಕಪ್ ಚಹಾ ಮಾತ್ರ ಕುಡಿಯುತ್ತೇನೆ.	മാത്രം	ഞാൻ ഒരു കപ്പ് ചായ മാത്രം കുടിക്കുന്നു.
284:只	ಪ್ರಾಣಿಗಳ ಎಣಿಕೆ ಪದ	ಮೇಜಿನ ಕೆಳಗೆ ಒಂದು ಬೆಕ್ಕು ಇದೆ.	മൃഗങ്ങൾക്കുള്ള എണ്ണൽപദം	മേശയുടെ താഴെ ഒരു പൂച്ചയുണ്ട്.
只有…才…	ಮಾತ್ರ... ಆಗ ಮಾತ್ರ...	ಗಮನದಿಂದ ಮರುಅಧ್ಯಯನ ಮಾಡಿದರೆ ಮಾತ್ರ ಪರೀಕ್ಷೆಯಲ್ಲಿ ಒಳ್ಳೆಯ ಫಲಿತಾಂಶ ಪಡೆಯಬಹುದು.	മാത്രമേ... അപ്പോഴേ...	ശ്രദ്ധിച്ച് ആവർത്തിച്ചു പഠിച്ചാൽ മാത്രമേ പരീക്ഷയിൽ നല്ല ഫലം നേടാനാകൂ.
中间	ಮಧ್ಯ	ಮೇಜು ಕೊಠಡಿಯ ಮಧ್ಯದಲ್ಲಿದೆ.	നടുവിൽ	മേശ മുറിയുടെ നടുവിലാണ്.
中文	ಚೈನೀಸ್ ಭಾಷೆ; ಚೀನೀ ಬರಹ	ನಾನು ಪ್ರತಿದಿನ ಚೈನೀಸ್ ಕಲಿಯುತ್ತೇನೆ.	ചൈനീസ് ഭാഷ; ചൈനീസ് എഴുത്ത്	ഞാൻ ദിവസവും ചൈനീസ് പഠിക്കുന്നു.
终于	ಕೊನೆಗೂ	ನಾವು ಕೊನೆಗೂ ತಲುಪಿದೆವು.	അവസാനം	ഞങ്ങൾ അവസാനം എത്തി.
种	ವಿಧ; ಪ್ರಕಾರ	ನಿನಗೆ ಯಾವ ವಿಧದ ಪಾನೀಯ ಇಷ್ಟ?	തരം	നിനക്ക് ഏത് തരം പാനീയം ഇഷ്ടമാണ്?
重要	ಮುಖ್ಯ	ಪಾಸ್‌ಪೋರ್ಟ್ ತುಂಬಾ ಮುಖ್ಯ.	പ്രധാനപ്പെട്ട	പാസ്‌പോർട്ട് വളരെ പ്രധാനമാണ്.
周末	ವಾರಾಂತ್ಯ	ವಾರಾಂತ್ಯದಲ್ಲಿ ನನಗೆ ಉದ್ಯಾನಕ್ಕೆ ಹೋಗಬೇಕು.	വാരാന്ത്യം	വാരാന്ത്യത്തിൽ എനിക്ക് പാർക്കിലേക്ക് പോകണം.
主要	ಮುಖ್ಯ; ಪ್ರಧಾನ	ಅವಳ ಮುಖ್ಯ ಹವ್ಯಾಸ ಸಂಗೀತ.	പ്രധാന; മുഖ്യ	അവളുടെ പ്രധാന ഹോബി സംഗീതമാണ്.
注意	ಗಮನ ಕೊಡುವುದು	ದಯವಿಟ್ಟು ಶಿಕ್ಷಕರಿಗೆ ಗಮನ ಕೊಡಿ.	ശ്രദ്ധിക്കുക	ദയവായി അധ്യാപകനെ ശ്രദ്ധിക്കൂ.
自己	ತಾನೇ; ಸ್ವತಃ	ಮನೆಕೆಲಸವನ್ನು ನಾನೇ ಮಾಡಬೇಕು.	സ്വയം; തന്നെ	ഹോംവർക്ക് ഞാൻ തന്നെ ചെയ്യണം.
自行车	ಸೈಕಲ್	ನನ್ನ ಸೈಕಲ್ ಕೆಳಗೆ ಇದೆ.	സൈക്കിൾ	എന്റെ സൈക്കിൾ താഴെയുണ്ട്.
总是	ಯಾವಾಗಲೂ	ಅವನು ಯಾವಾಗಲೂ ಕಚೇರಿಗೆ ಬೇಗ ಬರುತ್ತಾನೆ.	എപ്പോഴും	അവൻ എപ്പോഴും ഓഫീസിൽ നേരത്തെ എത്തുന്നു.
嘴	ಬಾಯಿ	ದಯವಿಟ್ಟು ಬಾಯಿ ತೆರೆಯಿರಿ.	വായ്	ദയവായി വായ തുറക്കൂ.
最后	ಕೊನೆಯ; ಕೊನೆಯಲ್ಲಿ	ಕೊನೆಯಲ್ಲಿ ನಾವು ಎಲ್ಲರೂ ಒಪ್ಪಿದೆವು.	അവസാന; അവസാനം	അവസാനം ഞങ്ങൾ എല്ലാവരും സമ്മതിച്ചു.
