simplified	LV	example_LV
随时	jebkurā laikā	Tu vari man piezvanīt jebkurā laikā.
随手	pa ceļam; pie reizes	Izejot, lūdzu, aizver durvis aiz sevis.
碎	saplīst	Krūze nokrita zemē un saplīsa.
损失	zaudējums	Šis negadījums radīja lielus zaudējumus.
缩短	saīsināt	Jaunais maršruts saīsināja ceļu.
所	klasifikators iestādēm	Šī skola ir ļoti slavena.
锁	aizslēgt	Pirms iešanas ārā, lūdzu, aizslēdz durvis.
台阶	pakāpiens	Vecais cilvēks lēnām uzkāpa pa pakāpieniem.
太极拳	taidzi	Parkā daži cilvēki nodarbojas ar taidzi.
太太	kundze; sieva	Vana kundze gatavo ēdienu.
谈判	sarunas; vest sarunas	Abas puses ved sarunas.
坦率	atklāts	Viņš atklāti izteica savas domas.
烫	karsts	Šī tēja ir ļoti karsta.
桃	persiks	Kokā izauga daudz persiku.
淘气	nerātns	Šis bērns ir mazliet nerātns.
逃	aizbēgt	Kucēns aizbēga no pagalma.
逃避	izvairīties	Nevajag izvairīties no atbildības.
讨价还价	kaulēties	Iepērkoties viņam patīk kaulēties.
套	komplekts	Viņš nopirka jaunu apģērba komplektu.
特色	īpatnība	Šim restorānam ir vietējās īpatnības.
特殊	īpašs	Šodien ir īpaša diena.
特征	pazīme	Šim dzīvniekam ir acīmredzamas pazīmes.
疼爱	ļoti mīlēt	Vecvecāki ļoti mīl bērnu.
提倡	aicināt; veicināt	Skola aicina taupīt ūdeni.
提纲	plāns; uzmetums	Pirms raksta rakstīšanas vispirms izveido plānu.
提问	uzdot jautājumu	Studenti var uzdot jautājumus jebkurā laikā.
题目	jautājums; tēma	Šis jautājums nav īpaši grūts.
体会	izpratne; pieredze	Ceļojot es guvu jaunu izpratni.
体贴	iejūtīgs	Viņš ir ļoti iejūtīgs pret ģimeni.
体现	atspoguļot	Šī lieta atspoguļo komandas garu.
体验	piedzīvot	Es gribu piedzīvot vietējo dzīvi.
天空	debesis	Šodien debesis ir ļoti zilas.
天真	nevainīgs; naivs	Bērna doma ir ļoti nevainīga.
调皮	nerātns	Tas kaķis ir ļoti nerātns.
调整	pielāgot	Mums jāpielāgo plāns.
挑战	izaicinājums	Tas ir liels izaicinājums.
通常	parasti	Parasti viņš ceļas septiņos.
统一	vienot; saskaņot	Visu viedokļi jāsaskaņo.
痛苦	sāpes; ciešanas	Drauga zaudēšana viņu ļoti sāpināja.
痛快	lieliski; no sirds	Šodien mēs tiešām lieliski pavadījām laiku.
偷	zagt	Nezodz citu cilvēku mantas.
投入	ieguldīties; aizrauties	Viņš strādā ar lielu aizrautību.
投资	ieguldījums; ieguldīt	Viņi ieguldīja jaunā projektā.
透明	caurspīdīgs	Šī glāze ir caurspīdīga.
突出	izcils; izteikts	Viņa stiprās puses ir ļoti izteiktas.
土地	zeme	Šis zemes gabals ir ļoti auglīgs.
土豆	kartupelis	Es nopirku dažus kartupeļus.
兔子	trusis	Bērns tur trusi.
吐	vemt	Viņš nejūtas labi un grib vemt.
团	grupa	Mēs pievienojāmies tūristu grupai.
推辞	atteikt	Viņš atteicās no drauga ielūguma.
推广	veicināt; popularizēt	Uzņēmums popularizē jaunu produktu.
推荐	ieteikt	Skolotājs ieteica šo grāmatu.
退	atkāpties	Lūdzu, atkāpies vienu soli atpakaļ.
退步	pasliktināties	Ja nepraktizēsies, līmenis pasliktināsies.
退休	aiziešana pensijā	Viņš nākamgad aizies pensijā.
歪	šķībs	Šī glezna karājas šķībi.
外公	vectēvs no mātes puses	Mans vectēvs no mātes puses šogad ir astoņdesmit gadus vecs.
外交	diplomātija	Viņš studē starptautiskās attiecības un diplomātiju.
完美	perfekts	Šis plāns nav perfekts.
完善	pilnveidot	Mums jāpilnveido pakalpojumu process.
完整	pilnīgs	Lūdzu, iedod man pilnīgu ziņojumu.
玩具	rotaļlieta	Bērns ielika rotaļlietas kastē.
万一	ja nu	Ja nu līs, mēs iesim citā dienā.
王子	princis	Princis stāstā ir ļoti drosmīgs.
往返	turp un atpakaļ	Ar šo biļeti tajā pašā dienā var braukt turp un atpakaļ.
网络	internets; tīkls	Interneta savienojums šeit ir ļoti stabils.
危害	kaitēt	Smēķēšana var kaitēt veselībai.
威胁	apdraudēt	Piesārņojums apdraud upi.
微笑	smaids; smaidīt	Viņa man uzsmaidīja.
唯一	vienīgais	Tas ir vienīgais veids.
围巾	šalle	Ziemā viņš valkā šalli.
围绕	koncentrēties ap	Diskusija koncentrējās ap šo jautājumu.
维修	remonts; remontēt	Lifts pašlaik tiek remontēts.
违反	pārkāpt	Šādi darot, tiek pārkāpti noteikumi.
伟大	dižens	Tas ir dižens atklājums.
委屈	justies aizvainotam	Viņa jutās ļoti aizvainota.
尾巴	aste	Kucēns luncināja asti.
位于	atrasties	Skola atrodas pilsētas centrā.
位置	vieta	Šī vieta ir ļoti klusa.
未必	ne vienmēr	Tas, ko viņš teica, ne vienmēr ir patiesība.
未来	nākotne	Mums jāgatavojas nākotnei.
胃	kuņģis	Man ir neliels diskomforts kuņģī.
胃口	apetīte	Viņam šodien ir laba apetīte.
温暖	silts	Pavasara saule ir silta.
温柔	maigs	Viņa runā ļoti maigi.
文件	dokuments; fails	Lūdzu, atsūti man dokumentu.
文具	kancelejas piederumi	Skolas somā ir daudz kancelejas piederumu.
文明	civilizēts; civilizācija	Stāvēšana rindā ir civilizēta rīcība.
文学	literatūra	Viņai patīk ķīniešu literatūra.
文字	rakstzīmes; teksts	Šīs rakstzīmes ir grūti lasīt.
闻	saost	Es saodu ziedu smaržu.
吻	skūpstīt	Māte noskūpstīja bērnam vaigu.
稳定	stabils	Cenas saglabājas stabilas.
问候	sveicināt	Lūdzu, nodod sveicienus savai ģimenei.
卧室	guļamistaba	Guļamistabā ir liela gulta.
握手	paspiest roku	Satiekoties viņi paspieda viens otram roku.
屋子	istaba	Istabā ir silti.
无奈	bezpalīdzīgs	Viņš bezpalīdzīgi pakratīja galvu.
无数	neskaitāmi	Nakts debesīs ir neskaitāmas zvaigznes.
无所谓	vienalga	Man ir vienalga, ko tu gribi ēst.
武术	cīņas māksla	Viņš kopš bērnības mācās cīņas mākslu.
勿	ne; nedrīkst	Lūdzu, šeit nesmēķējiet.
物理	fizika	Fizikas stunda ir ļoti interesanta.
物质	viela; matērija	Ūdens ir svarīga viela.
雾	migla	No rīta bija bieza migla.
吸取	gūt mācību	Mums jāgūst mācība no šīs reizes.
吸收	uzsūkt	Augi uzsūc ūdeni.
戏剧	drāma; teātris	Viņam patīk skatīties tradicionālo teātri.
系	nodaļa; fakultāte	Viņa studē ķīniešu valodas nodaļā.
系统	sistēma	Šī sistēma darbojas stabili.
细节	detaļa	Lūdzu, pievērs uzmanību šīm detaļām.
瞎	akli	Nemini akli, vispirms apskati materiālus.
下载	lejupielādēt	Es lejupielādēju šo programmatūru.
吓	izbiedēt	Pēkšņā skaņa mani izbiedēja.
夏令营	vasaras nometne	Bērns piedalījās ķīniešu valodas vasaras nometnē.
鲜艳	košs	Šīs kleitas krāsa ir ļoti koša.
显得	izskatīties	Šis apģērbs liek viņam izskatīties ļoti jaunam.
显然	acīmredzami	Acīmredzami, viņš jau zina rezultātu.
显示	rādīt	Ekrāns rāda nepareizu laiku.
县	apriņķis	Šajā apriņķī ir daudz tējas plantāciju.
现代	mūsdienīgs	Mūsdienu dzīve nav iedomājama bez interneta.
现实	realitāte	Mums jāstājas pretī realitātei.
现象	parādība	Šī parādība ir ļoti izplatīta.
限制	ierobežot	Šeit ir ierobežota transportlīdzekļu iebraukšana.
相处	saprasties	Viņi ļoti labi saprotas.
相当	diezgan	Šī grāmata ir diezgan interesanta.
相对	salīdzinoši	Cenas šeit ir salīdzinoši zemas.
相关	saistīts	Lūdzu, iesniedz saistītos materiālus.
相似	līdzīgs	Šo divu rakstzīmju nozīmes ir ļoti līdzīgas.
香肠	desa	Brokastīs ir olas un desa.
享受	baudīt	Viņi bauda atvaļinājumu.
想念	ilgoties	Man ļoti pietrūkst ģimenes.
想象	iztēloties	Es nevaru iztēloties tādu dzīvi.
象棋	ķīniešu šahs	Vectēvam patīk spēlēt ķīniešu šahu.
象征	simbolizēt	Baltā krāsa bieži simbolizē tīrību.
项	punkts; klasifikators	Šis uzdevums ir ļoti svarīgs.
项链	kaklarota	Viņa valkā sudraba kaklarotu.
项目	projekts	Šim projektam vajadzīgi trīs mēneši.
消费	patēriņš	Svētku laikā patēriņš pieauga.
消化	gremošana; sagremot	Pastaiga pēc ēšanas palīdz gremošanai.
消极	negatīvs	Neskaties uz problēmām ar negatīvu attieksmi.
消失	pazust	Saule lēnām pazuda aiz kalniem.
销售	pārdot; pārdošana	Šis uzņēmums pārdod elektroniskos produktus.
小麦	kvieši	Ziemeļos audzē daudz kviešu.
小气	skops	Neesi tik skops.
孝顺	gādīgs pret vecākiem	Viņš ir ļoti gādīgs pret vecākiem.
效率	efektivitāte	Šādi darot, var uzlabot efektivitāti.
歇	atpūsties	Vispirms mazliet atpūtīsimies.
斜	slīps	Šis ceļš ir mazliet slīps.
写作	rakstīšana	Rakstīšanai vajadzīga ilgstoša prakse.
心理	psiholoģisks	Pirms eksāmena jāpielāgo psiholoģiskais stāvoklis.
心脏	sirds	Sirds veselība ir ļoti svarīga.
欣赏	apbrīnot	Mēs apbrīnojām skaisto ainavu.
信号	signāls	Mobilā tālruņa signāls šeit ir slikts.
信任	uzticēšanās	Draugu starpā vajadzīga uzticēšanās.
形成	veidoties	Labiem ieradumiem jāveidojas pakāpeniski.
形容	aprakstīt	Es nezinu, kā aprakstīt šo sajūtu.
形势	situācija	Pašreizējā situācija ir samērā sarežģīta.
形式	forma	Sanāksme var notikt tiešsaistes formā.
形象	tēls	Viņa publiskais tēls ir labs.
形状	forma	Šīs kastes forma ir ļoti īpaša.
行动	rīkoties; darbība	Mums nekavējoties jārīkojas.
行人	gājējs	Šķērsojot ceļu, jāpievērš uzmanība gājējiem.
行为	uzvedība	Šāda uzvedība nav pieklājīga.
幸亏	par laimi	Par laimi, tu man atgādināji.
幸运	veiksmīgs	Viņš veiksmīgi atrada darbu.
性质	raksturs; būtība	Šīs problēmas raksturs ir ļoti nopietns.
兄弟	brāļi	Abiem brāļiem ir labas attiecības.
胸	krūtis	Viņš jūt nelielu spiedienu krūtīs.
休闲	atpūta	Nedēļas nogale ir labs laiks atpūtai.
修改	labot	Lūdzu, izlabo šo rakstu.
虚心	atvērts padomiem	Mums jābūt atvērtiem padomiem.
叙述	izklāstīt	Viņš skaidri izklāstīja notikušo.
宣布	paziņot	Skola paziņoja jaunos noteikumus.
宣传	popularizēt	Viņi popularizē zināšanas par vides aizsardzību.
学历	izglītības līmenis	Šim darbam nepieciešama bakalaura izglītība.
学术	akadēmisks	Šajā sanāksmē tiek apspriesti akadēmiski jautājumi.
学问	zināšanas	Viņš ir ļoti zinošs.
血	asinis	Viņa rokai mazliet tecēja asinis.
寻找	meklēt	Mēs meklējam jaunu metodi.
询问	jautāt	Viņš jautāja skolotājam par eksāmena laiku.
训练	treniņš; trenēties	Sportists trenējas katru dienu.
迅速	ātrs	Ziņa ātri izplatījās.
押金	drošības nauda	Īrējot dzīvokli, jāmaksā drošības nauda.
牙齿	zobi	Lūdzu, katru dienu rūpējies par zobiem.
严肃	nopietns	Skolotāja sejas izteiksme bija ļoti nopietna.
延长	pagarināt	Sanāksme tika pagarināta par pusstundu.
演讲	runa	Viņš gatavo rītdienas runu.
宴会	bankets	Viņi piedalījās banketā.
阳台	balkons	Uz balkona stāv vairāki puķu podi.
痒	niezēt	Man mazliet niez roka.
样式	stils	Šis stils ir ļoti populārs.
腰	jostasvieta; muguras lejasdaļa	Ilgi sēžot, var sāpēt muguras lejasdaļa.
摇	šūpot	Vējš šūpoja zarus šurpu turpu.
咬	kost	Šis suns nekož cilvēkiem.
要不	varbūt	Varbūt iesim atkal rīt?
业务	uzņēmējdarbība; darbs	Uzņēmuma darbības apjoms arvien pieaug.
业余	brīvajā laikā	Brīvajā laikā viņš mācās fotografēšanu.
夜	nakts	Naktī uz ielas ir ļoti kluss.
依然	joprojām	Viņš joprojām dzīvo Pekinā.
一辈子	visu mūžu	Viņa visu mūžu mīlēja mūziku.
一旦	tiklīdz	Tiklīdz esi izlēmis, pie tā jāturas.
一律	visi bez izņēmuma	Sanāksmes laikā visiem bez izņēmuma jāizslēdz tālruņi.
一再	atkārtoti	Viņš atkārtoti atgādināja mums pievērst uzmanību drošībai.
一致	vienprātīgs	Visu viedokļi pilnībā sakrita.
疑问	jautājums	Man ir jautājums par šo atbildi.
移动	pārvietot	Lūdzu, mazliet pārvieto galdu.
移民	emigrēt	Viņi plāno emigrēt uz ārzemēm.
遗憾	nožēlot	Es nožēloju, ka nevarēju tevi satikt.
乙	otrā puse; B puse	Līgumā B puse ir atbildīga par maksājumu.
以及	kā arī	Es nopirku grāmatas, kā arī kancelejas piederumus.
以来	kopš	Kopš absolvēšanas viņš visu laiku strādā Pekinā.
义务	pienākums	Vides aizsardzība ir katra cilvēka pienākums.
亿	simts miljoni	Šajā valstī ir vairāk nekā miljards iedzīvotāju.
意外	negaidīts; negadījums	Šoreiz kavēšanās bija pilnīgi negaidīta.
意义	nozīme	Šim pasākumam ir liela nozīme.
议论	apspriest	Visi apspriež šo lietu.
因而	tāpēc	Viņš cītīgi mācās, tāpēc viņam ir labas sekmes.
因素	faktors	Laikapstākļi ir svarīgs faktors.
银	sudrabs	Viņa valkā sudraba aproci.
印刷	druka	Šī grāmata ir ļoti skaidri nodrukāta.
英俊	izskatīgs	Viņš ir ļoti izskatīgs.
英雄	varonis	Ugunsdzēsēji ir īsti varoņi.
营养	uzturs	Brokastīm jābūt pietiekami barojošām.
营业	strādāt; būt atvērtam	Šis veikals sāk darbu pulksten deviņos.
迎接	sagaidīt	Mēs devāmies uz lidostu sagaidīt viesus.
影子	ēna	Zem ielas laternas redzama viņa ēna.
应付	tikt galā	Viņš var tikt galā ar šo problēmu.
应用	lietot; pielietot	Šo metodi var pielietot mācīšanā.
硬	ciets	Šis krēsls ir pārāk ciets.
硬件	aparatūra	Šim datoram ir laba aparatūra.
拥抱	apskaut	Bērns pieskrēja un apskāva mammu.
拥挤	pārpildīts	Rīta sastrēgumstundā metro ir ļoti pārpildīts.
勇气	drosme	Viņam bija drosme atzīt kļūdu.
用功	cītīgs	Viņa mācās ļoti cītīgi.
用途	lietojums	Šim materiālam ir plašs lietojums.
优惠	atlaide	Šajā veikalā šodien ir atlaide.
优美	skaists	Apkārtne šeit ir ļoti skaista.
优势	priekšrocība	Viņa priekšrocība ir bagāta pieredze.
悠久	sens; ilgstošs	Ķīnai ir sena vēsture.
油炸	cept eļļā	Es reti ēdu eļļā ceptus ēdienus.
游览	apskatīt	Mēs rīt apskatīsim Aizliegto pilsētu.
犹豫	šaubīties	Viņš kādu brīdi šaubījās un tikai tad atbildēja.
有利	izdevīgs	Šis nosacījums mums ir izdevīgs.
幼儿园	bērnudārzs	Bērns nākamgad ies bērnudārzā.
娱乐	izklaide	Filmu skatīšanās ir izklaides veids.
与其	labāk nekā	Labāk rīkoties, nekā sūdzēties.
语气	balss tonis	Viņa balss tonis bija ļoti maigs.
玉米	kukurūza	Vakariņās ir kukurūzas zupa.
预报	prognoze	Laika prognoze saka, ka rīt līs.
预订	rezervēt	Es jau rezervēju viesnīcu.
预防	novērst	Bieža roku mazgāšana var palīdzēt novērst saaukstēšanos.
元旦	Jaungada diena	Jaungada dienā mums ir viena brīvdiena.
原料	izejviela	Maizes galvenā izejviela ir milti.
原则	princips	Cilvēkam jābūt principiem.
员工	darbinieks	Uzņēmumā ir trīs simti darbinieku.
圆	apaļš	Mēness ir liels un apaļš.
愿望	vēlēšanās	Viņa vēlēšanās ir apceļot pasauli.
乐器	mūzikas instruments	Viņa prot spēlēt vairākus mūzikas instrumentus.
晕	reibt	Kuģī man mazliet reibst galva.
运气	veiksme	Šodien man veicas.
运输	transports	Šīm precēm vajadzīgs dzelzceļa transports.
运用	izmantot	Lūdzu, elastīgi izmanto šos vārdus.
灾害	katastrofa	Plūdi ir dabas katastrofa.
再三	atkārtoti	Skolotājs atkārtoti atgādināja mums atkārtot vielu.
在乎	rūpēt; būt svarīgam	Viņam ļoti rūp draugu viedoklis.
在于	būt atkarīgam no	Panākumi ir atkarīgi no neatlaidības.
赞成	piekrist	Es piekrītu tavam priekšlikumam.
赞美	slavas vārdi; slavēt	Visi slavēja viņas drosmi.
糟糕	briesmīgs	Šodien laikapstākļi ir patiešām briesmīgi.
造成	izraisīt	Spēcīgais lietus izraisīja satiksmes sastrēgumu.
则	tad	Ja centīsies, tad būs progress.
责备	vainot	Skolotājs viņu nevainoja.
摘	plūkt	Viņa dārzā noplūca puķi.
窄	šaurs	Šis ceļš ir pārāk šaurs.
粘贴	pielīmēt	Lūdzu, pielīmē fotogrāfiju šeit.
展开	sākties	Diskusija ātri sākās.
展览	izstāde	Muzejā ir jauna izstāde.
占	aizņemt	Šis galds aizņem vietu.
战争	karš	Karš nes cilvēkiem ciešanas.
掌握	apgūt	Viņš jau ir apguvis pamata gramatiku.
涨	celties	Nesen īres maksa atkal cēlās.
长辈	vecākie ģimenes locekļi	Jaunajā gadā jāapsveic vecākie ģimenes locekļi.
账户	konts	Lūdzu, pārbaudi savu bankas kontu.
招待	uzņemt	Saimnieks sirsnīgi uzņēma viesus.
着火	aizdegties	Virtuve pēkšņi aizdegās.
着凉	saaukstēties	Ir auksts, nesaaukstējies.
召开	sasaukt	Skola rīt sasauks sanāksmi.
照常	kā parasti	Veikals rīt strādās kā parasti.
哲学	filozofija	Universitātē viņš studēja filozofiju.
珍惜	novērtēt	Mums jānovērtē laiks.
真实	patiess	Šis stāsts ir patiess.
针对	vērsts uz	Šis ieteikums ir vērsts uz jaunajiem studentiem.
诊断	diagnoze	Ārsts ātri noteica diagnozi.
振动	vibrācija	Tālrunis vibrē uz galda.
阵	īsa brāzma	Ārā uznāca īsa lietusgāze.
争论	strīdēties; diskutēt	Viņi ilgi strīdējās par šo jautājumu.
争取	censties iegūt	Mums jācenšas iegūt vairāk iespēju.
征求	lūgt viedokli	Skolotājs lūdza visiem izteikt viedokli.
挣	izrauties	Putniņš izrāvās no auklas.
睁	atvērt acis	Lūdzu, atver acis mazliet platāk.
整个	viss; vesels	Visa pilsēta ir ļoti klusa.
整齐	kārtīgs	Grāmatas ir sakārtotas ļoti kārtīgi.
整体	kopējais	Mums jāņem vērā kopējais efekts.
政府	valdība	Valdība izdeva jaunu paziņojumu.
政治	politika	Viņu ļoti interesē politika.
正	pareizs	Šī atbilde ir pareiza.
证件	personu apliecinošs dokuments	Lūdzu, uzrādi savu personu apliecinošo dokumentu.
证据	pierādījums	Policija atrada jaunus pierādījumus.
支	klasifikators gariem priekšmetiem	Uz galda ir viena pildspalva.
支票	čeks	Viņš samaksāja ar čeku.
执照	atļauja; licence	Auto vadīšanai vajadzīga vadītāja apliecība.
直	taisni	Ej pa šo ceļu taisni uz priekšu.
指导	vadīt; konsultēt	Skolotājs mūs vadīja darba rakstīšanā.
指挥	vadīt; komandēt	Viņš ir atbildīgs par šīs darbības vadīšanu.
制定	izstrādāt	Uzņēmums izstrādāja jaunu plānu.
制度	sistēma	Skolā ir stingra sistēma.
制造	ražot	Šī rūpnīca ražo mašīnas.
制作	gatavot	Viņa gatavo dzimšanas dienas kūku.
志愿者	brīvprātīgais	Daudzi brīvprātīgie piedalījās pasākumā.
智慧	gudrība	Šim vecajam cilvēkam ir liela gudrība.
治疗	ārstēt	Ārsts ārstē pacientu.
秩序	kārtība	Lūdzu, uzturiet kārtību.
至今	līdz šim	Šī problēma līdz šim nav atrisināta.
至于	kas attiecas uz	Kas attiecas uz izmaksām, par tām runāsim rīt.
中介	starpnieks	Viņš noīrēja dzīvokli caur starpnieku.
中心	centrs	Slimnīca atrodas pilsētas centrā.
中旬	mēneša vidus	Sanāksme paredzēta maija vidū.
种类	veids	Šeit ir daudz augļu veidu.
重大	nozīmīgs	Tas ir nozīmīgs lēmums.
重量	svars	Cik liels ir šīs kastes svars?
周到	uzmanīgs; pārdomāts	Viņa apkalpošana ir ļoti uzmanīga.
猪	cūka	Fermā audzē daudz cūku.
竹子	bambuss	Pandām patīk ēst bambusu.
逐步	soli pa solim	Plāns tiks īstenots soli pa solim.
逐渐	pakāpeniski	Laiks pakāpeniski kļuva aukstāks.
主持	vadīt	Viņa vada šodienas sanāksmi.
主动	uzņemties iniciatīvu	Viņš pats uzņēmās iniciatīvu palīdzēt klasesbiedram.
主观	subjektīvs	Šis vērtējums ir mazliet subjektīvs.
主人	saimnieks; namatēvs	Saimnieks mūs sirsnīgi sagaidīja.
主任	direktors; vadītājs	Vadītājs pašlaik ir birojā.
主题	tēma	Šodienas diskusijas tēma ir vides aizsardzība.
主席	priekšsēdētājs	Priekšsēdētājs paziņoja sanāksmes sākumu.
主张	uzskatīt; aizstāvēt	Viņš uzskata, ka vispirms jāatrisina satiksmes problēma.
煮	vārīt	Mamma vāra nūdeles.
注册	reģistrēties	Jaunajiem lietotājiem vispirms jāreģistrējas.
祝福	novēlējumi	Draugi atsūtīja novēlējumus.
抓	satvert	Bērns satvēra mammas roku.
抓紧	izmantot lietderīgi	Mums jāizmanto laiks lietderīgi.
专家	eksperts	Eksperts izteica priekšlikumus.
专心	koncentrēties	Stundā uzmanīgi jāklausās.
转变	pārmaiņa	Viņa attieksmē notika pārmaiņa.
转告	nodot ziņu	Lūdzu, nodod viņam ziņu, ka rīt ir sanāksme.
装	ielikt	Lūdzu, ieliec grāmatas somā.
装饰	rotāt	Viņi izrotāja istabu ar ziediem.
装修	remontēt	Jaunajā mājā pašlaik notiek remonts.
撞	saskrieties	Krustojumā saskrējās divas automašīnas.
状况	stāvoklis	Pašreizējais stāvoklis ir samērā stabils.
状态	stāvoklis	Viņš šodien ir labā stāvoklī.
追	dzīties pakaļ	Bērns aizmugurē dzenas pakaļ kucēnam.
追求	tiekties pēc	Viņš vienmēr ir tiecies pēc sava sapņa.
咨询	konsultēties	Tu vari konsultēties ar profesionālu ārstu.
姿势	stāja	Lūdzu, saglabā pareizu stāju.
资格	kvalifikācija	Viņam ir tiesības piedalīties sacensībās.
资金	finansējums	Projektam vajadzīgs lielāks finansējums.
资料	materiāli	Lūdzu, atsūti man materiālus.
资源	resursi	Ūdens ir svarīgs dabas resurss.
紫	violets	Viņai patīk violetā krāsa.
字母	burts	Angļu valodā ir divdesmit seši burti.
字幕	subtitri	Šai filmai ir subtitri ķīniešu valodā.
自从	kopš	Kopš absolvēšanas viņš reti atgriežas.
自动	automātisks	Šīs durvis atveras automātiski.
自豪	lepnums	Es lepojos ar savu progresu.
自觉	apzināti; pēc paša iniciatīvas	Viņš pēc paša iniciatīvas izpildīja mājasdarbu.
自私	savtīgs	Cilvēkam nevajadzētu būt pārāk savtīgam.
自由	brīvība	Katrs cilvēks augstu vērtē brīvību.
自愿	brīvprātīgi	Viņi brīvprātīgi piedalījās pasākumā.
综合	vispusīgi apkopot	Mums vispusīgi jāapsver dažādi faktori.
总裁	ģenerāldirektors	Ģenerāldirektors šodien teica runu.
总共	kopā	Šis ceļojums kopā izmaksāja trīs tūkstošus juaņu.
总理	premjerministrs	Premjerministrs piedalījās sanāksmē.
总算	beidzot	Problēma beidzot tika atrisināta.
总统	prezidents	Prezidents teica televīzijas uzrunu.
总之	īsumā	Īsumā, mums jāpabeidz laikā.
组	grupa	Skolotājs mūs sadalīja trīs grupās.
组成	sastāvēt	Ūdens sastāv no ūdeņraža un skābekļa.
组合	kombinācija	Šī krāsu kombinācija izskatās labi.
组织	organizēt	Skola organizēja ekskursiju.
阻止	apturēt	Policija apturēja bīstamo rīcību.
最初	sākumā	Sākumā es ne visai sapratu.
醉	piedzēries	Viņš izdzēra par daudz un ir mazliet piedzēries.
尊敬	cienīt	Visi skolēni ļoti ciena skolotāju.
遵守	ievērot	Mums jāievēro satiksmes noteikumi.
作品	darbs	Šī glezna ir viņa darbs.
作为	kā	Kā skolotājs viņš ir ļoti pacietīgs.
作文	sacerējums	Skolotājs lika mums uzrakstīt sacerējumu.
