simplified	UZ	example_UZ
始终	doimo	U doimo muvaffaqiyatga erishishiga ishongan.
事实	fakt	Faktlar uning haq ekanini isbotladi.
事物	narsa	Bolalar yangi narsalarga juda qiziquvchan.
事先	oldindan	Iltimos, vaqtni menga oldindan ayting.
似的	go'yo	U shunchalik charchagandek ediki, bir og'iz ham gapirgisi kelmadi.
士兵	askar	Askarlar mashq qilmoqda.
市场	bozor	Bu bozor juda gavjum.
试卷	imtihon varaqasi	O'qituvchi imtihon varaqalarini tekshiryapti.
收获	foyda	Bu sayohatdan ko'p foyda oldim.
收据	chek	To'lovdan keyin chekni saqlab qo'ying.
手工	qo'l ishi	Bu sovg'a qo'l ishi.
手术	operatsiya	Shifokor ertaga unga operatsiya qiladi.
手套	qo'lqop	Qishda tashqariga chiqayotganda qo'lqop kiyish kerak.
手续	rasmiyatchilik	Rasmiyatchilikni bajarish uchun shaxsiy guvohnoma kerak.
手指	barmoq	Uning barmog'i jarohatlangan.
首	dona	U bir dona qo'shiq kuyladi.
受伤	jarohatlanmoq	U musobaqada jarohatlandi.
寿命	xizmat muddati	Bu turdagi mashinaning xizmat muddati uzun.
书架	kitob javoni	Kitob javoni kitoblarga to'la.
梳子	taroq	U taroq bilan sochini taraydi.
舒适	qulay	Bu xona juda qulay.
蔬菜	sabzavot	Ko'proq sabzavot yeyish sog'liq uchun yaxshi.
输入	kiritmoq	Iltimos, parolni kompyuterga kiriting.
熟练	mohir	U kompyuterdan mohirona foydalana oladi.
属于	tegishli	Bu kitob kutubxonaga tegishli.
数	sanamoq	Iltimos, nechta odam borligini sanang.
鼠标	sichqoncha	Mening kompyuter sichqoncham buzildi.
数据	ma'lumot	Bu ma'lumotlar juda muhim.
数码	raqamli	U raqamli kamera sotib oldi.
摔倒	yiqilib tushmoq	U yo'lda yiqilib tushdi.
甩	silkimoq	U qo'lidagi suvni silkib tashladi.
双方	ikki tomon	Ikki tomon ham bu rejaga rozi bo'ldi.
税	soliq	Narsa sotib olayotganda soliq to'lash kerak.
说不定	balki	Balki ertaga qor yog'ar.
说服	ko'ndirmoq	U nihoyat ota-onasini ko'ndirdi.
丝绸	ipak	Bu sharf ipakdan qilingan.
丝毫	zarracha	U zarracha ham fikrini o'zgartirmadi.
思考	o'ylab ko'rmoq	Iltimos, bu muammo haqida jiddiy o'ylab ko'ring.
思想	fikr	Uning fikri juda ochiq.
撕	yirtmoq	Iltimos, bu qog'ozni yirtmang.
私人	shaxsiy	Bu mening shaxsiy joyim.
似乎	go'yo	U uncha xursand emasga o'xshaydi.
搜索	qidirmoq	Men internetda material qidirdim.
宿舍	yotoqxona	Talabalar maktab yotoqxonasida yashaydi.
随身	yonida olib yurmoq	Iltimos, pasportingizni yoningizda olib yuring.
随时	istalgan vaqtda	Siz menga istalgan vaqtda telefon qilishingiz mumkin.
随手	ketayotganda	Chiqayotganda eshikni yopib keting.
碎	sinmoq	Stakan yerga tushib sindi.
损失	zarar	Bu hodisa katta zarar keltirdi.
缩短	qisqartirmoq	Yangi yo'nalish masofani qisqartirdi.
所	dona	Bu maktab juda mashhur.
锁	qulflamoq	Ko'chaga chiqishdan oldin eshikni qulflang.
台阶	zina	Keksa odam zinadan sekin ko'tarildi.
太极拳	tayji bog'lamasi	Parkda odamlar tayji bilan shug'ullanmoqda.
太太	xonim	Van xonim ovqat pishiryapti.
谈判	muzokara	Ikki tomon muzokara olib bormoqda.
坦率	ochiqchasiga	U fikrini ochiqchasiga aytdi.
烫	juda issiq	Bu piyola choy juda issiq.
桃	shaftoli	Daraxtda ko'p shaftoli tugdi.
淘气	sho'x	Bu bola biroz sho'x.
逃	qochmoq	Kuchuk hovlidan qochib chiqdi.
逃避	qochish	Mas'uliyatdan qochmang.
讨价还价	savdolashmoq	U narsa sotib olayotganda savdolashishni yaxshi ko'radi.
套	to'plam	U yangi kiyim to'plami sotib oldi.
特色	o'ziga xoslik	Bu restoranda mahalliy o'ziga xoslik bor.
特殊	alohida	Bugun alohida kun.
特征	belgi	Bu hayvonning yaqqol belgisi bor.
疼爱	juda yaxshi ko'rmoq	Bobo-buvi bolani juda yaxshi ko'radi.
提倡	targ'ib qilmoq	Maktab suvni tejashni targ'ib qiladi.
提纲	reja	Maqola yozishdan oldin avval reja tuzing.
提问	savol bermoq	Talabalar istalgan vaqtda savol berishi mumkin.
题目	savol	Bu savol uncha qiyin emas.
体会	anglash	Sayohat orqali yangi anglashga ega bo'ldim.
体贴	e'tiborli	U oilasiga juda e'tiborli.
体现	aks ettirmoq	Bu ish jamoa ruhini aks ettiradi.
体验	tajriba qilmoq	Men mahalliy hayotni tajriba qilib ko'rmoqchiman.
天空	osmon	Bugun osmon juda moviy.
天真	sodda	Bolaning fikri juda sodda.
调皮	sho'x	Anavi mushuk juda sho'x.
调整	moslashtirmoq	Biz rejani moslashtirishimiz kerak.
挑战	qiyinchilik	Bu juda katta qiyinchilik.
通常	odatda	U odatda soat yettida turadi.
统一	birlashtirmoq	Hammaning fikrini birlashtirish kerak.
痛苦	azob	Do'stini yo'qotish unga katta azob berdi.
痛快	mazza qilib	Bugun juda mazza qilib o'ynadik.
偷	o'g'irlamoq	Boshqalarning narsasini o'g'irlamang.
投入	berilib	U ishga juda berilib ishlaydi.
投资	sarmoya kiritmoq	Ular yangi loyihaga sarmoya kiritdi.
透明	shaffof	Bu stakan shaffof.
突出	ajralib turadigan	Uning yaxshi tomonlari juda ajralib turadi.
土地	yer	Bu yer juda unumdor.
土豆	kartoshka	Men bir necha dona kartoshka sotib oldim.
兔子	quyon	Bola bir quyon boqadi.
吐	qusmoq	U o'zini yomon his qilyapti va qusgisi kelyapti.
团	guruh	Biz sayohat guruhiga qo'shildik.
推辞	rad etmoq	U do'stining taklifini rad etdi.
推广	targ'ib qilmoq	Kompaniya yangi mahsulotni targ'ib qilmoqda.
推荐	tavsiya qilmoq	O'qituvchi bu kitobni tavsiya qildi.
退	orqaga chekinmoq	Iltimos, bir qadam orqaga chekining.
退步	pasaymoq	Mashq qilmasangiz, darajangiz pasayadi.
退休	nafaqaga chiqmoq	U kelasi yili nafaqaga chiqadi.
歪	qiyshiq	Bu rasm qiyshiq osilgan.
外公	ona tomondan bobo	Ona tomondan bobom bu yil sakson yoshda.
外交	diplomatiya	U xalqaro munosabatlar va diplomatiyani o'rganadi.
完美	mukammal	Bu reja mukammal emas.
完善	takomillashtirmoq	Biz xizmat jarayonini takomillashtirishimiz kerak.
完整	to'liq	Iltimos, menga to'liq hisobot bering.
玩具	o'yinchoq	Bola o'yinchoqlarni qutiga soldi.
万一	mabodo	Mabodo yomg'ir yog'sa, boshqa kuni boramiz.
王子	shahzoda	Hikoyadagi shahzoda juda jasur.
往返	borib-kelish	Bu chipta o'sha kuni borib-kelishga yaraydi.
网络	tarmoq aloqasi	Bu yerda tarmoq aloqasi juda barqaror.
危害	zarar yetkazmoq	Chekish sog'liqqa zarar yetkazadi.
威胁	tahdid qilmoq	Ifloslanish daryoga tahdid qilmoqda.
微笑	jilmaymoq	U menga jilmayib qo'ydi.
唯一	yagona	Bu yagona yo'l.
围巾	sharf	Qishda u sharf taqadi.
围绕	atrofida	Muhokama bu masala atrofida davom etdi.
维修	ta'mirlamoq	Lift ta'mirlanmoqda.
违反	buzmoq	Bunday qilish qoidani buzadi.
伟大	buyuk	Bu buyuk kashfiyot.
委屈	haqoratlangan his qilmoq	U o'zini juda nohaq ranjitilgandek his qildi.
尾巴	dum	Kuchuk dumini likillatdi.
位于	joylashgan	Maktab shahar markazida joylashgan.
位置	joy	Bu joy juda tinch.
未必	albatta emas	U aytgan gap albatta rost emas.
未来	kelajak	Biz kelajak uchun tayyorgarlik ko'rishimiz kerak.
胃	oshqozon	Oshqozonim biroz noqulay.
胃口	ishtaha	Bugun uning ishtahasi yaxshi.
温暖	iliq	Bahor quyoshi juda iliq.
温柔	muloyim	U juda muloyim gapiradi.
文件	hujjat	Iltimos, hujjatni menga yuboring.
文具	o'quv qurollari	Sumkada ko'p o'quv qurollari bor.
文明	madaniyatli	Navbatda turish madaniyatli xatti-harakatdir.
文学	adabiyot	U Xitoy adabiyotini yaxshi ko'radi.
文字	yozuv	Bu yozuvlarni o'qish qiyin.
闻	hidlamoq	Men gul hidini sezdim.
吻	o'pmoq	Ona bolaning yuzidan o'pdi.
稳定	barqaror	Narxlar barqaror turibdi.
问候	salom yo'llamoq	Iltimos, oilangizga mendan salom yo'llang.
卧室	yotoqxona	Yotoqxonada katta karavot bor.
握手	qo'l siqishmoq	Ular uchrashganda qo'l siqishdi.
屋子	xona	Xona ichi iliq.
无奈	noiloj	U noiloj boshini chayqadi.
无数	son-sanoqsiz	Tungi osmonda son-sanoqsiz yulduz bor.
无所谓	farqi yo'q	Nima yeyishni xohlasangiz ham farqi yo'q.
武术	jang san'ati	U bolaligidan jang san'atini o'rgangan.
勿	man etiladi	Iltimos, bu yerda chekish man etiladi.
物理	fizika	Fizika darsi juda qiziq.
物质	modda	Suv muhim modda.
雾	tuman	Ertalab qalin tuman bor edi.
吸取	saboq olmoq	Biz bu voqeadan saboq olishimiz kerak.
吸收	singdirmoq	O'simliklar suvni singdiradi.
戏剧	drama	U an'anaviy dramalarni ko'rishni yaxshi ko'radi.
系	fakultet	U xitoy tili fakultetida o'qiydi.
系统	tizim	Bu tizim barqaror ishlaydi.
细节	tafsilot	Iltimos, bu tafsilotlarga e'tibor bering.
瞎	ko'r-ko'rona	Ko'r-ko'rona taxmin qilmang, avval materiallarni ko'ring.
下载	yuklab olmoq	Men bu dasturiy ta'minotni yuklab oldim.
吓	cho'chitmoq	To'satdan chiqqan ovoz meni cho'chitib yubordi.
夏令营	yozgi lager	Bola xitoy tili yozgi lagerida qatnashdi.
鲜艳	yorqin	Bu yubkaning rangi juda yorqin.
显得	ko'rsatmoq	Bu kiyim uni juda yosh ko'rsatadi.
显然	aniq	Anig'i, u natijani allaqachon biladi.
显示	ko'rsatmoq	Ekran vaqtni noto'g'ri ko'rsatmoqda.
县	uyezd	Bu uyezdda ko'p choy bog'lari bor.
现代	zamonaviy	Zamonaviy hayotni internetsiz tasavvur qilib bo'lmaydi.
现实	haqiqat	Biz haqiqatga yuz tutishimiz kerak.
现象	hodisa	Bu hodisa juda keng tarqalgan.
限制	cheklamoq	Bu yerda transport kirishi cheklangan.
相处	murosa qilmoq	Ular bir-biri bilan juda yaxshi murosa qiladi.
相当	ancha	Bu kitob ancha qiziqarli.
相对	nisbatan	Bu yerda narxlar nisbatan arzon.
相关	tegishli	Iltimos, tegishli materiallarni taqdim eting.
相似	o'xshash	Bu ikki belgining ma'nosi juda o'xshash.
香肠	kolbasa	Nonushtada tuxum va kolbasa bor.
享受	rohatlanmoq	Ular ta'tildan rohatlanmoqda.
想念	sog'inmoq	Men oilamni juda sog'indim.
想象	tasavvur qilmoq	Men bunday hayotni tasavvur qila olmayman.
象棋	xitoy shaxmati	Bobom xitoy shaxmati o'ynashni yaxshi ko'radi.
象征	ramzlamoq	Oq rang ko'pincha poklikni ramzlaydi.
项	band	Bu vazifa juda muhim.
项链	marjon	U kumush marjon taqqan.
项目	loyiha	Bu loyiha uch oy talab qiladi.
消费	iste'mol qilmoq	Bayram davrida iste'mol oshdi.
消化	hazm qilish	Ovqatdan keyin sayr qilish hazm qilishga yordam beradi.
消极	salbiy	Muammoga salbiy munosabat bilan qaramang.
消失	g'oyib bo'lmoq	Quyosh tog' ortida sekin g'oyib bo'ldi.
销售	sotmoq	Bu kompaniya elektron mahsulotlar sotadi.
小麦	bug'doy	Shimolda ko'p bug'doy ekilgan.
小气	xasis	Bunchalik xasis bo'lmang.
孝顺	ota-onaga hurmatli	U ota-onasiga juda hurmatli.
效率	samaradorlik	Bunday qilish samaradorlikni oshiradi.
歇	dam olmoq	Avval biroz dam olaylik.
斜	qiya	Bu yo'l biroz qiya.
写作	yozish	Yozish uzoq muddatli mashq talab qiladi.
心理	ruhiy	Imtihondan oldin ruhiy holatni moslashtirish kerak.
心脏	yurak	Yurak salomatligi juda muhim.
欣赏	zavqlanmoq	Biz go'zal manzaradan zavqlandik.
信号	signal	Bu yerda telefon signali yomon.
信任	ishonch	Do'stlar orasida ishonch kerak.
形成	shakllanmoq	Yaxshi odatlar asta-sekin shakllanadi.
形容	tasvirlamoq	Bu tuyg'uni qanday tasvirlashni bilmayman.
形势	vaziyat	Hozirgi vaziyat nisbatan murakkab.
形式	shakl	Yig'ilish onlayn shaklda o'tkazilishi mumkin.
形象	obraz	Uning jamoatchilikdagi obrazi yaxshi.
形状	shakl	Bu qutining shakli juda alohida.
行动	harakat	Biz darhol harakat qilishimiz kerak.
行人	piyoda	Yo'lni kesib o'tayotganda piyodalarga e'tibor bering.
行为	xatti-harakat	Bunday xatti-harakat odobsizlik.
幸亏	yaxshiyam	Yaxshiyam, siz menga eslatdingiz.
幸运	omadli	U ish topishda omadli bo'ldi.
性质	xususiyat	Bu muammoning xususiyati juda jiddiy.
兄弟	aka-uka	U ikki aka-ukaning munosabati yaxshi.
胸	ko'krak	U ko'kragida biroz siqilish sezmoqda.
休闲	hordiq	Dam olish kunlari hordiq uchun yaxshi vaqt.
修改	tahrirlamoq	Iltimos, bu maqolani tahrirlang.
虚心	kamtarin	Biz fikrlarni kamtarinlik bilan tinglashimiz kerak.
叙述	hikoya qilmoq	U voqeani aniq hikoya qildi.
宣布	e'lon qilmoq	Maktab yangi qoidalarni e'lon qildi.
宣传	targ'ib qilmoq	Ular ekologik bilimlarni targ'ib qilmoqda.
学历	ta'lim darajasi	Bu ish bakalavr ta'lim darajasini talab qiladi.
学术	ilmiy	Bu yig'ilishda ilmiy masalalar muhokama qilinadi.
学问	bilim	U juda bilimli.
血	qon	Uning qo'lidan biroz qon chiqdi.
寻找	izlamoq	Biz yangi usul izlayapmiz.
询问	so'ramoq	U o'qituvchidan imtihon vaqtini so'radi.
训练	mashq qilmoq	Sportchi har kuni mashq qiladi.
迅速	tez	Xabar tez tarqaldi.
押金	garov puli	Uy ijaraga olish uchun garov puli to'lash kerak.
牙齿	tish	Iltimos, har kuni tishlaringizni yaxshi asrang.
严肃	jiddiy	O'qituvchining chehrasi juda jiddiy.
延长	uzaytirmoq	Yig'ilish yarim soatga uzaytirildi.
演讲	nutq	U ertangi nutqiga tayyorlanmoqda.
宴会	ziyofat	Ular bir ziyofatda qatnashdi.
阳台	balkon	Balkonda bir nechta gul tuvagi turibdi.
痒	qichimoq	Qo'lim biroz qichiyapti.
样式	uslub	Bu uslub juda mashhur.
腰	bel	Uzoq o'tirganda bel og'rishi mumkin.
摇	chayqamoq	Shamol shoxlarni u yoq-bu yoqqa chayqadi.
咬	tishlamoq	Bu it odam tishlamaydi.
要不	bo'lmasa	Bo'lmasa ertaga yana boraylik.
业务	biznes faoliyati	Kompaniyaning biznes faoliyati tobora ko'paymoqda.
业余	bo'sh vaqtdagi	U bo'sh vaqtida fotosuratga olishni o'rganadi.
夜	tun	Tunda ko'cha juda tinch.
依然	hanuz	U hanuz Pekinda yashaydi.
一辈子	bir umr	U bir umr musiqani jon-dildan sevdi.
一旦	bir marta	Bir marta qaror qilsangiz, davom ettirishingiz kerak.
一律	barchasi	Yig'ilish davomida telefonlar barchasi o'chirilishi kerak.
一再	qayta-qayta	U bizga xavfsizlikka e'tibor berishni qayta-qayta eslatdi.
一致	bir xil	Hammaning fikri to'liq bir xil.
疑问	savol	Bu javob haqida savolim bor.
移动	siljitmoq	Iltimos, stolni biroz siljiting.
移民	ko'chib ketmoq	Ular chet elga ko'chib ketishni rejalashtirmoqda.
遗憾	afsus	Sizni ko'ra olmaganimdan afsusdaman.
乙	B tomoni	Shartnomada B tomoni to'lov uchun javobgar.
以及	shuningdek	Men kitoblar, shuningdek o'quv qurollari sotib oldim.
以来	beri	Bitirgandan beri u Pekinda ishlaydi.
义务	majburiyat	Atrof-muhitni himoya qilish har bir kishining majburiyati.
亿	yuz million	Bu mamlakat aholisi o'nlab yuz milliondan oshadi.
意外	kutilmagan	Bu safar kechikish butunlay kutilmagan holat edi.
意义	ma'no	Bu tadbir juda ma'noli.
议论	muhokama qilmoq	Hamma bu masalani muhokama qilmoqda.
因而	shu sababli	U tirishib o'qiydi, shu sababli baholari yaxshi.
因素	omil	Ob-havo muhim omil.
银	kumush	U kumush bilaguzuk taqqan.
印刷	chop etmoq	Bu kitob juda aniq chop etilgan.
英俊	kelishgan	U juda kelishgan.
英雄	qahramon	O't o'chiruvchilar haqiqiy qahramonlar.
营养	ozuqa	Nonushtada yetarli ozuqa bo'lishi kerak.
营业	ishlamoq	Bu do'kon soat to'qqizda ishlay boshlaydi.
迎接	kutib olmoq	Biz mehmonlarni kutib olish uchun aeroportga bordik.
影子	soya	Ko'cha chirog'i ostida uning soyasi bor.
应付	uddalamoq	U bu muammoni uddalay oladi.
应用	qo'llamoq	Bu usulni ta'limda qo'llash mumkin.
硬	qattiq	Bu stul juda qattiq.
硬件	qurilma qismi	Bu kompyuterning qurilma qismi yaxshi.
拥抱	quchoqlamoq	Bola yugurib borib onasini quchoqladi.
拥挤	tiqilinch	Ertalabgi tig'iz vaqtda metro juda tiqilinch.
勇气	jasorat	Unda xatosini tan olish jasorati bor.
用功	tirishib o'qimoq	U juda tirishib o'qiydi.
用途	foydalanish sohasi	Bu materialning foydalanish sohasi keng.
优惠	chegirma	Bu do'konda bugun chegirma bor.
优美	go'zal	Bu yerdagi muhit juda go'zal.
优势	ustunlik	Uning ustunligi tajribasining ko'pligida.
悠久	uzoq tarixga ega	Xitoy uzoq tarixga ega.
油炸	yog'da qovurmoq	Men yog'da qovurilgan taomni kam yeyman.
游览	sayr qilib ko'rmoq	Biz ertaga Taqiqlangan shaharni sayr qilib ko'ramiz.
犹豫	ikkilanmoq	U biroz ikkilanib keyin javob berdi.
有利	foydali	Bu shart biz uchun foydali.
幼儿园	bolalar bog'chasi	Bola kelasi yili bolalar bog'chasiga boradi.
娱乐	ko'ngilochar mashg'ulot	Kino ko'rish ko'ngilochar mashg'ulotdir.
与其	ko'ra	Shikoyat qilgandan ko'ra harakat qilgan yaxshi.
语气	ohang	Uning gapirish ohangi juda muloyim.
玉米	makkajo'xori	Kechki ovqatda makkajo'xori sho'rvasi bor.
预报	prognoz	Ob-havo prognozi ertaga yomg'ir bo'lishini aytdi.
预订	oldindan band qilmoq	Men mehmonxonani allaqachon oldindan band qildim.
预防	oldini olmoq	Qo'lni tez-tez yuvish shamollashning oldini oladi.
元旦	Yangi yil kuni	Yangi yil kuni biz bir kun dam olamiz.
原料	xomashyo	Nonning asosiy xomashyosi undir.
原则	tamoyil	Insonning tamoyili bo'lishi kerak.
员工	xodim	Kompaniyada uch yuz nafar xodim bor.
圆	dumaloq	Oy katta va dumaloq.
愿望	tilak	Uning tilagi dunyo bo'ylab sayohat qilish.
乐器	musiqa asbobi	U bir nechta musiqa asbobini chala oladi.
晕	boshi aylanish	Kemaga chiqqanda boshim biroz aylanadi.
运气	omad	Bugun omadim yaxshi.
运输	tashish	Bu tovarlarni temir yo'l orqali tashish kerak.
运用	foydalanmoq	Iltimos, bu so'zlardan moslashuvchan foydalaning.
灾害	ofat	Suv toshqini tabiiy ofat turidir.
再三	qayta-qayta	O'qituvchi bizga takrorlashni qayta-qayta eslatdi.
在乎	ahamiyat bermoq	U do'stlarining fikriga juda ahamiyat beradi.
在于	bog'liq	Muvaffaqiyat qat'iyatga bog'liq.
赞成	ma'qullamoq	Men sizning taklifingizni ma'qullayman.
赞美	maqtamoq	Hamma uning jasoratini maqtadi.
糟糕	yomon	Bugungi ob-havo juda yomon.
造成	sabab bo'lmoq	Kuchli yomg'ir tirbandlikka sabab bo'ldi.
则	unda	Tirishilsa, unda o'sish bo'ladi.
责备	ayblamoq	O'qituvchi uni ayblamadi.
摘	uzmoq	U bog'dan bir dona gul uzdi.
窄	tor	Bu yo'l juda tor.
粘贴	yopishtirmoq	Iltimos, suratni bu yerga yopishtiring.
展开	boshlanmoq	Muhokama tezda boshlandi.
展览	ko'rgazma	Muzeyda yangi ko'rgazma bor.
占	egallamoq	Bu stol joy egallaydi.
战争	urush	Urush xalqqa azob keltiradi.
掌握	o'zlashtirmoq	U asosiy grammatikani allaqachon o'zlashtirgan.
涨	oshmoq	So'nggi paytda ijara haqi yana oshdi.
长辈	kattalar	Yangi yil paytida kattalarga salom berish kerak.
账户	hisob	Iltimos, bank hisobingizni tekshiring.
招待	mezbonlik qilmoq	Mezbon mehmonlarga iliq mezbonlik qildi.
着火	yong'in chiqmoq	Oshxonada to'satdan yong'in chiqdi.
着凉	shamollamoq	Havo sovuq, shamollab qolmang.
召开	yig'ilish o'tkazmoq	Maktab ertaga yig'ilish o'tkazadi.
照常	odatdagidek	Do'kon ertaga odatdagidek ishlaydi.
哲学	falsafa	U universitetda falsafa o'qigan.
珍惜	qadrlamoq	Biz vaqtni qadrlashimiz kerak.
真实	haqiqiy	Bu hikoya haqiqiy.
针对	qaratilgan	Bu taklif yangi talabalarga qaratilgan.
诊断	tashxis	Shifokor tezda tashxis qo'ydi.
振动	titrash	Telefon stol ustida titrayapti.
阵	qisqa muddat	Tashqarida qisqa muddat yomg'ir yog'di.
争论	bahslashmoq	Ular bu masala ustida uzoq bahslashdi.
争取	intilmoq	Biz ko'proq imkoniyatga intilishimiz kerak.
征求	fikr so'ramoq	O'qituvchi hammadan fikr so'radi.
挣	qutilmoq	Qush arqondan qutulib chiqdi.
睁	ochmoq	Iltimos, ko'zingizni biroz kattaroq oching.
整个	butun	Butun shahar juda tinch.
整齐	tartibli	Kitoblar juda tartibli qo'yilgan.
整体	umumiy	Biz umumiy ta'sirni hisobga olishimiz kerak.
政府	hukumat	Hukumat yangi bildirishnoma chiqardi.
政治	siyosat	U siyosatga juda qiziqadi.
正	to'g'ri	Bu javob to'g'ri.
证件	hujjat	Iltimos, hujjatingizni ko'rsating.
证据	dalil	Politsiya yangi dalil topdi.
支	dona	Stol ustida bir dona ruchka bor.
支票	chek	U chek bilan to'ladi.
执照	ruxsatnoma	Mashina haydash uchun haydovchilik ruxsatnomasi kerak.
直	to'g'ri	Bu yo'ldan to'g'ri oldinga yuring.
指导	yo'l-yo'riq bermoq	O'qituvchi bizga ilmiy ish yozishda yo'l-yo'riq berdi.
指挥	boshqarmoq	U bu harakatni boshqarish uchun javobgar.
制定	tuzmoq	Kompaniya yangi reja tuzdi.
制度	tizim	Maktabda qat'iy tizim bor.
制造	ishlab chiqarmoq	Bu zavod mashina ishlab chiqaradi.
制作	tayyorlamoq	U tug'ilgan kun tortini tayyorlamoqda.
志愿者	ko'ngilli	Ko'p ko'ngilli tadbirda qatnashdi.
智慧	donolik	Bu keksa odamda katta donolik bor.
治疗	davolamoq	Shifokor bemorni davolamoqda.
秩序	tartib	Iltimos, hamma tartibni saqlasin.
至今	hozirgacha	Bu muammo hozirgacha hal qilinmagan.
至于	ga kelsak	Xarajatlarga kelsak, ertaga gaplashamiz.
中介	vositachi	U uyni vositachi orqali ijaraga oldi.
中心	markaz	Kasalxona shahar markazida.
中旬	oy o'rtasi	Yig'ilish may oyining o'rtasiga belgilangan.
种类	tur	Bu yerda mevaning turi ko'p.
重大	muhim	Bu muhim qaror.
重量	og'irlik	Bu qutining og'irligi qancha?
周到	e'tiborli	Uning xizmati juda e'tiborli.
猪	cho'chqa	Fermada ko'p cho'chqa boqiladi.
竹子	bambuk	Pandalar bambuk yeyishni yaxshi ko'radi.
逐步	bosqichma-bosqich	Reja bosqichma-bosqich amalga oshiriladi.
逐渐	asta-sekin	Ob-havo asta-sekin sovidi.
主持	olib bormoq	U bugungi yig'ilishni olib boradi.
主动	tashabbus bilan	U sinfdoshiga tashabbus bilan yordam berdi.
主观	subyektiv	Bu baho biroz subyektiv.
主人	mezbon	Mezbon bizni iliq kutib oldi.
主任	mudir	Mudir ofisda.
主题	mavzu	Bugungi muhokama mavzusi atrof-muhitni himoya qilish.
主席	rais	Rais yig'ilish boshlanganini e'lon qildi.
主张	tarafdor bo'lmoq	U avval transport muammosini hal qilish tarafdori.
煮	qaynatmoq	Onam ugra qaynatmoqda.
注册	ro'yxatdan o'tmoq	Yangi foydalanuvchilar avval ro'yxatdan o'tishi kerak.
祝福	tilak	Do'stlar tilaklarini yuborishdi.
抓	ushlamoq	Bola onasining qo'lini ushlab oldi.
抓紧	vaqtdan unumli foydalanmoq	Biz vaqtdan unumli foydalanishimiz kerak.
专家	mutaxassis	Mutaxassis taklif berdi.
专心	diqqat bilan	Darsda diqqat bilan tinglash kerak.
转变	o'zgarish	Uning munosabatida o'zgarish yuz berdi.
转告	yetkazmoq	Iltimos, unga ertaga yig'ilish borligini yetkazing.
装	solmoq	Iltimos, kitoblarni sumkaga soling.
装饰	bezamoq	Ular xonani gullar bilan bezadi.
装修	ta'mirlamoq	Yangi uy ta'mirlanmoqda.
撞	to'qnashmoq	Ikki mashina chorrahada to'qnashdi.
状况	holat	Hozirgi holat nisbatan barqaror.
状态	ahvol	Bugun uning ahvoli yaxshi.
追	quvmoq	Bola orqadan kuchukni quvmoqda.
追求	intilmoq	U doimo o'z orzusiga intilib kelgan.
咨询	maslahatlashmoq	Siz mutaxassis shifokor bilan maslahatlashishingiz mumkin.
姿势	holat	Iltimos, to'g'ri holatni saqlang.
资格	malaka	U musobaqada qatnashish malakasiga ega.
资金	mablag'	Loyihaga ko'proq mablag' kerak.
资料	material	Iltimos, materiallarni menga yuboring.
资源	resurs	Suv muhim tabiiy resurs.
紫	binafsha	U binafsha rangni yaxshi ko'radi.
字母	harf	Ingliz tilida yigirma olti harf bor.
字幕	subtitr	Bu filmda xitoycha subtitr bor.
自从	dan beri	Bitirgandan beri u kamdan-kam qaytadi.
自动	avtomatik	Bu eshik avtomatik ochiladi.
自豪	faxrlanmoq	Men o'z yutug'imdan faxrlanaman.
自觉	o'z tashabbusi bilan	U uy vazifasini o'z tashabbusi bilan bajardi.
自私	xudbin	Odam juda xudbin bo'lmasligi kerak.
自由	erkinlik	Har bir kishi erkinlikni qadrlaydi.
自愿	ixtiyoriy	Ular tadbirda ixtiyoriy qatnashdi.
综合	umumlashtirmoq	Biz turli omillarni umumlashtirib ko'rib chiqishimiz kerak.
总裁	bosh direktor	Bosh direktor bugun nutq so'zladi.
总共	jami	Bu sayohat jami uch ming yuan turdi.
总理	bosh vazir	Bosh vazir yig'ilishda qatnashdi.
总算	nihoyat	Muammo nihoyat hal bo'ldi.
总统	prezident	Prezident televizion nutq so'zladi.
总之	qisqasi	Qisqasi, biz vaqtida tugatishimiz kerak.
组	guruh	O'qituvchi bizni uch guruhga ajratdi.
组成	tarkib topmoq	Suv vodorod va kisloroddan tarkib topgan.
组合	uyg'unlik	Bu ranglar uyg'unligi chiroyli ko'rinadi.
组织	tashkil qilmoq	Maktab sayohat tashkil qildi.
阻止	to'xtatmoq	Politsiya xavfli xatti-harakatni to'xtatdi.
最初	avvaliga	Avvaliga men uncha tushunmadim.
醉	mast	U ko'p ichib, biroz mast bo'ldi.
尊敬	hurmat qilmoq	Talabalar o'qituvchini juda hurmat qiladi.
遵守	rioya qilmoq	Biz yo'l harakati qoidalariga rioya qilishimiz kerak.
作品	asar	Bu rasm uning asari.
作为	sifatida	O'qituvchi sifatida u juda sabrli.
作文	insho	O'qituvchi bizdan bitta insho yozishni so'radi.
