simplified	FR	example_FR
围绕	tourner autour de; porter sur	La discussion a porté sur cette question.
维修	réparer; l'entretien	L'ascenseur est en réparation.
违反	enfreindre; violer	Faire cela enfreint les règles.
伟大	grand; remarquable	C'est une grande découverte.
委屈	se sentir lésé	Elle s'est sentie très lésée.
尾巴	la queue	Le chiot remuait la queue.
位于	se situer	L'école se situe au centre-ville.
位置	l'endroit; la position	Cet endroit est très calme.
未必	pas forcément	Ce qu'il dit n'est pas forcément vrai.
未来	l'avenir	Nous devons nous préparer pour l'avenir.
胃	l'estomac	J'ai un peu mal à l'estomac.
胃口	l'appétit	Il a bon appétit aujourd'hui.
温暖	chaud; doux	Le soleil du printemps est très doux.
温柔	doux; tendre	Elle parle très doucement.
文件	le document; le fichier	Envoie-moi le document, s'il te plaît.
文具	les fournitures scolaires	Il y a beaucoup de fournitures scolaires dans le cartable.
文明	civilisé	Faire la queue est un comportement civilisé.
文学	la littérature	Elle aime la littérature chinoise.
文字	l'écriture; les caractères	Ces caractères sont difficiles à lire.
闻	sentir; entendre	J'ai senti un parfum de fleurs.
吻	embrasser; le baiser	La mère a embrassé le visage de l'enfant.
稳定	stable	Les prix restent stables.
问候	saluer; transmettre ses salutations	Transmets mes salutations à ta famille, s'il te plaît.
卧室	la chambre	Il y a un grand lit dans la chambre.
握手	serrer la main	Ils se sont serré la main quand ils se sont rencontrés.
屋子	la pièce; la maison	Il fait chaud dans la pièce.
无奈	impuissant; sans pouvoir rien y faire	Il a secoué la tête d'un air impuissant.
无数	innombrable	Il y a d'innombrables étoiles dans le ciel nocturne.
无所谓	peu importe	Peu importe ce que tu veux manger.
武术	les arts martiaux	Il étudie les arts martiaux depuis l'enfance.
勿	ne pas; défense de	Défense de fumer ici.
物理	la physique	Le cours de physique est très intéressant.
物质	la substance; la matière	L'eau est une substance importante.
雾	le brouillard	Il y avait un épais brouillard le matin.
吸取	tirer; apprendre	Nous devons tirer une leçon de cette expérience.
吸收	absorber	Les plantes absorbent l'eau.
戏剧	le théâtre; le drame	Il aime regarder du théâtre traditionnel.
系	le département universitaire	Elle étudie au département de chinois.
系统	le système	Ce système fonctionne de manière stable.
细节	le détail	Fais attention à ces détails, s'il te plaît.
瞎	à l'aveuglette; sans raison	Ne devine pas au hasard, regarde d'abord les documents.
下载	télécharger	J'ai téléchargé ce logiciel.
吓	effrayer	Le bruit soudain m'a fait peur.
夏令营	le camp d'été	L'enfant a participé à un camp d'été de chinois.
鲜艳	vif; éclatant	La couleur de cette jupe est très vive.
显得	avoir l'air; faire paraître	Ce vêtement le fait paraître très jeune.
显然	évidemment	Évidemment, il connaît déjà le résultat.
显示	afficher; montrer	L'écran n'affiche pas la bonne heure.
县	le district; le xian	Ce district compte beaucoup de plantations de thé.
现代	moderne	La vie moderne est inséparable d'Internet.
现实	la réalité	Nous devons faire face à la réalité.
现象	le phénomène	Ce phénomène est très courant.
限制	limiter; restreindre	L'entrée des véhicules est limitée ici.
相处	bien s'entendre	Ils s'entendent très bien.
相当	assez; considérablement	Ce livre est assez intéressant.
相对	relativement	Les prix ici sont relativement bas.
相关	pertinent; lié	Fournis les documents pertinents, s'il te plaît.
相似	similaire	Le sens de ces deux caractères est très similaire.
香肠	la saucisse	Il y a des oeufs et des saucisses au petit-déjeuner.
享受	profiter de	Ils profitent des vacances.
想念	manquer à; regretter	Ma famille me manque beaucoup.
想象	imaginer	Je ne peux pas imaginer ce genre de vie.
象棋	les échecs chinois	Grand-père aime jouer aux échecs chinois.
象征	symboliser	Le blanc symbolise souvent la pureté.
项	l'élément; la tâche	Cette tâche est très importante.
项链	le collier	Elle porte un collier en argent.
项目	le projet	Ce projet demande trois mois.
消费	la consommation	La consommation a augmenté pendant les fêtes.
消化	la digestion; digérer	Marcher après le repas aide la digestion.
消极	négatif; passif	Ne regarde pas les problèmes avec une attitude négative.
消失	disparaître	Le soleil a lentement disparu derrière la montagne.
销售	vendre; les ventes	Cette entreprise vend des produits électroniques.
小麦	le blé	On cultive beaucoup de blé dans le nord.
小气	radin; mesquin	Ne sois pas si radin.
孝顺	filial; respectueux envers ses parents	Il est très respectueux envers ses parents.
效率	l'efficacité	Faire ainsi peut améliorer l'efficacité.
歇	se reposer	Reposons-nous d'abord un moment.
斜	incliné; en pente	Cette route est un peu en pente.
写作	l'écriture	Écrire demande une pratique de longue durée.
心理	psychologique; mental	Il faut ajuster son état mental avant l'examen.
心脏	le coeur	La santé du coeur est très importante.
欣赏	apprécier; admirer	Nous avons admiré un beau paysage.
信号	le signal	Le signal du téléphone portable est mauvais ici.
信任	la confiance; faire confiance	L'amitié a besoin de confiance.
形成	se former	Les bonnes habitudes se forment peu à peu.
形容	décrire	Je ne sais pas comment décrire ce sentiment.
形势	la situation	La situation actuelle est relativement complexe.
形式	la forme	La réunion peut prendre une forme en ligne.
形象	l'image	Son image publique est très bonne.
形状	la forme	La forme de cette boîte est très spéciale.
行动	l'action; agir	Nous devons agir immédiatement.
行人	le piéton	Fais attention aux piétons en traversant la route.
行为	le comportement	Ce type de comportement est impoli.
幸亏	heureusement	Heureusement, tu me l'as rappelé.
幸运	chanceux	Il a eu la chance de trouver un travail.
性质	la nature; le caractère	La nature de ce problème est très grave.
兄弟	les frères	Les deux frères ont une bonne relation.
胸	la poitrine	Il ressent une oppression dans la poitrine.
休闲	le loisir; la détente	Le week-end est un bon moment pour se détendre.
修改	modifier; réviser	Révise cet article, s'il te plaît.
虚心	modeste; ouvert d'esprit	Nous devons écouter les avis avec modestie.
叙述	raconter; narrer	Il a clairement raconté ce qui s'est passé.
宣布	annoncer	L'école a annoncé les nouvelles règles.
宣传	promouvoir; diffuser	Ils diffusent des connaissances sur la protection de l'environnement.
学历	le niveau d'études	Ce poste exige un diplôme de licence.
学术	académique	Cette conférence discute de questions académiques.
学问	le savoir; les connaissances	Il a beaucoup de savoir.
血	le sang	Sa main a un peu saigné.
寻找	chercher	Nous cherchons une nouvelle méthode.
询问	se renseigner; demander	Il a demandé au professeur l'heure de l'examen.
训练	s'entraîner; l'entraînement	L'athlète s'entraîne tous les jours.
迅速	rapide; rapidement	La nouvelle s'est rapidement répandue.
押金	la caution	Pour louer un logement, il faut payer une caution.
牙齿	les dents	Prends bien soin de tes dents tous les jours.
严肃	sérieux	L'expression du professeur est très sérieuse.
延长	prolonger	La réunion a été prolongée d'une demi-heure.
演讲	le discours	Il prépare le discours de demain.
宴会	le banquet	Ils ont participé à un banquet.
阳台	le balcon	Il y a plusieurs pots de fleurs sur le balcon.
痒	démanger	Mon bras me démange un peu.
样式	le style; le modèle	Ce style est très populaire.
腰	la taille; le bas du dos	Le bas du dos peut faire mal après être resté assis longtemps.
摇	secouer	Le vent secouait les branches d'avant en arrière.
咬	mordre	Ce chien ne mord pas les gens.
要不	ou bien; sinon	Et si nous y allions plutôt demain ?
业务	les affaires; l'activité	Les activités de l'entreprise augmentent.
业余	pendant son temps libre	Il étudie la photographie pendant son temps libre.
夜	la nuit	La rue est très calme la nuit.
依然	toujours	Il habite toujours à Pékin.
一辈子	toute la vie	Elle a aimé la musique toute sa vie.
一旦	une fois que	Une fois que tu as décidé, il faut persévérer.
一律	tous sans exception	Pendant la réunion, tous les téléphones doivent être éteints.
一再	à plusieurs reprises	Il nous a rappelé à plusieurs reprises de faire attention à la sécurité.
一致	unanime; cohérent	Les avis de tout le monde sont parfaitement concordants.
疑问	la question; le doute	J'ai une question au sujet de cette réponse.
移动	déplacer	Déplace un peu la table, s'il te plaît.
移民	immigrer; émigrer	Ils prévoient d'émigrer à l'étranger.
遗憾	regretter; le regret	Je regrette de ne pas avoir pu te voir.
乙	la partie B	Dans le contrat, la partie B est responsable du paiement.
以及	ainsi que	J'ai acheté des livres ainsi que des fournitures scolaires.
以来	depuis	Depuis l'obtention de son diplôme, il travaille toujours à Pékin.
义务	l'obligation; le devoir	Protéger l'environnement est le devoir de chacun.
亿	cent millions; milliard	Ce pays compte plus d'un milliard d'habitants.
意外	inattendu; l'accident	Ce retard était complètement inattendu.
意义	le sens; la signification	Cette activité a beaucoup de sens.
议论	discuter; commenter	Tout le monde discute de cette affaire.
因而	par conséquent	Il étudie avec sérieux, par conséquent ses notes sont bonnes.
因素	le facteur	Le temps est un facteur important.
银	l'argent; argenté	Elle porte un bracelet en argent.
印刷	l'impression	Ce livre est imprimé très clairement.
英俊	beau; élégant	Il est très beau.
英雄	le héros	Les pompiers sont de vrais héros.
营养	la nutrition	Le petit-déjeuner doit être suffisamment nutritif.
营业	ouvrir; faire des affaires	Cette boutique ouvre à neuf heures.
迎接	accueillir	Nous sommes allés à l'aéroport accueillir les invités.
影子	l'ombre	Son ombre est sous le lampadaire.
应付	faire face à; gérer	Il peut gérer ce problème.
应用	appliquer; l'application	Cette méthode peut être appliquée à l'enseignement.
硬	dur	Cette chaise est trop dure.
硬件	le matériel informatique	Cet ordinateur a un bon matériel.
拥抱	serrer dans ses bras	L'enfant a couru serrer sa maman dans ses bras.
拥挤	bondé	Le métro est très bondé à l'heure de pointe du matin.
勇气	le courage	Il a le courage de reconnaître son erreur.
用功	étudier avec application	Elle étudie avec beaucoup d'application.
用途	l'utilisation; l'usage	Ce matériau a de nombreux usages.
优惠	la réduction; avantageux	Cette boutique propose une réduction aujourd'hui.
优美	beau; élégant	L'environnement ici est très beau.
优势	l'avantage	Son avantage est sa grande expérience.
悠久	long; ancien	La Chine a une longue histoire.
油炸	frit	Je mange rarement des aliments frits.
游览	visiter; faire du tourisme	Nous visiterons la Cité interdite demain.
犹豫	hésiter	Il a hésité un moment avant de répondre.
有利	favorable	Cette condition nous est favorable.
幼儿园	le jardin d'enfants	L'enfant ira au jardin d'enfants l'année prochaine.
娱乐	le divertissement	Regarder des films est une forme de divertissement.
与其	plutôt que	Plutôt que de se plaindre, mieux vaut agir.
语气	le ton	Son ton est très doux quand il parle.
玉米	le maïs	Il y a une soupe de maïs au dîner.
预报	la prévision	La météo annonce qu'il pleuvra demain.
预订	réserver	J'ai déjà réservé l'hôtel.
预防	prévenir	Se laver souvent les mains peut prévenir le rhume.
元旦	le jour de l'An	Nous avons un jour de congé pour le jour de l'An.
原料	la matière première	La principale matière première du pain est la farine.
原则	le principe	Il faut avoir des principes dans la vie.
员工	l'employé; le personnel	L'entreprise compte trois cents employés.
圆	rond	La lune est grande et ronde.
愿望	le souhait	Son souhait est de faire le tour du monde.
乐器	l'instrument de musique	Elle sait jouer de plusieurs instruments de musique.
晕	avoir le vertige; être étourdi	J'ai un peu le mal de mer quand je prends le bateau.
运气	la chance	J'ai de la chance aujourd'hui.
运输	le transport	Ces marchandises doivent être transportées par train.
运用	utiliser; employer	Utilise ces mots avec souplesse, s'il te plaît.
灾害	la catastrophe	L'inondation est une catastrophe naturelle.
再三	à plusieurs reprises	Le professeur nous a rappelé à plusieurs reprises de réviser.
在乎	se soucier de	Il se soucie beaucoup de l'avis de ses amis.
在于	résider dans	Le succès réside dans la persévérance.
赞成	approuver; être d'accord	Je suis d'accord avec ta suggestion.
赞美	louer; faire l'éloge de	Tout le monde a loué son courage.
糟糕	terrible; mauvais	Le temps est vraiment terrible aujourd'hui.
造成	causer	La forte pluie a causé un embouteillage.
则	alors; dans ce cas	Si l'on travaille dur, alors il y aura des progrès.
责备	reprocher; blâmer	Le professeur ne lui a pas fait de reproches.
摘	cueillir	Elle a cueilli une fleur dans le jardin.
窄	étroit	Cette route est trop étroite.
粘贴	coller	Colle la photo ici, s'il te plaît.
展开	commencer; se développer	La discussion a vite commencé.
展览	l'exposition	Le musée a une nouvelle exposition.
占	occuper; prendre de la place	Cette table prend de la place.
战争	la guerre	La guerre apporte de la souffrance au peuple.
掌握	maîtriser	Il maîtrise déjà la grammaire de base.
涨	augmenter; monter	Le loyer a encore augmenté récemment.
长辈	les aînés	Il faut saluer les aînés pendant le Nouvel An.
账户	le compte	Vérifie ton compte bancaire, s'il te plaît.
招待	recevoir; accueillir	L'hôte a accueilli chaleureusement les invités.
着火	prendre feu	La cuisine a soudain pris feu.
着凉	prendre froid	Il fait froid, ne prends pas froid.
召开	convoquer; tenir	L'école tiendra une réunion demain.
照常	comme d'habitude	Le magasin ouvrira comme d'habitude demain.
哲学	la philosophie	Il a étudié la philosophie à l'université.
珍惜	chérir; apprécier	Nous devons apprécier le temps.
真实	vrai; réel	Cette histoire est vraie.
针对	viser; s'adresser à	Cette suggestion s'adresse aux nouveaux étudiants.
诊断	le diagnostic	Le médecin a rapidement posé un diagnostic.
振动	vibrer	Le téléphone vibre sur la table.
阵	une courte période; une averse	Il y a eu une courte averse dehors.
争论	débattre; se disputer	Ils ont débattu longtemps de cette question.
争取	s'efforcer d'obtenir	Nous devons nous efforcer d'obtenir plus d'occasions.
征求	solliciter; demander	Le professeur a demandé l'avis de tout le monde.
挣	se libérer; gagner	L'oiseau s'est libéré de la corde.
睁	ouvrir les yeux	Ouvre les yeux un peu plus grand, s'il te plaît.
整个	tout; entier	Toute la ville est très calme.
整齐	bien rangé; ordonné	Les livres sont rangés très proprement.
整体	l'ensemble; global	Nous devons considérer l'effet global.
政府	le gouvernement	Le gouvernement a publié un nouvel avis.
政治	la politique	Il s'intéresse beaucoup à la politique.
正	correct; juste	Cette réponse est correcte.
证件	la pièce d'identité	Présente ta pièce d'identité, s'il te plaît.
证据	la preuve	La police a trouvé de nouvelles preuves.
支	classificateur pour les stylos et objets longs	Il y a un stylo sur la table.
支票	le chèque	Il a payé par chèque.
执照	le permis; la licence	Pour conduire, il faut un permis de conduire.
直	tout droit; droit	Continue tout droit sur cette route.
指导	guider; encadrer	Le professeur nous a guidés pour rédiger le mémoire.
指挥	diriger; commander	Il est chargé de diriger cette opération.
制定	élaborer; formuler	L'entreprise a élaboré un nouveau plan.
制度	le système; le règlement	L'école a un règlement strict.
制造	fabriquer	Cette usine fabrique des machines.
制作	faire; fabriquer	Elle est en train de préparer un gâteau d'anniversaire.
志愿者	le bénévole	Beaucoup de bénévoles ont participé à l'activité.
智慧	la sagesse	Cette personne âgée a une grande sagesse.
治疗	traiter; soigner	Le médecin soigne le patient.
秩序	l'ordre	Veuillez maintenir l'ordre.
至今	jusqu'à aujourd'hui	Ce problème n'est toujours pas résolu à ce jour.
至于	quant à	Quant aux frais, nous en parlerons demain.
中介	l'agence; l'intermédiaire	Il a loué l'appartement par une agence.
中心	le centre	L'hôpital est au centre-ville.
中旬	la mi-mois	La réunion est prévue à la mi-mai.
种类	le type; la sorte	Il y a beaucoup de sortes de fruits ici.
重大	majeur; important	C'est une décision majeure.
重量	le poids	Quel est le poids de cette boîte ?
周到	attentionné; prévenant	Son service est très attentionné.
猪	le cochon	Il y a beaucoup de cochons à la ferme.
竹子	le bambou	Les pandas aiment manger du bambou.
逐步	progressivement; étape par étape	Le plan sera mis en oeuvre progressivement.
逐渐	progressivement	Le temps est devenu progressivement plus froid.
主持	animer; présider	Elle anime la réunion d'aujourd'hui.
主动	prendre l'initiative	Il a pris l'initiative d'aider son camarade.
主观	subjectif	Cette évaluation est un peu subjective.
主人	l'hôte; le propriétaire	L'hôte nous a accueillis chaleureusement.
主任	le directeur; le responsable	Le directeur est dans son bureau.
主题	le thème	Le thème de la discussion d'aujourd'hui est la protection de l'environnement.
主席	le président de séance	Le président a annoncé le début de la réunion.
主张	préconiser; soutenir	Il préconise de résoudre d'abord le problème de la circulation.
煮	cuire; faire bouillir	Maman est en train de cuire des nouilles.
注册	s'inscrire; enregistrer	Les nouveaux utilisateurs doivent d'abord s'inscrire.
祝福	les voeux; les bénédictions	Les amis ont envoyé leurs voeux.
抓	attraper; saisir	L'enfant a saisi la main de sa maman.
抓紧	se dépêcher; bien utiliser	Nous devons bien utiliser le temps.
专家	l'expert	L'expert a fait des suggestions.
专心	se concentrer	Il faut écouter attentivement en classe.
转变	changer; se transformer	Son attitude a changé.
转告	transmettre; faire savoir	Dis-lui qu'il y aura une réunion demain, s'il te plaît.
装	mettre; charger	Mets les livres dans le sac, s'il te plaît.
装饰	décorer	Ils ont décoré la pièce avec des fleurs.
装修	rénover; aménager	La nouvelle maison est en rénovation.
撞	heurter; entrer en collision	Deux voitures sont entrées en collision au carrefour.
状况	la situation; l'état	La situation actuelle est relativement stable.
状态	l'état	Il est en très bonne forme aujourd'hui.
追	poursuivre; courir après	L'enfant court après le petit chien.
追求	poursuivre; rechercher	Il a toujours poursuivi son rêve.
咨询	consulter; demander conseil	Tu peux consulter un médecin spécialiste.
姿势	la posture	Garde une posture correcte, s'il te plaît.
资格	la qualification	Il est qualifié pour participer à la compétition.
资金	les fonds; le financement	Le projet a besoin de plus de fonds.
资料	les documents; les informations	Envoie-moi les documents, s'il te plaît.
资源	les ressources	L'eau est une ressource naturelle importante.
紫	violet	Elle aime le violet.
字母	la lettre	L'anglais compte vingt-six lettres.
字幕	les sous-titres	Ce film a des sous-titres chinois.
自从	depuis	Depuis l'obtention de son diplôme, il revient rarement.
自动	automatique	Cette porte s'ouvre automatiquement.
自豪	être fier	Je suis fier de mes progrès.
自觉	de sa propre initiative	Il a terminé ses devoirs de sa propre initiative.
自私	égoïste	Il ne faut pas être trop égoïste dans la vie.
自由	la liberté	Chacun chérit la liberté.
自愿	volontaire	Ils ont participé volontairement à l'activité.
综合	intégrer; considérer globalement	Nous devons considérer globalement toutes sortes de facteurs.
总裁	le PDG	Le PDG a prononcé un discours aujourd'hui.
总共	au total	Ce voyage a coûté trois mille yuans au total.
总理	le Premier ministre	Le Premier ministre a assisté à la réunion.
总算	enfin	Le problème a enfin été résolu.
总统	le président	Le président a prononcé un discours télévisé.
总之	en bref; en somme	En bref, nous devons terminer à temps.
组	le groupe	Le professeur nous a divisés en trois groupes.
组成	être composé de	L'eau est composée d'hydrogène et d'oxygène.
组合	la combinaison	Cette combinaison de couleurs est jolie.
组织	organiser; l'organisation	L'école a organisé un voyage.
阻止	empêcher; arrêter	La police a empêché un comportement dangereux.
最初	au début	Au début, je ne comprenais pas très bien.
醉	ivre	Il a trop bu et il est un peu ivre.
尊敬	respecter	Les élèves respectent tous le professeur.
遵守	respecter; obéir à	Nous devons respecter le code de la route.
作品	l'oeuvre	Ce tableau est son oeuvre.
作为	en tant que	En tant que professeur, il est très patient.
作文	la rédaction; la composition	Le professeur nous a demandé d'écrire une rédaction.
