simplified	NL	example_NL
透明	transparant	Deze beker is transparant.
突出	opvallend; uitstekend	Zijn sterke punten zijn erg opvallend.
土地	het land; de grond	Dit stuk land is erg vruchtbaar.
土豆	de aardappel	Ik kocht een paar aardappelen.
兔子	het konijn	Het kind houdt een konijn.
吐	overgeven	Hij voelt zich niet lekker en wil overgeven.
团	de groep	We sloten ons aan bij een reisgroep.
推辞	afslaan	Hij sloeg de uitnodiging van zijn vriend af.
推广	promoten; verbreiden	Het bedrijf promoot een nieuw product.
推荐	aanbevelen	De leraar beval dit boek aan.
退	achteruitgaan; terugstappen	Stap alstublieft één stap achteruit.
退步	achteruitgaan	Als je niet oefent, gaat je niveau achteruit.
退休	met pensioen gaan	Hij gaat volgend jaar met pensioen.
歪	scheef	Dit schilderij hangt scheef.
外公	opa van moederskant	Mijn opa van moederskant is dit jaar tachtig.
外交	de diplomatie	Hij studeert internationale betrekkingen en diplomatie.
完美	perfect	Dit plan is niet perfect.
完善	verbeteren; vervolmaken	We moeten het serviceproces verbeteren.
完整	volledig	Geef me alstublieft een volledig rapport.
玩具	het speelgoed	Het kind legde het speelgoed in de doos.
万一	voor het geval dat	Als het toch regent, gaan we een andere dag.
王子	de prins	De prins in het verhaal is heel dapper.
往返	heen en terug gaan	Met dit kaartje kun je dezelfde dag heen en terug.
网络	het internet; netwerk	De internetverbinding hier is heel stabiel.
危害	schaden; in gevaar brengen	Roken schaadt de gezondheid.
威胁	bedreigen	De vervuiling bedreigt de rivier.
微笑	glimlachen	Zij glimlachte naar mij.
唯一	de enige	Dit is de enige manier.
围巾	de sjaal	In de winter draagt hij een sjaal.
围绕	draaien om; zich richten op	De discussie draaide om deze kwestie.
维修	repareren; onderhoud	De lift is in reparatie.
违反	overtreden	Zo handelen is in strijd met de regels.
伟大	groot; geweldig	Dit is een grote ontdekking.
委屈	zich gekwetst voelen	Zij voelde zich erg tekortgedaan.
尾巴	de staart	De puppy kwispelde met zijn staart.
位于	gelegen zijn	De school ligt in het stadscentrum.
位置	de plaats; positie	Deze plek is erg rustig.
未必	niet per se	Wat hij zei is niet per se waar.
未来	de toekomst	We moeten ons voorbereiden op de toekomst.
胃	de maag	Mijn maag voelt een beetje ongemakkelijk.
胃口	de eetlust	Hij heeft vandaag goede eetlust.
温暖	warm	De lentezon is heel warm.
温柔	zacht; teder	Zij spreekt heel zacht.
文件	het document; bestand	Stuur mij het document alstublieft.
文具	schrijfwaren	Er zitten veel schrijfwaren in de schooltas.
文明	beschaafd; beschaving	In de rij staan is beschaafd gedrag.
文学	de literatuur	Zij houdt van Chinese literatuur.
文字	het schrift; geschreven tekst	Deze tekst is moeilijk te lezen.
闻	ruiken; horen	Ik rook een bloemengeur.
吻	kussen	De moeder kuste het kind op het gezicht.
稳定	stabiel	De prijzen blijven stabiel.
问候	de groeten overbrengen	Doe je familie alstublieft de groeten namens mij.
卧室	de slaapkamer	Er staat een groot bed in de slaapkamer.
握手	handen schudden	Toen ze elkaar ontmoetten, schudden ze elkaar de hand.
屋子	de kamer; het huis	Het is warm in de kamer.
无奈	hulpeloos; noodgedwongen	Hij schudde hulpeloos zijn hoofd.
无数	ontelbaar	Er zijn ontelbare sterren aan de nachtelijke hemel.
无所谓	het maakt niet uit	Het maakt niet uit wat je wilt eten.
武术	vechtsport	Hij leert al van jongs af aan vechtsport.
勿	niet doen	Rook hier alstublieft niet.
物理	de natuurkunde	De natuurkundeles is erg interessant.
物质	de stof; materie	Water is een belangrijke stof.
雾	de mist	's Ochtends was er dichte mist.
吸取	leren uit; opnemen	We moeten lering trekken uit deze les.
吸收	opnemen	Planten nemen water op.
戏剧	het toneel; drama	Hij kijkt graag naar traditioneel toneel.
系	de faculteit; afdeling	Zij studeert aan de faculteit Chinees.
系统	het systeem	Dit systeem draait stabiel.
细节	het detail	Let alstublieft op deze details.
瞎	blindelings; zomaar	Raad niet zomaar, kijk eerst naar de gegevens.
下载	downloaden	Ik heb deze software gedownload.
吓	laten schrikken	Het plotselinge geluid liet me schrikken.
夏令营	het zomerkamp	Het kind nam deel aan een Chinees zomerkamp.
鲜艳	felgekleurd	De kleur van deze rok is heel fel.
显得	lijken; doen lijken	Dit kledingstuk laat hem jong lijken.
显然	duidelijk; kennelijk	Het is duidelijk dat hij de uitslag al weet.
显示	tonen	Het scherm toont de verkeerde tijd.
县	het district; county	Dit district heeft veel theeplantages.
现代	modern	Het moderne leven kan niet zonder internet.
现实	de werkelijkheid	We moeten de werkelijkheid onder ogen zien.
现象	het verschijnsel	Dit verschijnsel komt vaak voor.
限制	beperken	Hier is toegang voor voertuigen beperkt.
相处	met elkaar omgaan	Zij kunnen goed met elkaar omgaan.
相当	behoorlijk; tamelijk	Dit boek is behoorlijk interessant.
相对	relatief	De prijzen hier zijn relatief goedkoop.
相关	relevant; gerelateerd	Geef alstublieft de relevante gegevens.
相似	vergelijkbaar; lijken op	De betekenissen van deze twee karakters lijken erg op elkaar.
香肠	de worst	Bij het ontbijt zijn er eieren en worst.
享受	genieten van	Zij genieten van de vakantie.
想念	missen	Ik mis mijn familie erg.
想象	zich voorstellen	Ik kan me dat soort leven niet voorstellen.
象棋	Chinees schaakspel	Opa speelt graag Chinees schaak.
象征	symboliseren	Wit symboliseert vaak zuiverheid.
项	het item; onderdeel	Deze taak is erg belangrijk.
项链	de ketting	Zij draagt een zilveren ketting.
项目	het project	Dit project duurt drie maanden.
消费	consumeren; consumptie	Tijdens de feestdagen nam de consumptie toe.
消化	verteren; spijsvertering	Wandelen na het eten helpt de spijsvertering.
消极	negatief; passief	Bekijk problemen niet met een negatieve houding.
消失	verdwijnen	De zon verdween langzaam achter de berg.
销售	verkopen; verkoop	Dit bedrijf verkoopt elektronische producten.
小麦	de tarwe	In het noorden wordt veel tarwe verbouwd.
小气	gierig	Wees niet zo gierig.
孝顺	respectvol en zorgzaam voor ouders	Hij is heel zorgzaam voor zijn ouders.
效率	de efficiëntie	Zo werken kan de efficiëntie verhogen.
歇	rusten	Laten we eerst even rusten.
斜	schuin	Deze weg loopt een beetje schuin.
写作	het schrijven	Schrijven vereist langdurige oefening.
心理	psychisch; mentaal	Voor het examen moet je je mentale toestand bijstellen.
心脏	het hart	Hartgezondheid is heel belangrijk.
欣赏	bewonderen; genieten van	We bewonderden het mooie landschap.
信号	het signaal	Het mobiele signaal is hier slecht.
信任	vertrouwen	Tussen vrienden is vertrouwen nodig.
形成	vormen	Goede gewoonten moeten langzaam ontstaan.
形容	beschrijven	Ik weet niet hoe ik dit gevoel moet beschrijven.
形势	de situatie	De huidige situatie is vrij complex.
形式	de vorm	De vergadering kan online plaatsvinden.
形象	het imago	Zijn publieke imago is goed.
形状	de vorm	De vorm van deze doos is heel bijzonder.
行动	actie ondernemen	We moeten onmiddellijk actie ondernemen.
行人	de voetganger	Let bij het oversteken op voetgangers.
行为	het gedrag	Dit soort gedrag is onbeleefd.
幸亏	gelukkig	Gelukkig herinnerde jij mij eraan.
幸运	gelukkig; geluk	Hij had geluk en vond werk.
性质	de aard	De aard van dit probleem is ernstig.
兄弟	broers	De twee broers hebben een goede band.
胸	de borst	Hij voelt wat druk op zijn borst.
休闲	vrije tijd; ontspanning	Het weekend is een goede tijd voor ontspanning.
修改	wijzigen; herzien	Herzie dit artikel alstublieft.
虚心	bescheiden; open-minded	We moeten bescheiden naar meningen luisteren.
叙述	vertellen; beschrijven	Hij vertelde duidelijk wat er was gebeurd.
宣布	aankondigen	De school kondigde de nieuwe regels aan.
宣传	promoten; bekendmaken	Zij promoten kennis over milieubescherming.
学历	opleidingsniveau	Voor deze baan is een bachelordiploma vereist.
学术	academisch; wetenschap	Deze vergadering bespreekt academische kwesties.
学问	kennis; geleerdheid	Hij heeft veel kennis.
血	het bloed	Zijn hand bloedde een beetje.
寻找	zoeken	We zoeken naar een nieuwe methode.
询问	navragen; informeren	Hij vroeg de leraar naar het examentijdstip.
训练	trainen; de training	De sporter traint elke dag.
迅速	snel	Het nieuws verspreidde zich snel.
押金	de borg	Bij het huren van een woning moet je borg betalen.
牙齿	de tanden	Zorg elke dag goed voor je tanden.
严肃	ernstig	De uitdrukking van de leraar was heel ernstig.
延长	verlengen	De vergadering werd met een half uur verlengd.
演讲	de toespraak; lezing	Hij bereidt de toespraak van morgen voor.
宴会	het banket; feestmaal	Zij woonden een banket bij.
阳台	het balkon	Er staan een paar potten bloemen op het balkon.
痒	jeuken	Mijn arm jeukt een beetje.
样式	de stijl; het model	Deze stijl is erg populair.
腰	de taille; onderrug	Als je lang zit, kan je onderrug pijn doen.
摇	schudden; wiegen	De wind schudde de takken heen en weer.
咬	bijten	Deze hond bijt geen mensen.
要不	anders; of anders	Zullen we anders morgen weer gaan?
业务	de zaken; bedrijfsactiviteiten	De bedrijfsactiviteiten van het bedrijf nemen toe.
业余	in de vrije tijd; amateur	Hij leert fotografie in zijn vrije tijd.
夜	de nacht	's Nachts is het erg rustig op straat.
依然	nog steeds	Hij woont nog steeds in Beijing.
一辈子	een leven lang	Zij hield haar hele leven van muziek.
一旦	zodra; eenmaal	Zodra je hebt besloten, moet je volhouden.
一律	zonder uitzondering	Tijdens de vergadering moeten alle telefoons uit.
一再	herhaaldelijk	Hij herinnerde ons er herhaaldelijk aan op veiligheid te letten.
一致	eensgezind; consistent	Iedereens mening is volledig gelijk.
疑问	de vraag; twijfel	Ik heb een vraag over dit antwoord.
移动	verplaatsen	Verplaats de tafel alstublieft een beetje.
移民	immigreren; emigreren	Zij zijn van plan naar het buitenland te emigreren.
遗憾	spijt; jammer	Ik vind het jammer dat ik je niet kon zien.
乙	partij B; tweede	Volgens het contract is partij B verantwoordelijk voor betaling.
以及	en; evenals	Ik kocht boeken en schrijfwaren.
以来	sinds	Sinds zijn afstuderen werkt hij steeds in Beijing.
义务	de plicht; verplichting	Het milieu beschermen is ieders plicht.
亿	honderd miljoen; miljard	Dit land heeft meer dan een miljard inwoners.
意外	onverwacht; het ongeluk	Dat ik deze keer te laat was, was volledig onverwacht.
意义	de betekenis; zin	Deze activiteit is heel zinvol.
议论	bespreken; praten over	Iedereen bespreekt deze zaak.
因而	daarom; daardoor	Hij studeert hard, daarom zijn zijn cijfers goed.
因素	de factor	Het weer is een belangrijke factor.
银	zilver; zilveren	Zij draagt een zilveren armband.
印刷	drukken; het drukwerk	Dit boek is heel duidelijk gedrukt.
英俊	knap	Hij ziet er erg knap uit.
英雄	de held	Brandweerlieden zijn echte helden.
营养	de voeding; voedingswaarde	Het ontbijt moet voldoende voedingswaarde hebben.
营业	open zijn; zaken doen	Deze winkel opent om negen uur.
迎接	verwelkomen; ophalen	We gingen naar de luchthaven om de gasten op te halen.
影子	de schaduw	Zijn schaduw valt onder de straatlantaarn.
应付	omgaan met; aankunnen	Hij kan dit probleem aan.
应用	toepassen; de toepassing	Deze methode kan in het onderwijs worden toegepast.
硬	hard	Deze stoel is te hard.
硬件	de hardware	Deze computer heeft goede hardware.
拥抱	omhelzen	Het kind rende naar zijn moeder en omhelsde haar.
拥挤	druk; overvol	In de ochtendspits is de metro erg druk.
勇气	de moed	Hij heeft de moed om zijn fout toe te geven.
用功	ijverig studeren	Zij studeert heel ijverig.
用途	het gebruik; toepassing	Dit materiaal heeft veel toepassingen.
优惠	de korting; voordelig	Deze winkel heeft vandaag korting.
优美	mooi; elegant	De omgeving hier is heel mooi.
优势	het voordeel	Zijn voordeel is rijke ervaring.
悠久	lang; eeuwenoud	China heeft een lange geschiedenis.
油炸	gefrituurd	Ik eet zelden gefrituurd voedsel.
游览	bezoeken; sightseeing doen	We bezoeken morgen de Verboden Stad.
犹豫	aarzelen	Hij aarzelde even voordat hij antwoordde.
有利	gunstig; voordelig	Deze voorwaarde is gunstig voor ons.
幼儿园	de kleuterschool	Het kind gaat volgend jaar naar de kleuterschool.
娱乐	het amusement; ontspanning	Films kijken is een vorm van ontspanning.
与其	in plaats van; liever dan	In plaats van te klagen kun je beter in actie komen.
语气	de toon	Zijn toon van spreken is heel zacht.
玉米	de mais	Bij het avondeten is er maissoep.
预报	de voorspelling	De weersvoorspelling zegt dat het morgen regent.
预订	reserveren	Ik heb het hotel al gereserveerd.
预防	voorkomen	Vaak handen wassen kan verkoudheid voorkomen.
元旦	Nieuwjaarsdag	Op Nieuwjaarsdag hebben we één dag vrij.
原料	de grondstof	De belangrijkste grondstof van brood is meel.
原则	het principe	Je moet principes hebben in het leven.
员工	de werknemer; medewerker	Het bedrijf heeft driehonderd medewerkers.
圆	rond	De maan is groot en rond.
愿望	de wens	Zijn wens is rond de wereld reizen.
乐器	het muziekinstrument	Zij kan verschillende muziekinstrumenten bespelen.
晕	duizelig	Op een boot word ik een beetje duizelig.
运气	het geluk	Ik heb vandaag best veel geluk.
运输	het transport; vervoeren	Deze goederen moeten per spoor worden vervoerd.
运用	gebruiken; toepassen	Gebruik deze woorden alstublieft flexibel.
灾害	de ramp	Een overstroming is een natuurramp.
再三	herhaaldelijk	De leraar herinnerde ons er herhaaldelijk aan te herhalen.
在乎	geven om; belangrijk vinden	Hij geeft veel om de mening van zijn vrienden.
在于	liggen in	Succes ligt in volhouden.
赞成	het eens zijn met	Ik ben het eens met jouw voorstel.
赞美	prijzen	Iedereen prees haar moed.
糟糕	verschrikkelijk; slecht	Het weer is vandaag echt verschrikkelijk.
造成	veroorzaken	De zware regen veroorzaakte een verkeersopstopping.
则	dan; in dat geval	Als je hard werkt, boek je vooruitgang.
责备	verwijten; bekritiseren	De leraar gaf hem geen verwijt.
摘	plukken	Zij plukte een bloem in de tuin.
窄	smal	Deze weg is te smal.
粘贴	plakken	Plak de foto alstublieft hier.
展开	beginnen; ontvouwen	De discussie begon al snel.
展览	de tentoonstelling	Het museum heeft een nieuwe tentoonstelling.
占	innemen	Deze tafel neemt ruimte in.
战争	de oorlog	Oorlog brengt mensen leed.
掌握	beheersen	Hij beheerst de basisgrammatica al.
涨	stijgen	De huur is onlangs weer gestegen.
长辈	de oudere familieleden	Met Nieuwjaar hoor je oudere familieleden te groeten.
账户	de rekening	Controleer alstublieft uw bankrekening.
招待	ontvangen; gastvrij onthalen	De gastheer ontving de gasten hartelijk.
着火	in brand vliegen	De keuken vloog plotseling in brand.
着凉	kou vatten	Het is koud, vat geen kou.
召开	houden; bijeenroepen	De school houdt morgen een vergadering.
照常	zoals gewoonlijk	De winkel is morgen zoals gewoonlijk open.
哲学	de filosofie	Hij studeerde filosofie aan de universiteit.
珍惜	koesteren; waarderen	We moeten tijd koesteren.
真实	echt; waar	Dit verhaal is echt.
针对	gericht op	Dit voorstel is gericht op nieuwe studenten.
诊断	de diagnose	De arts stelde snel een diagnose.
振动	trillen	De telefoon trilt op tafel.
阵	korte periode; bui	Buiten viel een korte regenbui.
争论	ruziën; debatteren	Zij discussieerden lang over deze kwestie.
争取	strijden voor; proberen te krijgen	We moeten meer kansen proberen te krijgen.
征求	vragen om; inwinnen	De leraar vroeg iedereen om hun mening.
挣	zich losmaken; verdienen	Het vogeltje maakte zich los uit het touw.
睁	openen; ogen openen	Open je ogen alstublieft iets wijder.
整个	heel; volledig	De hele stad is erg rustig.
整齐	netjes; ordelijk	De boeken zijn heel netjes neergezet.
整体	het geheel	We moeten het totale effect overwegen.
政府	de regering	De regering gaf een nieuwe kennisgeving uit.
政治	de politiek	Hij is erg geïnteresseerd in politiek.
正	correct; recht	Dit antwoord is correct.
证件	het identiteitsbewijs	Toon alstublieft uw identiteitsbewijs.
证据	het bewijs	De politie vond nieuw bewijs.
支	classifier voor langwerpige voorwerpen	Er ligt een pen op tafel.
支票	de cheque	Hij betaalde met een cheque.
执照	de vergunning; het rijbewijs	Autorijden vereist een rijbewijs.
直	recht; rechtdoor	Loop op deze weg steeds rechtdoor.
指导	begeleiden; aanwijzingen geven	De leraar begeleidde ons bij het schrijven van de scriptie.
指挥	leiden; commanderen	Hij is verantwoordelijk voor het leiden van deze actie.
制定	opstellen; formuleren	Het bedrijf stelde een nieuw plan op.
制度	het systeem; stelsel	De school heeft een streng systeem.
制造	produceren; vervaardigen	Deze fabriek produceert machines.
制作	maken	Zij maakt een verjaardagstaart.
志愿者	de vrijwilliger	Veel vrijwilligers deden mee aan de activiteit.
智慧	de wijsheid	Deze oudere persoon heeft veel wijsheid.
治疗	behandelen	De arts behandelt de patiënt.
秩序	de orde	Houd alstublieft orde.
至今	tot nu toe	Dit probleem is tot nu toe niet opgelost.
至于	wat betreft	Wat de kosten betreft, bespreken we die morgen.
中介	het bemiddelingsbureau; tussenpersoon	Hij huurde de woning via een bemiddelingsbureau.
中心	het centrum	Het ziekenhuis ligt in het stadscentrum.
中旬	het midden van de maand	De vergadering is gepland voor half mei.
种类	de soort	Er zijn hier veel soorten fruit.
重大	belangrijk; groot	Dit is een belangrijke beslissing.
重量	het gewicht	Wat is het gewicht van deze doos?
周到	attent; zorgvuldig	Zijn service is heel attent.
猪	het varken	Op de boerderij worden veel varkens gehouden.
竹子	de bamboe	Panda's eten graag bamboe.
逐步	stap voor stap	Het plan wordt stap voor stap uitgevoerd.
逐渐	geleidelijk	Het weer werd geleidelijk kouder.
主持	presenteren; voorzitten	Zij leidt de vergadering van vandaag.
主动	uit eigen initiatief	Hij hielp zijn klasgenoot uit eigen initiatief.
主观	subjectief	Deze beoordeling is een beetje subjectief.
主人	de gastheer; eigenaar	De gastheer heette ons hartelijk welkom.
主任	de directeur; afdelingshoofd	De directeur is op kantoor.
主题	het thema	Het thema van de discussie vandaag is milieubescherming.
主席	de voorzitter	De voorzitter kondigde het begin van de vergadering aan.
主张	pleiten voor; standpunt	Hij pleit ervoor eerst het verkeersprobleem op te lossen.
煮	koken	Moeder kookt noedels.
注册	registreren	Nieuwe gebruikers moeten zich eerst registreren.
祝福	de gelukwensen	Vrienden stuurden hun gelukwensen.
抓	grijpen; pakken	Het kind pakte de hand van zijn moeder vast.
抓紧	goed benutten; stevig vasthouden	We moeten de tijd goed benutten.
专家	de expert	De expert deed voorstellen.
专心	geconcentreerd	In de les moet je aandachtig luisteren.
转变	de verandering; veranderen	Zijn houding is veranderd.
转告	doorgeven	Vertel hem alstublieft dat er morgen een vergadering is.
装	inpakken; doen alsof	Doe de boeken alstublieft in de tas.
装饰	versieren	Zij versierden de kamer met bloemen.
装修	renoveren	Het nieuwe huis wordt gerenoveerd.
撞	botsen	Twee auto's botsten op de kruising.
状况	de situatie; toestand	De huidige situatie is vrij stabiel.
状态	de toestand; conditie	Hij is vandaag in goede conditie.
追	achtervolgen	Het kind rent achter de puppy aan.
追求	nastreven	Hij heeft altijd zijn droom nagestreefd.
咨询	raadplegen; advies vragen	Je kunt een professionele arts raadplegen.
姿势	de houding	Houd alstublieft de juiste houding aan.
资格	de kwalificatie; bevoegdheid	Hij is gekwalificeerd om aan de wedstrijd deel te nemen.
资金	de fondsen; kapitaal	Het project heeft meer financiering nodig.
资料	het materiaal; gegevens	Stuur mij alstublieft de materialen.
资源	de hulpbronnen; middelen	Water is een belangrijke natuurlijke hulpbron.
紫	paars	Zij houdt van de kleur paars.
字母	de letter	Het Engels heeft zesentwintig letters.
字幕	de ondertiteling	Deze film heeft Chinese ondertiteling.
自从	sinds	Sinds zijn afstuderen komt hij zelden terug.
自动	automatisch	Deze deur gaat automatisch open.
自豪	trots zijn	Ik ben trots op mijn vooruitgang.
自觉	uit zichzelf; bewust	Hij maakte uit zichzelf zijn huiswerk af.
自私	egoïstisch	Je moet niet te egoïstisch zijn.
自由	de vrijheid	Iedereen koestert vrijheid.
自愿	vrijwillig	Zij namen vrijwillig deel aan de activiteit.
综合	samenvatten; integraal overwegen	We moeten allerlei factoren samen overwegen.
总裁	de algemeen directeur	De algemeen directeur hield vandaag een toespraak.
总共	in totaal	Deze reis kostte in totaal drieduizend yuan.
总理	de premier	De premier woonde de vergadering bij.
总算	eindelijk	Het probleem is eindelijk opgelost.
总统	de president	De president hield een televisietoespraak.
总之	kortom	Kortom, we moeten op tijd klaar zijn.
组	de groep	De leraar verdeelde ons in drie groepen.
组成	bestaan uit	Water bestaat uit waterstof en zuurstof.
组合	de combinatie	Deze kleurencombinatie ziet er mooi uit.
组织	organiseren; de organisatie	De school organiseerde een reis.
阻止	voorkomen; tegenhouden	De politie hield het gevaarlijke gedrag tegen.
最初	aanvankelijk	Aanvankelijk begreep ik het niet goed.
醉	dronken	Hij heeft te veel gedronken en is een beetje dronken.
尊敬	respecteren	Alle studenten respecteren de leraar.
遵守	zich houden aan	We moeten ons aan de verkeersregels houden.
作品	het werk	Dit schilderij is zijn werk.
作为	als	Als leraar is hij heel geduldig.
作文	het opstel	De leraar vroeg ons een opstel te schrijven.
