simplified	SK	example_SK
细节	detail	Venujte, prosím, pozornosť týmto detailom.
瞎	naslepo	Nehádaj naslepo, najprv si pozri materiály.
下载	stiahnuť	Stiahol som si tento softvér.
吓	vystrašiť	Náhly zvuk ma vystrašil.
夏令营	letný tábor	Dieťa sa zúčastnilo čínskeho letného tábora.
鲜艳	jasnofarebný	Farba tejto sukne je veľmi jasná.
显得	vyzerať	Toto oblečenie ho robí mladším.
显然	zjavne	Zjavne už pozná výsledok.
显示	zobrazovať	Obrazovka zobrazuje nesprávny čas.
县	okres	V tomto okrese je veľa čajových plantáží.
现代	moderný	Moderný život sa nezaobíde bez internetu.
现实	realita	Musíme čeliť realite.
现象	jav	Tento jav je veľmi bežný.
限制	obmedziť	Vjazd vozidiel je tu obmedzený.
相处	vychádzať spolu	Vychádzajú spolu veľmi dobre.
相当	dosť; pomerne	Táto kniha je dosť zaujímavá.
相对	relatívne	Ceny sú tu relatívne lacné.
相关	súvisiaci	Poskytnite, prosím, súvisiace materiály.
相似	podobný	Významy týchto dvoch znakov sú veľmi podobné.
香肠	klobása	Na raňajky sú vajcia a klobása.
享受	užívať si	Užívajú si dovolenku.
想念	chýbať	Veľmi mi chýba rodina.
想象	predstaviť si	Neviem si predstaviť taký život.
象棋	čínske šachy	Dedko rád hrá čínske šachy.
象征	symbolizovať	Biela farba často symbolizuje čistotu.
项	položka; úloha	Táto úloha je veľmi dôležitá.
项链	náhrdelník	Má na sebe strieborný náhrdelník.
项目	projekt	Tento projekt si vyžaduje tri mesiace.
消费	spotreba	Počas sviatku sa spotreba zvýšila.
消化	trávenie	Prechádzka po jedle pomáha tráveniu.
消极	negatívny	Nepozeraj sa na problémy s negatívnym postojom.
消失	zmiznúť	Slnko pomaly zmizlo za horou.
销售	predávať	Táto firma predáva elektronické výrobky.
小麦	pšenica	Na severe sa pestuje veľa pšenice.
小气	lakomý	Nebuď taký lakomý.
孝顺	oddaný rodičom	Je veľmi oddaný svojim rodičom.
效率	efektivita	Takýto postup môže zvýšiť efektivitu.
歇	odpočinúť si	Najprv si chvíľu oddýchnime.
斜	šikmý	Táto cesta je trochu šikmá.
写作	písanie	Písanie si vyžaduje dlhodobý tréning.
心理	psychický	Pred skúškou treba upraviť psychický stav.
心脏	srdce	Zdravie srdca je veľmi dôležité.
欣赏	obdivovať	Obdivovali sme krásnu scenériu.
信号	signál	Signál mobilu je tu slabý.
信任	dôvera	Medzi priateľmi je potrebná dôvera.
形成	vytvoriť sa	Dobré návyky sa musia formovať postupne.
形容	opísať	Neviem, ako opísať tento pocit.
形势	situácia	Súčasná situácia je pomerne zložitá.
形式	forma	Stretnutie môže prebehnúť online formou.
形象	imidž	Jeho verejný imidž je veľmi dobrý.
形状	tvar	Tvar tejto škatule je veľmi osobitý.
行动	konať	Musíme konať okamžite.
行人	chodec	Pri prechádzaní cez cestu dávaj pozor na chodcov.
行为	správanie	Takéto správanie je nezdvorilé.
幸亏	našťastie	Našťastie si mi to pripomenul.
幸运	šťastný	Mal šťastie, že si našiel prácu.
性质	povaha	Povaha tohto problému je veľmi vážna.
兄弟	bratia	Tí dvaja bratia majú dobrý vzťah.
胸	hrudník	Cíti miernu tieseň v hrudníku.
休闲	voľný čas	Víkend je dobrý čas na oddych.
修改	upraviť	Upravte, prosím, tento článok.
虚心	skromný; otvorený	Mali by sme skromne počúvať názory.
叙述	rozprávať; opísať	Jasne opísal, čo sa stalo.
宣布	oznámiť	Škola oznámila nové pravidlá.
宣传	propagovať	Propagujú vedomosti o ochrane životného prostredia.
学历	vzdelanie	Táto práca vyžaduje bakalárske vzdelanie.
学术	akademický	Toto stretnutie diskutuje o akademických otázkach.
学问	vedomosti	Je veľmi vzdelaný.
血	krv	Z ruky mu vytieklo trochu krvi.
寻找	hľadať	Hľadáme novú metódu.
询问	opýtať sa	Opýtal sa učiteľa na čas skúšky.
训练	trénovať	Športovec trénuje každý deň.
迅速	rýchly	Správa sa rýchlo rozšírila.
押金	záloha	Pri prenájme bývania treba zaplatiť zálohu.
牙齿	zuby	Starajte sa, prosím, každý deň dobre o svoje zuby.
严肃	vážny	Učiteľov výraz bol veľmi vážny.
延长	predĺžiť	Stretnutie sa predĺžilo o pol hodiny.
演讲	prejav	Pripravuje si zajtrajší prejav.
宴会	hostina	Zúčastnili sa hostiny.
阳台	balkón	Na balkóne je niekoľko kvetináčov s kvetmi.
痒	svrbieť	Trochu ma svrbí ruka.
样式	štýl	Tento štýl je veľmi populárny.
腰	kríže; pás	Po dlhom sedení môžu bolieť kríže.
摇	triasť; kývať	Vietor kýval konármi sem a tam.
咬	hrýzť	Tento pes nehryzie ľudí.
要不	čo keby	Čo keby sme išli znova zajtra?
业务	obchodná činnosť	Obchodná činnosť firmy rastie.
业余	vo voľnom čase	Vo voľnom čase študuje fotografiu.
夜	noc	V noci je ulica veľmi tichá.
依然	stále	Stále býva v Pekingu.
一辈子	celý život	Celý život milovala hudbu.
一旦	raz keď	Raz keď sa rozhodneš, musíš vytrvať.
一律	všetci bez výnimky	Počas stretnutia musia byť všetky telefóny vypnuté.
一再	opakovane	Opakovane nám pripomínal, aby sme dávali pozor na bezpečnosť.
一致	zhodný	Názory všetkých sú úplne zhodné.
疑问	otázka	Mám otázku k tejto odpovedi.
移动	posunúť	Posuňte, prosím, stôl trochu.
移民	emigrovať	Plánujú emigrovať do zahraničia.
遗憾	ľutovať	Ľutujem, že som ťa nemohol vidieť.
乙	strana B	V zmluve je strana B zodpovedná za platbu.
以及	ako aj	Kúpil som knihy aj písacie potreby.
以来	odkedy; od	Od ukončenia štúdia stále pracuje v Pekingu.
义务	povinnosť	Chrániť životné prostredie je povinnosťou každého.
亿	sto miliónov	Táto krajina má viac ako miliardu obyvateľov.
意外	neočakávaný	Toto meškanie bolo úplne neočakávané.
意义	význam	Toto podujatie má veľký význam.
议论	diskutovať	Všetci o tejto veci diskutujú.
因而	preto	Usilovne študuje, preto má dobré známky.
因素	faktor	Počasie je dôležitý faktor.
银	striebro	Má na sebe strieborný náramok.
印刷	tlačiť	Táto kniha je vytlačená veľmi jasne.
英俊	pekný	Je veľmi pekný.
英雄	hrdina	Hasiči sú skutoční hrdinovia.
营养	výživa	Raňajky by mali mať dostatok výživy.
营业	otvoriť; podnikať	Tento obchod otvára o deviatej.
迎接	privítať	Išli sme na letisko privítať hostí.
影子	tieň	Pod pouličnou lampou je jeho tieň.
应付	zvládnuť	Dokáže tento problém zvládnuť.
应用	použiť; aplikovať	Táto metóda sa dá použiť vo výučbe.
硬	tvrdý	Táto stolička je príliš tvrdá.
硬件	hardvér	Tento počítač má dobrý hardvér.
拥抱	objať	Dieťa pribehlo a objalo mamu.
拥挤	preplnený	V rannej špičke je metro veľmi preplnené.
勇气	odvaha	Má odvahu priznať chybu.
用功	usilovne študovať	Študuje veľmi usilovne.
用途	použitie	Tento materiál má široké použitie.
优惠	zľava	Dnes má tento obchod zľavu.
优美	krásny	Prostredie je tu veľmi krásne.
优势	výhoda	Jeho výhodou sú bohaté skúsenosti.
悠久	dlhý; dávny	Čína má dlhú históriu.
油炸	vyprážaný	Zriedka jem vyprážané jedlá.
游览	navštíviť; obzerať	Zajtra navštívime Zakázané mesto.
犹豫	váhať	Chvíľu váhal, kým odpovedal.
有利	výhodný	Táto podmienka je pre nás výhodná.
幼儿园	matérska škola	Dieťa pôjde na budúci rok do materskej školy.
娱乐	zábava	Pozeranie filmov je druh zábavy.
与其	radšej než	Radšej konať, než sa sťažovať.
语气	tón reči	Jeho tón reči je veľmi mierny.
玉米	kukurica	Na večeru je kukuričná polievka.
预报	predpoveď	Predpoveď počasia hovorí, že zajtra bude pršať.
预订	rezervovať	Hotel som už rezervoval.
预防	predchádzať	Časté umývanie rúk môže predchádzať prechladnutiu.
元旦	Nový rok	Na Nový rok máme jeden deň voľna.
原料	surovina	Hlavnou surovinou chleba je múka.
原则	princíp	Človek by mal mať princípy.
员工	zamestnanec	Firma má tristo zamestnancov.
圆	okrúhly	Mesiac je veľký a okrúhly.
愿望	želanie	Jeho želaním je precestovať svet.
乐器	hudobný nástroj	Vie hrať na niekoľko hudobných nástrojov.
晕	mať závrat	Na lodi sa mi trochu točí hlava.
运气	šťastie	Dnes mám šťastie.
运输	doprava	Tento tovar potrebuje železničnú dopravu.
运用	používať	Používajte, prosím, tieto slová flexibilne.
灾害	katastrofa	Povodeň je druh prírodnej katastrofy.
再三	opakovane	Učiteľ nám opakovane pripomínal opakovanie učiva.
在乎	záležať mu na	Veľmi mu záleží na názoroch priateľov.
在于	spočívať v	Úspech spočíva vo vytrvalosti.
赞成	súhlasiť	Súhlasím s tvojím návrhom.
赞美	chváliť	Všetci chválili jej odvahu.
糟糕	hrozný	Dnešné počasie je naozaj hrozné.
造成	spôsobiť	Silný dážď spôsobil dopravnú zápchu.
则	teda; ak	Ak človek tvrdo pracuje, dosiahne pokrok.
责备	obviňovať	Učiteľ ho neobviňoval.
摘	odtrhnúť	V záhrade odtrhla kvet.
窄	úzky	Táto cesta je príliš úzka.
粘贴	prilepiť	Prilepte, prosím, fotografiu sem.
展开	rozvinúť; začať	Diskusia sa rýchlo začala.
展览	výstava	V múzeu je nová výstava.
占	zaberať	Tento stôl zaberá miesto.
战争	vojna	Vojna prináša ľuďom utrpenie.
掌握	ovládať	Už ovláda základnú gramatiku.
涨	stúpnuť	Nájomné nedávno opäť stúplo.
长辈	starší príbuzní	Počas Nového roka treba pozdraviť starších príbuzných.
账户	účet	Skontrolujte si, prosím, bankový účet.
招待	prijať; pohostiť	Hostiteľ hostí srdečne prijal.
着火	začať horieť	V kuchyni zrazu začalo horieť.
着凉	prechladnúť	Je zima, neprechladni.
召开	zvolať	Škola zajtra zvolá stretnutie.
照常	ako zvyčajne	Obchod bude zajtra otvorený ako zvyčajne.
哲学	filozofia	Na univerzite študoval filozofiu.
珍惜	vážiť si	Mali by sme si vážiť čas.
真实	skutočný	Tento príbeh je skutočný.
针对	zameraný na	Tento návrh je zameraný na nových študentov.
诊断	diagnóza	Lekár rýchlo stanovil diagnózu.
振动	vibrovať	Telefón vibruje na stole.
阵	krátka vlna; prehánka	Vonku bola krátka prehánka.
争论	diskutovať; hádka	Dlho o tejto otázke diskutovali.
争取	usilovať sa získať	Musíme sa usilovať získať viac príležitostí.
征求	požiadať o; zisťovať	Učiteľ požiadal všetkých o názor.
挣	vytrhnúť sa; zarobiť	Vták sa vytrhol z povrazu.
睁	otvoriť oči	Otvorte, prosím, oči trochu viac.
整个	celý	Celé mesto bolo veľmi tiché.
整齐	uprataný; usporiadaný	Knihy sú uložené veľmi úhľadne.
整体	celok; celkový	Musíme zvážiť celkový účinok.
政府	vláda	Vláda vydala nové oznámenie.
政治	politika	Veľmi sa zaujíma o politiku.
正	správny; práve	Táto odpoveď je správna.
证件	doklad	Prosím, ukážte svoj doklad.
证据	dôkaz	Polícia našla nový dôkaz.
支	kus; merač pre dlhé predmety	Na stole je jedno pero.
支票	šek	Zaplatil šekom.
执照	preukaz; licencia	Na šoférovanie je potrebný vodičský preukaz.
直	rovno; priamy	Po tejto ceste choďte stále rovno.
指导	viesť; usmerniť	Učiteľ nás viedol pri písaní práce.
指挥	riadiť; veliť	Je zodpovedný za riadenie tejto akcie.
制定	vypracovať	Firma vypracovala nový plán.
制度	systém	Škola má prísny systém.
制造	vyrábať	Táto továreň vyrába stroje.
制作	vyrábať; pripravovať	Pripravuje narodeninovú tortu.
志愿者	dobrovoľník	Na podujatí sa zúčastnilo veľa dobrovoľníkov.
智慧	múdrosť	Tento starší človek má veľkú múdrosť.
治疗	liečiť	Lekár lieči pacienta.
秩序	poriadok	Prosím, udržiavajte poriadok.
至今	dodnes	Tento problém dodnes nie je vyriešený.
至于	pokiaľ ide o	Pokiaľ ide o náklady, porozprávame sa o nich zajtra.
中介	sprostredkovateľ; agentúra	Byt si prenajal cez agentúru.
中心	centrum	Nemocnica je v centre mesta.
中旬	polovica mesiaca	Stretnutie je naplánované na polovicu mája.
种类	druh	Je tu veľa druhov ovocia.
重大	významný	Toto je významné rozhodnutie.
重量	hmotnosť	Aká je hmotnosť tejto škatule?
周到	pozorný; dôkladný	Jeho služby sú veľmi pozorné.
猪	prasa	Na farme chovajú veľa prasiat.
竹子	bambus	Pandy rady jedia bambus.
逐步	postupne	Plán sa bude postupne realizovať.
逐渐	postupne	Počasie sa postupne ochladilo.
主持	viesť; moderovať	Dnes vedie stretnutie ona.
主动	iniciatívny	Iniciatívne pomohol spolužiakovi.
主观	subjektívny	Toto hodnotenie je trochu subjektívne.
主人	hostiteľ; majiteľ	Hostiteľ nás srdečne privítal.
主任	riaditeľ; vedúci	Vedúci je v kancelárii.
主题	téma	Dnešnou témou diskusie je ochrana životného prostredia.
主席	predseda	Predseda oznámil začiatok stretnutia.
主张	presadzovať; názor	Presadzuje, aby sa najprv vyriešil problém dopravy.
煮	variť	Mama varí rezance.
注册	zaregistrovať sa	Noví používatelia sa musia najprv zaregistrovať.
祝福	želanie; požehnanie	Priatelia poslali svoje želania.
抓	chytiť	Dieťa chytilo mamu za ruku.
抓紧	využiť naplno; ponáhľať sa	Musíme dobre využiť čas.
专家	odborník	Odborník predložil návrhy.
专心	sústrediť sa	Na hodine treba pozorne počúvať.
转变	zmena	Jeho postoj sa zmenil.
转告	odkázať	Prosím, odkážte mu, že zajtra je stretnutie.
装	vložiť; zabaliť	Vložte, prosím, knihy do tašky.
装饰	zdobiť	Izbu ozdobili kvetmi.
装修	renovovať	Nový dom sa práve renovuje.
撞	naraziť	Na križovatke do seba narazili dve autá.
状况	situácia	Súčasná situácia je pomerne stabilná.
状态	stav	Dnes je vo veľmi dobrom stave.
追	prenasledovať; naháňať	Dieťa vzadu naháňa šteniatko.
追求	usilovať sa o	Stále sa usiluje o svoj sen.
咨询	poradiť sa	Môžete sa poradiť s odborným lekárom.
姿势	postoj; držanie tela	Prosím, udržujte správne držanie tela.
资格	kvalifikácia; oprávnenie	Má oprávnenie zúčastniť sa súťaže.
资金	financie	Projekt potrebuje viac financií.
资料	materiály; údaje	Pošlite mi, prosím, materiály.
资源	zdroj	Voda je dôležitý prírodný zdroj.
紫	fialový	Má rada fialovú farbu.
字母	písmeno	Angličtina má dvadsaťšesť písmen.
字幕	titulky	Tento film má čínske titulky.
自从	odkedy	Od ukončenia štúdia sa vracia len zriedka.
自动	automatický	Tieto dvere sa otvárajú automaticky.
自豪	hrdý	Som hrdý na svoj pokrok.
自觉	z vlastnej iniciatívy	Úlohu dokončil z vlastnej iniciatívy.
自私	sebecký	Človek by nemal byť príliš sebecký.
自由	sloboda	Každý si váži slobodu.
自愿	dobrovoľný	Dobrovoľne sa zúčastnili na podujatí.
综合	komplexný; zhrnúť	Musíme komplexne zvážiť rôzne faktory.
总裁	generálny riaditeľ	Generálny riaditeľ dnes predniesol prejav.
总共	spolu	Táto cesta stála spolu tritisíc jüanov.
总理	predseda vlády	Predseda vlády sa zúčastnil stretnutia.
总算	konečne	Problém sa konečne vyriešil.
总统	prezident	Prezident predniesol televízny prejav.
总之	skrátka	Skrátka, musíme to dokončiť načas.
组	skupina	Učiteľ nás rozdelil do troch skupín.
组成	skladať sa	Voda sa skladá z vodíka a kyslíka.
组合	kombinácia	Táto farebná kombinácia vyzerá dobre.
组织	organizovať; organizácia	Škola zorganizovala výlet.
阻止	zabrániť	Polícia zabránila nebezpečnému správaniu.
最初	na začiatku	Na začiatku som tomu veľmi nerozumel.
醉	opitý	Veľa pil a je trochu opitý.
尊敬	rešpektovať	Študenti všetci rešpektujú učiteľa.
遵守	dodržiavať	Musíme dodržiavať dopravné pravidlá.
作品	dielo	Tento obraz je jeho dielo.
作为	ako	Ako učiteľ je veľmi trpezlivý.
作文	slohová práca	Učiteľ nás požiadal, aby sme napísali slohovú prácu.
