hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
5283:争吵	争吵	争吵	kłócić się	Zaczęli się kłócić o drobiazg.	ruzie maken	Zij begonnen ruzie te maken over een kleinigheid.	gräla	De började gräla om en liten sak.	krangle	De begynte å krangle om en liten ting.	skændes	De begyndte at skændes om en lille ting.	riidellä	He alkoivat riidellä pienestä asiasta.
5290:正面	正面	正面	przód; przednia strona	Proszę położyć zdjęcie przednią stroną do góry.	voorkant	Leg de voorkant van de foto alstublieft naar boven.	framsida	Lägg fotots framsida uppåt.	forside	Vennligst legg forsiden av bildet opp.	forside	Læg venligst billedets forside opad.	etupuoli	Aseta valokuvan etupuoli ylöspäin.
5299:之所以	之所以	之所以	powód, dla którego	Powodem, dla którego się spóźnił, był korek po drodze.	de reden waarom	De reden waarom hij te laat was, was dat er onderweg file stond.	anledningen till att	Anledningen till att han var sen var att det var trafikstockning på vägen.	grunnen til at	Grunnen til at han kom for sent, var at det var kø på veien.	grunden til at	Grunden til, at han kom for sent, var trafik på vejen.	syy siihen, että	Syy siihen, että hän myöhästyi, oli matkalla ollut ruuhka.
5303:职员	职员	职员	pracownik	Wszyscy pracownicy firmy wzięli udział w szkoleniu.	medewerker	Alle medewerkers van het bedrijf namen deel aan de training.	anställd	Alla företagets anställda deltog i utbildningen.	ansatt	Alle ansatte i selskapet deltok på opplæringen.	medarbejder	Alle virksomhedens medarbejdere deltog i kurset.	työntekijä	Kaikki yrityksen työntekijät osallistuivat koulutukseen.
5304:职责	职责	职责	obowiązek; odpowiedzialność	Obowiązkiem lekarza jest chronić zdrowie pacjentów.	taak; verantwoordelijkheid	De taak van een arts is de gezondheid van patiënten te beschermen.	ansvar; skyldighet	En läkares ansvar är att skydda patienternas hälsa.	ansvar; plikt	En leges ansvar er å beskytte pasientenes helse.	ansvar; pligt	En læges ansvar er at beskytte patienternes helbred.	vastuu; velvollisuus	Lääkärin vastuu on suojella potilaiden terveyttä.
5306:只得	只得	只得	nie mieć wyboru i musieć	Deszcz był zbyt silny, więc musieliśmy odwołać wydarzenie.	niets anders kunnen dan	De regen was te hevig, dus we konden niets anders dan de activiteit annuleren.	vara tvungen att	Regnet var för kraftigt, så vi var tvungna att ställa in aktiviteten.	være nødt til	Regnet var for kraftig, så vi var nødt til å avlyse aktiviteten.	være nødt til	Regnen var for kraftig, så vi var nødt til at aflyse aktiviteten.	ei olla muuta vaihtoehtoa kuin	Sade oli liian kova, joten meidän oli pakko perua tapahtuma.
5308:只顾	只顾	只顾	zajmować się tylko; myśleć wyłącznie o	On patrzył tylko w telefon i nie słyszał, co mówiłem.	alleen maar bezig zijn met	Hij was alleen maar met zijn telefoon bezig en hoorde mij niet praten.	bara tänka på; bara bry sig om	Han tittade bara på sin telefon och hörde inte vad jag sade.	bare være opptatt av	Han var bare opptatt av telefonen og hørte ikke at jeg snakket.	kun være optaget af	Han kiggede kun på sin telefon og hørte ikke, hvad jeg sagde.	vain keskittyä johonkin	Hän vain katsoi puhelintaan eikä kuullut minun puhuvan.
5312:制	制	制	produkować; wytwarzać	Ten lek jest produkowany przez lokalną fabrykę farmaceutyczną.	vervaardigen; maken	Dit medicijn wordt gemaakt door een plaatselijke farmaceutische fabriek.	tillverka	Det här läkemedlet tillverkas av en lokal läkemedelsfabrik.	produsere	Denne medisinen produseres av en lokal farmasøytisk fabrikk.	fremstille	Denne medicin fremstilles af en lokal medicinalfabrik.	valmistaa	Tämä lääke valmistetaan paikallisessa lääketehtaassa.
5313:至关重要	至关重要	至关重要	kluczowy; niezwykle ważny	Szkolenie z bezpieczeństwa jest niezwykle ważne dla nowych pracowników.	uiterst belangrijk; van cruciaal belang	Veiligheidstraining is uiterst belangrijk voor nieuwe medewerkers.	avgörande; mycket viktig	Säkerhetsutbildning är avgörande för nya anställda.	avgjørende; svært viktig	Sikkerhetsopplæring er svært viktig for nye ansatte.	afgørende; yderst vigtig	Sikkerhedsuddannelse er afgørende for nye medarbejdere.	erittäin tärkeä; ratkaiseva	Turvallisuuskoulutus on erittäin tärkeää uusille työntekijöille.
5316:制品	制品	制品	wyroby; produkty	Ten sklep sprzedaje różne wyroby drewniane.	producten; waren	Deze winkel verkoopt allerlei houten producten.	produkter; varor	Den här butiken säljer alla slags träprodukter.	produkter; varer	Denne butikken selger alle slags treprodukter.	produkter; varer	Denne butik sælger alle slags træprodukter.	tuotteet	Tämä kauppa myy kaikenlaisia puutuotteita.
5318:质疑	质疑	质疑	kwestionować; podawać w wątpliwość	Reporter zakwestionował dane w tym raporcie.	in twijfel trekken	De verslaggever trok de gegevens in dit rapport in twijfel.	ifrågasätta	Reportern ifrågasatte uppgifterna i den här rapporten.	stille spørsmål ved	Reporteren stilte spørsmål ved dataene i denne rapporten.	sætte spørgsmålstegn ved	Reporteren satte spørgsmålstegn ved dataene i denne rapport.	kyseenalaistaa	Toimittaja kyseenalaisti tämän raportin tiedot.
5320:中等	中等	中等	średni	To ubranie jest średniego rozmiaru.	middelgroot; gemiddeld	Dit kledingstuk heeft een middelgrote maat.	medelstor; medelnivå	Det här plagget är i medelstorlek.	middels; mellomstor	Dette plagget er i middels størrelse.	mellemstor; middel	Dette stykke tøj er i mellemstørrelse.	keskikokoinen; keskitasoinen	Tämä vaate on keskikokoa.
5324:钟头	钟头	钟头	godzina	Czekaliśmy dwie godziny.	uur	We wachtten twee uur.	timme	Vi väntade i två timmar.	time	Vi ventet i to timer.	time	Vi ventede i to timer.	tunti	Odotimme kaksi tuntia.
5327:肿	肿	肿	puchnąć; opuchnięty	Jego kostka spuchła.	opzwellen; gezwollen	Zijn enkel zwol op.	svullna; svullen	Hans fotled svullnade upp.	hovne opp; hoven	Ankelen hans hovnet opp.	hæve; hævet	Hans ankel hævede.	turvota	Hänen nilkkansa turposi.
5328:中	中	中	trafić; wygrać	Wygrał nagrodę i był tak szczęśliwy, że nie mógł mówić.	winnen; raken	Hij won een prijs en was zo blij dat hij niets kon zeggen.	vinna; träffa	Han vann ett pris och var så glad att han inte kunde tala.	vinne; treffe	Han vant en premie og var så glad at han ikke kunne snakke.	vinde; ramme	Han vandt en præmie og var så glad, at han ikke kunne tale.	osua; voittaa	Hän voitti palkinnon ja oli niin iloinen, ettei saanut sanaa suustaan.
5329:种地	种地	种地	uprawiać ziemię	Dziadek w młodości uprawiał ziemię na wsi.	land bewerken	Opa bewerkte land op het platteland toen hij jong was.	bruka jorden	Farfar brukade jorden på landsbygden när han var ung.	dyrke jorda	Bestefar dyrket jorda på landet da han var ung.	dyrke jorden	Bedstefar dyrkede jorden på landet, da han var ung.	viljellä maata	Isoisä viljeli nuorena maata maaseudulla.
5330:中毒	中毒	中毒	zatrucie; zatruć się	Zepsute jedzenie może spowodować zatrucie.	vergiftiging; vergiftigd raken	Bedorven voedsel kan vergiftiging veroorzaken.	förgiftning; bli förgiftad	Fördärvad mat kan orsaka förgiftning.	forgiftning; bli forgiftet	Bedervet mat kan føre til forgiftning.	forgiftning; blive forgiftet	Fordærvet mad kan forårsage forgiftning.	myrkytys; saada myrkytys	Pilaantunut ruoka voi aiheuttaa myrkytyksen.
5331:中奖	中奖	中奖	wygrać nagrodę	Za pierwszym razem, gdy kupiła los, wygrała nagrodę.	een prijs winnen	Zij won een prijs de eerste keer dat ze een lot kocht.	vinna pris	Hon vann ett pris första gången hon köpte en lott.	vinne en premie	Hun vant en premie første gang hun kjøpte et lodd.	vinde en præmie	Hun vandt en præmie første gang, hun købte en lodseddel.	voittaa palkinto	Hän voitti palkinnon heti ensimmäisellä arpalipullaan.
5332:众人	众人	众人	wszyscy; tłum	Po usłyszeniu tej wiadomości wszyscy byli zaskoczeni.	iedereen; de menigte	Iedereen was verbaasd na het horen van het nieuws.	alla; folkmassan	Alla blev förvånade efter att ha hört nyheten.	alle; mengden	Alle ble overrasket etter å ha hørt nyheten.	alle; folkeskaren	Alle blev overraskede efter at have hørt nyheden.	kaikki; joukko	Kaikki yllättyivät kuultuaan uutisen.
5333:中暑	中暑	中暑	udar cieplny	W bardzo upalną pogodę osoby starsze są podatne na udar cieplny.	zonnesteek; hitteberoerte	Bij zeer warm weer zijn ouderen vatbaar voor een hitteberoerte.	värmeslag	I mycket varmt väder riskerar äldre personer att få värmeslag.	heteslag	I svært varmt vær er eldre mennesker utsatt for heteslag.	hedeslag	I meget varmt vejr har ældre mennesker let ved at få hedeslag.	lämpöhalvaus	Erittäin kuumalla säällä iäkkäät ihmiset ovat alttiita lämpöhalvaukselle.
5342:珠宝	珠宝	珠宝	biżuteria	Ten sklep specjalizuje się w projektowaniu biżuterii.	sieraden; juwelen	Deze winkel is gespecialiseerd in het ontwerpen van sieraden.	smycken; juveler	Den här butiken är specialiserad på att designa smycken.	smykker; juveler	Denne butikken spesialiserer seg på å designe smykker.	smykker; juveler	Denne butik specialiserer sig i at designe smykker.	korut; jalokivet	Tämä kauppa on erikoistunut korujen suunnitteluun.
5343:诸多	诸多	诸多	liczne; wiele	Ten projekt stoi przed licznymi wyzwaniami.	talrijke; veel	Dit project staat voor talrijke uitdagingen.	många; åtskilliga	Det här projektet står inför många utmaningar.	mange; en rekke	Dette prosjektet står overfor mange utfordringer.	mange; adskillige	Dette projekt står over for mange udfordringer.	monet; lukuisat	Tämä projekti kohtaa lukuisia haasteita.
5345:主播	主播	主播	prowadząca; prezenterka	Ona jest prowadzącą tego programu.	presentator; presentatrice	Zij is de presentatrice van dit programma.	programledare	Hon är programledare för det här programmet.	programleder	Hun er programleder for dette programmet.	vært; programleder	Hun er vært for dette program.	juontaja	Hän on tämän ohjelman juontaja.
5348:主角	主角	主角	główny bohater	Głównym bohaterem tego filmu jest lekarz.	hoofdpersoon	De hoofdpersoon in deze film is een arts.	huvudperson	Huvudpersonen i den här filmen är läkare.	hovedperson	Hovedpersonen i denne filmen er lege.	hovedperson	Hovedpersonen i denne film er læge.	päähenkilö	Tämän elokuvan päähenkilö on lääkäri.
5350:主演	主演	主演	grać główną rolę	W tej sztuce główne role grają młodzi aktorzy.	de hoofdrol spelen	In dit toneelstuk spelen jonge acteurs de hoofdrollen.	spela huvudrollen	Den här pjäsen har unga skådespelare i huvudrollerna.	spille hovedrollen	Dette stykket har unge skuespillere i hovedrollene.	spille hovedrollen	Dette teaterstykke har unge skuespillere i hovedrollerne.	näytellä pääosaa	Tässä näytelmässä pääosissa ovat nuoret näyttelijät.
5355:祝愿	祝愿	祝愿	życzyć	Szczerze życzę ci szczęścia.	wensen	Ik wens je oprecht geluk.	önska	Jag önskar dig uppriktigt lycka.	ønske	Jeg ønsker deg oppriktig lykke.	ønske	Jeg ønsker dig oprigtigt lykke.	toivottaa; toivoa	Toivotan sinulle vilpittömästi onnea.
5359:专科	专科	专科	specjalistyczna poradnia; kierunek zawodowy	Ten szpital ma specjalistyczną poradnię okulistyczną.	gespecialiseerde afdeling; vakopleiding	Dit ziekenhuis heeft een gespecialiseerde oogheelkundige afdeling.	specialistmottagning; yrkesinriktad utbildning	Det här sjukhuset har en specialistmottagning för ögonsjukdomar.	spesialavdeling; fagskole	Dette sykehuset har en spesialavdeling for øyesykdommer.	specialafdeling; erhvervsrettet uddannelse	Dette hospital har en specialafdeling for øjensygdomme.	erikoispoliklinikka; ammatillinen ala	Tässä sairaalassa on silmätautien erikoispoliklinikka.
5362:专用	专用	专用	specjalny; tylko do użytku	Ten korytarz jest przeznaczony wyłącznie dla personelu.	uitsluitend voor; speciaal voor	Deze doorgang is uitsluitend voor personeel.	särskilt avsedd; endast för	Den här passagen är endast avsedd för personal.	forbeholdt; spesial-	Denne passasjen er kun for ansatte.	forbeholdt; special-	Denne passage er kun for personale.	varattu; erityiskäyttöön	Tämä käytävä on vain henkilökunnan käytössä.
5363:专注	专注	专注	skoncentrowany; skupiać się	Ona jest bardzo skupiona podczas eksperymentów.	geconcentreerd zijn; zich richten op	Zij is erg geconcentreerd wanneer ze experimenten doet.	fokuserad; koncentrera sig	Hon är mycket fokuserad när hon gör experiment.	konsentrert; fokusert	Hun er svært konsentrert når hun gjør eksperimenter.	koncentreret; fokuseret	Hun er meget koncentreret, når hun laver eksperimenter.	keskittynyt; keskittyä	Hän on hyvin keskittynyt tehdessään kokeita.
5364:转换	转换	转换	konwertować; zmieniać	Proszę przekonwertować plik do formatu PDF.	omzetten; converteren	Zet het bestand alstublieft om naar PDF-formaat.	konvertera; omvandla	Konvertera filen till PDF-format.	konvertere; endre	Vennligst konverter filen til PDF-format.	konvertere; omdanne	Konverter venligst filen til PDF-format.	muuntaa	Muunna tiedosto PDF-muotoon.
5365:转交	转交	转交	przekazać	Proszę przekazać ten list kierownikowi.	doorgeven; overhandigen	Geef deze brief alstublieft door aan de manager.	lämna vidare	Lämna vidare det här brevet till chefen.	videresende; overlevere	Vennligst overlever dette brevet til lederen.	videregive; overbringe	Giv venligst dette brev videre til lederen.	välittää; toimittaa eteenpäin	Toimita tämä kirje eteenpäin johtajalle.
5367:转身	转身	转身	odwrócić się	Po usłyszeniu dźwięku natychmiast się odwrócił.	zich omdraaien	Hij draaide zich meteen om nadat hij het geluid hoorde.	vända sig om	Han vände sig genast om när han hörde ljudet.	snu seg	Han snudde seg straks da han hørte lyden.	vende sig om	Han vendte sig straks om, da han hørte lyden.	kääntyä ympäri	Hän kääntyi heti ympäri kuultuaan äänen.
5370:转动	转动	转动	obracać się; kręcić się	Koło maszyny zaczęło się obracać.	draaien	Het wiel van de machine begon te draaien.	rotera; vrida	Maskinens hjul började rotera.	rotere; dreie	Maskinens hjul begynte å rotere.	rotere; dreje	Maskinens hjul begyndte at rotere.	pyöriä; kääntyä	Koneen pyörä alkoi pyöriä.
5374:捉	捉	捉	łapać	Dzieci łapały motyle na podwórku.	vangen	De kinderen vingen vlinders op de binnenplaats.	fånga	Barnen fångade fjärilar på gården.	fange	Barna fanget sommerfugler i hagen.	fange	Børnene fangede sommerfugle i gården.	pyydystää	Lapset pyydystivät perhosia pihalla.
5378:自来水	自来水	自来水	woda z kranu	Tutejszą wodę z kranu można pić bezpośrednio.	kraanwater	Het kraanwater hier kan direct worden gedronken.	kranvatten	Kranvattnet här kan drickas direkt.	springvann	Springvannet her kan drikkes direkte.	postevand	Postevandet her kan drikkes direkte.	vesijohtovesi	Täällä vesijohtovettä voi juoda suoraan.
5379:自律	自律	自律	samodyscyplina	Utrzymywanie samodyscypliny jest ważne w nauce.	zelfdiscipline	Zelfdiscipline behouden is belangrijk voor studie.	självdisciplin	Att behålla självdisciplin är viktigt för studier.	selvdisiplin	Å opprettholde selvdisiplin er viktig for studier.	selvdisciplin	At bevare selvdisciplin er vigtigt for studier.	itsekuri	Itsekurin ylläpitäminen on tärkeää opiskelussa.
5381:自杀	自杀	自杀	samobójstwo	Relacje prasowe powinny ostrożnie opisywać przypadki samobójstwa.	zelfmoord	Nieuwsberichten moeten zelfmoordzaken zorgvuldig behandelen.	självmord	Nyhetsrapporter bör hantera självmordsfall varsamt.	selvmord	Nyhetsrapporter bør behandle selvmordssaker varsomt.	selvmord	Nyhedsrapporter bør behandle selvmordssager varsomt.	itsemurha	Uutisraporttien pitäisi käsitellä itsemurhatapauksia varovasti.
5382:自我	自我	自我	ja; samego siebie	Podróże sprawiły, że lepiej zrozumiał samego siebie.	zelf; eigen ik	Reizen liet hem zichzelf beter begrijpen.	själv; jaget	Resandet fick honom att förstå sig själv bättre.	selv; eget jeg	Reising gjorde at han forsto seg selv bedre.	selv; jeg	Rejser fik ham til at forstå sig selv bedre.	minä; itse	Matkustaminen sai hänet ymmärtämään itseään paremmin.
5383:自言自语	自言自语	自言自语	mówić do siebie	Ona mówiła do siebie, porządkując regał.	in zichzelf praten	Zij praatte in zichzelf terwijl ze de boekenkast opruimde.	prata för sig själv	Hon pratade för sig själv medan hon ordnade bokhyllan.	snakke med seg selv	Hun snakket med seg selv mens hun ryddet bokhyllen.	tale med sig selv	Hun talte med sig selv, mens hun ordnede bogreolen.	puhua itsekseen	Hän puhui itsekseen järjestäessään kirjahyllyä.
5385:自助	自助	自助	samoobsługa	Ta restauracja oferuje śniadanie samoobsługowe.	zelfbediening	Dit restaurant biedt een ontbijt met zelfbediening.	självbetjäning	Den här restaurangen erbjuder frukost med självbetjäning.	selvbetjening	Denne restauranten tilbyr frokost med selvbetjening.	selvbetjening	Denne restaurant tilbyder morgenmad med selvbetjening.	itsepalvelu	Tämä ravintola tarjoaa itsepalveluaamiaisen.
5388:总计	总计	总计	łącznie; razem	Łącznie w tym wydarzeniu wzięło udział dwieście osób.	in totaal	In totaal namen tweehonderd mensen deel aan dit evenement.	totalt	Totalt deltog tvåhundra personer i evenemanget.	totalt	Totalt deltok to hundre personer i dette arrangementet.	i alt	I alt deltog to hundrede personer i dette arrangement.	yhteensä	Tähän tapahtumaan osallistui yhteensä kaksisataa ihmistä.
5391:粽子	粽子	粽子	zongzi; ryżowe zawiniątka	Na Święto Smoczych Łodzi zrobiliśmy wiele zongzi.	zongzi; kleefrijstpakketjes	We maakten veel zongzi voor het Drakenbootfestival.	zongzi; klibbrisdumplings	Vi gjorde många zongzi till drakbåtsfestivalen.	zongzi; rispakker	Vi laget mange zongzi til dragebåtfestivalen.	zongzi; rispakker	Vi lavede mange zongzi til dragebådsfestivalen.	zongzi; riisinyytit	Teimme monta zongzia lohikäärmevenejuhlaa varten.
5393:足	足	足	wystarczający	Ta kwota wystarczy na zakup biletu.	genoeg; voldoende	Dit bedrag is genoeg om het kaartje te kopen.	tillräcklig	Den här summan räcker för att köpa biljetten.	nok; tilstrekkelig	Dette beløpet er nok til å kjøpe billetten.	nok; tilstrækkelig	Dette beløb er nok til at købe billetten.	riittävä	Tämä rahasumma riittää lipun ostamiseen.
5396:阻挡	阻挡	阻挡	blokować; powstrzymywać	Ciężki śnieg zablokował pojazdy i nie mogły ruszyć dalej.	tegenhouden; blokkeren	De zware sneeuw hield de voertuigen tegen.	hindra; stoppa	Den kraftiga snön hindrade fordonen från att köra vidare.	hindre; stoppe	Den tunge snøen hindret kjøretøyene i å kjøre videre.	hindre; standse	Den kraftige sne forhindrede køretøjerne i at køre videre.	estää; pysäyttää	Raskas lumi esti ajoneuvoja jatkamasta matkaa.
5399:钻	钻	钻	wpełzać; wciskać się	Dziecko wpełzło pod stół.	kruipen; zich wurmen	Het kind kroop onder de tafel.	krypa in	Barnet kröp in under bordet.	krype	Barnet krøp under bordet.	kravle	Barnet kravlede ind under bordet.	ryömiä	Lapsi ryömi pöydän alle.
5400:罪	罪	罪	przestępstwo; wina	On przyznał się do przestępstwa.	misdaad; schuld	Hij bekende zijn misdaad.	brott; skuld	Han erkände sitt brott.	forbrytelse; skyld	Han innrømmet forbrytelsen sin.	forbrydelse; skyld	Han tilstod sin forbrydelse.	rikos; syyllisyys	Hän myönsi rikoksensa.
