simplified	KK	example_KK
虐待	қатыгездік жасау	Заң балаларға қатыгездік жасауға тыйым салады.
哦	о	О, мен ақыры түсіндім.
殴打	соққыға жығу	Полиция жолаушыны соққыға жыққан адамды ұстады.
偶像	пір тұту	Ол сол жазушыны пір тұтады.
呕吐	құсу	Бұзылған тамақ жегеннен кейін ол құса бастады.
趴	етпетінен жату	Кішкентай мысық терезе алдына етпетінен жатып ұйықтады.
徘徊	әрлі-берлі жүру	Ол есік алдында ұзақ әрлі-берлі жүрді.
排斥	тебу	Жаңа материал суды тебеді.
排除	жоққа шығару	Дәрігер алдымен ауыр ауруды жоққа шығарды.
排放	шығарындылар	Зауыттар түтін шығарындыларын азайтуы керек.
排练	дайындық жасау	Әртістер жаңа бағдарламаға дайындық жасап жатыр.
派别	топ	Бұл ұйымның ішінде әртүрлі топтар бар.
派遣	жіберу	Компания инженерлерді оқиға орнына жіберді.
攀登	өрмелеу	Олар ертең қарлы тауға өрмелеуді жоспарлап отыр.
盘旋	айнала ұшу	Ұшақ әуежай үстінде айнала ұшты.
判决	үкім	Сот бүгін үкімді жариялады.
畔	жағасы	Балалар көл жағасында серуендеді.
庞大	орасан	Бұл жоба орасан қаржыны қажет етеді.
抛弃	тастау	Ол өз арманын тастағысы келмейді.
泡沫	көбік	Стақанда көп ақ көбік бар.
培育	тәрбиелеу	Мектеп оқушылардың жауапкершілік сезімін тәрбиелеуге күш салады.
配备	жабдықтау	Жаңа көлік қауіпсіздік жүйесімен жабдықталған.
配偶	жұбай	Өтініш нысанында жұбай туралы мәлімет жазу керек.
配套	қосалқы	Қоғамдастықта толық қосалқы нысандар бар.
盆地	ойпат	Бұл ойпат жазда өте ыстық.
烹饪	аспаздық	Аспаздық шыдам мен тәжірибені қажет етеді.
捧	қос қолмен ұстау	Ол бір шоқ гүлді қос қолымен ұстап тұрды.
劈	жару	Жұмысшы балтамен отын жарды.
批发	көтерме сату	Бұл дүкен негізінен жемісті көтерме сатады.
批判	сынға алу	Мақала бұл қате көзқарасты сынға алды.
疲惫	қалжыраған	Ұзақ сапардан кейін бәрі қалжырады.
疲倦	шаршау	Үздіксіз жұмыс оны шаршатты.
皮革	былғары	Бұл сөмке былғарыдан жасалған.
屁股	бөксе	Бала құлағаннан кейін бөксесі ауырды.
譬如	мысалы	Мысалы, алдымен шағын сынақ жасай аламыз.
偏差	ауытқу	Тәжірибе нәтижесінде айқын ауытқу бар.
偏见	алалаушылық	Біз ұлттық алалаушылықтан аулақ болуымыз керек.
偏僻	шалғай	Бұл ауыл өте шалғай жерде орналасқан.
偏偏	дәл солай	Мен асыққан сайын, көлік дәл солай баяулай берді.
片断	үзінді	Фильмде бірнеше тамаша үзінді бар.
片刻	сәт	Мені осында бір сәт күте тұрыңыз.
漂浮	қалқу	Қураған жапырақтар су бетінде қалқып жүрді.
飘扬	желбіреу	Мемлекеттік ту желде желбіреп тұрды.
撇	шетке ысыру	Ол ескі жоспарды шетке ысырып қойды.
拼搏	күресу	Жастар мұраты үшін күресуі керек.
拼命	жан сала	Ол алдыңғы топты жан сала қуды.
贫乏	жұтаң	Бұл мақаланың мазмұны біршама жұтаң.
贫困	кедейлік	Үкімет кедей отбасыларға көмектеседі.
频繁	жиі	Соңғы кезде мұнда жол апаттары жиі болып жүр.
频率	жиілік	Бұл дыбыстың жиілігі жоғары.
品尝	дәмін көру	Қонақтар жергілікті тағамдардың дәмін көріп жатыр.
品德	адамгершілік	Мектеп оқушылардың адамгершілік тәрбиесіне мән береді.
品质	сапа	Бұл компания өнімдерінің сапасы тұрақты.
品种	түр	Базарда жемістің түрі көп.
屏幕	экран	Экран жарықтығын төмендетіңіз.
屏障	тосқауыл	Орман желге қарсы маңызды тосқауыл.
平凡	қарапайым	Ол қарапайым қызметте көп жыл еңбек етті.
平面	жоспар	Дизайнер үйдің жоспарын сызды.
平坦	тегіс	Бұл жол өте тегіс.
平行	параллель	Бұл екі сызық бір-біріне параллель.
平庸	орташа	Ол орташа өмірге көнгісі келмейді.
平原	жазық	Пойыз кең жазықты кесіп өтті.
评估	бағалау	Сарапшылар жобаның тәуекелін бағалап жатыр.
评论	пікір жазу	Оқырмандар мақала астына пікір жаза алады.
坡	еңіс	Көлік еңіске баяу көтерілді.
泼	шашу	Суды еденге шашпаңыз.
颇	едәуір	Бұл нәтиже едәуір күтпеген болды.
破例	ерекше жағдай жасау	Менеджер оған ерекше жағдай жасап, өтінішін мақұлдады.
迫不及待	шыдамсыздану	Балалар сыйлықтарды ашуға шыдамсызданды.
迫害	қудалау	Тарихта көп адам қудалауға ұшыраған.
魄力	батылдық	Басшыға шешім қабылдайтын батылдық керек.
扑	ұмтылу	Бала бірден анасының құшағына ұмтылды.
铺	төсеу	Жұмысшылар жаңа кілемді төсеп жатыр.
普及	кең таралу	Интернет қалада кең таралып үлгерді.
朴实	қарапайым	Оның тілі қарапайым әрі шынайы.
朴素	қарапайым	Ол қарапайым өмір салтын ұнатады.
瀑布	сарқырама	Туристер сарқыраманың жанында суретке түсті.
凄凉	құлазыған	Қыста тау ауылы құлазып көрінеді.
期望	үміт	Ата-ананың баласына үміті жоғары.
期限	мерзім	Тіркелу мерзімі осы жұма.
欺负	қорлау	Үлкен балалар кішкентайларды қорламауы керек.
欺骗	алдау	Жалған жарнама тұтынушыларды алдады.
奇妙	ғажайып	Табиғатта көптеген ғажайып құбылыстар бар.
旗袍	ципао көйлегі	Ол кешке қызыл ципао көйлегін киіп барды.
旗帜	ту	Алаңда ашық түсті тулар желбіреді.
歧视	кемсіту	Заң кемсітудің кез келген түріне тыйым салады.
齐全	толық	Бұл дүкенде құрал-сайман толық.
齐心协力	бірлесе күш салу	Барлығы бірлесе күш салып, тапсырманы орындады.
乞丐	қайыршы	Жол жиегінде бір кәрі қайыршы отырды.
企图	әрекеттену	Ол шын жағдайды жасыруға әрекеттенді.
启程	жолға шығу	Делегация ертең таңертең жолға шығады.
启蒙	бастапқы білім беру	Бұл кітап балаларға бастапқы білім беруге лайық.
启事	хабарландыру	Мектеп қақпасына жұмысқа алу хабарландыруы ілінді.
启示	сабақ	Бұл сәтсіздік бізге маңызды сабақ берді.
岂有此理	ақылға сыймайтын	Мұндай төлем шынымен ақылға сыймайды.
起草	жоба әзірлеу	Заңгер келісімшарт жобасын әзірлеп жатыр.
起初	басында	Басында ол бұл хабарға сенбеді.
起伏	ойлы-қырлы болу	Тау жолы жер бедерімен бірге ойлы-қырлы болып созылады.
起哄	шу шығару	Оқушылар сабақта шу шығармауы керек.
起码	ең болмағанда	Сен ең болмағанда маған алдын ала хабарлауың керек еді.
起源	бастау алу	Бұл мереке ежелгі дәуірден бастау алған.
器材	жабдық	Зертханаға жаңа оқу жабдықтары қажет.
器官	мүше	Жүрек адам денесіндегі маңызды мүше.
气概	рух	Бұл өлең батырлық рухты көрсетеді.
气功	цигун	Атам әр таң сайын цигунмен шұғылданады.
气魄	айбар	Бұл көпірдің айбары ерекше.
气色	өң	Демалғаннан кейін оның өңі жақсарды.
气势	қарқын	Команда ойын басталғаннан-ақ қатты қарқын алды.
气味	иіс	Асүйде қуырылған нанның иісі шықты.
气象	ауа райы	Бұл үстіртте ауа райы тез өзгереді.
气压	ауа қысымы	Ауа қысымының төмендеуі жаңбыр әкелуі мүмкін.
气质	болмыс	Оның сабырлы болмысы бар.
迄今为止	осы уақытқа дейін	Осы уақытқа дейін тәжірибе сәтті жүріп жатыр.
掐	үзіп алу	Ол кішкентай гүлді үзіп алды.
恰当	орынды	Сенің жауабың өте орынды.
恰到好处	дәл мөлшерінде	Бұл тағамның тәттілігі дәл мөлшерінде.
恰巧	дәл сол кезде	Мен бекетке жеткенде дәл сол кезде жаңбыр жауды.
洽谈	келіссөз жүргізу	Екі тарап ынтымақтастықтың егжей-тегжейін талқылап жатыр.
千方百计	бар амалын салу	Олар шешім табу үшін бар амалын салды.
牵	жетектеу	Анасы баласын жетектеп жолдан өтті.
牵扯	қатысы болу	Бұл іске көптеген бөлімнің қатысы бар.
牵制	тежеп ұстау	Қарсыластың қорғанысы шабуылды тежеп ұстады.
签署	қол қою	Екі компания келісімге қол қойды.
谦逊	кішіпейіл	Табысқа жеткеннен кейін де ол кішіпейіл болып қалды.
迁就	ыңғайына көне беру	Ата-ана баланың ыңғайына үнемі көне бермеуі керек.
迁徙	қоныс аудару	Жыл құстары жыл сайын маусымға қарай қоныс аударады.
前景	болашақ	Бұл саланың болашағы жақсы.
前提	алғышарт	Сенім ынтымақтастықтың алғышарты.
潜力	әлеует	Бұл оқушының әлеуеті зор.
潜水	сүңгу	Олар теңіз жағасына сүңгуді үйренуге барды.
潜移默化	байқатпай ықпал ету	Отбасы ортасы балаға байқатпай ықпал етеді.
谴责	айыптау	Халықаралық қоғамдастық зорлық-зомбылықты айыптады.
抢劫	тонау	Полиция банк тонаған күдіктіні ұстады.
强制	міндеттеу	Жаңа ереже жүргізушілерге қауіпсіздік белдігін тағуды міндеттейді.
强迫	мәжбүрлеу	Балаларды ұнатпайтын ісін жасауға мәжбүрлеме.
抢救	құтқару	Дәрігерлер жараланған жұмысшыны құтқарып жатыр.
桥梁	көпір	Тіл мәдени алмасудың көпірі.
窍门	тәсіл	Айтылымды үйренудің бірнеше тәсілі бар.
翘	көтеріп қою	Ол бір аяғын орындыққа көтеріп қойды.
切实	нақты	Бізге нақты әрі іске асатын жоспар керек.
锲而不舍	табандылық таныту	Ол бұл мәселені табандылықпен зерттеді.
亲密	жақын	Олар әрдайым жақын қарым-қатынасты сақтады.
亲热	жылы	Қарт кісі қонақтарды жылы қарсы алды.
侵犯	қол сұғу	Бұл әрекет жеке құпияға қол сұқты.
侵略	басқыншылық	Халық басқыншылықтың кез келген түріне қарсы.
钦佩	сүйсіну	Мен оның батылдығына қатты сүйсінемін.
勤俭	еңбекқор әрі үнемшіл	Әжем өмір бойы үйді еңбекқор әрі үнемшіл жүргізді.
勤劳	еңбекқор	Еңбекқор адам әрқашан мүмкіндік жасай алады.
倾听	мұқият тыңдау	Мұғалім оқушылардың пікірін мұқият тыңдады.
倾向	бейім болу	Жас тұтынушылар интернеттен сатып алуға бейім.
倾斜	қисаю	Нөсерден кейін қабырға қисая бастады.
清澈	мөлдір	Таудағы бұлақ суы өте мөлдір.
清晨	таңсәрі	Таңсәрідегі ауа ерекше таза.
清除	тазарту	Жұмысшылар жолдағы қарды тазартты.
清洁	таза	Аурухана қоршаған ортаны таза ұстауы керек.
清理	ретке келтіру	Демалыста біз қойманы ретке келтірдік.
清晰	анық	Бұл сурет өте анық.
清醒	сергек	Кофе ішкеннен кейін ол әлдеқайда сергек болды.
清真	халал	Жақын жерде бір халал мейрамхана бар.
情报	барлау мәліметі	Тілші маңызды барлау мәліметін алды.
情节	сюжет	Романның сюжеті өте ширыққан.
情理	қисын	Оның талабы қисынға сай емес.
情形	жағдай	Оқиға орнындағы жағдай ойлағаннан күрделірек болды.
晴朗	ашық	Бүгін аспан ерекше ашық.
请柬	шақыру қағазы	Олар туыстары мен достарына тойға шақыру қағазын жіберді.
请教	ақыл сұрау	Мен сізден бір мәселе бойынша ақыл сұрағым келеді.
请示	нұсқау сұрау	Бұл істі алдымен басшылықтан нұсқау сұрау керек.
请帖	шақырухат	Үстелде туған күнге арналған шақырухат жатты.
丘陵	қырат	Бұл өңірде қырат көп.
区分	ажырату	Бала оң мен солды ажырата алады.
区域	аймақ	Бұл аймақта көлік қоюға тыйым салынған.
屈服	берілу	Ол қысымға берілген жоқ.
曲折	күрделі	Олар күрделі келіссөздерден өтті.
驱逐	қуып шығару	Полиция тәртіп бұзған адамдарды қуып шығарды.
渠道	арна	Компания өнімін жаңа арна арқылы сатады.
取缔	тыйым салу	Үкімет заңсыз базарға тыйым салды.
曲子	әуен	Бұл әуеннің сазы өте әдемі.
趣味	қызық	Бұл ойын өте қызық.
圈套	тұзақ	Ол алаяқтың тұзағына түсе жаздады.
全局	жалпы жағдай	Басшы жалпы мүддені ескеруі керек.
全力以赴	бар күшін салу	Біз тапсырманы орындауға бар күшімізді саламыз.
拳头	жұдырық	Ол жұдырығын түйіп, жарысқа дайындалды.
权衡	салмақтау	Біз шығын мен нәтижені салмақтауымыз керек.
权威	беделді маман	Бұл профессор осы саладағы беделді маман.
犬	ит	Бұл ит үй күзетуге қолайлы.
缺口	саңылау	Қабырғада кішкентай саңылау бар.
缺席	қатыспау	Ол ауруына байланысты жиналысқа қатыспады.
缺陷	кемшілік	Бұл жобада айқын кемшілік бар.
瘸	ақсау	Оның сол аяғы сәл ақсайды.
确保	қамтамасыз ету	Есіктің құлыпталғанын қамтамасыз етіңіз.
确立	белгілеу	Компания жаңа даму мақсатын белгіледі.
确切	нақты	Мен нақты уақытын білмеймін.
确信	сенімді болу	Мен оның уақытында келетініне сенімдімін.
群众	бұқара	Бұқара жаңа саясатты қолдайды.
染	бояу	Ол шашын қара түске бояды.
嚷	айқайлау	Дәлізде қатты айқайлама.
让步	шегініс	Екі тарап та біраз шегініс жасады.
饶恕	кешіру	Ол ақырында қарсы тарапты кешіруді таңдады.
扰乱	бұзу	Шу сабақ тәртібін бұзды.
惹祸	бәле шақыру	Ойланбай әзілдеу оңай бәле шақырады.
热泪盈眶	көзіне жас алу	Жақсы хабарды естігенде оның көзіне жас алды.
热门	танымал	Жасанды интеллект танымал тақырыпқа айналды.
人道	адамгершілік	Құтқару әрекеті адамгершілік рухын көрсетті.
人格	тұлғалық қадір-қасиет	Басқаны қорлау тұлғалық қадір-қасиетке зиян келтіреді.
人工	қолдан жасалған	Бұл өзен қолдан жасалған.
人家	басқалар	Өзіңді үнемі басқалармен салыстырма.
人间	адамзат әлемі	Көктем адамзат әлеміне тіршілік әкеледі.
人士	өкілдер	Әр саланың өкілдері пікірталасқа қатысты.
人为	адамнан болған	Бұл апат адамнан болған себептен шықты.
人性	адам табиғаты	Бұл фильм адам табиғатын талқылайды.
人质	кепілге алынған адам	Полиция кепілге алынған адамды сәтті құтқарды.
仁慈	мейірімді	Бұл дәрігер науқастарға өте мейірімді.
忍耐	шыдам	Ұзын кезекте тұруға біраз шыдам керек.
忍受	төзу	Мен мұндағы шуға төзе алмаймын.
任命	тағайындау	Директорлар кеңесі оны менеджер етіп тағайындады.
任性	өзімшіл	Бала тым өзімшіл болса, өсуіне әсер етеді.
任意	өз бетінше	Деректерді өз бетіңізше өзгертпеңіз.
任重道远	міндет ауыр, жол ұзақ	Білім реформасында міндет ауыр, жол ұзақ.
认定	анықтау	Полиция мұны апат деп анықтады.
认可	мойындау	Оның жоспарын бәрі мойындады.
仍旧	әлі де	Көп жылдан кейін ол әлі де осы жерде тұрды.
日新月异	күн сайын жаңару	Технология күн сайын жаңарып дамып келеді.
日益	барған сайын	Экологиялық мәселе барған сайын ауырлап барады.
容貌	келбет	Жылдар оның келбетін өзгертті.
容纳	сыйдыру	Бұл зал бес жүз адамды сыйдыра алады.
容器	ыдыс	Сұйықтықты шыны ыдысқа құйыңыз.
容忍	төзімділік таныту	Компания алаяқтыққа төзімділік таныта алмайды.
溶解	еру	Тұз суда ериді.
荣幸	құрмет	Жиналысқа қатысу мен үшін үлкен құрмет.
荣誉	абырой	Бұл медаль ең жоғары абыройды білдіреді.
融化	еру	Күн сәулесі мұз бен қарды ақырын ерітті.
融洽	үйлесімді	Әріптестер арасындағы қатынас өте үйлесімді.
揉	уқалау	Анам иығымды ақырын уқалады.
柔和	жұмсақ	Жарық жұмсақ, көзді ауыртпайды.
儒家	конфуцийшілдік	Конфуцийшілдік ой Шығыс Азия мәдениетіне ықпал етті.
弱点	әлсіз тұс	Ұқыпсыздық оның негізгі әлсіз тұсы.
若干	бірнеше	Жиналыста бірнеше ұсыныс айтылды.
撒谎	өтірік айту	Балалар өтірік айтпауы керек.
散文	проза	Ол қазіргі прозаны оқығанды ұнатады.
散布	тарату	Желіде біреулер қауесет таратты.
散发	шығару	Бақтан жұпар иіс шығып тұр.
丧失	жоғалту	Ол сенімін жоғалтқан жоқ.
骚扰	мазалау	Басқа жолаушыларды мазаламаңыз.
嫂子	жеңге	Жеңгемнің жасаған тамағы өте дәмді.
刹车	тежегіш басу	Жүргізуші кенет тежегіш басты.
啥	не	Сен жаңа не дедің?
筛选	іріктеу	Жүйе түйіндемелерді автоматты түрде іріктейді.
山脉	тау жотасы	Бұл тау жотасы өте ұзын.
闪烁	жыпылықтау	Алыстағы шамдар тоқтамай жыпылықтады.
擅长	шебер болу	Ол күрделі мәселелерді шешуге шебер.
擅自	рұқсатсыз	Қызметкерлер рұқсатсыз жұмыс орнынан кете алмайды.
伤脑筋	бас ауыртатын	Бұл мәселе шынымен бас ауыртады.
商标	сауда белгісі	Компания жаңа сауда белгісін тіркеді.
上级	жоғары басшылық	Ол жағдайды жоғары басшылыққа баяндады.
上进	алға ұмтылу	Ол әрқашан алға ұмтылады.
上任	қызметке кірісу	Жаңа менеджер келесі аптада қызметке кіріседі.
上瘾	тәуелді болу	Көп адам қысқа бейнелерге тәуелді болып қалады.
上游	жоғарғы ағыс	Ластану өзеннің жоғарғы ағысынан келді.
尚且	тіпті	Тіпті ересектер де қателеседі.
捎	жеткізе салу	Маған бір ауыз хабар жеткізе салыңызшы.
梢	ұшар бас	Құс ағаштың ұшар басына қонды.
哨	қарауыл	Қақпа алдында бір қарауыл тұр.
奢侈	ысырапшыл	Мұндай тұтыну тым ысырапшыл.
舌头	тіл	Ол тілін күйдіріп алды.
摄氏度	Цельсий градусы	Бүгін ауа температурасы Цельсий бойынша отыз градус.
涉及	қамту	Есеп бірнеше бөлімді қамтиды.
社区	қауымдастық	Қауымдастық денсаулық туралы дәріс ұйымдастырды.
设立	құру	Мектеп шәкіртақы қорын құрды.
设想	ой	Бұл ой әлі талқылауды қажет етеді.
设置	баптау	Құпиясөзді қайта баптаңыз.
呻吟	ыңырсу	Науқас ақырын ыңырсыды.
深奥	терең	Бұл кітаптың мазмұны өте терең.
深沉	қоңыр	Оның дауысы төмен әрі қоңыр шықты.
深情厚谊	терең достық	Екі ел халқы терең достық орнатты.
申报	мәлімдеу	Жолаушылар заттарын шындыққа сай мәлімдеуі керек.
绅士	салмақты мырза	Оның жүріс-тұрысы салмақты мырзаға ұқсайды.
神经	жүйке	Қысым жүйке жүйесіне әсер етуі мүмкін.
神奇	керемет	Бұл жердің көрінісі өте керемет.
神气	ширақ	Ол бүгін ерекше ширақ көрінді.
神圣	қасиетті	Бұл қасиетті міндет.
神态	кейіп	Оның кейпі өте сабырлы болды.
神仙	мәңгілік жан	Аңыз бойынша тауда мәңгілік жандар тұрады.
审查	тексеру	Платформа жарияланған мазмұнды тексереді.
审理	сотта қарау	Сот бұл істі қарап жатыр.
审美	эстетикалық талғам	Оның эстетикалық талғамы ерекше.
审判	сот процесі	Ашық сот процесі ақпарат құралдарының назарын аударды.
慎重	сақ	Бұл шешімді сақ қабылдау керек.
渗透	сіңу	Жаңбыр суы топыраққа баяу сіңді.
声明	мәлімдеме	Компания ресми мәлімдеме жасады.
声势	қарқын	Бұл насихат науқанының қарқыны күшті.
声誉	бедел	Өнім сапасы бренд беделіне әсер етеді.
牲畜	мал	Малшылар малды жайылымға қайтарды.
生存	тірі қалу	Жабайы жануарларға тірі қалу үшін кеңістік керек.
生机	тіршілік қуаты	Көктемгі жаңбыр жерді тіршілік қуатына толтырды.
生理	физиология	Ұйқы адамның физиологиялық күйіне әсер етеді.
生疏	дағдысы әлсіреу	Көп жыл жаттықпағандықтан, оның пианино дағдысы әлсіреген.
生态	экология	Орманды қорғау экологиялық тепе-теңдікке қатысты.
生物	тіршілік иесі	Мұхитта көптеген ерекше тіршілік иелері бар.
生效	күшіне ену	Жаңа ереже ертең ресми түрде күшіне енеді.
生肖	қытай жыл белгісі	Сенің қытай жыл белгің қандай?
生锈	тот басу	Велосипедтің шынжырын тот басыпты.
生育	бала туу	Аурухана бала туу бойынша кеңес беру қызметін ұсынады.
省会	провинция астанасы	Чэнду ежелден Сычуань провинциясының астанасы болған.
盛产	мол өндіру	Бұл жерде сапалы шай мол өндіріледі.
盛开	жайқалып гүлдеу	Саябақтағы шие гүлдері жайқалып гүлдеп тұр.
盛情	зор ықылас	Біз үй иесінің зор ықыласпен күткеніне алғыс айттық.
盛行	кең таралу	Бұл стиль бір кезде өте кең таралған еді.
胜负	жеңіс пен жеңіліс	Матчтың соңғы минуты жеңіс пен жеңілісті шешті.
失事	апатқа ұшырау	Ұшақтың апатқа ұшырау себебі әлі тергеліп жатыр.
失误	қателік	Кішкентай қателік жобаның кешігуіне себеп болды.
失踪	із-түзсіз жоғалу	Полиция із-түзсіз жоғалған баланы іздеп жатыр.
尸体	мәйіт	Құтқарушылар қаза тапқан адамның мәйітін тапты.
师范	педагогикалық	Ол педагогикалық университетті бітірген.
施加	түсіру	Ата-ана балаға шамадан тыс қысым түсірмеуі керек.
施展	көрсету	Оған ақыры өз талантын көрсетуге мүмкіндік туды.
十足	толық	Ол нәтижеге толық сенімді.
实惠	қолжетімді	Бұл дүкендегі бағалар өте қолжетімді.
实力	күш	Команданың жалпы күші өте жоғары.
实施	іске асыру	Үкімет жаңа жоспарды іске асыра бастады.
实事求是	дерекке сүйену	Зерттеу жасағанда дерекке сүйену керек.
实行	қолдану	Компания икемді жұмыс жүйесін қолданады.
实质	мән	Мәселенің мәні өзгерген жоқ.
拾	теріп алу	Ол еңкейіп жердегі кілтті теріп алды.
时常	жиі	Атам жастық шағын жиі еске алады.
时而	кейде	Ауа райы кейде ашық, кейде бұлтты.
时光	уақыт	Жақсы уақыт әрқашан қысқа көрінеді.
时机	сәт	Қазір келіссөз үшін қолайлы сәт емес.
时事	ағымдағы оқиғалар	Оқушылар апта сайын халықаралық ағымдағы оқиғаларды талқылайды.
石油	мұнай	Мұнай бағасы тағы көтерілді.
识别	тану	Жүйе әртүрлі адамның жүзін тани алады.
使命	міндет; борыш	Қоршаған ортаны қорғау - ортақ міндет.
世代	ұрпақ	Бұл өнер отбасында ұрпақтан ұрпаққа беріліп келеді.
事故	апат	Бұл апатта адам шығыны болған жоқ.
事迹	ерлік іс	Оның ерлік істері кең таралды.
事件	оқиға	Бұл оқиға қоғам назарын аударды.
事态	ахуал	Үкімет ахуалдың дамуын бақылап отыр.
事务	істер	Ол компанияның күнделікті істеріне жауапты.
事项	тармақ	Келісімшарттағы маңызды тармақтарды растаңыз.
事业	өмірлік іс	Ол білім беруді өмірлік ісі деп біледі.
势必	сөзсіз	Шығынның өсуі бағаға сөзсіз әсер етеді.
势力	ықпал	Жергілікті сауда ықпалы өте күшті.
是非	дау-дамай	Ол кеңседегі дау-дамайға араласқысы келмейді.
示范	көрсету	Мұғалім алдымен бір рет көрсетіп берді.
示威	наразылық шеруі	Қала ортасында бейбіт наразылық шеруі өтті.
示意	ишара жасау	Менеджер бәріне тыныш болуға ишара жасады.
视力	көру қабілеті	Экранға ұзақ қарау көру қабілетіне әсер етеді.
视频	бейне	Бейнені маған жіберіңізші.
视线	көз алды	Қалың тұман жүргізушінің көз алдын жапты.
视野	көкжиек	Саяхат көкжиекті кеңейтеді.
试图	тырысу	Ол өз шешімін түсіндіруге тырысты.
试验	сынақ	Ғалымдар бірнеше сынақ жүргізді.
适宜	қолайлы	Бұл жердің климаты тұруға қолайлы.
逝世	қайтыс болу	Бұл жазушы өткен жылы қайтыс болды.
释放	босату	Сот айыпталушыны босату туралы шешім қабылдады.
收藏	жинау	Ол көптеген ескі маркаларды жинады.
收缩	жиырылу	Суық ауа металдың жиырылуына себеп болады.
收益	табыс	Инвестиция табысы күткеннен жоғары болды.
收音机	радио	Әжем күн сайын радио тыңдайды.
守护	қорғау	Дәрігерлер науқастардың өмірін қорғайды.
手法	тәсіл	Режиссердің түсіру тәсілі ерекше.
手势	қол қимылы	Ол келісетінін қол қимылымен білдірді.
手艺	шеберлік	Бұл шебердің шеберлігі өте жақсы.
首饰	әшекей	Ол қарапайым күміс әшекей тақты.
首要	ең басты	Қауіпсіздік ең басты міндет.
受罪	азап шегу	Науқас отадан кейін көп азап шекті.
授予	беру	Мектеп оған құрметті дәреже берді.
书法	көркем жазу	Ол бала кезінен көркем жазумен айналысады.
书记	хатшы	Ауыл хатшысы жиналысты жүргізді.
书籍	кітаптар	Кітапханада көп кітаптар сақталған.
书面	жазбаша	Жазбаша дәлелдеме беріңіз.
疏忽	салғырттық	Бұл қате жұмыстағы салғырттықтан шықты.
疏远	алшақтау	Түсінбеушілік екі адамды біртіндеп алшақтатты.
舒畅	жайлы	Серуеннен кейін көңілім жайлы болды.
数额	сома	Өтемақы сомасы әлі анықталған жоқ.
束	бу	Ол бір бу гүл сатып алды.
束缚	шектеу	Дәстүрлі түсініктер оның таңдауын шектеді.
树立	қалыптастыру	Компания жақсы бейне қалыптастыруы керек.
竖	тік қою	Белгіні тік қойыңыз.
耍	ойнау	Жұмыс уақытында телефонмен ойнама.
衰老	қартаю	Жаттығу қартаюды баяулата алады.
衰退	құлдырау	Экономикалық құлдырау жұмыспен қамтуға әсер етті.
率领	бастап жүру	Капитан топты бастап алға жүрді.
涮火锅	ыстық қазан жеу	Қыста жұрт ыстық қазан жегенді ұнатады.
双胞胎	егіз	Олар бір жұп егіз.
爽快	ашық	Ол өте ашық жауап берді.
水利	су шаруашылығы	Бұл өңір су шаруашылығы құрылысына мән береді.
水龙头	су шүмегі	Асүйдегі су шүмегінен су ағып тұр.
水泥	цемент	Жұмысшылар цементті құрылыс алаңына жеткізді.
瞬间	сәт	Шамдар бір сәтте түгел өшті.
司法	сот жүйесі	Сот жүйесінің тәуелсіздігіне институциялық кепіл керек.
司令	қолбасшы	Қолбасшы шегіну бұйрығын берді.
思念	сағыну	Ол туған жерін жиі сағынады.
思索	терең ойлану	Ол басын төмен түсіріп ұзақ терең ойланды.
思维	ойлау	Бұл жаттығу логикалық ойлауды жақсартады.
斯文	сыпайы	Ол өте сыпайы сөйлейді.
私自	рұқсатсыз	Оқушылар мектептен рұқсатсыз кете алмайды.
死亡	өлім	Апат бірнеше адамның өліміне себеп болды.
四肢	аяқ-қол	Жаттығудан бұрын аяқ-қолды қозғалту керек.
寺庙	ғибадатхана	Тауда көне ғибадатхана бар.
肆无忌惮	беталды	Ол ережені беталды бұзды.
饲养	өсіру	Фермада көптеген сауын сиыр өсіріледі.
耸	иық көтеру	Ол естігеннен кейін тек иығын көтерді.
艘	кеме	Айлақта үш жүк кемесі тұр.
苏醒	есіне келу	Науқас ақыры есіне келді.
俗话	мақал	Мақал айтқандай, жаттығу шеберлікке жеткізеді.
塑造	қалыптастыру	Орта адамның мінезін қалыптастырады.
素食	вегетариан тағамы	Бұл мейрамхана вегетариан тағамын ұсынады.
素质	сапа	Қызметкерлердің сапасы өте жоғары.
诉讼	сот талабы	Екі тарап мәселені сот талабы арқылы шешуге келісті.
算数	сөзінде тұру	Айтқан сөзіңде тұруың керек.
随即	бірден	Жиналыс біткен соң ол бірден кетіп қалды.
随意	қалағанынша	Параметрлерді қалағанынша өзгерте бермеңіз.
岁月	жылдар	Жылдар оның келбетін өзгертті.
隧道	туннель	Пойыз ұзын туннельден өтті.
损坏	зақымдау	Нөсер жолды зақымдады.
索取	сұрату	Клиенттер үлгіні тегін сұрата алады.
索性	жай ғана	Жаңбыр тым қатты болғандықтан, біз жай ғана шықпадық.
塌	құлау	Ескі үйдің шатыры құлады.
踏实	көңілі орнығу	Тапсырманы аяқтаған соң көңілім орнықты.
塔	мұнара	Қала ортасында биік мұнара бар.
台风	тайфун	Тайфун ертең жағалауға жетеді деп күтіледі.
太空	ғарыш	Адамзат ғарышты үнемі зерттеп келеді.
泰斗	беделді ғұлама	Ол тіл біліміндегі беделді ғұлама.
摊	дүңгіршек	Ол базарда жеміс дүңгіршегін ашты.
瘫痪	сал болу	Жол апаты оның төменгі денесін сал қылды.
