simplified	CS	example_CS
就职	nastoupit do funkce	Nový manažer oficiálně nastoupí do funkce příští týden
救济	pomoc	Oběti katastrofy dostaly včasnou pomoc
居民	obyvatel	Blízcí obyvatelé se staví proti hlukovému znečištění
居住	bydlet	Bydlí zde už deset let
拘留	zadržet	Policie zadržela podezřelého podle zákona
拘束	nesvůj	Před přáteli se nemusíš cítit nesvůj
鞠躬	uklonit se	Herec se publiku uklonil na poděkování
局部	místní	Lékař provedl pouze místní anestezii
局面	situace	Jednání zlepšila napjatou situaci
局势	situace	Mezinárodní situace zůstává složitá
局限	omezení	Tato metoda má zjevná omezení
举动	čin	Jeho čin všechny dojal
举世瞩目	přitáhnout světovou pozornost	Tento projekt přitáhl světovou pozornost
举足轻重	rozhodující	Tato společnost má v oboru rozhodující vliv
咀嚼	žvýkat	Při jídle bys měl pomalu žvýkat
沮丧	frustrovaný	Po prohraném zápase se cítil velmi frustrovaný
剧本	scénář	Režisér upravuje scénář
剧烈	prudký	Země se prudce otřásla
据悉	podle zpráv	Podle zpráv bude schůze odložena na příští týden
聚精会神	soustředěně	Děti poslouchaly hodinu soustředěně
卷	srolovat	Sroloval mapu a vložil ji do tašky
倔强	umíněný	Toto dítě má umíněnou povahu
决策	rozhodnutí	Vedení projednává důležité rozhodnutí
绝望	zoufalství	Po neúspěchu jednou pocítil zoufalství
觉悟	uvědomění	Tato zkušenost zvýšila jeho uvědomění
觉醒	probouzet se	Veřejné ekologické uvědomění se probouzí
军队	armáda	Armáda rychle dorazila do oblasti katastrofy
君子	ušlechtilý člověk	Ušlechtilý člověk by měl sladit slova s činy
卡通	animovaný film	Dítě rádo sleduje animované filmy
开采	těžit	Tato firma odpovídá za těžbu nerostů
开除	vyloučit	Škola se rozhodla vyloučit studenta který podváděl
开阔	široký	Z vrcholu hory je velmi široký výhled
开朗	veselý	Je veselá a má mnoho přátel
开明	osvícený	Rodiče mají osvícený postoj
开辟	otevřít	Město otevřelo novou autobusovou trasu
开拓	rozvíjet	Firma plánuje rozvíjet zahraniční trhy
开展	uskutečnit	Škola uskutečnila aktivitu o bezpečnostní výchově
开支	výdaje	Měsíční výdaje rodiny se zvýšily
刊登	zveřejnit	Noviny zveřejnily jeho článek
刊物	periodikum	Toto periodikum vychází jednou měsíčně
勘探	průzkum	Inženýrský tým provádí průzkum podzemních vodních zdrojů
侃侃而谈	sebejistě mluvit	Na schůzi mluvil sebejistě a dlouze
砍伐	kácet	Nelegální kácení lesů je zakázáno
看待	pohlížet	Měli bychom na tuto otázku pohlížet objektivně
慷慨	štědrý	Štědře daroval svou výhru
抗议	protest	Obyvatelé protestovali proti výstavbě nové továrny
考察	prozkoumat	Odborníci šli na místo prozkoumat prostředí
考古	archeologie	Archeologický tým objevil starověké hrobky
考核	hodnotit	Firma každý rok hodnotí výkon zaměstnanců
考验	zkouška	Tato krize byla zkouškou schopností týmu
靠拢	přiblížit se	Členové týmu se přiblížili ke středu
磕	narazit	Omylem narazil do rohu stolu
科目	předmět	Matematika je jeho oblíbený předmět
可观	značný	Tato investice přinesla značné výnosy
可口	chutný	Jídlo v této restauraci je chutné
可恶	odporný	Tento druh podvodu je opravdu odporný
可行	proveditelný	Tento plán je v zásadě proveditelný
渴望	toužit	Děti touží po více příležitostech
克制	ovládat	Během hádky bys měl ovládat své emoce
刻不容缓	nesnese odklad	Ochrana vodních zdrojů nesnese odklad
客户	klient	Klient je se službou velmi spokojený
课题	téma	Toto téma stojí za hlubší studium
啃	okusovat	Dítě okusuje kus kukuřice
恳切	upřímný	Upřímně požádal všechny o pomoc
坑	jáma	U silnice je hluboká jáma
空洞	prázdný	Tato zpráva je obsahově prázdná
空前绝后	bezprecedentní	Toto vystoupení lze nazvat bezprecedentním a neopakovatelným
空想	fantazie	Spoléhat se pouze na fantazii problémy nevyřeší
空虚	prázdnota	Po skončení rušného období pocítil prázdnotu
孔	otvor	Ve zdi je malý otvor
恐怖	děsivý	Ten film má děsivou atmosféru
恐吓	vyhrožovat	Druhá strana vyhrožováním zastrašovala svědka
恐惧	strach	Tma vyvolala v dítěti strach
空白	prázdné místo	Podepište se prosím na prázdné místo
空隙	mezera	Mezi dveřmi a podlahou je mezera
口气	tón	Jeho tón řeči byl velmi tvrdý
口腔	ústní dutina	Lékař mu vyšetřil ústní dutinu
口头	ústní	Mají jen ústní dohodu
口音	přízvuk	Jeho mandarínština má mírný přízvuk
扣	zapnout	Zapni si prosím bezpečnostní pás
哭泣	plakat	Dívka se schovala v rohu a plakala
枯萎	uvadnout	Nedostatek vody způsobil že květiny uvadly
枯燥	nudný	Tato práce je trochu nudná
苦尽甘来	po těžkostech přijde štěstí	Po letech vytrvalosti po těžkostech konečně přišlo štěstí
苦涩	hořký	Tento léčivý čaj chutná hořce a trpce
挎	nést na paži	Vyšla ven s plátěnou taškou na paži
跨	překročit	Překročil příkop a pokračoval vpřed
快活	šťastný	Děti si šťastně hrály na trávě
宽敞	prostorný	Tato učebna je světlá a prostorná
宽容	tolerance	Společnost potřebuje více porozumění a tolerance
款待	pohostit	Hostitel hosty srdečně pohostil
款式	styl	Tento oděv má velmi nový styl
筐	koš	Odnesl domů koš jablek
况且	kromě toho	Cesta je daleko a kromě toho se stmívá
旷课	záškoláctví	Studenti kteří bez důvodu chodí za školu budou zaznamenáni
框架	rámec	Zpráva musí mít nejprve stanovený rámec
矿产	nerostné suroviny	Tato oblast je bohatá na nerostné suroviny
亏待	zacházet nespravedlivě	Firma nebude nespravedlivě zacházet se zaměstnanci kteří pracují vážně
亏损	ztráta	Továrna letos utrpěla vážné ztráty
捆绑	svázat	Svažte prosím tyto krabice pevně
扩充	rozšířit	Škola plánuje rozšířit knihovní fond
扩散	šířit se	Fáma se rychle šířila po internetu
扩张	rozšiřovat	Firma opatrně rozšiřuje své podnikání
啦	částice	Nedělej si starosti všechno se zlepší
喇叭	klakson	Najednou se ozval klakson auta
蜡烛	svíčka	Na narozeninový dort byly položeny svíčky
来历	původ	Původ této kulturní památky není jasný
来源	zdroj	Zprávy musí uvádět zdroj informací
栏目	rubrika	Tato programová rubrika se vysílá jednou týdně
懒惰	líný	Línost může ovlivnit výsledky učení
狼狈	zubožený	Po dešti byl celý promočený a vypadal velmi zuboženě
狼吞虎咽	hladově hltat	Měl obrovský hlad a jídlo hladově hltal
捞	vytáhnout	Rybář vytáhl z řeky síť
唠叨	brblat	Matka vždy brblá kvůli maličkostem
牢固	pevný	Konstrukce tohoto mostu je velmi pevná
牢骚	stížnost	Je plný stížností ale nechce se změnit
乐趣	potěšení	Čtení jí přináší mnoho potěšení
乐意	rád	Rád ti pomůžu upravit životopis
雷达	radar	Radar zachytil v dálce letadlo
类似	podobný	Podobné problémy se objevily už dříve
冷酷	chladný	Jeho tón zněl velmi chladně
冷落	zanedbaný	Nový zaměstnanec se cítil zanedbaný
冷却	vychladnout	Stroj musí před opravou vychladnout
愣	ztuhnout	Když tu zprávu uslyšel ztuhl
黎明	úsvit	Za úsvitu se město postupně probudilo
理睬	všímat si	Byl rozzlobený a nikoho si nevšímal
理所当然	samozřejmý	Nepovažuj pomoc ostatních za samozřejmou
理直气壮	sebevědomě	S dostatečnými důkazy mluvil zcela sebevědomě
理智	racionální	Při konfliktu bys měl zůstat racionální
礼节	etiketa	Různé kultury mají různou etiketu
礼尚往来	opětovat zdvořilost	Sousedé si cení vzájemného opětování zdvořilosti
里程碑	milník	Tento úspěch je pro projekt milníkem
例外	výjimka	Všichni se musí zúčastnit bez výjimky
利害	zájmy	Týká se to zájmů obou stran
力求	snažit se	Snažíme se snížit chyby na minimum
力所能及	v rámci možností	Udělej prosím to co je v tvých možnostech
力争	usilovat	Tým usiluje o dokončení úkolu před termínem
历代	minulé generace	Učenci minulých generací tuto otázku zkoumali
历来	vždy	Toto město si vždy cenilo vzdělání
立场	postoj	Na schůzi vyjádřil svůj postoj
立方	krychlový	Tato nádrž má objem tři krychlové metry
立交桥	nadjezd	Tento nadjezd zmírnil dopravní zácpy
立体	trojrozměrný	Tento obraz má silný trojrozměrný efekt
立足	opírat se	Podniky by se měly opírat o místní trh
粒	zrnko	Na stole je několik zrnek rýže
廉洁	poctivý	Veřejní činitelé musí zůstat poctiví a čistí
联欢	setkání	Spolužáci uspořádali novoroční setkání
联络	kontaktovat	Kontaktujte prosím klienta co nejdříve
联盟	aliance	Několik zemí vytvořilo obchodní alianci
联想	připomenout	Tato fotografie mi připomíná dětství
连年	po řadu let	Tato oblast po řadu let trpěla povodněmi
连锁	řetězec	Tato firma provozuje řetězec supermarketů
连同	spolu s	Pošlete prosím fakturu spolu se smlouvou
良心	svědomí	Člověk by měl žít tak aby nezradil své svědomí
晾	sušit	Pověsila oblečení na balkon aby uschlo
谅解	pochopení	Doufám že můžete pochopit naše potíže
辽阔	rozlehlý	Travnatá pláň je rozlehlá a táhne se za obzor
列举	uvést	Učitel uvedl tři příklady
临床	klinický	Tento lék prochází klinickými zkouškami
淋	promoknout	Nenech se v dešti promáčet příliš dlouho
吝啬	lakomtví	Ke svým přátelům nikdy není lakomý
伶俐	bystrý	Tato holčička je bystrá a pohotová
凌晨	brzy ráno	Letadlo odlétá ve tři brzy ráno
灵感	inspirace	Hudba mu dala tvůrčí inspiraci
灵魂	duše	Svoboda je duší tohoto díla
灵敏	citlivý	Tento přístroj reaguje velmi citlivě
零星	roztroušený	Na noční obloze byla roztroušená světla
领会	pochopit	Rychle pochopil co učitel myslel
领事馆	konzulát	Šel na konzulát vyřídit vízum
领土	území	Každá země si cení územní celistvosti
领悟	uvědomit si	Po zkušenosti s neúspěchem si uvědomil odpovědnost
领先	vést	Jejich technologie je v současnosti napřed před konkurenty
领袖	vůdce	Tento vůdce je lidmi hluboce respektován
溜	proklouznout	Štěně proklouzlo škvírou ve dveřích
流浪	toulat se	Když byl mladý nějaký čas se toulal z místa na místo
流露	projevit	Na její tváři se projevila radost
流氓	chuligán	Policie chytila několik pouličních chuligánů
流通	obíhat	Tato měna kdysi obíhala místně
留恋	nerad odcházet	Při promoci se všem nechtělo opustit kampus
留念	na památku	U školní brány jsme se vyfotili na památku
留神	dávat pozor	Při přecházení silnice musíš dávat pozor
聋哑	hluchoněmý	Škola poskytuje pomoc hluchoněmým dětem
隆重	slavený slavnostně	Konference se slavnostně konala v aule
垄断	monopolizovat	Monopol může poškodit tržní soutěž
笼罩	zahalit	Hustá mlha zahalila celou vesnici
搂	objmout	Matka dítě jemně objala
炉灶	sporák	Sporák v kuchyni potřebuje vyčistit
轮船	loď	Loď pomalu opustila přístav
轮廓	obrys	Obrys vzdálených vrcholů je velmi jasný
轮胎	pneumatika	Pneumatiky auta je třeba vyměnit
论坛	fórum	Odborníci přednášeli na fóru
论证	odůvodnit	Zpráva musí svůj argument dále odůvodnit
啰唆	rozvláčný	Přestaň být rozvláčný a přejdi rovnou k věci
络绎不绝	nepřetržitý proud	Návštěvníci přicházeli do starého města v nepřetržitém proudu
落成	dokončit stavbu	Nová tělocvična bude zítra oficiálně dokončena
落实	zavést	Schůze požadovala rychlé zavedení nové politiky
屡次	opakovaně	Opakovaně všem připomínal aby dbali na bezpečnost
履行	splnit	Obě strany musí splnit smluvní povinnosti
掠夺	drancovat	Válka vedla k drancování zdrojů
嘛	částice	Tahle věc je přece jednoduchá
麻痹	otupělost	Dlouhodobý hladký průběh může snadno vést k neopatrnosti
麻木	necitlivý	Chlad způsobil že měl prsty necitlivé
麻醉	umrtvit	Před operací lékař pacienta umrtvil
码头	molo	Nákladní loď zakotvila u mola
蚂蚁	mravenec	Mravenci nesou potravu
埋伏	léčka	Vojáci čekali v údolí v léčce
埋没	zapadnout	Nenech talentované lidi zapadnout
埋葬	pohřbít	Vesničané pohřbili starce na úbočí
脉搏	puls	Zdravotní sestra mu měří puls
迈	vykročit	Vykročil ke dveřím
埋怨	stěžovat si	Nestěžuj si pořád na ostatní
慢性	chronický	Chronická onemocnění vyžadují dlouhodobou léčbu
漫长	dlouhý	Prošli dlouhým čekáním
漫画	komiks	Tento komiks je mezi mladými velmi oblíbený
蔓延	šířit se	Požár se rychle šířil hluboko do lesa
忙碌	zaneprázdněný	Konec roku je pro firmu nejrušnější období
盲目	slepě	Investice by neměly slepě následovat trendy
茫茫	nekonečný	Loď zmizela v nekonečném moři
茫然	zmatený	Po vyslechnutí vysvětlení pořád vypadal zmateně
冒充	vydávat se za	Někdo se vydával za policistu aby lidi připravil o peníze
冒犯	urazit	Má slova tě neměla urazit
茂盛	bujný	Stromy na dvoře bujně rostou
媒介	médium	Internet je důležité informační médium
枚	kus	Nasbíral několik pamětních mincí
美观	hezký	Tento design je praktický i hezký
美满	šťastný	Žijí šťastný a naplněný život
美妙	nádherný	Koncert přinesl nádherný zážitek
萌芽	klíčit	Začal klíčit nový nápad
猛烈	prudký	Bouře přišla velmi prudce
眯	přimhouřit oči	Slunce bylo příliš silné a tak přimhouřil oči
弥补	nahradit	Omluva nemůže ztrátu plně nahradit
弥漫	naplnit	Vůně květin naplnila dvůr
谜语	hádanka	Děti rády hádají hádanky
迷惑	mást	Složitá data ho zmátla
迷人	okouzlující	Noční výhled u moře je velmi okouzlující
迷信	pověra	Vědecké vzdělání může omezit pověry
密度	hustota	Tento kov má vysokou hustotu
密封	utěsnit	Po otevření prosím sáček znovu utěsněte
棉花	bavlna	Zemědělci sbírají bavlnu
免得	aby ne	Odejděte dříve abyste nepřišli pozdě
免疫	imunita	Tato vakcína může zlepšit imunitu
勉励	povzbuzovat	Učitel často povzbuzuje studenty aby pokračovali ve studiu
勉强	neochotně	Neochotně s tímto uspořádáním souhlasil
面貌	podoba	Podoba města se velmi změnila
面子	tvár	Nechtěl na veřejnosti ztratit tvář
描绘	vykreslit	Román vykresluje venkovský život
瞄准	zamířit	Střelec zamířil na cíl
渺小	malý	Tváří v tvář přírodě se lidé zdají velmi malí
藐视	podceňovat	Nesmíme podceňovat žádného soupeře
灭亡	zánik	Tato dynastie nakonec směřovala k zániku
蔑视	opovržení	Jeho tón byl plný opovržení
民间	lidový	Lidové umění potřebuje ochranu
民主	demokracie	Schůze použila demokratické hlasování
敏捷	hbitý	Pohyby sportovce jsou velmi hbité
敏锐	bystrý	Novináři potřebují bystrý pozorovací smysl
名次	umístění	V soutěži dosáhla dobrého umístění
名额	místo	V tomto programu je jen deset míst
名副其实	opravdový	Je opravdovým odborníkem nejen podle jména
名誉	pověst	Tato věc poškodila pověst firmy
明明	zjevně	Zjevně znal odpověď ale odmítl ji říct
明智	moudrý	Odložit rozhodnutí byla moudrá volba
命名	pojmenovat	Vědci pojmenovali nový druh
摸索	hledat	Tým stále hledá nové metody
摩擦	tření	Mezi oběma zeměmi vzniklo obchodní tření
模范	vzor	Je vzorem pro všechny studenty ve škole
模式	model	Tento obchodní model je velmi úspěšný
模型	model	Inženýr vytvořil model mostu
磨合	sehrát se	Nový tým potřebuje čas aby se sehrál
膜	membrána	Tato membrána dokáže filtrovat nečistoty
魔鬼	ďábel	Ďábel v příběhu je velmi mazaný
魔术	kouzla	Děti rády sledují kouzelnická představení
抹杀	vymazat	Jeho přínos nelze vymazat
墨水儿	inkoust	Inkoust v peru je skoro vypotřebovaný
莫名其妙	nepochopitelný	Jeho reakce lidem připadala nepochopitelná
默默	potichu	Potichu pomohla mnoha lidem
谋求	usilovat	Podnik usiluje o nové rozvojové příležitosti
模样	vzhled	Jeho vzhled se teď hodně změnil
母语	mateřský jazyk	Děti se od útlého věku učí mateřský jazyk
沐浴	koupat se	Vesnice byla ráno zalita slunečním světlem
目睹	být svědkem	Mnoho lidí bylo svědkem nehody
目光	pohled	Pohledy všech se soustředily na jeviště
拿手	specialita	Dušená ryba je jeho specialita
纳闷儿	divit se	Pořád jsem se divil proč přišel pozdě
耐用	odolný	Tyto boty jsou velmi odolné
南辕北辙	jít proti cíli	Jeho postup jde proti cíli
难得	vzácný	Tohle je vzácná příležitost
难堪	trapný	Tato otázka ho uvedla do trapné situace
难能可贵	obdivuhodný	Zůstat pod tlakem poctivý je obzvlášť obdivuhodné
恼火	rozčilený	Zařízení se znovu porouchalo a on byl velmi rozčilený
内涵	konotace	Toto slovo má bohaté kulturní konotace
内幕	zákulisí	Reportér se pokusil prozkoumat zákulisí incidentu
内在	vnitřní	Více si cení vnitřních kvalit člověka
能量	energie	Tato snídaně mi dává hodně energie
拟定	vypracovat	Tajemník vypracovává program schůze
逆行	jet v protisměru	To auto jelo v protisměru jednosměrnou ulicí
年度	roční	Firma zveřejnila výroční zprávu
捏	štípnout	Jemně štípla dítě do tváře
凝固	ztuhnout	Po ochlazení vosk pomalu ztuhne
凝聚	sjednotit	Společný cíl může sjednotit sílu týmu
凝视	upřeně hledět	Upřeně hleděl na světla v dálce
拧	štípnout	Jednou mě rukou štípl
宁肯	raději	Raději by selhala než aby se vzdala svých zásad
宁愿	raději	Raději půjdu pěšky než čekat na autobus
扭转	zvrátit	Nová politika zvrátila ztrátovou situaci
纽扣儿	knoflík	Této košili upadl knoflík
农历	lunární kalendář	Svátek jara se slaví podle lunárního kalendáře
浓厚	silný	Má silný zájem o historii
奴隶	otrok	Ve starověké společnosti existovalo otroctví
挪	posunout	Posuň prosím židli trochu stranou
虐待	týrat	Zákon zakazuje týrat děti
哦	aha	Aha konečně tomu rozumím
殴打	zbít	Policie zatkla člověka který zbil kolemjdoucího
偶像	idol	Považuje toho spisovatele za idol
呕吐	zvracet	Po snědení zkaženého jídla začal zvracet
趴	ležet na břiše	Koťátko leželo na parapetu a spalo
徘徊	postávat	Dlouho postával u dveří
排斥	odpuzovat	Nový materiál odpuzuje vlhkost
排除	vyloučit	Lékař nejprve vyloučil vážnou nemoc
排放	emise	Továrny musí snížit výfukové emise
排练	zkoušet	Herci zkoušejí nový program
派别	frakce	V této organizaci jsou různé frakce
派遣	vyslat	Firma vyslala inženýry na místo
攀登	vylézt	Plánují zítra vylézt na zasněženou horu
盘旋	kroužit	Letadlo kroužilo nad letištěm
判决	rozsudek	Soud dnes oznámil rozsudek
畔	břeh	Děti šly po břehu jezera
庞大	obrovský	Tento projekt vyžaduje obrovské finance
抛弃	opustit	Nechce opustit svůj sen
泡沫	pěna	V šálku je hodně bílé pěny
培育	pěstovat	Škola se snaží pěstovat u studentů pocit odpovědnosti
配备	vybavit	Nové auto je vybaveno bezpečnostním systémem
配偶	manžel	Formulář žádosti vyžaduje informace o manželovi
配套	doplňkový	Komunita má kompletní doplňková zařízení
盆地	pánev	V této pánvi je v létě velmi horko
烹饪	vaření	Vaření vyžaduje trpělivost a zkušenost
捧	držet v obou rukou	Držela kytici květin oběma rukama
劈	štípat	Pracovník štípal sekerou dříví
批发	velkoobchod	Tento obchod hlavně velkoobchodně prodává ovoce
批判	kritizovat	Článek kritizoval tento chybný názor
疲惫	vyčerpaný	Po dlouhé cestě byli všichni vyčerpaní
疲倦	unavený	Nepřetržitá práce ho unavila
皮革	kůže	Tato taška je vyrobena z kůže
屁股	zadek	Po pádu dítě bolel zadek
譬如	například	Například můžeme nejdřív udělat malý test
偏差	odchylka	Ve výsledcích experimentu je zjevná odchylka
偏见	předsudek	Měli bychom se vyhnout etnickým předsudkům
偏僻	odlehlý	Tato vesnice leží na velmi odlehlém místě
偏偏	zrovna	Čím víc jsem spěchal tím pomaleji auto zrovna jelo
片断	úryvek	Ve filmu je několik nádherných úryvků
片刻	chvilka	Počkej tu prosím na mě chvilku
漂浮	plavat	Spadané listí plavalo na vodě
飘扬	vlát	Státní vlajka vlála ve větru
撇	odhodit	Odhodil starý plán stranou
拼搏	usilovat	Mladí lidé by měli usilovat o své ideály
拼命	ze všech sil	Ze všech sil doháněl tým před sebou
贫乏	chudý	Obsah tohoto článku je poměrně chudý
贫困	chudý	Vláda pomáhá chudým rodinám
频繁	častý	Dopravní nehody jsou zde v poslední době časté
频率	frekvence	Frekvence tohoto zvuku je velmi vysoká
品尝	ochutnat	Hosté ochutnávají místní jídlo
品德	morální charakter	Škola si cení morální výchovy studentů
品质	kvalita	Kvalita výrobků této firmy je stabilní
品种	odrůda	Na trhu je mnoho odrůd ovoce
屏幕	obrazovka	Sniž prosím jas obrazovky
屏障	bariéra	Les je důležitou bariérou proti větru
平凡	obyčejný	Pracoval mnoho let na obyčejné pozici
平面	půdorys	Projektant nakreslil půdorys domu
平坦	rovný	Tato silnice je velmi rovná
平行	rovnoběžný	Tyto dvě čáry jsou navzájem rovnoběžné
平庸	průměrný	Není spokojený s průměrným životem
平原	rovina	Vlak projel rozsáhlou rovinou
评估	posoudit	Odborníci posuzují rizika projektu
评论	komentovat	Čtenáři mohou komentovat pod článkem
坡	svah	Auto pomalu vyjelo do svahu
泼	rozlít	Nerozlij vodu na podlahu
颇	docela	Tento výsledek je docela překvapivý
破例	udělat výjimku	Manažer udělal výjimku a schválil jeho žádost
迫不及待	nemoci se dočkat	Děti se nemohly dočkat až otevřou dárky
迫害	pronásledovat	V historii mnoho lidí trpělo pronásledováním
魄力	odvaha	Vedoucí potřebují odvahu rozhodovat
扑	vrhnout se	Dítě se náhle vrhlo matce do náruče
铺	pokládat	Dělníci pokládají nový koberec
普及	rozšířený	Internet se ve městech už stal rozšířeným
朴实	prostý	Jeho jazyk je prostý a upřímný
朴素	jednoduchý	Má ráda jednoduchý způsob života
瀑布	vodopád	Turisté stáli u vodopádu a fotili
凄凉	pustý	Horská vesnice vypadala v zimě velmi pustě
期望	očekávání	Rodiče mají od svých dětí vysoká očekávání
期限	lhůta	Lhůta pro registraci je tento pátek
欺负	šikanovat	Starší děti by neměly šikanovat mladší
欺骗	podvést	Falešná reklama podvedla spotřebitele
奇妙	podivuhodný	Příroda má mnoho podivuhodných jevů
旗袍	čchi-pchao	Na večírek si oblékla červené čchi-pchao
旗帜	vlajka	Na náměstí vlály jasné vlajky
歧视	diskriminace	Zákon zakazuje jakoukoli formu diskriminace
齐全	kompletní	Tento obchod má kompletní sortiment nářadí
齐心协力	táhnout za jeden provaz	Všichni táhli za jeden provaz a dokončili úkol
乞丐	žebrák	U silnice seděl starý žebrák
企图	pokusit se	Pokusil se zatajit skutečnou situaci
启程	vydat se na cestu	Delegace se vydá na cestu brzy zítra ráno
启蒙	uvést do základů	Tato kniha je vhodná pro první uvedení dětí do čtení
启事	oznámení	U školní brány viselo oznámení o náboru
启示	poučení	Tento neúspěch nám dal důležité poučení
岂有此理	neslýchaný	Takový poplatek je opravdu neslýchaný
起草	sepsat návrh	Právník sepisuje návrh smlouvy
起初	zpočátku	Zpočátku té zprávě nevěřil
起伏	vlnit se	Horská cesta se vlní podle terénu
起哄	dělat rozruch	Studenti by neměli ve třídě dělat rozruch
起码	přinejmenším	Přinejmenším bys mi měl dát vědět předem
起源	původ	Tento svátek má původ ve starověku
器材	vybavení	Laboratoř potřebuje nové výukové vybavení
器官	orgán	Srdce je důležitý orgán lidského těla
气概	duch	Tato báseň ukazuje hrdinský duch
气功	čchi-kung	Dědeček každé ráno cvičí čchi-kung
气魄	velkolepost	Tento most působí velkolepě
气色	barva ve tváři	Po odpočinku měl mnohem lepší barvu ve tváři
气势	razance	Tým měl od začátku silnou razanci
气味	vůně	V kuchyni byla vůně toastů
气象	počasí	Na náhorní plošině se počasí rychle mění
气压	atmosférický tlak	Pokles atmosférického tlaku může přinést déšť
气质	povaha	Má klidnou povahu
迄今为止	doposud	Doposud experiment postupuje hladce
掐	utrhnout	Utrhla malou květinu
恰当	vhodný	Tvoje odpověď je velmi vhodná
恰到好处	tak akorát	Sladkost tohoto jídla je tak akorát
恰巧	náhodou	Náhodou začalo pršet, když jsem dorazil na nádraží
洽谈	jednat	Obě strany jednají o detailech spolupráce
千方百计	všemi možnými způsoby	Všemi možnými způsoby hledali řešení
牵	vést za ruku	Matka vedla dítě za ruku přes silnici
牵扯	zahrnovat	Tato záležitost zahrnuje mnoho oddělení
牵制	omezovat	Obrana soupeře omezovala útok
签署	podepsat	Obě společnosti podepsaly dohodu
谦逊	skromný	Po úspěchu zůstal skromný
迁就	ustupovat	Rodiče nemohou dětem vždy ustupovat
迁徙	migrovat	Tažní ptáci každý rok migrují podle ročních období
前景	vyhlídky	Toto odvětví má dobré vyhlídky
前提	předpoklad	Důvěra je předpokladem spolupráce
潜力	potenciál	Tento student má velký potenciál
潜水	potápět se	Jeli k moři učit se potápět
潜移默化	nenápadně ovlivňovat	Rodinné prostředí může děti nenápadně ovlivňovat
谴责	odsoudit	Mezinárodní společenství odsoudilo násilí
抢劫	vyloupit	Policie chytila podezřelého, který vyloupil banku
强制	vynutit	Nové pravidlo nutí řidiče používat bezpečnostní pásy
强迫	nutit	Nenuť děti dělat věci, které nemají rády
抢救	zachraňovat	Lékaři zachraňují zraněného dělníka
桥梁	most	Jazyk je mostem pro kulturní výměnu
窍门	trik	Na učení výslovnosti existují některé triky
翘	zvednout	Zvedl jednu nohu na židli
切实	praktický	Potřebujeme praktický a proveditelný plán
锲而不舍	vytrvat	Studoval tento problém s vytrvalostí
亲密	blízký	Vždy udržovali blízký vztah
亲热	vřelý	Stařec hosty vřele přivítal
侵犯	porušit	Toto chování porušilo osobní soukromí
侵略	agrese	Lidé odporují jakékoli formě agrese
钦佩	obdivovat	Velmi obdivuji její odvahu
勤俭	pracovitý a šetrný	Babička celý život vedla domácnost pracovitě a šetrně
勤劳	pracovitý	Pracovití lidé si vždy dokážou vytvořit příležitosti
倾听	naslouchat	Učitel pozorně naslouchal názorům studentů
倾向	mít sklon	Mladí spotřebitelé mají sklon nakupovat online
倾斜	naklánět se	Po silném dešti se zeď začala naklánět
清澈	průzračný	Horský potok je velmi průzračný
清晨	brzy ráno	Brzy ráno je vzduch obzvlášť svěží
清除	odstranit	Dělníci odstranili sníh ze silnice
清洁	čistý	Nemocnice musí udržovat prostředí čisté
清理	uklidit	O víkendu jsme uklidili sklad
清晰	zřetelný	Tato fotografie je velmi zřetelná
清醒	bdělý	Po kávě byl mnohem bdělejší
清真	halal	Nedaleko je halal restaurace
情报	zpravodajská informace	Reportér získal důležitou zpravodajskou informaci
情节	děj	Děj románu je velmi napínavý
情理	rozumný	Jeho požadavek není rozumný
情形	situace	Situace na místě byla složitější, než se čekalo
晴朗	jasný	Dnešní obloha je obzvlášť jasná
请柬	pozvánka	Poslali příbuzným a přátelům svatební pozvánky
请教	poradit se	Chtěl bych se s vámi poradit o jedné otázce
请示	požádat o pokyny	Tuto věc je nejprve potřeba nahlásit vedoucímu a požádat o pokyny
请帖	pozvánka	Na stole ležela narozeninová pozvánka
丘陵	pahorkatina	V této oblasti je mnoho pahorkatin
区分	rozlišit	Dítě už dokáže rozlišit levou a pravou stranu
区域	oblast	V této oblasti je parkování zakázáno
屈服	podlehnout	Nepodlehl tlaku
曲折	složitý	Prošli složitým vyjednáváním
驱逐	vyhnat	Policie vyhnala výtržníky
渠道	kanál	Společnost prodává výrobky přes nový kanál
取缔	zakázat	Vláda zakázala nelegální trh
曲子	melodie	Melodie této skladby je krásná
趣味	zajímavost	Tato hra je velmi zajímavá
圈套	past	Málem spadl do podvodníkovy pasti
全局	celek	Vedoucí musí brát v úvahu zájmy celku
全力以赴	vynaložit veškeré úsilí	Vynaložíme veškeré úsilí, abychom úkol dokončili
拳头	pěst	Zaťal pěst a připravil se na zápas
权衡	zvážit	Musíme zvážit náklady a účinek
权威	autorita	Tento profesor je v oboru autoritou
犬	pes	Tento druh psa je vhodný k hlídání domu
缺口	mezera	Ve zdi je malá mezera
缺席	nepřítomnost	Kvůli nemoci na schůzi chyběl
缺陷	vada	Tento návrh má zjevnou vadu
瘸	kulhavý	Levá noha mu trochu kulhá
确保	zajistit	Prosím ujistěte se, že jsou dveře zamčené
确立	stanovit	Firma stanovila nové rozvojové cíle
确切	přesný	Neznám přesný čas
确信	být si jistý	Jsem si jistý, že dorazí včas
群众	masy	Masy podporují novou politiku
