simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
来不及	ulgurmaslik	Bugun ertalab kech turdim, nonushta qilishga ulgurmadi.	үлгермеу	Мен бүгін таңертең кеш тұрдым, таңғы ас ішуге үлгермедім.	çatdırmamaq; gec olmaq	Bu səhər gec qalxdım, səhər yeməyi yeməyə vaxt çatmadı.
来得及	ulgurish; vaqt yetarli bo'lish	Kino faqat to'qqiz yarimda boshlanadi, hali ulguramiz.	үлгеру; уақыт жету	Кино тоғыз жарымда ғана басталады, әлі үлгереміз.	çatdırmaq; vaxt olmaq	Film ancaq doqquz yarıda başlayır, hələ vaxt var.
来自	...dan kelmoq	Men Shandun provinsiyasidanman.	...дан келу	Мен Шаньдун провинциясынанмын.	...dan gəlmək	Mən Şandun əyalətindənəm.
懒	dangasa	Uyimizdagi mushuk juda dangasa, butun tushdan keyin uxlaydi.	жалқау	Біздің үйдегі мысық өте жалқау, түстен кейін түгел ұйықтайды.	tənbəl	Evimizdəki pişik çox tənbəldir, bütün günortanı yatır.
浪费	isrof qilmoq; behuda sarflamoq	Bunday qilish faqat vaqtni isrof qilish.	ысырап ету	Бұлай істеу тек уақытты ысырап ету.	israf etmək	Belə etmək sadəcə vaxt israfıdır.
浪漫	romantik	Bu kitob romantik sevgi hikoyasini aytadi.	романтикалық	Бұл кітап романтикалық махаббат хикаясын баяндайды.	romantik	Bu kitab romantik bir sevgi hekayəsindən danışır.
老虎	yo'lbars	Har safar hayvonot bog'iga borganimizda, o'g'lim eng ko'p yo'lbarsni ko'rishni yoqtiradi.	жолбарыс	Хайуанаттар бағына барған сайын ұлым ең жақсы көретіні жолбарыс.	pələng	Hər dəfə zooparka gedəndə oğlum ən çox pələngə baxmağı sevir.
冷静	tinch; sovuqqon	Hayajonlanmang, avval tinchlaning.	сабырлы; салқынқанды	Қобалжыма, алдымен сабырға кел.	sakit; soyuqqanlı	Həyəcanlanma, əvvəlcə sakitləş.
理发	soch oldirmoq; soch olish	Qachon soch oldirgani borasiz?	шаш қию; шаш алдыру	Қашан шаш қиюға барасың?	saç kəsdirmək; saç kəsmək	Saç kəsdirməyə nə vaxt gedirsən?
理解	tushunmoq; anglash	Bu savolni tushuna oldingizmi?	түсіну; ұғыну	Бұл сұрақты түсіне алдыңыз ба?	başa düşmək; anlamaq	Bu sualı başa düşə bildinizmi?
理想	ideal; orzu	Sizning orzuingizdagi kasb nima?	идеал; арман	Арманыңдағы мамандық қандай?	ideal; arzu	Sənin ideal peşən nədir?
礼拜天	yakshanba	Bu yakshanba bo'shmisiz?	жексенбі	Осы жексенбі боссың ба?	bazar günü	Bu bazar günü boşsan?
礼貌	odob; xushmuomalalik	Bu bola juda odobli.	әдеп; сыпайылық	Бұл бала өте әдепті.	nəzakət; ədəb	Bu uşaq çox nəzakətlidir.
例如	masalan	Men sportni yaxshi ko'raman, masalan yugurish va suzish.	мысалы	Мен спортты жақсы көремін, мысалы жүгіру және жүзу.	məsələn	Mən idmanı sevirəm, məsələn qaçmaq və üzmək.
力气	kuch	Shuncha ko'p yo'l yurganimdan keyin juda charchadim, umuman kuchim qolmadi.	күш	Осынша көп жүргеннен кейін қатты шаршадым, мүлде күшім қалмады.	güc	Bu qədər yol getdikdən sonra çox yoruldum, heç gücüm qalmadı.
厉害	jiddiy; og'ir	U juda qattiq kasal bo'lib, kasalxonaga yotdi.	ауыр; қатты	Ол қатты ауырып, ауруханаға жатты.	ağır; ciddi	O ağır xəstələndi və xəstəxanaya yerləşdirildi.
俩	ikkalasi; ikki kishi	Ikkalamiz yaxshi do'stmiz.	екеу; екеуі	Екеуміз жақсы доспыз.	ikisi; iki nəfər	İkimiz yaxşı dostuq.
联系	aloqa; bog'lanish	Universitetdagi kursdoshlaringiz bilan hali ham aloqangiz bormi?	байланыс	Университеттегі курстастарыңмен әлі байланысың бар ма?	əlaqə	Universitet yoldaşlarınla hələ də əlaqən var?
连	hatto; shu jumladan	Qanday qilib hatto meni ham unutdingiz?	тіпті; қоса	Қалайша тіпті мені де ұмыттың?	hətta; daxil olmaqla	Sən necə hətta məni də unutdun?
凉快	salqin; yoqimli salqin	Kuzgi ob-havo juda salqin.	салқын; жайлы салқын	Күздің ауа райы өте салқын.	sərin; xoş sərin	Payız havası çox sərindir.
零钱	mayda pul	Men uchun biroz mayda pul almashtirib bera olasizmi?	ұсақ ақша	Маған біраз ұсақ ақша айырбастап бере аласыз ба?	xırda pul	Mənə bir az xırda pul dəyişə bilərsinizmi?
另外	boshqa; bundan tashqari	Men siz bilan yana boshqa bir ish haqida gaplashmoqchiman.	басқа; бұдан бөлек	Мен сенімен тағы басқа бір іс туралы сөйлескім келеді.	başqa; əlavə olaraq	Mən səninlə başqa bir məsələ haqqında da danışmaq istəyirəm.
流利	ravon	Siz xitoy tilida juda ravon gapirasiz.	еркін; жатық	Сен қытай тілінде өте жатық сөйлейсің.	səlis	Sən Çin dilində çox səlis danışırsan.
流行	ommabop; moda	Ko'p yoshlar pop musiqani yaxshi ko'radi.	танымал; сәнді	Көп жас адамдар танымал музыканы жақсы көреді.	məşhur; dəbdə olan	Çox gənc pop musiqini sevir.
留	qoldirmoq; qolmoq	Iltimos, telefon raqamingizni qoldiring.	қалдыру; қалу	Телефон нөміріңізді қалдырыңыз.	qoymaq; qalmaq	Zəhmət olmasa, telefon nömrənizi qoyun.
旅行	sayohat qilmoq; safar	Biz yozda Yunnanga sayohat qilishni rejalashtiryapmiz.	саяхаттау; сапар	Біз жазда Юньнаньға саяхаттауды жоспарлап отырмыз.	səyahət etmək; səfər	Biz yayda Yunnana səyahət etməyi planlaşdırırıq.
乱	tartibsiz; chalkash	Kuchukcha xonani juda tartibsiz qildi.	ретсіз; шашылған	Күшік бөлмені қатты шашып тастады.	qarışıq; nizamsız	Küçük otağı çox qarışdırdı.
律师	advokat	Onam advokat.	заңгер; адвокат	Менің анам адвокат.	vəkil	Anam vəkildir.
麻烦	bezovta qilmoq; mashaqqatli	Iltimos, menga bir piyola olib bera olasizmi?	мазалау; қиындық	Маған бір кесе алып бересіз бе?	narahat etmək; əziyyət	Zəhmət olmasa, mənə bir fincan gətirə bilərsinizmi?
马虎	beparvo; pala-partish	Ozgina beparvolik qilinsa, xato chiqadi.	ұқыпсыз; салақ	Аздап ұқыпсыздық жасасаң, қате шығады.	səhlənkar; diqqətsiz	Azacıq diqqətsizlik səhvə səbəb ola bilər.
满	to'la; liq to'la	Piyola to'ldi.	толы; лық толы	Кесе толды.	dolu	Fincan doludur.
毛	jun; tuk	Bu mushukning juni oq.	жүн; түк	Бұл мысықтың жүні ақ.	tük; yun	Bu pişiyin tükü ağdır.
毛巾	sochiq	Issiq bo'ldimi, sochiq bilan teringizni arting.	сүлгі	Ыстық болды ма, сүлгімен теріңізді сүртіңіз.	dəsmal	İsti oldu, dəsmalla tərinizi silin.
美丽	go'zal	U haqiqatan ham go'zal qiz.	әдемі; сұлу	Ол шынымен сұлу қыз.	gözəl	O, həqiqətən gözəl qızdır.
梦	tush	Bu haqiqatan ham qiziq tush!	түс	Бұл шынымен қызық түс!	yuxu	Bu həqiqətən maraqlı yuxudur!
迷路	adashmoq	U o'rmonda adashib qoldi.	адасу	Ол орманда адасып қалды.	yolu azmaq	O meşədə yolunu azdı.
密码	parol; kod	Men kredit kartamning parolini unutdim.	құпиясөз; код	Мен несие картамның құпиясөзін ұмытып қалдым.	parol; kod	Mən kredit kartımın parolunu unutdum.
免费	bepul	Bu restoranda ovqatlansangiz, ichimliklar bepul.	тегін	Бұл мейрамханада тамақтансаңыз, сусындар тегін.	pulsuz	Bu restoranda yemək yeyəndə içkilər pulsuzdur.
秒	soniya	Iltimos, meni o'n soniya kuting.	секунд	Мені он секунд күтіңіз.	saniyə	Zəhmət olmasa, məni on saniyə gözləyin.
民族	millat; etnik guruh	Xitoy ko'p millatli davlat.	ұлт; этникалық топ	Қытай көпұлтты мемлекет.	millət; etnik qrup	Çin çoxmillətli ölkədir.
母亲	ona	Tanishtirib qo'yay, bu mening onam.	ана	Таныстырайын, бұл менің анам.	ana	İcazə verin təqdim edim, bu mənim anamdır.
目的	maqsad	Uning bunday qilishdagi maqsadini tushunmayman.	мақсат	Оның бұлай істеудегі мақсатын түсінбеймін.	məqsəd	Onun bunu etməkdə məqsədini başa düşmürəm.
耐心	sabr; sabrli	Bolalarni tarbiyalashda sabr kerak.	шыдам; сабыр	Балаларды тәрбиелеуге шыдам керек.	səbir; səbirli	Uşaqları tərbiyə etmək üçün səbir lazımdır.
难道	nahotki; axir	Bu ovqatlar mazali emasmi?	сонда; әлде	Сонда бұл тағамдар дәмді емес пе?	məgər; yoxsa	Məgər bu yeməklər dadlı deyil?
难受	o'zini yomon his qilmoq; noxush	Men shamolladim, tanam juda noxush.	жайсыз сезіну; ауыру	Мен суық тиіп қалдым, өзімді өте жайсыз сезінемін.	pis hiss etmək; narahat olmaq	Mən soyuqlamışam, özümü çox pis hiss edirəm.
内	ichida; mobaynida	Iltimos, vazifani uch kun ichida bajaring.	ішінде; аралығында	Тапсырманы үш күн ішінде аяқтаңыз.	ərzində; içində	Zəhmət olmasa, tapşırığı üç gün ərzində tamamlayın.
内容	mazmun; tarkib	Bu maqolaning mazmuni juda qiziqarli.	мазмұн	Бұл мақаланың мазмұны өте қызықты.	məzmun	Bu məqalənin məzmunu çox maraqlıdır.
能力	qobiliyat; layoqat	U ishda juda qobiliyatli.	қабілет	Оның жұмыс қабілеті өте күшті.	bacarıq; qabiliyyət	O işdə çox bacarıqlıdır.
年龄	yosh	Boshqalarning yoshini bemalol so'rash odobsizlik.	жас	Басқаның жасын қалай болса солай сұрау әдепсіз.	yaş	Başqasının yaşını rahatca soruşmaq nəzakətsizlikdir.
弄	qilmoq; qilib qo'ymoq	Kuchukcha xonani juda tartibsiz qildi.	істеу; қылу	Күшік бөлмені қатты шашып тастады.	etmək; eləmək	Küçük otağı çox qarışdırdı.
暖和	iliq; yoqimli iliq	Bahor keldi, havo iliqlashdi.	жылы; жайлы жылы	Көктем келді, ауа райы жылына бастады.	isti; ilıq	Yaz gəldi, hava isinməyə başladı.
偶尔	ba'zan; onda-sonda	Men ba'zan uni maktabda ko'rib qolaman.	анда-санда; кейде	Мен оны анда-санда мектепте көремін.	bəzən; hərdən	Mən onu bəzən məktəbdə görürəm.
排队	navbatga turmoq	Chipta olayotgan odamlar navbatda turibdi.	кезекке тұру	Билет алып жатқан адамдар кезекте тұр.	növbəyə durmaq	Bilet alan insanlar növbədə dayanıb.
排列	tartiblash; joylashtirmoq	Iltimos, bu qutilarni kattadan kichikka qarab tartiblang.	реттеу; орналастыру	Мына қораптарды үлкеннен кішіге қарай реттеңіз.	düzmək; sıralamaq	Zəhmət olmasa, bu qutuları böyüyündən kiçiyinə doğru düzün.
判断	hukm; baholamoq	Sizning hukmingiz butunlay to'g'ri.	пайым; бағалау	Сіздің пайымыңыз толық дұрыс.	mühakimə; qiymətləndirmək	Sizin mühakiməniz tamamilə doğrudur.
陪	hamroh bo'lmoq; yonida bo'lmoq	Men xafa bo'lganimda, siz doim yonimda bo'lasiz.	еріп жүру; қасында болу	Мен мұңайғанда, сен әрқашан қасымда боласың.	müşayiət etmək; yanında olmaq	Mən kədərlənəndə sən həmişə yanımda olursan.
批评	tanqid qilmoq; tanqid	O'qituvchi meni kamdan-kam tanqid qiladi.	сынау; сын	Мұғалім мені сирек сынайды.	tənqid etmək; tənqid	Müəllim məni nadir hallarda tənqid edir.
皮肤	teri	Onam terini himoya qilishga juda e'tibor beradi.	тері	Анам теріні қорғауға көп көңіл бөледі.	dəri	Anam dərini qorumağa çox diqqət edir.
脾气	fe'l-atvor; jahl	Uning fe'li yaxshi, hech qachon jahli chiqmaydi.	мінез; ашу	Оның мінезі жақсы, ешқашан ашуланбайды.	xasiyyət; əsəb	Onun xasiyyəti yaxşıdır, heç vaxt əsəbiləşmir.
篇	maqola; yozma asar uchun hisob so'zi	Bu maqolani men ko'p marta o'qidim.	мақала; жазбаға арналған санау сөзі	Бұл мақаланы мен көп рет оқыдым.	məqalə; yazı üçün say sözü	Bu məqaləni çox dəfə oxumuşam.
骗	aldamoq	Men sizni aldamadim, u haqiqatan keldi.	алдау	Мен сені алдаған жоқпын, ол шынымен келді.	aldatmaq	Mən səni aldatmadım, o həqiqətən gəldi.
乒乓球	stol tennisi; ping-pong	Kim stol tennisi musobaqasida qatnashmoqchi?	үстел теннисі; пинг-понг	Кім үстел теннисі жарысына қатысқысы келеді?	stolüstü tennis; pinq-ponq	Kim stolüstü tennis yarışında iştirak etmək istəyir?
平时	odatda; oddiy paytda	U odatda kam sport qiladi.	әдетте; күнделікті кезде	Ол әдетте аз жаттығады.	adətən; adi vaxtlarda	O adətən az idman edir.
破	singan; sindirmoq	Kechirasiz, oynani sindirib qo'ydim.	сынған; сындыру	Кешіріңіз, айнаны сындырып алдым.	sınıq; sındırmaq	Bağışlayın, güzgünü sındırdım.
葡萄	uzum	Uzum yarim kilosiga besh yuan.	жүзім	Жүзім жарты килограммға бес юань.	üzüm	Üzümün yarım kilosu beş yuandır.
普遍	umumiy; keng tarqalgan	Bu muammo juda keng tarqalgan.	жалпы; кең тараған	Бұл мәселе кең тараған.	ümumi; geniş yayılmış	Bu problem çox geniş yayılmışdır.
普通话	putunhua; mandarin	Siz putunhuada juda yaxshi gapirasiz.	путунхуа; мандарин	Сен путунхуаны өте жақсы сөйлейсің.	putunxua; mandarin	Sən putunxuada çox yaxşı danışırsan.
其次	keyin; ikkinchidan	Avvalo xavfsizlik kerak, keyin tezlik.	екіншіден; содан кейін	Алдымен қауіпсіздік керек, екіншіден жылдамдық.	ikincisi; sonra	Əvvəlcə təhlükəsizlik, sonra sürət lazımdır.
其中	orasida; shular ichida	Sinfimizda yigirma o'quvchi bor, shulardan beshtasi chet eldan.	ішінде; олардың ішінде	Біздің сыныпта жиырма оқушы бар, олардың бесеуі шетелден.	arasında; onların içində	Sinifimizdə iyirmi şagird var, onlardan beşi xaricdəndir.
气候	iqlim	Shimolning iqlimiga moslasha olasizmi?	климат; ауа райы	Солтүстіктің климатына бейімделе аласыз ба?	iqlim	Şimalın iqliminə uyğunlaşa bilirsinizmi?
千万	albatta; zinhor	Ertangi yig'ilishni zinhor unutmang.	міндетті түрде; ешқашан	Ертеңгі жиналысты ешқашан ұмытпа.	mütləq; əsla	Sabahkı iclası əsla unutma.
签证	viza	Men ertaga elchixonaga viza rasmiylashtirishga boraman.	виза	Мен ертең елшілікке виза рәсімдеуге барамын.	viza	Mən sabah səfirliyə viza almağa gedəcəyəm.
敲	taqillatmoq	Kimdir eshikni taqillatyapti, borib kim kelganini ko'ring.	қағу; тоқылдату	Біреу есікті қағып тұр, барып кім келгенін көр.	döymək; taqqıldatmaq	Kimsə qapını döyür, get gör kim gəlib.
桥	ko'prik	Daryo ustida kichik ko'prik bor.	көпір	Өзен үстінде кішкентай көпір бар.	körpü	Çayın üstündə kiçik körpü var.
巧克力	shokolad	Men eng ko'p shokolad yeyishni yaxshi ko'raman.	шоколад	Мен шоколадты ең жақсы көремін.	şokolad	Ən çox şokolad yeməyi sevirəm.
亲戚	qarindosh	Qarindoshlarimning ko'pchiligi Pekinda yashaydi.	туыс	Туыстарымның көбі Бейжіңде тұрады.	qohum	Qohumlarımın çoxu Pekində yaşayır.
轻	yengil	Bu quti juda yengil.	жеңіл	Бұл жәшік өте жеңіл.	yüngül	Bu qutu çox yüngüldür.
轻松	oson; yengil	Bu ish uning uchun oson emas.	оңай; жеңіл	Бұл жұмыс оған оңай емес.	asan; rahat	Bu iş onun üçün asan deyil.
情况	vaziyat; holat	Vaziyatda katta o'zgarish yuz berdi.	жағдай; ахуал	Жағдайда үлкен өзгеріс болды.	vəziyyət; hal	Vəziyyətdə böyük dəyişiklik baş verdi.
穷	kambag'al	Bu chol juda kambag'al bo'lsa ham, baxtli yashaydi.	кедей	Бұл қарт өте кедей болса да, бақытты өмір сүреді.	kasıb	Bu qoca çox kasıb olsa da, xoşbəxt yaşayır.
区别	farq; ajratmoq	Bu ikki xil material orasida farq bormi?	айырмашылық; ажырату	Бұл екі түрлі материалдың айырмашылығы бар ма?	fərq; ayırmaq	Bu iki material arasında fərq varmı?
取	olmoq; yechib olmoq	Men bankka pul olishga boraman.	алу; шығарып алу	Мен банкке ақша алуға барамын.	götürmək; çıxarmaq	Mən banka pul çıxarmağa gedirəm.
全部	hammasi; barcha	Musiqa mening hamma narsam.	барлығы; түгел	Музыка менің барлығым.	hamısı; bütün	Musiqi mənim hər şeyimdir.
缺点	kamchilik; nuqson	Odam o'z kamchiligini boshqalarning afzalligi bilan solishtirmasligi kerak.	кемшілік; мін	Адам өз кемшілігін басқалардың артықшылығымен салыстырмауы керек.	çatışmazlıq; qüsur	İnsan öz çatışmazlığını başqalarının üstünlükləri ilə müqayisə etməməlidir.
缺少	yetishmaslik; kam bo'lmoq	Nima yetishmayotganini ko'ring, men hozir borib sotib olaman.	жетіспеу; кем болу	Қарашы, тағы не жетіспейді, мен қазір барып сатып аламын.	çatışmamaq; əskik olmaq	Bax gör hələ nə çatışmır, mən indi gedib alaram.
却	ammo; biroq	Menda aytadigan gap ko'p, lekin asabiylashsam, ayta olmay qolaman.	бірақ; алайда	Айтар сөзім көп, бірақ қобалжысам, айта алмай қаламын.	amma; lakin	Deyəcək çox sözüm var, amma həyəcanlananda deyə bilmirəm.
确实	haqiqatan; chindan	Bu usul haqiqatan yaxshi.	шынымен; расында	Бұл әдіс шынымен жақсы.	həqiqətən; doğrudan	Bu üsul həqiqətən yaxşıdır.
然而	biroq; ammo	Men bu kitobni o'qishga ko'p vaqt sarfladim, biroq hali tugatmadim.	алайда; дегенмен	Мен бұл кітапты оқуға көп уақыт жұмсадым, алайда әлі аяқтамадым.	lakin; ancaq	Mən bu kitabı oxumağa çox vaxt sərf etdim, lakin hələ bitirməmişəm.
热闹	gavjum; jonli	Ko'cha juda gavjum.	думанды; қызу	Көше өте қызу.	canlı; gur	Küçə çox canlıdır.
任何	har qanday; istalgan	Onam meni har kimdan ko'ra yaxshiroq tushunadi.	кез келген; қандай болса да	Анам мені кез келген адамнан жақсы түсінеді.	hər hansı; istənilən	Anam məni hamıdan yaxşı başa düşür.
任务	vazifa; topshiriq	Vazifaning sakson foizi bajarildi.	тапсырма; міндет	Тапсырманың сексен пайызы орындалды.	tapşırıq; vəzifə	Tapşırığın səksən faizi tamamlandı.
扔	otmoq; tashlamoq	Iltimos, axlatni axlat qutisiga tashlang.	лақтыру; тастау	Қоқысты қоқыс жәшігіне тастаңыз.	atmaq; tullamaq	Zəhmət olmasa, zibilləri zibil qutusuna atın.
仍然	hanuz; hali ham	Bugun havo hali ham yaxshi.	әлі де; бұрынғыдай	Бүгін әлі де ауа райы жақсы.	hələ də; yenə	Bu gün hava hələ də yaxşıdır.
日记	kundalik	Qizim har kuni kundalik yozish odatini shakllantirdi.	күнделік	Қызым күн сайын күнделік жазу әдетін қалыптастырды.	gündəlik	Qızım hər gün gündəlik yazmaq vərdişi qazandı.
入口	kirish joyi	Men sizni binoning kirish joyida kutaman.	кіреберіс	Мен сені ғимараттың кіреберісінде күтемін.	giriş	Mən səni binanın girişində gözləyəcəyəm.
散步	sayr qilmoq	Sayr qilganimda, kuchukcha doim ortimdan ergashdi.	серуендеу	Серуендеген кезде күшік үнемі артымнан еріп жүрді.	gəzintiyə çıxmaq	Gəzəndə küçük həmişə arxamca gəlirdi.
森林	o'rmon	Bu o'rmon juda katta.	орман	Бұл орман өте үлкен.	meşə	Bu meşə çox böyükdür.
沙发	divan	Iltimos, divanda biroz o'tiring, men sizga bir piyola choy quyib kelaman.	диван	Диванға біраз отырыңыз, мен сізге бір кесе шай құйып келейін.	divan	Zəhmət olmasa, divanda bir az oturun, mən sizə bir fincan çay süzüm.
伤心	xafa bo'lmoq; qayg'urmoq	Bu xabarni eshitgach, juda xafa bo'ldim.	қайғыру; ренжу	Бұл хабарды естігеннен кейін қатты ренжідім.	kədərlənmək; incimək	Bu xəbəri eşidəndən sonra çox kədərləndim.
商量	maslahatlashmoq; muhokama qilmoq	Siz ayni vaqtida keldingiz, keling, maslahatlashib olaylik.	ақылдасу; талқылау	Дәл уақытында келдің, ақылдасып алайық.	məsləhətləşmək; müzakirə etmək	Sən lap vaxtında gəldin, gəlin müzakirə edək.
稍微	biroz; ozgina	Ozgina beparvolik qilinsa, xato chiqadi.	сәл; аздап	Аздап ұқыпсыздық жасасаң, қате шығады.	bir az; azacıq	Azacıq diqqətsizlik səhvə səbəb ola bilər.
勺子	qoshiq	Kechirasiz, qoshiqni yerga tushirib yubordim.	қасық	Кешіріңіз, қасықты жерге түсіріп алдым.	qaşıq	Bağışlayın, qaşığı yerə saldım.
社会	jamiyat	Bu ijtimoiy muammolar hammani qiziqtiradi.	қоғам	Бұл әлеуметтік мәселелер бәрін алаңдатады.	cəmiyyət	Bu sosial problemlər hamını narahat edir.
深	chuqur; kech; teran	Oramizda juda chuqur do'stlik bor.	терең; кеш	Арамызда өте терең достық бар.	dərin; gec	Aramızda çox dərin dostluq var.
申请	ariza bermoq; ariza	Men bankdan kredit karta olish uchun ariza berdim.	өтініш беру; өтініш	Мен банкке несие картасына өтініш бердім.	müraciət etmək; ərizə	Mən banka kredit kartı üçün müraciət etdim.
甚至	hatto	Hamma juda xursand o'ynadi, hatto vaqtni unutdi.	тіпті	Бәрі өте көңілді ойнап, тіпті уақытты ұмытып кетті.	hətta	Hamı çox əyləndi və hətta vaxtı unutdu.
生活	hayot; yashamoq	Hayotda doim ba'zi tashvishlar uchraydi.	өмір; өмір сүру	Өмірде әрқашан кейбір уайымдар болады.	həyat; yaşamaq	Həyatda həmişə bəzi qayğılar olur.
生命	hayot	U san'atni o'z hayotidan ham muhimroq deb bildi.	өмір	Ол өнерді өз өмірінен де маңызды санады.	həyat	O, sənəti öz həyatından daha vacib saydı.
生意	biznes; savdo	Uning biznesi tobora kattalashmoqda.	бизнес; сауда	Оның бизнесі барған сайын үлкейіп келеді.	biznes; ticarət	Onun biznesi getdikcə böyüyür.
省	provinsiya	Men Shandun provinsiyasidanman.	провинция	Мен Шаньдун провинциясынанмын.	əyalət	Mən Şandun əyalətindənəm.
剩	qolmoq; ortib qolmoq	Faqat ikki dona olma qoldi.	қалу; арту	Тек екі алма қалды.	qalmaq; artıq qalmaq	Yalnız iki alma qalıb.
失败	muvaffaqiyatsizlik; yutqazmoq	Ko'p muvaffaqiyatsizliklarni boshdan kechirgan bo'lsam ham, hech qachon taslim bo'lmayman.	сәтсіздік; жеңілу	Көп сәтсіздікті бастан кешірсем де, ешқашан бас тартпаймын.	uğursuzluq; məğlub olmaq	Çox uğursuzluq yaşasam da, heç vaxt təslim olmuram.
失望	umidsizlanmoq; hafsalasi pir bo'lmoq	Men undan juda hafsalam pir bo'ldi.	көңілі қалу; түңілу	Мен одан қатты көңілім қалды.	məyus olmaq; ümidini itirmək	Mən ondan çox məyus oldum.
师傅	usta; hurmatli murojaat	Usta, kinoteatrga qanday boriladi?	шебер; аға	Аға, кинотеатрға қалай баруға болады?	usta; hörmətli müraciət	Usta, kinoteatra necə getmək olar?
十分	juda; nihoyatda	U ishlarni juda diqqat bilan qiladi.	өте; аса	Ол істі өте мұқият істейді.	çox; olduqca	O işləri çox diqqətlə görür.
实际	amaliy; haqiqiy	U bu masalani tushuntirish uchun amaliy misol ishlatdi.	нақты; іс жүзіндегі	Ол бұл мәселені түсіндіру үшін нақты мысал қолданды.	praktik; real	O bu problemi izah etmək üçün praktik nümunə verdi.
实在	haqiqatan; rostdan	Men rostdan ham juda charchadim.	шынымен; расында	Мен шынымен тым шаршадым.	həqiqətən; doğrudan	Mən doğrudan çox yorulmuşam.
使	qilmoq; sabab bo'lmoq	Uning so'zlari meni juda ta'sirlantirdi.	себеп болу; ету	Оның сөздері мені қатты әсерлендірді.	etmək; səbəb olmaq	Onun sözləri məni çox təsirləndirdi.
使用	foydalanmoq; ishlatmoq	Xitoyliklar odatda ovqat yeyishda tayoqchalardan foydalanadi.	пайдалану; қолдану	Қытайлықтар әдетте тамақ жеуге таяқшаларды қолданады.	istifadə etmək; işlətmək	Çinlilər adətən yemək yeyəndə çubuqlardan istifadə edirlər.
世纪	asr	Hozir yigirma birinchi asr.	ғасыр	Қазір жиырма бірінші ғасыр.	əsr	İndi iyirmi birinci əsrdir.
是否	...mi yoki yo'qmi	U kela oladimi-yo'qmi, men hali aniq bilmayman.	ма, жоқ па; әлде	Оның келе алатынын әлі анық білмеймін.	olub-olmaması	Onun gələ bilib-bilməyəcəyini hələ dəqiq bilmirəm.
适合	mos kelmoq; yarashmoq	Yashil kiyim menga unchalik yarashmaydi.	жарасу; сәйкес келу	Жасыл киім маған онша жараспайды.	uyğun gəlmək; yaraşmaq	Yaşıl paltar mənə o qədər də yaraşmır.
适应	moslasha olmoq; ko'nikmoq	Shimolning iqlimiga moslasha olasizmi?	бейімделу; үйрену	Солтүстіктің климатына бейімделе аласыз ба?	uyğunlaşmaq; öyrəşmək	Şimalın iqliminə uyğunlaşa bilirsinizmi?
收	olmoq; qabul qilmoq	Men xatingizni oldim.	алу; қабылдау	Мен хатыңды алдым.	almaq; qəbul etmək	Mən məktubunu aldım.
收入	daromad	Uning daromadi oldingidan yuqori.	табыс; кіріс	Оның табысы бұрынғыдан жоғары.	gəlir	Onun gəliri əvvəlkindən yüksəkdir.
收拾	yig'ishtirmoq; tartibga keltirmoq	Men yuklarimni yig'ishtiryapman.	жинастыру; реттеу	Мен жүгімді жинап жатырмын.	yığışdırmaq; toplamaq	Mən baqajımı yığıram.
首都	poytaxt	Xitoyning poytaxti Pekin.	астана	Қытайдың астанасы Бейжің.	paytaxt	Çinin paytaxtı Pekindir.
首先	avvalo; birinchi navbatda	Avvalo yaxshi dam olish kerak, keyin yaxshi ishlash mumkin.	алдымен; ең әуелі	Алдымен жақсы демалу керек, содан кейін жақсы жұмыс істеуге болады.	əvvəlcə; ilk növbədə	Əvvəlcə yaxşı dincəlmək lazımdır, sonra yaxşı işləmək olar.
受不了	chiday olmaslik	Havo juda issiq, chiday olmayman.	шыдай алмау	Ауа райы тым ыстық, шыдай алмаймын.	dözə bilməmək	Hava çox istidir, dözə bilmirəm.
受到	olmoq; duchor bo'lmoq	Uning romani o'quvchilar tomonidan yaxshi kutib olindi.	алу; ұшырау	Оның романы оқырмандар тарапынан жақсы қабылданды.	almaq; məruz qalmaq	Onun romanı oxucular tərəfindən yaxşı qarşılandı.
售货员	sotuvchi	Men savdo markazida sotuvchi bo'lib ishlayman.	сатушы	Мен сауда орталығында сатушы болып жұмыс істеймін.	satıcı	Mən ticarət mərkəzində satıcı işləyirəm.
输	yutqazmoq	Bu safargi o'yinda biz yutqazdik.	ұтылу	Бұл жарыста біз ұтылдық.	uduzmaq	Bu oyunda biz uduzduq.
熟悉	tanish bo'lmoq; yaxshi bilmoq	Men ularning hammasini yaxshi bilaman.	таныс болу; жақсы білу	Мен олардың бәрімен жақсы таныспын.	tanış olmaq; yaxşı bilmək	Mən onların hamısını yaxşı tanıyıram.
数量	miqdor; son	Ro'yxatdan o'tayotgan odamlar soni ko'p.	сан; мөлшер	Тіркеліп жатқан адамдардың саны көп.	miqdar; say	Qeydiyyatdan keçənlərin sayı çoxdur.
数字	raqam; son	Iltimos, raqamlarni aniq yozing.	сан; цифр	Сандарды анық жазыңыз.	rəqəm; say	Zəhmət olmasa, rəqəmləri aydın yazın.
帅	kelishgan	U bugun juda kelishgan kiyingan.	сымбатты; әдемі	Ол бүгін өте сымбатты киінген.	yaraşıqlı	O bu gün çox yaraşıqlı geyinib.
