simplified	PT	example_PT
酒精	álcool	O médico desinfectou a ferida com álcool.
就近	perto	Os alunos podem matricular-se numa escola perto de casa.
就业	emprego	O governo lançou políticas para promover o emprego.
就职	tomar posse	O novo gerente tomará posse oficialmente na próxima semana.
救济	assistência	As vítimas do desastre receberam assistência a tempo.
居民	morador	Os moradores próximos opõem-se à poluição sonora.
居住	morar	Eles moram aqui há dez anos.
拘留	deter	A polícia deteve o suspeito nos termos da lei.
拘束	constrangido	Não precisas de te sentir constrangido diante de amigos.
鞠躬	fazer uma vénia	O actor fez uma vénia ao público em agradecimento.
局部	local	O médico fez apenas anestesia local.
局面	situação	As negociações melhoraram a situação tensa.
局势	situação	A situação internacional continua complexa.
局限	limitação	Este método tem limitações óbvias.
举动	acto	O acto dele comoveu todos.
举世瞩目	atrair atenção mundial	Este projecto alcançou resultados que atraíram atenção mundial.
举足轻重	muito influente	Esta empresa é muito influente no sector.
咀嚼	mastigar	Deves mastigar devagar ao comer.
沮丧	frustrado	Depois de perder o jogo, ele ficou muito frustrado.
剧本	guião	O realizador está a rever o guião.
剧烈	violento	O chão tremeu violentamente.
据悉	segundo consta	Segundo consta, a reunião será adiada para a próxima semana.
聚精会神	com concentração total	As crianças ouviram a aula com concentração total.
卷	enrolar	Ele enrolou o mapa e pô-lo na mala.
倔强	teimoso	Esta criança tem uma personalidade teimosa.
决策	decisão	A administração está a discutir uma decisão importante.
绝望	desespero	Depois do fracasso, ele sentiu desespero por algum tempo.
觉悟	consciência	Esta experiência aumentou a consciência dele.
觉醒	despertar	A consciência ambiental do público está a despertar.
军队	exército	O exército chegou rapidamente à zona do desastre.
君子	cavalheiro	Um cavalheiro deve agir de acordo com as palavras.
卡通	desenho animado	A criança gosta de ver filmes de desenhos animados.
开采	extrair	Esta empresa é responsável por extrair minerais.
开除	expulsar	A escola decidiu expulsar o aluno que fez batota.
开阔	amplo	Do topo da montanha, a vista é muito ampla.
开朗	extrovertido	Ela tem uma personalidade extrovertida e muitos amigos.
开明	aberto	Os pais têm uma atitude aberta.
开辟	abrir	A cidade abriu uma nova linha de autocarro.
开拓	expandir	A empresa planeia expandir-se para mercados estrangeiros.
开展	realizar	A escola realizou uma actividade de educação sobre segurança.
开支	despesas	As despesas mensais da família aumentaram.
刊登	publicar	O jornal publicou o artigo dele.
刊物	publicação	Esta publicação sai uma vez por mês.
勘探	prospecção	A equipa de engenharia está a fazer prospecção de águas subterrâneas.
侃侃而谈	falar com confiança	Ele falou com confiança e à vontade na reunião.
砍伐	abater	É proibido abater florestas ao acaso.
看待	encarar	Devemos encarar este problema de forma objectiva.
慷慨	generoso	Ele doou generosamente o prémio.
抗议	protesto	Os moradores protestaram contra a construção de uma nova fábrica.
考察	inspeccionar	Os especialistas foram ao local inspeccionar o ambiente.
考古	arqueologia	A equipa de arqueologia descobriu túmulos antigos.
考核	avaliar	A empresa avalia todos os anos o desempenho dos funcionários.
考验	testar	Esta crise testou as capacidades da equipa.
靠拢	aproximar-se	Os membros da equipa aproximaram-se do centro.
磕	bater	Ele bateu sem querer na esquina da mesa.
科目	disciplina	Matemática é a disciplina preferida dele.
可观	considerável	Este investimento trouxe ganhos consideráveis.
可口	saboroso	A comida deste restaurante é saborosa.
可恶	odioso	Este tipo de engano é mesmo odioso.
可行	viável	Este plano é basicamente viável.
渴望	ansiar	As crianças anseiam por mais oportunidades.
克制	controlar	Deves controlar as emoções durante uma discussão.
刻不容缓	sem demora	Proteger as fontes de água não admite demora.
客户	cliente	O cliente está muito satisfeito com o serviço.
课题	tema	Este tema merece estudo aprofundado.
啃	roer	A criança está a roer uma espiga de milho.
恳切	sincero	Ele pediu sinceramente ajuda a todos.
坑	buraco	Há um buraco fundo junto à estrada.
空洞	vazio	Este relatório tem conteúdo vazio.
空前绝后	sem precedentes	Esta apresentação pode ser considerada sem precedentes.
空想	fantasia	Confiar apenas em fantasia não resolve problemas.
空虚	vazio	Depois da azáfama, ele sentiu-se vazio.
孔	orifício	Há um pequeno orifício na parede.
恐怖	assustador	Aquele filme tem uma atmosfera assustadora.
恐吓	intimidar	A outra parte usou ameaças para intimidar a testemunha.
恐惧	medo	A escuridão fez a criança sentir medo.
空白	espaço em branco	Por favor, assina no espaço em branco.
空隙	fenda	Há uma fenda entre a porta e o chão.
口气	tom	O tom dele ao falar era muito duro.
口腔	cavidade oral	O médico examinou a cavidade oral dele.
口头	verbal	Eles têm apenas um acordo verbal.
口音	sotaque	O mandarim dele tem um ligeiro sotaque.
扣	apertar	Por favor, aperta o cinto de segurança.
哭泣	chorar	A menina escondeu-se no canto e chorou.
枯萎	murchar	A falta de água fez as flores murcharem.
枯燥	monótono	Este trabalho é um pouco monótono.
苦尽甘来	depois da dificuldade vem a alegria	Depois de anos de persistência, depois da dificuldade veio a alegria.
苦涩	amargo	Este chá medicinal tem um sabor amargo.
挎	levar ao braço	Ela saiu com um saco de pano ao braço.
跨	passar por cima	Ele passou por cima da vala e continuou em frente.
快活	alegre	As crianças brincaram alegremente na relva.
宽敞	espaçoso	Esta sala de aula é luminosa e espaçosa.
宽容	tolerância	A sociedade precisa de mais compreensão e tolerância.
款待	receber	O anfitrião recebeu os convidados calorosamente.
款式	estilo	Esta peça de roupa tem um estilo muito moderno.
筐	cesto	Ele voltou para casa com um cesto de maçãs às costas.
况且	além disso	A estrada é longa e, além disso, já está a escurecer.
旷课	faltar às aulas	Os alunos que faltam às aulas sem motivo ficam registados.
框架	estrutura	O relatório precisa primeiro de definir a estrutura.
矿产	recursos minerais	Esta região é rica em recursos minerais.
亏待	tratar injustamente	A empresa não tratará injustamente os funcionários que trabalham com seriedade.
亏损	prejuízo	A fábrica teve prejuízos graves este ano.
捆绑	atar	Por favor, ata bem estas caixas.
扩充	ampliar	A escola planeia ampliar o acervo da biblioteca.
扩散	espalhar	O boato espalhou-se rapidamente na Internet.
扩张	expansão	A empresa está a expandir cuidadosamente o negócio.
啦	partícula final	Não te preocupes, tudo vai melhorar.
喇叭	buzina	A buzina do carro tocou de repente.
蜡烛	vela	Foram colocadas velas no bolo de aniversário.
来历	origem	A origem desta relíquia cultural é desconhecida.
来源	fonte	As notícias devem indicar a fonte da informação.
栏目	secção	Esta secção do programa é transmitida uma vez por semana.
懒惰	preguiça	A preguiça pode afetar os resultados dos estudos.
狼狈	em mau estado	Depois da chuva, ele ficou encharcado e em muito mau estado.
狼吞虎咽	devorar	Ele estava cheio de fome e devorou a refeição.
捞	retirar da água	O pescador retirou uma rede do rio.
唠叨	resmungar	A mãe está sempre a resmungar por causa de pequenas coisas.
牢固	sólido	A estrutura desta ponte é muito sólida.
牢骚	queixa	Ele está cheio de queixas, mas não quer mudar.
乐趣	prazer	A leitura dá-lhe muito prazer.
乐意	estar disposto	Estou disposto a ajudar-te a rever o currículo.
雷达	radar	O radar detetou um avião ao longe.
类似	semelhante	Já ocorreram problemas semelhantes antes.
冷酷	frio	O tom dele soou muito frio.
冷落	ignorar	O novo funcionário sentiu que o estavam a ignorar.
冷却	arrefecer	A máquina precisa de arrefecer antes da reparação.
愣	ficar paralisado	Ao ouvir a notícia, ele ficou paralisado.
黎明	alvorada	Na alvorada, a cidade começou lentamente a despertar.
理睬	dar atenção	Ele estava zangado e não dava atenção a ninguém.
理所当然	como garantido	Não tomes a ajuda dos outros como garantida.
理直气壮	com confiança	Com provas suficientes, ele falou com plena confiança.
理智	racionalidade	Em caso de conflito, é preciso manter a racionalidade.
礼节	etiqueta	Culturas diferentes têm regras de etiqueta diferentes.
礼尚往来	reciprocidade	Entre vizinhos valoriza-se a reciprocidade nas gentilezas.
里程碑	marco	Este sucesso é um marco para o projeto.
例外	exceção	Todos têm de participar, sem exceção.
利害	interesses	Isto envolve os interesses de ambas as partes.
力求	esforçar-se	Esforçamo-nos por reduzir os erros ao mínimo.
力所能及	dentro das possibilidades	Por favor, faz aquilo que está dentro das tuas possibilidades.
力争	empenhar-se	A equipa empenha-se em concluir a tarefa antes do prazo.
历代	gerações passadas	Estudiosos de gerações passadas investigaram este problema.
历来	desde sempre	Esta cidade sempre deu importância à educação.
立场	posição	Ele expressou a sua posição na reunião.
立方	cúbico	Este depósito de água tem capacidade de três metros cúbicos.
立交桥	viaduto	Este viaduto aliviou o congestionamento do trânsito.
立体	tridimensional	Esta pintura tem um forte efeito tridimensional.
立足	estabelecer-se	As empresas devem estabelecer-se no mercado local.
粒	grão	Há alguns grãos de arroz em cima da mesa.
廉洁	integridade	Os funcionários públicos devem manter a integridade.
联欢	confraternização	Os colegas organizaram uma confraternização de Ano Novo.
联络	contactar	Por favor, contacta o cliente o mais depressa possível.
联盟	aliança	Vários países formaram uma aliança comercial.
联想	associar	Esta fotografia faz-me associar ao tempo de infância.
连年	anos seguidos	Esta região sofreu inundações durante anos seguidos.
连锁	cadeia	Esta empresa gere supermercados em cadeia.
连同	juntamente com	Por favor, envia a fatura juntamente com o contrato.
良心	consciência	Devemos viver de modo a não trair a consciência.
晾	secar ao ar	Ela pôs a roupa a secar ao ar na varanda.
谅解	compreensão	Espero que possas compreender as nossas dificuldades.
辽阔	vasto	A pradaria é vasta e não se vê o fim.
列举	enumerar	O professor enumerou três exemplos.
临床	clínico	Este medicamento está em ensaios clínicos.
淋	apanhar chuva	Não fiques muito tempo a apanhar chuva.
吝啬	forreta	Ele nunca é forreta com os amigos.
伶俐	esperto	Esta menina é esperta e viva.
凌晨	madrugada	O avião parte às três da madrugada.
灵感	inspiração	A música deu-lhe inspiração criativa.
灵魂	alma	A liberdade é a alma desta obra.
灵敏	sensível	Este aparelho responde de forma muito sensível.
零星	disperso	Havia luzes dispersas no céu noturno.
领会	compreender	Ele compreendeu rapidamente o que o professor queria dizer.
领事馆	consulado	Ele foi ao consulado tratar do visto.
领土	território	Todos os países valorizam a integridade do território.
领悟	perceber	Depois de passar por um fracasso, ele percebeu o sentido da responsabilidade.
领先	estar à frente	A tecnologia deles está atualmente à frente da concorrência.
领袖	líder	Este líder é profundamente respeitado pelo povo.
溜	escapar	O cachorro escapou pela fresta da porta.
流浪	vaguear	Quando era jovem, ele vagueou por muitos lugares.
流露	revelar	O rosto dela revelou alegria.
流氓	arruaceiro	A polícia apanhou vários arruaceiros de rua.
流通	circular	Esta moeda já circulou localmente.
留恋	apego	Na formatura, todos sentiam apego ao campus.
留念	guardar como recordação	Tirámos fotografias à porta da escola para guardar como recordação.
留神	prestar atenção	É preciso prestar atenção ao atravessar a rua.
聋哑	surdo-mudo	A escola oferece apoio a crianças surdo-mudas.
隆重	solene	A conferência realizou-se solenemente no auditório.
垄断	monopólio	O monopólio pode prejudicar a concorrência no mercado.
笼罩	cobrir	O nevoeiro denso cobria toda a aldeia.
搂	abraçar	A mãe abraçou suavemente a criança.
炉灶	fogão	O fogão da cozinha precisa de ser limpo.
轮船	navio	O navio saiu lentamente do porto.
轮廓	contorno	O contorno dos picos ao longe era muito nítido.
轮胎	pneu	Os pneus do carro precisam de ser substituídos.
论坛	fórum	Os especialistas fizeram discursos no fórum.
论证	fundamentar	O relatório precisa de fundamentar melhor o argumento.
啰唆	ser prolixo	Deixa de ser prolixo e vai direto ao ponto.
络绎不绝	sem parar	Os turistas chegavam sem parar à cidade antiga.
落成	ficar concluído	O novo pavilhão desportivo fica oficialmente concluído amanhã.
落实	implementar	A reunião exigiu que a nova política fosse implementada rapidamente.
屡次	repetidamente	Ele lembrou repetidamente todos de prestarem atenção à segurança.
履行	cumprir	Ambas as partes devem cumprir as obrigações do contrato.
掠夺	saque	O conflito causou o saque de recursos.
嘛	partícula modal	Este assunto é simples, claro.
麻痹	negligente	Uma longa fase sem problemas pode tornar as pessoas negligentes.
麻木	dormente	O frio deixou-lhe os dedos dormentes.
麻醉	anestesia	Antes da operação, o médico deu anestesia ao doente.
码头	cais	O navio de carga atracou junto ao cais.
蚂蚁	formiga	As formigas estão a transportar comida.
埋伏	emboscada	Os soldados ficaram de emboscada no vale.
埋没	ficar despercebido	Não deixes que o talento fique despercebido.
埋葬	enterrar	Os aldeões enterraram o idoso na encosta.
脉搏	pulso	A enfermeira está a medir-lhe o pulso.
迈	dar um passo	Ele deu passos largos em direção à porta.
埋怨	queixar-se	Não estejas sempre a queixar-te dos outros.
慢性	crónico	As doenças crónicas exigem tratamento prolongado.
漫长	longo	Eles passaram por uma longa espera.
漫画	banda desenhada	Esta banda desenhada é muito popular entre os jovens.
蔓延	espalhar-se	O fogo espalhou-se rapidamente para o interior da floresta.
忙碌	ocupado	O fim do ano é a altura mais ocupada da empresa.
盲目	cego	Não se deve investir seguindo cegamente a tendência.
茫茫	imenso	O barco desapareceu no mar imenso.
茫然	perplexo	Depois de ouvir a explicação, ele continuava com ar perplexo.
冒充	fazer-se passar por	Alguém se fez passar por polícia para roubar dinheiro.
冒犯	ofender	As minhas palavras não tinham intenção de te ofender.
茂盛	viçoso	As árvores do quintal crescem de forma viçosa.
媒介	meio	A Internet é um meio importante de informação.
枚	classificador	Ele colecionou várias moedas comemorativas.
美观	estético	Este design é prático e estético.
美满	feliz	Eles vivem uma vida feliz e realizada.
美妙	maravilhoso	O concerto trouxe uma experiência maravilhosa.
萌芽	germinar	Uma nova ideia começou a germinar.
猛烈	violento	A tempestade chegou de forma muito violenta.
眯	semicerrar os olhos	A luz do sol era demasiado forte, por isso ele semicerrava os olhos.
弥补	compensar	Um pedido de desculpa não consegue compensar totalmente a perda.
弥漫	encher o ar	O aroma das flores enchia o ar no quintal.
谜语	adivinha	As crianças gostam de adivinhar adivinhas.
迷惑	confuso	Os dados complexos deixaram-no confuso.
迷人	encantador	A vista noturna junto ao mar é muito encantadora.
迷信	superstição	A educação científica pode reduzir a superstição.
密度	densidade	Este metal tem uma densidade elevada.
密封	vedar	Depois de abrir, por favor volta a vedar o saco.
棉花	algodão	Os agricultores estão a apanhar algodão.
免得	para evitar	Sai mais cedo para evitar chegar atrasado.
免疫	imunidade	Esta vacina pode aumentar a imunidade.
勉励	encorajar	O professor encoraja frequentemente os alunos a persistirem nos estudos.
勉强	relutantemente	Ele aceitou relutantemente este acordo.
面貌	aspeto	O aspeto da cidade mudou muito.
面子	prestígio	Ele não queria perder prestígio em público.
描绘	descrever	O romance descreve a vida no campo.
瞄准	apontar	O atirador apontou para o alvo.
渺小	insignificante	Perante a natureza, as pessoas parecem insignificantes.
藐视	desprezar	Não podemos desprezar nenhum adversário.
灭亡	colapso	Esta dinastia acabou por caminhar para o colapso.
蔑视	desprezo	O tom dele estava cheio de desprezo.
民间	popular	A arte popular precisa de proteção.
民主	democracia	A reunião adotou uma votação democrática.
敏捷	ágil	Os movimentos do atleta são muito ágeis.
敏锐	aguçado	Os jornalistas precisam de uma capacidade de observação aguçada.
名次	classificação	Ela obteve uma boa classificação na competição.
名额	vaga	Este programa tem apenas dez vagas.
名副其实	verdadeiro	Ele é um verdadeiro especialista.
名誉	reputação	Este assunto prejudicou a reputação da empresa.
明明	claramente	Ele claramente sabia a resposta, mas recusou-se a dizê-la.
明智	sensato	Adiar a decisão foi uma escolha sensata.
命名	dar nome	Os cientistas deram nome à nova espécie.
摸索	explorar	A equipa ainda está a explorar novos métodos.
摩擦	atrito	Surgiram atritos comerciais entre os dois países.
模范	modelo	Ele é um modelo para todos os alunos da escola.
模式	modelo	Este modelo de negócio é muito bem-sucedido.
模型	maqueta	O engenheiro fez uma maqueta da ponte.
磨合	ajustar-se	A nova equipa precisa de tempo para se ajustar.
膜	membrana	Esta membrana pode filtrar impurezas.
魔鬼	diabo	O diabo da história era muito astuto.
魔术	magia	As crianças gostam de ver espetáculos de magia.
抹杀	apagar	Não se pode apagar a contribuição dele.
墨水儿	tinta	A tinta da caneta está quase a acabar.
莫名其妙	incompreensível	A reação dele pareceu incompreensível.
默默	em silêncio	Ela ajudou muitas pessoas em silêncio.
谋求	procurar	A empresa está a procurar novas oportunidades de desenvolvimento.
模样	aparência	A aparência dele mudou muito.
母语	língua materna	As crianças aprendem a língua materna desde pequenas.
沐浴	banhar	A aldeia de manhã estava banhada pela luz do sol.
目睹	testemunhar	Muitas pessoas testemunharam este acidente.
目光	olhar	O olhar de todos estava concentrado no palco.
拿手	especialidade	O peixe estufado é a especialidade dele.
纳闷儿	ficar intrigado	Eu continuei intrigado com o motivo do atraso dele.
耐用	durável	Este par de sapatos é muito durável.
南辕北辙	ir contra o objetivo	A abordagem dele vai contra o objetivo.
难得	raro	Esta é uma oportunidade rara.
难堪	embaraçado	Esta pergunta deixou-o muito embaraçado.
难能可贵	louvável	Manter a honestidade sob pressão é especialmente louvável.
恼火	irritado	O equipamento avariou outra vez e ele ficou muito irritado.
内涵	conotação	Esta palavra tem ricas conotações culturais.
内幕	bastidores	O jornalista tentou investigar os bastidores do incidente.
内在	intrínseco	Ele valoriza mais as qualidades intrínsecas de uma pessoa.
能量	energia	Este pequeno-almoço dá-me muita energia.
拟定	elaborar	A secretária está a elaborar a agenda da reunião.
逆行	ir em sentido contrário	Aquele carro ia em sentido contrário numa rua de sentido único.
年度	anual	A empresa publicou o relatório anual.
捏	beliscar	Ela beliscou suavemente a bochecha da criança.
凝固	solidificar	Depois de arrefecer, a cera vai solidificar lentamente.
凝聚	unir	Um objetivo comum consegue unir a força da equipa.
凝视	fitar	Ele fitava as luzes ao longe.
拧	beliscar	Ele beliscou-me com a mão.
宁肯	preferir	Ela prefere fracassar a abandonar os seus princípios.
宁愿	preferir	Eu prefiro ir a pé a esperar pelo autocarro.
扭转	inverter	A nova política inverteu a situação de prejuízo.
纽扣儿	botão	Esta camisa perdeu um botão.
农历	calendário lunar	A Festa da Primavera é celebrada segundo o calendário lunar.
浓厚	forte	Ele tem um forte interesse por história.
奴隶	escravo	A escravatura existia na sociedade antiga.
挪	deslocar	Por favor, desloca a cadeira um pouco para o lado.
虐待	abusar	A lei proíbe abusar de crianças.
哦	oh	Oh, finalmente compreendi.
殴打	agredir	A polícia prendeu a pessoa que agrediu um transeunte.
偶像	ídolo	Ela considera aquele escritor o seu ídolo.
呕吐	vomitar	Ele começou a vomitar depois de comer comida estragada.
趴	deitar-se de barriga para baixo	O gatinho estava deitado de barriga para baixo no parapeito da janela.
徘徊	hesitar	Ele ficou muito tempo a hesitar à porta.
排斥	repelir	O novo material repele a humidade.
排除	excluir	O médico excluiu primeiro doenças graves.
排放	emissão	As fábricas têm de reduzir as emissões de gases.
排练	ensaiar	Os atores estão a ensaiar o novo programa.
派别	facção	Existem diferentes facções dentro desta organização.
派遣	enviar	A empresa enviou engenheiros para o local.
攀登	escalar	Eles planeiam escalar a montanha nevada amanhã.
盘旋	circular	O avião circulava sobre o aeroporto.
判决	sentença	O tribunal anunciou hoje a sentença.
畔	margem	As crianças passearam à margem do lago.
庞大	enorme	Este projeto exige fundos enormes.
抛弃	abandonar	Ele não quer abandonar o seu sonho.
泡沫	espuma	Há muita espuma branca no copo.
培育	cultivar	A escola esforça-se por cultivar o sentido de responsabilidade dos alunos.
配备	equipar	O carro novo está equipado com um sistema de segurança.
配偶	cônjuge	O formulário de candidatura exige informação sobre o cônjuge.
配套	complementar	A comunidade tem instalações complementares completas.
盆地	bacia	Esta bacia é muito quente no verão.
烹饪	culinária	A culinária exige paciência e experiência.
捧	segurar com as duas mãos	Ela segurava um ramo de flores com as duas mãos.
劈	rachar	O trabalhador rachou lenha com um machado.
批发	venda por grosso	Esta loja dedica-se sobretudo à venda por grosso de fruta.
批判	criticar	O artigo criticou esta opinião errada.
疲惫	exausto	Depois da longa viagem, todos estavam exaustos.
疲倦	cansado	O trabalho contínuo deixou-o cansado.
皮革	couro	Esta mala é feita de couro.
屁股	rabo	A criança caiu e ficou com dores no rabo.
譬如	por exemplo	Por exemplo, podemos fazer primeiro um pequeno teste.
偏差	desvio	Os resultados da experiência têm um desvio evidente.
偏见	preconceito	Devemos evitar preconceitos étnicos.
偏僻	remoto	Esta aldeia fica num lugar muito remoto.
偏偏	por azar	Quanto mais ansioso eu ficava, mais devagar o carro andava por azar.
片断	fragmento	Há vários fragmentos excelentes no filme.
片刻	momento	Por favor, espera aqui por mim um momento.
漂浮	flutuar	As folhas caídas flutuavam na água.
飘扬	ondular	A bandeira nacional ondulava ao vento.
撇	pôr de lado	Ele pôs o plano antigo de lado.
拼搏	lutar	Os jovens devem lutar pelos seus ideais.
拼命	com todas as forças	Ele perseguiu a equipa da frente com todas as forças.
贫乏	pobre	O conteúdo deste artigo é relativamente pobre.
贫困	pobreza	O governo ajuda famílias em situação de pobreza.
频繁	frequente	Recentemente, os acidentes de trânsito têm sido frequentes aqui.
频率	frequência	A frequência deste som é muito alta.
品尝	provar	Os convidados estão a provar a comida local.
品德	caráter moral	A escola valoriza a educação do caráter moral dos alunos.
品质	qualidade	A qualidade dos produtos desta empresa é estável.
品种	variedade	Há muitas variedades de fruta no mercado.
屏幕	ecrã	Por favor, reduz o brilho do ecrã.
屏障	barreira	A floresta é uma barreira importante contra o vento.
平凡	comum	Ele trabalhou durante muitos anos num cargo comum.
平面	planta	O designer desenhou a planta da casa.
平坦	plano	Esta estrada é muito plana.
平行	paralelo	Estas duas linhas são paralelas uma à outra.
平庸	medíocre	Ele não se conforma com uma vida medíocre.
平原	planície	O comboio atravessou uma vasta planície.
评估	avaliar	Os especialistas estão a avaliar os riscos do projeto.
评论	comentar	Os leitores podem comentar por baixo do artigo.
坡	inclinação	O carro subiu lentamente a inclinação.
泼	salpicar	Não salpiques água para o chão.
颇	bastante	Este resultado é bastante surpreendente.
破例	abrir exceção	O gerente abriu uma exceção e aprovou o pedido dele.
迫不及待	mal poder esperar	As crianças mal podiam esperar para abrir os presentes.
迫害	perseguir	Muitas pessoas sofreram perseguição ao longo da história.
魄力	audácia	Os líderes precisam de audácia para tomar decisões.
扑	atirar-se	A criança atirou-se de repente para os braços da mãe.
铺	estender	Os trabalhadores estão a estender a nova carpete.
普及	generalizar	A Internet já se generalizou nas cidades.
朴实	simples	A linguagem dele é simples e sincera.
朴素	simples	Ela gosta de um modo de vida simples.
瀑布	cascata	Os turistas ficaram ao lado da cascata a tirar fotografias.
凄凉	desolado	A aldeia de montanha parecia desolada no inverno.
期望	expectativa	Os pais têm grandes expectativas em relação aos filhos.
期限	prazo	O prazo de inscrição é esta sexta-feira.
欺负	intimidar	As crianças mais velhas não devem intimidar as mais novas.
欺骗	enganar	A publicidade falsa enganou os consumidores.
奇妙	maravilhoso	A natureza tem muitos fenómenos maravilhosos.
旗袍	qipao	Ela usou um qipao vermelho para ir à festa.
旗帜	bandeira	Bandeiras coloridas tremulavam na praça.
歧视	discriminação	A lei proíbe qualquer forma de discriminação.
齐全	completo	Esta loja tem uma gama completa de ferramentas.
齐心协力	unir esforços	Todos uniram esforços para concluir a tarefa.
乞丐	mendigo	Um velho mendigo estava sentado à beira da estrada.
企图	tentar	Ele tentou esconder a situação real.
启程	partir	A delegação parte amanhã de madrugada.
启蒙	iniciação	Este livro é adequado para a iniciação à leitura das crianças.
启事	aviso	Havia um aviso de recrutamento afixado à porta da escola.
启示	lição	Este fracasso deu-nos uma lição importante.
岂有此理	absurdo	Este tipo de taxa é mesmo absurdo.
起草	redigir	O advogado está a redigir o contrato.
起初	no início	No início, ele não acreditava nesta notícia.
起伏	subir e descer	A estrada de montanha sobe e desce conforme o terreno.
起哄	criar confusão	Os alunos não devem criar confusão na aula.
起码	no mínimo	No mínimo, devias avisar-me com antecedência.
起源	origem	Este festival tem origem na antiguidade.
器材	equipamento	O laboratório precisa de novo equipamento de ensino.
器官	órgão	O coração é um órgão importante do corpo humano.
气概	espírito	Este poema mostra espírito heroico.
气功	qigong	O avô pratica qigong todas as manhãs.
气魄	imponência	Esta ponte tem muita imponência.
气色	tez	Depois de descansar, a tez dele melhorou muito.
气势	ímpeto	A equipa entrou em campo com grande ímpeto.
气味	cheiro	Havia cheiro a pão torrado na cozinha.
气象	meteorologia	O clima do planalto aqui muda rapidamente.
气压	pressão atmosférica	A queda da pressão atmosférica pode trazer chuva.
气质	temperamento	Ela tem um temperamento tranquilo.
迄今为止	até agora	Até agora, a experiência tem avançado sem problemas.
掐	apanhar	Ela apanhou uma flor pequena.
恰当	adequado	A tua resposta é muito adequada.
恰到好处	no ponto certo	A doçura deste prato está no ponto certo.
恰巧	por acaso	Por acaso, começou a chover quando cheguei à estação.
洽谈	negociar	As duas partes estão a negociar os detalhes da cooperação.
千方百计	por todos os meios	Eles tentaram por todos os meios encontrar uma solução.
牵	segurar	A mãe segurou a mão da criança ao atravessar a rua.
牵扯	envolver	Este assunto envolve muitos departamentos.
牵制	conter	A defesa adversária conteve o ataque.
签署	assinar	As duas empresas assinaram um acordo.
谦逊	humilde	Ele continuou humilde depois de ter sucesso.
迁就	ceder	Os pais não podem estar sempre a ceder aos filhos.
迁徙	migrar	As aves migratórias migram todos os anos conforme a estação.
前景	perspetivas	Este setor tem boas perspetivas.
前提	premissa	A confiança é a premissa da cooperação.
潜力	potencial	Este estudante tem grande potencial.
潜水	mergulhar	Eles foram à praia aprender a mergulhar.
潜移默化	influenciar impercetivelmente	O ambiente familiar pode influenciar as crianças impercetivelmente.
谴责	condenar	A comunidade internacional condenou os atos de violência.
抢劫	roubar	A polícia apanhou o suspeito que roubou o banco.
强制	obrigar	A nova regra obriga os condutores a usar cinto de segurança.
强迫	forçar	Não forces as crianças a fazer coisas de que não gostam.
抢救	socorrer	Os médicos estão a socorrer o trabalhador ferido.
桥梁	ponte	A língua é uma ponte para o intercâmbio cultural.
窍门	trique	Há alguns truques para aprender pronúncia.
翘	levantar	Ele levantou um pé para cima da cadeira.
切实	prático	Precisamos de um plano prático e viável.
锲而不舍	perseverar	Ele perseverou no estudo deste problema.
亲密	próximo	Eles sempre mantiveram uma relação próxima.
亲热	caloroso	O idoso cumprimentou calorosamente os convidados.
侵犯	violar	Este comportamento violou a privacidade pessoal.
侵略	invasão	O povo opõe-se a qualquer forma de invasão.
钦佩	admirar	Admiro muito a coragem dela.
勤俭	trabalhador e frugal	A avó geriu a casa de forma trabalhadora e frugal durante toda a vida.
勤劳	trabalhador	As pessoas trabalhadoras conseguem sempre criar oportunidades.
倾听	escutar	O professor escutou atentamente as opiniões dos alunos.
倾向	tender	Os consumidores jovens tendem a fazer compras online.
倾斜	inclinar-se	Depois da chuva forte, a parede começou a inclinar-se.
清澈	límpido	A água do riacho na montanha é muito límpida.
清晨	madrugada	O ar da madrugada é especialmente fresco.
清除	remover	Os trabalhadores removeram a neve da estrada.
清洁	limpo	O hospital deve manter o ambiente limpo.
清理	arrumar	No fim de semana, arrumámos o armazém.
清晰	nítido	Esta fotografia está muito nítida.
清醒	desperto	Depois de beber café, ele ficou muito mais desperto.
清真	halal	Há um restaurante halal aqui perto.
情报	informação	O jornalista obteve informação importante.
情节	enredo	O enredo do romance é muito tenso.
情理	razoável	O pedido dele não é razoável.
情形	situação	A situação no local era mais complexa do que se imaginava.
晴朗	limpo	O céu hoje está especialmente limpo.
请柬	convite	Eles enviaram convites de casamento a familiares e amigos.
请教	consultar	Gostaria de o consultar sobre uma questão.
请示	pedir instruções	Este assunto precisa primeiro de ser levado ao líder para instruções.
请帖	convite	Havia um convite de aniversário em cima da mesa.
丘陵	colinas	Esta região tem muitas colinas.
区分	distinguir	A criança já consegue distinguir a esquerda da direita.
区域	área	É proibido estacionar nesta área.
屈服	ceder	Ele não cedeu à pressão.
曲折	complicado	Eles passaram por negociações complicadas.
驱逐	expulsar	A polícia expulsou as pessoas que causavam problemas.
渠道	canal	A empresa vende produtos através de um novo canal.
取缔	proibir	O governo proibiu o mercado ilegal.
曲子	melodia	A melodia desta música é muito bonita.
趣味	interesse	Este jogo tem muito interesse.
圈套	armadilha	Ele quase caiu na armadilha do burlão.
全局	quadro geral	Os líderes devem considerar os interesses do quadro geral.
全力以赴	dar tudo	Vamos dar tudo para concluir a tarefa.
