hsk_key	source_word	simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
1402:景区	景区	景区	turistická oblast	U vchodu do turistické oblasti je mnoho turistů.	turistická oblasť	Pri vstupe do turistickej oblasti je veľa turistov.	turisztikai terület	A turisztikai terület bejáratánál sok turista van.	zonă turistică	La intrarea în zona turistică sunt mulți turiști.	туристическа зона	На входа на туристическата зона има много туристи.	turističko područje	Na ulazu u turističko područje ima mnogo turista.
1408:就是	就是	就是	právě; přesně; je	Tohle je právě moje škola.	práve; presne; je	Toto je práve moja škola.	pontosan; éppen; van	Ez pontosan az én iskolám.	chiar; exact; este	Aceasta este chiar școala mea.	точно; именно; е	Това е точно моето училище.	baš; upravo; jest	Ovo je upravo moja škola.
1411:举例	举例	举例	uvést příklad	Učitel ho požádal, aby to vysvětlil na příkladu.	uviesť príklad	Učiteľ ho požiadal, aby to vysvetlil na príklade.	példát hozni	A tanár megkérte, hogy példával magyarázza el.	a da un exemplu	Profesorul i-a cerut să dea un exemplu pentru a explica.	давам пример	Учителят го помоли да обясни с пример.	navesti primjer	Učitelj ga je zamolio da objasni primjerom.
1413:聚	聚	聚	shromáždit se; sejít se	Přátelé se o víkendu scházejí.	zhromaždiť sa; stretnúť sa	Priatelia sa cez víkend stretávajú.	összegyűlni	A barátok hétvégén összegyűlnek.	a se aduna	Prietenii se adună în weekend.	събирам се	Приятелите се събират през уикенда.	okupiti se	Prijatelji se okupljaju za vikend.
1414:聚餐	聚餐	聚餐	společně se najíst	Dnes večer jdeme společně na večeři.	spoločne sa najesť	Dnes večer ideme spolu na večeru.	közös étkezésen részt venni	Ma este együtt vacsorázunk.	a lua masa împreună	În seara aceasta luăm masa împreună.	събирам се на обща вечеря	Тази вечер ще вечеряме заедно.	zajedno jesti	Večeras zajedno idemo na večeru.
1418:剧院	剧院	剧院	divadlo	U vchodu do divadla stojí mnoho lidí ve frontě.	divadlo	Pred vchodom do divadla stojí veľa ľudí v rade.	színház	Sokan sorban állnak a színház bejáratánál.	teatru	Mulți oameni stau la rând la intrarea teatrului.	театър	Пред входа на театъра се редят много хора.	kazalište	Mnogi ljudi stoje u redu pred ulazom u kazalište.
1421:烤	烤	烤	péct; opékat	Právě peče chleba.	piecť; opekať	Práve pečie chlieb.	sütni; pirítani	Éppen kenyeret süt.	a coace; a frige	El coace pâine.	пека	Той пече хляб.	peći	Upravo peče kruh.
1423:考生	考生	考生	uchazeč u zkoušky	Uchazeči musí mít občanský průkaz.	uchádzač na skúške	Uchádzači musia mať občiansky preukaz.	vizsgázó	A vizsgázóknak magukkal kell vinniük a személyi igazolványukat.	candidat la examen	Candidații la examen trebuie să aducă actul de identitate.	кандидат на изпит	Кандидатите трябва да носят лична карта.	ispitni kandidat	Kandidati na ispitu moraju ponijeti osobnu iskaznicu.
1425:科技	科技	科技	věda a technika	Věda a technika dělají život pohodlnějším.	veda a technika	Veda a technika robia život pohodlnejším.	tudomány és technológia	A technológia kényelmesebbé teszi az életet.	știință și tehnologie	Tehnologia face viața mai convenabilă.	наука и технологии	Технологиите правят живота по-удобен.	znanost i tehnologija	Tehnologija čini život praktičnijim.
1427:咳	咳	咳	kašlat	Po nachlazení pořád kašle.	kašľať	Po prechladnutí stále kašle.	köhögni	Megfázása óta folyamatosan köhög.	a tuși	De când a răcit, tușește mereu.	кашлям	След настинката той постоянно кашля.	kašljati	Od prehlade stalno kašlje.
1432:客气	客气	客气	zdvořilý; laskavý	Jste příliš zdvořilý.	zdvorilý; láskavý	Ste príliš zdvorilý.	udvarias; előzékeny	Túl udvarias vagy.	politicos; amabil	Ești prea politicos.	учтив; любезен	Ти си прекалено учтив.	ljubazan; pristojan	Previše si ljubazan.
1433:课堂	课堂	课堂	třída; vyučovací hodina	Ve třídě jsou všichni velmi soustředění.	trieda; vyučovacia hodina	Na hodine sú všetci veľmi sústredení.	tanterem; tanóra	Órán mindenki nagyon figyelmes.	clasă; lecție	În clasă, toată lumea este foarte serioasă.	класна стая; учебен час	В час всички са много съсредоточени.	učionica; nastavni sat	Na satu su svi vrlo ozbiljni.
1440:口语	口语	口语	mluvený jazyk; ústní projev	Jeho mluvená čínština se rychle zlepšuje.	hovorený jazyk; ústny prejav	Jeho hovorená čínština sa rýchlo zlepšuje.	beszélt nyelv; szóbeli kifejezés	A beszélt kínaija gyorsan fejlődik.	limbaj vorbit	Chineza lui vorbită se îmbunătățește rapid.	говорим език	Устният му китайски напредва бързо.	govorni jezik	Njegov govorni kineski brzo napreduje.
1442:快餐	快餐	快餐	rychlé občerstvení	V poledne jsme jedli rychlé občerstvení.	rýchle občerstvenie	Na obed sme jedli rýchle občerstvenie.	gyorsétel	Délben gyorsételt ettünk.	mâncare rapidă	La prânz am mâncat mâncare rapidă.	бърза храна	На обяд ядохме бърза храна.	brza hrana	U podne smo jeli brzu hranu.
1443:快递	快递	快递	kurýrní zásilka; expresní doručení	Moje zásilka ještě nedorazila.	kuriérska zásielka; expresné doručenie	Moja zásielka ešte nedorazila.	futárküldemény; gyors kézbesítés	A csomagom még nem érkezett meg.	livrare rapidă; colet prin curier	Coletul meu încă nu a sosit.	куриерска пратка	Моята пратка още не е пристигнала.	brza dostava; kurirska pošiljka	Moja pošiljka još nije stigla.
1444:快速	快速	快速	rychlý	Toto je rychlý průchod.	rýchly	Toto je rýchly priechod.	gyors	Ez egy gyors átjáró.	rapid	Acesta este un pasaj rapid.	бърз	Това е бърз проход.	brz	Ovo je brzi prolaz.
1448:垃圾	垃圾	垃圾	odpadky; smetí	Prosím, dejte odpadky do koše.	odpadky; smeti	Prosím, dajte odpadky do koša.	szemét	Kérlek, tedd a szemetet a kukába.	gunoi	Vă rog să puneți gunoiul în coș.	боклук	Моля, сложете боклука в кофата.	smeće	Molimo stavite smeće u kantu.
1456:老家	老家	老家	rodný domov; domovský kraj	Na Jarní svátek se vrací do rodného kraje.	rodný domov; domovský kraj	Počas Sviatku jari sa vracia do rodného kraja.	szülőföld; régi otthon	A tavaszünnepen hazatér a szülőföldjére.	loc natal; casa părintească	De Sărbătoarea Primăverii se întoarce în locul natal.	роден край	По време на Пролетния фестивал той се връща в родния си край.	rodni kraj	Za Proljetni festival vraća se u rodni kraj.
1457:老年	老年	老年	stáří; seniorský věk	I starší lidé potřebují pohyb.	staroba; seniorský vek	Aj starší ľudia potrebujú pohyb.	időskor	Az időseknek is szükségük van mozgásra.	vârstă înaintată; bătrânețe	Persoanele în vârstă au nevoie și ele de mișcare.	старост; напреднала възраст	Възрастните хора също имат нужда от движение.	starost; starija dob	Stariji ljudi također trebaju vježbanje.
1458:老是	老是	老是	pořád; stále	Pořád zapomíná klíče.	stále; ustavične	Stále si zabúda kľúče.	mindig; folyton	Mindig elfelejti elhozni a kulcsait.	mereu; tot timpul	Uită mereu să-și ia cheile.	все; постоянно	Той все забравя да си вземе ключовете.	stalno; uvijek	Stalno zaboravlja ponijeti ključeve.
1467:例子	例子	例子	příklad	Učitel uvedl další příklad.	príklad	Učiteľ uviedol ďalší príklad.	példa	A tanár hozott még egy példát.	exemplu	Profesorul a dat încă un exemplu.	пример	Учителят даде още един пример.	primjer	Učitelj je naveo još jedan primjer.
1471:凉	凉	凉	chladný; vychladlý	Tento čaj už vychladl.	chladný; vychladnutý	Tento čaj už vychladol.	hűvös; kihűlt	Ez a tea már kihűlt.	răcoros; rece	Ceaiul acesta s-a răcit deja.	хладен; изстинал	Този чай вече изстина.	hladan; ohlađen	Ovaj se čaj već ohladio.
1472:量	量	量	měřit	Sestra změřila dítěti teplotu.	merať	Sestra zmerala dieťaťu teplotu.	mérni	A nővér megmérte a gyerek testhőmérsékletét.	a măsura	Asistenta a măsurat temperatura copilului.	измервам	Медицинската сестра измери температурата на детето.	mjeriti	Medicinska sestra izmjerila je djetetovu temperaturu.
1475:列	列	列	vypsat; řada	Prosím, vypište jména.	vypísať; rad	Prosím, vypíšte mená.	felsorolni; sor	Kérlek, sorold fel a neveket.	a lista; rând	Vă rog să listați numele.	изброявам; ред	Моля, избройте имената.	navesti; red	Molimo navedite imena.
1476:零下	零下	零下	pod nulou	Dnes ráno bylo pět stupňů pod nulou.	pod nulou	Dnes ráno bolo päť stupňov pod nulou.	nulla alatt	Ma reggel mínusz öt fok volt.	sub zero; sub nul	Azi dimineață temperatura a fost de minus cinci grade.	под нулата	Тази сутрин температурата беше пет градуса под нулата.	ispod nule	Jutros je temperatura bila pet stupnjeva ispod nule.
1477:零花钱	零花钱	零花钱	kapesné	Schoval si kapesné.	vreckové	Odložil si vreckové.	zsebpénz	Félretette a zsebpénzét.	bani de buzunar	Și-a pus deoparte banii de buzunar.	джобни пари	Той спести джобните си пари.	džeparac	Uštedio je svoj džeparac.
1480:另	另	另	jiný; zvlášť	Prosím, vyberte jiný čas.	iný; zvlášť	Prosím, vyberte iný čas.	másik; külön	Kérlek, válassz egy másik időpontot.	altul; separat	Vă rog să alegeți un alt moment.	друг; отделно	Моля, изберете друг час.	drugi; zasebno	Molimo odaberite drugo vrijeme.
1483:流	流	流	téct	Potok teče kolem vesnice.	tiecť	Potôčik tečie popri dedine.	folyni	A patak a falu mellett folyik el.	a curge	Râul mic curge pe lângă sat.	тече	Малката река тече покрай селото.	teći	Potočić teče pokraj sela.
1485:留下	留下	留下	nechat; zůstat	Prosím, zanechte své telefonní číslo.	nechať; zostať	Prosím, nechajte svoje telefónne číslo.	hátrahagyni; maradni	Kérlek, hagyd meg a telefonszámodat.	a lăsa; a rămâne	Vă rog să lăsați numărul de telefon.	оставям; оставам	Моля, оставете телефонния си номер.	ostaviti; ostati	Molimo ostavite svoj telefonski broj.
1487:路过	路过	路过	projít kolem	Když jsem šel kolem knihkupectví, koupil jsem si knihu.	prejsť okolo	Keď som prechádzal okolo kníhkupectva, kúpil som si knihu.	elhaladni valami mellett	Amikor elmentem a könyvesbolt mellett, vettem egy könyvet.	a trece pe lângă	Când am trecut pe lângă librărie, am cumpărat o carte.	минавам покрай	Когато минах покрай книжарницата, купих една книга.	proći pokraj	Kad sam prošao pokraj knjižare, kupio sam knjigu.
1488:旅馆	旅馆	旅馆	penzion; ubytovna	Tento penzion je velmi blízko stanice.	penzión; ubytovanie	Tento penzión je veľmi blízko stanice.	szálló; fogadó	Ez a szálló nagyon közel van az állomáshoz.	pensiune; han	Această pensiune este foarte aproape de gară.	къща за гости; хан	Тази къща за гости е много близо до гарата.	prenoćište; gostionica	Ovo prenoćište vrlo je blizu stanice.
1489:旅客	旅客	旅客	cestující; turista	Cestující stojí ve frontě na nástup.	cestujúci; turista	Cestujúci stoja v rade na nástup.	utas; turista	Az utasok sorban állnak a beszálláshoz.	călător; pasager	Pasagerii stau la rând pentru îmbarcare.	пътник; турист	Пътниците се редят за качване.	putnik	Putnici stoje u redu za ukrcaj.
1493:落	落	落	spadnout	Listí spadlo na silnici.	spadnúť	Listy spadli na cestu.	leesni	A levelek az útra hullottak.	a cădea	Frunzele au căzut pe drum.	падам	Листата паднаха на пътя.	pasti	Lišće je palo na cestu.
1498:毛衣	毛衣	毛衣	svetr	Tento svetr je velmi teplý.	sveter	Tento sveter je veľmi teplý.	pulóver	Ez a pulóver nagyon meleg.	pulover	Puloverul acesta este foarte călduros.	пуловер	Този пуловер е много топъл.	džemper	Ovaj džemper je vrlo topao.
1500:美	美	美	krásný	Zdejší krajina je krásná.	krásny	Tunajšia krajina je krásna.	szép	Az itteni táj nagyon szép.	frumos	Peisajul de aici este frumos.	красив	Пейзажът тук е красив.	lijep	Krajolik ovdje je lijep.
1501:美好	美好	美好	krásný; šťastný	Všichni doufají v dobrý život.	krásny; šťastný	Každý dúfa v dobrý život.	szép; boldog	Mindenki szép életet remél.	frumos; fericit	Toată lumea speră la o viață frumoasă.	прекрасен; щастлив	Всички се надяват на хубав живот.	lijep; sretan	Svi se nadaju lijepom životu.
1502:美景	美景	美景	krásný výhled	Krásný výhled na hoře je nezapomenutelný.	krásny výhľad	Krásny výhľad na hore je nezabudnuteľný.	szép táj	A hegyen látható szép táj felejthetetlen.	peisaj frumos	Peisajul frumos de pe munte este de neuitat.	красива гледка	Красивата гледка в планината е незабравима.	lijep prizor	Lijep prizor na planini je nezaboravan.
1504:美食	美食	美食	výborné jídlo; pochoutka	Je tu mnoho místních pochoutek.	výborné jedlo; pochúťka	Je tu veľa miestnych pochúťok.	finom étel; ínyencség	Itt sok helyi finomság van.	mâncare delicioasă	Aici este multă mâncare locală delicioasă.	вкусна храна	Тук има много местна вкусна храна.	ukusna hrana; delicija	Ovdje ima mnogo lokalnih delicija.
1510:面试	面试	面试	pracovní pohovor	Zítra dopoledne jde na pracovní pohovor.	pracovný pohovor	Zajtra dopoludnia ide na pracovný pohovor.	állásinterjú	Holnap délelőtt állásinterjúra megy.	interviu de angajare	Mâine dimineață participă la un interviu de angajare.	интервю за работа	Утре сутрин той ще отиде на интервю за работа.	razgovor za posao	Sutra ujutro ide na razgovor za posao.
1513:末	末	末	konec	Školní prázdniny začínají na konci června.	koniec	Školské prázdniny sa začínajú koncom júna.	vég	Június végén kezdődik az iskolai szünet.	sfârșit	Vacanța școlară începe la sfârșitul lui iunie.	край	В края на юни училището излиза във ваканция.	kraj	Školski praznici počinju krajem lipnja.
1514:母女	母女	母女	matka a dcera	Tato matka s dcerou cestují spolu.	matka a dcéra	Táto matka s dcérou cestujú spolu.	anya és lánya	Ez az anya és lánya együtt utazik.	mamă și fiică	Această mamă și fiica ei călătoresc împreună.	майка и дъщеря	Тази майка и дъщеря пътуват заедно.	majka i kći	Ova majka i kći putuju zajedno.
1516:母子	母子	母子	matka a syn	Tato matka se synem bydlí na jihu.	matka a syn	Táto matka so synom bývajú na juhu.	anya és fia	Ez az anya és fia délen él.	mamă și fiu	Această mamă și fiul ei locuiesc în sud.	майка и син	Тази майка и син живеят на юг.	majka i sin	Ova majka i sin žive na jugu.
1519:目的地	目的地	目的地	cíl cesty	Naším cílem cesty je Peking.	cieľ cesty	Naším cieľom cesty je Peking.	úti cél	Az úti célunk Peking.	destinație	Destinația noastră este Beijing.	дестинация; цел на пътуването	Нашата дестинация е Пекин.	odredište	Naše odredište je Peking.
1522:南部	南部	南部	jižní část	Jižní část této země je velmi teplá.	južná časť	Južná časť tejto krajiny je veľmi teplá.	déli rész	Ennek az országnak a déli része meleg.	partea de sud	Partea de sud a acestei țări este foarte caldă.	южна част	Южната част на тази страна е много топла.	južni dio	Južni dio ove zemlje vrlo je topao.
1524:男士	男士	男士	muž; pán	Pánské toalety jsou vlevo.	muž; pán	Pánske toalety sú vľavo.	férfi; úr	A férfimosdó balra van.	bărbat; domn	Toaleta pentru bărbați este în stânga.	мъж; господин	Мъжката тоалетна е вляво.	muškarac; gospodin	Muški toalet je lijevo.
1526:难忘	难忘	难忘	nezapomenutelný	Tato cesta byla opravdu nezapomenutelná.	nezabudnuteľný	Táto cesta bola naozaj nezabudnuteľná.	felejthetetlen	Ez az utazás nagyon felejthetetlen volt.	de neuitat	Această călătorie a fost foarte de neuitat.	незабравим	Това пътуване беше много незабравимо.	nezaboravan	Ovo je putovanje bilo vrlo nezaboravno.
1527:男性	男性	男性	mužský; muž	Této akce se mohou účastnit muži i ženy.	mužský; muž	Na tejto aktivite sa môžu zúčastniť muži aj ženy.	férfi; hímnemű	Ezen a programon férfiak és nők is részt vehetnek.	masculin; bărbat	La această activitate pot participa bărbați și femei.	мъжки; мъж	В това събитие могат да участват и мъже, и жени.	muški; muškarac	U ovoj aktivnosti mogu sudjelovati i muškarci i žene.
1530:内心	内心	内心	vnitřek; pocity	Uvnitř je ve skutečnosti velmi nervózní.	vnútro; pocity	Vo vnútri je v skutočnosti veľmi nervózny.	belső világ; érzések	Legbelül valójában nagyon ideges.	interior; sentimente	În sinea lui este de fapt foarte emoționat.	вътрешен свят; чувства	Вътрешно той всъщност е много напрегнат.	unutrašnjost; osjećaji	U sebi je zapravo vrlo nervozan.
1531:能否	能否	能否	zda je možné; zda lze	Mohu se zeptat, zda je možné se přihlásit předem?	či je možné; či sa dá	Môžem sa spýtať, či je možné prihlásiť sa vopred?	vajon lehet-e; képes-e	Megkérdezhetem, hogy lehet-e előre jelentkezni?	dacă se poate	Pot întreba dacă mă pot înscrie în avans?	дали може	Може ли да попитам дали мога да се запиша предварително?	je li moguće	Smijem li pitati je li se moguće unaprijed prijaviti?
1532:能够	能够	能够	být schopen	Dokáže dokončit práci samostatně.	byť schopný	Dokáže dokončiť prácu samostatne.	képes valamire	Képes önállóan befejezni a munkát.	a putea; a fi în stare	El poate termina munca independent.	мога; способен съм	Той може самостоятелно да завърши работата.	moći; biti sposoban	Može samostalno dovršiti posao.
1535:年底	年底	年底	konec roku	Firma na konci roku uspořádá společnou večeři.	koniec roka	Firma na konci roka zorganizuje spoločnú večeru.	év vége	A cég év végén közös vacsorát tart.	sfârșitul anului	Compania va organiza o masă comună la sfârșitul anului.	края на годината	Компанията ще организира обща вечеря в края на годината.	kraj godine	Tvrtka će na kraju godine organizirati zajedničku večeru.
1539:女性	女性	女性	žena; ženský	Tento obchod má mnoho zákaznic.	žena; ženský	Tento obchod má veľa zákazníčok.	nő; női	Ebben az üzletben sok női vásárló van.	femeie; feminin	Acest magazin are multe cliente.	жена; женски	Този магазин има много клиентки.	žena; ženski	Ova trgovina ima mnogo ženskih kupaca.
1543:排	排	排	stát ve frontě; řada	Všichni stojí u dveří ve frontě.	stáť v rade; rad	Všetci stoja pri dverách v rade.	sorba állni; sor	Mindenki sorban áll az ajtónál.	a sta la rând; rând	Toată lumea stă la rând la ușă.	редя се; редица	Всички се редят на вратата.	stati u red; red	Svi stoje u redu pred vratima.
1544:牌	牌	牌	cedule; karta; značka	Cedule u dveří ukazuje otevírací dobu.	ceduľa; karta; značka	Ceduľa pri dverách ukazuje otváracie hodiny.	tábla; kártya; márka	Az ajtónál lévő tábla mutatja a nyitvatartást.	semn; card; marcă	Pe semnul de la ușă scrie programul.	табела; карта; марка	Табелата на вратата показва работното време.	natpis; karta; marka	Na natpisu kraj vrata piše radno vrijeme.
1546:排球	排球	排球	volejbal	Odpoledne hrajeme volejbal.	volejbal	Popoludní hráme volejbal.	röplabda	Délután röplabdázunk.	volei	După-amiază jucăm volei.	волейбол	Следобед ще играем волейбол.	odbojka	Popodne igramo odbojku.
1547:牌子	牌子	牌子	značka; cedule	Tašky této značky jsou velmi oblíbené.	značka; ceduľa	Tašky tejto značky sú veľmi obľúbené.	márka; tábla	Ennek a márkának a táskái nagyon népszerűek.	marcă; semn	Gențile acestei mărci sunt foarte populare.	марка; табела	Чантите от тази марка са много популярни.	marka; natpis	Torbe ove marke vrlo su popularne.
1560:葡萄酒	葡萄酒	葡萄酒	víno	Při večeři vypili trochu vína.	víno	Pri večeri vypili trochu vína.	bor	Vacsoránál ittak egy kevés bort.	vin	La cină au băut puțin vin.	вино	На вечеря изпиха малко вино.	vino	Za večerom su popili malo vina.
1562:普通	普通	普通	obyčejný; běžný	Je to obyčejná restaurace.	obyčajný; bežný	Je to obyčajná reštaurácia.	hétköznapi; gyakori	Ez egy hétköznapi étterem.	obișnuit; comun	Acesta este un restaurant obișnuit.	обикновен; често срещан	Това е обикновен ресторант.	običan; uobičajen	Ovo je običan restoran.
1564:期	期	期	období; fáze; číslo	Tento kurz je rozdělen do tří fází.	obdobie; fáza; číslo	Tento kurz je rozdelený do troch fáz.	időszak; szakasz; szám	Ez a kurz három szakaszra van osztva.	perioadă; fază; număr	Acest curs este împărțit în trei faze.	период; етап; брой	Този курс е разделен на три етапа.	razdoblje; faza; broj	Ovaj je tečaj podijeljen u tri faze.
1565:期末	期末	期末	konec semestru	Zkouška na konci semestru se blíží.	koniec semestra	Skúška na konci semestra sa blíži.	félév vége	Közeledik a félév végi vizsga.	sfârșit de semestru	Examenul de la sfârșit de semestru se apropie.	край на срока	Изпитът в края на срока наближава.	kraj semestra	Ispit na kraju semestra se približava.
1566:期中	期中	期中	polovina semestru; průběžný test	Průběžný test bude příští týden.	polovica semestra; priebežný test	Priebežný test bude budúci týždeň.	félév közepe; zárthelyi	A félévközi vizsga jövő héten lesz.	mijloc de semestru; examen parțial	Examenul parțial este săptămâna viitoare.	средата на срока; междинен изпит	Междинният изпит е следващата седмица.	sredina semestra; međuispit	Međuispit je sljedeći tjedan.
1569:起到	起到	起到	sehrát roli; mít účinek	Tato aktivita měla velmi dobrý účinek.	zohrať úlohu; mať účinok	Táto aktivita mala veľmi dobrý účinok.	szerepet játszani; hatást elérni	Ez a program nagyon jó hatást ért el.	a avea un rol; a avea efect	Această activitate a avut un efect foarte bun.	играя роля; имам ефект	Това събитие имаше много добър ефект.	odigrati ulogu; imati učinak	Ova je aktivnost imala vrlo dobar učinak.
1570:气	气	气	vzduch; plyn	V pneumatice kola není vzduch.	vzduch; plyn	V pneumatike bicykla nie je vzduch.	levegő; gáz	A bicikli gumijában nincs levegő.	aer; gaz	Anvelopa bicicletei nu mai are aer.	въздух; газ	Гумата на велосипеда няма въздух.	zrak; plin	U gumi bicikla nema zraka.
1572:汽水	汽水	汽水	sycený nápoj	Děti rády pijí sycené nápoje.	sýtený nápoj	Deti rady pijú sýtené nápoje.	szénsavas üdítő	A gyerekek szeretnek szénsavas üdítőt inni.	băutură carbogazoasă	Copiilor le place să bea băuturi carbogazoase.	газирана напитка	Децата обичат да пият газирани напитки.	gazirano piće	Djeca vole piti gazirana pića.
1573:气温	气温	气温	teplota vzduchu	Dnešní teplota je vyšší než včera.	teplota vzduchu	Dnešná teplota je vyššia než včerajšia.	levegő hőmérséklete	A mai hőmérséklet magasabb a tegnapinál.	temperatura aerului	Temperatura de azi este mai ridicată decât cea de ieri.	температура на въздуха	Днешната температура е по-висока от вчерашната.	temperatura zraka	Današnja temperatura viša je od jučerašnje.
1574:千克	千克	千克	kilo; jednotka hmotnosti	Tento pytel rýže váží pět kilo.	kilo; jednotka hmotnosti	Toto vrece ryže váži päť kíl.	kiló; súlyegység	Ez a zsák rizs öt kilót nyom.	kilo; unitate de masă	Acest sac de orez cântărește cinci kilograme.	килограм	Този чувал ориз тежи пет килограма.	kilo; jedinica mase	Ova vreća riže teži pet kilograma.
1577:前方	前方	前方	vpředu; před námi	Vpředu je křižovatka.	vpredu; pred nami	Vpredu je križovatka.	elöl; előre	Előttünk van egy kereszteződés.	în față; înainte	În față este o intersecție.	напред; отпред	Напред има кръстовище.	naprijed; ispred	Naprijed je raskrižje.
1578:前后	前后	前后	kolem; před a po	Schůze celkem trvala asi dvě hodiny.	okolo; pred a po	Schôdza celkovo trvala asi dve hodiny.	körülbelül; előtte és utána	A megbeszélés összesen körülbelül két órát tartott.	în jur de; înainte și după	Ședința a durat în total cam două ore.	около; преди и след	Срещата общо продължи около два часа.	oko; prije i poslije	Sastanak je ukupno trajao oko dva sata.
1579:强	强	强	silný	Tento tým je velmi silný.	silný	Tento tím je veľmi silný.	erős	Ez a csapat nagyon erős.	puternic	Această echipă este foarte puternică.	силен	Този отбор е много силен.	jak	Ova je ekipa vrlo jaka.
1582:巧	巧	巧	náhodný; šikovný	To je náhoda, zase jsme se potkali.	náhodný; šikovný	To je náhoda, opäť sme sa stretli.	véletlen; ügyes	Micsoda véletlen, megint találkozunk.	întâmplător; iscusit	Ce coincidență, ne întâlnim din nou.	случаен; сръчен	Какво съвпадение, пак се срещаме.	slučajan; vješt	Kakva slučajnost, opet se srećemo.
1585:琴	琴	琴	hudební nástroj; qin	Od dětství se učí hrát na nástroj.	hudobný nástroj; qin	Od detstva sa učí hrať na nástroj.	hangszer; qin	Gyerekkora óta tanul hangszeren játszani.	instrument muzical; qin	Învață să cânte la un instrument din copilărie.	музикален инструмент; цин	От малка се учи да свири на инструмент.	glazbalo; qin	Od djetinjstva uči svirati instrument.
1587:青年	青年	青年	mladý člověk; mládež	Mnoho mladých lidí má tento sport rádo.	mladý človek; mládež	Veľa mladých ľudí má tento šport rado.	fiatal; ifjúság	Sok fiatal szereti ezt a sportot.	tânăr; tineret	Mulți tineri apreciază acest sport.	млад човек; младеж	Много млади хора харесват този спорт.	mlada osoba; mladež	Mnogi mladi vole ovaj sport.
1591:球队	球队	球队	sportovní družstvo	Toto družstvo má mnoho nových hráčů.	športové družstvo	Toto družstvo má veľa nových hráčov.	sportcsapat	Ebben a csapatban sok új tag van.	echipă sportivă	Această echipă are mulți membri noi.	спортен отбор	Този отбор има много нови членове.	sportska ekipa	Ova ekipa ima mnogo novih članova.
1593:区	区	区	obvod; oblast	V tomto obvodu je mnoho škol.	obvod; oblasť	V tomto obvode je veľa škôl.	kerület; terület	Ebben a kerületben sok iskola van.	sector; zonă	În această zonă sunt multe școli.	район; област	В този район има много училища.	područje; okrug	U ovom području ima mnogo škola.
1596:取得	取得	取得	dosáhnout; získat	Dosáhl dobrých výsledků.	dosiahnuť; získať	Dosiahol dobré výsledky.	elérni; megszerezni	Jó eredményeket ért el.	a obține; a realiza	A obținut rezultate bune.	постигам; получавам	Той постигна добри резултати.	postignuti; dobiti	Postigao je dobre rezultate.
1598:全	全	全	celý; všichni	Celá třída se zúčastnila soutěže.	celý; všetci	Celá trieda sa zúčastnila súťaže.	egész; mindenki	Az egész osztály részt vett a versenyen.	întreg; toți	Întreaga clasă a participat la concurs.	цял; всички	Целият клас участва в състезанието.	cijeli; svi	Cijeli razred sudjelovao je u natjecanju.
1600:全都	全都	全都	všechno; úplně	Všechny tyto problémy byly vyřešeny.	všetko; úplne	Všetky tieto problémy boli vyriešené.	mind; teljesen	Ezek a problémák mind megoldódtak.	toate; complet	Toate aceste probleme au fost rezolvate.	всички; напълно	Всички тези проблеми са решени.	sve; potpuno	Svi su ti problemi riješeni.
1601:全球	全球	全球	celosvětový; celý svět	Turisté z celého světa mají tuto atrakci rádi.	celosvetový; celý svet	Turisti z celého sveta majú túto atrakciu radi.	világszintű; az egész világ	A világ minden tájáról érkező turisták szeretik ezt a látványosságot.	la nivel mondial; întreaga lume	Turiști din întreaga lume apreciază acest obiectiv.	глобален; целият свят	Туристи от целия свят харесват тази забележителност.	svjetski; cijeli svijet	Turisti iz cijelog svijeta vole ovu znamenitost.
1602:全身	全身	全身	celé tělo	Po běhu měl celé tělo zpocené.	celé telo	Po behu mal celé telo spotené.	egész test	Futás után az egész teste izzadt volt.	întregul corp	După alergare, întregul lui corp era plin de sudoare.	цяло тяло	След бягането цялото му тяло беше в пот.	cijelo tijelo	Nakon trčanja cijelo mu je tijelo bilo znojno.
1603:缺	缺	缺	chybět; mít nedostatek	Ještě nám chybí jedna židle.	chýbať; mať nedostatok	Ešte nám chýba jedna stolička.	hiányozni; kevés valamiből	Még hiányzik egy székünk.	a lipsi; a duce lipsă	Ne mai lipsește un scaun.	липсва; не достига	Все още ни липсва един стол.	nedostajati	Još nam nedostaje jedna stolica.
1611:人数	人数	人数	počet lidí	Na této akci není mnoho lidí.	počet ľudí	Na tejto aktivite nie je veľa ľudí.	létszám; emberek száma	Ezen az eseményen nincs sok ember.	număr de persoane	Nu sunt multe persoane la această activitate.	брой хора	На това събитие няма много хора.	broj ljudi	Na ovoj aktivnosti nema mnogo ljudi.
1616:仍	仍	仍	stále; pořád	Stále se učí čínsky.	stále; ešte	Stále sa učí čínsky.	még mindig; továbbra is	Még mindig kínaiul tanul.	încă; în continuare	Încă studiază chineza.	все още	Той все още учи китайски.	još uvijek	Još uvijek uči kineski.
1622:入	入	入	vstoupit; vstup	Prosím, vstupte jižní bránou.	vstúpiť; vstup	Prosím, vstúpte južnou bránou.	belépni; bejárat	Kérjük, a déli kapun lépjen be.	a intra; intrare	Vă rugăm să intrați prin poarta de sud.	влизам; вход	Моля, влезте през южната порта.	ući; ulaz	Molimo uđite kroz južna vrata.
