simplified	JA	example_JA
迅速	迅速な; 速い	知らせはすばやく広まりました。
押金	保証金; 敷金	部屋を借りるには保証金を払う必要があります。
牙齿	歯	毎日歯を大切にしてください。
严肃	厳粛な; 真剣な	先生の表情はとても真剣です。
延长	延長する	会議は三十分延長されました。
演讲	講演; スピーチ	彼は明日のスピーチを準備しています。
宴会	宴会	彼らは宴会に参加しました。
阳台	ベランダ; バルコニー	ベランダに花の鉢がいくつか置いてあります。
痒	かゆい	腕が少しかゆいです。
样式	様式; スタイル	このスタイルはとても人気があります。
腰	腰	長く座っていると腰が痛くなります。
摇	揺らす	風が枝を揺らしました。
咬	かむ	この犬は人をかみません。
要不	そうでなければ; それなら	それなら明日また行きましょうか。
业务	業務	会社の業務はますます増えています。
业余	余暇の; アマチュアの	彼は余暇に写真を学んでいます。
夜	夜	夜、通りはとても静かです。
依然	依然として; まだ	彼は依然として北京に住んでいます。
一辈子	一生	彼女は一生音楽を愛していました。
一旦	いったん; ひとたび	いったん決めたら、続けるべきです。
一律	一律に; すべて	会議中は携帯電話をすべて切ってください。
一再	何度も	彼は何度も私たちに安全に注意するよう念を押しました。
一致	一致する	皆の意見は完全に一致しています。
疑问	疑問	この答えについて疑問があります。
移动	移動する	机を少し移動してください。
移民	移民する	彼らは海外へ移民する計画です。
遗憾	残念に思う; 残念	あなたに会えなくて、とても残念です。
乙	乙; 乙方	契約では乙方が支払いを担当します。
以及	および; そして	本および文房具を買いました。
以来	以来	卒業以来、彼はずっと北京で働いています。
义务	義務	環境を守ることは一人一人の義務です。
亿	億	この国には十数億の人口があります。
意外	意外な; 事故	今回の遅刻はまったく意外なことでした。
意义	意味; 意義	今回の活動はとても意義があります。
议论	議論する; 話題にする	皆がこの件について議論しています。
因而	したがって; そのため	彼は一生懸命勉強しているので、成績がとてもよいです。
因素	要素; 要因	天気は重要な要因です。
银	銀; 銀色の	彼女は銀のブレスレットをしています。
印刷	印刷する; 印刷	この本はとてもはっきり印刷されています。
英俊	ハンサムな	彼はとてもハンサムです。
英雄	英雄	消防士は本当の英雄です。
营养	栄養	朝食には十分な栄養が必要です。
营业	営業する	この店は九時に営業を始めます。
迎接	迎える	私たちは空港へ客を迎えに行きました。
影子	影	街灯の下に彼の影があります。
应付	対処する	彼はこの問題に対処できます。
应用	応用する; 適用する	この方法は教育に応用できます。
硬	硬い	この椅子は硬すぎます。
硬件	ハードウェア	このパソコンはハードウェアが悪くありません。
拥抱	抱きしめる	子どもは走って行って母親を抱きしめました。
拥挤	混雑している	朝のラッシュ時、地下鉄はとても混雑しています。
勇气	勇気	彼には間違いを認める勇気があります。
用功	熱心に勉強する	彼女はとても熱心に勉強しています。
用途	用途	この材料は用途が広いです。
优惠	割引; 優待	この店は今日は割引があります。
优美	美しい; 優美な	ここの環境はとても美しいです。
优势	強み; 優勢	彼の強みは経験が豊富なことです。
悠久	長い; 悠久の	中国には長い歴史があります。
油炸	揚げる; 揚げ物の	私は揚げ物をめったに食べません。
游览	見学する; 観光する	私たちは明日故宮を見学します。
犹豫	ためらう	彼はしばらくためらってから答えました。
有利	有利な	この条件は私たちに有利です。
幼儿园	幼稚園	子どもは来年幼稚園に通います。
娱乐	娯楽	映画を見ることは娯楽の一つです。
与其	〜するよりは	不平を言うより、行動したほうがよいです。
语气	語気; 口調	彼の話し方はとても穏やかです。
玉米	トウモロコシ	夕食にはトウモロコシのスープがあります。
预报	予報	天気予報では明日は雨だと言っています。
预订	予約する	ホテルはもう予約しました。
预防	予防する	こまめに手を洗うと風邪を予防できます。
元旦	元日	元日は一日休みです。
原料	原料	パンの主な原料は小麦粉です。
原则	原則	人として原則を持つべきです。
员工	従業員	会社には三百人の従業員がいます。
圆	丸い; 円	月は大きくて丸いです。
愿望	願い; 望み	彼の願いは世界を一周することです。
乐器	楽器	彼女はいくつかの楽器を弾けます。
晕	めまいがする	船に乗ると少しめまいがします。
运气	運	今日は運がいいです。
运输	輸送する; 輸送	これらの貨物は鉄道輸送が必要です。
运用	運用する; 活用する	これらの語句を柔軟に使ってください。
灾害	災害	洪水は自然災害の一種です。
再三	再三; 何度も	先生は何度も私たちに復習するよう注意しました。
在乎	気にする	彼は友人の見方をとても気にしています。
在于	〜にある	成功は続けることにあります。
赞成	賛成する	あなたの提案に賛成です。
赞美	称賛する; 褒める	皆が彼女の勇気を褒めました。
糟糕	ひどい; まずい	今日の天気は本当にひどいです。
造成	引き起こす	大雨が交通渋滞を引き起こしました。
则	〜なら; すなわち	努力すれば進歩があります。
责备	責める	先生は彼を責めませんでした。
摘	摘む	彼女は庭で花を一輪摘みました。
窄	狭い	この道は狭すぎます。
粘贴	貼り付ける	写真をここに貼ってください。
展开	展開する; 始まる	討論はすぐに始まりました。
展览	展覧会; 展示する	博物館には新しい展覧会があります。
占	占める	この机は場所を取ります。
战争	戦争	戦争は人々に苦しみをもたらします。
掌握	身につける; 掌握する	彼はすでに基本文法を身につけました。
涨	上がる	最近、家賃がまた上がりました。
长辈	年長者; 目上の人	正月には目上の人に挨拶するべきです。
账户	口座; アカウント	銀行口座を確認してください。
招待	もてなす; 接待する	主人は客を温かくもてなしました。
着火	火がつく; 火事になる	台所が突然火事になりました。
着凉	風邪をひく	寒くなったので、風邪をひかないようにしてください。
召开	開催する	学校は明日会議を開催します。
照常	いつもどおり	店は明日もいつもどおり営業します。
哲学	哲学	彼は大学で哲学を学びました。
珍惜	大切にする	私たちは時間を大切にすべきです。
真实	本当の; 真実の	この物語は本当です。
针对	〜に向けた; 〜を対象にする	この提案は新入生を対象にしています。
诊断	診断	医者はすぐに診断を下しました。
振动	振動	携帯電話が机の上で振動しています。
阵	ひとしきり; 短い間	外ではにわか雨が降りました。
争论	議論する; 口論する	彼らはこの問題について長い間議論しました。
争取	勝ち取る; 努力して得る	私たちはもっと多くの機会を勝ち取るべきです。
征求	求める; 意見を聞く	先生は皆の意見を求めました。
挣	もがく; 稼ぐ	小鳥は縄からもがいて逃れました。
睁	目を開ける	目をもう少し大きく開けてください。
整个	全体の; まるごとの	町全体がとても静かです。
整齐	整然とした; きちんとした	本はきちんと並べられています。
整体	全体	全体の効果を考える必要があります。
政府	政府	政府は新しい通知を発表しました。
政治	政治	彼は政治にとても興味があります。
正	正しい; ちょうど	この答えは正しいです。
证件	証明書; 身分証	身分証明書を提示してください。
证据	証拠	警察は新しい証拠を見つけました。
支	本; 支える	机の上にペンが一本あります。
支票	小切手	彼は小切手で支払いました。
执照	免許; 許可証	運転には運転免許が必要です。
直	まっすぐな; 直接	この道をまっすぐ前へ進んでください。
指导	指導する	先生は私たちが論文を書くのを指導しました。
指挥	指揮する; 指揮官	彼は今回の行動の指揮を担当しています。
制定	制定する; 作成する	会社は新しい計画を作成しました。
制度	制度	学校には厳格な制度があります。
制造	製造する	この工場は機械を製造しています。
制作	制作する; 作る	彼女は誕生日ケーキを作っています。
志愿者	ボランティア	多くのボランティアが活動に参加しました。
智慧	知恵	このお年寄りには深い知恵があります。
治疗	治療する	医者は患者を治療しています。
秩序	秩序	皆さん、秩序を保ってください。
至今	今まで; 今日まで	この問題は今まで解決されていません。
至于	〜については	費用については、明日また話しましょう。
中介	仲介; 仲介業者	彼は仲介業者を通して部屋を借りました。
中心	中心	病院は市の中心にあります。
中旬	中旬	会議は五月中旬に予定されています。
种类	種類	ここには果物の種類がたくさんあります。
重大	重大な	これは重大な決定です。
重量	重量	この箱の重さはいくらですか。
周到	行き届いた	彼のサービスは非常に行き届いています。
猪	豚	農場ではたくさんの豚を飼っています。
竹子	竹	パンダは竹を食べるのが好きです。
逐步	一歩ずつ; 段階的に	計画は段階的に実施されます。
逐渐	だんだん; 徐々に	天気はだんだん寒くなりました。
主持	司会する; 主宰する	彼女は今日の会議を司会します。
主动	自発的な; 積極的な	彼は自分から同級生を助けました。
主观	主観的な	この評価は少し主観的です。
主人	主人; ホスト	主人は私たちを温かく歓迎しました。
主任	主任; 部長	主任はオフィスにいます。
主题	テーマ	今日の討論のテーマは環境保護です。
主席	議長; 主席	議長は会議の開始を宣言しました。
主张	主張する	彼はまず交通問題を解決すべきだと主張しています。
煮	煮る; ゆでる	母は麺をゆでています。
注册	登録する	新しいユーザーはまず登録する必要があります。
祝福	祝福	友人たちから祝福が届きました。
抓	つかむ; 捕まえる	子どもは母親の手をつかみました。
抓紧	しっかりつかむ; 急いで活用する	時間をしっかり活用しなければなりません。
专家	専門家	専門家が提案を出しました。
专心	集中する	授業中は集中して聞くべきです。
转变	変化する; 転換する	彼の態度に変化が起こりました。
转告	伝言する; 伝える	明日会議があると彼に伝えてください。
装	入れる; 装う	本をかばんに入れてください。
装饰	飾る; 装飾する	彼らは花で部屋を飾りました。
装修	内装する; 改装する	新しい家は改装中です。
撞	ぶつかる	二台の車が交差点で衝突しました。
状况	状況; 状態	現在の状況は比較的安定しています。
状态	状態	彼は今日は状態がとてもよいです。
追	追う	子どもが後ろから子犬を追っています。
追求	追求する	彼はずっと自分の夢を追求しています。
咨询	相談する	専門の医者に相談できます。
姿势	姿勢	正しい姿勢を保ってください。
资格	資格	彼には試合に参加する資格があります。
资金	資金	プロジェクトにはもっと多くの資金が必要です。
资料	資料	資料を私に送ってください。
资源	資源	水は重要な自然資源です。
紫	紫	彼女は紫色が好きです。
字母	文字; アルファベット	英語には二十六のアルファベット文字があります。
字幕	字幕	この映画には中国語字幕があります。
自从	〜以来	卒業して以来、彼はめったに戻ってきません。
自动	自動の; 自動的に	このドアは自動で開きます。
自豪	誇りに思う	自分の進歩を誇りに思います。
自觉	自発的に; 自覚的な	彼は自分から宿題を終えました。
自私	利己的な; 自分勝手な	人はあまり自分勝手であってはいけません。
自由	自由	誰もが自由を大切にしています。
自愿	自発的な; 自願の	彼らは自発的に活動に参加しました。
综合	総合する; 総合的な	私たちはさまざまな要素を総合的に考える必要があります。
总裁	総裁; 最高経営責任者	最高経営責任者は今日スピーチをしました。
总共	合計で	今回の旅行は合計で三千元かかりました。
总理	首相; 総理	首相は会議に出席しました。
总算	やっと; ついに	問題はやっと解決しました。
总统	大統領	大統領はテレビ演説を行いました。
总之	要するに	要するに、私たちは時間どおりに終えなければなりません。
组	組; グループ	先生は私たちを三つの組に分けました。
组成	構成する	水は水素と酸素で構成されています。
组合	組み合わせ	この色の組み合わせはきれいです。
组织	組織する; 組織	学校は旅行を一回企画しました。
阻止	阻止する	警察は危険な行為を止めました。
最初	最初	最初、私はあまり理解していませんでした。
醉	酔った	彼は飲みすぎて少し酔っています。
尊敬	尊敬する	学生たちは皆先生を尊敬しています。
遵守	守る; 遵守する	私たちは交通規則を守らなければなりません。
作品	作品	この絵は彼の作品です。
作为	〜として	教師として、彼はとても忍耐強いです。
作文	作文	先生は私たちに作文を一つ書かせました。
