simplified	KA	example_KA	HY	example_HY
篇	სტატია; ნაწერი	ეს სტატია ბევრჯერ წავიკითხე.	հոդված; գրություն	Ես այս հոդվածը շատ անգամ եմ կարդացել։
骗	მოტყუება	არ მოგატყუეთ, ის ნამდვილად მოვიდა.	խաբել	Ես ձեզ չեմ խաբել, նա իսկապես եկել է։
乒乓球	მაგიდის ჩოგბურთი	ვის სურს მაგიდის ჩოგბურთის შეჯიბრში მონაწილეობა?	սեղանի թենիս	Ո՞վ է ուզում մասնակցել սեղանի թենիսի մրցմանը։
平时	ჩვეულებრივ; ჩვეულ დროს	ის იშვიათად ვარჯიშობს.	սովորաբար; առօրյայում	Նա հազվադեպ է մարզվում։
破	გატეხილი; გატეხვა	ბოდიში, სარკე გავტეხე.	կոտրված; կոտրել	Ներեցեք, հայելին կոտրեցի։
葡萄	ყურძენი	ყურძენი ნახევარ კილოზე ხუთი იუანი ღირს.	խաղող	Խաղողի կես կիլոգրամը հինգ յուան է։
普遍	საერთო; ფართოდ გავრცელებული	ეს პრობლემა გავრცელებულია.	ընդհանուր; տարածված	Այս խնդիրը տարածված է։
普通话	პუტუნხუა; სტანდარტული ჩინური	თქვენ პუტუნხუაზე ძალიან კარგად საუბრობთ.	փութունհուա; ստանդարտ չինարեն	Դուք փութունհուա շատ լավ եք խոսում։
其次	შემდეგ; მეორე რიგში	უსაფრთხოება პირველ ადგილზეა, სიჩქარე კი მეორეზე.	հաջորդը; երկրորդ հերթին	Անվտանգությունը առաջին տեղում է, արագությունը՝ երկրորդ։
其中	მათ შორის	ჩვენს კლასში ოცი მოსწავლეა, მათგან ხუთი საზღვარგარეთიდანაა.	դրանց թվում; որոնցից	Մեր դասարանում քսան աշակերտ կա, որոնցից հինգը արտասահմանից են։
气候	კლიმატი	შეგიძლიათ ჩრდილოეთის კლიმატს შეეგუოთ?	կլիմա	Կարո՞ղ եք հարմարվել հյուսիսային կլիմային։
千万	აუცილებლად; არავითარ შემთხვევაში	ხვალინდელი შეხვედრა არავითარ შემთხვევაში არ დაგავიწყდეთ.	անպայման; ոչ մի դեպքում	Վաղվա հանդիպումը ոչ մի դեպքում մի մոռացեք։
签证	ვიზა	ხვალ საელჩოში ვიზის გასაფორმებლად მივდივარ.	վիզա	Վաղը դեսպանատուն եմ գնալու՝ վիզայի համար դիմելու։
敲	დაკაკუნება; დარტყმა	კარზე ვიღაც აკაკუნებს. მიდი ნახე, ვინ არის.	թակել; հարվածել	Ինչ-որ մեկը դուռն է թակում։ Գնա տես՝ ով է։
桥	ხიდი	მდინარეზე პატარა ხიდია.	կամուրջ	Գետի վրա փոքր կամուրջ կա։
巧克力	შოკოლადი	ყველაზე მეტად შოკოლადი მიყვარს.	շոկոլադ	Ես ամենաշատը շոկոլադ եմ սիրում։
亲戚	ნათესავი	ჩემი ნათესავების უმეტესობა პეკინში ცხოვრობს.	ազգական; բարեկամ	Իմ բարեկամների մեծ մասը ապրում է Պեկինում։
轻	მსუბუქი	ეს ყუთი მსუბუქია.	թեթև	Այս տուփը թեթև է։
轻松	მარტივი; თავისუფალი	ეს სამუშაო მისთვის მარტივი არ არის.	թեթև; հեշտ	Այս աշխատանքը նրա համար հեշտ չէ։
情况	მდგომარეობა; სიტუაცია	სიტუაცია ძალიან შეიცვალა.	իրավիճակ; հանգամանք	Իրավիճակը շատ է փոխվել։
穷	ღარიბი	მოხუცი ძალიან ღარიბია, მაგრამ ბედნიერად ცხოვრობს.	աղքատ	Թեև ծերունին շատ աղքատ է, նա երջանիկ է ապրում։
区别	განსხვავება; გარჩევა	ამ ორ მასალას შორის რაიმე განსხვავებაა?	տարբերություն; տարբերել	Այս երկու նյութերի միջև տարբերություն կա՞։
取	აღება; გამოტანა	ბანკში ფულის გამოსატანად მივდივარ.	վերցնել; հանել	Ես բանկ եմ գնում գումար հանելու։
全部	ყველაფერი; მთლიანად	მუსიკა ჩემთვის ყველაფერია.	ամբողջը; ամեն ինչ	Երաժշտությունը ինձ համար ամեն ինչ է։
缺点	ნაკლი; სუსტი მხარე	ადამიანმა საკუთარი ნაკლოვანებები სხვის უპირატესობებს არ უნდა შეადაროს.	թերություն; թուլություն	Մարդը չպետք է իր թերությունները համեմատի ուրիշների առավելությունների հետ։
缺少	აკლება; ნაკლებობა	ნახეთ, კიდევ რა აკლია, ახლავე ვიყიდი.	պակասել; բացակայել	Տեսեք՝ էլ ինչ է պակասում, հիմա կգնեմ։
却	მაგრამ; თუმცა	ბევრი მაქვს სათქმელი, მაგრამ როცა ვნერვიულობ, ვეღარ ვამბობ.	բայց; սակայն	Շատ բան ունեմ ասելու, բայց երբ նյարդայնանում եմ, չեմ կարողանում ասել։
确实	მართლაც; ნამდვილად	ეს მეთოდი მართლაც კარგია.	իսկապես; իրոք	Այս մեթոդը իսկապես լավն է։
然而	თუმცა; მაგრამ	ამ წიგნის კითხვას ბევრი დრო დავუთმე, მაგრამ ჯერ კიდევ არ დამიმთავრებია.	սակայն; այնուամենայնիվ	Այս գիրքը կարդալուն շատ ժամանակ եմ ծախսել, բայց դեռ չեմ ավարտել։
热闹	ხმაურიანი და ცოცხალი	ქუჩა ძალიან ცოცხალია.	աշխույժ; մարդաշատ	Փողոցը շատ աշխույժ է։
任何	ნებისმიერი	დედა ყველასზე უკეთ მიგებს.	ցանկացած; ով էլ լինի	Մայրս ինձ բոլորից լավ է հասկանում։
任务	დავალება; ამოცანა	დავალების ოთხმოცი პროცენტი შესრულებულია.	առաջադրանք; հանձնարարություն	Առաջադրանքի ութսուն տոկոսը ավարտված է։
扔	გადაგდება; სროლა	გთხოვთ, ნაგავი ნაგვის ურნაში ჩააგდეთ.	նետել; դեն նետել	Խնդրում եմ, աղբը նետեք աղբամանի մեջ։
仍然	ჯერ კიდევ; კვლავ	დღეს კვლავ კარგი ამინდია.	դեռ; դեռևս	Այսօր դեռ լավ եղանակ է։
日记	დღიური	ქალიშვილს ყოველდღე დღიურის წერის ჩვევა ჩამოუყალიბდა.	օրագիր	Աղջիկս ամեն օր օրագիր գրելու սովորություն է ձեռք բերել։
入口	შესასვლელი	შენობის შესასვლელთან გელოდებით.	մուտք	Ես ձեզ սպասում եմ շենքի մուտքի մոտ։
散步	გასეირნება	სეირნობისას ლეკვი სულ მომყვებოდა.	զբոսնել	Երբ զբոսնում էի, քոթոթը անընդհատ հետևում էր ինձ։
森林	ტყე	ეს ტყე ძალიან დიდია.	անտառ	Այս անտառը շատ մեծ է։
沙发	დივანი	გთხოვთ, ცოტა ხანს დივანზე დაჯექით, მე კი ჩაის დაგისხამთ.	բազմոց	Խնդրում եմ, մի քիչ նստեք բազմոցին, ես ձեզ մի բաժակ թեյ կլցնեմ։
伤心	დარდიანი; ძალიან მოწყენილი	ამ ამბის გაგონების შემდეგ ძალიან მოვიწყინე.	տխրել; վշտանալ	Այդ լուրը լսելուց հետո շատ տխրեցի։
商量	მოლაპარაკება; განხილვა	ზუსტად დროზე მოხვედით, მოდი განვიხილოთ.	խորհրդակցել; քննարկել	Դուք ճիշտ ժամանակին եկաք, եկեք քննարկենք։
稍微	ცოტა; ოდნავ	ცოტა დაუდევრობამაც შეიძლება შეცდომა გამოიწვიოს.	մի քիչ; փոքր-ինչ	Մի փոքր անուշադրությունն էլ կարող է սխալների բերել։
勺子	კოვზი	ბოდიში, კოვზი მიწაზე დამივარდა.	գդալ	Ներեցեք, գդալը գետնին գցեցի։
社会	საზოგადოება	ყველას ძალიან აინტერესებს ეს სოციალური საკითხები.	հասարակություն	Բոլորը շատ են մտահոգված այս հասարակական հարցերով։
深	ღრმა; გვიანი	ჩვენს შორის ღრმა მეგობრობაა.	խոր; ուշ	Մեր միջև խոր բարեկամություն կա։
申请	განაცხადის შეტანა; განაცხადი	ბანკში საკრედიტო ბარათზე განაცხადი შევიტანე.	դիմել; դիմում	Ես բանկում վարկային քարտի համար դիմում եմ ներկայացրել։
甚至	კი; იმდენად, რომ	ყველამ ძალიან კარგად იმხიარულა და დროც კი დაავიწყდა.	նույնիսկ; այնքան, որ	Բոլորը շատ ուրախացան և նույնիսկ ժամանակը մոռացան։
生活	ცხოვრება	ცხოვრებაში ყოველთვის არის რაღაც საზრუნავი.	կյանք; ապրել	Կյանքում միշտ որոշ դժվարություններ կան։
生命	სიცოცხლე	ის ხელოვნებას საკუთარ სიცოცხლეზე უფრო მნიშვნელოვანად მიიჩნევდა.	կյանք	Նա արվեստը իր կյանքից ավելի կարևոր էր համարում։
生意	ბიზნესი; ვაჭრობა	მისი ბიზნესი სულ უფრო ფართოვდება.	գործ; առևտուր	Նրա գործը գնալով մեծանում է։
省	პროვინცია	მე შანდუნის პროვინციიდან ვარ.	նահանգ	Ես Շանդուն նահանգից եմ։
剩	დარჩენა	მხოლოდ ორი ვაშლი დარჩა.	մնալ; մնացորդ լինել	Միայն երկու խնձոր է մնացել։
失败	მარცხი; წარუმატებლობა	მიუხედავად იმისა, რომ ბევრი მარცხი განმიცდია, არასდროს ვნებდები.	ձախողում; ձախողվել	Թեև շատ ձախողումներ եմ ապրել, երբեք չեմ հանձնվում։
失望	იმედგაცრუებული; იმედის დაკარგვა	მისით ძალიან იმედგაცრუებული ვარ.	հիասթափված; հուսահատվել	Ես նրանից շատ հիասթափված եմ։
师傅	ოსტატი; პატივისცემითი მიმართვა	უკაცრავად, კინოთეატრამდე როგორ მივიდე?	վարպետ; հարգալից դիմելաձև	Ներեցեք, կինոթատրոն ինչպես գնամ։
十分	ძალიან; უკიდურესად	ის საქმეებს ძალიან ყურადღებით აკეთებს.	շատ; չափազանց	Նա գործերը շատ ուշադիր է անում։
实际	რეალური; პრაქტიკული	მან ეს პრობლემა პრაქტიკული მაგალითით ახსნა.	իրական; գործնական	Նա այս խնդիրը բացատրեց գործնական օրինակով։
实在	ნამდვილად; მართლაც	მართლა ძალიან დავიღალე.	իսկապես; շատ	Ես իսկապես շատ հոգնել եմ։
使	გამოწვევა; გაკეთებინება	მისმა სიტყვებმა ძალიან ამაღელვა.	պատճառ դառնալ; ստիպել	Նրա խոսքերը ինձ շատ հուզեցին։
使用	გამოყენება	ჩინელები საჭმელად ჩვეულებრივ ჩხირებს იყენებენ.	օգտագործել	Չինացիները սովորաբար ուտելու համար փայտիկներ են օգտագործում։
世纪	საუკუნე	ახლა ოცდამეერთე საუკუნეა.	դար	Հիմա քսանմեկերորդ դարն է։
是否	თუ არა; არის თუ არა	მოვა თუ არა, ჯერ დარწმუნებული არ ვარ.	արդյոք; թե ոչ	Կկարողանա՞ գալ, դեռ վստահ չեմ։
适合	შეფერება; შესაფერისი ყოფნა	მწვანე ტანსაცმელი ნამდვილად არ მიხდება.	հարմար լինել; սազել	Կանաչ հագուստը ինձ այնքան էլ չի սազում։
适应	შეგუება; ადაპტაცია	შეგიძლიათ ჩრდილოეთის კლიმატს შეეგუოთ?	հարմարվել	Կարո՞ղ եք հարմարվել հյուսիսային կլիմային։
收	მიღება; შეგროვება	თქვენი წერილი მივიღე.	ստանալ; հավաքել	Ես ստացել եմ ձեր նամակը։
收入	შემოსავალი	მისი შემოსავალი წინანდელზე მაღალია.	եկամուտ	Նրա եկամուտը նախկինից բարձր է։
收拾	დალაგება; ჩალაგება	ბარგს ვალაგებ.	կարգի բերել; հավաքել	Ես ճամպրուկս եմ հավաքում։
首都	დედაქალაქი	ჩინეთის დედაქალაქი პეკინია.	մայրաքաղաք	Չինաստանի մայրաքաղաքը Պեկինն է։
首先	პირველ რიგში	პირველ რიგში კარგად უნდა დაისვენოთ; შემდეგ კარგად იმუშავებთ.	նախ; առաջին հերթին	Նախ պետք է լավ հանգստանալ, հետո կարելի է լավ աշխատել։
受不了	აუტანელი; ვერ ატანა	ამინდი ძალიან ცხელია, ვერ ვიტან.	տանել չկարողանալ; անտանելի	Եղանակը չափազանց շոգ է, չեմ դիմանում։
受到	მიღება; განცდა	მისი რომანი მკითხველებმა კარგად მიიღეს.	ստանալ; ենթարկվել	Նրա վեպը ընթերցողների կողմից լավ ընդունվեց։
售货员	გამყიდველი	მე სავაჭრო ცენტრში გამყიდველად ვმუშაობ.	վաճառող	Ես առևտրի կենտրոնում վաճառող եմ աշխատում։
输	წაგება	ეს თამაში წავაგეთ.	պարտվել	Մենք այս խաղում պարտվեցինք։
熟悉	ნაცნობი; კარგად ცოდნა	მათ ძალიან კარგად ვიცნობ.	ծանոթ լինել; լավ ճանաչել	Ես նրանց շատ լավ եմ ճանաչում։
数量	რაოდენობა	რეგისტრირებულთა რაოდენობა დიდია.	քանակ	Գրանցվողների քանակը մեծ է։
数字	ციფრი; რიცხვი	გთხოვთ, ციფრები მკაფიოდ დაწერეთ.	թիվ; թվանշան	Խնդրում եմ, թվերը հստակ գրեք։
帅	სიმპათიური; მოხდენილი	დღეს ის ძალიან სიმპათიურად არის ჩაცმული.	գեղեցիկ; կոկիկ տեսքով	Նա այսօր շատ գեղեցիկ է հագնված։
顺便	გზად; თანვე	სამსახურიდან სახლში დაბრუნების გზაზე ცოტა ბოსტნეული ვიყიდე.	ճանապարհին; առիթից օգտվելով	Աշխատանքից տուն վերադառնալիս ճանապարհին բանջարեղեն գնեցի։
顺利	მშვიდად; შეუფერხებლად	თამაში შეუფერხებლად ჩატარდა.	հարթ; հաջող	Խաղը հարթ անցավ։
顺序	რიგი; თანმიმდევრობა	გთხოვთ, რიგი არ აურიოთ.	կարգ; հերթականություն	Խնդրում եմ, հերթականությունը մի խառնեք։
说明	ახსნა; განმარტება	მან ამის მიზეზი ყველას აუხსნა.	բացատրել; բացատրություն	Նա բոլորին բացատրեց դրա պատճառը։
硕士	მაგისტრის ხარისხი	უნივერსიტეტში მაგისტრატურაზე ვსწავლობ.	մագիստրոսի աստիճան	Ես համալսարանում մագիստրատուրայում եմ սովորում։
死	სიკვდილი; მკვდარი	ხე მოკვდა.	մեռնել; մեռած	Ծառը մեռել է։
塑料袋	პლასტიკური პარკი	გარემოს დასაცავად, გთხოვთ, პლასტიკურ პარკებს ნუ გამოიყენებთ.	պլաստիկ տոպրակ	Շրջակա միջավայրը պաշտպանելու համար, խնդրում եմ, պլաստիկ տոպրակներ մի օգտագործեք։
速度	სიჩქარე	ის ძალიან სწრაფად დარბის!	արագություն	Նա այնքան արագ է վազում։
酸	მჟავე	თქვენ მიერ ნაყიდი ყურძენი ცოტა მჟავეა.	թթու	Ձեր գնած խաղողը մի քիչ թթու է։
随便	როგორც გსურთ; სადაც გნებავთ	გთხოვთ, სადაც გნებავთ იქ დაჯექით.	ինչպես ուզում եք; որտեղ պատահի	Խնդրում եմ, նստեք որտեղ ցանկանում եք։
随着	ერთად; კვალდაკვალ	ეკონომიკის განვითარებასთან ერთად ხალხის ცხოვრება მნიშვნელოვნად გაუმჯობესდა.	զարգացման հետ; համընթաց	Տնտեսության զարգացման հետ մարդկանց կյանքը մեծապես բարելավվել է։
孙子	შვილიშვილი; ვაჟის შვილი	ბაბუას თავისი შვილიშვილი ძალიან უყვარს.	թոռ; որդու որդի	Պապիկը իր թոռանը շատ է սիրում։
所有	ყველა; მთელი	ყველამ იფიქრა, რომ ის ცდებოდა.	բոլոր; ամբողջ	Բոլորը կարծում էին, որ նա սխալ է։
台	სათვლელი სიტყვა მოწყობილობებისთვის	ეს კომპიუტერი ახლახან იყიდეს.	հաշվիչ բառ սարքերի համար	Այս համակարգիչը նոր է գնվել։
抬	აწევა; ტარება	მათ მერხი საკლასო ოთახში შეიტანეს.	բարձրացնել; տեղափոխել	Նրանք սեղանը դասարան տարան։
态度	დამოკიდებულება; მანერა	მომსახურების თანამშრომელს მომხმარებლების მიმართ ძალიან კარგი დამოკიდებულება აქვს.	վերաբերմունք; ձև	Սպասարկման աշխատողի վերաբերմունքը հաճախորդների հանդեպ շատ լավ է։
弹钢琴	ფორტეპიანოზე დაკვრა	ოთხი წლის ვიყავი, როცა ფორტეპიანოზე დაკვრის სწავლა დავიწყე.	դաշնամուր նվագել	Չորս տարեկանից սկսեցի դաշնամուր նվագել սովորել։
谈	საუბარი; განხილვა	კიდევ ერთ რამეზე მინდა თქვენთან საუბარი.	խոսել; քննարկել	Ուզում եմ ձեզ հետ մեկ այլ բանի մասին խոսել։
汤	წვნიანი; ბულიონი	წვნიანი მარილიანი არ არის, მოდი ცოტა მარილი დავამატოთ.	ապուր; արգանակ	Ապուրը աղի չէ, եկեք մի քիչ աղ ավելացնենք։
糖	შაქარი; ტკბილეული	ტკბილეულის ჭამა მინდა.	շաքար; քաղցրավենիք	Ես ուզում եմ քաղցրավենիք ուտել։
躺	წოლა	ის საწოლში ჩაეძინა.	պառկել	Նա անկողնում քնեց։
趟	სათვლელი სიტყვა მგზავრობებისთვის	გასულ თვეში პეკინში ვიყავი.	հաշվիչ բառ ուղևորությունների համար	Անցյալ ամիս Պեկին եմ գնացել։
讨论	განხილვა; მსჯელობა	მოდი, შეხვედრა ჩავატაროთ და განვიხილოთ.	քննարկել	Եկեք ժողով անենք և քննարկենք։
讨厌	არ მოწონება; გამაღიზიანებელი	ეს ამინდი მართლაც გამაღიზიანებელია.	ատել; նյարդայնացնող	Այս եղանակը իսկապես նյարդայնացնող է։
特点	მახასიათებელი; თავისებურება	ამ რესტორნის თავისებურება ისაა, რომ საჭმელი ახალია.	առանձնահատկություն; բնորոշ գիծ	Այս ռեստորանի առանձնահատկությունն այն է, որ ուտելիքը թարմ է։
提	აწევა; აღება	გთხოვთ, ეს ჩანთა აიღეთ.	բարձրացնել; վերցնել	Խնդրում եմ, վերցրեք այս պայուսակը։
提供	მიწოდება; უზრუნველყოფა	ბიბლიოთეკა ყველასთვის მშვიდ საკითხავ გარემოს უზრუნველყოფს.	տրամադրել; ապահովել	Գրադարանը բոլորի համար ապահովում է հանգիստ ընթերցանության միջավայր։
提前	წინასწარ; ვადაზე ადრე	დავალება ვადაზე ადრე დავასრულეთ.	նախօրոք; ժամկետից շուտ	Մենք առաջադրանքը ժամկետից շուտ ավարտեցինք։
提醒	შეხსენება	მას შევახსენე, მაგრამ მაინც დაავიწყდა.	հիշեցնել	Ես նրան հիշեցրել եմ, բայց նա դեռ մոռացել է։
填空	ცარიელი ადგილის შევსება	ეს ცარიელი ადგილის შესავსები კითხვაა.	բաց թողնված տեղը լրացնել	Սա բաց թողնված տեղը լրացնելու հարց է։
条件	პირობა; კრიტერიუმი	ის ჩვენს დასაქმების კრიტერიუმებს ძალიან კარგად შეესაბამება.	պայման; չափանիշ	Նա շատ լավ համապատասխանում է մեր աշխատանքի ընդունման չափանիշներին։
停	გაჩერება	მანქანა გაჩერდა.	կանգնել; կանգնեցնել	Մեքենան կանգնեց։
挺	საკმაოდ; ძალიან	ეს წიგნი საკმაოდ კარგია.	բավական; շատ	Այս գիրքը բավական լավն է։
通过	გავლა; ჩაბარება	გამოცდა ჩავაბარე.	անցնել; միջոցով	Ես քննությունը հանձնել եմ։
通知	შეტყობინება; შეტყობინების გაგზავნა	გთხოვთ, ყველას აცნობეთ შეხვედრაზე მოსვლა.	տեղեկացնել; ծանուցում	Խնդրում եմ, բոլորին տեղեկացրեք, որ գան հանդիպման։
同情	თანაგრძნობა	მის მიმართ დიდი თანაგრძნობა მაქვს.	կարեկցել; կարեկցանք	Ես նրան շատ եմ կարեկցում։
同时	ერთდროულად; ამავე დროს	ის საშინაო დავალების შესრულებისას მუსიკას უსმენს.	միաժամանակ; այդ ընթացքում	Նա տնային աշխատանք անելիս երաժշտություն է լսում։
推	ბიძგი; მიწოლა	ჩემი მანქანა გაფუჭდა, გთხოვთ, მას მიაწვეთ.	հրել	Մեքենաս փչացել է, խնդրում եմ, մի քիչ հրեք։
推迟	გადადება; დაგვიანება	თვითმფრინავის გამგზავრების დრო ოცი წუთით გადაიდო.	հետաձգել; ուշացնել	Ինքնաթիռի մեկնելու ժամը քսան րոպեով հետաձգվեց։
脱	გახდა; მოხსნა	ოთახში ძალიან თბილა, პალტო გაიხადეთ.	հանել	Սենյակը շատ տաք է, վերարկուն հանեք։
袜子	წინდა	წინდები გავრეცხე.	գուլպա	Ես գուլպաներս լվացել եմ։
完全	სრულიად; მთლიანად	თქვენი შეფასება სრულიად სწორია.	ամբողջովին; լրիվ	Ձեր դատողությունը ամբողջովին ճիշտ է։
往往	ხშირად	კვირაობით ის ხშირად პარკში სასეირნოდ მიდის.	հաճախ; սովորաբար	Կիրակի օրերին նա հաճախ զբոսնում է այգում։
网球	ჩოგბურთი	ჩოგბურთის თამაში სულ ახლახან დავიწყე.	թենիս	Ես միայն վերջերս սկսեցի թենիս խաղալ սովորել։
网站	ვებგვერდი	ამ ვებგვერდზე ბევრი ჩინური მასალაა.	կայք	Այս կայքում շատ չինարեն նյութեր կան։
危险	საფრთხე; საშიში	ღამით მარტო მთაზე ასვლა საშიშია.	վտանգ; վտանգավոր	Գիշերը մենակ լեռ բարձրանալը վտանգավոր է։
卫生间	ტუალეტი; სააბაზანო	უკაცრავად, ტუალეტი სად არის?	զուգարան; լոգասենյակ	Ներեցեք, զուգարանը որտե՞ղ է։
味道	გემო; არომატი	ამ რესტორნის ბაოძი ძალიან გემრიელია.	համ; բույր	Այս ռեստորանի բաոձիները շատ համեղ են։
温度	ტემპერატურა	ზამთარში ტემპერატურა სულ უფრო დაბლა იწევს.	ջերմաստիճան	Ձմռանը ջերմաստիճանը գնալով նվազում է։
文章	სტატია; ესე	სტატიის ყველაზე მნიშვნელოვანი ნაწილი მესამე აბზაცია.	հոդված; շարադրություն	Հոդվածի ամենակարևոր մասը երրորդ պարբերությունն է։
污染	დაბინძურება	გარემოს დაბინძურება ახლა სულ უფრო სერიოზული ხდება.	աղտոտում	Շրջակա միջավայրի աղտոտումը հիմա գնալով ավելի լուրջ է դառնում։
无	არარსებობა; გარეშე	მის სიტყვებს საფუძველი არ აქვს.	առանց; չկա	Նրա խոսքերը անհիմն են։
无聊	მოსაწყენი; მოწყენილი	ეს გადაცემა ცოტა მოსაწყენია.	ձանձրալի; ձանձրացած	Այս հաղորդումը մի քիչ ձանձրալի է։
无论	როგორც არ უნდა; მიუხედავად	როგორც არ უნდა ავუხსნა, მაინც ვერ იგებს.	ինչպես էլ որ; անկախ	Ինչպես էլ բացատրեմ, նա չի հասկանում։
误会	გაუგებრობა; არასწორად გაგება	ბოდიში, არასწორად გაგიგეთ.	թյուրիմացություն; սխալ հասկանալ	Ներեցեք, ես ձեզ սխալ հասկացա։
吸引	მიზიდვა; მოზიდვა	ეს ფილმი ძალიან მიმზიდველია.	գրավել; ձգել	Այս ֆիլմը շատ գրավիչ է։
西红柿	პომიდორი	რამდენიმე პომიდორი ვიყიდე.	լոլիկ	Ես մի քանի լոլիկ գնեցի։
咸	მარილიანი	მარილი ზედმეტია, კერძები ცოტა მარილიანია.	աղի	Աղը շատ է, ուտեստները մի քիչ աղի են։
现金	ნაღდი ფული	თან ბევრი ნაღდი ფული არ მაქვს, მაგრამ მაღაზია ბარათებს იღებს.	կանխիկ գումար	Ինձ մոտ շատ կանխիկ գումար չկա, բայց խանութը քարտեր ընդունում է։
羡慕	შური; აღფრთოვანება	შურს მშურს, რომ მას კარგი სამსახური აქვს.	նախանձել; հիանալ	Ես նախանձում եմ նրան, որ լավ աշխատանք ունի։
相反	საპირისპირო; წინააღმდეგი	თქვენი ნათქვამი იმის საპირისპიროა, რაც მე მესმის.	հակառակ; հակադիր	Ձեր ասածը հակառակն է այն բանի, ինչ ես հասկանում եմ։
相同	იგივე; იდენტური	თქვენი ველოსიპედი ზუსტად ისეთივეა, როგორიც ჩემი.	նույն; միևնույն	Ձեր հեծանիվը ճիշտ նույնն է, ինչ իմը։
香	სურნელოვანი; გემრიელი სუნის მქონე	თქვენ მიერ მომზადებულ საჭმელს ძალიან კარგი სუნი აქვს!	անուշաբույր; համեղ բուրող	Ձեր պատրաստած ուտելիքը ինչ լավ բույր ունի։
详细	დეტალური; დაწვრილებითი	მის მიერ შედგენილი გეგმა ძალიან დეტალურია.	մանրամասն	Նրա կազմած պլանը շատ մանրամասն է։
响	ხმის გამოცემა; დარეკვა	მისმინე, ტელეფონმა დარეკა?	հնչել; զանգել	Լսիր, հեռախոսը զանգե՞ց։
橡皮	საშლელი	შეიძლება თქვენი საშლელი ცოტა ხნით ვინათხოვრო?	ռետին; ջնջիչ	Կարո՞ղ եմ ձեր ջնջիչը մի պահ վերցնել։
消息	ამბავი; ინფორმაცია	ეს ამბავი მართლაც ამაღელვებელია.	լուր; տեղեկություն	Այս լուրը իսկապես հուզիչ է։
小吃	წასახემსებელი; მცირე საჭმელი	პეკინში ჩასვლისას აუცილებლად უნდა გასინჯოთ პეკინური წასახემსებლები.	խորտիկ; թեթև ուտելիք	Պեկին գալուց անպայման փորձեք պեկինյան խորտիկները։
小伙子	ახალგაზრდა კაცი; ბიჭი	ის ახალგაზრდა კაცი ძალიან გულთბილია.	երիտասարդ; տղա	Այդ երիտասարդը շատ ջերմասիրտ է։
小说	რომანი; მხატვრული ნაწარმოები	ამ რომანს ვკითხულობ.	վեպ; գեղարվեստական արձակ	Ես այս վեպն եմ կարդում։
效果	ეფექტი; შედეგი	ეს გაციების წამალი ძალიან კარგად მოქმედებს.	արդյունք; ազդեցություն	Այս մրսածության դեղը շատ լավ է ազդում։
笑话	ხუმრობა; დაცინვა	გთხოვთ, სხვებს ნუ დასცინებთ.	կատակ; ծաղրել	Խնդրում եմ, ուրիշներին մի ծաղրեք։
心情	განწყობა	მისი განწყობა გაუმჯობესდა.	տրամադրություն	Նրա տրամադրությունը լավացավ։
辛苦	მძიმე; დამღლელი	მამას სამუშაო ძალიან მძიმეა.	ծանր; հոգնեցուցիչ	Հայրիկի աշխատանքը շատ ծանր է։
信封	კონვერტი	მან დაწერილი წერილი კონვერტში ჩადო.	ծրար	Նա գրած նամակը դրեց ծրարի մեջ։
信息	ინფორმაცია; შეტყობინება	გთხოვთ, თქვენი საკონტაქტო ინფორმაცია გამომიგზავნეთ.	տեղեկություն; հաղորդագրություն	Խնդրում եմ, ուղարկեք ինձ ձեր կոնտակտային տվյալները։
信心	თავდაჯერება; რწმენა	ჩვენ თქვენი დიდი რწმენა გვაქვს. თქვენ ამას აუცილებლად შეძლებთ.	վստահություն	Մենք ձեզ շատ ենք վստահում։ Դուք անպայման կարող եք դա անել։
兴奋	აღელვებული; აღტაცება	როცა ბავშვებმა გაიგეს, რომ გაზაფხულის გასეირნებაზე მიდიოდნენ, აღტაცებით ხტუნვა დაიწყეს.	հուզված; ոգևորություն	Երեխաները, լսելով, որ գարնանային զբոսանքի են գնալու, հուզմունքից վեր թռան։
行	კარგი; მისაღები	ასე კარგია?	լավ; ընդունելի	Այսպես կլինի՞։
醒	გაღვიძება; ფხიზლად ყოფნა	დილით ექვს საათზე გავიღვიძე.	արթնանալ; արթուն լինել	Առավոտյան ժամը վեցին արթնացա։
幸福	ბედნიერება; ბედნიერი	ფულით ბედნიერებას ვერ იყიდი.	երջանկություն; երջանիկ	Փողով երջանկություն չես գնի։
性别	სქესი	გთხოვთ, ფორმის მეორე ხაზში სქესი ჩაწერეთ.	սեռ	Խնդրում եմ, ձևաթղթի երկրորդ տողում գրեք սեռը։
性格	ხასიათი; პიროვნება	ჩემს ცოლს ძალიან კარგი ხასიათი აქვს და არასდროს კარგავს მოთმინებას.	բնավորություն; խառնվածք	Կինս շատ լավ բնավորություն ունի և երբեք չի բարկանում։
修理	შეკეთება; შეკეთება	შეკეთების შემდეგ ჩემი კომპიუტერი ისევ ნორმალურად მუშაობს.	վերանորոգել; սարքել	Վերանորոգումից հետո համակարգիչս կրկին նորմալ է աշխատում։
许多	ბევრი	ქუჩაზე ბევრი ნაგვის ურნაა.	շատ; բազմաթիվ	Փողոցում շատ աղբամաններ կան։
