simplified	JA	example_JA	KO	example_KO	VI	example_VI
密码	暗証番号; パスワード	クレジットカードの暗証番号を忘れました。	비밀번호; 암호	저는 신용카드 비밀번호를 잊어버렸어요.	mật khẩu; mã số	Tôi quên mật khẩu thẻ tín dụng rồi.
免费	無料の	このレストランで食事をすると、飲み物は無料です。	무료	이 식당에서 식사하면 음료가 무료예요.	miễn phí	Ăn ở nhà hàng này, đồ uống miễn phí.
秒	秒	十秒待ってください。	초	저를 십 초만 기다려 주세요.	giây	Xin hãy đợi tôi mười giây.
民族	民族; 民族集団	中国は多民族国家です。	민족	중국은 다민족 국가예요.	dân tộc	Trung Quốc là một quốc gia đa dân tộc.
母亲	母; 母親	紹介します。こちらは私の母です。	어머니	제가 소개할게요. 이분은 제 어머니예요.	mẹ; mẫu thân	Để tôi giới thiệu, đây là mẹ tôi.
目的	目的; 目標	彼がこうする目的がわかりません。	목적	저는 그가 이렇게 하는 목적을 이해하지 못해요.	mục đích	Tôi không hiểu mục đích anh ấy làm như vậy.
耐心	忍耐強い; 根気	子どもを教育するには忍耐が必要です。	인내심; 참을성	아이를 교육하려면 인내심이 있어야 해요.	kiên nhẫn	Giáo dục trẻ em cần có sự kiên nhẫn.
难道	まさか; 〜とでもいうのか	これらの料理はおいしくないとでもいうのですか。	설마; 반문	이 음식들이 설마 맛없다는 건가요?	chẳng lẽ	Chẳng lẽ những món này không ngon sao?
难受	つらい; 気分が悪い	風邪をひいて、体がとてもつらいです。	괴롭다; 몸이 불편하다	저는 감기에 걸려서 몸이 아주 힘들어요.	khó chịu; đau	Tôi bị cảm, người rất khó chịu.
内	内; 以内	三日以内に任務を終えてください。	안; 이내	사흘 안에 임무를 완성해 주세요.	trong; trong vòng	Xin hãy hoàn thành nhiệm vụ trong ba ngày.
内容	内容	この記事の内容はとてもすばらしいです。	내용	이 글의 내용은 아주 훌륭해요.	nội dung	Nội dung của bài viết này rất đặc sắc.
能力	能力	彼の仕事能力はとても高いです。	능력	그의 업무 능력은 아주 뛰어나요.	năng lực	Năng lực làm việc của anh ấy rất mạnh.
年龄	年齢	他人の年齢を気軽に尋ねるのは失礼です。	나이; 연령	다른 사람의 나이를 함부로 묻는 것은 예의가 아니에요.	tuổi	Tùy tiện hỏi tuổi người khác là không lịch sự.
弄	する; いじる; 〜にする	子犬が部屋をとても散らかしました。	하다; 만들다; 만지다	강아지가 방을 아주 어지럽혀 놓았어요.	làm; làm cho	Con chó con làm căn phòng rất lộn xộn.
暖和	暖かい	春が来て、天気が暖かくなりました。	따뜻하다	봄이 와서 날씨가 따뜻해졌어요.	ấm áp	Mùa xuân đến rồi, thời tiết trở nên ấm áp.
偶尔	たまに; 時々	私はたまに学校で彼女に会います。	가끔; 이따금	저는 가끔 학교에서 그녀를 만나요.	thỉnh thoảng	Thỉnh thoảng tôi gặp cô ấy ở trường.
排队	列に並ぶ	チケットを買う人たちは列に並んでいます。	줄을 서다	표를 사는 사람들이 줄을 서고 있어요.	xếp hàng	Người mua vé đang xếp hàng.
排列	並べる; 配列	これらの箱を大きい順から小さい順に並べてください。	배열하다; 정렬하다	이 상자들을 큰 것부터 작은 것 순서로 배열해 주세요.	sắp xếp	Xin hãy sắp xếp những hộp này theo thứ tự từ lớn đến nhỏ.
判断	判断する; 判断	あなたの判断は完全に正しいです。	판단하다; 판단	당신의 판단은 완전히 정확해요.	phán đoán	Phán đoán của bạn hoàn toàn chính xác.
陪	付き添う; そばにいる	私が悲しい時、あなたはいつもそばにいてくれます。	동행하다; 곁에 있다	제가 슬플 때 당신은 늘 제 곁에 있어요.	đi cùng; ở bên	Khi tôi buồn, bạn luôn ở bên cạnh tôi.
批评	批判する; 叱る	先生はめったに私を叱りません。	비판하다; 꾸짖다	선생님은 저를 거의 꾸짖지 않아요.	phê bình	Thầy cô rất ít khi phê bình tôi.
皮肤	皮膚	母は肌を守ることにとても気を使っています。	피부	엄마는 피부 보호에 아주 신경을 써요.	da	Mẹ rất chú ý bảo vệ làn da.
脾气	気性; 性格	彼は気性がよく、怒ったことがありません。	성격; 성질	그는 성격이 좋아서 한 번도 화낸 적이 없어요.	tính khí	Anh ấy tính khí tốt, chưa bao giờ nổi nóng.
篇	編; 本; 文章の数詞	この文章を何度も読みました。	편; 편수	저는 이 글을 여러 번 읽었어요.	bài; thiên	Tôi đã đọc bài viết này nhiều lần.
骗	だます	私はあなたをだましていません。彼は本当に来ました。	속이다	저는 당신을 속이지 않았어요. 그는 정말 왔어요.	lừa; lừa dối	Tôi không lừa bạn, anh ấy thật sự đã đến.
乒乓球	卓球	誰か卓球の試合に参加したい人はいますか。	탁구	누가 탁구 경기에 참가하고 싶어요?	bóng bàn	Có ai muốn tham gia trận bóng bàn không?
平时	普段	彼女は普段あまり運動しません。	평소	그녀는 평소에 운동을 거의 하지 않아요.	bình thường; thường ngày	Bình thường cô ấy rất ít vận động.
破	壊れた; 割る	すみません、鏡を割ってしまいました。	깨지다; 부서지다	죄송해요, 제가 거울을 깨뜨렸어요.	vỡ; hỏng	Xin lỗi, tôi đã làm vỡ gương.
葡萄	ぶどう	ぶどうは500グラムで5元です。	포도	포도는 500그램에 5위안이에요.	nho	Nho năm nhân dân tệ nửa ký.
普遍	普遍的な; 広く見られる	この問題はよく見られます。	보편적이다; 흔하다	이 문제는 아주 흔해요.	phổ biến	Vấn đề này rất phổ biến.
普通话	普通話; 標準中国語	あなたの普通話はとても上手です。	보통화; 표준 중국어	당신은 표준 중국어를 아주 잘해요.	tiếng Phổ thông	Bạn nói tiếng Phổ thông rất tốt.
其次	次に; 第二に	まず安全が大切で、次に速さが大切です。	그다음; 둘째	먼저 안전이 중요하고, 그다음은 속도예요.	thứ hai; tiếp theo	Trước hết cần an toàn, tiếp theo cần nhanh.
其中	その中で; そのうち	私たちのクラスには二十人の学生がいて、そのうち五人は外国から来ています。	그중; 그 가운데	우리 반에는 학생이 스무 명 있는데, 그중 다섯 명은 외국에서 왔어요.	trong đó	Lớp chúng tôi có hai mươi học sinh, trong đó năm người đến từ nước ngoài.
气候	気候	北方の気候に慣れられますか。	기후	북쪽의 기후에 적응할 수 있나요?	khí hậu	Bạn có thể thích nghi với khí hậu miền bắc không?
千万	絶対に; ぜひ	明日の会議を絶対に忘れないでください。	절대로; 반드시	내일 회의를 절대로 잊지 마세요.	nhất định; tuyệt đối	Bạn tuyệt đối đừng quên cuộc họp ngày mai.
签证	ビザ	明日、大使館へビザを申請しに行きます。	비자	저는 내일 대사관에 비자를 신청하러 갈 거예요.	thị thực; visa	Ngày mai tôi phải đến đại sứ quán làm visa.
敲	たたく; ノックする	誰かがドアをノックしています。誰が来たのか見てください。	두드리다; 노크하다	누군가 문을 두드려요. 누가 왔는지 가서 보세요.	gõ	Có người gõ cửa, bạn đi xem ai đến.
桥	橋	川の上に小さな橋があります。	다리	강 위에 작은 다리가 있어요.	cầu	Trên sông có một cây cầu nhỏ.
巧克力	チョコレート	私はチョコレートが一番好きです。	초콜릿	저는 초콜릿을 가장 좋아해요.	sô-cô-la	Tôi thích ăn sô-cô-la nhất.
亲戚	親戚	私の親戚の多くは北京に住んでいます。	친척	제 친척들은 대부분 베이징에 살아요.	họ hàng; người thân	Họ hàng của tôi phần lớn sống ở Bắc Kinh.
轻	軽い	この箱は軽いです。	가볍다	이 상자는 가벼워요.	nhẹ	Chiếc hộp này rất nhẹ.
轻松	気楽な; 楽な	この仕事は彼にとって楽ではありません。	수월하다; 편안하다	이 일은 그에게 결코 수월하지 않아요.	thoải mái; nhẹ nhàng	Công việc này đối với anh ấy không hề nhẹ nhàng.
情况	状況	状況は大きく変わりました。	상황	상황이 크게 변했어요.	tình hình; tình huống	Tình hình đã thay đổi rất nhiều.
穷	貧しい	この老人は貧しいですが、楽しく暮らしています。	가난하다	이 노인은 비록 가난하지만 즐겁게 살아요.	nghèo	Tuy cụ già này rất nghèo, nhưng sống rất vui vẻ.
区别	違い; 区別	この二種類の材料にはどんな違いがありますか。	차이; 구별	이 두 가지 재료는 어떤 차이가 있나요?	khác biệt	Hai loại vật liệu này có gì khác biệt không?
取	取る; 引き出す	銀行へお金を引き出しに行きます。	찾다; 꺼내다; 선택하다	저는 은행에 돈을 찾으러 가요.	lấy; rút	Tôi đi ngân hàng rút tiền.
全部	全部; すべて	音楽は私のすべてです。	전부; 모두	음악은 제 전부예요.	toàn bộ; tất cả	Âm nhạc chính là tất cả của tôi.
缺点	欠点; 短所	人は自分の欠点を他人の長所と比べてはいけません。	단점; 결점	사람은 자신의 단점을 다른 사람의 장점과 비교해서는 안 돼요.	khuyết điểm	Người ta không thể lấy khuyết điểm của mình so với ưu điểm của người khác.
缺少	不足する; 足りない	まだ何が足りないか見てください。私は今すぐ買いに行きます。	부족하다; 결핍되다	아직 무엇이 부족한지 봐 주세요. 제가 지금 바로 사러 갈게요.	thiếu	Bạn xem còn thiếu gì, bây giờ tôi đi mua ngay.
却	しかし; かえって	言いたいことがたくさんありますが、緊張すると言えなくなります。	오히려; 그런데	할 말이 많지만 긴장하면 오히려 말이 나오지 않아요.	nhưng; lại	Tôi có rất nhiều lời muốn nói, nhưng hễ căng thẳng lại không nói ra được.
确实	確かに; 本当に	この方法は確かにいいです。	확실히; 정말	이 방법은 확실히 괜찮아요.	quả thật; thật sự	Cách này thật sự không tệ.
然而	しかし; けれども	この本を読むのに多くの時間を使いましたが、まだ読み終えていません。	그러나; 하지만	저는 이 책을 읽는 데 많은 시간을 썼지만 아직 다 읽지 못했어요.	tuy nhiên	Tôi đã dành nhiều thời gian đọc quyển sách này, tuy nhiên vẫn chưa đọc xong.
热闹	にぎやかな	大通りはとてもにぎやかです。	떠들썩하다; 활기차다	큰길은 아주 활기차요.	náo nhiệt	Trên phố lớn rất náo nhiệt.
任何	どんな; いかなる	母は誰よりも私を理解しています。	어떤; 누구든	엄마는 누구보다도 저를 잘 이해해요.	bất kỳ	Mẹ hiểu tôi hơn bất kỳ ai.
任务	任務; タスク	任務は八十パーセント終わりました。	임무; 과제	임무가 80퍼센트 완료됐어요.	nhiệm vụ	Nhiệm vụ đã hoàn thành tám mươi phần trăm.
扔	投げる; 捨てる	ごみをごみ箱に捨ててください。	던지다; 버리다	쓰레기를 쓰레기통에 버려 주세요.	ném; vứt	Xin hãy vứt rác vào thùng rác.
仍然	依然として; まだ	今日もまだいい天気です。	여전히; 아직	오늘은 여전히 좋은 날씨예요.	vẫn; vẫn còn	Hôm nay vẫn là một ngày đẹp trời.
日记	日記	娘は毎日日記を書く習慣がつきました。	일기	딸은 매일 일기를 쓰는 습관이 생겼어요.	nhật ký	Con gái đã hình thành thói quen viết nhật ký mỗi ngày.
入口	入口	ビルの入口であなたを待っています。	입구	저는 건물 입구에서 당신을 기다리고 있어요.	lối vào	Tôi đang đợi bạn ở lối vào tòa nhà.
散步	散歩する	散歩している時、子犬はずっと私の後ろについてきました。	산책하다	산책할 때 강아지가 계속 제 뒤를 따라왔어요.	đi dạo	Khi đi dạo, con chó con cứ đi theo sau tôi.
森林	森; 森林	この森はとても広いです。	숲; 삼림	이 숲은 아주 커요.	rừng	Khu rừng này rất lớn.
沙发	ソファ	ソファに少し座ってください。お茶を一杯お入れします。	소파	소파에 잠시 앉으세요. 제가 차 한 잔 따라 드릴게요.	ghế sofa	Xin ngồi trên ghế sofa một lát, tôi đi rót trà cho ngài.
伤心	悲しい; 傷つく	この知らせを聞いて、私はとても悲しくなりました。	상심하다; 슬프다	이 소식을 듣고 저는 매우 슬펐어요.	buồn lòng; đau lòng	Sau khi nghe tin này, tôi rất buồn.
商量	相談する; 話し合う	ちょうどよく来ましたね。少し相談しましょう。	상의하다; 의논하다	마침 잘 왔어요. 우리 상의해 봐요.	bàn bạc; thương lượng	Bạn đến đúng lúc, chúng ta bàn bạc một chút.
稍微	少し; ちょっと	少しでも不注意だと間違えます。	조금; 약간	조금만 부주의해도 실수할 수 있어요.	hơi; một chút	Chỉ hơi cẩu thả một chút là sẽ mắc lỗi.
勺子	スプーン	すみません、スプーンを床に落としてしまいました。	숟가락	죄송해요, 숟가락을 바닥에 떨어뜨렸어요.	cái thìa; muỗng	Xin lỗi, tôi làm rơi cái thìa xuống đất.
社会	社会	これらの社会問題はみんなが関心を持っています。	사회	이 사회 문제들은 모두가 관심을 가지고 있어요.	xã hội	Mọi người đều rất quan tâm đến những vấn đề xã hội này.
深	深い	私たちの間には深い友情があります。	깊다	우리 사이에는 깊은 우정이 있어요.	sâu	Giữa chúng tôi có tình bạn rất sâu sắc.
申请	申請する; 申し込む	銀行にクレジットカードを一枚申請しました。	신청하다	저는 은행에 신용카드 한 장을 신청했어요.	xin; đăng ký	Tôi đã xin một thẻ tín dụng ở ngân hàng.
甚至	〜さえ; さらには	みんな楽しく遊んで、時間さえ忘れました。	심지어	모두가 아주 즐겁게 놀아서 심지어 시간도 잊었어요.	thậm chí	Mọi người chơi rất vui, thậm chí quên cả thời gian.
生活	生活; 暮らす	生活の中ではいつもいくつかの悩みに出会います。	생활; 살다	생활 속에서는 늘 이런저런 고민을 만나게 돼요.	cuộc sống; sinh hoạt	Trong cuộc sống luôn gặp một vài phiền não.
生命	生命; 命	彼は芸術を自分の命より大切に見ています。	생명	그는 예술을 자기 생명보다 더 중요하게 여겨요.	sinh mệnh; mạng sống	Anh ấy coi nghệ thuật quan trọng hơn cả mạng sống của mình.
生意	商売; ビジネス	彼の商売はますます大きくなっています。	사업; 장사	그의 사업은 점점 더 커지고 있어요.	kinh doanh; việc làm ăn	Việc kinh doanh của anh ấy ngày càng lớn.
省	省	私は山東省出身です。	성; 주	저는 산둥성에서 왔어요.	tỉnh	Tôi đến từ tỉnh Sơn Đông.
剩	残る	リンゴは二つだけ残っています。	남다	사과가 두 개만 남았어요.	còn lại	Chỉ còn lại hai quả táo.
失败	失敗する; 敗北	多くの失敗を経験しましたが、私は決してあきらめません。	실패하다; 실패	많은 실패를 겪었지만 저는 절대 포기하지 않아요.	thất bại	Tuy đã trải qua nhiều thất bại, tôi chưa bao giờ từ bỏ.
失望	失望する	私は彼にとても失望しています。	실망하다	저는 그에게 매우 실망했어요.	thất vọng	Tôi rất thất vọng về anh ấy.
师傅	師匠; 職人; 運転手さん	すみません、映画館へはどう行きますか。	기사님; 사부	기사님, 영화관은 어떻게 가나요?	bác tài; thợ cả	Bác tài, xin hỏi đi đến rạp chiếu phim thế nào?
十分	とても; 十分に	彼女は物事をとても丁寧にします。	매우; 아주	그녀는 일을 매우 꼼꼼하게 해요.	rất; vô cùng	Cô ấy làm việc rất cẩn thận.
实际	実際の; 現実	彼は実際の例でこの問題を説明しました。	실제; 현실	그는 실제 예를 들어 이 문제를 설명했어요.	thực tế	Anh ấy dùng một ví dụ thực tế để giải thích vấn đề này.
实在	本当に; 実に	私は本当に疲れすぎました。	정말; 실로	저는 정말 너무 피곤해요.	thật sự	Tôi thật sự quá mệt rồi.
使	〜させる; 使う	彼の言葉は私をとても感動させました。	하게 하다; 사용하다	그의 말이 저를 매우 감동시켰어요.	khiến; sử dụng	Lời nói của anh ấy khiến tôi rất cảm động.
使用	使用する; 使う	中国人は食事の時、普通箸を使います。	사용하다	중국인은 식사할 때 보통 젓가락을 사용해요.	sử dụng	Người Trung Quốc thường dùng đũa khi ăn.
世纪	世紀	今は二十一世紀です。	세기	지금은 21세기예요.	thế kỷ	Bây giờ là thế kỷ hai mươi mốt rồi.
是否	〜かどうか	彼が来られるかどうか、私はまだよくわかりません。	인지 아닌지; 여부	그가 올 수 있는지 저는 아직 잘 모르겠어요.	có hay không; liệu	Anh ấy có thể đến hay không, tôi vẫn chưa rõ lắm.
适合	合う; 適している	私は緑の服を着るのがあまり似合いません。	적합하다; 어울리다	저는 초록색 옷이 별로 어울리지 않아요.	phù hợp; hợp	Tôi không hợp mặc quần áo màu xanh lá lắm.
适应	適応する; 慣れる	北方の気候に慣れられますか。	적응하다	북쪽의 기후에 적응할 수 있나요?	thích ứng	Bạn có thể thích nghi với khí hậu miền bắc không?
收	受け取る; 集める	あなたの手紙を受け取りました。	받다; 거두다	저는 당신의 편지를 받았어요.	nhận; thu	Tôi đã nhận được thư của bạn.
收入	収入	彼の収入は以前より高くなりました。	수입	그의 수입은 예전보다 높아졌어요.	thu nhập	Thu nhập của anh ấy cao hơn trước.
收拾	片付ける; 荷造りする	私は荷物をまとめています。	정리하다; 짐을 싸다	저는 짐을 싸고 있어요.	dọn dẹp; chuẩn bị hành lý	Tôi đang thu xếp hành lý.
首都	首都	中国の首都は北京です。	수도	중국의 수도는 베이징이에요.	thủ đô	Thủ đô của Trung Quốc là Bắc Kinh.
首先	まず; 最初に	まずよく休んで、それからよく働けます。	우선; 먼저	우선 잘 쉬어야 그다음에 일을 잘할 수 있어요.	trước hết	Trước hết phải nghỉ ngơi tốt, sau đó mới làm việc tốt được.
受不了	耐えられない	天気が暑すぎて、私は耐えられません。	견딜 수 없다	날씨가 너무 더워서 저는 견딜 수 없어요.	không chịu nổi	Thời tiết quá nóng, tôi không chịu nổi.
受到	受ける; 受け取る	彼の小説は読者に歓迎されました。	받다; 입다	그의 소설은 독자들의 환영을 받았어요.	nhận được; chịu	Tiểu thuyết của anh ấy được độc giả đón nhận.
售货员	販売員	私はショッピングモールで販売員をしています。	판매원	저는 쇼핑몰에서 판매원으로 일해요.	nhân viên bán hàng	Tôi làm nhân viên bán hàng ở trung tâm thương mại.
输	負ける; 輸送する	今回の試合は、私たちは負けました。	지다; 운송하다	이번 경기에서 우리는 졌어요.	thua; vận chuyển	Trận đấu lần này chúng tôi thua.
熟悉	よく知っている; 慣れている	私は彼らのことをみんなよく知っています。	익숙하다; 잘 알다	저는 그들을 모두 잘 알아요.	quen thuộc; rành	Tôi rất quen thuộc với họ.
数量	数量; 数	申し込んだ人の数はとても多いです。	수량; 수	신청한 사람의 수가 아주 많아요.	số lượng	Số lượng người đăng ký rất nhiều.
数字	数字	数字をはっきり書いてください。	숫자	숫자를 분명하게 써 주세요.	chữ số; con số	Xin hãy viết con số rõ ràng.
帅	かっこいい	彼は今日とてもかっこいい服装をしています。	멋있다; 잘생기다	그는 오늘 아주 멋있게 입었어요.	đẹp trai; phong độ	Hôm nay anh ấy ăn mặc rất phong độ.
顺便	ついでに	仕事帰りに、ついでに野菜を少し買いました。	가는 김에; 겸사겸사	퇴근길에 저는 가는 김에 채소를 좀 샀어요.	tiện thể	Trên đường tan làm, tôi tiện thể mua ít rau.
顺利	順調な	試合は順調に進みました。	순조롭다	경기가 아주 순조롭게 진행됐어요.	thuận lợi	Trận đấu diễn ra rất thuận lợi.
顺序	順序	順番を乱さないでください。	순서	순서를 흐트러뜨리지 마세요.	thứ tự	Xin đừng làm rối thứ tự.
说明	説明する; 説明	彼はこの件の理由をみんなに少し説明しました。	설명하다; 설명	그는 이 일의 원인을 모두에게 설명해 주었어요.	giải thích; thuyết minh	Anh ấy giải thích nguyên nhân của việc này cho mọi người.
硕士	修士; 修士課程	私は大学で修士課程に在籍しています。	석사	저는 대학에서 석사 과정을 공부하고 있어요.	thạc sĩ	Tôi đang học cao học thạc sĩ ở đại học.
死	死ぬ; 枯れる	この木はもう枯れています。	죽다	이 나무는 이미 죽었어요.	chết	Cái cây này đã chết rồi.
塑料袋	ビニール袋; プラスチック袋	環境を守るため、ビニール袋を使わないでください。	비닐봉지; 플라스틱 봉투	환경을 보호하기 위해 비닐봉지를 사용하지 마세요.	túi nhựa	Để bảo vệ môi trường, xin đừng sử dụng túi nhựa.
速度	速度	彼の走る速度は本当に速いです。	속도	그의 달리기 속도는 정말 빨라요.	tốc độ	Tốc độ chạy của anh ấy thật nhanh!
酸	酸っぱい	あなたが買ったぶどうは少し酸っぱいです。	시다	당신이 산 포도는 조금 시어요.	chua	Nho bạn mua hơi chua.
随便	自由に; 適当に	皆さん、自由に座ってください。	마음대로; 편하게	여러분 편하게 앉으세요.	tùy tiện; tùy ý	Mọi người cứ ngồi tùy ý.
随着	〜につれて; 〜に伴って	経済の発展につれて、人々の生活は大きく向上しました。	에 따라; 와 함께	경제가 발전함에 따라 사람들의 생활이 크게 향상되었어요.	cùng với; theo	Cùng với sự phát triển của kinh tế, cuộc sống của mọi người đã được nâng cao rất nhiều.
孙子	孫息子	おじいさんは自分の孫息子が大好きです。	손자	할아버지는 자신의 손자를 매우 좋아하세요.	cháu trai nội	Ông nội rất thích cháu trai của mình.
所有	すべての; 所有する	すべての人が彼が間違っていると思いました。	모든; 소유하다	모든 사람이 그가 틀렸다고 생각했어요.	tất cả; sở hữu	Tất cả mọi người đều cho rằng anh ấy sai.
台	台; 機器の助数詞	このコンピューターは新しく買ったものです。	대; 기기를 세는 말	이 컴퓨터는 새로 산 것이에요.	chiếc; cái	Chiếc máy tính này mới mua.
抬	持ち上げる; 運ぶ	彼らは机を教室に運び入れました。	들다; 옮기다	그들은 책상을 교실 안으로 옮겼어요.	nâng; khiêng	Họ khiêng bàn học vào trong lớp.
态度	態度	店員の客に対する態度はとてもいいです。	태도	점원의 고객에 대한 태도가 아주 좋아요.	thái độ	Thái độ của nhân viên phục vụ đối với khách hàng rất tốt.
弹钢琴	ピアノを弾く	私は四歳からピアノを習い始めました。	피아노를 치다	저는 네 살 때부터 피아노 치는 것을 배우기 시작했어요.	chơi đàn piano	Tôi bắt đầu học chơi đàn piano từ năm bốn tuổi.
谈	話す; 相談する	もう一つ別のことについてあなたと話したいです。	이야기하다; 의논하다	저는 또 다른 일을 당신과 이야기하고 싶어요.	nói chuyện; bàn	Tôi còn muốn nói với bạn một việc khác.
汤	スープ	スープはしょっぱくないので、もう少し塩を入れましょう。	국; 탕	국이 짜지 않으니 소금을 좀 더 넣어요.	canh; súp	Canh chưa mặn, vẫn nên cho thêm chút muối.
糖	砂糖; 飴	飴を一つ食べたいです。	설탕; 사탕	저는 사탕 하나를 먹고 싶어요.	đường; kẹo	Tôi muốn ăn một viên kẹo.
躺	横になる	彼女はベッドに横になって眠ってしまいました。	눕다	그녀는 침대에 누워 잠들었어요.	nằm	Cô ấy nằm trên giường rồi ngủ thiếp đi.
趟	回; 度	先月、私は北京へ一度行きました。	번; 차례	지난달에 저는 베이징에 한 번 갔어요.	chuyến; lượt	Tháng trước tôi đã đi Bắc Kinh một chuyến.
讨论	討論する; 話し合う	会議を開いて少し話し合いましょう。	토론하다; 의논하다	우리 회의를 열어 의논해 봐요.	thảo luận	Chúng ta họp để thảo luận một chút nhé.
讨厌	嫌いだ; うっとうしい	この天気は本当にうっとうしいです。	싫어하다; 짜증나다	이 날씨는 정말 짜증나요.	ghét; khó chịu	Thời tiết này thật khó chịu.
特点	特徴	このレストランの特徴は料理が新鮮なことです。	특징	이 식당의 특징은 음식이 아주 신선하다는 거예요.	đặc điểm	Đặc điểm của nhà hàng này là món ăn rất tươi.
提	持ち上げる; 提げる	このかばんを持ち上げてください。	들다; 들어 올리다	이 가방을 들어 올려 주세요.	xách; nhấc	Xin hãy nhấc cái túi này lên.
提供	提供する	図書館はみんなに静かな読書環境を提供しています。	제공하다	도서관은 모두에게 조용한 독서 환경을 제공해요.	cung cấp	Thư viện cung cấp cho mọi người môi trường đọc sách yên tĩnh.
提前	前倒しする; 早める	私たちは任務を予定より早く終えました。	앞당기다; 미리	우리는 임무를 앞당겨 완성했어요.	trước thời hạn	Chúng tôi đã hoàn thành nhiệm vụ trước thời hạn.
提醒	思い出させる; 注意する	私はもう彼に注意しましたが、彼はやはり忘れました。	상기시키다; 일깨우다	저는 이미 그에게 알려 줬지만 그는 그래도 잊었어요.	nhắc nhở	Tôi đã nhắc anh ấy rồi, nhưng anh ấy vẫn quên.
填空	空欄を埋める	これは空欄補充問題です。	빈칸을 채우다	이것은 빈칸 채우기 문제예요.	điền vào chỗ trống	Đây là một câu hỏi điền vào chỗ trống.
条件	条件	彼女は私たちの採用条件によく合っています。	조건	그녀는 우리의 채용 조건에 아주 잘 맞아요.	điều kiện	Cô ấy rất phù hợp với điều kiện tuyển dụng của chúng tôi.
停	止まる; 停める	車が止まりました。	멈추다; 세우다	자동차가 멈췄어요.	dừng; đỗ	Xe ô tô dừng lại.
挺	かなり; まっすぐにする	この本はかなり面白いです。	꽤; 버티다	이 책은 꽤 재미있어요.	khá; chống đỡ	Quyển sách này khá hay.
通过	通る; 合格する	私はもう試験に合格しました。	통과하다; 통해서	저는 이미 시험에 합격했어요.	thông qua; vượt qua	Tôi đã vượt qua kỳ thi rồi.
通知	知らせる; 通知	みんなに会議に来るよう知らせてください。	알리다; 통지	모두에게 회의하러 오라고 알려 주세요.	thông báo	Xin hãy thông báo mọi người đến họp.
同情	同情する	私は彼にとても同情しています。	동정하다	저는 그를 매우 동정해요.	đồng cảm; thương cảm	Tôi rất thương cảm cho anh ấy.
同时	同時に	彼は音楽を聞きながら、同時に宿題をしています。	동시에	그는 음악을 들으면서 동시에 숙제를 해요.	đồng thời	Anh ấy vừa nghe nhạc, đồng thời làm bài tập.
推	押す	私の車が壊れました。押すのを手伝ってくれませんか。	밀다	제 차가 고장 났어요. 좀 밀어 주실 수 있나요?	đẩy	Xe của tôi hỏng rồi, bạn giúp tôi đẩy một chút được không?
推迟	延期する	飛行機の出発時間は二十分遅れました。	연기하다; 미루다	비행기 이륙 시간이 20분 연기됐어요.	trì hoãn	Thời gian cất cánh của máy bay bị hoãn hai mươi phút.
脱	脱ぐ	部屋は暖かいので、コートを脱ぎましょう。	벗다	방이 따뜻하니 외투를 벗으세요.	cởi	Phòng rất ấm, cởi áo khoác ra đi.
袜子	靴下	私は靴下をきれいに洗いました。	양말	저는 양말을 깨끗이 빨았어요.	tất	Tôi đã giặt sạch tất rồi.
完全	完全に; まったく	あなたの判断は完全に正しいです。	완전히; 전혀	당신의 판단은 완전히 정확해요.	hoàn toàn	Phán đoán của bạn hoàn toàn chính xác.
往往	よく; しばしば	日曜日、彼はよく公園へ散歩に行きます。	흔히; 자주	일요일에 그는 흔히 공원에 산책하러 가요.	thường thường	Chủ nhật anh ấy thường đi công viên dạo bộ.
网球	テニス	私は最近になってテニスを習い始めました。	테니스	저는 최근에야 테니스를 배우기 시작했어요.	quần vợt; tennis	Gần đây tôi mới bắt đầu học chơi tennis.
网站	ウェブサイト	このウェブサイトには中国語の資料がたくさんあります。	웹사이트	이 웹사이트에는 중국어 자료가 많이 있어요.	trang web	Trên trang web này có rất nhiều tài liệu tiếng Trung.
危险	危険な	夜に一人で山に登るのはとても危険です。	위험하다	밤에 혼자 산에 오르는 것은 아주 위험해요.	nguy hiểm	Một mình leo núi vào buổi tối rất nguy hiểm.
卫生间	トイレ; 洗面所	すみません、トイレはどこですか。	화장실	실례합니다, 화장실이 어디에 있나요?	nhà vệ sinh	Xin hỏi, nhà vệ sinh ở đâu?
味道	味; におい	このレストランの肉まんは味がとてもいいです。	맛; 냄새	이 식당의 만두는 맛이 아주 좋아요.	mùi vị; hương vị	Bánh bao của nhà hàng này có vị rất ngon.
温度	温度	冬に入ると、気温はますます低くなります。	온도	겨울에 접어들면 온도가 점점 낮아져요.	nhiệt độ	Bước vào mùa đông, nhiệt độ ngày càng thấp.
文章	文章; 記事	文章で最も重要な部分は第三段落です。	글; 문장	글에서 가장 중요한 부분은 세 번째 단락이에요.	bài viết	Phần quan trọng nhất của bài viết là đoạn thứ ba.
污染	汚染	今、環境汚染はますます深刻になっています。	오염	지금 환경오염이 점점 더 심각해지고 있어요.	ô nhiễm	Hiện nay ô nhiễm môi trường ngày càng nghiêm trọng.
无	ない; 無	彼の話には根拠がありません。	없다; 무	그의 말은 근거가 없어요.	không; vô	Lời nói của anh ấy là không có căn cứ.
无聊	退屈な; つまらない	この番組は少しつまらないです。	지루하다; 심심하다	이 프로그램은 좀 지루해요.	chán; vô vị	Chương trình này hơi nhàm chán.
