simplified	NE	example_NE	SI	example_SI	TA	example_TA
平时	सामान्यतया; साधारण समयमा	उनी सामान्यतया धेरै कम व्यायाम गर्छिन्.	සාමාන්‍යයෙන්	ඇය සාමාන්‍යයෙන් ඉතා අඩුවෙන් ව්‍යායාම කරයි.	பொதுவாக	அவள் பொதுவாக மிகவும் குறைவாக உடற்பயிற்சி செய்கிறாள்.
破	फुटेको; फुटाउनु	माफ गर्नुहोस्, मैले ऐना फुटाएँ.	කැඩුණු; කඩනවා	සමාවෙන්න, මම කණ්ණාඩිය කැඩුවෙමි.	உடைந்த; உடை	மன்னிக்கவும், நான் கண்ணாடியை உடைத்துவிட்டேன்.
葡萄	अङ्गुर	अङ्गुर आधा किलो पाँच युआन हो.	මිදි	මිදි කිලෝ භාගයකට යුවාන් පහකි.	திராட்சை	திராட்சை அரைக் கிலோக்கு ஐந்து யுவான்.
普遍	सामान्य; व्यापक	यो समस्या धेरै सामान्य छ.	සාමාන්‍ය; පුළුල්	මෙම ප්‍රශ්නය ඉතා සාමාන්‍යය.	பொதுவான; பரவலான	இந்தப் பிரச்சினை மிகவும் பொதுவானது.
普通话	म्यान्डरिन चिनियाँ	तिमी म्यान्डरिन चिनियाँ धेरै राम्रो बोल्छौ.	මැන්ඩරින් චීන භාෂාව	ඔබ මැන්ඩරින් චීන භාෂාව ඉතා හොඳින් කතා කරයි.	மாண்டரின் சீனம்	நீ மாண்டரின் சீனத்தை மிகவும் நன்றாகப் பேசுகிறாய்.
其次	त्यसपछि; दोस्रो कुरा	पहिले सुरक्षा चाहिन्छ, त्यसपछि छिटो हुनु चाहिन्छ.	දෙවනුව; ඊළඟට	මුලින්ම ආරක්ෂාව අවශ්‍යයි, දෙවනුව වේගය අවශ්‍යයි.	அடுத்து; இரண்டாவதாக	முதலில் பாதுகாப்பு வேண்டும், அடுத்ததாக வேகம் வேண்டும்.
其中	त्यसमध्ये; बीचमा	हाम्रो कक्षामा बीस विद्यार्थी छन्, त्यसमध्ये पाँच जना विदेशबाट आएका हुन्.	ඒ අතරින්; ඇතුළුව	අපේ පන්තියේ සිසුන් විසි දෙනෙක් සිටිති, ඒ අතරින් පස් දෙනෙක් විදේශයෙන් පැමිණි අයයි.	அவற்றில்; அதில்	எங்கள் வகுப்பில் இருபது மாணவர்கள் உள்ளனர், அதில் ஐவர் வெளிநாட்டிலிருந்து வந்தவர்கள்.
气候	हावापानी; जलवायु	के तिमी उत्तरको हावापानीमा अनुकूल हुन सक्छौ?	දේශගුණය	ඔබට උතුරු ප්‍රදේශයේ දේශගුණයට අනුවර්තනය විය හැකිද?	காலநிலை	வடக்குப் பகுதியின் காலநிலைக்கு நீ தழுவிக் கொள்ள முடியுமா?
千万	अवश्य; कदापि नगर्नु	भोलिको बैठक कदापि नबिर्सनू.	අනිවාර්යයෙන්; කිසිසේත් නොකළ යුතු	හෙට රැස්වීම කිසිසේත් අමතක නොකරන්න.	கண்டிப்பாக; ஒருபோதும் வேண்டாம்	நாளைய கூட்டத்தை ஒருபோதும் மறந்துவிடாதே.
签证	भिसा	म भोलि भिसा बनाउन दूतावास जानुपर्छ.	වීසා	මට හෙට වීසා අයදුම් කිරීමට තානාපති කාර්යාලයට යා යුතුය.	விசா	நான் நாளை விசாவுக்காக தூதரகத்திற்குச் செல்ல வேண்டும்.
敲	ढकढक्याउनु	कसैले ढोका ढकढक्याउँदै छ, गएर को आयो हेर.	තට්ටු කරනවා	කවුරුහරි දොරට තට්ටු කරනවා, කවුද ආවේ කියලා බලන්න.	தட்டு	யாரோ கதவைத் தட்டுகிறார்கள், யார் வந்திருக்கிறார்கள் என்று பார்த்து வா.
桥	पुल	नदीमाथि एउटा सानो पुल छ.	පාලම	ගඟ මත කුඩා පාලමක් ඇත.	பாலம்	நதியின் மீது ஒரு சிறிய பாலம் உள்ளது.
巧克力	चकलेट	मलाई सबैभन्दा मन पर्ने खानेकुरा चकलेट हो.	චොකලට්	මට වැඩිපුරම කන්න කැමති චොකලට්ය.	சாக்லேட்	எனக்கு மிகவும் பிடித்தது சாக்லேட் சாப்பிடுவதுதான்.
亲戚	नातेदार	मेरा धेरैजसो नातेदार बेइजिङमा बस्छन्.	ඥාතිවරයා	මගේ ඥාතීන්ගෙන් බොහෝ දෙනෙක් බෙයිජිංහි ජීවත් වෙති.	உறவினர்	என் உறவினர்களில் பெரும்பாலோர் பெய்ஜிங்கில் வசிக்கிறார்கள்.
轻	हलुका	यो बाकस धेरै हलुका छ.	සැහැල්ලු	මෙම පෙට්ටිය ඉතා සැහැල්ලුයි.	லேசான	இந்தப் பெட்டி மிகவும் லேசானது.
轻松	सजिलो; आरामदायी	यो काम उसका लागि सजिलो छैन.	සැහැල්ලු; පහසු	මෙම වැඩ ඔහුට පහසු නැත.	எளிதான; இலகுவான	இந்த வேலை அவனுக்கு எளிதல்ல.
情况	स्थिति; अवस्था	स्थितिमा ठूलो परिवर्तन भएको छ.	තත්ත්වය; අවස්ථාව	තත්ත්වයේ විශාල වෙනසක් සිදුවී ඇත.	நிலைமை	நிலையிலே பெரிய மாற்றம் ஏற்பட்டுள்ளது.
穷	गरिब	यो वृद्ध मानिस गरिब भए पनि खुसीसँग बाँचिरहेका छन्.	දුප්පත්	මෙම වයෝවෘද්ධ පුද්ගලයා දුප්පත් වුණත් සතුටින් ජීවත් වේ.	ஏழை	இந்த முதியவர் ஏழையாக இருந்தாலும் மகிழ்ச்சியாக வாழ்கிறார்.
区别	फरक; छुट्याउनु	यी दुई प्रकारका सामग्रीबीच के फरक छ?	වෙනස; වෙන්කර හඳුනාගැනීම	මෙම ද්‍රව්‍ය වර්ග දෙක අතර වෙනසක් තිබේද?	வேறுபாடு; வேறுபடுத்து	இந்த இரண்டு பொருட்களுக்கிடையில் என்ன வேறுபாடு உள்ளது?
取	निकाल्नु; लिनु	म बैंकमा पैसा निकाल्न जाँदैछु.	ගන්නවා; ඉවත් කරනවා	මම බැංකුවට මුදල් ගන්න යමි.	எடு; பணம் எடு	நான் வங்கிக்கு பணம் எடுக்க செல்கிறேன்.
全部	सबै; सम्पूर्ण	सङ्गीत नै मेरो सबै कुरा हो.	සියල්ල; මුළුමනින්ම	සංගීතයම මගේ සියල්ලයි.	அனைத்தும்	இசையே எனக்கு அனைத்தும்.
缺点	कमजोरी; दोष	मानिसले आफ्ना कमजोरीलाई अरूका गुणसँग तुलना गर्नु हुँदैन.	අඩුපාඩුව; දුර්වලකම	මිනිසා තම අඩුපාඩු අන් අයගේ ගුණාංග සමඟ සසඳන්නට නොයුතුය.	குறை; பலவீனம்	ஒருவர் தன் குறைகளை மற்றவர்களின் சிறப்புகளுடன் ஒப்பிடக் கூடாது.
缺少	अभाव हुनु; कम हुनु	के अझै कमी छ हेर्नू, म अहिले नै किन्न जान्छु.	අඩු වීම; නොමැති වීම	තව මොනවා අඩුද බලන්න, මම දැන්ම මිලදී ගන්න යමි.	குறைவு; இல்லாமல் இரு	இன்னும் என்ன குறைவாக உள்ளது பாருங்கள், நான் இப்போது வாங்கச் செல்கிறேன்.
却	तर; तैपनि	मसँग भन्न धेरै कुरा छ, तर नर्भस हुँदा बोल्न सकिनँ.	නමුත්; එහෙත්	මට කියන්න බොහෝ දේ තිබුණත්, කලබල වූ විට කියාගන්න බැරි විය.	ஆனால்; இருப்பினும்	எனக்கு சொல்ல பல விஷயங்கள் இருந்தாலும் பதற்றமாகியதும் சொல்ல முடியவில்லை.
确实	साँच्चै; वास्तवमै	यो उपाय साँच्चै राम्रो छ.	ඇත්තටම; නිසැකව	මෙම ක්‍රමය ඇත්තටම හොඳයි.	உண்மையில்; நிச்சயமாக	இந்த முறையே உண்மையில் நல்லது.
然而	तर; यद्यपि	मैले यो किताब पढ्न धेरै समय खर्चें, तर अझै सकेको छैन.	එහෙත්; නමුත්	මම මෙම පොත කියවීමට බොහෝ කාලයක් ගත කළත්, තවම අවසන් කර නැත.	ஆனால்; எனினும்	இந்தப் புத்தகத்தைப் படிக்க நான் நிறைய நேரம் செலவிட்டேன், ஆனால் இன்னும் முடிக்கவில்லை.
热闹	रमाइलो र चहलपहल भएको	सडक धेरै चहलपहलयुक्त छ.	කාර්යබහුල හා ජීවන්ත	ප්‍රධාන වීදිය ඉතා ජීවන්තය.	கலகலப்பான	தெரு மிகவும் கலகலப்பாக உள்ளது.
任何	कुनै पनि	आमाले मलाई अरू कसैभन्दा बढी बुझ्नुहुन्छ.	ඕනෑම; කිසිවෙකු	අම්මා මාව ඕනෑම කෙනෙකුට වඩා හොඳින් තේරුම් ගනී.	எந்த; யாரும்	அம்மா என்னை யாரையும் விட நன்றாகப் புரிந்துகொள்கிறார்.
任务	काम; जिम्मेवारी	कामको असी प्रतिशत पूरा भएको छ.	කාර්යය; මෙහෙයුම	කාර්යයෙන් සියයට අසූවක් අවසන් වී ඇත.	பணி	பணியின் எண்பது சதவீதம் முடிந்துவிட்டது.
扔	फाल्नु	कृपया फोहोर फोहोर फाल्ने डब्बामा फाल्नुहोस्.	විසි කරනවා	කරුණාකර කුණු කුණු බඳුනට විසි කරන්න.	எறி; தூக்கி எறி	தயவுசெய்து குப்பையை குப்பைத்தொட்டியில் எறியுங்கள்.
仍然	अझै; अझै पनि	आज अझै पनि राम्रो मौसम छ.	තවමත්	අද තවමත් හොඳ කාලගුණයකි.	இன்னும்	இன்றும் இன்னும் நல்ல வானிலைதான்.
日记	डायरी	छोरीले हरेक दिन डायरी लेख्ने बानी विकास गरेकी छ.	දිනපොත	දියණිය දිනපතා දිනපොත ලිවීමේ පුරුද්ද ඇති කරගෙන ඇත.	நாட்குறிப்பு	மகள் தினமும் நாட்குறிப்பு எழுதும் பழக்கத்தை வளர்த்துள்ளார்.
入口	प्रवेशद्वार	म भवनको प्रवेशद्वारमा तिमीलाई पर्खिरहेको छु.	ඇතුල්වීමේ දොරටුව	මම ගොඩනැගිල්ලේ ඇතුල්වීමේ දොරටුවේ ඔබව බලා සිටිමි.	நுழைவாயில்	நான் கட்டிடத்தின் நுழைவாயிலில் உன்னை காத்திருக்கிறேன்.
散步	हिँडडुल गर्नु; टहल्नु	हिँडडुल गर्दा सानो कुकुर सधैं मेरो पछाडि लागिरह्यो.	ඇවිදින්න යනවා	ඇවිදිද්දී කුඩා බල්ලා දිගටම මා පසුපස ආවේය.	நடைபோடு	நடந்து கொண்டிருந்தபோது குட்டி நாய் எப்போதும் என் பின்னால் வந்தது.
森林	जङ्गल; वन	यो जङ्गल धेरै ठूलो छ.	වනාන්තරය	මෙම වනාන්තරය ඉතා විශාලය.	காடு	இந்தக் காடு மிகவும் பெரியது.
沙发	सोफा	कृपया सोफामा केही बेर बस्नुहोस्, म तपाईंलाई एक कप चिया खन्याइदिन्छु.	සෝෆාව	කරුණාකර සෝෆාවේ ටික වේලාවක් වාඩිවන්න, මම ඔබට තේ කෝප්පයක් වත් කර දෙන්නම්.	சோபா	தயவுசெய்து சோபாவில் சிறிது நேரம் உட்காருங்கள், நான் உங்களுக்கு ஒரு கோப்பை தேநீர் ஊற்றித் தருகிறேன்.
伤心	दुःखी हुनु	यो खबर सुनेपछि म धेरै दुःखी भएँ.	දුක් වෙනවා	මෙම පුවත අසා මම ඉතා දුක් වුණෙමි.	வருந்து; மனம் உடை	இந்த செய்தியை கேட்ட பிறகு நான் மிகவும் வருந்தினேன்.
商量	सल्लाह गर्नु; छलफल गर्नु	तिमी ठीक समयमा आयौ, हामी सल्लाह गरौं.	සාකච්ඡා කරනවා	ඔබ හරියටම ආවා, අපි ටිකක් සාකච්ඡා කරමු.	ஆலோசனை செய்; விவாதி	நீ சரியான நேரத்தில் வந்தாய், நாம் ஆலோசிப்போம்.
稍微	अलिकति	अलिकति लापरवाह भए पनि गल्ती हुन सक्छ.	ටිකක්	ටිකක් නොසැලකිලිමත් වූවත් වැරදි සිදුවිය හැක.	சிறிது	சிறிது கவனக்குறைவு இருந்தாலும் தவறு ஏற்படலாம்.
勺子	चम्चा	माफ गर्नुहोस्, मैले चम्चा भुइँमा खसालें.	හැන්ද	සමාවෙන්න, මම හැන්ද බිමට වැටුවෙමි.	கரண்டி	மன்னிக்கவும், நான் கரண்டியை தரையில் போட்டுவிட்டேன்.
社会	समाज	यी सामाजिक समस्याबारे सबै धेरै चिन्तित छन्.	සමාජය	මෙම සමාජ ගැටලු ගැන හැමෝම ඉතා සැලකිලිමත්ය.	சமூகம்	இந்த சமூகப் பிரச்சினைகள் குறித்து அனைவரும் கவலைப்படுகிறார்கள்.
深	गहिरो	हामीबीच गहिरो मित्रता छ.	ගැඹුරු	අප අතර ඉතා ගැඹුරු මිත්‍රත්වයක් ඇත.	ஆழமான	எங்களுக்கிடையில் ஆழமான நட்பு உள்ளது.
申请	आवेदन दिनु; आवेदन	मैले बैंकमा क्रेडिट कार्डका लागि आवेदन दिएँ.	අයදුම් කරනවා; අයදුම්පත	මම බැංකුවට ණය කාඩ්පතක් සඳහා අයදුම් කළෙමි.	விண்ணப்பி; விண்ணப்பம்	நான் வங்கியில் கடன் அட்டைக்காக விண்ணப்பித்தேன்.
甚至	यहाँसम्म कि; समेत	सबैले धेरै रमाइलो गरे, यहाँसम्म कि समय पनि बिर्सिए.	පවා; ඒ තරම්	හැමෝම ඉතා සතුටින් විනෝද වූ අතර කාලය පවා අමතක විය.	கூட; அதுவரை	எல்லோரும் மிகவும் மகிழ்ச்சியாக விளையாடி நேரத்தையும் கூட மறந்துவிட்டனர்.
生活	जीवन; बाँच्नु	जीवनमा सधैं केही चिन्ता भेटिन्छन्.	ජීවිතය; ජීවත් වෙනවා	ජීවිතයේ නිතරම කිසියම් කරදර හමු වේ.	வாழ்க்கை; வாழ்	வாழ்க்கையில் எப்போதும் சில கவலைகள் வரும்.
生命	जीवन	उसले कलालाई आफ्नै जीवनभन्दा बढी महत्त्वपूर्ण ठान्यो.	ජීවිතය	ඔහු කලාව තම ජීවිතයටත් වඩා වැදගත් ලෙස සැලකුවේය.	உயிர்; வாழ்க்கை	அவன் கலைையை தன் உயிரைவிட முக்கியமானதாகக் கருதினான்.
生意	व्यवसाय	उसको व्यवसाय झन् झन् ठूलो हुँदैछ.	ව්‍යාපාරය	ඔහුගේ ව්‍යාපාරය වඩ වඩාත් විශාල වෙමින් පවතී.	வணிகம்	அவனுடைய வணிகம் மேலும் மேலும் பெரிதாகிறது.
省	प्रदेश; प्रान्त	म शानदोङ प्रान्तबाट आएको हुँ.	පළාත	මම ෂැන්ඩොං පළාතෙන් පැමිණෙමි.	மாகாணம்	நான் ஷான்டோங் மாகாணத்திலிருந்து வருகிறேன்.
剩	बाँकी रहनु	अब दुईवटा स्याउ मात्र बाँकी छन्.	ඉතිරි වෙනවා	දැන් ඇපල් දෙකක් පමණක් ඉතිරි වී ඇත.	மீதமிரு	இரண்டு ஆப்பிள்கள் மட்டுமே மீதமுள்ளது.
失败	असफलता; असफल हुनु	धेरै असफलता भोगे पनि म कहिल्यै हार मान्दिनँ.	අසාර්ථකත්වය; අසාර්ථක වෙනවා	බොහෝ අසාර්ථකතා අත්විඳ තිබුණත්, මම කිසිදා අත් නොහරිමි.	தோல்வி; தோல்வியடை	பல தோல்விகளை அனுபவித்தாலும் நான் ஒருபோதும் கைவிடமாட்டேன்.
失望	निराश हुनु	म ऊसँग धेरै निराश छु.	නිරාශ වෙනවා	මම ඔහු ගැන ඉතා නිරාශ වී සිටිමි.	ஏமாற்றமடை	அவனைப் பற்றி நான் மிகவும் ஏமாற்றமடைந்துள்ளேன்.
师傅	गुरु; उस्ताद	गुरुजी, कृपया सिनेमाघर कसरी जाने?	ගුරුතුමා; දක්ෂ කාර්මිකයා	ගුරුතුමනි, කරුණාකර සිනමාහලට යන්නේ කොහොමද?	ஆசான்; ஐயா	ஐயா, திரையரங்கிற்கு எப்படி செல்ல வேண்டும்?
十分	धेरै; अत्यन्त	उनी काम गर्दा अत्यन्त सावधान हुन्छिन्.	ඉතා; අතිශයින්	ඇය වැඩ කරන විට ඉතා පරිස්සම්ය.	மிகவும்	அவள் வேலை செய்வதில் மிகவும் கவனமாக இருக்கிறாள்.
实际	वास्तविक; व्यावहारिक	उसले यो समस्या बुझाउन एउटा व्यावहारिक उदाहरण प्रयोग गर्यो.	ප්‍රායෝගික; සැබෑ	ඔහු මෙම ගැටලුව පැහැදිලි කිරීමට ප්‍රායෝගික උදාහරණයක් භාවිත කළේය.	நடைமுறை; உண்மையான	இந்தப் பிரச்சினையை விளக்க அவன் ஒரு நடைமுறை உதாரணத்தைப் பயன்படுத்தினான்.
实在	साँच्चै; वास्तवमै	म साँच्चै धेरै थाकेको छु.	ඇත්තටම	මම ඇත්තටම ඉතා වෙහෙසට පත්ව සිටිමි.	உண்மையில்	நான் உண்மையில் மிகவும் சோர்ந்துவிட்டேன்.
使	बनाउनु; गराउनु	उसका शब्दहरूले मलाई धेरै भावुक बनाए.	කරවන්න; ඇති කරනවා	ඔහුගේ වචන මාව ඉතා හැඟීම්බර කළේය.	ஆக்கு; ஏற்படுத்து	அவனுடைய வார்த்தைகள் என்னை மிகவும் உணர்ச்சி வசப்படுத்தின.
使用	प्रयोग गर्नु	चिनियाँहरू सामान्यतया खाना खान चपस्टिक प्रयोग गर्छन्.	භාවිත කරනවා	චීන ජනතාව සාමාන්‍යයෙන් කෑම කන්න කූරු භාවිත කරති.	பயன்படுத்து	சீனர்கள் பொதுவாக சாப்பிட குச்சிகளைப் பயன்படுத்துகிறார்கள்.
世纪	शताब्दी	अहिले एक्काइसौँ शताब्दी हो.	සියවස	දැන් විසි එක්වන සියවසයි.	நூற்றாண்டு	இப்போது இருபத்தொன்றாம் நூற்றாண்டு.
是否	कि होइन; हो कि होइन	ऊ आउन सक्छ कि सक्दैन, मलाई अझै स्पष्ट छैन.	යන්න; දැයි	ඔහුට පැමිණිය හැකිදැයි මට තවම පැහැදිලි නැත.	என்பதா; இல்லையா	அவன் வர முடியுமா இல்லையா எனக்கு இன்னும் தெளிவில்லை.
适合	सुहाउनु; उपयुक्त हुनु	हरियो लुगा मलाई खासै सुहाउँदैन.	ගැළපෙනවා; සුදුසුයි	කොළ පාට ඇඳුම් මට එතරම් ගැළපෙන්නේ නැත.	பொருந்து; ஏற்றதாக இரு	பச்சை நிற ஆடைகள் எனக்கு அதிகமாகப் பொருந்தாது.
适应	अनुकूल हुनु	के तिमी उत्तरको हावापानीमा अनुकूल हुन सक्छौ?	අනුවර්තනය වෙනවා	ඔබට උතුරු ප්‍රදේශයේ දේශගුණයට අනුවර්තනය විය හැකිද?	தழுவிக் கொள்	வடக்குப் பகுதியின் காலநிலைக்கு நீ தழுவிக் கொள்ள முடியுமா?
收	प्राप्त गर्नु; सङ्कलन गर्नु	मैले तिम्रो चिठी पाएँ.	ලැබෙනවා; එකතු කරනවා	මට ඔබේ ලිපිය ලැබුණි.	பெறு; சேகரி	உன் கடிதம் எனக்கு கிடைத்தது.
收入	आम्दानी	उसको आम्दानी पहिलेभन्दा बढेको छ.	ආදායම	ඔහුගේ ආදායම පෙරට වඩා වැඩි වී ඇත.	வருமானம்	அவனுடைய வருமானம் முன்பைவிட உயர்ந்துள்ளது.
收拾	मिलाउनु; प्याक गर्नु	म सामान मिलाउँदै छु.	පිළිවෙලට කරනවා; ඇසුරුම් කරනවා	මම ගමන් බඩු ඇසුරුම් කරමින් සිටිමි.	ஒழுங்குபடுத்து; பொதியிடு	நான் பயணப் பொருட்களை பொதியிடுகிறேன்.
首都	राजधानी	चीनको राजधानी बेइजिङ हो.	අගනුවර	චීනයේ අගනුවර බෙයිජිංය.	தலைநகர்	சீனாவின் தலைநகர் பெய்ஜிங்.
首先	सबैभन्दा पहिले	सबैभन्दा पहिले राम्ररी आराम गर्नुपर्छ, त्यसपछि मात्र राम्रोसँग काम गर्न सकिन्छ.	පළමුව	පළමුව හොඳින් විවේක ගත යුතුය, පසුව හොඳින් වැඩ කළ හැක.	முதலில்	முதலில் நன்றாக ஓய்வு எடுக்க வேண்டும், பின்னர் நன்றாக வேலை செய்ய முடியும்.
受不了	सहन नसक्नु	मौसम धेरै तातो छ, म सहन सक्दिनँ.	ඉවසන්න බැරි	කාලගුණය ඉතා උණුසුම්ය, මට ඉවසිය නොහැක.	தாங்க முடியாது	வானிலை மிகவும் சூடாக உள்ளது, எனக்கு தாங்க முடியவில்லை.
受到	प्राप्त गर्नु; भोग्नु	उसको उपन्यास पाठकहरूबाट राम्रो स्वागत पायो.	ලැබෙනවා; භාජනය වෙනවා	ඔහුගේ නවකතාව පාඨකයන්ගෙන් හොඳ පිළිගැනීමක් ලැබීය.	பெறு; உட்படு	அவனுடைய நாவல் வாசகர்களால் நன்றாக வரவேற்கப்பட்டது.
售货员	बिक्री कर्मचारी	म व्यापारिक केन्द्रमा बिक्री कर्मचारीको रूपमा काम गर्छु.	විකුණුම් සේවකයා	මම වෙළඳ මධ්‍යස්ථානයේ විකුණුම් සේවකයෙකු ලෙස වැඩ කරමි.	விற்பனையாளர்	நான் வணிக வளாகத்தில் விற்பனையாளராக வேலை செய்கிறேன்.
输	हार्नु	यस प्रतियोगितामा हामी हार्‍यौं.	පරාජය වෙනවා	මෙම තරගයෙන් අපි පරාජය වුණෙමු.	தோல்	இந்த போட்டியில் நாம் தோற்றோம்.
熟悉	परिचित हुनु; राम्रोसँग जान्नु	म उनीहरू सबैसँग धेरै परिचित छु.	හොඳින් දන්නවා; හුරුපුරුදු	මම ඔවුන් සියලු දෙනා සමඟ ඉතා හුරුපුරුදුය.	நன்கு அறி; பழக்கம் இரு	அவர்களையெல்லாம் நான் நன்றாக அறிவேன்.
数量	मात्रा; संख्या	दर्ता गर्ने मानिसहरूको संख्या धेरै छ.	ප්‍රමාණය; සංඛ්‍යාව	ලියාපදිංචි වන පුද්ගලයන්ගේ සංඛ්‍යාව විශාලය.	அளவு; எண்ணிக்கை	பதிவு செய்யும் மக்களின் எண்ணிக்கை அதிகமாக உள்ளது.
数字	अङ्क; संख्या	कृपया अङ्कहरू स्पष्ट लेख्नुहोस्.	ඉලක්කම; අංකය	කරුණාකර අංක පැහැදිලිව ලියන්න.	எண்; இலக்கம்	தயவுசெய்து எண்களை தெளிவாக எழுதுங்கள்.
帅	सुन्दर; आकर्षक	ऊ आज धेरै आकर्षक देखिने गरी लुगा लगाएको छ.	කඩවසම්	ඔහු අද ඉතා කඩවසම් ලෙස ඇඳගෙන ඇත.	அழகான; கம்பீரமான	அவன் இன்று மிகவும் அழகாக உடையணிந்திருக்கிறான்.
顺便	सुविधासँगै; बाटोमा	कामबाट फर्कने बाटोमा मैले सँगसँगै केही तरकारी किनें.	ඒ අතරතුර; පහසුවෙන්	වැඩ අවසන් වී ගෙදර යන අතරතුර මම එළවළු කිහිපයක් මිලදී ගත්තෙමි.	வழியிலேயே; அப்படியே	வேலையிலிருந்து வீடு திரும்பும் வழியில் நான் சில காய்கறிகள் வாங்கினேன்.
顺利	सहज रूपमा; सफलतापूर्वक	प्रतियोगिता धेरै सहज रूपमा चल्यो.	සුමටව; සාර්ථකව	තරගය ඉතා සුමටව පැවැත්වුණි.	சீராக; வெற்றிகரமாக	போட்டி மிகவும் சீராக நடைபெற்றது.
顺序	क्रम	कृपया क्रम गडबड नगर्नुहोस्.	අනුපිළිවෙල	කරුණාකර අනුපිළිවෙල අවුල් නොකරන්න.	வரிசை	தயவுசெய்து வரிசையை குழப்பாதீர்கள்.
说明	व्याख्या गर्नु; स्पष्टीकरण	उसले यो कुराको कारण सबैलाई व्याख्या गर्यो.	විස්තර කරනවා; පැහැදිලි කිරීම	ඔහු මෙම කාරණයේ හේතුව හැමෝටම පැහැදිලි කළේය.	விளக்கு; விளக்கம்	அவன் இந்த விஷயத்தின் காரணத்தை அனைவருக்கும் விளக்கியான்.
硕士	स्नातकोत्तर उपाधि	म विश्वविद्यालयमा स्नातकोत्तर पढ्दै छु.	ශාස්ත්‍රපති උපාධිය	මම විශ්වවිද්‍යාලයේ ශාස්ත්‍රපති උපාධියක් හදාරමි.	முதுகலை பட்டம்	நான் பல்கலைக்கழகத்தில் முதுகலை பட்டம் படிக்கிறேன்.
死	मर्नु; मरेको	यो रूख पहिले नै मरेको छ.	මැරෙනවා; මියගිය	මෙම ගස දැනටමත් මියගොස් ඇත.	இற; இறந்த	இந்த மரம் ஏற்கனவே இறந்துவிட்டது.
塑料袋	प्लास्टिकको झोला	वातावरण जोगाउन कृपया प्लास्टिकको झोला प्रयोग नगर्नुहोस्.	ප්ලාස්ටික් බෑගය	පරිසරය ආරක්ෂා කිරීමට කරුණාකර ප්ලාස්ටික් බෑග් භාවිත නොකරන්න.	பிளாஸ்டிக் பை	சுற்றுச்சூழலை பாதுகாக்க பிளாஸ்டிக் பைகளைப் பயன்படுத்தாதீர்கள்.
速度	गति	उसको दौडने गति साँच्चै छिटो छ!	වේගය	ඔහු දුවන වේගය ඇත්තටම ඉක්මන්ය!	வேகம்	அவன் ஓடும் வேகம் உண்மையிலேயே வேகமாக இருக்கிறது!
酸	अमिलो	तिमीले किनेका अङ्गुर अलि अमिला छन्.	ඇඹුල්	ඔබ මිලදී ගත් මිදි ටිකක් ඇඹුල්ය.	புளிப்பு	நீ வாங்கிய திராட்சை கொஞ்சம் புளிப்பாக உள்ளது.
随便	मन लागेअनुसार; जथाभावी	सबैजना मन लागेको ठाउँमा बस्नुहोस्.	කැමති ලෙස; අහඹු ලෙස	හැමෝම කැමති තැන වාඩිවන්න.	விருப்பப்படி; சுதந்திரமாக	அனைவரும் விருப்பப்படி உட்காருங்கள்.
随着	सँगसँगै; हुँदै जाँदा	अर्थतन्त्रको विकाससँगै मानिसहरूको जीवनमा ठूलो सुधार भएको छ.	සමඟ; අනුව	ආර්ථිකයේ සංවර්ධනය සමඟ මිනිසුන්ගේ ජීවිත බොහෝ දුරට වැඩිදියුණු වී ඇත.	உடன்; ஆக ஆக	பொருளாதார வளர்ச்சியுடன் மக்களின் வாழ்க்கை பெரிதும் மேம்பட்டுள்ளது.
孙子	नाति	हजुरबुबा आफ्नो नातिलाई धेरै मन पराउनुहुन्छ.	මුණුබුරා	සීයා තම මුණුබුරාට ඉතා කැමතියි.	பேரன்	தாத்தா தனது பேரனை மிகவும் நேசிக்கிறார்.
所有	सबै	सबैले ऊ गलत छ भनेर सोचे.	සියලු; හැම	හැමෝම ඔහු වැරදියි කියා සිතුවේය.	அனைத்து; எல்லா	அனைவரும் அவன்தான் தவறு என்று நினைத்தனர்.
台	यन्त्रका लागि वर्गवाचक	यो कम्प्युटर नयाँ किनेको हो.	යන්ත්‍ර සඳහා මිනුම් වචනය	මෙම පරිගණකය අලුතින් මිලදී ගත් එකකි.	இயந்திரங்களுக்கு அளவுச்சொல்	இந்த கணினி புதிதாக வாங்கப்பட்டது.
抬	उठाउनु; बोकेर लैजानु	उनीहरूले डेस्क कक्षाकोठामा बोकेर लगे.	ඔසවනවා; රැගෙන යනවා	ඔවුන් මේසය පන්තිකාමරයට රැගෙන ගියහ.	தூக்கு; சுமந்து செல்	அவர்கள் மேசையை வகுப்பறைக்குள் தூக்கிச் சென்றார்கள்.
态度	रवैया; व्यवहार	सेवा कर्मचारीको ग्राहकप्रतिको व्यवहार धेरै राम्रो छ.	ආකල්පය; හැසිරීම	සේවකයාගේ පාරිභෝගිකයන්ට ඇති ආකල්පය ඉතා හොඳයි.	அணுகுமுறை; நடத்தை	சேவை ஊழியரின் வாடிக்கையாளர்களிடமான அணுகுமுறை மிகவும் நல்லது.
