simplified	HR	example_HR
问候	pozdraviti	Molim te, pozdravi svoju obitelj u moje ime.
卧室	spavaća soba	U spavaćoj sobi je velik krevet.
握手	rukovati se	Pri susretu su se rukovali.
屋子	soba; kuća	U sobi je toplo.
无奈	bespomoćan	Bespomoćno je odmahnuo glavom.
无数	bezbroj	Na noćnom nebu ima bezbroj zvijezda.
无所谓	nije važno	Nije važno što želiš jesti.
武术	borilačke vještine	On od djetinjstva uči borilačke vještine.
勿	nemoj	Molim vas, nemojte ovdje pušiti.
物理	fizika	Sat fizike vrlo je zanimljiv.
物质	tvar; materija	Voda je važna tvar.
雾	magla	Ujutro je bila gusta magla.
吸取	izvući; usvojiti	Moramo izvući pouku iz ovoga.
吸收	upiti; apsorbirati	Biljke upijaju vodu.
戏剧	drama; kazalište	On voli gledati tradicionalne drame.
系	odsjek; veza	Ona studira na Odsjeku za kineski.
系统	sustav	Ovaj sustav radi stabilno.
细节	detalj	Molim te, obrati pozornost na ove detalje.
瞎	naslijepo; slijepo	Nemoj pogađati naslijepo, najprije pogledaj materijale.
下载	preuzeti	Preuzeo sam ovaj softver.
吓	preplašiti	Nagli zvuk me preplašio.
夏令营	ljetni kamp	Dijete je sudjelovalo u ljetnom kampu za kineski.
鲜艳	živih boja	Boja ove suknje vrlo je živa.
显得	izgledati	Ova odjeća čini da izgleda vrlo mlado.
显然	očito	Očito je već znao rezultat.
显示	prikazati	Zaslon prikazuje pogrešno vrijeme.
县	okrug	U ovom okrugu ima mnogo plantaža čaja.
现代	moderan	Moderni život ne može bez interneta.
现实	stvarnost	Moramo se suočiti sa stvarnošću.
现象	pojava	Ova je pojava vrlo česta.
限制	ograničiti	Ovdje je ograničen ulazak vozila.
相处	slagati se	Oni se vrlo dobro slažu.
相当	prilično	Ova je knjiga prilično zanimljiva.
相对	relativno	Cijene su ovdje relativno niske.
相关	povezan; relevantan	Molim vas, dostavite relevantne materijale.
相似	sličan	Značenja ova dva znaka vrlo su slična.
香肠	kobasica	Za doručak ima jaja i kobasice.
享受	uživati	Oni uživaju u odmoru.
想念	nedostajati	Jako mi nedostaje obitelj.
想象	zamisliti	Ne mogu zamisliti takav život.
象棋	kineski šah	Djed voli igrati kineski šah.
象征	simbolizirati	Bijela boja često simbolizira čistoću.
项	stavka; klasifikator za zadatke	Ovaj je zadatak vrlo važan.
项链	ogrlica	Ona nosi srebrnu ogrlicu.
项目	projekt	Ovaj projekt zahtijeva tri mjeseca.
消费	potrošnja	Tijekom blagdana potrošnja se povećala.
消化	probava	Šetnja nakon jela pomaže probavi.
消极	negativan	Nemoj gledati na problem negativnim stavom.
消失	nestati	Sunce je polako nestalo iza planine.
销售	prodavati; prodaja	Ova tvrtka prodaje elektroničke proizvode.
小麦	pšenica	Na sjeveru se sadi mnogo pšenice.
小气	škrt	Nemoj biti tako škrt.
孝顺	brižan prema roditeljima	On je vrlo brižan prema roditeljima.
效率	učinkovitost	Ovako se može povećati učinkovitost.
歇	odmoriti se	Hajdemo se najprije malo odmoriti.
斜	nagnut	Ova je cesta malo nagnuta.
写作	pisanje	Pisanje zahtijeva dugotrajnu vježbu.
心理	psihički; psihologija	Prije ispita treba prilagoditi psihičko stanje.
心脏	srce	Zdravlje srca iznimno je važno.
欣赏	diviti se; uživati	Divili smo se lijepom krajoliku.
信号	signal	Signal mobitela ovdje je loš.
信任	povjerenje	Među prijateljima je potrebno povjerenje.
形成	oblikovati se	Dobre se navike trebaju postupno oblikovati.
形容	opisati	Ne znam kako opisati taj osjećaj.
形势	situacija	Trenutačna je situacija prilično složena.
形式	oblik	Sastanak može biti održan u online obliku.
形象	imidž; slika	Njegov javni imidž vrlo je dobar.
形状	oblik	Oblik ove kutije vrlo je poseban.
行动	djelovati; akcija	Moramo odmah djelovati.
行人	pješak	Pri prelasku ceste treba paziti na pješake.
行为	ponašanje	Ovakvo ponašanje nije pristojno.
幸亏	srećom	Srećom, podsjetio si me.
幸运	sretan; sreća	Imao je sreće i pronašao posao.
性质	narav; priroda	Narav ovog problema vrlo je ozbiljna.
兄弟	braća	Ta dva brata imaju dobar odnos.
胸	prsa	Osjeća malu stegnutost u prsima.
休闲	odmor; slobodno vrijeme	Vikend je dobro vrijeme za odmor.
修改	izmijeniti; urediti	Molim te, uredi ovaj članak.
虚心	otvoren za savjete; skroman	Moramo otvoreno saslušati mišljenja.
叙述	ispričati; opisati	Jasno je opisao što se dogodilo.
宣布	objaviti	Škola je objavila nova pravila.
宣传	promicati; širiti	Oni promiču znanje o zaštiti okoliša.
学历	stupanj obrazovanja	Za ovaj je posao potrebna preddiplomska stručna sprema.
学术	akademski; znanstveni	Na ovom se sastanku raspravlja o akademskim pitanjima.
学问	znanje; učenost	On je vrlo učen.
血	krv	Iz ruke mu je poteklo malo krvi.
寻找	tražiti	Tražimo novu metodu.
询问	pitati; raspitati se	Pitao je učitelja za vrijeme ispita.
训练	trenirati; trening	Sportaš trenira svaki dan.
迅速	brz	Vijest se brzo proširila.
押金	polog; depozit	Za najam stana treba platiti polog.
牙齿	zubi	Molim te, svakodnevno dobro brini o zubima.
严肃	ozbiljan	Izraz učiteljeva lica bio je vrlo ozbiljan.
延长	produljiti	Sastanak je produljen za pola sata.
演讲	govor; predavanje	On priprema sutrašnji govor.
宴会	banket; svečana večera	Sudjelovali su na banketu.
阳台	balkon	Na balkonu stoji nekoliko tegli cvijeća.
痒	svrbjeti	Ruka me malo svrbi.
样式	stil; model	Ovaj je stil vrlo popularan.
腰	struk; donji dio leđa	Ako dugo sjediš, mogu te boljeti leđa.
摇	tresti; njihati	Vjetar je njihao grane amo-tamo.
咬	ugristi	Ovaj pas ne grize ljude.
要不	ili; što ako	Što ako odemo ponovno sutra?
业务	poslovanje; djelatnost	Poslovanje tvrtke sve više raste.
业余	slobodno vrijeme	On u slobodno vrijeme uči fotografiju.
夜	noć	Ulica je noću vrlo tiha.
依然	i dalje; još uvijek	On i dalje živi u Pekingu.
一辈子	cijeli život	Ona je cijeli život voljela glazbu.
一旦	jednom kad	Jednom kad odlučiš, treba ustrajati.
一律	svi bez iznimke	Tijekom sastanka svi mobiteli moraju biti isključeni.
一再	više puta	Više nas je puta podsjetio da pazimo na sigurnost.
一致	suglasan; jednak	Mišljenja svih potpuno su suglasna.
疑问	pitanje; nedoumica	Imam pitanje o ovom odgovoru.
移动	pomaknuti	Molim te, malo pomakni stol.
移民	imigrirati	Planiraju se preseliti u inozemstvo.
遗憾	žaliti; žaljenje	Žao mi je što te nisam mogao vidjeti.
乙	strana B; drugi	U ugovoru je strana B odgovorna za plaćanje.
以及	kao i	Kupio sam knjige kao i školski pribor.
以来	otkad; od	Otkad je diplomirao, stalno radi u Pekingu.
义务	dužnost; obveza	Zaštita okoliša dužnost je svakoga.
亿	sto milijuna	Ova zemlja ima više od milijardu stanovnika.
意外	neočekivan; nezgoda	Ovo kašnjenje bilo je potpuno neočekivano.
意义	značenje; smisao	Ova je aktivnost vrlo smislena.
议论	raspravljati	Svi raspravljaju o ovoj stvari.
因而	stoga; zato	On marljivo uči, zato ima dobre ocjene.
因素	čimbenik	Vrijeme je važan čimbenik.
银	srebro; srebrn	Ona nosi srebrnu narukvicu.
印刷	tisak; tiskati	Ova je knjiga vrlo jasno otisnuta.
英俊	zgodan	On je vrlo zgodan.
英雄	junak; heroj	Vatrogasci su pravi junaci.
营养	prehrana; hranjive tvari	Doručak treba imati dovoljno hranjivih tvari.
营业	poslovati; biti otvoren	Ova trgovina počinje raditi u devet sati.
迎接	dočekati	Otišli smo u zračnu luku dočekati goste.
影子	sjena	Pod uličnom svjetiljkom vidi se njegova sjena.
应付	nositi se s	On se može nositi s ovim problemom.
应用	primijeniti	Ova se metoda može primijeniti u nastavi.
硬	tvrd	Ova je stolica pretvrda.
硬件	hardver	Ovo računalo ima dobar hardver.
拥抱	zagrliti	Dijete je otrčalo zagrliti mamu.
拥挤	gužva; prenapučen	Podzemna željeznica u jutarnjoj špici vrlo je puna.
勇气	hrabrost	Ima hrabrosti priznati pogrešku.
用功	marljivo učiti	Ona vrlo marljivo uči.
用途	upotreba	Ovaj materijal ima široku upotrebu.
优惠	popust	Ova trgovina danas ima popust.
优美	lijep; elegantan	Okoliš je ovdje vrlo lijep.
优势	prednost	Njegova je prednost bogato iskustvo.
悠久	dug; drevan	Kina ima dugu povijest.
油炸	pržiti u ulju	Rijetko jedem prženu hranu.
游览	razgledati	Sutra ćemo razgledati Zabranjeni grad.
犹豫	oklijevati	Oklijevao je neko vrijeme prije nego što je odgovorio.
有利	povoljan	Ovaj je uvjet povoljan za nas.
幼儿园	dječji vrtić	Dijete će sljedeće godine ići u vrtić.
娱乐	zabava	Gledanje filmova vrsta je zabave.
与其	radije nego	Radije djeluj nego da se žališ.
语气	ton	Njegov ton govora vrlo je blag.
玉米	kukuruz	Za večeru je juha od kukuruza.
预报	prognoza	Vremenska prognoza kaže da će sutra biti kiše.
预订	rezervirati	Već sam rezervirao hotel.
预防	spriječiti	Često pranje ruku može spriječiti prehladu.
元旦	Nova godina	Na Novu godinu imamo jedan slobodan dan.
原料	sirovina	Glavna sirovina za kruh je brašno.
原则	načelo	Čovjek treba imati načela.
员工	zaposlenik	Tvrtka ima tristo zaposlenika.
圆	okrugao	Mjesec je velik i okrugao.
愿望	želja	Njegova je želja proputovati svijet.
乐器	glazbeni instrument	Ona zna svirati nekoliko glazbenih instrumenata.
晕	vrtjeti se; omamljen	Na brodu mi se malo vrti.
运气	sreća	Danas imam dobru sreću.
运输	prijevoz	Ova roba treba željeznički prijevoz.
运用	primijeniti	Molim vas, fleksibilno primijenite ove riječi.
灾害	katastrofa; nepogoda	Poplava je vrsta prirodne nepogode.
再三	više puta	Učitelj nas je više puta podsjetio da ponovimo gradivo.
在乎	mariti; biti stalo	Jako mu je stalo do mišljenja prijatelja.
在于	ležati u	Uspjeh leži u ustrajnosti.
赞成	slagati se	Slažem se s tvojim prijedlogom.
赞美	hvaliti	Svi su hvalili njezinu hrabrost.
糟糕	loš; grozan	Vrijeme je danas stvarno grozno.
造成	uzrokovati	Jaka kiša uzrokovala je prometnu gužvu.
则	onda; tada	Ako se trudiš, tada će biti napretka.
责备	kriviti; ukoriti	Učitelj ga nije ukorio.
摘	ubrati	U vrtu je ubrala jedan cvijet.
窄	uzak	Ova je cesta preuska.
粘贴	zalijepiti	Molim te, zalijepi fotografiju ovdje.
展开	započeti; razviti se	Rasprava je brzo započela.
展览	izložba	Muzej ima novu izložbu.
占	zauzimati	Ovaj stol zauzima prostor.
战争	rat	Rat narodu donosi patnju.
掌握	savladati	On je već savladao osnovnu gramatiku.
涨	porasti	Najamnina je nedavno ponovno porasla.
长辈	stariji članovi obitelji	Tijekom Nove godine treba pozdraviti starije članove obitelji.
账户	račun	Molim te, provjeri svoj bankovni račun.
招待	ugostiti; primiti	Domaćin je srdačno primio goste.
着火	zapaliti se	Kuhinja se iznenada zapalila.
着凉	prehladiti se	Hladno je, nemoj se prehladiti.
召开	održati sastanak	Škola će sutra održati sastanak.
照常	kao obično	Trgovina će sutra raditi kao obično.
哲学	filozofija	Na fakultetu je studirao filozofiju.
珍惜	cijeniti	Moramo cijeniti vrijeme.
真实	stvaran; istinit	Ova je priča istinita.
针对	usmjeren na	Ovaj je prijedlog usmjeren na nove učenike.
诊断	dijagnoza	Liječnik je brzo postavio dijagnozu.
振动	vibracija; vibrirati	Mobitel vibrira na stolu.
阵	nalet; kratko razdoblje	Vani je pao kratak pljusak.
争论	raspravljati; prepirati se	Dugo su raspravljali o ovom pitanju.
争取	boriti se za; nastojati dobiti	Moramo se izboriti za više prilika.
征求	zatražiti; tražiti	Učitelj je zatražio mišljenja svih.
挣	osloboditi se; zaraditi	Ptičica se oslobodila užeta.
睁	otvoriti oči	Molim te, otvori oči malo šire.
整个	cijeli	Cijeli je grad vrlo tih.
整齐	uredan	Knjige su vrlo uredno posložene.
整体	cjelina; ukupni	Moramo razmotriti ukupni učinak.
政府	vlada	Vlada je objavila novu obavijest.
政治	politika	On se jako zanima za politiku.
正	točan; pravilan	Ovaj je odgovor točan.
证件	osobni dokument	Molim vas, pokažite svoj osobni dokument.
证据	dokaz	Policija je pronašla novi dokaz.
支	klasifikator za olovke	Na stolu je jedna olovka.
支票	ček	Platio je čekom.
执照	dozvola; licenca	Za vožnju je potrebna vozačka dozvola.
直	ravno	Ovom cestom idi ravno naprijed.
指导	voditi; usmjeravati	Učitelj nas je vodio u pisanju rada.
指挥	usmjeravati; zapovijedati	On je odgovoran za usmjeravanje ove akcije.
制定	izraditi; formulirati	Tvrtka je izradila novi plan.
制度	sustav	Škola ima strog sustav.
制造	proizvoditi	Ova tvornica proizvodi strojeve.
制作	izrađivati	Ona izrađuje rođendansku tortu.
志愿者	volonter	Mnogi volonteri sudjelovali su u događaju.
智慧	mudrost	Ova starija osoba ima veliku mudrost.
治疗	liječiti	Liječnik liječi pacijenta.
秩序	red	Molim sve da održavaju red.
至今	do danas	Ovaj problem do danas nije riješen.
至于	što se tiče	Što se tiče troškova, razgovarat ćemo sutra.
中介	posrednik; agencija	Stan je unajmio preko agencije.
中心	središte	Bolnica je u središtu grada.
中旬	sredina mjeseca	Sastanak je zakazan za sredinu svibnja.
种类	vrsta	Ovdje ima mnogo vrsta voća.
重大	važan; značajan	Ovo je važna odluka.
重量	težina	Kolika je težina ove kutije?
周到	pažljiv; promišljen	Njegova je usluga vrlo pažljiva.
猪	svinja	Na farmi ima mnogo svinja.
竹子	bambus	Pande vole jesti bambus.
逐步	postupno	Plan će se postupno provoditi.
逐渐	postupno	Vrijeme je postupno zahladnjelo.
主持	voditi; predsjedati	Ona vodi današnji sastanak.
主动	samoinicijativan	On je samoinicijativno pomogao školskom kolegi.
主观	subjektivan	Ova je procjena malo subjektivna.
主人	domaćin; vlasnik	Domaćin nas je srdačno pozdravio.
主任	ravnatelj; voditelj	Voditelj je u uredu.
主题	tema	Tema današnje rasprave je zaštita okoliša.
主席	predsjedavajući	Predsjedavajući je objavio početak sastanka.
主张	zagovarati; stav	On zagovara da se najprije riješi prometni problem.
煮	kuhati	Mama kuha rezance.
注册	registrirati se	Novi se korisnici prvo trebaju registrirati.
祝福	blagoslov; dobre želje	Prijatelji su poslali dobre želje.
抓	zgrabiti	Dijete je zgrabilo maminu ruku.
抓紧	dobro iskoristiti	Moramo dobro iskoristiti vrijeme.
专家	stručnjak	Stručnjak je iznio prijedloge.
专心	pažljivo; usredotočeno	Na satu treba pažljivo slušati.
转变	promjena; promijeniti se	Njegov se stav promijenio.
转告	prenijeti poruku	Molim te, reci mu da je sutra sastanak.
装	staviti; pakirati	Molim te, stavi knjige u torbu.
装饰	ukrasiti	Oni su cvijećem ukrasili sobu.
装修	renovirati	Nova se kuća renovira.
撞	sudariti se	Dva su se automobila sudarila na raskrižju.
状况	stanje	Trenutačno je stanje prilično stabilno.
状态	stanje	On je danas u dobrom stanju.
追	ganjati	Dijete trči za štenetom.
追求	slijediti; težiti	On je uvijek slijedio svoj san.
咨询	savjetovati se	Možeš se savjetovati sa stručnim liječnikom.
姿势	položaj; držanje	Molim te, zadrži pravilan položaj.
资格	kvalifikacija; pravo sudjelovanja	Ima pravo sudjelovati u natjecanju.
资金	sredstva	Projekt treba više sredstava.
资料	materijali; podaci	Molim te, pošalji mi materijale.
资源	resursi	Voda je važan prirodni resurs.
紫	ljubičast	Ona voli ljubičastu boju.
字母	slovo	Engleski ima dvadeset šest slova.
字幕	titl	Ovaj film ima kineske titlove.
自从	otkad	Otkad je diplomirao, rijetko se vraća.
自动	automatski	Ova se vrata automatski otvaraju.
自豪	ponosan	Ponosan sam na svoj napredak.
自觉	samoinicijativno	On je samoinicijativno završio zadaću.
自私	sebičan	Čovjek ne smije biti previše sebičan.
自由	sloboda	Svatko cijeni slobodu.
自愿	dobrovoljan	Oni su dobrovoljno sudjelovali u aktivnosti.
综合	sveobuhvatno razmotriti	Moramo sveobuhvatno razmotriti različite čimbenike.
总裁	glavni direktor	Glavni direktor danas je održao govor.
总共	ukupno	Ovo je putovanje ukupno koštalo tri tisuće juana.
总理	premijer	Premijer je prisustvovao sastanku.
总算	napokon	Problem je napokon riješen.
总统	predsjednik	Predsjednik je održao televizijski govor.
总之	ukratko	Ukratko, moramo završiti na vrijeme.
组	grupa	Učitelj nas je podijelio u tri grupe.
组成	sastojati se od	Voda se sastoji od vodika i kisika.
组合	kombinacija	Ova kombinacija boja lijepo izgleda.
组织	organizirati	Škola je organizirala putovanje.
阻止	spriječiti	Policija je spriječila opasno ponašanje.
最初	isprva	Isprva nisam baš razumio.
醉	pijan	Previše je popio i malo je pijan.
尊敬	poštovati	Svi učenici poštuju učitelja.
遵守	poštovati; pridržavati se	Moramo se pridržavati prometnih pravila.
作品	djelo	Ova je slika njegovo djelo.
作为	kao	Kao učitelj, vrlo je strpljiv.
作文	sastav	Učitelj nas je zamolio da napišemo sastav.
