simplified	DA	example_DA
就近	i nærheden	Elever kan indskrives på en skole i nærheden
就业	beskæftigelse	Regeringen indførte politikker for at fremme beskæftigelsen
就职	tiltræde	Den nye chef tiltræder officielt i næste uge
救济	nødhjælp	Katastrofeofrene fik nødhjælp i tide
居民	en beboer	Beboere i nærheden er imod støjforurening
居住	bo	De har boet her i ti år
拘留	tilbageholde	Politiet tilbageholdt den mistænkte efter loven
拘束	hæmmet	Man behøver ikke føle sig hæmmet foran venner
鞠躬	bukke	Skuespilleren bukkede for publikum som tak
局部	lokal	Lægen gav kun lokalbedøvelse
局面	en situation	Forhandlingerne forbedrede den anspændte situation
局势	en situation	Den internationale situation er stadig kompleks
局限	en begrænsning	Denne metode har tydelige begrænsninger
举动	en handling	Hans handling rørte alle
举世瞩目	vække verdens opmærksomhed	Dette projekt opnåede resultater der vakte verdens opmærksomhed
举足轻重	afgørende	Denne virksomhed spiller en afgørende rolle i branchen
咀嚼	tygge	Man bør tygge langsomt når man spiser
沮丧	frustreret	Han blev meget frustreret efter nederlaget i kampen
剧本	et manuskript	Instruktøren er ved at rette manuskriptet
剧烈	kraftig	Jorden rystede kraftigt
据悉	ifølge meldinger	Ifølge meldinger bliver mødet udsat til næste uge
聚精会神	koncentrere sig	Børnene lyttede koncentreret til undervisningen
卷	rulle sammen	Han rullede kortet sammen og lagde det i tasken
倔强	stædig	Dette barn har en stædig karakter
决策	en beslutning	Ledelsen diskuterer en vigtig beslutning
绝望	fortvivlelse	Efter nederlaget følte han på et tidspunkt fortvivlelse
觉悟	bevidsthed	Denne oplevelse øgede hans bevidsthed
觉醒	vågne	Den offentlige miljøbevidsthed er ved at vågne
军队	hæren	Hæren nåede hurtigt frem til katastrofeområdet
君子	en hæderlig person	En hæderlig person bør handle i overensstemmelse med sine ord
卡通	en tegnefilm	Barnet kan lide at se tegnefilm
开采	udvinde	Denne virksomhed er ansvarlig for at udvinde mineraler
开除	bortvise	Skolen besluttede at bortvise eleven der snød
开阔	vidt	Udsigten er meget vid fra bjergtoppen
开朗	udadvendt	Hun er udadvendt og har mange venner
开明	åbensindet	Forældrenes holdning er meget åbensindet
开辟	åbne	Byen åbnede en ny busrute
开拓	udvide	Virksomheden planlægger at udvide til oversøiske markeder
开展	gennemføre	Skolen gennemførte en aktivitet om sikkerhedsundervisning
开支	udgifter	Familiens månedlige udgifter steg
刊登	udgive	Avisen udgav hans artikel
刊物	en publikation	Denne publikation udkommer en gang om måneden
勘探	undersøge	Ingeniørholdet undersøger underjordiske vandkilder
侃侃而谈	tale selvsikkert	Han talte selvsikkert og længe på mødet
砍伐	fælde	Det er forbudt at fælde skove vilkårligt
看待	se på	Vi bør se objektivt på dette spørgsmål
慷慨	gavmild	Han donerede gavmildt præmiepengene
抗议	protestere	Beboerne protesterede mod opførelsen af den nye fabrik
考察	inspicere	Eksperter tog til stedet for at inspicere miljøet
考古	arkæologi	Arkæologholdet fandt gamle grave
考核	vurdere	Virksomheden vurderer medarbejdernes præstation hvert år
考验	sætte på prøve	Denne krise satte holdets evner på prøve
靠拢	nærme sig	Holdmedlemmerne nærmede sig midten
磕	støde	Han stødte ved et uheld ind i bordhjørnet
科目	et fag	Matematik er hans yndlingsfag
可观	betydelig	Denne investering gav et betydeligt afkast
可口	velsmagende	Maden på denne restaurant er velsmagende
可恶	afskyelig	Denne form for bedrag er virkelig afskyelig
可行	gennemførlig	Denne plan er grundlæggende gennemførlig
渴望	længes efter	Børnene længes efter flere muligheder
克制	kontrollere	Man bør kontrollere sine følelser under en diskussion
刻不容缓	tåler ingen udsættelse	Beskyttelse af vandkilder tåler ingen udsættelse
客户	en kunde	Kunden er meget tilfreds med servicen
课题	et emne	Dette emne er værd at undersøge grundigt
啃	gnave	Barnet gnaver på et stykke majs
恳切	oprigtig	Han bad oprigtigt alle om hjælp
坑	en grube	Der er en dyb grube ved vejen
空洞	indholdsløs	Denne rapport er indholdsløs
空前绝后	uden sidestykke	Denne forestilling kan kaldes uden sidestykke
空想	fantasi	Man kan ikke løse problemer ved kun at stole på fantasi
空虚	tom	Efter travlheden følte han sig tom
孔	et hul	Der er et lille hul i væggen
恐怖	skræmmende	Den film har en skræmmende stemning
恐吓	true	Modparten brugte trusler til at true vidnet
恐惧	frygt	Mørket fik barnet til at føle frygt
空白	et blankt felt	Skriv venligst under i det blanke felt
空隙	en sprække	Der er en sprække mellem døren og gulvet
口气	en tone	Hans tone var meget hård
口腔	mundhulen	Lægen undersøgte hans mundhule
口头	mundtlig	De har kun en mundtlig aftale
口音	en accent	Hans mandarin har en lille accent
扣	spænde	Spænd venligst sikkerhedsselen
哭泣	græde	Pigen gemte sig i hjørnet og græd
枯萎	visne	Vandmangel fik blomsterne til at visne
枯燥	kedelig	Dette arbejde er lidt kedeligt
苦尽甘来	modgang bliver til lykke	Efter mange års vedholdenhed blev modgang endelig til lykke
苦涩	bitter	Denne medicinske te smager bittert
挎	bære over armen	Hun gik ud med en stofpose over armen
跨	træde over	Han trådte over grøften og gik videre
快活	glad	Børnene legede glade på græsset
宽敞	rummelig	Dette klasseværelse er lyst og rummeligt
宽容	tolerance	Samfundet har brug for mere forståelse og tolerance
款待	modtage gæstfrit	Værten modtog gæsterne varmt og gæstfrit
款式	en stil	Denne beklædningsgenstand har en meget ny stil
筐	en kurv	Han bar en kurv æbler hjem
况且	desuden	Vejen er lang og desuden er det ved at blive mørkt
旷课	skulke	Elever der skulker uden grund bliver registreret
框架	en ramme	Rapporten skal først have fastlagt en ramme
矿产	mineraler	Dette område er rigt på mineralressourcer
亏待	behandle uretfærdigt	Virksomheden vil ikke behandle seriøst arbejdende medarbejdere uretfærdigt
亏损	tab	Fabrikken led alvorlige tab i år
捆绑	binde	Bind venligst disse kasser godt fast
扩充	udvide	Skolen planlægger at udvide bibliotekets samling
扩散	sprede sig	Rygtet spredte sig hurtigt på nettet
扩张	udvide	Virksomheden udvider forsigtigt sin forretning
啦	da	Bare rolig da alt bliver bedre
喇叭	et bilhorn	Bilhornet lød pludseligt
蜡烛	et stearinlys	Der stod stearinlys i fødselsdagskagen
来历	oprindelse	Oprindelsen til dette kulturlevn er uklar
来源	en kilde	Nyheder skal angive informationskilden
栏目	en rubrik	Denne rubrik sendes en gang om ugen
懒惰	dovenskab	Dovenskab kan påvirke læringsresultaterne
狼狈	forhutlet	Efter regnen var han gennemblødt og så meget forhutlet ud
狼吞虎咽	sluke maden	Han var udsultet og slugte maden
捞	fiske op	Fiskeren fiskede et net op af floden
唠叨	brokke sig	Moren brokker sig altid over småting
牢固	solid	Denne bros struktur er meget solid
牢骚	klager	Han er fuld af klager men vil ikke ændre sig
乐趣	glæde	Læsning giver hende meget glæde
乐意	gerne	Jeg vil gerne hjælpe dig med at rette dit cv
雷达	radarsystem	Radaren opdagede et fly i det fjerne
类似	lignende	Lignende problemer er også opstået før
冷酷	kold	Hans tone lød meget kold
冷落	forsømt	Den nye medarbejder følte sig forsømt
冷却	køle ned	Maskinen skal køle ned før reparation
愣	stivne	Da han hørte nyheden stivnede han
黎明	daggry	Ved daggry vågnede byen gradvist
理睬	bry sig om	Han var vred og ville ikke bry sig om nogen
理所当然	som en selvfølge	Tag ikke andres hjælp som en selvfølge
理直气壮	med fuld selvtillid	Med tilstrækkelige beviser talte han med fuld selvtillid
理智	fornuft	Man bør bevare fornuften når man møder konflikt
礼节	etikette	Forskellige kulturer har forskellig etikette
礼尚往来	gengælde høflighed	Naboer lægger vægt på at gengælde høflighed
里程碑	en milepæl	Denne succes er en milepæl for projektet
例外	en undtagelse	Alle skal deltage uden undtagelse
利害	interesser	Dette berører begge parters interesser
力求	stræbe efter	Vi stræber efter at reducere fejl til et minimum
力所能及	inden for ens evne	Gør venligst noget der ligger inden for din evne
力争	stræbe efter	Holdet stræber efter at fuldføre opgaven før tid
历代	tidligere generationer	Forskere fra tidligere generationer har undersøgt dette spørgsmål
历来	altid	Denne by har altid værdsat uddannelse
立场	et standpunkt	Han gav udtryk for sit standpunkt på mødet
立方	kubik	Denne vandtank har en kapacitet på tre kubikmeter
立交桥	en viadukt	Denne viadukt lettede trafikpropperne
立体	tredimensionel	Dette maleri har en stærk tredimensionel virkning
立足	etablere sig	Virksomheder bør etablere sig på det lokale marked
粒	et korn	Der ligger nogle riskorn på bordet
廉洁	redelig	Offentligt ansatte skal forblive redelige
联欢	en fest	Klassekammeraterne holdt en nytårsfest
联络	kontakte	Kontakt venligst kunden så hurtigt som muligt
联盟	en alliance	Flere lande dannede en handelsalliance
联想	minde om	Dette foto minder mig om barndommen
连年	år efter år	Dette område har lidt under oversvømmelser år efter år
连锁	en kæde	Denne virksomhed driver kædesupermarkeder
连同	sammen med	Send venligst fakturaen sammen med kontrakten
良心	samvittighed	Man bør leve så man ikke svigter sin samvittighed
晾	tørre	Hun hængte tøjet til tørre på altanen
谅解	forståelse	Jeg håber du kan have forståelse for vores vanskeligheder
辽阔	vidstrakt	Græslandet er vidstrakt og strækker sig længere end øjet kan se
列举	opliste	Læreren oplistede tre eksempler
临床	klinisk	Denne medicin gennemgår kliniske forsøg
淋	blive gennemblødt	Bliv ikke gennemblødt i regnen for længe
吝啬	nærig	Han er aldrig nærig over for sine venner
伶俐	kvikk	Denne lille pige er kvik og intelligent
凌晨	tidligt om morgenen	Flyet letter klokken tre tidligt om morgenen
灵感	inspiration	Musik gav ham kreativ inspiration
灵魂	sjæl	Frihed er sjælen i dette værk
灵敏	følsom	Dette instrument reagerer meget følsomt
零星	spredt	Der var spredte lys på nattehimlen
领会	forstå	Han forstod hurtigt hvad læreren mente
领事馆	et konsulat	Han gik til konsulatet for at ordne sit visum
领土	territorium	Hvert land værdsætter territorial integritet
领悟	indse	Efter at have oplevet nederlag indså han ansvar
领先	ligge foran	Deres teknologi ligger i øjeblikket foran konkurrenterne
领袖	en leder	Denne leder er dybt respekteret af folket
溜	snige sig ud	Hvalpen sneg sig ud gennem sprækken i døren
流浪	vandre omkring	Han vandrede engang omkring fra sted til sted da han var ung
流露	komme til syne	Glæde kom til syne i hendes ansigt
流氓	en bølle	Politiet fangede flere bøller på gaden
流通	cirkulere	Denne valuta cirkulerede engang lokalt
留恋	være knyttet til	Ved dimissionen følte alle sig knyttet til campus
留念	bevare som minde	Vi tog billeder ved skoleporten som minde
留神	passe på	Du skal passe på når du krydser vejen
聋哑	døvstum	Skolen hjælper døvstumme børn
隆重	højtidelig	Konferencen blev højtideligt afholdt i auditoriet
垄断	monopolisere	Monopol kan skade markedskonkurrencen
笼罩	omslutte	Tyk tåge omsluttede hele landsbyen
搂	omfavne	Moren omfavnede barnet blidt
炉灶	en komfur	Komfuret i køkkenet skal rengøres
轮船	et skib	Skibet forlod langsomt havnen
轮廓	en kontur	Konturen af de fjerne bjergtoppe er meget tydelig
轮胎	et dæk	Bilens dæk skal udskiftes
论坛	et forum	Eksperter holdt taler på forummet
论证	underbygge	Rapporten skal yderligere underbygge argumentet
啰唆	langtrukken	Hold op med at være langtrukken og kom direkte til sagen
络绎不绝	i en uafbrudt strøm	Turisterne kom til den gamle by i en uafbrudt strøm
落成	fuldføre	Det nye stadion bliver officielt fuldført i morgen
落实	implementere	Mødet krævede at den nye politik hurtigt blev implementeret
屡次	gentagne gange	Han mindede gentagne gange alle om at være opmærksomme på sikkerhed
履行	opfylde	Begge parter skal opfylde kontraktens forpligtelser
掠夺	plyndre	Krigen førte til plyndring af ressourcer
嘛	jo	Denne sag er jo meget enkel
麻痹	sløvhed	Langvarig fremgang kan let føre til sløvhed og uforsigtighed
麻木	følelsesløs	Kulden gjorde hans fingre følelsesløse
麻醉	bedøve	Før operationen bedøvede lægen patienten
码头	en kaj	Lastskibet lagde til ved kajen
蚂蚁	en myre	Myrerne bærer mad
埋伏	et baghold	Soldaterne lå i baghold i dalen
埋没	blive overset	Lad ikke talentfulde mennesker blive overset
埋葬	begrave	Landsbyboerne begravede den gamle mand på bjergskråningen
脉搏	en puls	Sygeplejersken måler hans puls
迈	tage et skridt	Han tog store skridt mod døren
埋怨	klage	Klag ikke altid over andre
慢性	kronisk	Kroniske sygdomme kræver langvarig behandling
漫长	lang	De oplevede en lang ventetid
漫画	en tegneserie	Denne tegneserie er meget populær blandt unge
蔓延	sprede sig	Ilden spredte sig hurtigt dybt ind i skoven
忙碌	travl	Årets afslutning er virksomhedens travleste tid
盲目	blind	Investering bør ikke blindt følge trends
茫茫	vidstrakt	Båden forsvandt i det vidstrakte hav
茫然	blank	Efter at have hørt forklaringen så han stadig blank ud
冒充	udgive sig for	Nogen udgav sig for at være politibetjent for at snyde penge fra folk
冒犯	fornærme	Mine ord var ikke ment som en fornærmelse
茂盛	frodig	Træerne i gården vokser frodigt
媒介	et medie	Internettet er et vigtigt informationsmedie
枚	styk	Han samlede flere mindemønter
美观	tiltalende	Dette design er både praktisk og tiltalende
美满	lykkelig	De lever et lykkeligt og tilfredsstillende liv
美妙	fantastisk	Koncerten gav en fantastisk oplevelse
萌芽	spire	En ny ide begyndte at spire
猛烈	voldsom	Stormen kom meget voldsomt
眯	knibe øjnene sammen	Sollyset var for stærkt så han kneb øjnene sammen
弥补	opveje	En undskyldning kan ikke fuldt ud opveje tabet
弥漫	fylde luften	Blomsterduften fyldte gården
谜语	en gåde	Børn kan lide at gætte gåder
迷惑	forvirre	De komplekse data forvirrede ham
迷人	charmerende	Natteudsigten ved havet er meget charmerende
迷信	overtro	Naturvidenskabelig undervisning kan mindske overtro
密度	tæthed	Dette metal har høj tæthed
密封	forsegle	Forsegl venligst posen igen efter åbning
棉花	bomuld	Landmændene plukker bomuld
免得	for at undgå	Gå tidligere hjemmefra for at undgå at komme for sent
免疫	immunitet	Denne vaccine kan forbedre immuniteten
勉励	opmuntre	Læreren opmuntrer ofte eleverne til at blive ved med at studere
勉强	modvilligt	Han accepterede modvilligt denne ordning
面貌	udseende	Byens udseende har ændret sig meget
面子	ansigt	Han ville ikke tabe ansigt offentligt
描绘	skildre	Romanen skildrer livet på landet
瞄准	sigte	Skytteren sigtede mod målet
渺小	lille	Mennesket virker meget lille over for naturen
藐视	se ned på	Vi må ikke se ned på nogen modstander
灭亡	gå til grunde	Dette dynasti gik til sidst mod sin undergang
蔑视	foragt	Hans tone var fuld af foragt
民间	folkelig	Folkelig kunst skal beskyttes
民主	folkestyre	Mødet brugte en demokratisk afstemningsform
敏捷	smidig	Atletens bevægelser er meget smidige
敏锐	skarp	Journalister har brug for skarp observationsevne
名次	en placering	Hun fik en god placering i konkurrencen
名额	en plads	Dette program har kun ti pladser
名副其实	ægte	Han er en ægte ekspert både i navn og i virkelighed
名誉	omdømme	Denne sag skadede virksomhedens omdømme
明明	tydeligvis	Han kendte tydeligvis svaret men ville ikke sige det
明智	klog	At udskyde beslutningen var et klogt valg
命名	navngive	Forskere navngav den nye art
摸索	udforske	Holdet udforsker stadig nye metoder
摩擦	friktion	Der opstod handelsfriktion mellem de to lande
模范	et forbillede	Han er et forbillede for alle skolens elever
模式	en model	Denne forretningsmodel er meget vellykket
模型	en model	Ingeniøren lavede en bromodel
磨合	tilpasse sig	Det nye hold har brug for tid til at tilpasse sig hinanden
膜	en membran	Denne membran kan filtrere urenheder
魔鬼	en ond ånd	Den onde ånd i historien er meget snedig
魔术	trylleri	Børnene kan lide at se trylleshows
抹杀	udslette	Hans bidrag kan ikke udslettes
墨水儿	blæk	Blækket i fyldepennen er næsten brugt op
莫名其妙	uforståelig	Hans reaktion virkede uforståelig
默默	stille	Hun hjalp stille mange mennesker
谋求	søge	Virksomheden søger nye udviklingsmuligheder
模样	udseende	Hans udseende har ændret sig meget nu
母语	modersmål	Børn lærer deres modersmål fra en tidlig alder
沐浴	badet i	Landsbyen om morgenen var badet i sollys
目睹	være vidne til	Mange mennesker var vidne til ulykken
目光	blik	Alles blik var rettet mod scenen
拿手	en specialitet	Braiseret fisk er hans specialitet
纳闷儿	undre sig	Jeg blev ved med at undre mig over hvorfor han kom for sent
耐用	holdbar	Disse sko er meget holdbare
南辕北辙	gå imod målet	Hans fremgangsmåde går imod målet
难得	sjælden	Dette er en sjælden mulighed
难堪	pinlig	Dette spørgsmål gjorde ham pinligt berørt
难能可贵	særligt prisværdig	At forblive ærlig under pres er særligt prisværdigt
恼火	irriteret	Udstyret gik i stykker igen og han blev meget irriteret
内涵	betydningsindhold	Dette ord har et rigt kulturelt betydningsindhold
内幕	indsidehistorie	Reporteren forsøgte at undersøge indsidehistorien bag hændelsen
内在	indre	Han lægger mere vægt på menneskers indre kvaliteter
能量	energi	Denne morgenmad giver mig meget energi
拟定	udarbejde	Sekretæren er ved at udarbejde mødets dagsorden
逆行	køre mod retningen	Den bil kørte mod retningen på en ensrettet vej
年度	årlig	Virksomheden offentliggjorde årsrapporten
捏	knibe	Hun kneb let barnet i kinden
凝固	stivne	Efter afkøling stivner voksen langsomt
凝聚	samle	Et fælles mål kan samle holdets styrke
凝视	stirre	Han stirrede på lysene i det fjerne
拧	vride	Han klemte mig en gang med hånden
宁肯	hellere	Hun vil hellere fejle end opgive sine principper
宁愿	hellere	Jeg vil hellere gå end vente på bussen
扭转	vende	Den nye politik vendte tabssituationen
纽扣儿	en knap	Denne skjorte har tabt en knap
农历	månekalender	Forårsfesten fejres efter månekalenderen
浓厚	stærk	Han har en stærk interesse for historie
奴隶	en slave	Slaveri fandtes i oldtidens samfund
挪	flytte	Flyt venligst stolen lidt til siden
虐待	mishandle	Loven forbyder mishandling af børn
哦	aha	Aha nu forstår jeg endelig
殴打	banke	Politiet anholdt personen der bankede en forbipasserende
偶像	et idol	Hun betragter den forfatter som sit idol
呕吐	kaste op	Han begyndte at kaste op efter at have spist dårlig mad
趴	ligge på maven	Killingen lå og sov på vindueskarmen
徘徊	vandre frem og tilbage	Han vandrede længe frem og tilbage ved døren
排斥	afvise	Det nye materiale afviser fugt
排除	udelukke	Lægen udelukkede først alvorlig sygdom
排放	udledning	Fabrikker skal reducere udledning af udstødningsgas
排练	øve	Skuespillerne øver et nyt program
派别	en fraktion	Der er forskellige fraktioner i organisationen
派遣	sende	Virksomheden sendte ingeniører til stedet
攀登	bestige	De planlægger at bestige det sneklædte bjerg i morgen
盘旋	cirkle	Flyet cirklede over lufthavnen
判决	en dom	Retten afsagde dommen i dag
畔	ved bredden	Børnene gik tur ved søbredden
庞大	enorm	Dette projekt kræver enorme midler
抛弃	opgive	Han vil ikke opgive sin drøm
泡沫	skum	Der er meget hvidt skum i koppen
培育	udvikle	Skolen arbejder hårdt på at udvikle elevernes ansvarsfølelse
配备	udstyre	Den nye bil er udstyret med et sikkerhedssystem
配偶	en ægtefælle	Ansøgningsskemaet kræver oplysninger om ægtefælle
配套	tilhørende	Lokalområdet har komplette tilhørende faciliteter
盆地	et bassin	Dette bassin er meget varmt om sommeren
烹饪	madlavning	Madlavning kræver tålmodighed og erfaring
捧	holde med begge hænder	Hun holdt en buket blomster med begge hænder
劈	kløve	Arbejderen kløvede brænde med en økse
批发	engros	Denne butik sælger hovedsageligt frugt engros
批判	kritisere	Artiklen kritiserede dette fejlagtige synspunkt
疲惫	udmattet	Alle var udmattede efter den lange rejse
疲倦	træt	Kontinuerligt arbejde gjorde ham træt
皮革	læder	Denne taske er lavet af læder
屁股	bagdel	Barnets bagdel gjorde ondt efter faldet
譬如	for eksempel	For eksempel kan vi først lave en lille test
偏差	en afvigelse	Der er en tydelig afvigelse i forsøgsresultaterne
偏见	en fordom	Vi bør undgå etniske fordomme
偏僻	afsides	Denne landsby ligger meget afsides
偏偏	netop	Jo mere bekymret jeg blev desto langsommere kørte bilen netop
片断	et fragment	Der er flere flotte fragmenter i filmen
片刻	et øjeblik	Vent venligst her et øjeblik
漂浮	flyde	Faldne blade flød på vandoverfladen
飘扬	blafre	Nationalflaget blafrede i vinden
撇	lægge til side	Han lagde den gamle plan til side
拼搏	kæmpe	Unge mennesker bør kæmpe for deres idealer
拼命	af alle kræfter	Han jagtede holdet foran af alle kræfter
贫乏	fattig	Indholdet i denne artikel er ret fattigt
贫困	fattig	Regeringen hjælper fattige familier
频繁	hyppig	Der har været hyppige trafikulykker her for nylig
频率	en frekvens	Denne lyd har en høj frekvens
品尝	smage	Gæsterne smager på lokal mad
品德	moralsk karakter	Skolen værdsætter elevernes moralske dannelse
品质	kvalitet	Denne virksomheds produktkvalitet er stabil
品种	en sort	Der er mange frugtsorter på markedet
屏幕	en skærm	Sænk venligst skærmens lysstyrke
屏障	en barriere	Skoven er en vigtig barriere mod vind
平凡	almindelig	Han arbejdede i mange år i en almindelig stilling
平面	en plantegning	Designeren tegnede husets plantegning
平坦	jævn	Denne vej er meget jævn
平行	parallel	Disse to linjer er parallelle med hinanden
平庸	middelmådig	Han vil ikke nøjes med et middelmådigt liv
平原	en slette	Toget kørte gennem en vidstrakt slette
评估	vurdere	Eksperter vurderer projektets risici
评论	kommentere	Læsere kan kommentere under artiklen
坡	en skråning	Bilen kørte langsomt op ad skråningen
泼	sprøjte	Sprøjt ikke vand på gulvet
颇	ganske	Dette resultat er ganske overraskende
破例	gøre en undtagelse	Chefen gjorde en undtagelse og godkendte hans ansøgning
迫不及待	ikke kunne vente	Børnene kunne ikke vente med at åbne gaverne
迫害	forfølge	Mange mennesker blev forfulgt i historien
魄力	handlekraft	Ledere har brug for handlekraft til at træffe beslutninger
扑	kaste sig	Barnet kastede sig pludselig ind i sin mors arme
铺	lægge	Arbejderne lægger et nyt tæppe
普及	blive udbredt	Internettet er allerede blevet udbredt i byer
朴实	jordnær	Hans sprog er jordnært og oprigtigt
朴素	enkel	Hun kan lide en enkel livsstil
瀑布	et vandfald	Turisterne stod ved vandfaldet og tog billeder
凄凉	øde	Bjerglandsbyen virkede øde om vinteren
期望	forventning	Forældre har høje forventninger til deres børn
期限	en frist	Fristen for tilmelding er denne fredag
欺负	mobbe	Større børn bør ikke mobbe mindre børn
欺骗	bedrage	Den falske reklame bedragede forbrugerne
奇妙	vidunderlig	Naturen har mange vidunderlige fænomener
旗袍	en qipao	Hun bar en rød qipao til aftenfesten
旗帜	et flag	Der vajede farverige flag på pladsen
歧视	diskriminering	Loven forbyder enhver form for diskriminering
齐全	komplet	Denne butik har et komplet udvalg af værktøj
齐心协力	arbejde sammen	Alle arbejdede sammen om at fuldføre opgaven
乞丐	en tigger	Der sad en gammel tigger ved vejkanten
企图	forsøge	Han forsøgte at skjule den virkelige situation
启程	begive sig af sted	Delegationen begiver sig af sted tidligt i morgen
启蒙	grundlæggende læring	Denne bog egner sig til børns første læsning
启事	en meddelelse	Der hang en jobmeddelelse ved skolens port
启示	en lærdom	Dette nederlag gav os en vigtig lærdom
岂有此理	absurd	Den slags gebyr er virkelig absurd
起草	udarbejde	Advokaten er ved at udarbejde kontrakten
起初	i begyndelsen	I begyndelsen troede han ikke på nyheden
起伏	stige og falde	Bjergvejen stiger og falder med terrænet
起哄	lave ballade	Eleverne bør ikke lave ballade i timen
起码	i det mindste	Du burde i det mindste give mig besked på forhånd
起源	opstå	Denne festival opstod i oldtiden
器材	udstyr	Laboratoriet har brug for nyt undervisningsudstyr
器官	et organ	Hjertet er et vigtigt organ i menneskekroppen
气概	heltemod	Digtet viser heltemod
气功	qigong	Bedstefar dyrker qigong hver morgen
气魄	imponerende stil	Denne bro har en imponerende stil
气色	ansigtskulør	Efter hvile så hans ansigtskulør meget bedre ud
气势	fremdrift	Holdet havde stærk fremdrift fra starten
气味	en lugt	Der var lugt af ristet brød i køkkenet
气象	vejrforhold	Vejrforholdene på højsletten ændrer sig hurtigt
气压	lufttryk	Faldende lufttryk kan medføre regn
气质	temperament	Hun har et roligt temperament
迄今为止	hidtil	Hidtil er forsøget gået glat
掐	plukke	Hun plukkede en lille blomst
恰当	passende	Dit svar er meget passende
恰到好处	helt tilpas	Denne rets sødme er helt tilpas
恰巧	tilfældigvis	Det begyndte tilfældigvis at regne da jeg kom til stationen
洽谈	forhandle	De to parter forhandler om detaljerne i samarbejdet
千方百计	på alle mulige måder	De prøvede på alle mulige måder at finde en løsning
牵	holde i hånden	Moren holdt barnet i hånden da de gik over vejen
牵扯	involvere	Denne sag involverer mange afdelinger
牵制	holde tilbage	Modstanderens forsvar holdt angrebet tilbage
签署	underskrive	De to virksomheder underskrev en aftale
谦逊	ydmyg	Han forblev ydmyg efter sin succes
迁就	føje	Forældre kan ikke altid føje deres børn
迁徙	migrere	Trækfugle migrerer hvert år efter årstiderne
前景	udsigt	Denne branche har gode udsigter
前提	en forudsætning	Tillid er en forudsætning for samarbejde
潜力	potentiale	Denne elev har stort potentiale
潜水	dykke	De tog til kysten for at lære at dykke
潜移默化	påvirke umærkeligt	Familiemiljøet kan påvirke børn umærkeligt
谴责	fordømme	Det internationale samfund fordømte voldshandlingen
抢劫	røve	Politiet fangede den mistænkte der røvede banken
强制	tvinge	Den nye regel tvinger bilister til at bruge sikkerhedssele
强迫	tvinge	Tving ikke børn til at gøre ting de ikke kan lide
抢救	redde	Lægerne redder den sårede arbejder
桥梁	en bro	Sprog er en bro for kulturel udveksling
窍门	et trick	Der er nogle tricks til at lære udtale
翘	løfte	Han løftede den ene fod op på stolen
切实	praktisk gennemførlig	Vi har brug for en praktisk gennemførlig plan
锲而不舍	vedholdende	Han undersøgte problemet vedholdende
亲密	nær	De har altid haft et nært forhold
亲热	hjertelig	Den gamle person hilste hjerteligt på gæsterne
侵犯	krænke	Denne adfærd krænkede privatlivet
侵略	en invasion	Folket modsætter sig enhver form for invasion
钦佩	beundre	Jeg beundrer hendes mod meget
勤俭	flittig og sparsommelig	Bedstemor styrede hjemmet flittigt og sparsommelig hele livet
勤劳	flittig	Flittige mennesker kan altid skabe muligheder
倾听	lytte opmærksomt	Læreren lyttede opmærksomt til elevernes meninger
倾向	hælde til	Unge forbrugere hælder til at handle online
倾斜	hælde	Efter den kraftige regn begyndte muren at hælde
清澈	klar	Bækken i bjergene er meget klar
清晨	tidlig morgen	Luften tidligt om morgenen er særlig frisk
清除	fjerne	Arbejderne fjernede sneen fra vejen
清洁	ren	Hospitaler skal holde miljøet rent
清理	rydde op	I weekenden ryddede vi op på lageret
清晰	tydelig	Dette foto er meget tydeligt
清醒	vågen	Efter at have drukket kaffe blev han meget mere vågen
清真	halal	Der ligger en halalrestaurant i nærheden
情报	efterretning	Reporteren fik vigtige efterretninger
情节	handling	Romanens handling er meget spændt
情理	rimelighed	Hans krav er urimeligt
情形	situation	Situationen på stedet var mere kompleks end forventet
晴朗	klar	Himlen er særlig klar i dag
请柬	et invitationskort	De sendte bryllupsinvitationskort til familie og venner
请教	rådføre sig med	Jeg vil gerne rådføre mig med dig om et spørgsmål
请示	bede om instruktioner	Denne sag skal først forelægges lederen for instruktioner
请帖	en invitation	Der lå en fødselsdagsinvitation på bordet
丘陵	bakker	Der er mange bakker i dette område
区分	skelne	Barnet kan allerede skelne mellem venstre og højre
区域	et område	Parkering er forbudt i dette område
屈服	give efter	Han gav ikke efter for presset
曲折	kompliceret	De gennemgik komplicerede forhandlinger
驱逐	udvise	Politiet udviste uromagerne
渠道	en kanal	Virksomheden sælger produkter gennem en ny kanal
取缔	forbyde	Regeringen forbød det ulovlige marked
曲子	en melodi	Melodien i dette stykke er smuk
趣味	interesse	Dette spil har stor interesse
圈套	en fælde	Han faldt næsten i svindlerens fælde
全局	helheden	Ledere skal tage hensyn til helhedens interesser
全力以赴	gøre sit yderste	Vi vil gøre vores yderste for at fuldføre opgaven
拳头	en knytnæve	Han knyttede næven og gjorde sig klar til kampen
权衡	afveje	Vi skal afveje omkostninger og effekt
权威	en autoritet	Denne professor er en autoritet på området
犬	en hund	Denne type hund egner sig til at vogte et hjem
缺口	en åbning	Der er en lille åbning i muren
缺席	fravær	Han var fraværende fra mødet på grund af sygdom
缺陷	en mangel	Dette design har en tydelig mangel
瘸	halt	Hans venstre ben er lidt halt
