simplified	ET	example_ET
交代	selgitama	Palun selgita ülesanne selgelt.
交涉	läbirääkimisi pidama	Pooled peavad hüvitise küsimuses läbirääkimisi.
交易	tehing	See tehing on juba lõpule viidud.
娇气	hellitatud	Ära ole nii hellitatud, ilm pole külm.
焦点	fookus	Tööhõiveprobleem sai arutelu fookuseks.
焦急	ärev	Ema ootas ärevalt lapse naasmist.
侥幸	õnnekombel	Ta pääses õnnekombel õnnetusest.
搅拌	segama	Palun sega tainas ühtlaseks.
缴纳	tasuma	Elanikud peavad veearve õigel ajal tasuma.
角落	nurk	Kass peitis end toa nurka.
教养	kasvatus	Hea kasvatus ilmneb detailides.
较量	mõõtu võtma	Kaks tugevat meeskonda võtavad peagi mõõtu.
接连	järjest	Ta sai järjest kolm e-kirja.
揭露	paljastama	Ajakirjanik paljastas toiduohutuse probleemi.
皆	kõik	Need reeglid on kõigile teada.
阶层	kiht	Eri ühiskonnakihtidel on erinevad vajadused.
截止	lõppema	Registreerimine lõpeb homme pärastlõunal.
截至	seisuga	Tänase seisuga on registreerunud juba kakssada inimest.
杰出	silmapaistev	Ta on silmapaistev teadlane.
竭尽全力	kogu jõust pingutama	Anname endast kõik, et ülesanne täita.
结晶	tulemus	See saavutus on aastatepikkuse töö tulemus.
结局	lõpp	Loo lõpp oli ootamatu.
结算	arveldama	Klient nõuab kulude arveldamist kuu lõpus.
节制	mõõdukus	Toitumises tuleb mõõdukust hoida.
节奏	rütm	Selle laulu rütm on kiire.
解除	tühistama	Ettevõte tühistas turvahäire.
解放	vabastama	Reform vabastas tootlikkuse.
解雇	vallandama	Ülemus otsustas selle töötaja vallandada.
解剖	anatoomia	Meditsiinitudengid õpivad anatoomiat.
解散	laiali minema	Pärast koosoleku lõppu läks rühm laiali.
解体	lagunema	See liit lagunes lõpuks.
借鉴	eeskuju võtma	Saame välismaa kogemusest eeskuju võtta.
借助	abiga	Ta leidis tee kaardi abil.
戒备	valvel olema	Piirialal ollakse kõrgendatud valvel.
界限	piir	Töö ja elu vajavad selgeid piire.
津津有味	suure huviga	Lapsed kuulasid juttu suure huviga.
金融	rahandus	Finantsturg kõikus täna palju.
紧迫	pakiline	Aeg on pakiline, peame kohe tegutsema.
锦上添花	kirss tordil	See kingitus oli tõeline kirss tordil.
晋升	edutama	Ta edutati eelmisel aastal osakonnajuhiks.
浸泡	leotama	Ube tuleb öö läbi leotada.
近来	viimasel ajal	Viimasel ajal on ilm palju muutunud.
进而	seejärel	Kõigepealt mõista vajadusi, seejärel koosta plaan.
进攻	rünnak	Meeskond tugevdas teisel poolajal rünnakut.
进化	arenema	Elusolendid arenevad koos keskkonnaga.
进展	edenemine	Projekt edeneb praegu sujuvalt.
兢兢业业	kohusetundlik	Ta töötas kolmkümmend aastat kohusetundlikult.
惊动	häirima	Suur pauk häiris lähedal elavaid inimesi.
惊奇	imestunult	Lapsed vaatasid mustkunstietendust imestunult.
惊讶	üllatunud	Tema vastus üllatas mind väga.
精打细算	kokkuhoidlik	Ta majandab alati kokkuhoidlikult.
精华	tuum	See artikkel võtab teooria tuuma kokku.
精简	kärpima	Ettevõte otsustas juhtkonda kärpida.
精密	täpne	See instrument on väga täpne.
精确	täpne	Andmed peavad olema täpsed kahe komakohani.
精通	valdama	Ta valdab kolme võõrkeelt.
精心	hoolikalt	Ema valmistas õhtusöögi hoolikalt.
精益求精	täiuse poole püüdlema	Head käsitöölised püüdlevad alati täiuse poole.
精致	peen	See kingitus on väga peenelt pakitud.
经费	rahastus	Uurimistöö rahastus on juba heaks kiidetud.
经纬	pikkus- ja laiuskraad	Kaardile on märgitud pikkus- ja laiuskraadide jooned.
茎	vars	Taime vars toetab lehti.
井	kaev	Küla sissepääsu juures on vana kaev.
警告	hoiatama	Õpetaja hoiatas õpilasi petmise eest.
警惕	valvel olema	Peame olema internetipettuste suhtes valvel.
颈椎	kaelalülid	Pikaajaline pea langetamine kahjustab kaelalülisid.
境界	tase	Tema maalimine jõudis uuele tasemele.
敬礼	au andma	Sõdur andis riigilipule au.
敬业	tööle pühendunud	Ta töötab tõsiselt ja on väga tööle pühendunud.
竞赛	võistlus	Kool korraldas matemaatikavõistluse.
竞选	kandideerima	Ta valmistub linnapeaks kandideerima.
镜头	objektiiv	Fotograaf reguleeris objektiivi.
纠纷	vaidlus	Pooled lahendasid vaidluse vahenduse kaudu.
纠正	parandama	Õpetaja parandas hääldusvea õigel ajal.
酒精	alkohol	Arst desinfitseeris haava alkoholiga.
就近	lähedal	Õpilased saavad minna lähedal asuvasse kooli.
就业	tööhõive	Valitsus käivitas tööhõivet soodustava poliitika.
就职	ametisse astuma	Uus juht astub ametlikult ametisse järgmisel nädalal.
救济	abi	Katastroofiohvrid said õigel ajal abi.
居民	elanikud	Lähedased elanikud on mürasaaste vastu.
居住	elama	Nad on siin elanud kümme aastat.
拘留	kinni pidama	Politsei pidas kahtlusaluse seaduse järgi kinni.
拘束	kohmetu	Sõprade ees pole vaja kohmetu olla.
鞠躬	kummardama	Näitlejad kummardasid publikule tänuks.
局部	kohalik	Arst tegi ainult kohaliku tuimastuse.
局面	olukord	Läbirääkimised parandasid pingelist olukorda.
局势	olukord	Rahvusvaheline olukord on endiselt keeruline.
局限	piirang	Sellel meetodil on ilmsed piirangud.
举动	tegu	Tema tegu liigutas kõiki.
举世瞩目	kogu maailma tähelepanu pälviv	See projekt saavutas kogu maailma tähelepanu pälviva edu.
举足轻重	kaalukas	See ettevõte on valdkonnas väga kaalukas.
咀嚼	närima	Süües tuleb aeglaselt närida.
沮丧	masendunud	Pärast võistluse kaotust oli ta väga masendunud.
剧本	stsenaarium	Lavastaja muudab stsenaariumi.
剧烈	tugev	Maapind värises tugevalt.
据悉	teadaolevalt	Teadaolevalt lükatakse koosolek järgmisesse nädalasse.
聚精会神	keskendunult	Lapsed kuulasid tundi keskendunult.
卷	rulli keerama	Ta keeras kaardi rulli ja pani kotti.
倔强	kangekaelne	See laps on väga kangekaelse iseloomuga.
决策	otsus	Juhtkond arutab olulist otsust.
绝望	meeleheide	Pärast ebaõnnestumist tundis ta mõnda aega meeleheidet.
觉悟	teadlikkus	See kogemus tõstis tema teadlikkust.
觉醒	ärkama	Avalikkuse keskkonnateadlikkus on ärkamas.
军队	sõjavägi	Sõjavägi jõudis kiiresti katastroofipiirkonda.
君子	õilis inimene	Õilis inimene peaks sõnade ja tegudega järjekindel olema.
卡通	multikas	Lapsele meeldib multikaid vaadata.
开采	kaevandama	See ettevõte vastutab maavarade kaevandamise eest.
开除	välja heitma	Kool otsustas petnud õpilase välja heita.
开阔	avar	Mäetipus seistes on vaade väga avar.
开朗	avatud	Ta on avatud iseloomuga ja tal on palju sõpru.
开明	avatud meelega	Vanemate suhtumine on väga avatud meelega.
开辟	avama	Linn avas uue bussiliini.
开拓	arendama	Ettevõte plaanib arendada välisturge.
开展	korraldama	Kool korraldas ohutushariduse tegevusi.
开支	kulud	Pere igakuised kulud kasvasid.
刊登	avaldama	Ajaleht avaldas tema artikli.
刊物	väljaanne	See väljaanne ilmub kord kuus.
勘探	uurima	Ehitusmeeskond uurib maa-aluseid veeallikaid.
侃侃而谈	vabalt rääkima	Ta rääkis koosolekul vabalt ja pikalt.
砍伐	maha raiuma	Metsade omavoliline maharaiumine on keelatud.
看待	suhtuma	Peame sellesse probleemi objektiivselt suhtuma.
慷慨	helde	Ta annetas preemiaraha heldelt.
抗议	protestima	Elanikud protestivad uue tehase ehitamise vastu.
考察	uurima	Eksperdid läksid kohapeale keskkonda uurima.
考古	arheoloogia	Arheoloogiarühm avastas iidse haua.
考核	hindama	Ettevõte hindab igal aastal töötajate tulemuslikkust.
考验	proovile panema	See kriis pani meeskonna võimed proovile.
靠拢	lähemale liikuma	Meeskonnaliikmed liikusid keskele lähemale.
磕	ära lööma	Ta lõi end kogemata vastu lauanurka ära.
科目	õppeaine	Matemaatika on tema lemmikõppeaine.
可观	märkimisväärne	See investeering tõi märkimisväärset tulu.
可口	maitsev	Selle restorani toidud on väga maitsvad.
可恶	vastik	Selline petmine on tõesti vastik.
可行	teostatav	See plaan on põhimõtteliselt teostatav.
渴望	igatsema	Lapsed igatsevad rohkem võimalusi.
克制	taltsutama	Vaidluse ajal tuleb emotsioone taltsutada.
刻不容缓	edasilükkamatu	Veeallikate kaitsmine on edasilükkamatu.
客户	klient	Klient on teenusega väga rahul.
课题	uurimisteema	See uurimisteema väärib põhjalikku uurimist.
啃	närima	Laps närib maisitõlvikut.
恳切	siiralt	Ta palus kõigilt siiralt abi.
坑	auk	Tee ääres on väga sügav auk.
空洞	tühi	Selle raporti sisu on tühi.
空前绝后	enneolematu	See etendus oli tõesti enneolematu.
空想	tühi unistus	Ainult tühjade unistustega probleemi ei lahenda.
空虚	tühjus	Pärast kiiret aega tundis ta tühjust.
孔	ava	Seinas on väike ava.
恐怖	õudne	Selle filmi õhkkond on väga õudne.
恐吓	hirmutama	Vastaspool hirmutas tunnistajat ähvardustega.
恐惧	hirm	Pimedus tekitas lapses hirmu.
空白	tühi koht	Palun kirjuta alla tühjale kohale.
空隙	vahe	Ukse ja põranda vahel on vahe.
口气	toon	Tema kõnetoon oli väga karm.
口腔	suuõõs	Arst kontrollis tema suuõõnt.
口头	suuline	Neil oli ainult suuline kokkulepe.
口音	aktsent	Tema mandariini keeles on kerge aktsent.
扣	kinni panema	Palun pane turvavöö kinni.
哭泣	nutma	Tüdruk peitis end nurka ja nuttis.
枯萎	närbuma	Veepuudus pani lilled närbuma.
枯燥	igav	See töö on natuke igav.
苦尽甘来	raskused lõpevad hästi	Pärast aastatepikkust püsivust lõppesid raskused lõpuks hästi.
苦涩	kibe	See ravimtee maitseb kibedalt.
挎	käevangus kandma	Ta läks välja, riidest kott käevangus.
跨	üle astuma	Ta astus kraavist üle ja jätkas edasi.
快活	rõõmus	Lapsed mängisid murul rõõmsalt.
宽敞	avar	See klassiruum on valgusküllane ja avar.
宽容	sallivus	Ühiskond vajab rohkem mõistmist ja sallivust.
款待	võõrustama	Võõrustaja võttis külalised soojalt vastu.
款式	lõige	Selle riideeseme lõige on väga uudne.
筐	korv	Ta kandis korvitäie õunu koju.
况且	pealegi	Tee on pikk ja pealegi läheb varsti pimedaks.
旷课	puuduma	Õpilase põhjuseta tunnist puudumine märgitakse üles.
框架	raamistik	Raportil tuleb kõigepealt raamistik paika panna.
矿产	maavarad	Selles piirkonnas on rikkalikult maavarasid.
亏待	halvasti kohtlema	Ettevõte ei kohtle tõsiselt töötavaid töötajaid halvasti.
亏损	kahjum	Tehas kandis sel aastal tõsist kahjumit.
捆绑	kinni siduma	Palun seo need kastid kindlalt kinni.
扩充	laiendama	Kool plaanib raamatukogu kogu laiendada.
扩散	levima	Kuulujutt levis internetis kiiresti.
扩张	laiendama	Ettevõte laiendab äritegevust ettevaatlikult.
啦	ju	Ära muretse ju, kõik läheb paremaks.
喇叭	signaal	Autosignaal kõlas äkki.
蜡烛	küünal	Sünnipäevatordil olid küünlad.
来历	päritolu	Selle kultuurimälestise päritolu on teadmata.
来源	allikas	Uudises tuleb märkida teabe allikas.
栏目	saaterubriik	See saaterubriik on eetris kord nädalas.
懒惰	laiskus	Laiskus mõjutab õppimistulemusi.
狼狈	armetu	Pärast vihma oli ta läbimärg ja nägi väga armetu välja.
狼吞虎咽	ahnelt sööma	Ta oli näljast nõrkemas ja sõi ahnelt.
捞	välja tõmbama	Kalur tõmbas jõest võrgu välja.
唠叨	näägutama	Ema näägutab alati pisiasjade pärast.
牢固	kindel	Selle silla konstruktsioon on väga kindel.
牢骚	nurin	Ta on täis nurinat, kuid ei taha muutuda.
乐趣	rõõm	Lugemine pakub talle palju rõõmu.
乐意	meelsasti	Aitan sul meelsasti CV-d parandada.
雷达	radar	Radar avastas kauguses lennuki.
类似	sarnane	Sarnaseid probleeme on varemgi esinenud.
冷酷	külm	Tema toon tundus väga külm.
冷落	tõrjuma	Uus töötaja tundis, et teda tõrjuti.
冷却	jahtuma	Masin peab enne remonti jahtuma.
愣	tarduma	Seda uudist kuuldes tardus ta.
黎明	koidik	Koidikul ärkas linn tasapisi.
理睬	tähelepanu pöörama	Ta oli vihane ega pööranud kellelegi tähelepanu.
理所当然	enesestmõistetav	Ära pea teiste abi enesestmõistetavaks.
理直气壮	enesekindlalt	Kuna tõendid olid piisavad, rääkis ta enesekindlalt.
理智	mõistus	Konflikti korral tuleb säilitada mõistus.
礼节	etikett	Eri kultuurides on erinev etikett.
礼尚往来	vastastikune viisakus	Naabrite vahel peetakse tähtsaks vastastikust viisakust.
里程碑	verstapost	See edu on projekti verstapost.
例外	erand	Kõik peavad osalema, erandeid pole.
利害	huvid	See puudutab mõlema poole huve.
力求	püüdma	Püüame vigade arvu miinimumini viia.
力所能及	jõukohane	Palun tee midagi jõukohast.
力争	püüdma	Meeskond püüab ülesande varem valmis saada.
历代	eri ajastute	Eri ajastute teadlased on seda küsimust uurinud.
历来	alati	See linn on alati haridust tähtsaks pidanud.
立场	seisukoht	Ta väljendas koosolekul oma seisukohta.
立方	kuup	See veepaak mahutab kolm kuupmeetrit.
立交桥	ristmiksild	See ristmiksild leevendas liiklusummikuid.
立体	ruumiline	Sellel maalil on tugev ruumiline mõju.
立足	tuginema	Ettevõte peab tuginema kohalikule turule.
粒	tera	Laual on paar riisitera.
廉洁	aus	Ametnikud peavad jääma ausaks.
联欢	ühispidu	Klassikaaslased korraldasid uusaasta ühispidu.
联络	ühendust võtma	Palun võta kliendiga võimalikult kiiresti ühendust.
联盟	liit	Mitu riiki moodustasid kaubandusliidu.
联想	meenutama	See foto meenutas mulle lapsepõlve.
连年	aasta-aastalt	See piirkond kannatab aasta-aastalt üleujutuste all.
连锁	keti	See ettevõte peab supermarketiketti.
连同	koos	Palun saada arve koos lepinguga.
良心	südametunnistus	Inimene peab elama südametunnistuse järgi.
晾	kuivama panema	Ta pani riided rõdule kuivama.
谅解	mõistma	Loodan, et mõistad meie raskusi.
辽阔	avar	Rohumaa on nii avar, et lõppu pole näha.
列举	loetlema	Õpetaja loetles kolm näidet.
临床	kliiniline	See ravim on kliinilistes katsetes.
淋	vihma käes olema	Ära ole vihma käes liiga kaua.
吝啬	kitsis	Ta pole sõprade suhtes kunagi kitsi.
伶俐	taibukas	See väike tüdruk on tark ja taibukas.
凌晨	varahommik	Lennuk tõuseb õhku kell kolm varahommikul.
灵感	inspiratsioon	Muusika andis talle loomingulist inspiratsiooni.
灵魂	hing	Vabadus on selle teose hing.
灵敏	tundlik	See instrument reageerib väga tundlikult.
零星	üksikud	Öötaevas oli näha üksikuid tulesid.
领会	mõistma	Ta mõistis kiiresti õpetaja mõtet.
领事馆	konsulaat	Ta läks konsulaati viisat taotlema.
领土	territoorium	Iga riik peab tähtsaks territoriaalset terviklikkust.
领悟	taipama	Pärast ebaõnnestumist taipas ta vastutuse tähendust.
领先	juhtima	Nende tehnoloogia juhib praegu konkurentide ees.
领袖	juht	Seda juhti austab rahvas sügavalt.
溜	välja lipsama	Väike koer lipsas uksevahelt välja.
流浪	rändama	Noorena rändas ta ringi.
流露	väljenduma	Tema näol väljendus rõõm.
流氓	huligaan	Politsei tabas mitu tänavahuligaani.
流通	ringluses olema	See valuuta oli kunagi kohapeal ringluses.
留恋	kiindumus	Lõpetamise ajal tundsid kõik kooli vastu kiindumust.
留念	mälestuseks tegema	Tegime koolivärava juures mälestuseks foto.
留神	ettevaatlik olema	Tänavat ületades peab kindlasti ettevaatlik olema.
聋哑	kurt ja tumm	Kool pakub abi kurtidele ja tummadele lastele.
隆重	pidulik	Konverents toimus aulas pidulikult.
垄断	monopol	Monopol kahjustab turukonkurentsi.
笼罩	katma	Paks udu kattis kogu küla.
搂	kallistama	Ema kallistas last õrnalt.
炉灶	pliit	Köögi pliit vajab puhastamist.
轮船	aurik	Aurik lahkus aeglaselt sadamast.
轮廓	kontuur	Kaugete mägede kontuur oli väga selge.
轮胎	rehv	Auto rehvid tuleb välja vahetada.
论坛	foorum	Eksperdid pidasid foorumil kõne.
论证	põhjendamine	Aruanne peab seisukohta veel põhjalikumalt põhjendama.
啰唆	lobisema	Ära lobise, ütle kohe põhipunkt.
络绎不绝	lakkamatult saabuma	Turistid saabusid vanalinna lakkamatult.
落成	valmima	Uus spordihall valmib ametlikult homme.
落实	ellu viima	Koosolek nõudis uue poliitika kiiret elluviimist.
屡次	korduvalt	Ta tuletas kõigile korduvalt meelde, et ohutusele tähelepanu pöörata.
履行	täitma	Mõlemad pooled peavad lepingulisi kohustusi täitma.
掠夺	rüüstamine	Sõda põhjustas ressursside rüüstamist.
嘛	ju	See asi on ju väga lihtne.
麻痹	hooletuks muutuma	Pikaajaline edu võib inimesed kergesti hooletuks muuta.
麻木	tuim	Külm tegi ta sõrmed tuimaks.
麻醉	tuimestama	Enne operatsiooni tuimestas arst patsiendi.
码头	sadamakai	Kaubalaev peatus sadamakai kõrval.
蚂蚁	sipelgas	Sipelgad kandsid parajasti toitu.
埋伏	varitsema	Sõdurid varitsesid mäekurus.
埋没	varju jääma	Ära lase andekatel inimestel varju jääda.
埋葬	matma	Külaelanikud matsid vana mehe mäenõlvale.
脉搏	pulss	Õde mõõdab tema pulssi.
迈	astuma	Ta astus pikkade sammudega ukse poole.
埋怨	etteheiteid tegema	Ära tee kogu aeg teistele etteheiteid.
慢性	krooniline	Krooniline haigus vajab pikaajalist ravi.
漫长	pikk	Nad kogesid pikka ootamist.
漫画	koomiks	See koomiks on noorte seas väga populaarne.
蔓延	levima	Tuli levis kiiresti sügavale metsa.
忙碌	hõivatud	Aasta lõpp on ettevõttes kõige hõivatum aeg.
盲目	pimesi tegutsema	Investeerimisel ei tohi pimesi teistega kaasa minna.
茫茫	ääretu	Laev kadus ääretusse merre.
茫然	nõutu	Pärast selgituse kuulamist oli ta ikka nõutu näoga.
冒充	teesklema	Keegi teeskles politseinikku ja pettis raha välja.
冒犯	solvama	Ma ei tahtnud sind oma sõnadega solvata.
茂盛	lopsakas	Õue puud kasvasid väga lopsakalt.
媒介	vahend	Internet on tähtis infovahend.
枚	loendussõna	Ta kogus mitu mälestusmünti.
美观	esteetiline	See disain on nii praktiline kui ka esteetiline.
美满	õnnelik	Nad elasid õnnelikku elu.
美妙	imeline	Kontsert pakkus imelise elamuse.
萌芽	tärkama	Uus mõte hakkas tärkama.
猛烈	äge	Torm tuli väga ägedalt.
眯	silmi kissitama	Päike oli liiga ere ja ta kissitas silmi.
弥补	heastama	Vabandamine ei suuda kahju täielikult heastada.
弥漫	levima	Lillelõhn levis kogu õues.
谜语	mõistatus	Lastele meeldib mõistatusi lahendada.
迷惑	segadusse ajama	Keerulised andmed ajasid ta segadusse.
迷人	võluv	Mereäärne öövaade oli väga võluv.
迷信	ebausk	Teadusharidus võib ebausku vähendada.
密度	tihedus	Selle metalli tihedus on suur.
密封	sulgema	Pärast avamist sulge kott uuesti.
棉花	puuvill	Talunikud korjasid parajasti puuvilla.
免得	et mitte	Lähme varem välja, et mitte hiljaks jääda.
免疫	immuunsus	See vaktsiin võib immuunsust tugevdada.
勉励	julgustama	Õpetaja julgustab õpilasi sageli õppimist jätkama.
勉强	vastumeelselt	Ta nõustus selle korraldusega vastumeelselt.
面貌	ilme	Linna ilme on tohutult muutunud.
面子	maine	Ta ei tahtnud avalikult mainet kaotada.
描绘	kujutama	Romaan kujutab maaelu.
瞄准	sihtima	Laskur sihtis märki.
渺小	tühine	Inimene näib looduse ees väga tühine.
藐视	alahindama	Me ei tohi ühtegi vastast alahinnata.
灭亡	häving	See dünastia liikus lõpuks hävingu poole.
蔑视	põlgus	Tema hääletoon oli täis põlgust.
民间	rahvalik	Rahvakunst vajab kaitset.
民主	demokraatlik	Koosolekul kasutati demokraatlikku hääletusviisi.
敏捷	väle	Sportlase liigutused olid väga väledad.
敏锐	terav	Ajakirjanikul on vaja teravat vaatlusvõimet.
名次	koht	Ta sai võistlusel hea koha.
名额	koht	Selles projektis on ainult kümme kohta.
名副其实	tõeline	Ta on tõeline ekspert.
名誉	maine	See juhtum kahjustas ettevõtte mainet.
明明	ilmselgelt	Ta teadis vastust ilmselgelt, kuid keeldus seda ütlemast.
明智	tark	Otsuse edasilükkamine oli tark valik.
命名	nimetama	Teadlased nimetasid uue liigi.
摸索	katsetades otsima	Meeskond otsib veel katsetades uut meetodit.
摩擦	hõõrumine	Kahe riigi vahel tekkis kaubanduslik hõõrumine.
模范	eeskuju	Ta on kogu kooli õpilastele eeskuju.
模式	mudel	See ärimudel on väga edukas.
模型	mudel	Insener valmistas silla mudeli.
磨合	kohanema	Uus meeskond vajab kohanemiseks aega.
膜	kile	See kile suudab lisandeid filtreerida.
魔鬼	deemon	Loos olnud deemon oli väga kaval.
魔术	mustkunst	Lastele meeldib mustkunstietendusi vaadata.
抹杀	maha vaikima	Tema panust ei saa maha vaikida.
墨水儿	tint	Täitesulepea tint hakkab otsa saama.
莫名其妙	arusaamatu	Tema reaktsioon oli inimestele arusaamatu.
默默	vaikselt	Ta aitas vaikselt väga paljusid inimesi.
谋求	taotlema	Ettevõte taotleb uusi arenguvõimalusi.
模样	välimus	Tema praegune välimus on palju muutunud.
母语	emakeel	Laps õpib emakeelt juba väiksest peale.
沐浴	kümblema	Hommikune küla kümblas päikesevalguses.
目睹	pealt nägema	Paljud inimesed nägid seda õnnetust pealt.
目光	pilk	Kõigi pilgud koondusid lavale.
拿手	tugev külg	Punases kastmes kala on tema tugev külg.
纳闷儿	imestama	Ma imestasin kogu aeg, miks ta hilines.
耐用	vastupidav	Need kingad on väga vastupidavad.
南辕北辙	vastupidises suunas tegutsema	Tema tegutsemisviis läheb eesmärgiga vastupidises suunas.
难得	haruldane	See on haruldane võimalus.
难堪	piinlik	See küsimus pani ta piinlikku olukorda.
难能可贵	väärtuslik	Surve all ausaks jäämine on eriti väärtuslik.
恼火	ärritunud	Seade läks jälle katki ja ta oli väga ärritunud.
内涵	sisemine tähendus	Sellel sõnal on rikas kultuuriline sisemine tähendus.
内幕	sisetaust	Ajakirjanik püüdis uurida juhtumi sisetausta.
内在	sisemine	Ta hindab rohkem inimese sisemisi omadusi.
能量	energia	See hommikusöök andis mulle palju energiat.
拟定	koostama	Sekretär koostab parajasti koosoleku päevakorda.
逆行	vastassuunas liikuma	See auto liikus ühesuunalisel teel vastassuunas.
年度	aastane	Ettevõte avaldas aastaaruande.
捏	pigistama	Ta pigistas lapse põske õrnalt.
凝固	tarduma	Pärast jahtumist tardub vaha aeglaselt.
凝聚	koondama	Ühine eesmärk suudab meeskonna jõu koondada.
凝视	silmitsema	Ta silmitses kaugel olevat tulevalgust.
拧	näpistama	Ta näpistas mind käega.
宁肯	pigem	Ta pigem ebaõnnestub kui loobub põhimõtetest.
宁愿	pigem	Ma pigem kõnnin kui ootan bussi.
扭转	ümber pöörama	Uus poliitika pööras kahjumliku olukorra ümber.
纽扣儿	nööp	Sellel särgil tuli üks nööp ära.
农历	kuukalender	Kevadpüha tähistatakse kuukalendri järgi.
浓厚	tugev	Tal on ajaloo vastu tugev huvi.
奴隶	ori	Vanas ühiskonnas oli olemas orjuse süsteem.
挪	nihutama	Palun nihuta tooli veidi kõrvale.
虐待	väärkohtlema	Seadus keelab laste väärkohtlemise.
哦	oh	Oh, ma sain lõpuks aru.
殴打	peksma	Politsei vahistas inimese, kes peksis möödakäijat.
偶像	iidol	Ta peab seda kirjanikku oma iidoliks.
呕吐	oksendama	Pärast riknenud toidu söömist hakkas ta oksendama.
趴	kõhuli lamama	Väike kass lamas aknalaual kõhuli ja magas.
徘徊	edasi-tagasi käima	Ta käis ukse ees kaua edasi-tagasi.
排斥	tõrjuma	Uus materjal tõrjub niiskust.
排除	välistama	Arst välistas kõigepealt raske haiguse.
排放	heitmeid väljutama	Tehas peab vähendama heitgaaside väljutamist.
排练	proovi tegema	Näitlejad teevad uue etenduse proovi.
派别	fraktsioon	Selles organisatsioonis on erinevad fraktsioonid.
派遣	lähetama	Ettevõte lähetas inseneri sündmuskohale.
攀登	ronima	Nad plaanivad homme lumisele mäele ronida.
盘旋	tiirlema	Lennuk tiirles lennujaama kohal.
判决	kohtuotsus	Kohus kuulutas täna kohtuotsuse.
畔	kallas	Lapsed jalutasid järve kaldal.
庞大	tohutu	See projekt vajab tohutuid vahendeid.
抛弃	hülgama	Ta ei tahtnud oma unistust hülgada.
泡沫	vaht	Tassis oli palju valget vahtu.
培育	kasvatama	Kool püüab kasvatada õpilastes vastutustunnet.
配备	varustama	Uus auto on varustatud turvasüsteemiga.
配偶	abikaasa	Taotlusvormile tuleb kirjutada abikaasa andmed.
配套	tugitaristu	Kogukonnas on täielik tugitaristu.
盆地	nõgu	See nõgu on suvel väga kuum.
烹饪	toiduvalmistamine	Toiduvalmistamine vajab kannatlikkust ja kogemust.
捧	hoidma	Ta hoidis kahe käega lillekimpu.
劈	lõhkuma	Tööline lõhkus kirvega küttepuid.
批发	hulgimüük	See pood tegeleb peamiselt puuviljade hulgimüügiga.
批判	kritiseerima	Artikkel kritiseeris seda ekslikku seisukohta.
疲惫	kurnatud	Pärast pikka reisi olid kõik kurnatud.
疲倦	väsinud	Järjestikune töö tegi ta väsinuks.
皮革	nahk	See kott on tehtud nahast.
屁股	tagumik	Laps kukkus ja tagumik valutas.
譬如	näiteks	Näiteks võime kõigepealt teha väikese testi.
偏差	kõrvalekalle	Katsetulemustes oli selge kõrvalekalle.
偏见	eelarvamus	Me peaksime vältima rahvuslikke eelarvamusi.
偏僻	kõrvaline	See küla asub väga kõrvalises kohas.
偏偏	just	Mida rohkem mul kiire oli, seda aeglasemaks auto just muutus.
片断	katkend	Filmis on mitu suurepärast katkendit.
片刻	hetk	Palun oota mind siin hetk.
漂浮	hõljuma	Langenud lehed hõljuvad veepinnal.
飘扬	lehvima	Riigilipp lehvis tuules.
撇	kõrvale jätma	Ta jättis vana plaani kõrvale.
拼搏	võitlema	Noored peavad oma ideaalide nimel võitlema.
拼命	kõigest väest	Ta püüdis kõigest väest eesmist rühma kinni.
贫乏	kasinalt sisukas	Selle artikli sisu on üsna kasin.
贫困	vaene	Valitsus aitab vaeseid peresid.
频繁	sage	Viimasel ajal on siin liiklusõnnetused väga sagedased.
频率	sagedus	Selle heli sagedus on kõrge.
品尝	maitsma	Külalised maitsevad kohalikke hõrgutisi.
品德	moraalne iseloom	Kool väärtustab õpilaste moraalset kasvatust.
品质	kvaliteet	Selle ettevõtte toodete kvaliteet on stabiilne.
品种	sort	Turul on palju puuviljasorte.
屏幕	ekraan	Palun vähenda ekraani heledust.
屏障	tõke	Mets on oluline tuuletõke.
平凡	tavaline	Ta on töötanud aastaid tavalises ametis.
平面	tasapind	Disainer joonistas maja põhiplaani.
平坦	tasane	See tee on väga tasane.
平行	paralleelne	Need kaks joont on teineteisega paralleelsed.
平庸	keskpärane	Ta ei taha elada keskpärast elu.
平原	tasandik	Rong sõitis läbi laia tasandiku.
评估	hindama	Eksperdid hindavad projekti riske.
评论	kommenteerima	Lugejad saavad artikli all kommenteerida.
坡	nõlv	Auto sõitis aeglaselt nõlvast üles.
泼	pritsima	Ära pritsi vett põrandale.
颇	üsna	See tulemus oli üsna üllatav.
破例	erandit tegema	Juht tegi tema jaoks erandi ja kiitis taotluse heaks.
迫不及待	kannatamatult	Lapsed avasid kingitused kannatamatult.
迫害	tagakiusamine	Ajaloos on paljud inimesed tagakiusamist kannatanud.
魄力	otsustusjulgus	Juhil on vaja otsustusjulgust.
扑	tormama	Laps tormas kohe ema sülle.
铺	laotama	Töölised laotavad uut vaipa.
普及	levima	Internet on linnades juba laialt levinud.
朴实	lihtne	Tema keel on lihtne ja siiras.
朴素	tagasihoidlik	Talle meeldib tagasihoidlik eluviis.
瀑布	juga	Turistid seisid joa kõrval ja tegid fotosid.
凄凉	kõle	Talvine mägiküla paistis väga kõle.
