simplified	UZ	example_UZ
喉咙	tomoq	U ko'p gapirdi, tomog'i biroz og'riyapti.
吼	o'kirmoq	U uzoqqa qarab baland ovozda o'kirdi.
候选	nomzod	U bu yilgi vakillik uchun nomzod.
后代	kelajak avlod	Biz kelajak avlod uchun atrof-muhitni asrashimiz kerak.
后顾之忧	kelajak tashvishi	Barqaror daromad uni kelajak tashvishidan xoli qildi.
后勤	logistika	Logistika bo'limi materiallar ta'minoti uchun javobgar.
呼唤	chaqirmoq	Ona eshik oldida bolasini chaqirdi.
呼啸	uvillamoq	Sovuq shamol deraza tashqarisida uvillardi.
呼吁	da'vat qilmoq	Mutaxassislar hammani isrofgarchilikni kamaytirishga da'vat qildi.
忽略	e'tiborsiz qoldirmoq	Iltimos, bu tafsilotni e'tiborsiz qoldirmang.
湖泊	ko'l	Bu hududda ko'p tabiiy ko'llar bor.
胡乱	tartibsiz	Narsalarni yerga tartibsiz qo'ymang.
胡须	soqol	Uning soqoli allaqachon oqarib ketgan.
花瓣	gulbarg	Yomg'irdan keyin gulbarglar yerga to'kildi.
花蕾	g'uncha	Bahorda shoxlarda g'unchalar chiqadi.
华丽	hashamatli	Sahnadagi kiyimlar juda hashamatli edi.
华侨	chet eldagi xitoylik	Ko'p chet eldagi xitoyliklar vatanga sarmoya kiritish uchun qaytdi.
划分	bo'lmoq	O'qituvchi o'quvchilarni to'rt guruhga bo'ldi.
化肥	kimyoviy o'g'it	Dehqonlar ekinlarga kimyoviy o'g'it berdi.
化石	qazilma	Muzey dinozavr qazilmalarini namoyish qildi.
化验	tahlil	Shifokor unga qon tahlili topshirishni aytdi.
化妆	pardoz qilmoq	U sahnaga chiqishdan oldin pardoz qilmoqda.
画蛇添足	ortiqcha bezak qo'shmoq	Yana izoh qo'shish aksincha ortiqcha bo'ladi.
话筒	mikrofon	Boshlovchi mikrofonni tomoshabinga uzatdi.
欢乐	quvonch	Bayram maydoni quvonchga to'la edi.
环节	bosqich	Treningning har bir bosqichi juda muhim.
还原	asliga qaytarmoq	Iltimos, sozlamalarni standart holatga qaytaring.
缓和	yumshamoq	Ikki tomon munosabatlari asta-sekin yumshadi.
患者	bemor	Shifokor bemorning ahvolini so'ramoqda.
荒凉	xarob	Bu yer juda xarob ko'rinadi.
荒谬	bema'ni	Bu izoh bema'ni eshitiladi.
荒唐	aqlga sig'maydigan	Uning qarori juda aqlga sig'maydigan bo'ldi.
皇帝	imperator	Imperator ulug'vor saroyda yashagan.
皇后	malika	Malika tantanada qatnashdi.
黄昏	shom	Shom paytida ko'cha chiroqlari yondi.
恍然大悟	to'satdan anglamoq	Izohni eshitgach, u to'satdan hammasini angladi.
晃	ko'z oldidan o'tmoq	Ko'z oldimdan bir lahza o'tdi va u yo'q bo'ldi.
挥霍	isrof qilmoq	U ota-onasining pulini isrof qilmasligi kerak.
辉煌	shonli	Bu shaharning shonli tarixi bor.
回报	mukofot	Tirishqoq mehnat oxir-oqibat mukofot beradi.
回避	chetlab o'tmoq	U bu masalani doim chetlab o'tdi.
回顾	ko'rib chiqmoq	Yig'ilish oxirida yil davomidagi ishlar ko'rib chiqildi.
回收	qayta yig'moq	Mahalla eski batareyalarni qayta yig'a boshladi.
悔恨	afsuslanish	U o'tmishdagi xatolari uchun afsuslandi.
毁灭	vayron qilmoq	Urush bu shaharni deyarli vayron qildi.
会晤	uchrashmoq	Ikki davlat rahbarlari ertaga uchrashadi.
汇报	hisobot bermoq	U menejerga jarayon haqida hisobot berdi.
贿赂	pora	Amaldor pora sabab tekshirildi.
昏迷	hushsiz holat	Bemor hali ham hushsiz holatda.
荤	go'shtli	Bu taom go'shtli, vegetarianlarga mos emas.
浑身	butun badan	Yugurib bo'lgach, uning butun badani terga botdi.
混合	aralashtirmoq	Iltimos, ikki xil materialni bir tekis aralashtiring.
混乱	tartibsizlik	Voqea joyida bir muddat juda katta tartibsizlik bo'ldi.
混淆	adashtirmoq	Bu ikki tushunchani adashtirmang.
混浊	loyqa	Yomg'irdan keyin daryo suvi loyqa bo'ldi.
活该	o'ziga yarasha	U maslahatga quloq solmadi, muvaffaqiyatsizlik o'ziga yarasha bo'ldi.
活力	hayotiy kuch	Bu shahar hayotiy kuchga to'la.
火箭	raketa	Raketa belgilangan orbitaga muvaffaqiyatli kirdi.
火焰	alanga	Shamol alangani yanada balandroq qildi.
火药	porox	Porox qadimgi urush usullarini o'zgartirdi.
货币	pul birligi	Pul siyosati iqtisodiy rivojlanishga ta'sir qiladi.
基地	baza	Bu yer ilgari muhim mashg'ulot bazasi bo'lgan.
基金	jamg'arma	Maktab stipendiya jamg'armasini tashkil etdi.
基因	gen	Olimlar bu genni o'rganmoqda.
机动	harakatchan	Bu guruh yuqori harakatchanlikni saqlaydi.
机构	muassasa	Bu muassasa sifat tekshiruviga mas'ul.
机灵	ziyrak	Bu bola juda ziyrak.
机密	maxfiy	Bu materiallar maxfiy hisoblanadi.
机械	uskuna	Zavod yangi uskunalar olib kirdi.
机遇	imkoniyat	Yoshlar imkoniyatni qo'ldan boy bermasligi kerak.
机智	topqir	Uning javobi juda topqir edi.
激发	uyg'otmoq	O'qituvchi o'quvchilarning qiziqishini uyg'otdi.
激励	ruhlantirmoq	Bu muvaffaqiyat butun jamoani ruhlantirdi.
激情	jo'shqinlik	U nutq so'zlaganda jo'shqinlikka to'la edi.
讥笑	masxara qilmoq	Boshqalarning xatosini masxara qilmang.
饥饿	ochlik	Uzoq ochlik sog'liqqa ta'sir qiladi.
即便	hatto	Hatto yomg'ir yog'sa ham, biz vaqtida yo'lga chiqamiz.
即将	tez orada	Yig'ilish tez orada boshlanadi.
及早	erta	Muammo topilsa, uni erta hal qilish kerak.
吉祥	omadli	Xitoyda qizil rang ko'pincha omad ramzi.
嫉妒	hasad qilmoq	U hamkasbining muvaffaqiyatiga hasad qilmasligi kerak.
急功近利	tez foyda ko'zlamoq	Tadqiqotda tez foyda ko'zlamaslik kerak.
急剧	keskin	Savdo hajmi keskin pasaydi.
急切	intizor	U yangilikni intizorlik bilan kutdi.
急于求成	tez natija kutmoq	Til o'rganishda tez natija kutib bo'lmaydi.
急躁	shoshqaloq	Qiyinchilikka duch kelganda shoshqaloq bo'lmang.
极端	haddan tashqari	Bunday haddan tashqari ob-havo tobora ko'p uchrayapti.
极限	chegara	Bu mashg'ulot uning chegarasini sinadi.
疾病	kasallik	Yaxshi odatlar kasallikning oldini oladi.
籍贯	kelib chiqish joyi	Anketada kelib chiqish joyini yozish kerak.
级别	daraja	Bu musobaqa uch darajaga bo'lingan.
集团	korporatsiya	Bu korporatsiyaning xorijda filiallari bor.
给予	bermoq	Maktab kambag'al o'quvchilarga yordam beradi.
季军	uchinchi o'rin	U musobaqada uchinchi o'rinni oldi.
季度	chorak	Kompaniya har chorakda moliyaviy hisobot chiqaradi.
寂静	sokin	Tungi vodiy juda sokin edi.
寄托	umid bog'lamoq	U umidini bolasiga bog'ladi.
忌讳	taqiqlangan mavzu	Mahalliy odamlar dasturxonda bu ishni muhokama qilishni taqiqlangan mavzu deb biladi.
技巧	mahorat	Mahoratni egallash samaradorlikni oshiradi.
纪要	yig'ilish bayoni	Kotib yig'ilish bayonini tartibga soldi.
继承	meros qilib olmoq	U otasining ishini meros qilib oldi.
计较	mayda gapga tortishmoq	Bu arzimas ish uchun tortishmang.
记性	xotira	Uning xotirasi juda yaxshi.
记载	qayd qilmoq	Tarixiy kitoblarda bu urush qayd qilingan.
迹象	belgi	Hozircha yaxshilanish belgisi yo'q.
佳肴	mazali taom	Stol mazali taomlarga to'la edi.
加工	qayta ishlamoq	Bu xomashyoni yana qayta ishlash kerak.
加剧	kuchaymoq	Ziddiyat kuchayib bormoqda.
夹杂	aralashmoq	Yomg'ir ovoziga momaqaldiroq ovozi aralashdi.
家常	uy ovqati	Men uy ovqatini yaxshi ko'raman.
家伙	odam	U odam doim kechikadi.
家属	oila a'zosi	Shifokor bemorning oila a'zolariga xabar berdi.
家喻户晓	hamma biladigan	Bu hikoya hamma biladigan hikoya.
坚定	qat'iy	Uning munosabati juda qat'iy.
坚固	mustahkam	Bu ko'prik juda mustahkam.
坚韧	chidamli	Uning xarakteri chidamli.
坚实	mustahkam	Bu tadqiqotning mustahkam asosi bor.
坚硬	qattiq	Bu tosh juda qattiq.
尖端	eng ilg'or	Kompaniya eng ilg'or texnologiyaga sarmoya kiritadi.
尖锐	o'tkir	Bu masala juda o'tkir.
煎	qovurmoq	Oshpaz baliq qovurmoqda.
监督	nazorat qilmoq	Jamoatchilik nazorati ishni yaxshilashga yordam beradi.
监视	kuzatib turmoq	Politsiya gumondorni kuzatib turibdi.
监狱	qamoqxona	U qamoqxonada jazo o'tamoqda.
艰难	og'ir	Biznes boshlanishi juda og'ir bo'ladi.
剪彩	lenta kesmoq	Shahar hokimi yangi kutubxona uchun lenta kesdi.
拣	tanlab olmoq	U savatdan bir nechta olma tanlab oldi.
检讨	xatoni tahlil qilmoq	U o'z xatolarini jiddiy tahlil qildi.
检验	tekshirmoq	Tajriba bu farazni tekshirishi mumkin.
简化	soddalashtirmoq	Iltimos, jarayonni yanada soddalashtiring.
简陋	oddiy va nochor	Ular oddiy va nochor kichik uyda yashadi.
简体字	soddalashtirilgan xitoy yozuvi	Bu darslik soddalashtirilgan xitoy yozuvidan foydalanadi.
简要	qisqa	Iltimos, fikringizni qisqa tushuntiring.
健全	takomillashtirmoq	Kompaniya boshqaruv tizimini takomillashtirishi kerak.
剑	qilich	Devorda qadimiy qilich osilgan.
溅	sachramoq	Yomg'ir suvi uning shimiga sachradi.
舰艇	harbiy kema	Bir nechta harbiy kema mashqda qatnashdi.
见多识广	ko'pni ko'rgan	Bu keksa odam ko'pni ko'rgan.
见解	fikr	U bu masala bo'yicha o'ziga xos fikrga ega.
见闻	ko'rgan-bilgan	Sayohat uning ko'rgan-bilganini kengaytirdi.
见义勇为	haq ish uchun jasorat ko'rsatmoq	U haq ish uchun jasorat ko'rsatgani uchun maqtov oldi.
践踏	bosib ezmoq	Maysazorni bosib ezmang.
鉴别	farqlamoq	Mutaxassis bu rasmning haqiqiy yoki soxta ekanini farqlay oladi.
鉴定	aniqlamoq	Politsiya barmoq izlarini aniqlamoqda.
鉴于	hisobga olib	Yomon ob-havoni hisobga olib, tadbir qoldirildi.
间谍	josus	Bu film josus haqidagi hikoyani aytadi.
间隔	oraliq	Ikki yig'ilish orasida bir hafta oraliq bor.
间接	bilvosita	Bu siyosat bilvosita ta'sir ko'rsatadi.
僵硬	qotib qolgan	Uning tabassumi qotib qolgandek ko'rindi.
将军	general	General buyruq berdi.
将近	qariyb	Bu loyiha qariyb ikki yil davom etdi.
将就	ko'nib turmoq	Sharoit yomon, hozircha ko'nib turamiz.
奖励	mukofotlamoq	Maktab yaxshi o'quvchilarni mukofotladi.
奖赏	mukofot	Shoh jangchiga katta mukofot berdi.
桨	eshkak	Qayiqchi eshkak bilan qayiqni qirg'oqqa haydadi.
降临	tushmoq	Tun asta-sekin shahar ustiga tushdi.
交叉	kesishmoq	Ikki yo'l shu yerda kesishadi.
交代	aniq tushuntirmoq	Iltimos, vazifani aniq tushuntiring.
交涉	muzokara qilmoq	Ikki tomon tovon masalasi bo'yicha muzokara qilmoqda.
交易	bitim	Bu bitim allaqachon tugallandi.
娇气	noziklik qilmoq	Juda noziklik qilmang, havo sovuq emas.
焦点	markaz	Bandlik masalasi muhokama markaziga aylandi.
焦急	xavotirli	Ona bolasining qaytishini xavotir bilan kutdi.
侥幸	omad tufayli	U falokatdan omad tufayli qutulib qoldi.
搅拌	aralashtirmoq	Iltimos, xamirni bir tekis aralashtiring.
缴纳	to'lamoq	Aholi suv haqini vaqtida to'lashi kerak.
角落	burchak	Mushuk xonaning burchagiga yashirindi.
教养	tarbiya	Yaxshi tarbiya mayda jihatlarda ko'rinadi.
较量	bellashmoq	Ikki kuchli jamoa tez orada bellashadi.
接连	ketma-ket	U ketma-ket uchta xat oldi.
揭露	fosh qilmoq	Jurnalist oziq-ovqat xavfsizligi muammosini fosh qildi.
皆	hamma	Bu qoidalarni hamma biladi.
阶层	ijtimoiy qatlam	Turli ijtimoiy qatlamlarning ehtiyojlari har xil.
截止	yakunlanmoq	Ro'yxatdan o'tish ertaga tushdan keyin yakunlanadi.
截至	gacha	Bugungacha ikki yuz kishi ro'yxatdan o'tdi.
杰出	atoqli	U atoqli olim.
竭尽全力	bor kuchini sarflamoq	Biz vazifani bajarish uchun bor kuchimizni sarflaymiz.
结晶	mevasi	Bu natija ko'p yillik mehnatning mevasi.
结局	yakun	Hikoyaning yakuni kutilmagan bo'ldi.
结算	hisob-kitob qilmoq	Mijoz oy oxirida xarajatlarni hisob-kitob qilishni so'radi.
节制	me'yor	Ovqatlanishda me'yor bo'lishi kerak.
节奏	ritm	Bu qo'shiqning ritmi tez.
解除	bekor qilmoq	Kompaniya xavfsizlik ogohlantirishini bekor qildi.
解放	ozod qilmoq	Islohot ishlab chiqarish kuchlarini ozod qildi.
解雇	ishdan bo'shatmoq	Boshliq o'sha xodimni ishdan bo'shatishga qaror qildi.
解剖	anatomiyani o'rganish	Tibbiyot talabalari anatomiyani o'rganmoqda.
解散	tarqatib yubormoq	Yig'ilish tugagach, jamoa tarqatib yuborildi.
解体	parchalanmoq	U ittifoq oxir-oqibat parchalanib ketdi.
借鉴	tajriba olish	Biz xorij tajribasidan foydalanishimiz mumkin.
借助	yordamida	U xarita yordamida yo'lni topdi.
戒备	hushyorlik	Chegara hududi yuqori hushyorlikda turibdi.
界限	chegara	Ish va hayot o'rtasida aniq chegara kerak.
津津有味	zavq bilan	Bolalar hikoyani zavq bilan tinglashdi.
金融	moliya	Moliya bozori bugun kuchli tebrandi.
紧迫	shoshilinch	Vaqt shoshilinch, biz darhol harakat qilishimiz kerak.
锦上添花	ustiga-ustak chiroy qo'shmoq	Bu sovg'a bor narsaga yana chiroy qo'shdi.
晋升	lavozimi ko'tarilmoq	U o'tgan yili bo'lim menejeri lavozimiga ko'tarildi.
浸泡	ivitmoq	Loviyani bir kecha ivitish kerak.
近来	so'nggi paytlarda	So'nggi paytlarda ob-havo juda o'zgardi.
进而	keyin	Avval ehtiyojni tushunib, keyin reja tuzing.
进攻	hujum qilish	Jamoa ikkinchi bo'limda hujumni kuchaytirdi.
进化	evolyutsiya	Tirik organizmlar muhit bilan birga evolyutsiya qiladi.
进展	rivojlanmoq	Loyiha hozir yaxshi rivojlanmoqda.
兢兢业业	vijdonan	U o'ttiz yil vijdonan ishladi.
惊动	bezovta qilmoq	Kuchli shovqin yaqin atrofdagi aholini bezovta qildi.
惊奇	hayratlanmoq	Bolalar sehrli tomoshaga hayrat bilan qaradi.
惊讶	hayron qoldirmoq	Uning javobi meni hayron qoldirdi.
精打细算	puxta hisob-kitob qilmoq	U ro'zg'orni doim puxta hisob-kitob bilan yuritadi.
精华	mohiyat	Bu maqola nazariyaning mohiyatini umumlashtiradi.
精简	qisqartirmoq	Kompaniya boshqaruv qatlamini qisqartirishga qaror qildi.
精密	aniq	Bu asbob juda aniq.
精确	aniq	Ma'lumotlar verguldan keyin ikki xonagacha aniq bo'lishi kerak.
精通	puxta bilmoq	U uchta xorijiy tilni puxta biladi.
精心	puxta	Ona kechki ovqatni puxta tayyorladi.
精益求精	mukammallikka intilmoq	Yaxshi hunarmand doim mukammallikka intiladi.
精致	nafis	Bu sovg'a juda nafis qadoqlangan.
经费	mablag'	Tadqiqot mablag'i allaqachon tasdiqlandi.
经纬	uzunlik va kenglik	Xaritada uzunlik va kenglik chiziqlari ko'rsatilgan.
茎	poya	O'simlikning poyasi barglarni ushlab turadi.
井	quduq	Qishloq kiraverishida eski quduq bor.
警告	ogohlantirmoq	O'qituvchi o'quvchilarni ko'chirmaslik haqida ogohlantirdi.
警惕	hushyor bo'lmoq	Biz internet firibgarligidan hushyor bo'lishimiz kerak.
颈椎	bo'yin umurtqasi	Uzoq vaqt bosh egib turish bo'yin umurtqasiga zarar yetkazadi.
境界	daraja	Uning rasmi yangi darajaga yetdi.
敬礼	harbiy salom bermoq	Askar davlat bayrog'iga harbiy salom berdi.
敬业	ishga sadoqatli bo'lmoq	U ishda jiddiy va juda sadoqatli.
竞赛	musobaqa	Maktab matematika musobaqasi o'tkazdi.
竞选	saylovda nomzod bo'lmoq	U shahar hokimligiga nomzod bo'lishga tayyorlanmoqda.
镜头	kamera obyekti	Fotograf kamera obyektivini sozladi.
纠纷	nizo	Ikki tomon nizoni vositachilik orqali hal qildi.
纠正	tuzatmoq	O'qituvchi talaffuz xatosini vaqtida tuzatdi.
酒精	spirt	Shifokor jarohatni spirt bilan dezinfeksiya qildi.
就近	yaqin joyda	O'quvchilar yaqin joydagi maktabga kirishi mumkin.
就业	ishga joylashish	Hukumat ishga joylashishni qo'llab-quvvatlovchi siyosat chiqardi.
就职	lavozimga kirishmoq	Yangi menejer kelasi hafta rasman lavozimga kirishadi.
救济	yordam	Ofat jabrlanuvchilari vaqtida yordam oldi.
居民	aholi	Atrofdagi aholi shovqin ifloslanishiga qarshi chiqdi.
居住	yashamoq	Ular bu yerda o'n yil yashagan.
拘留	hibsga olmoq	Politsiya gumondorni qonun bo'yicha hibsga oldi.
拘束	tortinmoq	Do'stlar oldida tortinishning hojati yo'q.
鞠躬	ta'zim qilmoq	Aktyor tomoshabinlarga minnatdorlik bildirib ta'zim qildi.
局部	mahalliy	Shifokor faqat mahalliy og'riqsizlantirish qildi.
局面	vaziyat	Muzokaralar keskin vaziyatni yaxshiladi.
局势	holat	Xalqaro holat hanuz murakkab.
局限	cheklov	Bu usulda aniq cheklovlar bor.
举动	xatti-harakat	Uning xatti-harakati hammani ta'sirlantirdi.
举世瞩目	butun dunyo e'tiborini tortmoq	Bu loyiha butun dunyo e'tiborini tortgan yutuqqa erishdi.
举足轻重	hal qiluvchi ahamiyatga ega bo'lmoq	Bu kompaniya sohada hal qiluvchi ahamiyatga ega.
咀嚼	chaynamoq	Ovqatlanayotganda sekin chaynash kerak.
沮丧	tushkun	Mag'lubiyatdan keyin u juda tushkun bo'ldi.
剧本	ssenariy	Rejissyor ssenariyni qayta ko'rib chiqmoqda.
剧烈	kuchli	Yer kuchli silkinib ketdi.
据悉	xabarlarga ko'ra	Xabarlarga ko'ra, yig'ilish kelasi haftaga qoldiriladi.
聚精会神	diqqatni jamlamoq	Bolalar darsni diqqat bilan tinglashdi.
卷	o'ramoq	U xaritani o'rab, sumkasiga soldi.
倔强	qaysar	Bu bolaning xarakteri juda qaysar.
决策	qaror qabul qilish	Rahbariyat muhim qarorni muhokama qilmoqda.
绝望	umidsizlik	Muvaffaqiyatsizlikdan keyin u bir muddat umidsizlikka tushdi.
觉悟	onglilik	Bu tajriba uning ongliligini oshirdi.
觉醒	uyg'onmoq	Jamoatchilikning ekologik ongi uyg'onmoqda.
军队	armiya	Armiya ofat hududiga tez yetib bordi.
君子	olijanob inson	Olijanob insonning so'zi va amali bir bo'lishi kerak.
卡通	multfilm	Bola multfilmlarni tomosha qilishni yoqtiradi.
开采	qazib olmoq	Bu kompaniya foydali qazilmalarni qazib olishga mas'ul.
开除	haydamoq	Maktab ko'chirgan o'quvchini haydashga qaror qildi.
开阔	keng	Tog' cho'qqisidan manzara juda keng ko'rinadi.
开朗	ochiqko'ngil	U ochiqko'ngil, do'stlari ko'p.
开明	ochiq fikrli	Ota-onaning munosabati juda ochiq fikrli.
开辟	ochmoq	Shahar yangi avtobus yo'nalishini ochdi.
开拓	rivojlantirmoq	Kompaniya xorijiy bozorlarni rivojlantirishni rejalashtirmoqda.
开展	o'tkazmoq	Maktab xavfsizlik bo'yicha ta'lim tadbirini o'tkazdi.
开支	xarajat	Oilaning oylik xarajati oshdi.
刊登	chop etmoq	Gazeta uning maqolasini chop etdi.
刊物	nashr	Bu nashr oyiga bir marta chiqadi.
勘探	qidiruv	Muhandislar guruhi yerosti suv manbalarini qidirmoqda.
侃侃而谈	ishonch bilan gapirmoq	U yig'ilishda ishonch bilan uzoq gapirdi.
砍伐	kesib tashlamoq	O'rmonlarni o'zboshimchalik bilan kesish taqiqlanadi.
看待	qaramoq	Bu masalaga xolis qarashimiz kerak.
慷慨	saxiy	U mukofot pulini saxiylik bilan xayriya qildi.
抗议	norozilik bildirmoq	Aholi yangi zavod qurilishiga norozilik bildirdi.
考察	joyida o'rganmoq	Mutaxassislar muhitni joyida o'rganish uchun bordi.
考古	arxeologiya	Arxeologiya guruhi qadimiy qabrlarni topdi.
考核	baholamoq	Kompaniya har yili xodimlar ishini baholaydi.
考验	sinamoq	Bu inqiroz jamoaning qobiliyatini sinadi.
靠拢	yaqinlashmoq	Jamoa a'zolari markazga yaqinlashdi.
磕	urib olmoq	U tasodifan stol burchagiga urilib oldi.
科目	fan	Matematika uning eng yoqtirgan fani.
可观	salmoqli	Bu investitsiya salmoqli daromad keltirdi.
可口	mazali	Bu restoranning taomlari mazali.
可恶	jirkanch	Bunday aldov haqiqatan jirkanch.
可行	amalga oshiriladigan	Bu reja asosan amalga oshiriladigan.
渴望	intilmoq	Bolalar ko'proq imkoniyatlarga intiladi.
克制	o'zini tiyish	Janjal paytida his-tuyg'ularni tiyish kerak.
刻不容缓	kechiktirib bo'lmaydigan	Suv manbalarini himoya qilish kechiktirib bo'lmaydigan ish.
客户	mijoz	Mijoz xizmatdan juda mamnun.
课题	mavzu	Bu mavzu chuqur tadqiq qilishga arziydi.
啃	kemirmoq	Bola bir dona makkajo'xorini kemirmoqda.
恳切	samimiy	U hammadan samimiy yordam so'radi.
坑	chuqur	Yo'l chetida juda chuqur chuqur bor.
空洞	mazmunsiz	Bu hisobotning mazmuni bo'sh.
空前绝后	misli ko'rilmagan	Bu tomoshani misli ko'rilmagan deyish mumkin.
空想	xayol	Shunchaki xayol bilan muammoni hal qilib bo'lmaydi.
空虚	bo'shliq	Bandlik tugagach, u ichki bo'shliqni his qildi.
孔	tuynuk	Devorda kichik tuynuk bor.
恐怖	qo'rqinchli	U filmning muhiti juda qo'rqinchli.
恐吓	qo'rqitmoq	Qarshi tomon guvohni tahdid bilan qo'rqitdi.
恐惧	qo'rquv	Qorong'ulik bolada qo'rquv uyg'otdi.
空白	bo'sh joy	Iltimos, bo'sh joyga imzo qo'ying.
空隙	tirqish	Eshik bilan pol orasida tirqish bor.
口气	ohang	Uning gapirish ohangi juda keskin edi.
口腔	og'iz bo'shlig'i	Shifokor uning og'iz bo'shlig'ini tekshirdi.
口头	og'zaki	Ularda faqat og'zaki kelishuv bor.
口音	sheva	Uning mandarin tilida biroz sheva bor.
扣	mahkamlamoq	Iltimos, xavfsizlik kamarini mahkamlang.
哭泣	yig'lamoq	Qiz burchakka yashirinib yig'ladi.
枯萎	so'lmoq	Suv yetishmasligi gullarni so'ldirdi.
枯燥	zerikarli	Bu ish biroz zerikarli.
苦尽甘来	qiyinchilikdan keyin rohat kelmoq	Ko'p yillik sabrdan keyin nihoyat qiyinchilikdan keyin rohat keldi.
苦涩	achchiq	Bu dorivor choyning ta'mi achchiq.
挎	qo'lda osib ko'tarmoq	U mato sumkani qo'liga osib, tashqariga chiqdi.
跨	hatlab o'tmoq	U ariqdan hatlab o'tib, oldinga yurishda davom etdi.
快活	xursand	Bolalar maysazorda xursand o'ynashdi.
宽敞	keng	Bu sinfxona yorug' va keng.
宽容	bag'rikenglik	Jamiyatga ko'proq tushunish va bag'rikenglik kerak.
款待	mehmon qilmoq	Mezbon mehmonlarni iliq mehmon qildi.
款式	uslub	Bu kiyimning uslubi juda yangi.
筐	savat	U bir savat olmani uyga ko'tarib bordi.
况且	bundan tashqari	Yo'l uzoq, bundan tashqari, kun qoraymoqda.
旷课	dars qoldirmoq	Sababsiz dars qoldirgan o'quvchilar qayd qilinadi.
框架	tuzilma	Hisobot avval tuzilmasini belgilashi kerak.
矿产	foydali qazilma	Bu hudud foydali qazilmalarga boy.
亏待	nohaq munosabat qilmoq	Kompaniya jiddiy ishlaydigan xodimlarga nohaq munosabat qilmaydi.
亏损	zarar	Fabrika bu yil katta zarar ko'rdi.
捆绑	bog'lamoq	Iltimos, bu qutilarni mahkam bog'lang.
扩充	kengaytirmoq	Maktab kutubxona fondini kengaytirishni rejalashtirmoqda.
扩散	tarqalmoq	Mish-mish internetda tez tarqaldi.
扩张	kengayish	Kompaniya biznesini ehtiyotkorlik bilan kengaytirmoqda.
啦	gap oxiri yuklamasi	Xavotir olmang, hammasi yaxshi bo'ladi.
喇叭	signal	Avtomobil signali birdan chalindi.
蜡烛	sham	Tug'ilgan kun tortiga shamlar qo'yilgan edi.
来历	kelib chiqish	Bu madaniy yodgorlikning kelib chiqishi noma'lum.
来源	manba	Xabarda axborot manbasi ko'rsatilishi kerak.
栏目	rukn	Bu rukn haftada bir marta efirga uzatiladi.
懒惰	dangasa	Dangasalikka berilish o'qish natijasiga ta'sir qiladi.
狼狈	ayanchli	Yomg'irdan keyin u butunlay ho'l bo'lib, juda ayanchli ko'rindi.
狼吞虎咽	ochko'zlik bilan yemoq	U juda och qolgan edi va ovqatni ochko'zlik bilan yedi.
捞	suzib olmoq	Baliqchi daryodan to'rni suzib oldi.
唠叨	hadeb gapirmoq	Onasi doim mayda narsalar haqida hadeb gapiradi.
牢固	mustahkam	Bu ko'prikning tuzilishi juda mustahkam.
牢骚	shikoyat	U shikoyatga to'la, lekin o'zgarishni xohlamaydi.
乐趣	zavq	Kitob o'qish unga ko'p zavq beradi.
乐意	mamnuniyat bilan tayyor bo'lmoq	Men rezyumengizni tuzatishga mamnuniyat bilan tayyorman.
雷达	radiolokator	Radiolokator uzoqdagi samolyotni aniqladi.
类似	o'xshash	O'xshash muammolar avval ham paydo bo'lgan.
冷酷	bag'ritosh	Uning ohangi juda bag'ritosh eshitildi.
冷落	e'tiborsiz qoldirmoq	Yangi xodim o'zini e'tiborsiz qoldirilgandek his qildi.
冷却	sovimoq	Mashinani ta'mirlashdan oldin sovishi kerak.
愣	qotib qolmoq	Bu xabarni eshitib, u qotib qoldi.
黎明	tong	Tong paytida shahar asta-sekin uyg'ondi.
理睬	e'tibor bermoq	U jahli chiqqan edi va hech kimga e'tibor bermadi.
理所当然	o'z-o'zidan tabiiy deb bilmoq	Boshqalarning yordamini o'z-o'zidan tabiiy deb bilmang.
理直气壮	haqligiga ishonch bilan gapirmoq	Dalillar yetarli bo'lgani uchun u haqligiga ishonch bilan gapirdi.
理智	aql-idrok	Mojaro paytida aql-idrokni saqlash kerak.
礼节	odob-rasm	Turli madaniyatlarda turli odob-rasmlar bor.
礼尚往来	iltifotga iltifot bilan javob berish	Qo'shnilar orasida iltifotga iltifot bilan javob berish qadrlanadi.
里程碑	muhim bosqich	Bu muvaffaqiyat loyiha uchun muhim bosqichdir.
例外	istisno	Hamma qatnashishi kerak, istisno yo'q.
利害	manfaat va zarar	Bu ikki tomonning manfaat va zarariga taalluqli.
力求	intilmoq	Biz xatolarni eng past darajaga tushirishga intilamiz.
力所能及	qo'lidan keladigan	Iltimos, qo'lingizdan keladigan ishlarni qiling.
力争	harakat qilmoq	Jamoa vazifani muddatidan oldin tugatishga harakat qilmoqda.
历代	o'tgan avlodlar	O'tgan avlod olimlari ham bu masalani o'rgangan.
历来	azaldan	Bu shahar azaldan ta'limga e'tibor beradi.
立场	pozitsiya	U yig'ilishda o'z pozitsiyasini bildirdi.
立方	kub	Bu suv bakining sig'imi uch kub metr.
立交桥	yo'l o'tkazgich	Bu yo'l o'tkazgich tirbandlikni kamaytirdi.
立体	uch o'lchamli	Bu rasmda kuchli uch o'lchamli ta'sir bor.
立足	tayanmoq	Korxonalar mahalliy bozorga tayanishi kerak.
粒	dona	Stolda bir necha dona guruch bor.
廉洁	halol	Davlat xizmatchilari halol va pok bo'lishi kerak.
