hsk_key	source_word	simplified	ES	example_ES	FR	example_FR	DE	example_DE	IT	example_IT	PT	example_PT	RU	example_RU
5299:之所以	之所以	之所以	la razón por la que	La razón por la que llegó tarde fue el tráfico en el camino.	la raison pour laquelle	La raison pour laquelle il était en retard, c'est qu'il y avait des embouteillages en route.	der Grund, warum	Der Grund, warum er zu spät kam, war der Verkehr unterwegs.	il motivo per cui	Il motivo per cui era in ritardo era il traffico lungo la strada.	a razão pela qual	A razão pela qual ele se atrasou foi o trânsito no caminho.	причина, по которой	Причина, по которой он опоздал, была в пробках по дороге.
5303:职员	职员	职员	empleado; miembro del personal	Todos los empleados de la empresa asistieron a la capacitación.	employé; membre du personnel	Tous les employés de l'entreprise ont participé à la formation.	Angestellter; Mitarbeiter	Alle Mitarbeiter des Unternehmens nahmen an der Schulung teil.	impiegato; membro del personale	Tutti i dipendenti dell'azienda hanno partecipato alla formazione.	funcionário; membro da equipe	Todos os funcionários da empresa participaram do treinamento.	сотрудник; служащий	Все сотрудники компании прошли обучение.
5304:职责	职责	职责	deber; responsabilidad	El deber de un médico es proteger la salud de los pacientes.	devoir; responsabilité	Le devoir d'un médecin est de protéger la santé des patients.	Pflicht; Verantwortung	Die Pflicht eines Arztes ist es, die Gesundheit der Patienten zu schützen.	dovere; responsabilità	Il dovere di un medico è proteggere la salute dei pazienti.	dever; responsabilidade	O dever de um médico é proteger a saúde dos pacientes.	обязанность; ответственность	Обязанность врача - защищать здоровье пациентов.
5306:只得	只得	只得	no tener más remedio que	La lluvia era demasiado fuerte, así que no tuvimos más remedio que cancelar la actividad.	ne pas avoir d'autre choix que	La pluie était trop forte, alors nous n'avons pas eu d'autre choix que d'annuler l'activité.	keine andere Wahl haben als	Der Regen war zu stark, daher mussten wir die Aktivität absagen.	non avere altra scelta che	La pioggia era troppo forte, quindi non abbiamo avuto altra scelta che annullare l'attività.	não ter escolha senão	A chuva estava forte demais, então não tivemos escolha senão cancelar a atividade.	быть вынужденным; не оставалось ничего, кроме	Дождь был слишком сильным, поэтому нам пришлось отменить мероприятие.
5308:只顾	只顾	只顾	preocuparse solo por; estar absorto en	Él solo miraba el teléfono y no oyó lo que dije.	ne s'occuper que de; être absorbé par	Il ne faisait que regarder son téléphone et ne m'a pas entendu parler.	nur an etwas denken; vertieft sein	Er schaute nur auf sein Handy und hörte mich nicht sprechen.	pensare solo a; essere assorbito da	Guardava solo il telefono e non mi ha sentito parlare.	só se importar com; estar absorvido em	Ele só olhava para o celular e não me ouviu falar.	думать только о; быть поглощенным	Он смотрел только в телефон и не услышал, что я сказал.
5312:制	制	制	fabricar; sistema	Este medicamento es fabricado por una farmacéutica local.	fabriquer; système	Ce médicament est fabriqué par une usine pharmaceutique locale.	herstellen; System	Dieses Medikament wird von einer örtlichen Pharmafabrik hergestellt.	produrre; sistema	Questo medicinale è prodotto da una fabbrica farmaceutica locale.	fabricar; sistema	Este medicamento é fabricado por uma indústria farmacêutica local.	производить; система	Это лекарство производится местной фармацевтической фабрикой.
5313:至关重要	至关重要	至关重要	crucial; de suma importancia	La capacitación en seguridad es crucial para los empleados nuevos.	crucial; d'une importance capitale	La formation à la sécurité est cruciale pour les nouveaux employés.	äußerst wichtig; entscheidend	Sicherheitsschulungen sind für neue Mitarbeiter äußerst wichtig.	di importanza cruciale	La formazione sulla sicurezza è di importanza cruciale per i nuovi dipendenti.	extremamente importante; crucial	O treinamento de segurança é extremamente importante para novos funcionários.	крайне важный; жизненно важный	Обучение безопасности крайне важно для новых сотрудников.
5316:制品	制品	制品	producto; artículo manufacturado	Esta tienda vende todo tipo de productos de madera.	produit; article manufacturé	Ce magasin vend toutes sortes de produits en bois.	Produkt; Erzeugnis	Dieses Geschäft verkauft alle Arten von Holzprodukten.	prodotto; manufatto	Questo negozio vende ogni tipo di prodotti in legno.	produto; artigo manufaturado	Esta loja vende todos os tipos de produtos de madeira.	изделие; продукция	Этот магазин продает разные изделия из дерева.
5318:质疑	质疑	质疑	cuestionar; dudar	El reportero cuestionó los datos de este informe.	mettre en doute; questionner	Le journaliste a mis en doute les données de ce rapport.	anzweifeln; infrage stellen	Der Reporter stellte die Daten in diesem Bericht infrage.	mettere in dubbio; contestare	Il giornalista ha messo in dubbio i dati di questo rapporto.	questionar; duvidar	O repórter questionou os dados deste relatório.	подвергать сомнению; сомневаться	Репортер усомнился в данных этого отчета.
5320:中等	中等	中等	mediano; promedio	Esta prenda es de talla mediana.	moyen; intermédiaire	Ce vêtement est de taille moyenne.	mittel; durchschnittlich	Dieses Kleidungsstück hat mittlere Größe.	medio; intermedio	Questo capo è di taglia media.	médio; mediano	Esta peça de roupa é de tamanho médio.	средний	Этот предмет одежды среднего размера.
5324:钟头	钟头	钟头	hora	Esperamos dos horas.	heure	Nous avons attendu deux heures.	Stunde	Wir haben zwei Stunden gewartet.	ora	Abbiamo aspettato due ore.	hora	Esperamos duas horas.	час	Мы ждали два часа.
5327:肿	肿	肿	hincharse; hinchado	Se le hinchó el tobillo.	enfler; gonflé	Sa cheville a enflé.	anschwellen; geschwollen	Sein Knöchel schwoll an.	gonfiarsi; gonfio	Gli si è gonfiata la caviglia.	inchar; inchado	O tornozelo dele inchou.	опухать; опухший	У него опухла щиколотка.
5328:中	中	中	acertar; ganar; ser afectado	Ganó un premio y estaba tan feliz que no podía hablar.	toucher; gagner; être atteint	Il a gagné un prix et était si heureux qu'il ne pouvait plus parler.	treffen; gewinnen; betroffen sein	Er gewann einen Preis und war so glücklich, dass er nicht sprechen konnte.	colpire; vincere; essere affetto da	Ha vinto un premio ed era così felice da non riuscire a parlare.	acertar; ganhar; ser afetado	Ele ganhou um prêmio e ficou tão feliz que não conseguia falar.	попасть; выиграть; подвергнуться	Он выиграл приз и был так счастлив, что не мог говорить.
5329:种地	种地	种地	cultivar la tierra; trabajar el campo	El abuelo cultivaba la tierra en el campo cuando era joven.	cultiver la terre; faire de l'agriculture	Quand il était jeune, grand-père cultivait la terre à la campagne.	Landwirtschaft betreiben; Ackerbau treiben	Als Großvater jung war, bewirtschaftete er Land auf dem Dorf.	coltivare la terra	Da giovane, il nonno coltivava la terra in campagna.	cultivar a terra; trabalhar na lavoura	Quando era jovem, o avô cultivava a terra no campo.	заниматься земледелием; обрабатывать землю	В молодости дедушка работал на земле в деревне.
5330:中毒	中毒	中毒	envenenarse; intoxicarse	La comida en mal estado puede causar intoxicación.	être empoisonné; intoxication	Les aliments avariés peuvent provoquer une intoxication.	vergiftet werden; Vergiftung	Verdorbene Lebensmittel können eine Vergiftung verursachen.	avvelenarsi; intossicarsi	Il cibo avariato può causare un'intossicazione.	ser envenenado; intoxicar-se	Comida estragada pode causar intoxicação.	отравиться; отравление	Испорченная еда может вызвать отравление.
5331:中奖	中奖	中奖	ganar un premio	Ganó un premio la primera vez que compró un billete de lotería.	gagner un prix; gagner à la loterie	Elle a gagné un prix la première fois qu'elle a acheté un billet de loterie.	einen Preis gewinnen; in der Lotterie gewinnen	Sie gewann gleich beim ersten Kauf eines Lottoscheins einen Preis.	vincere un premio	Ha vinto un premio la prima volta che ha comprato un biglietto della lotteria.	ganhar um prêmio	Ela ganhou um prêmio na primeira vez que comprou um bilhete de loteria.	выиграть приз; выиграть в лотерею	Она выиграла приз, когда впервые купила лотерейный билет.
5332:众人	众人	众人	todos; la multitud	Todos se sorprendieron después de escuchar la noticia.	tout le monde; la foule	Tout le monde a été surpris après avoir entendu la nouvelle.	alle; die Menge	Nach der Nachricht waren alle überrascht.	tutti; la folla	Tutti sono rimasti sorpresi dopo aver sentito la notizia.	todos; a multidão	Todos ficaram surpresos depois de ouvir a notícia.	все; толпа	Все удивились, услышав эту новость.
5333:中暑	中暑	中暑	golpe de calor; sufrir insolación	En clima muy caluroso, los ancianos son propensos a sufrir un golpe de calor.	coup de chaleur; souffrir d'insolation	Par très forte chaleur, les personnes âgées sont sujettes aux coups de chaleur.	Hitzschlag; einen Hitzschlag erleiden	Bei sehr heißem Wetter sind ältere Menschen anfällig für Hitzschlag.	colpo di calore; soffrire un'insolazione	Quando fa molto caldo, gli anziani sono soggetti ai colpi di calore.	insolação; sofrer golpe de calor	Em dias muito quentes, idosos são propensos a sofrer insolação.	тепловой удар; получить тепловой удар	В очень жаркую погоду пожилые люди склонны к тепловому удару.
5342:珠宝	珠宝	珠宝	joyería; joyas	Esta tienda se especializa en diseñar joyas.	bijoux; joaillerie	Cette boutique est spécialisée dans la création de bijoux.	Schmuck; Juwelen	Dieses Geschäft ist auf das Design von Schmuck spezialisiert.	gioielli; gioielleria	Questo negozio è specializzato nella progettazione di gioielli.	joias; joalheria	Esta loja é especializada em desenhar joias.	ювелирные изделия; драгоценности	Этот магазин специализируется на дизайне ювелирных изделий.
5343:诸多	诸多	诸多	numerosos; muchos	Este proyecto enfrenta numerosos desafíos.	de nombreux; multiples	Ce projet fait face à de nombreux défis.	zahlreiche; viele	Dieses Projekt steht vor zahlreichen Herausforderungen.	numerosi; molti	Questo progetto affronta numerose sfide.	numerosos; muitos	Este projeto enfrenta muitos desafios.	многочисленные; многие	Этот проект сталкивается с многочисленными трудностями.
5345:主播	主播	主播	presentadora; streamer	Ella es la presentadora de este programa.	présentatrice; animateur en ligne	Elle est la présentatrice de cette émission.	Moderator; Livestreamer	Sie ist die Moderatorin dieser Sendung.	conduttrice; streamer	Lei è la conduttrice di questo programma.	apresentadora; streamer	Ela é a apresentadora deste programa.	ведущая; стример	Она ведущая этой программы.
5348:主角	主角	主角	protagonista; papel principal	El protagonista de esta película es un médico.	personnage principal; rôle principal	Le personnage principal de ce film est un médecin.	Hauptfigur; Hauptrolle	Die Hauptfigur in diesem Film ist ein Arzt.	protagonista; ruolo principale	Il protagonista di questo film è un medico.	protagonista; papel principal	O protagonista deste filme é um médico.	главный герой; главная роль	Главный герой этого фильма - врач.
5350:主演	主演	主演	protagonizar; actor principal	Esta obra está protagonizada por actores jóvenes.	jouer le rôle principal; acteur principal	Cette pièce est jouée par de jeunes acteurs dans les rôles principaux.	die Hauptrolle spielen; Hauptdarsteller	In diesem Stück spielen junge Schauspieler die Hauptrollen.	recitare da protagonista; attore principale	Questo spettacolo è interpretato da giovani attori.	estrelar; ator principal	Esta peça é estrelada por atores jovens.	исполнять главную роль; главный актер	В этой пьесе главные роли играют молодые актеры.
5355:祝愿	祝愿	祝愿	desear	Te deseo sinceramente felicidad.	souhaiter	Je te souhaite sincèrement du bonheur.	wünschen	Ich wünsche dir von Herzen Glück.	augurare	Ti auguro sinceramente felicità.	desejar	Desejo sinceramente felicidade a você.	желать	Я искренне желаю тебе счастья.
5359:专科	专科	专科	especialidad; centro técnico superior	Este hospital tiene una consulta especializada de oftalmología.	spécialité; cycle court spécialisé	Cet hôpital dispose d'une consultation spécialisée en ophtalmologie.	Fachabteilung; Fachhochschulbildung	Dieses Krankenhaus hat eine spezialisierte Augenklinik.	specialità; istituto tecnico superiore	Questo ospedale ha un ambulatorio specialistico di oftalmologia.	especialidade; curso técnico superior	Este hospital tem uma clínica especializada em oftalmologia.	профильное отделение; колледж/специалитет	В этой больнице есть специализированная офтальмологическая клиника.
5362:专用	专用	专用	de uso exclusivo; dedicado	Este pasaje es solo para uso del personal.	réservé; dédié	Ce passage est réservé au personnel.	speziell; zweckgebunden	Dieser Durchgang ist nur für Mitarbeiter bestimmt.	riservato; dedicato	Questo passaggio è riservato al personale.	exclusivo; dedicado	Esta passagem é exclusiva para funcionários.	специальный; служебный	Этот проход предназначен только для сотрудников.
5363:专注	专注	专注	concentrado; concentrarse	Ella está muy concentrada cuando hace experimentos.	concentré; se concentrer	Elle est très concentrée lorsqu'elle fait des expériences.	konzentriert; sich konzentrieren	Bei Experimenten ist sie sehr konzentriert.	concentrato; concentrarsi	Quando fa esperimenti è molto concentrata.	focado; concentrar-se	Ela fica muito focada quando faz experimentos.	сосредоточенный; концентрироваться	Во время экспериментов она очень сосредоточена.
5364:转换	转换	转换	convertir; cambiar	Por favor, convierte el archivo al formato PDF.	convertir; changer	Veuillez convertir le fichier au format PDF.	umwandeln; wechseln	Bitte wandeln Sie die Datei in das PDF-Format um.	convertire; cambiare	Per favore, converti il file in formato PDF.	converter; trocar	Por favor, converta o arquivo para o formato PDF.	преобразовать; переключить	Пожалуйста, преобразуйте файл в формат PDF.
5365:转交	转交	转交	entregar; pasar a otra persona	Por favor, entrega esta carta al gerente.	transmettre; remettre	Veuillez transmettre cette lettre au directeur.	weiterleiten; übergeben	Bitte geben Sie diesen Brief an den Manager weiter.	consegnare; inoltrare	Per favore, consegna questa lettera al direttore.	repassar; entregar	Por favor, entregue esta carta ao gerente.	передать; переслать	Пожалуйста, передайте это письмо менеджеру.
5367:转身	转身	转身	darse la vuelta	Al oír el sonido, se dio la vuelta de inmediato.	se retourner	Après avoir entendu le bruit, il s'est immédiatement retourné.	sich umdrehen	Als er das Geräusch hörte, drehte er sich sofort um.	girarsi	Dopo aver sentito il rumore, si è girato subito.	virar-se	Ele se virou imediatamente depois de ouvir o som.	обернуться; повернуться	Услышав звук, он сразу обернулся.
5370:转动	转动	转动	girar; rotar	La rueda de la máquina empezó a girar.	tourner; faire tourner	La roue de la machine a commencé à tourner.	drehen; rotieren	Das Rad der Maschine begann sich zu drehen.	ruotare; girare	La ruota della macchina ha iniziato a girare.	girar; rodar	A roda da máquina começou a girar.	вращаться; поворачивать	Колесо машины начало вращаться.
5374:捉	捉	捉	atrapar; capturar	Los niños atraparon mariposas en el patio.	attraper; capturer	Les enfants ont attrapé des papillons dans la cour.	fangen; ergreifen	Die Kinder fingen Schmetterlinge im Hof.	catturare; prendere	I bambini hanno catturato farfalle nel cortile.	pegar; capturar	As crianças pegaram borboletas no quintal.	ловить; поймать	Дети ловили бабочек во дворе.
5378:自来水	自来水	自来水	agua del grifo	El agua del grifo aquí se puede beber directamente.	eau du robinet	Ici, l'eau du robinet peut être bue directement.	Leitungswasser	Das Leitungswasser hier kann man direkt trinken.	acqua del rubinetto	Qui l'acqua del rubinetto si può bere direttamente.	água da torneira	A água da torneira daqui pode ser bebida diretamente.	водопроводная вода	Здесь водопроводную воду можно пить прямо из-под крана.
5379:自律	自律	自律	autodisciplina	Mantener la autodisciplina es importante para estudiar.	autodiscipline	Garder de l'autodiscipline est important pour les études.	Selbstdisziplin	Selbstdisziplin ist für das Lernen wichtig.	autodisciplina	Mantenere l'autodisciplina è importante per lo studio.	autodisciplina	Manter a autodisciplina é importante para os estudos.	самодисциплина	Для учебы важно сохранять самодисциплину.
5381:自杀	自杀	自杀	suicidarse	Los informes de noticias deben tratar los casos de suicidio con cuidado.	se suicider	Les reportages doivent traiter les cas de suicide avec prudence.	Selbstmord begehen; sich das Leben nehmen	Nachrichtenberichte sollten Fälle von Suizid sorgfältig behandeln.	suicidarsi	Le notizie dovrebbero trattare i casi di suicidio con cautela.	cometer suicídio	Reportagens devem tratar casos de suicídio com cuidado.	совершить самоубийство	В новостях случаи самоубийства нужно освещать осторожно.
5382:自我	自我	自我	yo; uno mismo	Viajar le ayudó a entenderse mejor a sí mismo.	soi; moi	Voyager lui a permis de mieux se comprendre lui-même.	Selbst; Ich	Reisen ließ ihn sich selbst besser verstehen.	sé; io	Viaggiare gli ha fatto capire meglio se stesso.	eu; si mesmo	Viajar fez com que ele entendesse melhor a si mesmo.	я; самость	Путешествия помогли ему лучше понять себя.
5383:自言自语	自言自语	自言自语	hablar consigo mismo	Ella hablaba consigo misma mientras ordenaba la estantería.	se parler à soi-même	Elle se parlait à elle-même en rangeant la bibliothèque.	mit sich selbst sprechen	Beim Ordnen des Bücherregals sprach sie mit sich selbst.	parlare da solo; parlare tra sé	Parlava tra sé mentre sistemava la libreria.	falar sozinho; falar consigo mesmo	Ela falava sozinha enquanto organizava a estante.	говорить с самим собой	Она разговаривала сама с собой, пока разбирала книжную полку.
5385:自助	自助	自助	autoservicio	Este restaurante ofrece desayuno de autoservicio.	libre-service	Ce restaurant propose un petit-déjeuner en libre-service.	Selbstbedienung	Dieses Restaurant bietet ein Frühstück mit Selbstbedienung an.	servizio a buffet; self-service	Questo ristorante offre una colazione self-service.	autoatendimento; self-service	Este restaurante oferece café da manhã self-service.	самообслуживание	В этом ресторане предлагают завтрак с самообслуживанием.
5388:总计	总计	总计	totalizar; total	En total participaron doscientas personas en este evento.	totaliser; total	Au total, deux cents personnes ont participé à cet événement.	insgesamt; Summe	Insgesamt nahmen zweihundert Personen an dieser Veranstaltung teil.	totale; in totale	In totale, duecento persone hanno partecipato a questo evento.	totalizar; total	Ao todo, duzentas pessoas participaram deste evento.	всего; итог	Всего в этом мероприятии приняли участие двести человек.
5391:粽子	粽子	粽子	zongzi; arroz glutinoso envuelto en hojas	Hicimos muchos zongzi para el Festival del Bote del Dragón.	zongzi; riz gluant enveloppé dans des feuilles	Nous avons préparé beaucoup de zongzi pour la fête des Bateaux-Dragons.	Zongzi; in Blätter gewickelte Klebreisklöße	Zum Drachenbootfest machten wir viele Zongzi.	zongzi; riso glutinoso avvolto in foglie	Abbiamo preparato molti zongzi per la Festa delle Barche Drago.	zongzi; arroz glutinoso embrulhado em folhas	Fizemos muitos zongzi para o Festival do Barco-Dragão.	цзунцзы; клейкий рис в листьях	К Празднику драконьих лодок мы сделали много цзунцзы.
5393:足	足	足	suficiente; bastante	Este dinero es suficiente para comprar el boleto.	suffisant; assez	Cette somme d'argent suffit pour acheter le billet.	genug; ausreichend	Dieses Geld reicht aus, um das Ticket zu kaufen.	sufficiente; abbastanza	Questa somma è sufficiente per comprare il biglietto.	suficiente; bastante	Este dinheiro é suficiente para comprar o ingresso.	достаточный; хватать	Этой суммы достаточно, чтобы купить билет.
5396:阻挡	阻挡	阻挡	bloquear; detener	La fuerte nevada impidió que los vehículos avanzaran.	bloquer; arrêter	La forte neige a empêché les véhicules d'avancer.	blockieren; aufhalten	Der starke Schneefall hinderte die Fahrzeuge am Weiterfahren.	bloccare; fermare	La forte nevicata ha impedito ai veicoli di proseguire.	bloquear; impedir	A neve forte impediu os veículos de avançar.	преграждать; останавливать	Сильный снегопад помешал машинам двигаться вперед.
5399:钻	钻	钻	perforar; meterse	El niño se metió debajo de la mesa.	percer; se glisser	L'enfant s'est glissé sous la table.	bohren; sich zwängen	Das Kind kroch unter den Tisch.	perforare; infilarsi	Il bambino si è infilato sotto il tavolo.	perfurar; enfiar-se	A criança entrou debaixo da mesa.	сверлить; пролезать	Ребенок залез под стол.
5400:罪	罪	罪	delito; culpa	Él admitió su delito.	crime; culpabilité	Il a reconnu son crime.	Verbrechen; Schuld	Er gab sein Verbrechen zu.	crimine; colpa	Ha ammesso il suo crimine.	crime; culpa	Ele admitiu seu crime.	преступление; вина	Он признал свое преступление.
