simplified	KO	example_KO
推广	보급하다; 홍보하다	회사는 새 제품을 홍보하고 있어요.
推荐	추천하다	선생님이 이 책을 추천했어요.
退	물러나다	한 걸음 뒤로 물러나 주세요.
退步	퇴보하다	연습하지 않으면 실력이 떨어져요.
退休	퇴직하다; 은퇴하다	그는 내년에 은퇴할 거예요.
歪	비뚤다	이 그림은 비뚤게 걸려 있어요.
外公	외할아버지	외할아버지는 올해 여든 살이세요.
外交	외교	그는 국제 관계와 외교를 공부해요.
完美	완벽하다	이 계획은 완벽하지 않아요.
完善	완비하다; 개선하다	우리는 서비스 절차를 개선해야 해요.
完整	완전하다	완전한 보고서를 주세요.
玩具	장난감	아이가 장난감을 상자에 넣었어요.
万一	만일; 혹시	만일 비가 오면 우리는 다른 날에 갈 거예요.
王子	왕자	이야기 속 왕자는 매우 용감해요.
往返	왕복하다	이 표로 당일 왕복할 수 있어요.
网络	인터넷; 네트워크	여기의 인터넷 연결은 매우 안정적이에요.
危害	해치다; 위해	흡연은 건강을 해칠 수 있어요.
威胁	위협하다	오염이 강을 위협하고 있어요.
微笑	미소	그녀는 나에게 미소를 지었어요.
唯一	유일하다	이것은 유일한 방법이에요.
围巾	목도리	그는 겨울에 목도리를 해요.
围绕	둘러싸다; 중심으로 하다	토론은 이 문제를 중심으로 이루어졌어요.
维修	수리하다; 정비하다	엘리베이터는 수리 중이에요.
违反	위반하다	이렇게 하는 것은 규칙을 위반하는 거예요.
伟大	위대하다	이것은 위대한 발견이에요.
委屈	억울하다	그녀는 매우 억울해했어요.
尾巴	꼬리	강아지가 꼬리를 흔들었어요.
位于	위치하다	학교는 도심에 위치해 있어요.
位置	위치; 자리	이 자리는 매우 조용해요.
未必	반드시 그렇지는 않다	그가 한 말이 반드시 맞는 것은 아니에요.
未来	미래	우리는 미래를 준비해야 해요.
胃	위	위가 조금 불편해요.
胃口	식욕	그는 오늘 식욕이 좋아요.
温暖	따뜻하다	봄 햇살은 매우 따뜻해요.
温柔	부드럽다; 온화하다	그녀는 매우 부드럽게 말해요.
文件	문서; 파일	문서를 나에게 보내 주세요.
文具	문구	가방 안에 문구가 많이 있어요.
文明	문명; 문명적이다	줄을 서는 것은 문명적인 행동이에요.
文学	문학	그녀는 중국 문학을 좋아해요.
文字	글자; 문자	이 글자들은 읽기 어려워요.
闻	냄새를 맡다; 듣다	나는 꽃향기를 맡았어요.
吻	입맞추다; 키스	엄마가 아이의 얼굴에 입맞추었어요.
稳定	안정되다	물가는 안정된 상태를 유지하고 있어요.
问候	안부를 전하다	가족에게 내 안부를 전해 주세요.
卧室	침실	침실에는 큰 침대가 있어요.
握手	악수하다	그들은 만났을 때 악수했어요.
屋子	방; 집	방 안은 따뜻해요.
无奈	어쩔 수 없다	그는 어쩔 수 없다는 듯 고개를 저었어요.
无数	무수하다	밤하늘에는 별이 무수히 많아요.
无所谓	상관없다	무엇을 먹고 싶은지는 상관없어요.
武术	무술	그는 어릴 때부터 무술을 배웠어요.
勿	하지 마라	여기서 담배를 피우지 마세요.
物理	물리	물리 수업은 매우 재미있어요.
物质	물질	물은 중요한 물질이에요.
雾	안개	아침에 안개가 짙었어요.
吸取	얻다; 받아들이다	우리는 이번 교훈에서 배워야 해요.
吸收	흡수하다	식물은 물을 흡수해요.
戏剧	연극; 희곡	그는 전통 연극 보는 것을 좋아해요.
系	학과; 관계	그녀는 중국어학과에서 공부해요.
系统	시스템	이 시스템은 안정적으로 작동해요.
细节	세부 사항	이 세부 사항들에 주의해 주세요.
瞎	함부로; 눈이 멀다	함부로 추측하지 말고 먼저 자료를 보세요.
下载	다운로드하다	나는 이 소프트웨어를 다운로드했어요.
吓	놀라게 하다	갑작스러운 소리에 나는 놀랐어요.
夏令营	여름 캠프	아이는 중국어 여름 캠프에 참가했어요.
鲜艳	선명하다	이 치마의 색은 매우 선명해요.
显得	보이다	이 옷은 그를 매우 어려 보이게 해요.
显然	분명히	분명히 그는 이미 결과를 알고 있어요.
显示	표시하다	화면에 잘못된 시간이 표시돼요.
县	현	이 현에는 차밭이 많아요.
现代	현대	현대 생활은 인터넷과 떼려야 뗄 수 없어요.
现实	현실	우리는 현실을 직시해야 해요.
现象	현상	이 현상은 매우 흔해요.
限制	제한하다	이곳은 차량 진입이 제한되어 있어요.
相处	잘 지내다	그들은 서로 아주 잘 지내요.
相当	꽤; 상당히	이 책은 꽤 재미있어요.
相对	상대적으로	이곳의 물가는 상대적으로 싸요.
相关	관련되다	관련 자료를 제공해 주세요.
相似	비슷하다	이 두 글자의 뜻은 매우 비슷해요.
香肠	소시지	아침 식사에는 달걀과 소시지가 있어요.
享受	즐기다	그들은 휴가를 즐기고 있어요.
想念	그리워하다	나는 가족이 매우 그리워요.
想象	상상하다	나는 그런 생활을 상상할 수 없어요.
象棋	중국 장기	할아버지는 중국 장기 두는 것을 좋아하세요.
象征	상징하다	흰색은 종종 순결을 상징해요.
项	항목; 일	이 임무는 매우 중요해요.
项链	목걸이	그녀는 은 목걸이를 하고 있어요.
项目	프로젝트; 항목	이 프로젝트는 석 달이 필요해요.
消费	소비하다	연휴 동안 소비가 증가했어요.
消化	소화하다	식사 후 산책은 소화에 도움이 돼요.
消极	소극적이다; 부정적이다	부정적인 태도로 문제를 보지 마세요.
消失	사라지다	해가 산 뒤로 천천히 사라졌어요.
销售	판매하다	이 회사는 전자 제품을 판매해요.
小麦	밀	북쪽에는 밀이 많이 심어져 있어요.
小气	인색하다	그렇게 인색하게 굴지 마세요.
孝顺	효도하다	그는 부모님께 매우 효도해요.
效率	효율	이렇게 하면 효율을 높일 수 있어요.
歇	쉬다	우리 먼저 좀 쉬어요.
斜	비스듬하다	이 길은 조금 비스듬해요.
写作	글쓰기; 작문	글쓰기는 장기적인 연습이 필요해요.
心理	심리; 마음	시험 전에 마음 상태를 조절해야 해요.
心脏	심장	심장 건강은 매우 중요해요.
欣赏	감상하다; 감탄하다	우리는 아름다운 풍경을 감상했어요.
信号	신호	여기는 휴대전화 신호가 좋지 않아요.
信任	신뢰하다	친구 사이에는 신뢰가 필요해요.
形成	형성되다	좋은 습관은 천천히 형성되어야 해요.
形容	묘사하다	이 느낌을 어떻게 묘사해야 할지 모르겠어요.
形势	형세; 상황	현재 형세는 비교적 복잡해요.
形式	형식	회의는 온라인 형식으로 진행될 수 있어요.
形象	이미지	그의 대중 이미지는 매우 좋아요.
形状	모양	이 상자의 모양은 매우 특별해요.
行动	행동	우리는 즉시 행동을 취해야 해요.
行人	보행자	길을 건널 때 보행자에 주의하세요.
行为	행동	이런 행동은 예의가 없어요.
幸亏	다행히	다행히 당신이 나에게 알려 주었어요.
幸运	운이 좋다; 행운	그는 운 좋게 일자리를 찾았어요.
性质	성질; 본질	이 문제의 성질은 매우 심각해요.
兄弟	형제	두 형제는 사이가 좋아요.
胸	가슴	그는 가슴이 조금 답답하다고 느껴요.
休闲	휴식; 여가	주말은 쉬기에 좋은 시간이에요.
修改	수정하다	이 글을 수정해 주세요.
虚心	겸허하다	우리는 겸허하게 의견을 들어야 해요.
叙述	서술하다	그는 일어난 일을 분명히 서술했어요.
宣布	발표하다; 선포하다	학교가 새 규칙을 발표했어요.
宣传	홍보하다; 선전하다	그들은 환경 보호 지식을 홍보하고 있어요.
学历	학력	이 일은 학사 학력이 필요해요.
学术	학술	이 회의는 학술 문제를 토론해요.
学问	학문; 지식	그는 학문이 깊어요.
血	피	그의 손에서 피가 조금 났어요.
寻找	찾다	우리는 새로운 방법을 찾고 있어요.
询问	문의하다	그는 선생님에게 시험 시간을 물었어요.
训练	훈련하다	그 운동선수는 매일 훈련해요.
迅速	빠르다	소식이 빠르게 퍼졌어요.
押金	보증금	집을 빌리려면 보증금을 내야 해요.
牙齿	치아	매일 치아를 잘 관리하세요.
严肃	엄숙하다; 진지하다	선생님의 표정은 매우 진지해요.
延长	연장하다	회의가 삼십 분 연장되었어요.
演讲	연설	그는 내일 연설을 준비하고 있어요.
宴会	연회	그들은 연회에 참석했어요.
阳台	발코니	발코니에는 꽃 화분이 몇 개 있어요.
痒	가렵다	팔이 조금 가려워요.
样式	양식; 스타일	이 스타일은 매우 인기가 있어요.
腰	허리	오래 앉아 있으면 허리가 아플 수 있어요.
摇	흔들다	바람이 나뭇가지를 이리저리 흔들었어요.
咬	물다	이 개는 사람을 물지 않아요.
要不	그러지 말고; 아니면	그러지 말고 내일 다시 갈까요?
业务	업무; 사업	회사의 업무가 성장하고 있어요.
业余	여가의; 아마추어	그는 여가 시간에 사진을 배워요.
夜	밤	밤에는 거리가 매우 조용해요.
依然	여전히	그는 여전히 베이징에 살아요.
一辈子	평생	그녀는 평생 음악을 사랑했어요.
一旦	일단	일단 결정하면 계속 버텨야 해요.
一律	일률적으로; 모두	회의 중에는 휴대폰을 모두 꺼야 해요.
一再	거듭; 반복해서	그는 우리에게 안전에 주의하라고 거듭 일깨워 주었어요.
一致	일치하다	모두의 의견이 완전히 일치해요.
疑问	의문	나는 이 답에 의문이 있어요.
移动	이동하다	탁자를 조금 옮겨 주세요.
移民	이민하다	그들은 해외로 이민 갈 계획이에요.
遗憾	유감스럽다	당신을 볼 수 없어서 유감이에요.
乙	을; 둘째	계약에서 을은 비용 지급을 책임져요.
以及	및; 그리고	나는 책과 문구를 샀어요.
以来	이래; 이후	졸업한 이래 그는 베이징에서 일하고 있어요.
义务	의무	환경 보호는 모든 사람의 의무예요.
亿	억	이 나라는 인구가 십억 명이 넘어요.
意外	뜻밖이다; 사고	이번 지각은 완전히 뜻밖이었어요.
意义	의미	이 활동은 매우 의미가 있어요.
议论	의논하다; 논하다	모두가 이 일을 의논하고 있어요.
因而	그러므로; 따라서	그는 열심히 공부해서 성적이 좋아요.
因素	요소; 요인	날씨는 중요한 요인이에요.
银	은; 은색	그녀는 은 팔찌를 차고 있어요.
印刷	인쇄하다	이 책은 매우 선명하게 인쇄되어 있어요.
英俊	잘생기다	그는 매우 잘생겼어요.
英雄	영웅	소방관은 진정한 영웅이에요.
营养	영양	아침 식사에는 충분한 영양이 있어야 해요.
营业	영업하다	이 가게는 아홉 시에 영업을 시작해요.
迎接	맞이하다	우리는 손님을 맞이하러 공항에 갔어요.
影子	그림자	그의 그림자가 가로등 아래에 있어요.
应付	대처하다	그는 이 문제에 대처할 수 있어요.
应用	응용하다; 적용하다	이 방법은 교육에 적용할 수 있어요.
硬	딱딱하다	이 의자는 너무 딱딱해요.
硬件	하드웨어	이 컴퓨터는 하드웨어가 좋아요.
拥抱	껴안다	아이가 달려와 엄마를 껴안았어요.
拥挤	붐비다	출근 시간에는 지하철이 매우 붐벼요.
勇气	용기	그는 자신의 잘못을 인정할 용기가 있어요.
用功	열심히 공부하다	그녀는 매우 열심히 공부해요.
用途	용도	이 재료는 용도가 많아요.
优惠	할인; 우대	이 가게는 오늘 할인이 있어요.
优美	아름답다	이곳의 환경은 매우 아름다워요.
优势	우세; 장점	그의 장점은 풍부한 경험이에요.
悠久	유구하다	중국은 오랜 역사를 가지고 있어요.
油炸	기름에 튀기다	나는 튀긴 음식을 거의 먹지 않아요.
游览	관광하다	우리는 내일 고궁을 관광할 거예요.
犹豫	망설이다	그는 잠시 망설인 뒤 대답했어요.
有利	유리하다	이 조건은 우리에게 유리해요.
幼儿园	유치원	아이는 내년에 유치원에 갈 거예요.
娱乐	오락; 즐기다	영화를 보는 것은 오락의 한 종류예요.
与其	차라리; 하기보다는	불평하기보다는 행동하는 편이 나아요.
语气	말투; 어조	그의 말투는 매우 부드러워요.
玉米	옥수수	저녁에는 옥수수 수프가 있어요.
预报	예보	일기예보에서 내일 비가 온다고 했어요.
预订	예약하다	나는 이미 호텔을 예약했어요.
预防	예방하다	손을 자주 씻으면 감기를 예방할 수 있어요.
元旦	신정; 새해 첫날	신정에는 하루를 쉬어요.
原料	원료	빵의 주요 원료는 밀가루예요.
原则	원칙	사람은 원칙이 있어야 해요.
员工	직원	회사에는 직원이 삼백 명 있어요.
圆	둥글다; 원	달이 크고 둥글어요.
愿望	소원	그의 소원은 세계를 여행하는 거예요.
乐器	악기	그녀는 여러 악기를 연주할 수 있어요.
晕	어지럽다	배를 타면 조금 어지러워요.
运气	운	오늘은 운이 좋아요.
运输	운송	이 화물은 철도 운송이 필요해요.
运用	운용하다; 활용하다	이 단어들을 유연하게 활용해 주세요.
灾害	재해	홍수는 자연재해의 한 종류예요.
再三	거듭; 여러 번	선생님은 우리에게 복습하라고 거듭 일깨워 주었어요.
在乎	신경 쓰다	그는 친구들의 의견을 매우 신경 써요.
在于	에 있다	성공은 끈기에 달려 있어요.
赞成	찬성하다	나는 당신의 제안에 찬성해요.
赞美	칭찬하다	모두가 그녀의 용기를 칭찬했어요.
糟糕	엉망이다; 나쁘다	오늘 날씨는 정말 엉망이에요.
造成	초래하다	큰비가 교통 체증을 초래했어요.
则	그러면; 곧	노력하면 발전이 있을 거예요.
责备	책망하다	선생님은 그를 책망하지 않았어요.
摘	따다	그녀는 정원에서 꽃 한 송이를 땄어요.
窄	좁다	이 길은 너무 좁아요.
粘贴	붙이다	사진을 여기에 붙여 주세요.
展开	전개하다; 시작하다	토론이 곧 시작되었어요.
展览	전시; 전람	박물관에 새 전시가 있어요.
占	차지하다	이 탁자는 공간을 많이 차지해요.
战争	전쟁	전쟁은 사람들에게 고통을 가져와요.
掌握	익히다; 장악하다	그는 이미 기본 문법을 익혔어요.
涨	오르다	최근에 집세가 또 올랐어요.
长辈	어른; 윗사람	새해에는 어른들께 인사해야 해요.
账户	계좌	은행 계좌를 확인해 주세요.
招待	접대하다	주인은 손님을 따뜻하게 접대했어요.
着火	불이 나다	부엌에 갑자기 불이 났어요.
着凉	감기에 걸리다	날씨가 추우니 감기에 걸리지 마세요.
召开	열다; 소집하다	학교는 내일 회의를 열 거예요.
照常	평소대로	가게는 내일 평소대로 문을 열 거예요.
哲学	철학	그는 대학에서 철학을 공부했어요.
珍惜	소중히 여기다	우리는 시간을 소중히 여겨야 해요.
真实	진실하다; 실제의	이 이야기는 사실이에요.
针对	겨냥하다; 대상으로 하다	이 제안은 신입생을 대상으로 해요.
诊断	진단하다	의사가 빠르게 진단을 내렸어요.
振动	진동	휴대전화가 탁자 위에서 진동하고 있어요.
阵	차례; 한바탕	밖에 소나기가 잠깐 내렸어요.
争论	논쟁하다	그들은 이 문제로 오랫동안 논쟁했어요.
争取	쟁취하다; 노력하다	우리는 더 많은 기회를 얻기 위해 노력해야 해요.
征求	구하다; 의견을 묻다	선생님은 모두의 의견을 구했어요.
挣	벗어나려 하다; 벌다	새가 끈에서 벗어나려고 애썼어요.
睁	뜨다	눈을 조금 더 크게 뜨세요.
整个	전체의	도시 전체가 매우 조용해요.
整齐	가지런하다	책들이 매우 가지런히 놓여 있어요.
整体	전체	우리는 전체 효과를 고려해야 해요.
政府	정부	정부가 새 공지를 발표했어요.
政治	정치	그는 정치에 매우 관심이 있어요.
正	맞다; 바르다	이 답은 맞아요.
证件	증명서	신분증을 제시해 주세요.
证据	증거	경찰이 새로운 증거를 찾았어요.
支	자루; 받치다	탁자 위에 펜 한 자루가 있어요.
支票	수표	그는 수표로 지불했어요.
执照	면허증; 허가증	운전하려면 운전면허증이 필요해요.
直	곧다; 바로	이 길을 따라 곧장 가세요.
指导	지도하다	선생님은 우리가 논문을 쓰도록 지도했어요.
指挥	지휘하다	그는 이번 작전을 지휘하는 일을 맡았어요.
制定	제정하다; 만들다	회사는 새 계획을 세웠어요.
制度	제도	학교에는 엄격한 제도가 있어요.
制造	제조하다	이 공장은 기계를 제조해요.
制作	만들다; 제작하다	그녀는 생일 케이크를 만들고 있어요.
志愿者	자원봉사자	많은 자원봉사자가 행사에 참여했어요.
智慧	지혜	이 노인은 큰 지혜를 가지고 있어요.
治疗	치료하다	의사가 환자를 치료하고 있어요.
秩序	질서	질서를 유지해 주세요.
至今	지금까지	이 문제는 지금까지 해결되지 않았어요.
至于	에 관해서는	비용에 관해서는 내일 토론합시다.
中介	중개; 중개인	그는 중개인을 통해 아파트를 빌렸어요.
中心	중심	병원은 도심에 있어요.
中旬	중순	회의는 오월 중순으로 예정되어 있어요.
种类	종류	여기에는 과일 종류가 많아요.
重大	중대하다	이것은 중대한 결정이에요.
重量	무게	이 상자의 무게는 얼마예요?
周到	세심하다	그의 서비스는 매우 세심해요.
猪	돼지	농장에는 돼지가 많아요.
竹子	대나무	판다는 대나무 먹는 것을 좋아해요.
逐步	단계적으로	계획은 단계적으로 실행될 거예요.
逐渐	점차	날씨가 점차 추워졌어요.
主持	진행하다; 주재하다	그녀는 오늘 회의를 진행해요.
主动	주동적이다; 자발적이다	그는 자발적으로 반 친구를 도왔어요.
主观	주관적이다	이 평가는 조금 주관적이에요.
主人	주인	주인이 우리를 따뜻하게 맞이했어요.
主任	주임	주임은 사무실에 있어요.
主题	주제	오늘 토론 주제는 환경 보호예요.
主席	의장; 주석	의장이 회의 시작을 발표했어요.
主张	주장하다	그는 먼저 교통 문제를 해결해야 한다고 주장해요.
煮	삶다; 끓이다	엄마가 국수를 끓이고 있어요.
注册	등록하다	새 사용자는 먼저 등록해야 해요.
祝福	축복; 축하	친구들이 축하의 말을 보내왔어요.
抓	잡다	아이가 엄마의 손을 잡았어요.
抓紧	서두르다; 꽉 잡다	우리는 시간을 잘 활용해야 해요.
专家	전문가	전문가가 제안을 했어요.
专心	집중하다	수업 시간에는 집중해서 들어야 해요.
转变	변하다; 변화	그의 태도가 변했어요.
转告	전해 주다	내일 회의가 있다고 그에게 전해 주세요.
装	넣다; 꾸미다	책을 가방에 넣어 주세요.
装饰	장식하다	그들은 꽃으로 방을 장식했어요.
装修	인테리어하다; 수리하다	새집은 인테리어 중이에요.
撞	부딪치다	교차로에서 차 두 대가 부딪쳤어요.
状况	상황; 상태	현재 상황은 비교적 안정적이에요.
状态	상태	그는 오늘 상태가 좋아요.
追	쫓다	아이가 뒤에서 강아지를 쫓고 있어요.
追求	추구하다	그는 줄곧 자신의 꿈을 추구해 왔어요.
咨询	상담하다; 문의하다	전문 의사에게 상담할 수 있어요.
姿势	자세	올바른 자세를 유지해 주세요.
资格	자격	그는 대회에 참가할 자격이 있어요.
资金	자금	프로젝트에는 더 많은 자금이 필요해요.
资料	자료	자료를 나에게 보내 주세요.
资源	자원	물은 중요한 자연 자원이에요.
紫	보라색	그녀는 보라색을 좋아해요.
字母	글자; 알파벳	영어에는 스물여섯 개의 글자가 있어요.
字幕	자막	이 영화에는 중국어 자막이 있어요.
自从	이래; 부터	졸업한 뒤로 그는 거의 돌아오지 않아요.
自动	자동으로	이 문은 자동으로 열려요.
自豪	자랑스럽다	나는 내 발전이 자랑스러워요.
自觉	자발적이다; 스스로 하다	그는 스스로 숙제를 끝냈어요.
自私	이기적이다	사람은 너무 이기적이어서는 안 돼요.
自由	자유	모든 사람은 자유를 소중히 여겨요.
自愿	자원하다	그들은 자원해서 활동에 참가했어요.
综合	종합하다	우리는 여러 요인을 종합적으로 고려해야 해요.
总裁	최고경영자; 사장	최고경영자가 오늘 연설했어요.
总共	총; 모두	이번 여행에는 총 삼천 위안이 들었어요.
总理	총리	총리가 회의에 참석했어요.
总算	마침내	문제가 마침내 해결되었어요.
总统	대통령	대통령이 텔레비전 연설을 했어요.
总之	요컨대	요컨대 우리는 제시간에 끝내야 해요.
组	조; 짜다	선생님은 우리를 세 조로 나누었어요.
组成	구성하다	물은 수소와 산소로 구성되어 있어요.
组合	조합	이 색 조합은 보기 좋아요.
组织	조직하다; 조직	학교가 여행을 조직했어요.
阻止	막다; 저지하다	경찰이 위험한 행동을 막았어요.
最初	처음	처음에는 내가 잘 이해하지 못했어요.
醉	취하다	그는 술을 너무 많이 마셔서 조금 취했어요.
尊敬	존경하다	학생들은 모두 선생님을 존경해요.
遵守	지키다	우리는 교통 규칙을 지켜야 해요.
作品	작품	이 그림은 그의 작품이에요.
作为	으로서	교사로서 그는 매우 인내심이 있어요.
作文	작문	선생님은 우리에게 작문을 쓰라고 하셨어요.
