simplified	DE	example_DE
设施	die Einrichtung; die Anlage	Die Sportanlagen der Schule sind gut.
伸	ausstrecken	Bitte strecke deine Hand aus.
深刻	tief; eindrucksvoll	Diese Erfahrung hat einen tiefen Eindruck bei mir hinterlassen.
身材	die Figur; der Körperbau	Sie hat eine gesunde Figur.
身份	die Identität	Bitte zeigen Sie einen Identitätsnachweis vor.
神话	der Mythos; die Sage	Kinder hören gern mythologische Geschichten.
神秘	geheimnisvoll	Diese alte Stadt ist sehr geheimnisvoll.
升	der Liter	Der Benzinpreis ist pro Liter etwas gestiegen.
声调	der Ton	Im Chinesischen gibt es vier Grundtöne.
生产	produzieren	Diese Fabrik produziert Handys.
生动	lebendig; anschaulich	Der Lehrer erklärt sehr anschaulich.
生长	wachsen	Diese Pflanzenart wächst sehr schnell.
绳子	das Seil	Bitte binde die Kiste mit einem Seil fest.
省略	weglassen	Hier kann ein Zeichen weggelassen werden.
胜利	der Sieg	Sie errangen schließlich den Sieg.
失眠	Schlaflosigkeit haben	Er leidet in letzter Zeit oft unter Schlaflosigkeit.
失去	verlieren	Verliere nicht das Vertrauen.
失业	arbeitslos werden	Nachdem er arbeitslos geworden war, begann er, neue Fähigkeiten zu lernen.
湿润	feucht	Die Luft nach dem Regen ist sehr feucht.
狮子	der Löwe	Im Zoo gibt es zwei Löwen.
诗	das Gedicht	Er schrieb ein Gedicht.
实话	die Wahrheit	Bitte sag die Wahrheit.
实践	die Praxis; in die Praxis umsetzen	Theorie muss durch Praxis überprüft werden.
实习	ein Praktikum machen	Sie macht in den Sommerferien ein Praktikum im Krankenhaus.
实现	verwirklichen; erreichen	Er hat seinen Traum endlich verwirklicht.
实验	das Experiment	Die Schüler machen gerade ein Experiment.
实用	praktisch	Dieses Werkzeug ist sehr praktisch.
时差	die Zeitverschiebung	Er hat sich noch nicht an die Zeitverschiebung gewöhnt.
时代	die Ära; das Zeitalter	Wir leben im Informationszeitalter.
时刻	der Moment	Bitte erinnere dich an diesen wichtigen Moment.
时髦	modisch	Dieses Kleidungsstück ist sehr modisch.
时期	die Zeit; der Zeitraum	Die Studienzeit hatte großen Einfluss auf ihn.
时尚	die Mode	Sie interessiert sich sehr für Mode.
石头	der Stein	Am Straßenrand liegt ein Stein.
食物	das Essen; die Lebensmittel	Bitte lege das Essen in den Kühlschrank.
使劲儿	Kraft einsetzen	Um diese Flasche zu öffnen, muss man Kraft einsetzen.
始终	die ganze Zeit; stets	Er glaubte stets daran, Erfolg haben zu können.
事实	die Tatsache	Die Tatsachen beweisen, dass er recht hatte.
事物	die Sache; das Ding	Kinder sind sehr neugierig auf neue Dinge.
事先	im Voraus	Bitte sag mir die Zeit im Voraus.
似的	wie; als ob	Er war so müde, als wollte er kein Wort sagen.
士兵	der Soldat	Die Soldaten trainieren gerade.
市场	der Markt	Dieser Markt ist sehr lebhaft.
试卷	die Prüfungsarbeit	Der Lehrer korrigiert gerade Prüfungsarbeiten.
收获	der Gewinn; gewinnen	Ich habe von dieser Reise viel mitgenommen.
收据	die Quittung	Bitte bewahren Sie nach dem Bezahlen die Quittung auf.
手工	handgemacht; Handarbeit	Dieses Geschenk ist handgemacht.
手术	die Operation	Der Arzt wird ihn morgen operieren.
手套	der Handschuh	Im Winter sollte man draußen Handschuhe tragen.
手续	die Formalitäten	Für die Formalitäten braucht man einen Ausweis.
手指	der Finger	Sein Finger ist verletzt.
首	Zähleinheitswort für Lieder und Gedichte	Sie sang ein Lied.
受伤	verletzt werden	Er wurde im Wettkampf verletzt.
寿命	die Lebensdauer; der Lebenszyklus	Diese Art Maschine hat eine lange Lebensdauer.
书架	das Bücherregal	Das Bücherregal ist voller Bücher.
梳子	der Kamm	Sie kämmt ihr Haar mit einem Kamm.
舒适	bequem; komfortabel	Dieses Zimmer ist sehr komfortabel.
蔬菜	das Gemüse	Mehr Gemüse zu essen ist gut für die Gesundheit.
输入	eingeben	Bitte gib das Passwort in den Computer ein.
熟练	geübt; geschickt	Er kann sehr gut mit dem Computer umgehen.
属于	gehören zu	Dieses Buch gehört zur Bibliothek.
数	zählen	Bitte zähl, wie viele Menschen es sind.
鼠标	die Maus	Meine Computermaus ist kaputt.
数据	die Daten	Diese Daten sind sehr wichtig.
数码	digital	Er hat eine Digitalkamera gekauft.
摔倒	hinfallen	Sie ist auf der Straße hingefallen.
甩	schütteln; wegschleudern	Er schüttelte das Wasser von seinen Händen.
双方	beide Seiten	Beide Seiten stimmten diesem Plan zu.
税	die Steuer	Beim Einkaufen muss man Steuern zahlen.
说不定	vielleicht	Vielleicht schneit es morgen.
说服	überzeugen	Er überzeugte schließlich seine Eltern.
丝绸	die Seide	Dieser Schal ist aus Seide.
丝毫	überhaupt nicht; im Geringsten	Er änderte seine Meinung überhaupt nicht.
思考	nachdenken	Bitte denke gründlich über dieses Problem nach.
思想	das Denken; die Gedanken	Sein Denken ist sehr offen.
撕	zerreißen	Bitte zerreiße dieses Stück Papier nicht.
私人	privat	Das ist mein privater Raum.
似乎	scheinen	Er scheint nicht besonders glücklich zu sein.
搜索	suchen; recherchieren	Ich habe online nach Materialien gesucht.
宿舍	das Wohnheim	Die Schüler wohnen im Schulwohnheim.
随身	bei sich; mit sich	Bitte tragen Sie Ihren Reisepass bei sich.
随时	jederzeit	Du kannst mich jederzeit anrufen.
随手	nebenbei; beim Hinausgehen	Bitte schließe beim Hinausgehen die Tür.
碎	zerbrochen; in Stücke gehen	Der Becher fiel auf den Boden und zerbrach.
损失	der Verlust; der Schaden	Dieser Unfall verursachte einen großen Schaden.
缩短	verkürzen	Die neue Route hat die Strecke verkürzt.
所	Zähleinheitswort für Schulen und Gebäude	Diese Schule ist sehr bekannt.
锁	abschließen	Bitte schließen Sie die Tür ab, bevor Sie hinausgehen.
台阶	die Stufe	Der alte Mensch ging langsam die Stufen hinauf.
太极拳	das Taijiquan; Tai-Chi	Im Park üben einige Leute Tai-Chi.
太太	Frau; Ehefrau	Frau Wang kocht gerade.
谈判	die Verhandlung; verhandeln	Beide Seiten verhandeln gerade.
坦率	offen; ehrlich	Er sagte offen, was er dachte.
烫	heiß; verbrühen	Diese Tasse Tee ist sehr heiß.
桃	der Pfirsich	Am Baum wachsen viele Pfirsiche.
淘气	frech; ungezogen	Dieses Kind ist etwas frech.
逃	fliehen; weglaufen	Der kleine Hund lief aus dem Hof weg.
逃避	ausweichen; vermeiden	Weiche der Verantwortung nicht aus.
讨价还价	feilschen	Beim Einkaufen feilscht er gern.
套	der Satz; das Set	Er kaufte eine neue Garnitur Kleidung.
特色	die Besonderheit; das Merkmal	Dieses Restaurant hat lokale Besonderheiten.
特殊	besonders; speziell	Heute ist ein besonderer Tag.
特征	das Merkmal	Diese Tierart hat deutliche Merkmale.
疼爱	sehr liebhaben	Die Großeltern haben das Kind sehr lieb.
提倡	fördern; befürworten	Die Schule setzt sich für Wassersparen ein.
提纲	die Gliederung; der Entwurf	Erstelle vor dem Schreiben eines Artikels zuerst eine Gliederung.
提问	eine Frage stellen	Schüler können jederzeit Fragen stellen.
题目	die Aufgabe; das Thema	Diese Aufgabe ist nicht besonders schwer.
体会	die Erkenntnis; erfahren	Durch das Reisen habe ich eine neue Erkenntnis gewonnen.
体贴	rücksichtsvoll	Er ist gegenüber seiner Familie sehr rücksichtsvoll.
体现	widerspiegeln; verkörpern	Diese Sache spiegelt Teamgeist wider.
体验	erleben; erfahren	Ich möchte das lokale Leben erleben.
天空	der Himmel	Der Himmel ist heute sehr blau.
天真	naiv; unschuldig	Die Vorstellung des Kindes ist sehr unschuldig.
调皮	frech; schelmisch	Diese Katze ist sehr frech.
调整	anpassen; die Anpassung	Wir müssen den Plan anpassen.
挑战	die Herausforderung	Das ist eine große Herausforderung.
通常	normalerweise	Normalerweise steht er um sieben Uhr auf.
统一	vereinheitlichen; einheitlich machen	Die Meinungen aller müssen vereinheitlicht werden.
痛苦	der Schmerz; schmerzhaft	Der Verlust seines Freundes machte ihn sehr traurig.
痛快	ausgelassen; richtig schön	Heute hatten wir richtig viel Spaß.
偷	stehlen	Stiehl nicht die Sachen anderer Leute.
投入	konzentriert; sich widmen	Er arbeitet sehr konzentriert.
投资	investieren; die Investition	Sie investierten in ein neues Projekt.
透明	transparent	Dieser Becher ist transparent.
突出	hervorragend; auffällig	Seine Stärken sind sehr deutlich.
土地	das Land; der Boden	Dieses Stück Land ist sehr fruchtbar.
土豆	die Kartoffel	Ich habe ein paar Kartoffeln gekauft.
兔子	das Kaninchen; der Hase	Das Kind hält ein Kaninchen.
吐	sich übergeben	Ihm ist unwohl, und er möchte sich übergeben.
团	die Gruppe	Wir haben uns einer Reisegruppe angeschlossen.
推辞	ablehnen	Er lehnte die Einladung seines Freundes ab.
推广	fördern; verbreiten	Die Firma bewirbt gerade ein neues Produkt.
推荐	empfehlen	Der Lehrer empfahl dieses Buch.
退	zurücktreten; zurückgehen	Bitte tritt einen Schritt zurück.
退步	sich verschlechtern; Rückschritte machen	Wenn du nicht übst, wird dein Niveau schlechter.
退休	in Rente gehen	Er geht nächstes Jahr in Rente.
歪	schief	Das Bild hängt schief.
外公	der Großvater mütterlicherseits	Mein Großvater mütterlicherseits ist dieses Jahr achtzig Jahre alt.
外交	die Diplomatie; Außenpolitik	Er studiert internationale Beziehungen und Diplomatie.
完美	perfekt; vollkommen	Dieser Plan ist nicht perfekt.
完善	verbessern; vervollkommnen	Wir müssen den Serviceablauf verbessern.
完整	vollständig	Bitte geben Sie mir einen vollständigen Bericht.
玩具	das Spielzeug	Das Kind legte die Spielzeuge in die Kiste.
万一	falls; für den Fall	Falls es regnet, gehen wir an einem anderen Tag.
王子	der Prinz	Der Prinz in der Geschichte ist sehr mutig.
往返	die Hin- und Rückfahrt; hin und zurück	Mit diesem Ticket kann man am selben Tag hin und zurück fahren.
网络	das Internet; das Netzwerk	Die Internetverbindung hier ist sehr stabil.
危害	gefährden; schaden	Rauchen schadet der Gesundheit.
威胁	bedrohen	Die Verschmutzung bedroht den Fluss.
微笑	lächeln	Sie lächelte mich an.
唯一	einzig; einzige	Das ist die einzige Methode.
围巾	der Schal	Im Winter trägt er einen Schal.
围绕	sich drehen um	Die Diskussion drehte sich um dieses Problem.
维修	reparieren; warten	Der Aufzug wird gerade repariert.
违反	verstoßen gegen	So zu handeln verstößt gegen die Vorschriften.
伟大	großartig; bedeutend	Das ist eine bedeutende Entdeckung.
委屈	sich ungerecht behandelt fühlen	Sie fühlte sich sehr ungerecht behandelt.
尾巴	der Schwanz	Der kleine Hund wedelte mit dem Schwanz.
位于	liegen; sich befinden	Die Schule befindet sich im Stadtzentrum.
位置	der Platz; die Lage	Dieser Platz ist sehr ruhig.
未必	nicht unbedingt	Was er gesagt hat, ist nicht unbedingt wahr.
未来	die Zukunft	Wir müssen uns auf die Zukunft vorbereiten.
胃	der Magen	Mein Magen fühlt sich etwas unwohl an.
胃口	der Appetit	Er hat heute guten Appetit.
温暖	angenehm warm	Die Frühlingssonne ist sehr warm.
温柔	sanft	Sie spricht sehr sanft.
文件	das Dokument; die Datei	Bitte schicken Sie mir das Dokument.
文具	die Schreibwaren	In der Schultasche sind viele Schreibwaren.
文明	zivilisiert; die Zivilisation	Schlangestehen ist ein zivilisiertes Verhalten.
文学	die Literatur	Sie mag chinesische Literatur.
文字	die Schriftzeichen; der Text	Diese Schriftzeichen sind schwer zu lesen.
闻	riechen; wahrnehmen	Ich roch einen Blumenduft.
吻	küssen	Die Mutter küsste das Kind auf die Wange.
稳定	stabil	Die Preise bleiben stabil.
问候	grüßen	Bitte grüßen Sie Ihre Familie von mir.
卧室	das Schlafzimmer	Im Schlafzimmer steht ein großes Bett.
握手	Hände schütteln	Als sie sich trafen, schüttelten sie sich die Hände.
屋子	das Zimmer	Im Zimmer ist es warm.
无奈	hilflos; notgedrungen	Er schüttelte hilflos den Kopf.
无数	zahllos	Am Nachthimmel sind zahllose Sterne.
无所谓	egal sein	Es ist egal, was du essen möchtest.
武术	die Kampfkunst	Er lernt seit seiner Kindheit Kampfkünste.
勿	nicht; bitte nicht	Bitte rauchen Sie hier nicht.
物理	die Physik	Der Physikunterricht ist sehr interessant.
物质	der Stoff; die Substanz	Wasser ist eine wichtige Substanz.
雾	der Nebel	Am Morgen gab es dichten Nebel.
吸取	lernen aus; ziehen aus	Wir sollten aus dieser Lektion lernen.
吸收	aufnehmen; absorbieren	Pflanzen nehmen Wasser auf.
戏剧	das Theater; das Drama	Er sieht gern traditionelles Theater.
系	die Fakultät; die Abteilung	Sie studiert an der Chinesisch-Fakultät.
系统	das System	Dieses System läuft stabil.
细节	das Detail	Bitte achten Sie auf diese Details.
瞎	blindlings; grundlos	Rat nicht blindlings, sieh dir zuerst die Unterlagen an.
下载	herunterladen	Ich habe diese Software heruntergeladen.
吓	erschrecken	Das plötzliche Geräusch erschreckte mich.
夏令营	das Sommerlager; das Sommercamp	Das Kind nahm an einem chinesischen Sommercamp teil.
鲜艳	leuchtend; kräftig	Die Farbe dieses Rocks ist sehr leuchtend.
显得	wirken; erscheinen	Dieses Kleidungsstück lässt ihn sehr jung wirken.
显然	offensichtlich	Offensichtlich kennt er das Ergebnis schon.
显示	anzeigen; zeigen	Der Bildschirm zeigt die falsche Zeit an.
县	der Kreis; Landkreis	In diesem Kreis gibt es viele Teeplantagen.
现代	modern; Gegenwart	Das moderne Leben kommt nicht ohne Internet aus.
现实	die Realität	Wir müssen der Realität ins Auge sehen.
现象	das Phänomen	Dieses Phänomen ist sehr häufig.
限制	beschränken; einschränken	Hier ist die Einfahrt für Fahrzeuge beschränkt.
相处	miteinander auskommen	Sie kommen sehr gut miteinander aus.
相当	ziemlich; recht	Dieses Buch ist ziemlich interessant.
相对	relativ	Die Preise hier sind relativ günstig.
相关	relevant; zusammenhängend	Bitte stellen Sie relevante Unterlagen bereit.
相似	ähnlich	Die Bedeutungen dieser zwei Schriftzeichen sind sehr ähnlich.
香肠	die Wurst	Zum Frühstück gibt es Eier und Wurst.
享受	genießen	Sie genießen gerade den Urlaub.
想念	vermissen	Ich vermisse meine Familie sehr.
想象	sich vorstellen	Ich kann mir ein solches Leben nicht vorstellen.
象棋	das chinesische Schach	Opa spielt gern chinesisches Schach.
象征	symbolisieren	Weiß symbolisiert oft Reinheit.
项	die Sache; der Punkt	Diese Aufgabe ist sehr wichtig.
项链	die Halskette	Sie trägt eine silberne Halskette.
项目	das Projekt	Dieses Projekt braucht drei Monate.
消费	der Konsum; konsumieren	Während der Feiertage ist der Konsum gestiegen.
消化	die Verdauung; verdauen	Ein Spaziergang nach dem Essen hilft der Verdauung.
消极	negativ; passiv	Betrachte Probleme nicht mit einer negativen Haltung.
消失	verschwinden	Die Sonne verschwand langsam hinter dem Berg.
销售	verkaufen; der Verkauf	Diese Firma verkauft elektronische Produkte.
小麦	der Weizen	Im Norden wird viel Weizen angebaut.
小气	geizig	Sei nicht so geizig.
孝顺	pflichtbewusst gegenüber den Eltern	Er ist sehr fürsorglich gegenüber seinen Eltern.
效率	die Effizienz	So zu handeln kann die Effizienz erhöhen.
歇	sich ausruhen; pausieren	Lass uns zuerst eine Weile ausruhen.
斜	schräg	Diese Straße ist etwas schräg.
写作	das Schreiben	Schreiben erfordert langfristige Übung.
心理	die Psyche; psychologisch	Vor der Prüfung muss man seine mentale Verfassung anpassen.
心脏	das Herz	Herzgesundheit ist sehr wichtig.
欣赏	bewundern; genießen	Wir bewunderten die schöne Landschaft.
信号	das Signal	Das Handysignal ist hier schlecht.
信任	das Vertrauen; vertrauen	Zwischen Freunden braucht es Vertrauen.
形成	entstehen; sich bilden	Gute Gewohnheiten müssen sich langsam bilden.
形容	beschreiben	Ich weiß nicht, wie ich dieses Gefühl beschreiben soll.
形势	die Lage; die Situation	Die aktuelle Lage ist ziemlich komplex.
形式	die Form	Die Sitzung kann online stattfinden.
形象	das Image; das Bild	Sein öffentliches Image ist sehr gut.
形状	die Form; die Gestalt	Die Form dieser Schachtel ist sehr besonders.
行动	die Handlung; handeln	Wir müssen sofort handeln.
行人	der Fußgänger	Achte beim Überqueren der Straße auf Fußgänger.
行为	das Verhalten	Diese Art von Verhalten ist unhöflich.
幸亏	glücklicherweise	Glücklicherweise hast du mich daran erinnert.
幸运	Glück haben; glücklich	Er hatte Glück und fand eine Arbeit.
性质	die Natur; der Charakter	Die Natur dieses Problems ist sehr ernst.
兄弟	die Brüder	Die beiden Brüder haben ein gutes Verhältnis.
胸	die Brust	Er spürt etwas Enge in der Brust.
休闲	die Freizeit; Erholung	Das Wochenende ist eine gute Zeit zur Erholung.
修改	überarbeiten; ändern	Bitte überarbeite diesen Artikel.
虚心	bescheiden; offen für Kritik	Wir sollten Meinungen bescheiden anhören.
叙述	erzählen; schildern	Er schilderte klar, was passiert war.
宣布	bekanntgeben; ankündigen	Die Schule gab die neuen Regeln bekannt.
宣传	bewerben; verbreiten	Sie verbreiten Wissen über Umweltschutz.
学历	der Bildungsabschluss	Für diese Arbeit wird ein Bachelorabschluss verlangt.
学术	akademisch; wissenschaftlich	Auf dieser Konferenz werden akademische Fragen besprochen.
学问	das Wissen; die Gelehrsamkeit	Er ist sehr gebildet.
血	das Blut	Seine Hand blutete ein wenig.
寻找	suchen	Wir suchen gerade nach einer neuen Methode.
询问	sich erkundigen; fragen	Er fragte den Lehrer nach der Prüfungszeit.
训练	trainieren; das Training	Der Sportler trainiert jeden Tag.
迅速	schnell; rasch	Die Nachricht verbreitete sich rasch.
押金	die Kaution	Beim Mieten einer Wohnung muss man eine Kaution zahlen.
牙齿	der Zahn; die Zähne	Bitte pflege deine Zähne jeden Tag gut.
严肃	ernst	Der Gesichtsausdruck des Lehrers war sehr ernst.
延长	verlängern	Die Sitzung wurde um eine halbe Stunde verlängert.
演讲	die Rede; der Vortrag	Er bereitet die Rede für morgen vor.
宴会	das Bankett; die Feier	Sie nahmen an einem Bankett teil.
阳台	der Balkon	Auf dem Balkon stehen mehrere Blumentöpfe.
痒	jucken	Mein Arm juckt ein wenig.
样式	der Stil; die Art	Dieser Stil ist sehr beliebt.
腰	die Taille; der untere Rücken	Wenn man lange sitzt, kann der untere Rücken weh tun.
摇	schütteln; hin und her bewegen	Der Wind schüttelte die Äste hin und her.
咬	beißen	Dieser Hund beißt keine Menschen.
要不	sonst; wie wäre es	Wie wäre es, wenn wir morgen noch einmal hingehen?
业务	das Geschäft; der Geschäftsbereich	Das Geschäft der Firma wächst immer weiter.
业余	in der Freizeit	In seiner Freizeit lernt er Fotografie.
夜	die Nacht	Nachts ist die Straße sehr ruhig.
依然	immer noch; weiterhin	Er wohnt immer noch in Peking.
一辈子	das ganze Leben lang	Sie liebte Musik ihr ganzes Leben lang.
一旦	sobald; wenn erst	Sobald man sich entschieden hat, muss man durchhalten.
一律	ausnahmslos; alle	Während der Sitzung müssen alle Handys ausgeschaltet sein.
一再	wiederholt	Er erinnerte uns wiederholt daran, auf Sicherheit zu achten.
一致	übereinstimmend; einheitlich	Die Meinungen aller stimmen vollkommen überein.
疑问	die Frage; der Zweifel	Ich habe eine Frage zu dieser Antwort.
移动	bewegen	Bitte bewege den Tisch ein wenig.
移民	auswandern; einwandern	Sie planen, ins Ausland auszuwandern.
遗憾	bedauern; schade	Ich bedauere sehr, dich nicht gesehen zu haben.
乙	Partei B; der Zweite	Im Vertrag ist Partei B für die Zahlung verantwortlich.
以及	sowie; und	Ich habe Bücher sowie Schreibwaren gekauft.
以来	seit	Seit dem Abschluss arbeitet er die ganze Zeit in Peking.
义务	die Pflicht	Die Umwelt zu schützen ist die Pflicht jedes Einzelnen.
亿	hundert Millionen	Dieses Land hat über eine Milliarde Einwohner.
意外	unerwartet; der Unfall	Dieses Zuspätkommen war völlig unerwartet.
意义	die Bedeutung	Diese Veranstaltung ist sehr bedeutungsvoll.
议论	diskutieren; besprechen	Alle diskutieren gerade über diese Sache.
因而	daher; deshalb	Er lernt fleißig, daher sind seine Noten gut.
因素	der Faktor	Das Wetter ist ein wichtiger Faktor.
银	das Silber; silbern	Sie trägt ein silbernes Armband.
印刷	drucken; der Druck	Dieses Buch ist sehr klar gedruckt.
英俊	gutaussehend; stattlich	Er sieht sehr gut aus.
英雄	der Held	Feuerwehrleute sind wahre Helden.
营养	die Ernährung; die Nährstoffe	Das Frühstück sollte genug Nährstoffe enthalten.
营业	geöffnet sein; Geschäftsbetrieb	Dieses Geschäft öffnet um neun Uhr.
迎接	empfangen; begrüßen	Wir fuhren zum Flughafen, um die Gäste zu empfangen.
影子	der Schatten	Unter der Straßenlaterne ist sein Schatten.
应付	bewältigen; umgehen mit	Er kann dieses Problem bewältigen.
应用	anwenden; die Anwendung	Diese Methode kann im Unterricht angewendet werden.
硬	hart	Dieser Stuhl ist zu hart.
硬件	die Hardware	Dieser Computer hat gute Hardware.
拥抱	umarmen	Das Kind lief hinüber und umarmte seine Mutter.
拥挤	überfüllt; gedrängt	In der morgendlichen Hauptverkehrszeit ist die U-Bahn sehr voll.
勇气	der Mut	Er hat den Mut, seinen Fehler zuzugeben.
用功	fleißig lernen	Sie lernt sehr fleißig.
用途	die Verwendung; der Zweck	Dieses Material hat viele Verwendungsmöglichkeiten.
优惠	der Rabatt; vergünstigt	Dieses Geschäft hat heute Rabatt.
优美	schön; anmutig	Die Umgebung hier ist sehr schön.
优势	der Vorteil	Sein Vorteil ist seine reiche Erfahrung.
悠久	lang; traditionsreich	China hat eine lange Geschichte.
油炸	frittieren; frittiert	Ich esse selten frittierte Lebensmittel.
游览	besichtigen	Wir besichtigen morgen die Verbotene Stadt.
犹豫	zögern	Er zögerte eine Weile, bevor er antwortete.
有利	vorteilhaft; günstig	Diese Bedingung ist für uns vorteilhaft.
幼儿园	der Kindergarten	Das Kind geht nächstes Jahr in den Kindergarten.
娱乐	die Unterhaltung	Filme anzusehen ist eine Art Unterhaltung.
与其	anstatt; lieber als	Anstatt sich zu beschweren, sollte man handeln.
语气	der Tonfall	Sein Tonfall beim Sprechen ist sehr sanft.
玉米	der Mais	Zum Abendessen gibt es Maissuppe.
预报	die Vorhersage; vorhersagen	Die Wettervorhersage sagt, dass es morgen regnen wird.
预订	reservieren; buchen	Ich habe das Hotel bereits gebucht.
预防	vorbeugen; verhindern	Häufiges Händewaschen kann Erkältungen vorbeugen.
元旦	Neujahr; der Neujahrstag	An Neujahr haben wir einen Tag frei.
原料	der Rohstoff; die Zutat	Der Hauptrohstoff von Brot ist Mehl.
原则	das Prinzip	Als Mensch sollte man Prinzipien haben.
员工	der Mitarbeiter; die Mitarbeiterin	Die Firma hat dreihundert Mitarbeiter.
圆	rund	Der Mond ist groß und rund.
愿望	der Wunsch	Sein Wunsch ist es, um die Welt zu reisen.
乐器	das Musikinstrument	Sie kann mehrere Musikinstrumente spielen.
晕	schwindlig	Auf dem Boot wird mir etwas schwindlig.
运气	das Glück	Heute habe ich ziemlich viel Glück.
运输	der Transport	Diese Waren müssen per Bahn transportiert werden.
运用	anwenden; verwenden	Bitte verwenden Sie diese Wörter flexibel.
灾害	die Katastrophe; das Unglück	Hochwasser ist eine Naturkatastrophe.
再三	wiederholt; immer wieder	Der Lehrer erinnerte uns wiederholt ans Wiederholen.
在乎	sich kümmern um; Wert legen auf	Er legt großen Wert auf die Meinung seiner Freunde.
在于	liegen in	Erfolg liegt im Durchhalten.
赞成	zustimmen	Ich stimme deinem Vorschlag zu.
赞美	loben	Alle lobten ihren Mut.
糟糕	schrecklich; schlimm	Das Wetter ist heute wirklich schrecklich.
造成	verursachen	Der starke Regen verursachte einen Stau.
则	dann; so	Wenn man sich anstrengt, macht man Fortschritte.
责备	tadeln; die Schuld geben	Der Lehrer tadelte ihn nicht.
摘	pflücken	Sie pflückte im Garten eine Blume.
窄	schmal	Diese Straße ist zu schmal.
粘贴	aufkleben; einfügen	Bitte kleben Sie das Foto hier auf.
展开	beginnen; sich entfalten	Die Diskussion begann schnell.
展览	die Ausstellung	Im Museum gibt es eine neue Ausstellung.
占	einnehmen; besetzen	Dieser Tisch nimmt Platz weg.
战争	der Krieg	Krieg bringt den Menschen Leid.
掌握	beherrschen; meistern	Er beherrscht die Grundgrammatik bereits.
涨	steigen	Die Miete ist in letzter Zeit wieder gestiegen.
长辈	die ältere Generation; die Älteren	Zum Neujahr sollte man die Älteren grüßen.
账户	das Konto	Bitte prüfen Sie Ihr Bankkonto.
招待	empfangen; bewirten	Der Gastgeber empfing die Gäste herzlich.
着火	Feuer fangen	In der Küche brach plötzlich Feuer aus.
着凉	sich erkälten	Es ist kalt, erkälte dich nicht.
召开	einberufen; abhalten	Die Schule hält morgen eine Sitzung ab.
照常	wie gewohnt; wie üblich	Das Geschäft ist morgen wie gewohnt geöffnet.
哲学	die Philosophie	Er hat an der Universität Philosophie studiert.
珍惜	schätzen; wertschätzen	Wir sollten die Zeit schätzen.
真实	wahr; echt	Diese Geschichte ist wahr.
针对	gerichtet an; abzielen auf	Dieser Vorschlag richtet sich an neue Schüler.
诊断	die Diagnose	Der Arzt stellte schnell eine Diagnose.
振动	vibrieren	Das Handy vibriert auf dem Tisch.
阵	kurzer Schauer; kurze Zeit	Draußen gab es einen kurzen Regenschauer.
争论	diskutieren; streiten	Sie diskutierten lange über dieses Problem.
争取	sich bemühen um; anstreben	Wir sollten uns um mehr Chancen bemühen.
征求	einholen; erfragen	Der Lehrer holte die Meinungen aller ein.
挣	sich losreißen; verdienen	Der kleine Vogel riss sich vom Seil los.
睁	die Augen öffnen	Bitte öffne die Augen etwas weiter.
整个	ganz; vollständig	Die ganze Stadt ist sehr ruhig.
整齐	ordentlich; aufgeräumt	Die Bücher sind sehr ordentlich angeordnet.
整体	das Ganze; insgesamt	Wir müssen die Gesamtwirkung berücksichtigen.
政府	die Regierung	Die Regierung veröffentlichte eine neue Mitteilung.
政治	die Politik	Er interessiert sich sehr für Politik.
正	richtig; korrekt	Diese Antwort ist richtig.
证件	das Ausweisdokument	Bitte zeigen Sie Ihr Ausweisdokument vor.
证据	der Beweis	Die Polizei fand neue Beweise.
支	Zähleinheitswort für Stifte und längliche Gegenstände	Auf dem Tisch liegt ein Stift.
支票	der Scheck	Er bezahlte mit einem Scheck.
执照	die Lizenz; der Führerschein	Zum Autofahren braucht man einen Führerschein.
直	geradeaus; gerade	Gehen Sie diese Straße immer geradeaus.
指导	anleiten; betreuen	Der Lehrer betreute uns beim Schreiben der Abschlussarbeit.
指挥	leiten; dirigieren	Er ist dafür verantwortlich, diese Aktion zu leiten.
制定	ausarbeiten; festlegen	Die Firma hat einen neuen Plan ausgearbeitet.
制度	das System; die Regelung	Die Schule hat ein strenges Regelwerk.
制造	herstellen; produzieren	Diese Fabrik stellt Maschinen her.
制作	herstellen; zubereiten	Sie macht gerade eine Geburtstagstorte.
志愿者	der Freiwillige; die Freiwillige	Viele Freiwillige nahmen an der Veranstaltung teil.
智慧	die Weisheit	Dieser ältere Mensch besitzt große Weisheit.
治疗	behandeln	Der Arzt behandelt gerade den Patienten.
秩序	die Ordnung	Bitte halten Sie Ordnung.
至今	bis heute	Dieses Problem ist bis heute nicht gelöst.
至于	was ... betrifft	Was die Kosten betrifft, sprechen wir morgen darüber.
中介	die Agentur; der Vermittler	Er mietete die Wohnung über eine Agentur.
中心	das Zentrum	Das Krankenhaus liegt im Stadtzentrum.
中旬	Mitte des Monats	Die Sitzung ist für Mitte Mai geplant.
种类	die Art; die Sorte	Hier gibt es viele Obstsorten.
重大	wichtig; bedeutend	Das ist eine wichtige Entscheidung.
重量	das Gewicht	Wie schwer ist diese Kiste?
周到	aufmerksam; umsichtig	Sein Service ist sehr aufmerksam.
猪	das Schwein	Auf dem Bauernhof werden viele Schweine gehalten.
竹子	der Bambus	Pandas fressen gern Bambus.
逐步	Schritt für Schritt	Der Plan wird Schritt für Schritt umgesetzt.
逐渐	allmählich	Das Wetter wurde allmählich kälter.
