simplified	HR	example_HR
忌讳	tabu	Lokalni ljudi smatraju tabuom razgovarati o tome za stolom.
技巧	vještina	Ovladavanje vještinama može povećati učinkovitost.
纪要	zapisnik	Tajnica je uredila zapisnik sastanka.
继承	naslijediti	Naslijedio je očevu karijeru.
计较	zamarati se	Nemoj se zamarati tako malom stvari.
记性	pamćenje	Ima vrlo dobro pamćenje.
记载	zapisati	Povijesne knjige zabilježile su ovaj rat.
迹象	znak	Trenutačno nema znakova poboljšanja.
佳肴	delikatese	Stol je bio pun ukusnih delicija.
加工	obraditi	Ove sirovine treba dodatno obraditi.
加剧	pojačati	Sukob se pojačava.
夹杂	pomiješan	Zvuk kiše bio je pomiješan s grmljavinom.
家常	domaći	Volim jesti domaća jela.
家伙	tip	Taj tip uvijek kasni.
家属	član obitelji	Liječnik je obavijestio članove pacijentove obitelji.
家喻户晓	općepoznat	Ova je priča općepoznata.
坚定	čvrst	Njezin je stav vrlo čvrst.
坚固	čvrst	Ovaj je most vrlo čvrst.
坚韧	otporan	Ima vrlo otporan karakter.
坚实	čvrst	Ovo istraživanje ima čvrst temelj.
坚硬	tvrd	Ovaj je kamen vrlo tvrd.
尖端	vrhunski	Tvrtka ulaže u vrhunsku tehnologiju.
尖锐	oštar	Ovo je pitanje vrlo oštro.
煎	pržiti na tavi	Kuhar prži ribu na tavi.
监督	nadzirati	Javni nadzor pomaže poboljšati rad.
监视	nadgledati	Policija nadgleda osumnjičenika.
监狱	zatvor	On služi kaznu u zatvoru.
艰难	težak	Početna faza pokretanja posla vrlo je teška.
剪彩	prerezati vrpcu	Gradonačelnik je prerezao vrpcu za novu knjižnicu.
拣	odabrati	Iz košare je odabrala nekoliko jabuka.
检讨	preispitati	Ozbiljno je preispitao vlastite pogreške.
检验	testirati	Eksperimenti mogu testirati ovu hipotezu.
简化	pojednostaviti	Molimo dodatno pojednostavite postupak.
简陋	skroman	Živjeli su u skromnoj i jednostavnoj kolibi.
简体字	pojednostavljeni kineski znak	Ovaj udžbenik koristi pojednostavljene kineske znakove.
简要	kratak	Molimo kratko objasnite svoje stajalište.
健全	usavršiti	Tvrtka treba usavršiti svoj sustav upravljanja.
剑	mač	Na zidu visi drevni mač.
溅	prsnuti	Kišnica mu je prsnula po hlačama.
舰艇	ratni brod	Nekoliko ratnih brodova sudjelovalo je u vježbi.
见多识广	iskusan i načitan	Taj je starac iskusan i načitan.
见解	uvid	Ima jedinstvene uvide u ovo pitanje.
见闻	iskustvo i znanje	Putovanja su proširila njegovo iskustvo i znanje.
见义勇为	hrabro učiniti ispravnu stvar	Pohvaljen je jer je hrabro učinio ispravnu stvar.
践踏	gaziti	Nemoj gaziti po travnjaku.
鉴别	razlikovati	Stručnjaci mogu razlikovati je li ova slika autentična.
鉴定	identificirati	Policija identificira otiske prstiju.
鉴于	s obzirom na	S obzirom na loše vrijeme, događaj je odgođen.
间谍	špijun	Ovaj film govori o špijunskoj priči.
间隔	razmak	Dva sastanka imaju razmak od tjedan dana.
间接	neizravan	Ova će politika imati neizravan utjecaj.
僵硬	ukočen	Njegov je osmijeh izgledao ukočeno.
将军	general	General je izdao zapovijed.
将近	gotovo	Ovaj je projekt trajao gotovo dvije godine.
将就	snaći se	Uvjeti su loši, pa se možemo samo snaći.
奖励	nagraditi	Škola je nagradila izvrsne učenike.
奖赏	nagrada	Kralj je ratniku dao velikodušnu nagradu.
桨	veslo	Lađar je veslom odveslao čamac prema obali.
降临	spustiti se	Noć se postupno spustila nad grad.
交叉	križati se	Ove se dvije ceste ovdje križaju.
交代	objasniti	Molimo jasno objasnite zadatak.
交涉	pregovarati	Dvije strane pregovaraju o naknadi.
交易	transakcija	Ova je transakcija već dovršena.
娇气	preosjetljiv	Nemoj biti preosjetljiv; vrijeme nije hladno.
焦点	fokus	Zapošljavanje je postalo fokus rasprave.
焦急	tjeskoban	Majka je tjeskobno čekala da joj se dijete vrati.
侥幸	pukom srećom	Pukom srećom izbjegao je nesreću.
搅拌	miješati	Molimo ravnomjerno miješajte tijesto.
缴纳	platiti	Stanovnici trebaju na vrijeme platiti račun za vodu.
角落	kut	Mačka se sakrila u kut sobe.
教养	odgoj	Dobar odgoj vidi se u detaljima.
较量	nadmetati se	Dvije snažne ekipe uskoro će se nadmetati.
接连	uzastopno	Primio je tri e-poruke uzastopno.
揭露	razotkriti	Novinar je razotkrio problem sigurnosti hrane.
皆	svi	Ova su pravila svima poznata.
阶层	društveni sloj	Različiti društveni slojevi imaju različite potrebe.
截止	zatvoriti	Prijava se zatvara sutra poslijepodne.
截至	do	Do danas se registriralo dvjesto ljudi.
杰出	izvanredan	Ona je izvanredna znanstvenica.
竭尽全力	dati sve od sebe	Dat ćemo sve od sebe da završimo zadatak.
结晶	plod	Ovo postignuće plod je višegodišnjeg truda.
结局	završetak	Završetak priče bio je neočekivan.
结算	podmiriti račun	Klijent je zatražio da se naknade podmire krajem mjeseca.
节制	umjerenost	Treba imati umjerenost u jelu i piću.
节奏	ritam	Ritam ove pjesme je brz.
解除	ukinuti	Tvrtka je ukinula sigurnosno upozorenje.
解放	osloboditi	Reforma je oslobodila proizvodne snage.
解雇	otpustiti	Šef je odlučio otpustiti tog zaposlenika.
解剖	anatomija	Studenti medicine proučavaju anatomiju.
解散	raspustiti se	Nakon završetka sastanka skupina se raspustila.
解体	raspasti se	Taj se savez na kraju raspao.
借鉴	učiti iz	Možemo učiti iz stranog iskustva.
借助	uz pomoć	Uz pomoć karte pronašao je rutu.
戒备	biti na oprezu	Pogranično područje ostaje na visokom stupnju opreza.
界限	granica	Rad i život trebaju jasne granice.
津津有味	s velikim zanimanjem	Djeca su s velikim zanimanjem slušala priču.
金融	financije	Financijsko tržište danas je snažno osciliralo.
紧迫	hitan	Vrijeme je hitno i moramo odmah djelovati.
锦上添花	šlag na torti	Ovaj je poklon zaista bio šlag na torti.
晋升	unaprijediti	Prošle je godine unaprijeđen u voditelja odjela.
浸泡	namakati	Grah treba namakati preko noći.
近来	u posljednje vrijeme	Vrijeme se u posljednje vrijeme mnogo promijenilo.
进而	zatim	Prvo razumijte potrebe, a zatim izradite plan.
进攻	napadati	Ekipa je pojačala napad u drugom poluvremenu.
进化	evolucija	Organizmi evoluiraju sa svojim okolišem.
进展	napredovati	Projekt trenutačno napreduje glatko.
兢兢业业	marljiv i savjestan	Trideset je godina radio marljivo i savjesno.
惊动	uznemiriti	Glasna buka uznemirila je obližnje stanovnike.
惊奇	čuđenje	Djeca su s čuđenjem gledala mađioničarsku predstavu.
惊讶	iznenaditi	Njegov me odgovor iznenadio.
精打细算	pažljivo planirati	Uvijek pažljivo planira kućne troškove.
精华	srž	Ovaj članak sažima srž teorije.
精简	racionalizirati	Tvrtka je odlučila racionalizirati upravljanje.
精密	precizan	Ovaj je instrument vrlo precizan.
精确	točan	Podaci moraju biti točni na dvije decimale.
精通	izvrsno vladati	Izvrsno vlada trima stranim jezicima.
精心	pažljivo	Majka je pažljivo pripremila večeru.
精益求精	težiti savršenstvu	Izvrsni obrtnici uvijek teže savršenstvu.
精致	profinjen	Ovaj je poklon vrlo profinjeno zapakiran.
经费	sredstva	Sredstva za istraživanje već su odobrena.
经纬	zemljopisna dužina i širina	Karta označava crte zemljopisne dužine i širine.
茎	stabljika	Stabljika biljke podupire njezine listove.
井	bunar	Na ulazu u selo nalazi se stari bunar.
警告	upozoriti	Učitelj je upozorio učenike da ne varaju.
警惕	biti oprezan	Trebamo biti oprezni prema internetskim prijevarama.
颈椎	vratna kralježnica	Dugotrajno gledanje prema dolje može štetiti vratnoj kralježnici.
境界	razina	Njegovo je slikarstvo dosegnulo novu razinu.
敬礼	salutirati	Vojnik je salutirao nacionalnoj zastavi.
敬业	predan poslu	Radi ozbiljno i vrlo je predana poslu.
竞赛	natjecanje	Škola je održala matematičko natjecanje.
竞选	kandidirati se	Priprema se kandidirati za gradonačelnika.
镜头	kadar	Fotograf je prilagodio objektiv.
纠纷	spor	Dvije strane riješile su spor posredovanjem.
纠正	ispraviti	Učitelj je na vrijeme ispravio pogrešku u izgovoru.
酒精	alkohol	Liječnik je dezinficirao ranu alkoholom.
就近	u blizini	Učenici se mogu upisati u školu u blizini.
就业	zapošljavanje	Vlada je uvela politike za poticanje zapošljavanja.
就职	preuzeti dužnost	Novi će upravitelj službeno preuzeti dužnost sljedeći tjedan.
救济	pomoć	Žrtve katastrofe dobile su pravodobnu pomoć.
居民	stanovnik	Obližnji stanovnici protive se buci.
居住	stanovati	Ovdje stanuju već deset godina.
拘留	privesti	Policija je prema zakonu privela osumnjičenika.
拘束	sputan	Ne trebaš se osjećati sputano pred prijateljima.
鞠躬	nakloniti se	Glumac se naklonio publici u znak zahvalnosti.
局部	lokalan	Liječnik je primijenio samo lokalnu anesteziju.
局面	situacija	Pregovori su poboljšali napetu situaciju.
局势	stanje	Međunarodno stanje ostaje složeno.
局限	ograničenje	Ova metoda ima očita ograničenja.
举动	postupak	Njegov je postupak dirnuo sve.
举世瞩目	privući svjetsku pozornost	Ovaj je projekt privukao svjetsku pozornost.
举足轻重	presudan	Ova tvrtka ima presudan utjecaj u industriji.
咀嚼	žvakati	Trebao bi polako žvakati dok jedeš.
沮丧	obeshrabren	Nakon poraza u utakmici osjećao se vrlo obeshrabreno.
剧本	scenarij	Redatelj prepravlja scenarij.
剧烈	snažan	Tlo se snažno treslo.
据悉	prema izvješćima	Prema izvješćima, sastanak će biti odgođen do sljedećeg tjedna.
聚精会神	usredotočeno	Djeca su usredotočeno slušala lekciju.
卷	smotati	Smotao je kartu i stavio je u torbu.
倔强	tvrdoglav	Ovo dijete ima tvrdoglav karakter.
决策	odluka	Uprava raspravlja o važnoj odluci.
绝望	očaj	Nakon neuspjeha jednom je osjetio očaj.
觉悟	svijest	Ovo je iskustvo podiglo njegovu svijest.
觉醒	buditi se	Javna ekološka svijest se budi.
军队	vojska	Vojska je brzo stigla u područje katastrofe.
君子	častan čovjek	Častan čovjek treba uskladiti riječi i djela.
卡通	crtani film	Dijete voli gledati crtane filmove.
开采	rudariti	Ova je tvrtka odgovorna za rudarenje minerala.
开除	izbaciti	Škola je odlučila izbaciti učenika koji je varao.
开阔	širok	Pogled s vrha planine vrlo je širok.
开朗	vedar	Ona je vedra i ima mnogo prijatelja.
开明	otvorenog uma	Roditelji imaju stav otvorenog uma.
开辟	otvoriti	Grad je otvorio novu autobusnu liniju.
开拓	proširiti	Tvrtka planira proširiti poslovanje na inozemna tržišta.
开展	provesti	Škola je provela aktivnost edukacije o sigurnosti.
开支	troškovi	Mjesečni troškovi obitelji su porasli.
刊登	objaviti	Novine su objavile njegov članak.
刊物	publikacija	Ova publikacija izlazi jednom mjesečno.
勘探	istraživanje	Inženjerski tim istražuje podzemne izvore vode.
侃侃而谈	samouvjereno govoriti	Na sastanku je samouvjereno i opširno govorio.
砍伐	sjeći	Zabranjena je nasumična sječa šuma.
看待	promatrati	Trebali bismo objektivno promatrati ovo pitanje.
慷慨	velikodušan	Velikodušno je donirao novac od nagrade.
抗议	prosvjedovati	Stanovnici su prosvjedovali protiv izgradnje nove tvornice.
考察	ispitati	Stručnjaci su otišli na teren ispitati okoliš.
考古	arheologija	Arheološki tim otkrio je drevne grobnice.
考核	procijeniti	Tvrtka svake godine procjenjuje rad zaposlenika.
考验	iskušati	Ova je kriza iskušala sposobnosti tima.
靠拢	približiti se	Članovi tima približili su se središtu.
磕	udariti	Slučajno je udario o kut stola.
科目	predmet	Matematika mu je omiljeni predmet.
可观	znatan	Ova je investicija donijela znatan povrat.
可口	ukusan	Hrana u ovom restoranu je ukusna.
可恶	odvratan	Ovakva je prijevara zaista odvratna.
可行	izvediv	Ovaj je plan u osnovi izvediv.
渴望	čeznuti	Djeca čeznu za više prilika.
克制	obuzdati	Tijekom svađe trebao bi obuzdati emocije.
刻不容缓	ne trpi odgađanje	Zaštita izvora vode ne trpi odgađanje.
客户	klijent	Klijent je vrlo zadovoljan uslugom.
课题	tema	Ova tema vrijedi dubinskog istraživanja.
啃	gristi	Dijete grize komad kukuruza.
恳切	iskren	Iskreno je zamolio sve za pomoć.
坑	jama	Pokraj ceste nalazi se duboka jama.
空洞	prazan	Ovo je izvješće sadržajno prazno.
空前绝后	bez presedana	Ova se izvedba može nazvati bez presedana.
空想	maštarija	Samo oslanjanje na maštariju ne može riješiti probleme.
空虚	praznina	Nakon što je gužva prošla, osjetio je prazninu.
孔	rupa	U zidu je mala rupa.
恐怖	zastrašujući	Taj film ima zastrašujuću atmosferu.
恐吓	prijetiti	Druga je strana prijetnjama zastrašivala svjedoka.
恐惧	strah	Tama je u djetetu izazvala strah.
空白	prazan prostor	Molimo potpišite se u prazan prostor.
空隙	razmak	Između vrata i poda postoji razmak.
口气	ton	Njegov ton govora bio je vrlo oštar.
口腔	usna šupljina	Liječnik mu je pregledao usnu šupljinu.
口头	usmen	Imaju samo usmeni dogovor.
口音	naglasak	Njegov mandarinski ima lagan naglasak.
扣	zakopčati	Molimo zakopčajte sigurnosni pojas.
哭泣	plakati	Djevojčica se sakrila u kut i plakala.
枯萎	uvenuti	Nedostatak vode uzrokovao je da cvijeće uvene.
枯燥	dosadan	Ovaj je posao pomalo dosadan.
苦尽甘来	nakon muke dolazi sreća	Nakon godina ustrajnosti, nakon muke napokon je došla sreća.
苦涩	gorak	Ovaj ljekoviti čaj ima gorak i opor okus.
挎	nositi preko ruke	Izašla je s platnenom torbom preko ruke.
跨	prekoračiti	Prekoračio je jarak i nastavio hodati.
快活	veseo	Djeca su se veselo igrala na travi.
宽敞	prostran	Ova je učionica svijetla i prostrana.
宽容	tolerancija	Društvu treba više razumijevanja i tolerancije.
款待	ugostiti	Domaćin je srdačno ugostio goste.
款式	stil	Ovaj odjevni predmet ima vrlo nov stil.
筐	košara	Odnesao je kući košaru jabuka.
况且	osim toga	Put je dalek, a osim toga, već se smračuje.
旷课	izostati s nastave	Učenici koji bez razloga izostanu s nastave bit će evidentirani.
框架	okvir	Izvješću prvo treba postaviti okvir.
矿产	mineralna bogatstva	Ovo je područje bogato mineralnim bogatstvima.
亏待	nepravedno postupati	Tvrtka neće nepravedno postupati prema zaposlenicima koji ozbiljno rade.
亏损	gubitak	Tvornica je ove godine pretrpjela ozbiljne gubitke.
捆绑	vezati	Molimo čvrsto vežite ove kutije.
扩充	proširiti	Škola planira proširiti knjižnični fond.
扩散	širiti se	Glasina se brzo proširila internetom.
扩张	širenje	Tvrtka oprezno širi poslovanje.
啦	čestica	Ne brini; sve će biti bolje.
喇叭	truba	Automobilska truba iznenada se oglasila.
蜡烛	svijeća	Na rođendansku tortu stavljene su svijeće.
来历	podrijetlo	Podrijetlo ove kulturne relikvije nije jasno.
来源	izvor	Vijesti moraju navesti izvor informacija.
栏目	rubrika	Ova rubrika programa emitira se jednom tjedno.
懒惰	lijenost	Lijenost može utjecati na rezultate učenja.
狼狈	jadan	Nakon kiše bio je potpuno mokar i izgledao je jadno.
狼吞虎咽	halapljivo jesti	Bio je izgladnio i halapljivo je pojeo obrok.
捞	izvući	Ribar je izvukao mrežu iz rijeke.
唠叨	zanovijetati	Majka uvijek zanovijeta zbog sitnica.
牢固	čvrst	Konstrukcija ovog mosta vrlo je čvrsta.
牢骚	pritužba	Pun je pritužbi, ali se ne želi promijeniti.
乐趣	užitak	Čitanje joj donosi mnogo užitka.
乐意	rado	Rado ću ti pomoći urediti životopis.
雷达	radar	Radar je otkrio avion u daljini.
类似	sličan	Slični problemi već su se događali.
冷酷	hladan	Njegov je ton zvučao vrlo hladno.
冷落	zanemariti	Novi se zaposlenik osjećao zanemareno.
冷却	ohladiti se	Stroj se mora ohladiti prije popravka.
愣	ukočiti se	Čuvši vijest, ukočio se.
黎明	zora	U zoru se grad postupno probudio.
理睬	obraćati pozornost	Bio je ljut i nije obraćao pozornost ni na koga.
理所当然	uzimati zdravo za gotovo	Nemoj tuđu pomoć uzimati zdravo za gotovo.
理直气壮	s punim pravom	S dovoljno dokaza govorio je s punim pravom.
理智	razum	Trebao bi zadržati razum kad se suočiš sa sukobom.
礼节	bonton	Različite kulture imaju različit bonton.
礼尚往来	uzvratiti ljubaznost	Susjedi cijene uzajamno uzvraćanje ljubaznosti.
里程碑	prekretnica	Ovaj uspjeh prekretnica je za projekt.
例外	iznimka	Svi moraju prisustvovati, bez iznimke.
利害	interesi	Ovo se tiče interesa obiju strana.
力求	nastojati	Nastojimo svesti pogreške na minimum.
力所能及	u okviru svojih mogućnosti	Molimo učinite ono što je u okviru vaših mogućnosti.
力争	nastojati	Ekipa nastoji završiti zadatak prije roka.
历代	prošli naraštaji	Znanstvenici prošlih naraštaja proučavali su ovo pitanje.
历来	oduvijek	Ovaj je grad oduvijek cijenio obrazovanje.
立场	stajalište	Na sastanku je iznio svoje stajalište.
立方	kubični	Ovaj spremnik za vodu ima kapacitet od tri kubična metra.
立交桥	nadvožnjak	Ovaj je nadvožnjak ublažio prometnu gužvu.
立体	trodimenzionalan	Ova slika ima snažan trodimenzionalni učinak.
立足	utemeljiti se	Poduzeća se trebaju utemeljiti na lokalnom tržištu.
粒	zrno	Na stolu je nekoliko zrna riže.
廉洁	pošten	Javni službenici moraju ostati pošteni i čisti.
联欢	druženje	Razredni kolege održali su novogodišnje druženje.
联络	kontaktirati	Molimo kontaktirajte klijenta što prije.
联盟	savez	Nekoliko zemalja osnovalo je trgovinski savez.
联想	podsjetiti	Ova me fotografija podsjeća na djetinjstvo.
连年	godinama zaredom	Ovo područje godinama zaredom trpi poplave.
连锁	lanac	Ova tvrtka upravlja lancem supermarketa.
连同	zajedno s	Molimo pošaljite račun zajedno s ugovorom.
良心	savjest	Čovjek treba živjeti tako da ne izda svoju savjest.
晾	sušiti	Objesila je odjeću da se suši na balkonu.
谅解	razumijevanje	Nadam se da možete razumjeti naše poteškoće.
辽阔	prostran	Travnjaci su prostrani i protežu se dokle pogled seže.
列举	navesti	Učitelj je naveo tri primjera.
临床	klinički	Ovaj lijek prolazi klinička ispitivanja.
淋	pokisnuti	Nemoj predugo kisnuti na kiši.
吝啬	škrt	Nikada nije škrt prema svojim prijateljima.
伶俐	bistar	Ova je djevojčica bistra i snalažljiva.
凌晨	rano jutro	Avion polijeće u tri sata rano ujutro.
灵感	inspiracija	Glazba mu je dala kreativnu inspiraciju.
灵魂	duša	Sloboda je duša ovog djela.
灵敏	osjetljiv	Ovaj instrument reagira vrlo osjetljivo.
零星	raspršen	Na noćnom nebu bila su raspršena svjetla.
领会	shvatiti	Brzo je shvatio što je učitelj mislio.
领事馆	konzulat	Otišao je u konzulat riješiti vizu.
领土	teritorij	Svaka zemlja cijeni teritorijalnu cjelovitost.
领悟	spoznati	Nakon iskustva neuspjeha spoznao je odgovornost.
领先	voditi	Njihova je tehnologija trenutačno ispred konkurencije.
领袖	vođa	Ovaj je vođa duboko poštovan među narodom.
溜	iskrasti se	Štene se iskralo kroz pukotinu u vratima.
流浪	lutati	U mladosti je neko vrijeme lutao od mjesta do mjesta.
流露	otkriti	Na njezinu se licu otkrila radost.
流氓	huligan	Policija je uhvatila nekoliko uličnih huligana.
流通	kružiti	Ova je valuta nekoć kružila lokalno.
留恋	biti vezan	Na maturi su svi osjećali vezanost za kampus.
留念	uspomena	Fotografirali smo se pred školskim vratima za uspomenu.
留神	paziti	Moraš paziti kad prelaziš cestu.
聋哑	gluhonijem	Škola pruža pomoć gluhonijemoj djeci.
隆重	svečan	Konferencija je svečano održana u dvorani.
垄断	monopolizirati	Monopolizacija može naštetiti tržišnom natjecanju.
笼罩	obaviti	Gusta magla obavila je cijelo selo.
搂	zagrliti	Majka je nježno zagrlila dijete.
炉灶	štednjak	Štednjak u kuhinji treba očistiti.
轮船	brod	Brod je polako napustio luku.
轮廓	obris	Obris udaljenih planinskih vrhova vrlo je jasan.
轮胎	guma	Gume na automobilu treba zamijeniti.
论坛	forum	Stručnjaci su održali govore na forumu.
论证	dokazati	Izvješće treba dodatno dokazati svoju tvrdnju.
啰唆	razvlačiti	Prestani razvlačiti i prijeđi odmah na stvar.
络绎不绝	neprekidno	Posjetitelji su neprekidno dolazili u drevni grad.
落成	dovršiti gradnju	Nova sportska dvorana bit će službeno dovršena sutra.
落实	provesti	Sastanak je zahtijevao da se nova politika brzo provede.
屡次	više puta	Više je puta podsjetio sve da paze na sigurnost.
履行	ispuniti	Obje strane moraju ispuniti ugovorne obveze.
掠夺	pljačkati	Rat je doveo do pljačkanja resursa.
嘛	čestica	Ova je stvar, na kraju krajeva, jednostavna.
麻痹	neopreznost	Dugotrajno glatko napredovanje lako može učiniti ljude neopreznima.
麻木	utrnuti	Hladnoća mu je utrnula prste.
麻醉	anestezirati	Prije operacije liječnik je anestezirao pacijenta.
码头	pristanište	Teretni brod pristao je pokraj pristaništa.
蚂蚁	mrav	Mravi nose hranu.
埋伏	zasjeda	Vojnici su ležali u zasjedi u dolini.
埋没	ostati nezapažen	Ne dopusti da talentirani ljudi ostanu nezapaženi.
埋葬	pokopati	Seljani su pokopali starca na padini.
脉搏	puls	Medicinska sestra mu mjeri puls.
迈	zakoračiti	Zakoračio je prema vratima.
埋怨	žaliti se	Nemoj se uvijek žaliti na druge.
慢性	kroničan	Kronične bolesti zahtijevaju dugotrajno liječenje.
漫长	dug	Prošli su kroz dugo čekanje.
漫画	strip	Ovaj je strip vrlo popularan među mladima.
蔓延	širiti se	Požar se brzo proširio duboko u šumu.
忙碌	zauzet	Kraj godine najzauzetije je razdoblje tvrtke.
盲目	naslijepo	Ulaganje ne bi trebalo naslijepo slijediti trendove.
茫茫	beskrajan	Brod je nestao u beskrajnom moru.
茫然	zbunjen	Nakon objašnjenja i dalje je izgledao zbunjeno.
冒充	pretvarati se	Netko se pretvarao da je policajac kako bi prevario ljude za novac.
冒犯	uvrijediti	Nisam te namjeravao uvrijediti svojim riječima.
茂盛	bujan	Drveće u dvorištu bujno raste.
媒介	medij	Internet je važan medij informacija.
枚	brojna riječ	Skupio je nekoliko prigodnih kovanica.
美观	estetski	Ovaj je dizajn i praktičan i estetski privlačan.
美满	sretan	Žive sretan i ispunjen život.
美妙	divan	Koncert je donio divno iskustvo.
萌芽	klica	Počela se pojavljivati nova ideja.
猛烈	žestok	Oluja je došla vrlo žestoko.
眯	sužiti oči	Sunce je bilo prejako, pa je suzio oči.
弥补	nadoknaditi	Isprika ne može potpuno nadoknaditi gubitak.
弥漫	ispuniti	Miris cvijeća ispunio je dvorište.
谜语	zagonetka	Djeca vole pogađati zagonetke.
迷惑	zbuniti	Složeni podaci su ga zbunili.
迷人	šarmantan	Noćni pogled uz more vrlo je šarmantan.
迷信	praznovjerje	Znanstveno obrazovanje može smanjiti praznovjerje.
密度	gustoća	Ovaj metal ima veliku gustoću.
密封	zapečatiti	Nakon otvaranja, molimo ponovno zapečatite vrećicu.
棉花	pamuk	Poljoprivrednici beru pamuk.
免得	kako ne bi	Kreni ranije kako ne bi zakasnio.
免疫	imunitet	Ovo cjepivo može poboljšati imunitet.
勉励	ohrabriti	Učitelj često ohrabruje učenike da nastave učiti.
勉强	nevoljko	Nevoljko je pristao na ovaj dogovor.
面貌	izgled	Izgled grada jako se promijenio.
面子	obraz	Nije želio izgubiti obraz u javnosti.
描绘	prikazati	Roman prikazuje seoski život.
瞄准	ciljati	Strijelac je ciljao metu.
渺小	sitan	Ljudi se pred prirodom čine vrlo sitnima.
藐视	podcjenjivati	Ne smijemo podcjenjivati nijednog protivnika.
灭亡	propasti	Ova je dinastija na kraju krenula prema propasti.
蔑视	prezir	Njegov je ton bio pun prezira.
民间	narodni	Narodna umjetnost treba zaštitu.
民主	demokracija	Sastanak je koristio demokratsko glasovanje.
敏捷	okretan	Pokreti sportaša vrlo su okretni.
敏锐	oštar	Novinari trebaju oštru moć zapažanja.
名次	plasman	Postigla je dobar plasman na natjecanju.
名额	mjesto	Ovaj program ima samo deset mjesta.
名副其实	pravi	On je pravi stručnjak, ne samo po imenu.
名誉	ugled	Ova je stvar oštetila ugled tvrtke.
明明	očito	Očito je znao odgovor, ali ga je odbio reći.
明智	mudar	Odgoda odluke bila je mudar izbor.
命名	imenovati	Znanstvenici su imenovali novu vrstu.
摸索	istraživati	Tim još istražuje nove metode.
摩擦	trenje	Između dvije zemlje pojavilo se trgovinsko trenje.
模范	uzor	On je uzor svim učenicima u školi.
模式	model	Ovaj je poslovni model vrlo uspješan.
模型	model	Inženjer je izradio model mosta.
磨合	uskladiti se	Novi tim treba vremena da se međusobno uskladi.
膜	membrana	Ova membrana može filtrirati nečistoće.
魔鬼	vrag	Vrag u priči vrlo je lukav.
魔术	mađioničarski trik	Djeca vole gledati mađioničarske trikove.
抹杀	izbrisati	Njegov se doprinos ne može izbrisati.
墨水儿	tinta	Tinta u olovci gotovo se potrošila.
莫名其妙	neshvatljiv	Njegova je reakcija ljudima bila neshvatljiva.
默默	tiho	Tiho je pomogla mnogim ljudima.
谋求	tražiti	Poduzeće traži nove razvojne prilike.
模样	izgled	Njegov se izgled sada mnogo promijenio.
母语	materinski jezik	Djeca odmalena uče materinski jezik.
沐浴	okupati se	Selo je ujutro bilo okupano sunčevom svjetlošću.
目睹	svjedočiti	Mnogi su ljudi svjedočili nesreći.
目光	pogled	Pogledi svih bili su usmjereni na pozornicu.
拿手	specijalitet	Pirjana riba njegovo je specijalno jelo.
纳闷儿	čuditi se	Stalno sam se čudio zašto kasni.
耐用	izdržljiv	Ovaj par cipela vrlo je izdržljiv.
南辕北辙	raditi suprotno cilju	Njegov pristup radi suprotno cilju.
难得	rijedak	Ovo je rijetka prilika.
难堪	posramljen	Ovo ga je pitanje posramilo.
难能可贵	hvalevrijedan	Ostati pošten pod pritiskom posebno je hvalevrijedno.
恼火	živciran	Oprema se opet pokvarila i bio je vrlo živciran.
内涵	konotacija	Ova riječ ima bogate kulturne konotacije.
内幕	pozadina	Novinar je pokušao istražiti pozadinu događaja.
内在	unutarnji	On više cijeni unutarnje osobine osobe.
能量	energija	Ovaj mi doručak daje mnogo energije.
拟定	sastaviti	Tajnica sastavlja dnevni red sastanka.
逆行	voziti u suprotnom smjeru	Taj je automobil vozio u suprotnom smjeru jednosmjernom ulicom.
年度	godina	Tvrtka je objavila godišnje izvješće.
捏	uštipnuti	Ona je nježno uštipnula dijete za obraz.
凝固	stvrdnuti se	Nakon hlađenja vosak će se polako stvrdnuti.
凝聚	okupiti	Zajednički cilj može okupiti snagu tima.
凝视	netremice gledati	On je netremice gledao svjetla u daljini.
拧	uštinuti	On me jednom uštinuo rukom.
宁肯	radije bi	Ona bi radije doživjela neuspjeh nego odustala od svojih načela.
宁愿	radije bih	Radije bih hodao nego čekao autobus.
扭转	preokrenuti	Nova politika preokrenula je gubitničku situaciju.
纽扣儿	gumb	Ova je košulja izgubila gumb.
农历	lunarni kalendar	Proljetni festival slavi se prema lunarnom kalendaru.
浓厚	snažan	On ima snažan interes za povijest.
奴隶	rob	Ropstvo je postojalo u drevnom društvu.
挪	pomaknuti	Molim te pomakni stolicu malo u stranu.
虐待	zlostavljati	Zakon zabranjuje zlostavljanje djece.
哦	oh	Oh, napokon razumijem.
殴打	pretući	Policija je uhitila osobu koja je pretukla prolaznika.
偶像	idol	Ona tog pisca smatra idolom.
呕吐	povraćati	Počeo je povraćati nakon što je pojeo pokvarenu hranu.
趴	ležati potrbuške	Mačić je ležao potrbuške na prozorskoj dasci i spavao.
徘徊	kolebati se	Dugo se kolebao na ulazu.
排斥	odbaciti	Novi materijal odbija vlagu.
排除	isključiti	Liječnik je najprije isključio ozbiljnu bolest.
排放	emisija	Tvornice moraju smanjiti emisije ispušnih plinova.
排练	vježbati	Glumci vježbaju novi program.
派别	frakcija	U ovoj organizaciji postoje različite frakcije.
派遣	poslati	Tvrtka je poslala inženjere na gradilište.
攀登	penjati se	Planiraju se sutra popeti na snježnu planinu.
