simplified	ML	example_ML
明显	വ്യക്തമായ	അവന്റെ പുരോഗതി വ്യക്തമാണ്.
明星	നക്ഷത്രം; സിനിമാതാരം	അവൾ സിനിമാതാരമാകാൻ ആഗ്രഹിക്കുന്നു.
命令	ആജ്ഞ; ഉത്തരവ്	സൈനികർ ഉത്തരവുകൾ പാലിക്കണം.
命运	വിധി	വിധി മാറ്റാൻ കഴിയുമെന്ന് അവൻ വിശ്വസിക്കുന്നു.
摸	തൊടുക	ദയവായി ഈ ചിത്രത്തെ തൊടരുത്.
摩托车	മോട്ടോർസൈക്കിൾ	അവൻ മോട്ടോർസൈക്കിളിൽ ജോലിക്ക് പോകുന്നു.
模仿	അനുകരിക്കുക	കുട്ടികൾ മുതിർന്നവരുടെ സംസാരശൈലി അനുകരിക്കാൻ ഇഷ്ടപ്പെടുന്നു.
模糊	അസ്പഷ്ടമായ	ഈ ഫോട്ടോ അല്പം അസ്പഷ്ടമാണ്.
模特	മോഡൽ	അവൾ ഒരു ഫാഷൻ മോഡലാണ്.
陌生	പരിചയമില്ലാത്ത	ഈ നഗരം എനിക്ക് വളരെ പരിചയമില്ലാത്തതാണ്.
某	ഒരു; ചില	ഒരു അധ്യാപകൻ എന്നെ വിളിച്ചു.
木头	മരം; മരത്തടി	ഈ മേശ മരം കൊണ്ടാണ് നിർമ്മിച്ചത്.
目标	ലക്ഷ്യം	പരീക്ഷ പാസാകുകയാണ് എന്റെ ലക്ഷ്യം.
目录	ഉള്ളടക്കപ്പട്ടിക	ദയവായി ആദ്യം പുസ്തകത്തിന്റെ തുടക്കത്തിലെ ഉള്ളടക്കപ്പട്ടിക നോക്കൂ.
目前	ഇപ്പോൾ; നിലവിൽ	നിലവിൽ സ്ഥിതി താരതമ്യേന സ്ഥിരമാണ്.
哪怕	എങ്കിലും; ആയാലും	അവൻ തിരക്കിലായാലും പഠനം തുടരുന്നു.
难怪	അതുകൊണ്ടാണല്ലോ	അതുകൊണ്ടാണല്ലോ നീ ഇന്ന് ഇത്ര സന്തോഷമുള്ളത്.
难免	ഒഴിവാക്കാൻ ബുദ്ധിമുട്ടുള്ള	ആദ്യമായി ചെയ്യുമ്പോൾ തെറ്റുകൾ ഒഴിവാക്കാൻ ബുദ്ധിമുട്ടാണ്.
脑袋	തല	അവന്റെ തലക്ക് അല്പം വേദനയുണ്ട്.
内部	ആന്തരിക	ഇത് കമ്പനിയുടെ ആന്തരിക സാമഗ്രിയാണ്.
内科	ആന്തരരോഗ വിഭാഗം	അവൻ ഇന്ന് ആന്തരരോഗ വിഭാഗത്തിൽ കാണാൻ പോകുന്നു.
嫩	മൃദുവായ; പച്ചയായ	ഈ ഇറച്ചിക്കഷണം വളരെ മൃദുവാണ്.
能干	കഴിവുള്ള	അവൾ വളരെ കഴിവുള്ള വ്യക്തിയാണ്.
能源	ഊർജസ്രോതസ്	സൗരോർജം ഒരു ശുദ്ധ ഊർജസ്രോതസാണ്.
嗯	ം; ശരി	ം, എനിക്ക് മനസ്സിലായി.
年代	ദശകം; കാലഘട്ടം	ഈ ഫോട്ടോ 1980-കളിൽ എടുത്തതാണ്.
年纪	പ്രായം	അവന് പ്രായം കൂടുതലല്ല, പക്ഷേ ധാരാളം അനുഭവമുണ്ട്.
念	വായിക്കുക; ഓർത്ത് പറയുക	ദയവായി പാഠഭാഗം ഒരിക്കൽ ശബ്ദത്തോടെ വായിക്കൂ.
宁可	ചെയ്യുന്നതാണ് നല്ലത്; ചെയ്യാൻ തയ്യാറാണ്	ബസ് കാത്തിരിക്കാനേക്കാൾ ഞാൻ നടക്കാൻ തയാറാണ്.
牛仔裤	ജീൻസ്	അവൻ ഒരു ജീൻസ് ധരിച്ചിരിക്കുന്നു.
农村	ഗ്രാമപ്രദേശം	അവൾ ഗ്രാമപ്രദേശത്ത് വളർന്നു.
农民	കർഷകൻ	കർഷകർ വയലുകളിൽ ജോലി ചെയ്യുന്നു.
农业	കൃഷി	ഈ പ്രദേശത്തിന് കൃഷി വളരെ പ്രധാനമാണ്.
浓	കട്ടിയുള്ള; ശക്തമായ	ഈ കാപ്പി വളരെ കട്ടിയാണ്.
女士	സ്ത്രീ; മാഡം	ആ സ്ത്രീ ബസ് കാത്തിരിക്കുകയാണ്.
欧洲	യൂറോപ്പ്	അവൻ അടുത്ത മാസം യൂറോപ്പിലേക്ക് യാത്ര ചെയ്യുന്നു.
偶然	യാദൃശ്ചികമായി	ഞാൻ ഒരു പഴയ സഹപാഠിയെ യാദൃശ്ചികമായി കണ്ടു.
拍	ഫോട്ടോ എടുക്കുക	ദയവായി എനിക്ക് ഒരു ഫോട്ടോ എടുക്കാൻ സഹായിക്കൂ.
派	അയയ്ക്കുക	കമ്പനി അവനെ ബിസിനസ് യാത്രയ്ക്ക് ഷാങ്ഹായിലേക്ക് അയച്ചു.
盼望	ആകാംക്ഷയോടെ കാത്തിരിക്കുക	നിന്നെ ഉടൻ കാണാൻ ഞാൻ ആകാംക്ഷയോടെ കാത്തിരിക്കുന്നു.
培训	പരിശീലനം	പുതിയ ജീവനക്കാർ പരിശീലനത്തിൽ പങ്കെടുക്കണം.
培养	വളർത്തുക; വികസിപ്പിക്കുക	വിദ്യാർത്ഥികളുടെ കഴിവുകൾ വികസിപ്പിക്കുന്നതിനെ സ്കൂൾ വിലമതിക്കുന്നു.
赔偿	പരിഹാരം നൽകുക	നഷ്ടത്തിന് പരിഹാരം നൽകാൻ കമ്പനി സമ്മതിച്ചു.
佩服	അഭിമാനത്തോടെ ബഹുമാനിക്കുക	അവന്റെ ധൈര്യത്തെ ഞാൻ ശരിക്കും ബഹുമാനിക്കുന്നു.
配合	സഹകരിക്കുക	ദയവായി അധ്യാപകന്റെ ക്രമീകരണങ്ങളോട് സഹകരിക്കൂ.
盆	ചട്ടി; പാത്രം	ബാൽക്കണിയിൽ ഒരു പൂച്ചട്ടിയുണ്ട്.
碰	തൊടുക; ഇടിക്കുക	ശ്രദ്ധിക്കൂ, ചൂടുവെള്ളം തൊടരുത്.
批	കൂട്ടം; വിമർശിക്കുക	ഈ ചരക്കുകളുടെ കൂട്ടം ഇന്ന് എത്തി.
批准	അംഗീകരിക്കുക	മാനേജർ ഈ പദ്ധതി അംഗീകരിച്ചു.
披	മൂടിയിടുക; ചുറ്റിയിടുക	അവളുടെ തോളിൽ ഒരു കോട്ട് ചുറ്റിയിരിക്കുന്നു.
疲劳	ക്ഷീണം	ദീർഘനേരം ജോലി ചെയ്താൽ ക്ഷീണം തോന്നും.
匹	കുതിരകൾക്കുള്ള എണ്ണവാക്ക്	പുല്ലിൽ ഒരു കുതിരയുണ്ട്.
片	കഷണം; തുണ്ട്	ദയവായി എനിക്ക് ഒരു അപ്പക്കഷണം തരൂ.
片面	ഏകപക്ഷീയമായ	ഈ അഭിപ്രായം വളരെ ഏകപക്ഷീയമാണ്.
飘	ഒഴുകിപ്പറക്കുക	മഞ്ഞുതുള്ളികൾ വായുവിൽ ഒഴുകിപ്പറക്കുന്നു.
拼音	പിൻയിൻ	ചൈനീസ് അക്ഷരങ്ങളുടെ സമീപത്ത് പിൻയിൻ എഴുതൂ.
频道	ചാനൽ	ദയവായി വാർത്താ ചാനലിലേക്ക് മാറ്റൂ.
凭	അടിസ്ഥാനമാക്കി; ആശ്രയിച്ച്	ടിക്കറ്റ് കാണിച്ച് അകത്ത് കടക്കാം.
平均	ശരാശരി	ശരാശരിയായി ഓരോരുത്തരും പത്ത് യുവാൻ ചെലവഴിച്ചു.
平	സമതലമായ	ഈ റോഡ് വളരെ സമതലമാണ്.
平安	സുരക്ഷിതമായി; സുഖമായി	നിങ്ങൾക്ക് സുരക്ഷിതമായ യാത്ര ആശംസിക്കുന്നു.
平常	സാധാരണ	അവൻ സാധാരണയായി വൈകി വരാറില്ല.
平等	സമത്വം	എല്ലാവരോടും സമമായി പെരുമാറണം.
平方	ചതുരശ്ര	ഈ മുറി ഇരുപത് ചതുരശ്ര മീറ്ററാണ്.
平衡	സന്തുലനം	ജോലിക്കും ജീവിതത്തിനും സന്തുലനം വേണം.
平静	ശാന്തം	തടാകത്തിന്റെ ഉപരിതലം വളരെ ശാന്തമാണ്.
评价	വിലയിരുത്തുക; വിലയിരുത്തൽ	അധ്യാപകൻ വളരെ ഉയർന്ന വിലയിരുത്തൽ നൽകി.
破产	ദിവാളാകുക	ആ കമ്പനി കഴിഞ്ഞ വർഷം ദിവാളായി.
破坏	നശിപ്പിക്കുക; കേടുപാട് വരുത്തുക	ദയവായി പൊതുസമ്പത്തിന് കേടുപാട് വരുത്തരുത്.
迫切	അടിയന്തിരമായ	ഞങ്ങൾക്ക് കൂടുതൽ ഡോക്ടർമാരെ അടിയന്തിരമായി വേണം.
期待	ആകാംക്ഷയോടെ കാത്തിരിക്കുക	ഈ യാത്രയെ ഞാൻ ആകാംക്ഷയോടെ കാത്തിരിക്കുന്നു.
期间	കാലയളവിൽ	യോഗത്തിനിടെ ഫോൺ ഓഫ് ചെയ്യൂ.
其余	ശേഷിക്കുന്നവ	ശേഷിക്കുന്ന പ്രശ്നങ്ങൾ നാളെ ചർച്ച ചെയ്യും.
奇迹	അത്ഭുതം	ഇത് ഒരു അത്ഭുതമാണെന്ന് ഡോക്ടർ പറഞ്ഞു.
企业	സ്ഥാപനം; കമ്പനി	ഈ സ്ഥാപനം വേഗത്തിൽ വളരുന്നു.
启发	പ്രചോദിപ്പിക്കുക	ഈ പുസ്തകം എനിക്ക് വളരെയധികം പ്രചോദനം നൽകി.
气氛	അന്തരീക്ഷം	ക്ലാസ് മുറിയിലെ അന്തരീക്ഷം വളരെ ലളിതമാണ്.
汽油	പെട്രോൾ	കാറിന് പെട്രോൾ വേണം.
签	ഒപ്പിടുക	ദയവായി ഇവിടെ നിങ്ങളുടെ പേര് ഒപ്പിടൂ.
谦虚	വിനീതമായ	അവൻ കഴിവുള്ളവനും അതേ സമയം വളരെ വിനീതനുമാണ്.
前途	ഭാവി സാധ്യത	ഈ വിഷയത്തിന് നല്ല ഭാവി സാധ്യതയുണ്ട്.
浅	ആഴം കുറഞ്ഞ	ഈ നദിക്ക് ആഴം കുറവാണ്.
欠	കടപ്പെട്ടിരിക്കുക; കുറവുണ്ടാകുക	അവൻ എനിക്ക് ഇനിയും ഇരുപത് യുവാൻ കടപ്പെട്ടിരിക്കുന്നു.
枪	തോക്ക്	പോലീസ് ഉദ്യോഗസ്ഥന്റെ കയ്യിൽ തോക്കുണ്ട്.
墙	മതിൽ	മതിലിൽ ഒരു ചിത്രം തൂങ്ങിക്കിടക്കുന്നു.
强调	ഊന്നിപ്പറയുക	അധ്യാപകൻ സുരക്ഷാ പ്രശ്നങ്ങൾ ഊന്നിപ്പറഞ്ഞു.
强烈	ശക്തമായ; തീവ്രമായ	അവന് ശക്തമായ ഉത്തരവാദിത്വബോധമുണ്ട്.
抢	പിടിച്ചെടുക്കുക; തിരക്കിട്ട് പിടിക്കുക	സീറ്റിനായി മറ്റുള്ളവരോട് തള്ളിക്കയറരുത്.
悄悄	നിശ്ശബ്ദമായി	അവൾ നിശ്ശബ്ദമായി മുറിയിലേക്ക് നടന്നു.
瞧	നോക്കുക	നോക്കൂ, പുറത്തു മഞ്ഞ് പെയ്യുന്നു.
巧妙	കൗശലമുള്ള	ഈ രീതി വളരെ കൗശലമുള്ളതാണ്.
切	മുറിക്കുക; അരിയുക	ദയവായി പഴം ചെറിയ കഷണങ്ങളാക്കി മുറിക്കൂ.
亲爱	പ്രിയപ്പെട്ട	പ്രിയപ്പെട്ട സുഹൃത്തേ, നന്ദി.
亲切	സ്നേഹപൂർവ്വമായ; സൗഹൃദപരമായ	അധ്യാപകൻ വളരെ സ്നേഹപൂർവ്വമായി സംസാരിക്കുന്നു.
亲自	സ്വയം; നേരിട്ട്	മാനേജർ അതിഥികളെ സ്വയം സ്വീകരിച്ചു.
勤奋	അധ്വാനശീലമുള്ള	അധ്വാനശീലമുള്ളവർക്ക് വിജയിക്കാൻ കൂടുതൽ സാധ്യതയുണ്ട്.
清淡	ലഘുവായ; മസാല കുറവുള്ള	എനിക്ക് മസാല കുറവുള്ള ഭക്ഷണം ഇഷ്ടമാണ്.
轻视	വിലകുറച്ച് കാണുക	ഈ ചെറിയ പ്രശ്നത്തെ വിലകുറച്ച് കാണരുത്.
轻易	എളുപ്പത്തിൽ	അവൻ എളുപ്പത്തിൽ വിട്ടുകൊടുക്കില്ല.
青	നീലപ്പച്ച	ഈ വസ്ത്രം നീലപ്പച്ച നിറത്തിലാണ്.
青春	യൗവനം	യൗവനം വിലപ്പെട്ടതാണ്.
青少年	കൗമാരക്കാർ	കൗമാരക്കാർക്ക് മതിയായ ഉറക്കം വേണം.
情景	ദൃശ്യം; സാഹചര്യം	സിനിമയിലെ ആ ദൃശ്യം വളരെ ഹൃദയസ്പർശിയാണ്.
情绪	വികാരം; മാനസികാവസ്ഥ	അവന്റെ മാനസികാവസ്ഥ അധികം സ്ഥിരമല്ല.
请求	അഭ്യർത്ഥിക്കുക; അഭ്യർത്ഥന	അവൻ ഒരു അഭ്യർത്ഥന ഉന്നയിച്ചു.
庆祝	ആഘോഷിക്കുക	ഞങ്ങൾ അവന്റെ ജന്മദിനം ആഘോഷിച്ചു.
球迷	കളിയാരാധകൻ	മത്സരം കാണാൻ നിരവധി കളിയാരാധകർ വന്നു.
趋势	പ്രവണത	ഈ പ്രവണത കൂടുതൽ വ്യക്തമായി വരുന്നു.
取消	റദ്ദാക്കുക	മഴ കാരണം പരിപാടി റദ്ദാക്കി.
娶	ഭാര്യയായി സ്വീകരിക്കുക; വിവാഹം കഴിക്കുക	അവൻ അടുത്ത വർഷം അവളെ വിവാഹം കഴിക്കാൻ പദ്ധതിയിടുന്നു.
去世	അന്തരിക്കുക	അവന്റെ മുത്തച്ഛൻ കഴിഞ്ഞ വർഷം അന്തരിച്ചു.
圈	വട്ടം; വളയം	ശരിയായ ഉത്തരത്തിന് ചുറ്റും വട്ടമിടൂ.
全面	സമഗ്രമായ	നമുക്ക് സാഹചര്യം സമഗ്രമായി മനസ്സിലാക്കണം.
权利	അവകാശം	വിദ്യാഭ്യാസം ലഭിക്കുന്നത് എല്ലാവരുടെയും അവകാശമാണ്.
权力	അധികാരം	അധികാരത്തിന് മേൽനോട്ടം വേണം.
劝	ഉപദേശിക്കുക; പ്രേരിപ്പിക്കുക	എന്റെ സുഹൃത്ത് എന്നോട് നേരത്തെ വിശ്രമിക്കാൻ ഉപദേശിച്ചു.
缺乏	കുറവുണ്ടാകുക; അഭാവം	ഈ പ്രദേശത്ത് ശുദ്ധജലത്തിന്റെ അഭാവമുണ്ട്.
确定	നിശ്ചയിക്കുക; ഉറപ്പായ	സമയം എനിക്ക് ഇനിയും നിശ്ചയിക്കാനായിട്ടില്ല.
确认	സ്ഥിരീകരിക്കുക	ദയവായി നിങ്ങളുടെ വിലാസം സ്ഥിരീകരിക്കൂ.
群	കൂട്ടം	കുട്ടികളുടെ ഒരു കൂട്ടം കളിസ്ഥലത്ത് കളിക്കുന്നു.
燃烧	കത്തുക; കത്തിക്കൽ	മരം കത്തിക്കൊണ്ടിരിക്കുന്നു.
绕	ചുറ്റുക	ഞങ്ങൾ തടാകം ഒരുവട്ടം ചുറ്റിനടന്നു.
热爱	അത്യധികം സ്നേഹിക്കുക	അവൻ തന്റെ ജോലിയെ അത്യധികം സ്നേഹിക്കുന്നു.
热烈	ഉഷ്മളമായ	എല്ലാവരും അതിഥികളെ ഉഷ്മളമായി സ്വീകരിച്ചു.
热心	ഉത്സാഹമുള്ള; സഹായസന്നദ്ധമായ	അയൽക്കാർ എല്ലാവരും വളരെ സഹായസന്നദ്ധരാണ്.
人才	പ്രതിഭ; കഴിവുള്ള വ്യക്തി	കമ്പനിക്ക് കൂടുതൽ കഴിവുള്ള ആളുകളെ വേണം.
人口	ജനസംഖ്യ	ഈ നഗരത്തിലെ ജനസംഖ്യ കൂടുതലാണ്.
人类	മനുഷ്യവർഗം	മനുഷ്യവർഗം ഭൂമിയെ സംരക്ഷിക്കണം.
人民币	റെൻമിൻബി; ചൈനീസ് യുവാൻ	ഞാൻ കുറച്ച് റെൻമിൻബി മാറ്റി വാങ്ങി.
人生	ജീവിതം	ജീവിതത്തിൽ പല തിരഞ്ഞെടുപ്പുകളുണ്ട്.
人事	മാനവവിഭവം; ജീവനക്കാരുടെ കാര്യങ്ങൾ	അവൾ മാനവവിഭവ വകുപ്പിൽ ജോലി ചെയ്യുന്നു.
人物	കഥാപാത്രം; വ്യക്തി	നോവലിലെ കഥാപാത്രങ്ങൾ വളരെ യാഥാർത്ഥ്യമാർന്നതായി തോന്നുന്നു.
人员	ജീവനക്കാർ	ജീവനക്കാർ എല്ലാവരും എത്തിയിട്ടുണ്ട്.
忍不住	തടുക്കാനാവാതെ	തമാശ കേട്ടപ്പോൾ അവന് ചിരിക്കാതിരിക്കാൻ കഴിഞ്ഞില്ല.
日常	ദൈനംദിനം	ഇതാണ് എന്റെ ദൈനംദിന ജോലി.
日程	പരിപാടിപ്പട്ടിക	ഇന്നത്തെ പരിപാടിപ്പട്ടിക വളരെ നിറഞ്ഞതാണ്.
日历	കലണ്ടർ	മതിലിൽ ഒരു കലണ്ടർ തൂങ്ങിക്കിടക്കുന്നു.
日期	തീയതി	ദയവായി തീയതി വ്യക്തമായി എഴുതൂ.
日用品	ദൈനംദിന സാധനങ്ങൾ	സൂപ്പർമാർക്കറ്റിൽ പല ദൈനംദിന സാധനങ്ങളും വിൽക്കുന്നു.
日子	ദിവസങ്ങൾ; ജീവിതകാലം	ഇക്കാലത്ത് അവൻ വളരെ തിരക്കിലാണ്.
如何	എങ്ങനെ	ഈ പ്രശ്നം നാം എങ്ങനെ പരിഹരിക്കണം?
如今	ഇന്നത്തെ കാലത്ത്	ഇന്നത്തെ കാലത്ത് ഗതാഗതം വളരെ സൗകര്യപ്രദമാണ്.
软	മൃദുവായ	ഈ കിടക്ക വളരെ മൃദുവാണ്.
软件	സോഫ്റ്റ്‌വെയർ	ഈ സോഫ്റ്റ്‌വെയർ ഉപയോഗിക്കാൻ എളുപ്പമാണ്.
弱	ദുർബലമായ	അവന്റെ ശരീരം കുറച്ച് ദുർബലമാണ്.
洒	ചിതറിക്കുക; ചൊരിയുക	അവൻ അബദ്ധത്തിൽ വെള്ളം ചൊരിഞ്ഞു.
嗓子	തൊണ്ട; ശബ്ദം	എന്റെ തൊണ്ടയ്ക്ക് അല്പം വേദനയുണ്ട്.
色彩	നിറങ്ങൾ; വർണ്ണഭാവം	ഈ ചിത്രത്തിൽ നിറങ്ങൾ സമൃദ്ധമാണ്.
杀	കൊല്ലുക	ഈ സിനിമയിൽ കൊലപാതക ദൃശ്യങ്ങളില്ല.
沙漠	മരുഭൂമി	മരുഭൂമിയിൽ വെള്ളം വളരെ വിലപ്പെട്ടതാണ്.
沙滩	കടൽത്തീരം; മണൽത്തീരം	കുട്ടികൾ കടൽത്തീരത്ത് കളിക്കുന്നു.
傻	മണ്ടത്തരം; ഭോഷമായ	മണ്ടത്തരം ഒന്നും ചെയ്യരുത്.
晒	വെയിലത്ത് ഉണക്കുക	വസ്ത്രങ്ങൾ ബാൽക്കണിയിൽ വെയിലത്ത് ഉണക്കുന്നു.
删除	മായ്ക്കുക	ദയവായി ഈ ഇമെയിൽ മായ്ക്കൂ.
闪电	മിന്നൽ	രാത്രിയിൽ മിന്നൽ കണ്ടു.
善良	ദയയുള്ള; നല്ല മനസ്സുള്ള	അവൾ നല്ല മനസ്സുള്ള വ്യക്തിയാണ്.
善于	കഴിവുള്ള; മിടുക്കുള്ള	അവൻ പ്രശ്നങ്ങൾ പരിഹരിക്കാൻ മിടുക്കനാണ്.
扇子	കൈവിസരി	വേനൽക്കാലത്ത് ഞാൻ പലപ്പോഴും കൈവിസരി ഉപയോഗിക്കുന്നു.
伤害	വേദനിപ്പിക്കുക; ഹാനി വരുത്തുക	മറ്റുള്ളവരുടെ വികാരങ്ങളെ വേദനിപ്പിക്കരുത്.
商品	ചരക്കുകൾ; വിൽപ്പന വസ്തുക്കൾ	ഈ കടയിൽ നിരവധി വിൽപ്പന വസ്തുക്കളുണ്ട്.
商务	വാണിജ്യകാര്യങ്ങൾ	അവൻ നാളെ ഒരു വാണിജ്യയോഗത്തിൽ പങ്കെടുക്കും.
商业	വ്യാപാരം; വാണിജ്യം	ഈ പ്രദേശത്ത് വ്യാപാരം നന്നായി വികസിച്ചിട്ടുണ്ട്.
上当	ചതിക്കപ്പെടുക	അവൻ ഏകദേശം ചതിക്കപ്പെടുകയായിരുന്നു.
蛇	പാമ്പ്	പുല്ലിൽ ഒരു പാമ്പുണ്ട്.
舍不得	വിട്ടുപോകാൻ മനസ്സില്ലാത്തത്	ഈ സ്ഥലത്തെ വിട്ടുപോകാൻ എനിക്ക് മനസ്സില്ല.
射击	വെടിവെക്കൽ; വെടിവെക്കുക	അവൻ വെടിവെക്കൽ പരിശീലിക്കുന്നു.
摄影	ഫോട്ടോഗ്രഫി; ചിത്രീകരണം	അവൾക്ക് ഫോട്ടോഗ്രഫിയിൽ വളരെയധികം താൽപ്പര്യമുണ്ട്.
设备	ഉപകരണങ്ങൾ	പരീക്ഷണശാലയിലെ ഉപകരണങ്ങൾ വളരെ മുന്നേറിയതാണ്.
设计	രൂപകൽപ്പന; രൂപകൽപ്പന ചെയ്യുക	ഈ രൂപകൽപ്പന വളരെ സൃഷ്ടിപരമാണ്.
设施	സൗകര്യങ്ങൾ	സ്കൂളിലെ കായിക സൗകര്യങ്ങൾ നല്ലതാണ്.
伸	നീട്ടുക	ദയവായി നിങ്ങളുടെ കൈ നീട്ടൂ.
深刻	ആഴമുള്ള; ഗഹനമായ	ഈ അനുഭവം എനിക്ക് ആഴമുള്ള സ്വാധീനം ഉണ്ടാക്കി.
身材	ശരീരഘടന	അവൾക്ക് ആരോഗ്യകരമായ ശരീരഘടനയുണ്ട്.
身份	തിരിച്ചറിയൽ; പദവി	ദയവായി തിരിച്ചറിയൽ രേഖ കാണിക്കൂ.
神话	പുരാണകഥ; പുരാണം	കുട്ടികൾക്ക് പുരാണകഥകൾ കേൾക്കാൻ ഇഷ്ടമാണ്.
神秘	രഹസ്യമയമായ	ഈ പുരാതന നഗരം വളരെ രഹസ്യമയമാണ്.
升	ഉയരുക; ഉയർത്തുക	ലിറ്ററിന് എണ്ണവില അല്പം ഉയർന്നു.
声调	സ്വരഭേദം	ചൈനീസിൽ നാല് അടിസ്ഥാന സ്വരഭേദങ്ങളുണ്ട്.
生产	ഉൽപ്പാദിപ്പിക്കുക	ഈ ഫാക്ടറി മൊബൈൽ ഫോണുകൾ ഉൽപ്പാദിപ്പിക്കുന്നു.
生动	ജീവന്തമായ; സജീവമായ	അധ്യാപകൻ കാര്യങ്ങൾ വളരെ ജീവന്തമായി വിശദീകരിക്കുന്നു.
生长	വളരുക	ഈ തരത്തിലുള്ള ചെടി വേഗത്തിൽ വളരുന്നു.
绳子	കയർ	ദയവായി പെട്ടി കയറുകൊണ്ട് കെട്ടൂ.
省略	ഒഴിവാക്കുക	ഇവിടെ ഒരു അക്ഷരം ഒഴിവാക്കാം.
胜利	വിജയം	അവർ ഒടുവിൽ വിജയം നേടി.
失眠	ഉറക്കമില്ലായ്മ	അവന് അടുത്തിടെ പലപ്പോഴും ഉറക്കമില്ലായ്മയുണ്ട്.
失去	നഷ്ടപ്പെടുക	ആത്മവിശ്വാസം നഷ്ടപ്പെടുത്തരുത്.
失业	തൊഴിൽ നഷ്ടം	തൊഴിൽ നഷ്ടപ്പെട്ട ശേഷം അവൻ പുതിയ കഴിവുകൾ പഠിക്കാൻ തുടങ്ങി.
湿润	ഈർപ്പമുള്ള	മഴയ്ക്കുശേഷം വായു വളരെ ഈർപ്പമുള്ളതാണ്.
狮子	സിംഹം	മൃഗശാലയിൽ രണ്ട് സിംഹങ്ങളുണ്ട്.
诗	കവിത	അവൻ ഒരു കവിത എഴുതി.
实话	സത്യം	ദയവായി സത്യം പറയൂ.
实践	പ്രയോഗം; പ്രാവർത്തികമാക്കുക	സിദ്ധാന്തം പ്രയോഗത്തിലൂടെ പരിശോധിക്കണം.
实习	പ്രായോഗിക പരിശീലനം	വേനലവധിയിൽ അവൾ ആശുപത്രിയിൽ പ്രായോഗിക പരിശീലനം ചെയ്യും.
实现	സാക്ഷാത്കരിക്കുക; കൈവരിക്കുക	അവൻ ഒടുവിൽ തന്റെ സ്വപ്നം സാക്ഷാത്കരിച്ചു.
实验	പരീക്ഷണം	വിദ്യാർത്ഥികൾ ഒരു പരീക്ഷണം നടത്തുന്നു.
实用	പ്രായോഗികമായ	ഈ ഉപകരണം വളരെ പ്രായോഗികമാണ്.
时差	സമയവ്യത്യാസം	അവൻ ഇനിയും സമയവ്യത്യാസത്തോട് പൊരുത്തപ്പെട്ടിട്ടില്ല.
时代	കാലഘട്ടം	നാം വിവരകാലഘട്ടത്തിലാണ് ജീവിക്കുന്നത്.
时刻	നിമിഷം	ദയവായി ഈ പ്രധാന നിമിഷം ഓർക്കൂ.
时髦	പുതുനടപ്പിലുള്ള	ഈ വസ്ത്രം വളരെ പുതുനടപ്പിലുള്ളതാണ്.
时期	കാലയളവ്	അവന്റെ സർവകലാശാല കാലയളവ് അവനെ വളരെയധികം സ്വാധീനിച്ചു.
时尚	നവീനശൈലി	അവൾക്ക് നവീനശൈലിയിൽ വളരെയധികം താൽപ്പര്യമുണ്ട്.
石头	കല്ല്	റോഡരികിൽ ഒരു കല്ലുണ്ട്.
食物	ഭക്ഷണം	ദയവായി ഭക്ഷണം ഫ്രിഡ്ജിൽ വയ്ക്കൂ.
使劲儿	ശക്തി ഉപയോഗിക്കുക	ഈ കുപ്പി തുറക്കാൻ കുറച്ച് ശക്തി ഉപയോഗിക്കണം.
始终	എപ്പോഴും; തുടക്കം മുതൽ അവസാനം വരെ	താൻ വിജയിക്കുമെന്ന് അവൻ എപ്പോഴും വിശ്വസിച്ചു.
事实	വസ്തുത	വസ്തുതകൾ അവൻ ശരിയാണെന്ന് തെളിയിക്കുന്നു.
事物	വസ്തു; കാര്യം	കുട്ടികൾക്ക് പുതിയ കാര്യങ്ങളെക്കുറിച്ച് വളരെയധികം കൗതുകമുണ്ട്.
事先	മുൻകൂട്ടി	ദയവായി സമയം മുൻകൂട്ടി എന്നോട് പറയൂ.
似的	പോലെ; എന്നപോലെ	അവൻ ഒരു വാക്ക് പോലും പറയാൻ താല്പര്യമില്ലാത്തത്ര ക്ഷീണിച്ചപോലെ തോന്നി.
士兵	സൈനികൻ	സൈനികർ പരിശീലനം നടത്തുന്നു.
市场	വിപണി	ഈ വിപണി വളരെ സജീവമാണ്.
试卷	പരീക്ഷാപേപ്പർ	അധ്യാപകൻ പരീക്ഷാപേപ്പറുകൾ പരിശോധിക്കുന്നു.
收获	നേട്ടം; വിളവ്	ഈ യാത്രയിൽ നിന്ന് എനിക്ക് വളരെയധികം നേട്ടം ലഭിച്ചു.
收据	രസീത്	പണം അടച്ച ശേഷം രസീത് സൂക്ഷിക്കൂ.
手工	കൈവേല	ഈ സമ്മാനം കൈകൊണ്ട് ഉണ്ടാക്കിയതാണ്.
手术	ശസ്ത്രക്രിയ	ഡോക്ടർ നാളെ അവനു ശസ്ത്രക്രിയ നടത്തും.
手套	കയ്യുറ	ശൈത്യകാലത്ത് പുറത്തുപോകുമ്പോൾ കയ്യുറ ധരിക്കൂ.
手续	നടപടിക്രമങ്ങൾ	നടപടിക്രമങ്ങൾ ചെയ്യാൻ തിരിച്ചറിയൽ കാർഡ് വേണം.
手指	വിരൽ	അവന്റെ വിരലിന് പരിക്കേറ്റു.
首	ഗാനങ്ങൾക്കുള്ള എണ്ണവാക്ക്; ആദ്യ	അവൾ ഒരു പാട്ട് പാടി.
