hsk_key	source_word	simplified	JA	example_JA	KO	example_KO	VI	example_VI	TH	example_TH	MS	example_MS	ID	example_ID
5248:遭到	遭到	遭到	受ける; 遭う	この計画は一部の反対に遭った。	당하다; 받다	이 계획은 일부 반대에 부딪혔다.	gặp phải; chịu	Phương án này đã gặp một số phản đối.	ประสบ; ถูก	แผนนี้ถูกคัดค้านบางส่วน	mengalami; menerima	Rancangan ini menerima sedikit tentangan.	mengalami; mendapat	Rencana ini mendapat sebagian penolakan.
5251:噪声	噪声	噪声	騒音	工事の騒音は近くの住民に影響した。	소음	공사 소음이 근처 주민들에게 영향을 주었다.	tiếng ồn	Tiếng ồn xây dựng ảnh hưởng đến cư dân gần đó.	เสียงรบกวน; เสียงดัง	เสียงก่อสร้างส่งผลกระทบต่อผู้อยู่อาศัยใกล้เคียง	bunyi bising	Bunyi bising pembinaan menjejaskan penduduk berhampiran.	kebisingan	Kebisingan konstruksi memengaruhi warga sekitar.
5255:炸	炸	炸	爆発する; 揚げる	爆竹が突然爆発し、みんな驚いた。	터지다; 튀기다	폭죽이 갑자기 터져 모두가 놀랐다.	nổ; chiên	Pháo nổ đột ngột khiến mọi người giật mình.	ระเบิด; ทอด	ประทัดระเบิดขึ้นทันที ทุกคนตกใจ	meletup; menggoreng	Mercun itu tiba-tiba meletup, dan semua orang terkejut.	meledak; menggoreng	Petasan itu tiba-tiba meledak, dan semua orang terkejut.
5256:粘	粘	粘	貼りつく; くっつける	のりが紙をくっつけた。	붙다; 붙이다	풀이 종이들을 서로 붙였다.	dính; dán	Keo đã dán các tờ giấy lại với nhau.	ติด; แปะ	กาวติดกระดาษเข้าด้วยกัน	melekat; menampal	Gam itu melekatkan kertas-kertas bersama.	menempel; merekatkan	Lem itu merekatkan kertas-kertas.
5259:占比	占比	占比	割合; 比率	オンライン販売の割合はすでに半分を超えた。	비중; 점유율	온라인 판매 비중은 이미 절반을 넘었다.	tỷ trọng; phần trăm	Tỷ trọng bán hàng trực tuyến đã vượt quá một nửa.	สัดส่วน; อัตราส่วน	สัดส่วนยอดขายออนไลน์เกินครึ่งแล้ว	nisbah; bahagian	Bahagian jualan dalam talian sudah melebihi separuh.	proporsi; pangsa	Porsi penjualan online sudah melebihi separuh.
5262:战胜	战胜	战胜	打ち勝つ; 克服する	彼らはついにすべての困難を克服した。	이겨 내다; 극복하다	그들은 마침내 모든 어려움을 이겨 냈다.	chiến thắng; vượt qua	Cuối cùng họ đã vượt qua mọi khó khăn.	เอาชนะ; ฝ่าฟัน	ในที่สุดพวกเขาก็เอาชนะความยากลำบากทั้งหมดได้	mengatasi; menewaskan	Akhirnya mereka mengatasi semua kesukaran.	mengalahkan; mengatasi	Akhirnya mereka mengatasi semua kesulitan.
5263:占有	占有	占有	占有する; 持つ	この会社は大きな市場シェアを持っている。	차지하다; 보유하다	이 회사는 큰 시장 점유율을 차지하고 있다.	chiếm hữu; nắm giữ	Công ty này nắm giữ thị phần lớn.	ครอบครอง; มีส่วนแบ่ง	บริษัทนี้ครองส่วนแบ่งตลาดขนาดใหญ่	menguasai; memiliki	Syarikat ini menguasai bahagian pasaran yang besar.	menguasai; memiliki	Perusahaan ini memiliki pangsa pasar yang besar.
5265:章	章	章	章; 節	第三章の内容を読んでください。	장; 절	제3장의 내용을 읽어 주세요.	chương; mục	Vui lòng đọc nội dung chương ba.	บท; หมวด	กรุณาอ่านเนื้อหาบทที่สาม	bab; bahagian	Sila baca kandungan Bab Tiga.	bab; bagian	Silakan baca isi Bab Tiga.
5268:账单	账单	账单	請求書; 勘定	ウェイターは請求書をテーブルに置いた。	계산서; 청구서	웨이터가 계산서를 탁자 위에 놓았다.	hóa đơn	Người phục vụ đặt hóa đơn lên bàn.	บิล; ใบแจ้งหนี้	พนักงานเสิร์ฟวางบิลไว้บนโต๊ะ	bil; penyata	Pelayan meletakkan bil di atas meja.	tagihan; rekening	Pelayan meletakkan tagihan di atas meja.
5269:招	招	招	募集する; 引き寄せる	会社は新しい社員を募集している。	모집하다; 끌다	회사는 새 직원을 모집하고 있다.	tuyển; thu hút	Công ty đang tuyển nhân viên mới.	รับสมัคร; ดึงดูด	บริษัทกำลังรับสมัครพนักงานใหม่	merekrut; menarik	Syarikat sedang merekrut pekerja baharu.	merekrut; menarik	Perusahaan sedang merekrut karyawan baru.
5271:招生	招生	招生	学生を募集する	この学校は今年五百人の学生を募集する予定だ。	학생을 모집하다	이 학교는 올해 학생 오백 명을 모집할 계획이다.	tuyển sinh	Trường này dự định tuyển năm trăm học sinh trong năm nay.	รับนักเรียน; รับสมัครนักศึกษา	โรงเรียนนี้วางแผนรับนักเรียนห้าร้อยคนในปีนี้	mengambil pelajar; kemasukan pelajar	Sekolah ini merancang mengambil lima ratus pelajar tahun ini.	menerima siswa; penerimaan siswa	Sekolah ini berencana menerima lima ratus siswa tahun ini.
5272:招手	招手	招手	手を振る	彼女は駅で私たちに手を振った。	손짓하다; 손을 흔들다	그녀는 역에서 우리에게 손을 흔들었다.	vẫy tay	Cô ấy vẫy tay với chúng tôi ở nhà ga.	โบกมือ	เธอโบกมือให้พวกเราที่สถานี	melambai	Dia melambai kepada kami di stesen.	melambaikan tangan	Dia melambaikan tangan kepada kami di stasiun.
5274:照明	照明	照明	照明; 明かり	この部屋の照明はとてもよい。	조명	이 방의 조명이 매우 좋다.	chiếu sáng; ánh sáng	Ánh sáng trong phòng này rất tốt.	แสงสว่าง; ระบบไฟ	แสงสว่างในห้องนี้ดีมาก	pencahayaan	Pencahayaan di bilik ini sangat baik.	pencahayaan	Pencahayaan di ruangan ini sangat baik.
5276:针	针	针	針; 注射	看護師は患者に注射をした。	바늘; 주사	간호사가 환자에게 주사를 놓았다.	kim; mũi tiêm	Y tá tiêm cho bệnh nhân.	เข็ม; การฉีดยา	พยาบาลฉีดยาให้ผู้ป่วย	jarum; suntikan	Jururawat memberi pesakit suntikan.	jarum; suntikan	Perawat memberi pasien suntikan.
5280:镇	镇	镇	町; 落ち着かせる	この町は海の近くにある。	마을; 진정시키다	이 마을은 바다와 가깝다.	thị trấn; trấn an	Thị trấn này gần biển.	เมืองเล็ก; ทำให้สงบ	เมืองเล็กแห่งนี้อยู่ใกล้ทะเล	bandar kecil; menenangkan	Pekan ini terletak berhampiran laut.	kota kecil; menenangkan	Kota kecil ini dekat laut.
5281:阵雨	阵雨	阵雨	にわか雨	午後にはにわか雨があるかもしれない。	소나기	오후에 소나기가 올 수 있다.	mưa rào	Buổi chiều có thể có mưa rào.	ฝนซู่; ฝนตกเป็นช่วง	ช่วงบ่ายอาจมีฝนซู่	hujan renyai seketika; hujan lebat singkat	Petang nanti mungkin ada hujan sekejap.	hujan rintik sesaat; hujan singkat	Sore hari mungkin ada hujan singkat.
5283:争吵	争吵	争吵	口論する; けんかする	彼らは小さなことで口論し始めた。	말다툼하다; 다투다	그들은 작은 일로 말다툼하기 시작했다.	cãi nhau; tranh cãi	Họ bắt đầu cãi nhau vì một chuyện nhỏ.	ทะเลาะ; โต้เถียง	พวกเขาเริ่มทะเลาะกันเพราะเรื่องเล็กน้อย	bertengkar; berkelahi	Mereka mula bertengkar kerana perkara kecil.	bertengkar; cekcok	Mereka mulai bertengkar karena hal kecil.
5290:正面	正面	正面	正面; 表側	写真の表側を上に向けて置いてください。	정면; 앞면	사진의 앞면을 위로 향하게 놓아 주세요.	mặt trước; mặt tích cực	Vui lòng đặt mặt trước của bức ảnh hướng lên trên.	ด้านหน้า; ด้านบวก	กรุณาวางด้านหน้าของรูปถ่ายหงายขึ้น	depan; sisi positif	Sila letakkan bahagian depan foto menghadap ke atas.	sisi depan; sisi positif	Silakan letakkan sisi depan foto menghadap ke atas.
5299:之所以	之所以	之所以	理由は; だからこそ	彼が遅れた理由は、途中で渋滞があったからだ。	-한 이유는	그가 늦은 이유는 길이 막혔기 때문이다.	lý do vì sao	Lý do anh ấy đến muộn là vì trên đường bị kẹt xe.	เหตุผลที่; สาเหตุที่	เหตุผลที่เขามาสายคือระหว่างทางรถติด	sebab mengapa	Sebab dia lewat ialah jalan sesak dalam perjalanan.	alasan mengapa	Alasan dia terlambat adalah karena macet di jalan.
5303:职员	职员	职员	職員; 従業員	会社の全職員が研修に参加した。	직원	회사 직원 전원이 교육에 참석했다.	nhân viên	Tất cả nhân viên công ty đã tham gia khóa đào tạo.	พนักงาน; เจ้าหน้าที่	พนักงานบริษัททุกคนเข้าร่วมการฝึกอบรม	kakitangan; pekerja	Semua kakitangan syarikat menghadiri latihan itu.	karyawan; staf	Semua karyawan perusahaan mengikuti pelatihan.
5304:职责	职责	职责	職責; 責任	医師の職責は患者の健康を守ることだ。	직책상 책임; 임무	의사의 책임은 환자의 건강을 지키는 것이다.	trách nhiệm; chức trách	Trách nhiệm của bác sĩ là bảo vệ sức khỏe bệnh nhân.	หน้าที่รับผิดชอบ; ความรับผิดชอบ	หน้าที่ของแพทย์คือปกป้องสุขภาพของผู้ป่วย	tanggungjawab; tugas	Tanggungjawab doktor ialah melindungi kesihatan pesakit.	tanggung jawab; tugas	Tanggung jawab dokter adalah melindungi kesehatan pasien.
5306:只得	只得	只得	やむを得ず; 仕方なく	雨が激しすぎたので、私たちは活動を中止せざるを得なかった。	할 수 없이; 부득이	비가 너무 많이 와서 우리는 활동을 취소할 수밖에 없었다.	đành phải; không còn cách nào	Mưa quá lớn nên chúng tôi đành phải hủy hoạt động.	จำต้อง; ไม่มีทางเลือกนอกจาก	ฝนตกหนักเกินไป พวกเราจึงจำต้องยกเลิกกิจกรรม	terpaksa; tiada pilihan selain	Hujan terlalu lebat, jadi kami terpaksa membatalkan aktiviti.	terpaksa; tidak punya pilihan selain	Hujan terlalu deras, jadi kami terpaksa membatalkan kegiatan.
5308:只顾	只顾	只顾	ただ...ばかりする; 夢中になる	彼は携帯ばかり見ていて、私の話を聞かなかった。	-만 신경 쓰다; 몰두하다	그는 휴대폰만 보느라 내 말을 듣지 못했다.	chỉ mải; chỉ lo	Anh ấy chỉ mải nhìn điện thoại nên không nghe tôi nói.	เอาแต่; สนใจแต่	เขาเอาแต่มองโทรศัพท์และไม่ได้ยินฉันพูด	hanya sibuk dengan; hanya peduli	Dia hanya sibuk melihat telefon dan tidak mendengar saya bercakap.	hanya peduli; terlalu fokus	Dia hanya melihat ponsel dan tidak mendengar saya berbicara.
5312:制	制	制	作る; 制度	この薬は地元の製薬工場で作られている。	만들다; 제도	이 약은 현지 제약 공장에서 만들어진다.	chế tạo; chế độ	Thuốc này được sản xuất bởi một nhà máy dược địa phương.	ผลิต; ระบบ	ยานี้ผลิตโดยโรงงานยาท้องถิ่น	membuat; sistem	Ubat ini dibuat oleh kilang farmaseutikal tempatan.	membuat; sistem	Obat ini dibuat oleh pabrik farmasi setempat.
5313:至关重要	至关重要	至关重要	極めて重要な	安全研修は新入社員にとって極めて重要だ。	매우 중요하다; 지극히 중요하다	안전 교육은 신입 직원에게 매우 중요하다.	vô cùng quan trọng	Đào tạo an toàn cực kỳ quan trọng đối với nhân viên mới.	สำคัญอย่างยิ่ง	การฝึกอบรมด้านความปลอดภัยสำคัญอย่างยิ่งสำหรับพนักงานใหม่	sangat penting; amat mustahak	Latihan keselamatan sangat penting untuk pekerja baharu.	sangat penting; krusial	Pelatihan keselamatan sangat penting bagi karyawan baru.
5316:制品	制品	制品	製品; 加工品	この店はいろいろな木製品を売っている。	제품; 제조품	이 가게는 여러 가지 목제품을 판다.	sản phẩm; hàng chế tạo	Cửa hàng này bán đủ loại sản phẩm bằng gỗ.	ผลิตภัณฑ์; สินค้าที่ผลิต	ร้านนี้ขายผลิตภัณฑ์ไม้หลายชนิด	barangan buatan; produk	Kedai ini menjual pelbagai produk kayu.	produk; barang buatan	Toko ini menjual berbagai produk kayu.
5318:质疑	质疑	质疑	疑問を呈する; 疑う	記者はこの報告書のデータに疑問を呈した。	질문하다; 의문을 제기하다	기자는 이 보고서의 데이터에 의문을 제기했다.	chất vấn; nghi ngờ	Phóng viên chất vấn dữ liệu trong báo cáo này.	ตั้งคำถาม; สงสัย	นักข่าวตั้งคำถามต่อข้อมูลในรายงานนี้	mempersoalkan; meragui	Wartawan itu mempersoalkan data dalam laporan ini.	mempertanyakan; meragukan	Wartawan mempertanyakan data dalam laporan ini.
5320:中等	中等	中等	中くらいの; 中等の	この服は中くらいのサイズだ。	중간의; 중등의	이 옷은 중간 사이즈다.	trung bình; cỡ vừa	Chiếc áo này là cỡ vừa.	ระดับกลาง; ปานกลาง	เสื้อผ้าชิ้นนี้เป็นขนาดกลาง	sederhana; pertengahan	Pakaian ini bersaiz sederhana.	sedang; menengah	Pakaian ini berukuran sedang.
5324:钟头	钟头	钟头	時間	私たちは二時間待った。	시간	우리는 두 시간을 기다렸다.	giờ	Chúng tôi đã chờ hai giờ.	ชั่วโมง	พวกเรารอสองชั่วโมง	jam	Kami menunggu selama dua jam.	jam	Kami menunggu selama dua jam.
5327:肿	肿	肿	腫れる; 腫れた	彼の足首が腫れた。	붓다; 부은	그의 발목이 부었다.	sưng; bị sưng	Mắt cá chân của anh ấy bị sưng.	บวม	ข้อเท้าของเขาบวม	bengkak	Buku lalinya bengkak.	bengkak	Pergelangan kakinya bengkak.
5328:中	中	中	当たる; 当選する	彼は賞に当たって、うれしくて言葉が出なかった。	맞다; 당첨되다	그는 상에 당첨되어 너무 기뻐서 말을 하지 못했다.	trúng; bị ảnh hưởng	Anh ấy trúng giải và vui đến mức không nói nên lời.	ถูก; ได้รับรางวัล	เขาได้รับรางวัลและดีใจจนพูดไม่ออก	kena; menang	Dia menang hadiah dan terlalu gembira sampai tidak dapat bercakap.	kena; menang	Dia memenangkan hadiah dan begitu senang sampai tidak bisa berkata-kata.
5329:种地	种地	种地	農作業をする; 土地を耕す	祖父は若いころ田舎で農作業をしていた。	농사짓다; 땅을 경작하다	할아버지는 젊었을 때 시골에서 농사를 지었다.	làm ruộng; canh tác đất	Ông nội khi còn trẻ làm ruộng ở quê.	ทำไร่ทำนา; เพาะปลูก	ตอนหนุ่ม ๆ คุณปู่ทำไร่ทำนาในชนบท	bercucuk tanam; mengusahakan tanah	Datuk bercucuk tanam di kampung ketika muda.	bertani; menggarap tanah	Kakek bertani di desa ketika masih muda.
5330:中毒	中毒	中毒	中毒する	傷んだ食べ物は中毒を引き起こすことがある。	중독되다; 식중독에 걸리다	상한 음식은 중독을 일으킬 수 있다.	trúng độc; ngộ độc	Thức ăn hỏng có thể gây ngộ độc.	เป็นพิษ; อาหารเป็นพิษ	อาหารเสียอาจทำให้เกิดพิษได้	keracunan	Makanan rosak boleh menyebabkan keracunan.	keracunan	Makanan basi dapat menyebabkan keracunan.
5331:中奖	中奖	中奖	当選する; 賞が当たる	彼女は初めて宝くじを買って賞に当たった。	당첨되다; 상을 타다	그녀는 복권을 처음 샀을 때 당첨되었다.	trúng thưởng	Cô ấy trúng thưởng ngay lần đầu mua vé số.	ถูกรางวัล	เธอซื้อลอตเตอรี่ครั้งแรกก็ถูกรางวัล	menang hadiah	Dia menang hadiah kali pertama membeli tiket loteri.	menang hadiah	Dia memenangkan hadiah saat pertama kali membeli tiket lotre.
5332:众人	众人	众人	みんな; 多くの人々	その知らせを聞いて、みんな驚いた。	모두; 여러 사람	그 소식을 듣고 모두가 놀랐다.	mọi người; đám đông	Sau khi nghe tin đó, mọi người đều ngạc nhiên.	ทุกคน; ผู้คนจำนวนมาก	หลังได้ยินข่าว ทุกคนต่างประหลาดใจ	orang ramai; semua orang	Semua orang terkejut selepas mendengar berita itu.	semua orang; khalayak	Semua orang terkejut setelah mendengar berita itu.
5333:中暑	中暑	中暑	熱中症になる	とても暑い天気では、高齢者は熱中症になりやすい。	더위를 먹다; 열사병에 걸리다	매우 더운 날씨에는 노인들이 더위를 먹기 쉽다.	bị say nắng; sốc nhiệt	Khi trời rất nóng, người cao tuổi dễ bị say nắng.	เป็นลมแดด; โรคลมร้อน	ในอากาศร้อนจัด ผู้สูงอายุมักเป็นลมแดดได้ง่าย	terkena strok haba; kepanasan	Dalam cuaca sangat panas, orang tua mudah terkena strok haba.	terkena sengatan panas; heatstroke	Dalam cuaca sangat panas, lansia mudah terkena sengatan panas.
5342:珠宝	珠宝	珠宝	宝石; ジュエリー	この店はジュエリーのデザインを専門としている。	보석; 장신구	이 가게는 보석 디자인을 전문으로 한다.	trang sức; châu báu	Cửa hàng này chuyên thiết kế trang sức.	เครื่องประดับ; อัญมณี	ร้านนี้เชี่ยวชาญด้านการออกแบบเครื่องประดับ	barang kemas; permata	Kedai ini khusus dalam reka bentuk barang kemas.	perhiasan; permata	Toko ini khusus merancang perhiasan.
5343:诸多	诸多	诸多	多くの; 数々の	このプロジェクトは多くの課題に直面している。	많은; 여러	이 프로젝트는 많은 도전에 직면해 있다.	nhiều; vô số	Dự án này đối mặt với nhiều thách thức.	มากมาย; หลายประการ	โครงการนี้เผชิญความท้าทายมากมาย	banyak; pelbagai	Projek ini menghadapi banyak cabaran.	banyak; berbagai	Proyek ini menghadapi banyak tantangan.
5345:主播	主播	主播	司会者; 配信者	彼女はこの番組の司会者だ。	진행자; 스트리머	그녀는 이 프로그램의 진행자다.	người dẫn chương trình; streamer	Cô ấy là người dẫn chương trình này.	ผู้ดำเนินรายการ; สตรีมเมอร์	เธอเป็นผู้ดำเนินรายการของรายการนี้	pengacara; penstrim	Dia ialah pengacara program ini.	pembawa acara; streamer	Dia adalah pembawa acara program ini.
5348:主角	主角	主角	主人公; 主役	この映画の主人公は医者だ。	주인공; 주역	이 영화의 주인공은 의사다.	nhân vật chính; vai chính	Nhân vật chính trong bộ phim này là một bác sĩ.	ตัวเอก; บทนำ	ตัวเอกในภาพยนตร์เรื่องนี้เป็นแพทย์	watak utama; peranan utama	Watak utama dalam filem ini ialah seorang doktor.	tokoh utama; peran utama	Tokoh utama dalam film ini adalah seorang dokter.
5350:主演	主演	主演	主演する; 主演俳優	この劇は若い俳優たちが主演している。	주연하다; 주연 배우	이 연극은 젊은 배우들이 주연을 맡았다.	đóng vai chính; diễn viên chính	Vở kịch này do các diễn viên trẻ đóng chính.	แสดงนำ; นักแสดงนำ	ละครเรื่องนี้แสดงนำโดยนักแสดงหนุ่มสาว	membintangi; pelakon utama	Pementasan ini dibintangi oleh pelakon muda.	membintangi; aktor utama	Drama ini dibintangi oleh para aktor muda.
5355:祝愿	祝愿	祝愿	祈る; 祝福する	心からあなたの幸せを祈っています。	기원하다; 축원하다	나는 진심으로 당신의 행복을 기원한다.	chúc; cầu chúc	Tôi chân thành chúc bạn hạnh phúc.	อวยพร; ขอให้	ฉันขอให้คุณมีความสุขอย่างจริงใจ	mendoakan; mengucapkan selamat	Saya dengan ikhlas mendoakan kebahagiaan anda.	mendoakan; mengucapkan harapan	Saya dengan tulus mendoakan kebahagiaan Anda.
5359:专科	专科	专科	専門科; 専門課程	この病院には眼科の専門外来がある。	전문과; 전문대	이 병원에는 안과 전문 진료과가 있다.	chuyên khoa; cao đẳng chuyên nghiệp	Bệnh viện này có phòng khám chuyên khoa mắt.	แผนกเฉพาะทาง; วิทยาลัยเฉพาะทาง	โรงพยาบาลนี้มีคลินิกจักษุเฉพาะทาง	bidang pakar; kolej vokasional	Hospital ini mempunyai klinik pakar oftalmologi.	spesialisasi; diploma kejuruan	Rumah sakit ini memiliki klinik spesialis mata.
5362:专用	专用	专用	専用の	この通路は職員専用だ。	전용의	이 통로는 직원 전용이다.	chuyên dụng; dùng riêng	Lối đi này chỉ dành cho nhân viên.	เฉพาะ; ใช้เฉพาะ	ทางเดินนี้ใช้เฉพาะพนักงานเท่านั้น	khas; khusus	Laluan ini hanya untuk kakitangan.	khusus; untuk penggunaan khusus	Lorong ini khusus untuk staf.
5363:专注	专注	专注	集中する; 専念する	彼女は実験をするときとても集中している。	집중하다; 전념하다	그녀는 실험할 때 매우 집중한다.	tập trung; chuyên chú	Cô ấy rất tập trung khi làm thí nghiệm.	จดจ่อ; มุ่งมั่น	เธอจดจ่อมากเวลาทำการทดลอง	fokus; menumpukan perhatian	Dia sangat fokus ketika melakukan eksperimen.	fokus; berkonsentrasi	Dia sangat fokus saat melakukan eksperimen.
5364:转换	转换	转换	変換する; 切り替える	ファイルをPDF形式に変換してください。	전환하다; 변환하다	파일을 PDF 형식으로 변환해 주세요.	chuyển đổi; chuyển sang	Vui lòng chuyển tệp sang định dạng PDF.	แปลง; เปลี่ยน	กรุณาแปลงไฟล์เป็นรูปแบบพีดีเอฟ	menukar; menukar format	Sila tukar fail kepada format PDF.	mengonversi; mengubah	Silakan konversi berkas ke format PDF.
5365:转交	转交	转交	取り次ぐ; 手渡す	この手紙をマネージャーに渡してください。	전달하다; 넘겨주다	이 편지를 관리자에게 전달해 주세요.	chuyển giao; chuyển hộ	Vui lòng chuyển bức thư này cho quản lý.	ส่งต่อ; ฝากให้	กรุณาส่งจดหมายฉบับนี้ให้ผู้จัดการ	menyerahkan; menyampaikan	Sila serahkan surat ini kepada pengurus.	menyerahkan; meneruskan	Tolong serahkan surat ini kepada manajer.
5367:转身	转身	转身	振り向く; 体の向きを変える	彼は音を聞いてすぐ振り向いた。	몸을 돌리다; 돌아서다	그는 소리를 듣고 바로 돌아섰다.	quay người; quay lại	Nghe thấy âm thanh, anh ấy lập tức quay người lại.	หันตัว; หันกลับ	เขาหันกลับทันทีหลังได้ยินเสียง	berpusing; menoleh	Dia terus berpusing selepas mendengar bunyi itu.	berbalik badan; menoleh	Dia langsung berbalik setelah mendengar suara itu.
5370:转动	转动	转动	回転する; 回す	機械の車輪が回転し始めた。	회전하다; 돌리다	기계의 바퀴가 회전하기 시작했다.	quay; xoay	Bánh xe của máy bắt đầu quay.	หมุน; ทำให้หมุน	ล้อของเครื่องจักรเริ่มหมุน	berputar; memutar	Roda mesin mula berputar.	berputar; memutar	Roda mesin mulai berputar.
5374:捉	捉	捉	捕まえる	子どもたちは庭で蝶を捕まえた。	잡다; 붙잡다	아이들은 마당에서 나비를 잡았다.	bắt; chộp	Bọn trẻ bắt bướm trong sân.	จับ; จับตัว	เด็ก ๆ จับผีเสื้อในลาน	menangkap	Kanak-kanak menangkap rama-rama di halaman.	menangkap	Anak-anak menangkap kupu-kupu di halaman.
5378:自来水	自来水	自来水	水道水	ここの水道水はそのまま飲める。	수돗물	이곳의 수돗물은 바로 마실 수 있다.	nước máy	Nước máy ở đây có thể uống trực tiếp.	น้ำประปา	น้ำประปาที่นี่ดื่มได้โดยตรง	air paip	Air paip di sini boleh diminum terus.	air keran	Air keran di sini bisa langsung diminum.
5379:自律	自律	自律	自律; 自己管理	勉強には自律を保つことが重要だ。	자율; 자기 절제	공부에는 자기 절제를 유지하는 것이 중요하다.	tự giác; kỷ luật bản thân	Duy trì kỷ luật bản thân rất quan trọng cho việc học.	วินัยในตนเอง	การรักษาวินัยในตนเองสำคัญต่อการเรียน	disiplin diri	Mengekalkan disiplin diri penting untuk belajar.	disiplin diri	Menjaga disiplin diri penting untuk belajar.
5381:自杀	自杀	自杀	自殺; 自ら命を絶つ	ニュース報道は自殺の事案を慎重に扱うべきだ。	자살하다	뉴스 보도는 자살 사건을 신중하게 다뤄야 한다.	tự tử	Các bản tin nên xử lý các trường hợp tự tử một cách thận trọng.	ฆ่าตัวตาย	รายงานข่าวควรนำเสนอกรณีฆ่าตัวตายอย่างระมัดระวัง	bunuh diri	Laporan berita harus menangani kes bunuh diri dengan berhati-hati.	bunuh diri	Laporan berita harus menangani kasus bunuh diri dengan hati-hati.
5382:自我	自我	自我	自己; 自我	旅は彼に自分自身をよりよく理解させた。	자아; 자기	여행은 그가 자신을 더 잘 이해하게 했다.	cái tôi; bản thân	Việc du lịch giúp anh ấy hiểu bản thân hơn.	ตัวตน; ตนเอง	การเดินทางทำให้เขาเข้าใจตัวเองดีขึ้น	diri; ego	Perjalanan membuatnya lebih memahami dirinya sendiri.	diri; ego	Perjalanan membuatnya lebih memahami dirinya sendiri.
5383:自言自语	自言自语	自言自语	独り言を言う	彼女は本棚を整理しながら独り言を言っていた。	혼잣말하다	그녀는 책장을 정리하면서 혼잣말을 했다.	tự nói một mình	Cô ấy tự nói một mình khi sắp xếp giá sách.	พูดกับตัวเอง	เธอพูดกับตัวเองขณะจัดชั้นหนังสือ	bercakap seorang diri	Dia bercakap seorang diri ketika menyusun rak buku.	berbicara sendiri	Dia berbicara sendiri saat merapikan rak buku.
5385:自助	自助	自助	セルフサービス; 自助	このレストランはセルフサービスの朝食を提供している。	셀프서비스; 자조	이 식당은 셀프서비스 아침 식사를 제공한다.	tự phục vụ	Nhà hàng này cung cấp bữa sáng tự phục vụ.	บริการตนเอง	ร้านอาหารนี้มีอาหารเช้าแบบบริการตนเอง	layan diri	Restoran ini menyediakan sarapan layan diri.	swalayan; layanan mandiri	Restoran ini menyediakan sarapan swalayan.
5388:总计	总计	总计	合計; 総計	このイベントには合計二百人が参加した。	총계; 합계	이 행사에는 총 이백 명이 참가했다.	tổng cộng	Tổng cộng có hai trăm người tham gia sự kiện này.	รวมทั้งหมด	มีผู้เข้าร่วมกิจกรรมนี้รวมสองร้อยคน	jumlah keseluruhan	Secara keseluruhan, dua ratus orang menyertai acara ini.	total; jumlah keseluruhan	Total dua ratus orang ikut serta dalam acara ini.
5391:粽子	粽子	粽子	ちまき; 粽	端午節のために、私たちはたくさんのちまきを作った。	쭝쯔; 잎에 싼 찹쌀떡	우리는 단오절을 위해 쭝쯔를 많이 만들었다.	bánh ú; bánh chưng nhỏ	Chúng tôi làm nhiều bánh ú cho Tết Đoan Ngọ.	บ๊ะจ่าง; ข้าวเหนียวห่อใบไม้	พวกเราทำบ๊ะจ่างจำนวนมากสำหรับเทศกาลเรือมังกร	zongzi; pulut berbalut daun	Kami membuat banyak zongzi untuk Pesta Perahu Naga.	bak cang; ketan bungkus daun	Kami membuat banyak bak cang untuk Festival Perahu Naga.
5393:足	足	足	十分な; 足りる	この金額はチケットを買うのに十分だ。	충분하다; 족하다	이 돈은 표를 사기에 충분하다.	đủ; đầy đủ	Số tiền này đủ để mua vé.	เพียงพอ	เงินจำนวนนี้เพียงพอสำหรับซื้อตั๋ว	cukup	Wang ini cukup untuk membeli tiket.	cukup	Uang ini cukup untuk membeli tiket.
5396:阻挡	阻挡	阻挡	妨げる; 阻む	大雪が車の前進を妨げた。	막다; 저지하다	폭설이 차량의 이동을 막았다.	ngăn chặn; cản trở	Tuyết lớn đã cản xe cộ di chuyển về phía trước.	ขวาง; สกัดกั้น	หิมะตกหนักขวางไม่ให้รถเคลื่อนต่อไป	menghalang; menyekat	Salji lebat menghalang kenderaan bergerak ke depan.	menghalangi; menahan	Salju tebal menghalangi kendaraan bergerak maju.
5399:钻	钻	钻	潜り込む; 穴を開ける	子どもはテーブルの下に潜り込んだ。	뚫다; 기어들어가다	아이는 탁자 밑으로 기어들어갔다.	chui vào; khoan	Đứa trẻ chui xuống dưới bàn.	มุด; เจาะ	เด็กมุดเข้าไปใต้โต๊ะ	menyusup; menggerudi	Kanak-kanak itu menyusup ke bawah meja.	mengebor; menyusup	Anak itu merangkak ke bawah meja.
5400:罪	罪	罪	罪; 犯罪	彼は自分の罪を認めた。	죄; 범죄	그는 자신의 죄를 인정했다.	tội; tội lỗi	Anh ấy thừa nhận tội của mình.	ความผิด; อาชญากรรม	เขายอมรับความผิดของตน	jenayah; dosa	Dia mengakui jenayahnya.	kejahatan; dosa	Dia mengakui kejahatannya.
