simplified	KM	example_KM
南辕北辙	ធ្វើផ្ទុយពីគោលដៅ	វិធីធ្វើរបស់គាត់ផ្ទុយពីគោលដៅ។
难得	កម្ររកបាន	នេះជាឱកាសកម្ររកបាន។
难堪	អៀនពិបាកទ្រាំ	សំណួរនេះធ្វើឲ្យគាត់អៀនពិបាកទ្រាំ។
难能可贵	កម្រ និងគួរឲ្យសរសើរ	រក្សាភាពស្មោះត្រង់ក្រោមសម្ពាធគឺកម្រ និងគួរឲ្យសរសើរ។
恼火	ខឹងរំខាន	ឧបករណ៍ខូចម្តងទៀត គាត់ខឹងខ្លាំង។
内涵	អត្ថន័យជ្រាលជ្រៅ	ពាក្យនេះមានអត្ថន័យវប្បធម៌ជ្រាលជ្រៅ។
内幕	រឿងខាងក្នុង	អ្នកយកព័ត៌មានព្យាយាមស៊ើបអង្កេតរឿងខាងក្នុងនៃហេតុការណ៍។
内在	ខាងក្នុងផ្ទាល់ខ្លួន	គាត់ឲ្យតម្លៃខ្ពស់លើគុណភាពខាងក្នុងរបស់មនុស្ស។
能量	ថាមពល	អាហារពេលព្រឹកនេះផ្តល់ថាមពលច្រើនដល់ខ្ញុំ។
拟定	រៀបចំសេចក្តីព្រាង	លេខាកំពុងរៀបចំសេចក្តីព្រាងរបៀបវារៈកិច្ចប្រជុំ។
逆行	បើកបរបញ្ច្រាសផ្លូវ	រថយន្តនោះបើកបរបញ្ច្រាសផ្លូវលើផ្លូវឯកទិស។
年度	ប្រចាំឆ្នាំ	ក្រុមហ៊ុនបានប្រកាសរបាយការណ៍ប្រចាំឆ្នាំ។
捏	ចាប់ច្របាច់	នាងចាប់ច្របាច់ថ្ពាល់ក្មេងយ៉ាងស្រាល។
凝固	កករឹង	បន្ទាប់ពីត្រជាក់ ក្រមួននឹងកករឹងបន្តិចម្តងៗ។
凝聚	បង្រួបបង្រួម	គោលដៅរួមអាចបង្រួបបង្រួមកម្លាំងក្រុម។
凝视	សម្លឹងយ៉ាងជាប់	គាត់សម្លឹងយ៉ាងជាប់ទៅពន្លឺនៅឆ្ងាយ។
拧	ច្របាច់បង្វិល	គាត់ច្របាច់ខ្ញុំម្តងដោយដៃ។
宁肯	សុខចិត្តជាង	នាងសុខចិត្តបរាជ័យជាងបោះបង់គោលការណ៍។
宁愿	សុខចិត្ត	ខ្ញុំសុខចិត្តដើរជាងរង់ចាំឡាន។
扭转	បង្វែរស្ថានការណ៍	គោលនយោបាយថ្មីបានបង្វែរស្ថានការណ៍ខាតបង់។
纽扣儿	គ្រាប់ឡេវ	អាវនេះបានជ្រុះគ្រាប់ឡេវមួយ។
农历	ប្រតិទិនចន្ទគតិ	បុណ្យចូលឆ្នាំចិនត្រូវបានប្រារព្ធតាមប្រតិទិនចន្ទគតិ។
浓厚	ខ្លាំងជ្រាលជ្រៅ	គាត់មានចំណាប់អារម្មណ៍ខ្លាំងលើប្រវត្តិសាស្ត្រ។
奴隶	ទាសករ	សង្គមបុរាណធ្លាប់មានប្រព័ន្ធទាសករ។
挪	រំកិល	សូមរំកិលកៅអីទៅម្ខាងបន្តិច។
虐待	ធ្វើបាបយ៉ាងអាក្រក់	ច្បាប់ហាមឃាត់ការធ្វើបាបកុមារយ៉ាងអាក្រក់។
哦	អូ	អូ ខ្ញុំទីបំផុតយល់ហើយ។
殴打	វាយធ្វើបាប	ប៉ូលិសបានចាប់ខ្លួនអ្នកដែលវាយធ្វើបាបអ្នកដំណើរ។
偶像	គំរូគោរព	នាងចាត់ទុកអ្នកនិពន្ធនោះជាគំរូគោរព។
呕吐	ក្អួត	គាត់ចាប់ផ្តើមក្អួតបន្ទាប់ពីញ៉ាំអាហារខូច។
趴	ដេកផ្កាប់មុខ	កូនឆ្មាដេកផ្កាប់មុខលើបង្អួចហើយគេង។
徘徊	ដើរចុះឡើងស្ទាក់ស្ទើរ	គាត់ដើរចុះឡើងស្ទាក់ស្ទើរនៅមាត់ទ្វារយូរ។
排斥	បដិសេធមិនទទួល	សម្ភារៈថ្មីនេះបដិសេធមិនទទួលសំណើម។
排除	ដកចេញ	វេជ្ជបណ្ឌិតបានដកចេញជំងឺធ្ងន់ជាមុន។
排放	ការបញ្ចេញ	រោងចក្រត្រូវកាត់បន្ថយការបញ្ចេញឧស្ម័នកាកសំណល់។
排练	ហាត់សម	តារាសម្តែងកំពុងហាត់សមកម្មវិធីថ្មី។
派别	ក្រុមនិន្នាការ	ក្នុងអង្គការនេះមានក្រុមនិន្នាការផ្សេងៗ។
派遣	ចាត់បញ្ជូន	ក្រុមហ៊ុនចាត់បញ្ជូនវិស្វករទៅកន្លែងកើតហេតុ។
攀登	ឡើងភ្នំ	ពួកគេគ្រោងឡើងភ្នំព្រិលថ្ងៃស្អែក។
盘旋	វិលជុំវិញ	យន្តហោះវិលជុំវិញលើអាកាសខាងលើព្រលានយន្តហោះ។
判决	សេចក្តីសម្រេចតុលាការ	តុលាការបានប្រកាសសេចក្តីសម្រេចថ្ងៃនេះ។
畔	មាត់ទឹក	កុមារដើរកំសាន្តនៅមាត់ទឹកបឹង។
庞大	ធំសម្បើម	គម្រោងនេះត្រូវការថវិកាធំសម្បើម។
抛弃	បោះបង់ចោល	គាត់មិនចង់បោះបង់ចោលសុបិនរបស់ខ្លួន។
泡沫	ពពុះ	ក្នុងកែវមានពពុះសច្រើន។
培育	បណ្តុះបណ្តាល	សាលាខិតខំបណ្តុះបណ្តាលស្មារតីទទួលខុសត្រូវរបស់សិស្ស។
配备	បំពាក់	រថយន្តថ្មីត្រូវបានបំពាក់ប្រព័ន្ធសុវត្ថិភាព។
配偶	ប្តីឬប្រពន្ធ	ពាក្យស្នើសុំត្រូវបំពេញព័ត៌មានប្តីឬប្រពន្ធ។
配套	បំពេញជាសំណុំ	សហគមន៍នេះមានបរិក្ខារបំពេញជាសំណុំយ៉ាងល្អ។
盆地	អាងភូមិសាស្ត្រ	អាងភូមិសាស្ត្រនេះក្តៅខ្លាំងនៅរដូវក្តៅ។
烹饪	ការចម្អិនម្ហូប	ការចម្អិនម្ហូបត្រូវការអត់ធ្មត់ និងបទពិសោធន៍។
捧	កាន់ដោយដៃទាំងពីរ	នាងកាន់បាច់ផ្កាដោយដៃទាំងពីរ។
劈	កាប់បំបែក	កម្មករប្រើពូថៅកាប់បំបែកអុស។
批发	លក់ដុំ	ហាងនេះភាគច្រើនលក់ដុំផ្លែឈើ។
批判	រិះគន់	អត្ថបទនេះរិះគន់ទស្សនៈខុសនោះ។
疲惫	នឿយហត់ខ្លាំង	បន្ទាប់ពីធ្វើដំណើរឆ្ងាយ មនុស្សគ្រប់គ្នានឿយហត់ខ្លាំង។
疲倦	ហត់នឿយ	ការងារបន្តបន្ទាប់ធ្វើឲ្យគាត់មានអារម្មណ៍ហត់នឿយ។
皮革	ស្បែក	កាបូបនេះធ្វើពីស្បែក។
屁股	គូទ	ក្មេងនោះឈឺគូទបន្ទាប់ពីដួល។
譬如	ឧទាហរណ៍	ឧទាហរណ៍ យើងអាចធ្វើតេស្តតូចមួយជាមុន។
偏差	ភាពលម្អៀង	លទ្ធផលពិសោធន៍មានភាពលម្អៀងច្បាស់។
偏见	អគតិ	យើងគួរជៀសវាងអគតិជាតិពន្ធុ។
偏僻	ដាច់ស្រយាល	ភូមិនេះស្ថិតនៅទីតាំងដាច់ស្រយាលខ្លាំង។
偏偏	បែរជា	ខ្ញុំកាន់តែប្រញាប់ ឡានបែរជាកាន់តែយឺត។
片断	ផ្នែកខ្លី	ក្នុងខ្សែភាពយន្តមានផ្នែកខ្លីល្អៗជាច្រើន។
片刻	មួយភ្លែត	សូមរង់ចាំខ្ញុំនៅទីនេះមួយភ្លែត។
漂浮	អណ្តែត	ស្លឹកឈើជ្រុះអណ្តែតលើផ្ទៃទឹក។
飘扬	បក់រវិច	ទង់ជាតិបក់រវិចក្នុងខ្យល់។
撇	ទុកចោលម្ខាង	គាត់ទុកផែនការចាស់ចោលម្ខាង។
拼搏	ខិតខំប្រឹងប្រែង	យុវជនគួរខិតខំប្រឹងប្រែងដើម្បីឧត្តមគតិ។
拼命	ប្រឹងអស់កម្លាំង	គាត់ប្រឹងអស់កម្លាំងដេញតាមក្រុមខាងមុខ។
贫乏	ខ្វះខាត	ខ្លឹមសារអត្ថបទនេះខ្វះខាតបន្តិច។
贫困	ក្រីក្រ	រដ្ឋាភិបាលជួយគ្រួសារក្រីក្រ។
频繁	ញឹកញាប់	ថ្មីៗនេះគ្រោះថ្នាក់ចរាចរណ៍នៅទីនេះកើតឡើងញឹកញាប់។
频率	ប្រេកង់	សំឡេងប្រភេទនេះមានប្រេកង់ខ្ពស់។
品尝	ភ្លក់	ភ្ញៀវកំពុងភ្លក់ម្ហូបក្នុងតំបន់។
品德	សីលធម៌	សាលាឲ្យតម្លៃការអប់រំសីលធម៌របស់សិស្ស។
品质	គុណភាព	គុណភាពផលិតផលរបស់ក្រុមហ៊ុននេះមានស្ថិរភាព។
品种	ពូជប្រភេទ	នៅផ្សារមានពូជប្រភេទផ្លែឈើច្រើន។
屏幕	អេក្រង់	សូមបន្ថយពន្លឺអេក្រង់។
屏障	របាំងការពារ	ព្រៃឈើជារបាំងការពារខ្យល់ដ៏សំខាន់។
平凡	ធម្មតា	គាត់ធ្វើការលើមុខតំណែងធម្មតាអស់ជាច្រើនឆ្នាំ។
平面	ផ្ទៃរាប	អ្នករចនាបានគូរប្លង់ផ្ទៃរាបរបស់ផ្ទះ។
平坦	រាបស្មើ	ផ្លូវនេះរាបស្មើណាស់។
平行	ស្របគ្នា	បន្ទាត់ទាំងពីរនេះស្របគ្នា។
平庸	មធ្យមធម្មតា	គាត់មិនពេញចិត្តរស់នៅជីវិតមធ្យមធម្មតា។
平原	វាលទំនាប	រថភ្លើងឆ្លងកាត់វាលទំនាបធំទូលាយ។
评估	វាយតម្លៃ	អ្នកជំនាញកំពុងវាយតម្លៃហានិភ័យគម្រោង។
评论	បញ្ចេញមតិ	អ្នកអានអាចបញ្ចេញមតិក្រោមអត្ថបទ។
坡	ជម្រាល	រថយន្តបើកឡើងជម្រាលយឺតៗ។
泼	សាច	កុំសាចទឹកលើឥដ្ឋ។
颇	គួរឲ្យ	លទ្ធផលនេះគួរឲ្យភ្ញាក់ផ្អើលណាស់។
破例	លើកលែងករណីពិសេស	អ្នកគ្រប់គ្រងបានលើកលែងករណីពិសេស ហើយអនុម័តពាក្យស្នើសុំរបស់គាត់។
迫不及待	ទ្រាំចាំមិនបាន	កុមារទ្រាំចាំមិនបានក្នុងការបើកអំណោយ។
迫害	បៀតបៀន	ក្នុងប្រវត្តិសាស្ត្រ មនុស្សជាច្រើនធ្លាប់រងការបៀតបៀន។
魄力	ភាពក្លាហានសម្រេចចិត្ត	មេដឹកនាំត្រូវការភាពក្លាហានសម្រេចចិត្ត។
扑	ហក់ចូល	ក្មេងហក់ចូលក្នុងដៃម្តាយភ្លាម។
铺	ក្រាល	កម្មករកំពុងក្រាលកម្រាលថ្មី។
普及	រីករាលដាលទូលំទូលាយ	អ៊ីនធឺណិតបានរីករាលដាលទូលំទូលាយនៅទីក្រុង។
朴实	សាមញ្ញស្មោះត្រង់	ភាសារបស់គាត់សាមញ្ញស្មោះត្រង់។
朴素	សាមញ្ញមិនតុបតែង	នាងចូលចិត្តរបៀបរស់នៅសាមញ្ញមិនតុបតែង។
瀑布	ទឹកជ្រោះ	ភ្ញៀវទេសចរឈរថតរូបក្បែរទឹកជ្រោះ។
凄凉	ស្ងាត់សោកសៅ	ភូមិភ្នំនៅរដូវរងាមើលទៅស្ងាត់សោកសៅ។
期望	ការរំពឹងទុក	ឪពុកម្តាយមានការរំពឹងទុកខ្ពស់ចំពោះកូន។
期限	កាលកំណត់	កាលកំណត់ចុះឈ្មោះគឺថ្ងៃសុក្រសប្តាហ៍នេះ។
欺负	ធ្វើបាបអ្នកខ្សោយ	ក្មេងធំមិនគួរធ្វើបាបក្មេងតូច។
欺骗	បោកប្រាស់	ការផ្សាយពាណិជ្ជកម្មក្លែងក្លាយបានបោកប្រាស់អ្នកប្រើប្រាស់។
奇妙	អស្ចារ្យ	ធម្មជាតិមានបាតុភូតអស្ចារ្យជាច្រើន។
旗袍	រ៉ូបចិនប្រពៃណី	នាងពាក់រ៉ូបចិនប្រពៃណីពណ៌ក្រហមចូលរួមពិធីល្ងាច។
旗帜	ទង់	នៅទីលានមានទង់ពណ៌ភ្លឺបក់រវិច។
歧视	រើសអើង	ច្បាប់ហាមឃាត់ការរើសអើងគ្រប់ទម្រង់។
齐全	ពេញលេញ	ហាងនេះមានឧបករណ៍ពេញលេញ។
齐心协力	រួមចិត្តរួមកម្លាំង	គ្រប់គ្នារួមចិត្តរួមកម្លាំងបញ្ចប់ភារកិច្ច។
乞丐	អ្នកសុំទាន	នៅចិញ្ចើមផ្លូវមានអ្នកសុំទានចាស់ម្នាក់អង្គុយ។
企图	ប៉ុនប៉ង	គាត់ប៉ុនប៉ងលាក់ស្ថានភាពពិត។
启程	ចេញដំណើរ	គណៈប្រតិភូនឹងចេញដំណើរព្រឹកព្រលឹមថ្ងៃស្អែក។
启蒙	បើកចំណេះដំបូង	សៀវភៅនេះសមស្របសម្រាប់ការអានបើកចំណេះដំបូងរបស់កុមារ។
启事	សេចក្តីជូនដំណឹង	នៅមាត់ទ្វារសាលាមានបិទសេចក្តីជូនដំណឹងជ្រើសរើសបុគ្គលិក។
启示	មេរៀនបំភ្លឺ	ការបរាជ័យលើកនេះបានផ្តល់មេរៀនបំភ្លឺសំខាន់ដល់យើង។
岂有此理	មិនសមហេតុផលទាល់តែសោះ	ថ្លៃសេវាបែបនេះមិនសមហេតុផលទាល់តែសោះ។
起草	រៀបចំសេចក្តីព្រាង	មេធាវីកំពុងរៀបចំសេចក្តីព្រាងកិច្ចសន្យា។
起初	ដំបូង	ដំបូង គាត់មិនជឿដំណឹងនេះទេ។
起伏	ឡើងចុះ	ផ្លូវភ្នំឡើងចុះតាមសណ្ឋានដី។
起哄	ធ្វើសំឡេងរំខាន	សិស្សមិនគួរធ្វើសំឡេងរំខានក្នុងថ្នាក់ទេ។
起码	យ៉ាងហោចណាស់	យ៉ាងហោចណាស់ អ្នកគួរជូនដំណឹងខ្ញុំជាមុន។
起源	ប្រភពដើម	ពិធីបុណ្យនេះមានប្រភពដើមពីសម័យបុរាណ។
器材	ឧបករណ៍សម្ភារៈ	មន្ទីរពិសោធន៍ត្រូវការឧបករណ៍សម្ភារៈបង្រៀនថ្មី។
器官	សរីរាង្គ	បេះដូងជាសរីរាង្គសំខាន់របស់រាងកាយមនុស្ស។
气概	ស្មារតីក្លាហាន	កំណាព្យនេះបង្ហាញស្មារតីក្លាហានរបស់វីរបុរស។
气功	លំហាត់ដកដង្ហើមបែបចិន	លោកតាហាត់លំហាត់ដកដង្ហើមបែបចិនរៀងរាល់ព្រឹក។
气魄	ភាពអស្ចារ្យក្លាហាន	ស្ពាននេះមានភាពអស្ចារ្យក្លាហាន។
气色	ពណ៌មុខ	បន្ទាប់ពីសម្រាក ពណ៌មុខគាត់ល្អឡើងច្រើន។
气势	សន្ទុះ	ក្រុមមានសន្ទុះខ្លាំងតាំងពីចាប់ផ្តើម។
气味	ក្លិន	ក្នុងផ្ទះបាយមានក្លិននំប៉័ងអាំង។
气象	អាកាសធាតុ	អាកាសធាតុលើខ្ពង់រាបនេះប្រែប្រួលលឿន។
气压	សម្ពាធខ្យល់	សម្ពាធខ្យល់ធ្លាក់ចុះអាចនាំឲ្យមានភ្លៀង។
气质	ចរិតលក្ខណៈ	នាងមានចរិតលក្ខណៈស្ងប់ស្ងាត់មួយ។
迄今为止	រហូតមកដល់ពេលនេះ	រហូតមកដល់ពេលនេះ ការពិសោធន៍ដំណើរការរលូន។
掐	ច្បិច	នាងច្បិចផ្កាតូចមួយ។
恰当	សមស្រប	ចម្លើយរបស់អ្នកសមស្របណាស់។
恰到好处	ល្មមត្រឹមត្រូវ	កម្រិតផ្អែមនៃម្ហូបនេះល្មមត្រឹមត្រូវ។
恰巧	ចៃដន្យ	ពេលខ្ញុំទៅដល់ស្ថានីយ៍ ចៃដន្យមានភ្លៀងធ្លាក់។
洽谈	ពិភាក្សាចរចា	ភាគីទាំងពីរកំពុងពិភាក្សាចរចាលម្អិតអំពីកិច្ចសហការ។
千方百计	គ្រប់មធ្យោបាយ	ពួកគេប្រើគ្រប់មធ្យោបាយស្វែងរកដំណោះស្រាយ។
牵	ដឹកដៃ	ម្តាយដឹកដៃកូនឆ្លងផ្លូវ។
牵扯	ពាក់ព័ន្ធ	រឿងនេះពាក់ព័ន្ធនឹងនាយកដ្ឋានជាច្រើន។
牵制	ទប់ស្កាត់	ការពាររបស់ភាគីម្ខាងទប់ស្កាត់ការវាយប្រហារ។
签署	ចុះហត្ថលេខា	ក្រុមហ៊ុនពីរបានចុះហត្ថលេខាលើកិច្ចព្រមព្រៀង។
谦逊	សុភាពរាបសា	បន្ទាប់ពីជោគជ័យ គាត់នៅតែសុភាពរាបសា។
迁就	បត់បែនតាម	ឪពុកម្តាយមិនអាចបត់បែនតាមកូនជានិច្ចបានទេ។
迁徙	ធ្វើចំណាកស្រុក	បក្សីចំណាកស្រុកធ្វើចំណាកស្រុកតាមរដូវរៀងរាល់ឆ្នាំ។
前景	អនាគតរំពឹង	ឧស្សាហកម្មនេះមានអនាគតរំពឹងល្អ។
前提	លក្ខខណ្ឌមុន	ការជឿទុកចិត្តគឺជាលក្ខខណ្ឌមុនសម្រាប់កិច្ចសហការ។
潜力	សក្តានុពល	សិស្សម្នាក់នេះមានសក្តានុពលធំ។
潜水	មុជទឹក	ពួកគេទៅឆ្នេរសមុទ្រដើម្បីរៀនមុជទឹក។
潜移默化	ជះឥទ្ធិពលដោយមិនដឹងខ្លួន	បរិយាកាសគ្រួសារអាចជះឥទ្ធិពលលើកូនដោយមិនដឹងខ្លួន។
谴责	ថ្កោលទោស	សហគមន៍អន្តរជាតិបានថ្កោលទោសអំពើហិង្សា។
抢劫	ប្លន់	ប៉ូលិសចាប់បានជនសង្ស័យដែលប្លន់ធនាគារ។
强制	បង្ខំអនុវត្ត	បទប្បញ្ញត្តិថ្មីបង្ខំអនុវត្តឲ្យអ្នកបើកបរពាក់ខ្សែក្រវាត់សុវត្ថិភាព។
强迫	បង្ខំ	កុំបង្ខំកុមារធ្វើអ្វីដែលពួកគេមិនចូលចិត្ត។
抢救	សង្គ្រោះបន្ទាន់	វេជ្ជបណ្ឌិតកំពុងសង្គ្រោះបន្ទាន់កម្មកររងរបួស។
桥梁	ស្ពាន	ភាសាគឺជាស្ពានសម្រាប់ការផ្លាស់ប្តូរវប្បធម៌។
窍门	គន្លឹះ	ការរៀនបញ្ចេញសំឡេងមានគន្លឹះខ្លះៗ។
翘	លើកឡើង	គាត់លើកជើងមួយឡើងលើកៅអី។
切实	អាចអនុវត្តបាន	យើងត្រូវការផែនការអាចអនុវត្តបានជាក់ស្តែង។
锲而不舍	ព្យាយាមមិនបោះបង់	គាត់ព្យាយាមមិនបោះបង់ក្នុងការស្រាវជ្រាវបញ្ហានេះ។
亲密	ជិតស្និទ្ធ	ពួកគេរក្សាទំនាក់ទំនងជិតស្និទ្ធជានិច្ច។
亲热	កក់ក្តៅរាក់ទាក់	មនុស្សចាស់បានស្វាគមន៍ភ្ញៀវយ៉ាងកក់ក្តៅរាក់ទាក់។
侵犯	រំលោភបំពាន	អាកប្បកិរិយានេះរំលោភបំពានលើភាពឯកជនផ្ទាល់ខ្លួន។
侵略	ការឈ្លានពាន	ប្រជាជនប្រឆាំងនឹងការឈ្លានពានគ្រប់ទម្រង់។
钦佩	កោតសរសើរយ៉ាងខ្លាំង	ខ្ញុំកោតសរសើរយ៉ាងខ្លាំងចំពោះភាពក្លាហានរបស់នាង។
勤俭	ឧស្សាហ៍និងសន្សំសំចៃ	លោកយាយគ្រប់គ្រងគ្រួសារយ៉ាងឧស្សាហ៍និងសន្សំសំចៃពេញមួយជីវិត។
勤劳	ឧស្សាហ៍ព្យាយាម	មនុស្សឧស្សាហ៍ព្យាយាមតែងអាចបង្កើតឱកាស។
倾听	ស្តាប់ដោយយកចិត្តទុកដាក់	គ្រូស្តាប់យោបល់សិស្សដោយយកចិត្តទុកដាក់។
倾向	ទំនោរ	អ្នកប្រើប្រាស់វ័យក្មេងមានទំនោរទិញទំនិញតាមអ៊ីនធឺណិត។
倾斜	ទ្រេត	បន្ទាប់ពីភ្លៀងធំ ជញ្ជាំងចាប់ផ្តើមទ្រេត។
清澈	ថ្លា	ទឹកអូរនៅភ្នំថ្លាណាស់។
清晨	ព្រឹកព្រលឹម	ខ្យល់ព្រឹកព្រលឹមស្រស់ថ្លាពិសេស។
清除	សម្អាតចេញ	កម្មករសម្អាតព្រិលចេញពីផ្លូវ។
清洁	ស្អាត	មន្ទីរពេទ្យត្រូវរក្សាបរិស្ថានឲ្យស្អាត។
清理	រៀបចំសម្អាត	ចុងសប្តាហ៍យើងបានរៀបចំសម្អាតឃ្លាំង។
清晰	ច្បាស់លាស់	រូបថតនេះច្បាស់លាស់ណាស់។
清醒	ស្មារតីភ្ញាក់ច្បាស់	បន្ទាប់ពីផឹកកាហ្វេ គាត់មានស្មារតីភ្ញាក់ច្បាស់ជាងមុនច្រើន។
清真	ហាឡាល់	នៅក្បែរនេះមានភោជនីយដ្ឋានហាឡាល់មួយ។
情报	ព័ត៌មានសម្ងាត់	អ្នកសារព័ត៌មានទទួលបានព័ត៌មានសម្ងាត់សំខាន់។
情节	គ្រោងរឿង	គ្រោងរឿងនៃប្រលោមលោកនេះតានតឹងណាស់។
情理	ហេតុផលសមរម្យ	សំណើរបស់គាត់មិនស្របនឹងហេតុផលសមរម្យទេ។
情形	ស្ថានភាព	ស្ថានភាពនៅកន្លែងកើតហេតុស្មុគស្មាញជាងការស្មាន។
晴朗	មេឃស្រឡះ	មេឃថ្ងៃនេះស្រឡះពិសេស។
请柬	សំបុត្រអញ្ជើញ	ពួកគេបានផ្ញើសំបុត្រអញ្ជើញអាពាហ៍ពិពាហ៍ទៅសាច់ញាតិមិត្តភក្តិ។
请教	សុំយោបល់	ខ្ញុំចង់សុំយោបល់ពីលោកអ្នកអំពីសំណួរមួយ។
请示	សុំការណែនាំ	រឿងនេះត្រូវសុំការណែនាំពីថ្នាក់ដឹកនាំជាមុន។
请帖	កាតអញ្ជើញ	លើតុមានកាតអញ្ជើញខួបកំណើតមួយ។
丘陵	តំបន់ភ្នំទាប	តំបន់នេះមានភ្នំទាបច្រើន។
区分	បែងចែក	កុមារអាចបែងចែកឆ្វេងស្តាំបានហើយ។
区域	តំបន់	តំបន់នេះហាមចតរថយន្ត។
屈服	ចុះចាញ់	គាត់មិនចុះចាញ់ចំពោះសម្ពាធទេ។
曲折	ស្មុគស្មាញវែងឆ្ងាយ	ពួកគេបានឆ្លងកាត់ការចរចាស្មុគស្មាញវែងឆ្ងាយ។
驱逐	បណ្តេញចេញ	ប៉ូលិសបានបណ្តេញអ្នកបង្កបញ្ហាចេញ។
渠道	បណ្តាញ	ក្រុមហ៊ុនលក់ផលិតផលតាមបណ្តាញថ្មី។
取缔	ហាមឃាត់	រដ្ឋាភិបាលបានហាមឃាត់ទីផ្សារខុសច្បាប់។
曲子	បទភ្លេង	បទភ្លេងនេះមានមេឡូឌីពីរោះណាស់។
趣味	ភាពគួរឲ្យចាប់អារម្មណ៍	ល្បែងនេះមានភាពគួរឲ្យចាប់អារម្មណ៍ខ្លាំង។
圈套	អន្ទាក់	គាត់ស្ទើរតែធ្លាក់ក្នុងអន្ទាក់របស់អ្នកបោកប្រាស់។
全局	ស្ថានភាពទាំងមូល	មេដឹកនាំត្រូវគិតពីផលប្រយោជន៍នៃស្ថានភាពទាំងមូល។
全力以赴	ប្រឹងអស់ពីកម្លាំង	យើងនឹងប្រឹងអស់ពីកម្លាំងដើម្បីបញ្ចប់ភារកិច្ច។
拳头	កណ្តាប់ដៃ	គាត់ក្តាប់កណ្តាប់ដៃត្រៀមប្រកួត។
权衡	ពិចារណាថ្លឹងថ្លែង	យើងត្រូវពិចារណាថ្លឹងថ្លែងរវាងចំណាយនិងប្រសិទ្ធភាព។
权威	អ្នកជំនាញមានអំណាច	សាស្ត្រាចារ្យរូបនេះជាអ្នកជំនាញមានអំណាចក្នុងវិស័យនេះ។
犬	ឆ្កែ	ឆ្កែប្រភេទនេះសមស្របសម្រាប់យាមផ្ទះ។
缺口	ចន្លោះខ្វះ	លើជញ្ជាំងមានចន្លោះខ្វះតូចមួយ។
缺席	អវត្តមាន	គាត់អវត្តមានពីកិច្ចប្រជុំដោយសារជំងឺ។
缺陷	កំហុសខ្វះខាត	ការរចនានេះមានកំហុសខ្វះខាតច្បាស់។
瘸	ខ្ចើច	ជើងឆ្វេងរបស់គាត់ខ្ចើចបន្តិច។
确保	ធានា	សូមធានាថាទ្វារបានចាក់សោរួចហើយ។
确立	បង្កើតកំណត់	ក្រុមហ៊ុនបានបង្កើតកំណត់គោលដៅអភិវឌ្ឍន៍ថ្មី។
确切	ជាក់លាក់	ខ្ញុំមិនដឹងពេលវេលាជាក់លាក់ទេ។
确信	ជឿជាក់ប្រាកដ	ខ្ញុំជឿជាក់ប្រាកដថាគាត់នឹងមកដល់ទាន់ពេល។
群众	មហាជន	មហាជនគាំទ្រគោលនយោបាយថ្មីខ្លាំង។
染	លាបពណ៌	នាងលាបពណ៌សក់ឲ្យខ្មៅ។
嚷	ស្រែកខ្លាំង	កុំស្រែកខ្លាំងនៅក្នុងច្រករបៀង។
让步	ព្រមបន្ធូរបន្ថយ	ភាគីទាំងពីរបានព្រមបន្ធូរបន្ថយខ្លះៗ។
饶恕	អត់ទោស	ចុងក្រោយនាងបានជ្រើសរើសអត់ទោសឲ្យភាគីម្ខាង។
扰乱	រំខានធ្វើឲ្យច្របូកច្របល់	សំឡេងរំខានបានរំខានធ្វើឲ្យសណ្ដាប់ធ្នាប់ថ្នាក់រៀនច្របូកច្របល់។
惹祸	បង្ករឿង	លេងសើចមិនប្រយ័ត្នងាយបង្ករឿង។
热泪盈眶	ទឹកភ្នែកពេញភ្នែកដោយរំភើប	ពេលឮដំណឹងល្អ នាងទឹកភ្នែកពេញភ្នែកដោយរំភើប។
热门	ពេញនិយមខ្លាំង	បញ្ញាសិប្បនិម្មិតជាប្រធានបទពេញនិយមខ្លាំង។
人道	មនុស្សធម៌	សកម្មភាពសង្គ្រោះបានបង្ហាញស្មារតីមនុស្សធម៌។
人格	សេចក្តីថ្លៃថ្នូររបស់មនុស្ស	ការប្រមាថអ្នកដទៃធ្វើឲ្យខូចសេចក្តីថ្លៃថ្នូររបស់មនុស្ស។
人工	សិប្បនិម្មិត	ទន្លេនេះត្រូវបានជីកឡើងដោយសិប្បនិម្មិត។
人家	អ្នកដទៃ	កុំយកខ្លួនឯងទៅប្រៀបធៀបនឹងអ្នកដទៃជានិច្ច។
人间	ពិភពមនុស្ស	រដូវផ្ការីកធ្វើឲ្យពិភពមនុស្សពោរពេញដោយជីវិត។
人士	បុគ្គល	បុគ្គលពីគ្រប់មជ្ឈដ្ឋានបានចូលរួមកិច្ចពិភាក្សា។
人为	បង្កឡើងដោយមនុស្ស	គ្រោះថ្នាក់លើកនេះបង្កឡើងដោយមូលហេតុមនុស្ស។
人性	ធម្មជាតិមនុស្ស	ខ្សែភាពយន្តនេះពិភាក្សាអំពីធម្មជាតិមនុស្ស។
人质	ចំណាប់ខ្មាំង	ប៉ូលិសបានជួយសង្គ្រោះចំណាប់ខ្មាំងដោយជោគជ័យ។
仁慈	មានមេត្តាករុណា	វេជ្ជបណ្ឌិតរូបនេះមានមេត្តាករុណាចំពោះអ្នកជំងឺខ្លាំង។
忍耐	អត់ធ្មត់	ការឈររង់ចាំជួរវែងត្រូវការអត់ធ្មត់បន្តិច។
