simplified	CS	example_CS
咬	kousat	Tento pes lidi nekouše.
要不	co kdyby	Co kdybychom šli znovu zítra?
业务	byznys; obchodní činnost	Obchodní činnost firmy roste.
业余	volný čas	Ve volném čase se učí fotografovat.
夜	noc	V noci je ulice velmi tichá.
依然	stále	Stále bydlí v Pekingu.
一辈子	celý život	Celý život milovala hudbu.
一旦	jakmile	Jakmile se rozhodneš, musíš vytrvat.
一律	všichni bez výjimky	Během schůze musí být všechny telefony bez výjimky vypnuté.
一再	opakovaně	Opakovaně nám připomínal, abychom dbali na bezpečnost.
一致	shodný	Názory všech jsou zcela shodné.
疑问	pochybnost	Mám pochybnost o této odpovědi.
移动	přesunout	Přesuňte prosím stůl trochu.
移民	emigrovat	Plánují emigrovat do zahraničí.
遗憾	litovat	Je mi líto, že jsem tě nemohl vidět.
乙	strana B	Ve smlouvě je za platbu odpovědná strana B.
以及	a také	Koupil jsem knihy a také psací potřeby.
以来	od doby	Od promoce celou dobu pracuje v Pekingu.
义务	povinnost	Chránit životní prostředí je povinnost každého.
亿	miliarda	Tato země má více než miliardu obyvatel.
意外	nečekaný	Toto zpoždění bylo naprosto nečekané.
意义	význam	Tato akce má velký význam.
议论	diskutovat	Všichni o této věci diskutují.
因而	proto	Pilně se učí, proto má dobré výsledky.
因素	faktor	Počasí je důležitý faktor.
银	stříbro	Má na sobě stříbrný náramek.
印刷	tisk	Tato kniha je vytištěná velmi čitelně.
英俊	pohledný	Je velmi pohledný.
英雄	hrdina	Hasiči jsou skuteční hrdinové.
营养	výživa	Snídaně by měla mít dostatek výživy.
营业	být otevřený	Tento obchod otevírá v devět hodin.
迎接	přivítat	Jeli jsme na letiště přivítat hosty.
影子	stín	Pod pouliční lampou je jeho stín.
应付	poradit si	Dokáže si s tímto problémem poradit.
应用	použít	Tuto metodu lze použít ve výuce.
硬	tvrdý	Tato židle je příliš tvrdá.
硬件	hardware	Tento počítač má dobrý hardware.
拥抱	objmout	Dítě běželo obejmout maminku.
拥挤	přeplněný	Metro je v ranní špičce velmi přeplněné.
勇气	odvaha	Má odvahu přiznat chybu.
用功	pilně studovat	Studuje velmi pilně.
用途	použití	Tento materiál má široké použití.
优惠	sleva	Tento obchod má dnes slevu.
优美	krásný	Prostředí tady je velmi krásné.
优势	výhoda	Jeho výhodou jsou bohaté zkušenosti.
悠久	dlouhý	Čína má dlouhou historii.
油炸	smažený	Smažená jídla jím jen zřídka.
游览	prohlédnout si	Zítra si prohlédneme Zakázané město.
犹豫	váhat	Chvíli váhal, než odpověděl.
有利	příznivý	Tato podmínka je pro nás příznivá.
幼儿园	mateřská škola	Dítě půjde příští rok do mateřské školy.
娱乐	zábava	Sledování filmů je druh zábavy.
与其	raději než	Raději než si stěžovat je lepší jednat.
语气	tón	Tón jeho řeči je velmi jemný.
玉米	kukuřice	K večeři je kukuřičná polévka.
预报	předpověď	Předpověď počasí říká, že zítra bude pršet.
预订	zarezervovat	Už jsem zarezervoval hotel.
预防	předcházet	Časté mytí rukou může předcházet nachlazení.
元旦	Nový rok	Na Nový rok máme jeden den volno.
原料	surovina	Hlavní surovinou chleba je mouka.
原则	zásada	Člověk by měl mít zásady.
员工	zaměstnanec	Firma má tři sta zaměstnanců.
圆	kulatý	Měsíc je velký a kulatý.
愿望	přání	Jeho přáním je procestovat svět.
乐器	hudební nástroj	Umí hrát na několik hudebních nástrojů.
晕	mít závrať	Na lodi se mi trochu motá hlava.
运气	štěstí	Dnes mám dobré štěstí.
运输	doprava	Toto zboží potřebuje železniční dopravu.
运用	používat	Používejte prosím tato slova pružně.
灾害	katastrofa	Povodeň je přírodní katastrofa.
再三	opakovaně	Učitel nám opakovaně připomínal, abychom opakovali.
在乎	záležet mu na	Hodně mu záleží na názorech přátel.
在于	spočívat v	Úspěch spočívá ve vytrvalosti.
赞成	souhlasit	Souhlasím s tvým návrhem.
赞美	chválit	Všichni chválili její odvahu.
糟糕	hrozný	Dnešní počasí je opravdu hrozné.
造成	způsobit	Silný déšť způsobil dopravní zácpu.
则	pak; tedy	Když budeš pilně pracovat, pak dosáhneš pokroku.
责备	vinit	Učitel ho nevinil.
摘	utrhnout	Na zahradě utrhla květinu.
窄	úzký	Tato cesta je příliš úzká.
粘贴	nalepit	Nalepte prosím fotku sem.
展开	rozběhnout se	Diskuse se rychle rozběhla.
展览	výstava	V muzeu je nová výstava.
占	zabírat	Tento stůl zabírá místo.
战争	válka	Válka přináší lidem utrpení.
掌握	ovládnout	Už ovládl základní gramatiku.
涨	stoupat	V poslední době nájem zase stoupl.
长辈	starší příbuzní	Na Nový rok by se měli pozdravit starší příbuzní.
账户	účet	Zkontrolujte prosím svůj bankovní účet.
招待	přijmout hosty	Hostitel hosty srdečně přijal.
着火	chytit oheň	V kuchyni najednou začalo hořet.
着凉	nastydnout	Je zima, nenastydni.
召开	uspořádat	Škola zítra uspořádá schůzi.
照常	jako obvykle	Obchod bude zítra otevřen jako obvykle.
哲学	filozofie	Na univerzitě studoval filozofii.
珍惜	vážit si	Měli bychom si vážit času.
真实	skutečný	Tento příběh je skutečný.
针对	zaměřený na	Tento návrh je zaměřený na nové studenty.
诊断	diagnóza	Lékař rychle stanovil diagnózu.
振动	vibrovat	Telefon vibruje na stole.
阵	chvíle; přeháňka	Venku byla krátká přeháňka.
争论	hádat se; diskutovat	Dlouho se o tomto problému hádali.
争取	usilovat o	Měli bychom usilovat o více příležitostí.
征求	vyžádat si	Učitel si vyžádal názory všech.
挣	vyprostit se	Ptáček se vyprostil z provazu.
睁	otevřít oči	Otevři prosím oči trochu víc.
整个	celý	Celé město bylo velmi tiché.
整齐	úhledný	Knihy jsou uspořádané velmi úhledně.
整体	celkový	Musíme zvážit celkový efekt.
政府	vláda	Vláda vydala nové oznámení.
政治	politika	Velmi se zajímá o politiku.
正	správný	Tato odpověď je správná.
证件	doklad	Předložte prosím svůj doklad.
证据	důkaz	Policie našla nový důkaz.
支	kus; pero	Na stole je jedno pero.
支票	šek	Zaplatil šekem.
执照	průkaz; licence	K řízení je potřeba řidičský průkaz.
直	rovně	Po této cestě jděte stále rovně.
指导	vést	Učitel nás vedl při psaní práce.
指挥	řídit	Je odpovědný za řízení této akce.
制定	vypracovat	Firma vypracovala nový plán.
制度	systém	Škola má přísný systém.
制造	vyrábět	Tato továrna vyrábí stroje.
制作	vyrábět; dělat	Právě dělá narozeninový dort.
志愿者	dobrovolník	Akce se zúčastnilo mnoho dobrovolníků.
智慧	moudrost	Tento starší člověk má velkou moudrost.
治疗	léčit	Lékař léčí pacienta.
秩序	pořádek	Udržujte prosím pořádek.
至今	dodnes	Tento problém dodnes nebyl vyřešen.
至于	pokud jde o	Pokud jde o náklady, probereme je zítra.
中介	agentura	Pronajal si byt přes agenturu.
中心	centrum	Nemocnice je v centru města.
中旬	polovina měsíce	Schůze je naplánovaná na polovinu května.
种类	druh	Je tu mnoho druhů ovoce.
重大	významný	Je to významné rozhodnutí.
重量	hmotnost	Jaká je hmotnost této krabice?
周到	pozorný	Jeho služba je velmi pozorná.
猪	prase	Na farmě chovají mnoho prasat.
竹子	bambus	Pandy rády jedí bambus.
逐步	postupně	Plán bude postupně zaváděn.
逐渐	postupně	Počasí se postupně ochladilo.
主持	moderovat	Dnes vede schůzi.
主动	iniciativně	Iniciativně pomohl spolužákovi.
主观	subjektivní	Toto hodnocení je trochu subjektivní.
主人	hostitel	Hostitel nás srdečně přivítal.
主任	vedoucí	Vedoucí je v kanceláři.
主题	téma	Tématem dnešní diskuse je ochrana životního prostředí.
主席	předseda	Předseda oznámil začátek schůze.
主张	prosazovat	Prosazuje, aby se nejprve vyřešil dopravní problém.
煮	vařit	Maminka vaří nudle.
注册	zaregistrovat se	Noví uživatelé se musí nejprve zaregistrovat.
祝福	přání	Přátelé poslali svá přání.
抓	chytit	Dítě chytilo maminku za ruku.
抓紧	využít naplno	Musíme naplno využít čas.
专家	odborník	Odborník předložil návrhy.
专心	soustředit se	Při hodině je třeba soustředěně poslouchat.
转变	změna	Jeho postoj se změnil.
转告	vyřídit	Vyřiď mu prosím, že zítra je schůze.
装	dát; naložit	Dejte prosím knihy do tašky.
装饰	ozdobit	Ozdobili pokoj květinami.
装修	rekonstruovat	Nový dům se rekonstruuje.
撞	narazit	Dvě auta se srazila na křižovatce.
状况	situace	Současná situace je poměrně stabilní.
状态	stav	Dnes je ve velmi dobrém stavu.
追	honit	Dítě zezadu honí štěně.
追求	usilovat o	Vždy usiloval o svůj sen.
咨询	poradit se	Můžeš se poradit s odborným lékařem.
姿势	postoj; držení těla	Udržujte prosím správné držení těla.
资格	kvalifikace	Má kvalifikaci k účasti v soutěži.
资金	finance	Projekt potřebuje více financí.
资料	materiály	Pošlete mi prosím materiály.
资源	zdroj	Voda je důležitý přírodní zdroj.
紫	fialový	Má ráda fialovou barvu.
字母	písmeno	Angličtina má dvacet šest písmen.
字幕	titulky	Tento film má čínské titulky.
自从	od té doby	Od promoce se vrací jen zřídka.
自动	automatický	Tyto dveře se otevírají automaticky.
自豪	být hrdý	Jsem hrdý na svůj pokrok.
自觉	sám od sebe	Domácí úkol dokončil sám od sebe.
自私	sobecký	Člověk by neměl být příliš sobecký.
自由	svoboda	Každý si váží svobody.
自愿	dobrovolně	Dobrovolně se zúčastnili akce.
综合	komplexně	Musíme komplexně zvážit různé faktory.
总裁	generální ředitel	Generální ředitel dnes pronesl projev.
总共	celkem	Tato cesta stála celkem tři tisíce jüanů.
总理	premiér	Premiér se zúčastnil schůze.
总算	konečně	Problém byl konečně vyřešen.
总统	prezident	Prezident pronesl televizní projev.
总之	zkrátka	Zkrátka to musíme dokončit včas.
组	skupina	Učitel nás rozdělil do tří skupin.
组成	skládat se z	Voda se skládá z vodíku a kyslíku.
组合	kombinace	Tato barevná kombinace vypadá dobře.
组织	zorganizovat	Škola zorganizovala výlet.
阻止	zabránit	Policie zabránila nebezpečnému jednání.
最初	zpočátku	Zpočátku jsem tomu moc nerozuměl.
醉	opilý	Vypil toho moc a je trochu opilý.
尊敬	respektovat	Studenti všichni respektují učitele.
遵守	dodržovat	Musíme dodržovat dopravní pravidla.
作品	dílo	Tento obraz je jeho dílo.
作为	jako	Jako učitel je velmi trpělivý.
作文	sloh	Učitel nás požádal, abychom napsali sloh.
