simplified	RO	example_RO
焦点	un punct central	Ocuparea forței de muncă a devenit punctul central al discuției.
焦急	neliniștit	Mama a așteptat neliniștită întoarcerea copilului.
侥幸	din noroc	El a scăpat de dezastru din noroc.
搅拌	a amesteca	Te rog să amesteci aluatul uniform.
缴纳	a plăti	Locuitorii trebuie să plătească factura de apă la timp.
角落	un colț	Pisica s-a ascuns în colțul camerei.
教养	educație	Buna educație se vede în detalii.
较量	a concura	Cele două echipe puternice urmează să concureze.
接连	la rând	El a primit trei e-mailuri la rând.
揭露	a dezvălui	Reporterul a dezvăluit o problemă de siguranță alimentară.
皆	toți	Aceste reguli sunt cunoscute de toți.
阶层	o clasă socială	Clasele sociale diferite au nevoi diferite.
截止	a se încheia	Înscrierea se încheie mâine după-amiază.
截至	până la	Până astăzi, s-au înscris două sute de persoane.
杰出	remarcabil	Ea este o savantă remarcabilă.
竭尽全力	a face tot posibilul	Vom face tot posibilul să finalizăm sarcina.
结晶	rod	Acest rezultat este rodul mai multor ani de efort.
结局	un final	Finalul poveștii a fost neașteptat.
结算	a deconta	Clientul a cerut ca taxele să fie decontate la sfârșitul lunii.
节制	moderație	Omul ar trebui să dea dovadă de moderație la mâncare și băutură.
节奏	ritm	Ritmul acestui cântec este rapid.
解除	a ridica	Compania a ridicat alerta de securitate.
解放	a elibera	Reforma a eliberat forțele productive.
解雇	a concedia	Șeful a decis să-l concedieze pe acel angajat.
解剖	anatomie	Studenții la medicină studiază anatomia.
解散	a se dispersa	După încheierea ședinței, grupul s-a dispersat.
解体	a se destrăma	Acea alianță s-a destrămat în cele din urmă.
借鉴	a învăța din	Putem învăța din experiența străină.
借助	cu ajutorul	El a găsit traseul cu ajutorul unei hărți.
戒备	alertă	Zona de frontieră rămâne în alertă ridicată.
界限	limite	Munca și viața au nevoie de limite clare.
津津有味	cu mare interes	Copiii au ascultat povestea cu mare interes.
金融	financiar	Piața financiară a fluctuat mult astăzi.
紧迫	urgent	Timpul este urgent și trebuie să acționăm imediat.
锦上添花	cireașa de pe tort	Acest cadou a fost cu adevărat cireașa de pe tort.
晋升	a promova	El a fost promovat manager de departament anul trecut.
浸泡	a înmuia	Fasolea trebuie înmuiată peste noapte.
近来	în ultima vreme	Vremea s-a schimbat mult în ultima vreme.
进而	apoi	Mai întâi înțelege nevoile, apoi formulează un plan.
进攻	a ataca	Echipa și-a întărit atacul în a doua repriză.
进化	evoluție	Organismele evoluează odată cu mediul lor.
进展	a progresa	Proiectul progresează în prezent fără probleme.
兢兢业业	conștiincios	El a lucrat conștiincios timp de treizeci de ani.
惊动	a alarma	Zgomotul puternic i-a alarmat pe locuitorii din apropiere.
惊奇	uimire	Copiii au privit spectacolul de magie cu uimire.
惊讶	a surprinde	Răspunsul lui m-a surprins.
精打细算	a gestiona cu grijă	Ea gestionează mereu cu grijă cheltuielile gospodăriei.
精华	esență	Acest articol rezumă esența teoriei.
精简	a eficientiza	Compania a decis să eficientizeze managementul.
精密	precis	Acest instrument este foarte precis.
精确	exact	Datele trebuie să fie exacte până la două zecimale.
精通	a stăpâni bine	El stăpânește bine trei limbi străine.
精心	cu grijă	Mama a pregătit cina cu grijă.
精益求精	a tinde spre perfecțiune	Meșteșugarii excelenți tind mereu spre perfecțiune.
精致	rafinat	Acest cadou este ambalat foarte rafinat.
经费	fonduri	Fondurile de cercetare au fost deja aprobate.
经纬	longitudine și latitudine	Harta marchează liniile de longitudine și latitudine.
茎	o tulpină	Tulpina unei plante îi susține frunzele.
井	o fântână	La intrarea în sat este o fântână veche.
警告	a avertiza	Profesorul i-a avertizat pe elevi să nu copieze.
警惕	a fi vigilent	Trebuie să fim vigilenți față de fraudele online.
颈椎	coloană cervicală	Privitul în jos pentru perioade lungi poate dăuna coloanei cervicale.
境界	un nivel	Pictura lui a atins un nivel nou.
敬礼	a saluta militar	Soldatul a salutat militar drapelul național.
敬业	dedicat muncii	Ea lucrează serios și este foarte dedicată muncii.
竞赛	o competiție	Școala a organizat o competiție de matematică.
竞选	a candida	El se pregătește să candideze la funcția de primar.
镜头	un obiectiv	Fotograful a reglat obiectivul camerei.
纠纷	un litigiu	Cele două părți au rezolvat litigiul prin mediere.
纠正	a corecta	Profesorul a corectat la timp greșeala de pronunție.
酒精	alcool	Medicul a dezinfectat rana cu alcool.
就近	în apropiere	Elevii pot merge la școală în apropiere.
就业	ocuparea forței de muncă	Guvernul a lansat politici pentru a promova ocuparea forței de muncă.
就职	a prelua funcția	Noul manager va prelua oficial funcția săptămâna viitoare.
救济	ajutor de urgență	Sinistrații au primit ajutor de urgență la timp.
居民	un locuitor	Locuitorii din apropiere se opun poluării fonice.
居住	a locui	Ei locuiesc aici de zece ani.
拘留	a reține	Poliția l-a reținut pe suspect conform legii.
拘束	a se simți stânjenit	În fața prietenilor nu trebuie să te simți stânjenit.
鞠躬	a se înclina	Actorul s-a înclinat în fața publicului pentru a mulțumi.
局部	local	Medicul a făcut doar anestezie locală.
局面	o situație	Negocierile au îmbunătățit situația tensionată.
局势	o situație	Situația internațională rămâne complexă.
局限	o limitare	Această metodă are limitări evidente.
举动	un gest	Gestul lui i-a emoționat pe toți.
举世瞩目	remarcabil pe plan mondial	Acest proiect a obținut realizări remarcabile pe plan mondial.
举足轻重	decisiv	Această companie joacă un rol decisiv în industrie.
咀嚼	a mesteca	Trebuie să mesteci încet când mănânci.
沮丧	descurajat	După înfrângerea din meci, el era foarte descurajat.
剧本	un scenariu	Regizorul modifică scenariul.
剧烈	intens	Pământul a suferit o mișcare intensă.
据悉	se pare că	Se pare că ședința va fi amânată până săptămâna viitoare.
聚精会神	a se concentra	Copiii ascultau lecția concentrați.
卷	a rula	El a rulat harta și a pus-o în geantă.
倔强	încăpățânat	Acest copil are un caracter încăpățânat.
决策	o decizie strategică	Conducerea discută o decizie strategică importantă.
绝望	disperare	După eșec, el a simțit pentru o vreme disperare.
觉悟	conștientizare	Această experiență i-a crescut conștientizarea.
觉醒	a se trezi	Conștiința publică pentru mediu se trezește treptat.
军队	armata	Armata a ajuns rapid în zona dezastrului.
君子	un om nobil	Un om nobil trebuie să fie consecvent în vorbe și fapte.
卡通	desen animat	Copilului îi place să vadă filme de desen animat.
开采	a exploata	Această companie este responsabilă de exploatarea minereurilor.
开除	a exmatricula	Școala a decis să îl exmatriculeze pe elevul care a trișat.
开阔	larg	De pe vârful muntelui, priveliștea este foarte largă.
开朗	deschis	Ea are o fire deschisă și mulți prieteni.
开明	cu mintea deschisă	Părinții au o atitudine cu mintea deschisă.
开辟	a deschide	Orașul a deschis o nouă linie de autobuz.
开拓	a dezvolta	Compania plănuiește să dezvolte piețe externe.
开展	a desfășura	Școala a desfășurat activități de educație pentru siguranță.
开支	cheltuieli	Cheltuielile lunare ale familiei au crescut.
刊登	a publica	Ziarul i-a publicat articolul.
刊物	o publicație	Această publicație apare o dată pe lună.
勘探	prospecțiune	Echipa de ingineri face prospecțiuni pentru surse de apă subterană.
侃侃而谈	a vorbi fluent și sigur	El a vorbit fluent și sigur la ședință.
砍伐	a tăia	Este interzisă tăierea arbitrară a pădurilor.
看待	a privi	Trebuie să privim această problemă în mod obiectiv.
慷慨	generos	El a donat generos premiul.
抗议	un protest	Locuitorii au protestat împotriva construirii noii fabrici.
考察	a inspecta	Experții au mers la fața locului să inspecteze mediul.
考古	arheologie	Echipa de arheologie a descoperit un mormânt antic.
考核	a evalua	Compania evaluează anual performanța angajaților.
考验	a pune la încercare	Această criză a pus la încercare capacitatea echipei.
靠拢	a se apropia	Membrii echipei s-au apropiat de centru.
磕	a se lovi	El s-a lovit din greșeală de colțul mesei.
科目	o materie	Matematica este materia lui preferată.
可观	considerabil	Această investiție a adus câștiguri considerabile.
可口	gustos	Mâncarea de la acest restaurant este foarte gustoasă.
可恶	detestabil	Acest comportament înșelător este detestabil.
可行	fezabil	Acest plan este în mare parte fezabil.
渴望	a tânji	Copiii tânjesc după mai multe oportunități.
克制	a-și stăpâni	Trebuie să îți stăpânești emoțiile în timpul unei dispute.
刻不容缓	urgent	Protejarea surselor de apă este urgentă.
客户	un client	Clientul este foarte mulțumit de serviciu.
课题	o temă	Această temă merită studiată în profunzime.
啃	a roade	Copilul roade un știulete de porumb.
恳切	sincer	El i-a rugat sincer pe toți să ajute.
坑	o groapă	Lângă drum este o groapă adâncă.
空洞	gol de conținut	Acest raport este gol de conținut.
空前绝后	fără precedent	Această reprezentație poate fi numită fără precedent.
空想	o fantezie	Nu putem rezolva problema doar prin fantezie.
空虚	goliciune	După perioada aglomerată, el a simțit goliciune.
孔	o gaură	În perete este o gaură mică.
恐怖	înfricoșător	Atmosfera acelui film este înfricoșătoare.
恐吓	a intimida	Cealaltă parte a folosit amenințări pentru a intimida martorul.
恐惧	frică	Întunericul îi provoacă frică copilului.
空白	un spațiu gol	Vă rog să semnați în spațiul gol.
空隙	un spațiu	Există un spațiu între ușă și podea.
口气	un ton	Tonul lui când vorbea era foarte dur.
口腔	cavitatea bucală	Medicul i-a examinat cavitatea bucală.
口头	verbal	Ei au doar un acord verbal.
口音	un accent	Mandarina lui are puțin accent.
扣	a prinde	Te rog să prinzi centura de siguranță.
哭泣	a plânge	Fata s-a ascuns într-un colț și plângea.
枯萎	a se ofili	Lipsa apei a făcut florile să se ofilească.
枯燥	plictisitor	Această muncă este puțin plictisitoare.
苦尽甘来	după greutăți vine binele	După ani de perseverență, după greutăți vine binele.
苦涩	amar	Această infuzie medicinală are gust amar.
挎	a purta pe braț	Ea a ieșit purtând o geantă de pânză pe braț.
跨	a păși peste	El a pășit peste șanț și a continuat înainte.
快活	vesel	Copiii se jucau veseli pe iarbă.
宽敞	spațios	Această sală de clasă este luminoasă și spațioasă.
宽容	toleranță	Societatea are nevoie de mai multă înțelegere și toleranță.
款待	a ospăta	Gazda i-a ospătat cu căldură pe oaspeți.
款式	un stil	Stilul acestei haine este foarte nou.
筐	un coș	El s-a întors acasă ducând în spate un coș cu mere.
况且	în plus	Drumul este lung și, în plus, se întunecă.
旷课	a chiuli	Elevii care chiulesc fără motiv vor fi consemnați.
框架	un cadru	Raportul trebuie să stabilească mai întâi cadrul.
矿产	resurse minerale	Această regiune este bogată în resurse minerale.
亏待	a trata nedrept	Compania nu îi va trata nedrept pe angajații care muncesc serios.
亏损	pierdere	Fabrica a înregistrat pierderi grave anul acesta.
捆绑	a lega	Vă rog să legați bine aceste cutii.
扩充	a extinde	Școala plănuiește să extindă colecția bibliotecii.
扩散	a se răspândi	Zvonul s-a răspândit rapid pe internet.
扩张	expansiune	Compania își extinde afacerile cu prudență.
啦	particulă finală	Nu-ți face griji, totul va fi bine.
喇叭	un claxon	Claxonul mașinii a sunat brusc.
蜡烛	o lumânare	Pe tortul de ziua de naștere erau lumânări.
来历	originea	Originea acestui obiect cultural este neclară.
来源	o sursă	Știrile trebuie să indice sursa informației.
栏目	o rubrică	Această rubrică este difuzată o dată pe săptămână.
懒惰	leneș	Lenea poate afecta rezultatele la învățătură.
狼狈	într-o stare jalnică	După ploaie era ud din cap până în picioare și arăta într-o stare jalnică.
狼吞虎咽	a înfuleca	Era foarte flămând și înfuleca mâncarea.
捞	a scoate din apă	Pescarul a scos o plasă din râu.
唠叨	a cicăli	Mama cicălește mereu pentru lucruri mărunte.
牢固	solid	Structura acestui pod este foarte solidă.
牢骚	nemulțumire	El are multe nemulțumiri, dar nu vrea să se schimbe.
乐趣	plăcere	Cititul îi aduce multă plăcere.
乐意	a fi dispus	Sunt foarte dispus să te ajut să îți modifici CV-ul.
雷达	radar	Radarul a descoperit avionul din depărtare.
类似	asemănător	Probleme asemănătoare au apărut și înainte.
冷酷	rece	Vocea lui părea foarte rece.
冷落	a trata cu răceală	Noul angajat simțea că este tratat cu răceală.
冷却	a se răci	Mașina trebuie să se răcească înainte de reparație.
愣	a încremeni	Când a auzit vestea, a încremenit.
黎明	zori	În zori, orașul s-a trezit treptat.
理睬	a băga în seamă	El era supărat și nu băga pe nimeni în seamă.
理所当然	de la sine înțeles	Nu considera ajutorul altora de la sine înțeles.
理直气壮	cu convingere	Dovezile erau suficiente, iar el a vorbit cu convingere.
理智	rațiune	Într-un conflict trebuie să îți păstrezi rațiunea.
礼节	etichetă	Culturi diferite au reguli diferite de etichetă.
礼尚往来	a răspunde politeții cu politețe	Între vecini se obișnuiește să răspunzi politeții cu politețe.
里程碑	o piatră de hotar	Acest succes este o piatră de hotar pentru proiect.
例外	o excepție	Toată lumea trebuie să participe, fără excepție.
利害	interese	Aceasta implică interesele ambelor părți.
力求	a se strădui	Ne străduim să reducem greșelile la minimum.
力所能及	în limita posibilităților	Te rog să faci lucruri în limita posibilităților tale.
力争	a se lupta pentru	Echipa se luptă să termine sarcina înainte de termen.
历代	generații succesive	Generații succesive de savanți au studiat această problemă.
历来	întotdeauna	Acest oraș a acordat întotdeauna importanță educației.
立场	o poziție	El și-a exprimat poziția la ședință.
立方	cub	Acest rezervor are o capacitate de trei metri cubi.
立交桥	un pasaj rutier	Acest pasaj rutier a redus aglomerația traficului.
立体	tridimensional	Acest tablou are o puternică senzație tridimensională.
立足	a se stabili	O întreprindere trebuie să se stabilească pe piața locală.
粒	un bob	Pe masă sunt câteva boabe de orez.
廉洁	integru	Funcționarii publici trebuie să rămână integri.
联欢	o reuniune festivă	Colegii au organizat o reuniune festivă de Anul Nou.
联络	a contacta	Te rog să contactezi clientul cât mai curând.
联盟	o alianță	Câteva țări au format o alianță comercială.
联想	a asocia	Această fotografie mă face să asociez imaginea cu copilăria.
连年	an după an	Această regiune suferă inundații an după an.
连锁	lanț	Această companie operează un lanț de supermarketuri.
连同	împreună cu	Te rog să trimiți factura împreună cu contractul.
良心	conștiință	Un om trebuie să fie împăcat cu propria conștiință.
晾	a usca la aer	Ea a pus hainele la uscat pe balcon.
谅解	înțelegere	Sper că poți arăta înțelegere față de dificultățile noastre.
辽阔	vast	Pajiștea este vastă și nu i se vede capătul.
列举	a enumera	Profesorul a enumerat trei exemple.
临床	clinic	Acest medicament este în studiu clinic.
淋	a se uda	Nu sta prea mult să te uzi în ploaie.
吝啬	zgârcit	El nu este niciodată zgârcit cu prietenii.
伶俐	isteț	Această fetiță este deșteaptă și isteață.
凌晨	în zori	Avionul decolează la trei dimineața, în zori.
灵感	inspirație	Muzica i-a dat inspirație creativă.
灵魂	suflet	Libertatea este sufletul acestei opere.
灵敏	sensibil	Acest instrument reacționează foarte sensibil.
零星	răzleț	Pe cerul nopții se vedeau lumini răzlețe.
领会	a înțelege	El a înțeles repede sensul profesorului.
领事馆	un consulat	El a mers la consulat pentru viză.
领土	teritoriu	Fiecare țară prețuiește integritatea teritoriului său.
领悟	a pricepe	După eșec, el a priceput ce înseamnă responsabilitatea.
领先	a conduce	Tehnologia lor conduce în prezent sectorul.
领袖	un lider	Acest lider este profund respectat de popor.
溜	a se strecura	Câinele mic s-a strecurat afară prin crăpătura ușii.
流浪	a hoinări	În tinerețe, el a hoinărit prin multe locuri.
流露	a arăta	Pe fața ei se arăta bucuria.
流氓	un huligan	Poliția a prins câțiva huligani de stradă.
流通	a circula	Această monedă a circulat cândva local.
留恋	a regreta plecarea	La absolvire, tuturor le părea rău să plece din campus.
留念	a păstra ca amintire	Am făcut o fotografie la poarta școlii ca amintire.
留神	a fi atent	Trebuie să fii atent când traversezi strada.
聋哑	surd și mut	Școala oferă ajutor copiilor surzi și muți.
隆重	solen	O conferință solemnă a avut loc în sală.
垄断	a monopoliza	Monopolizarea poate dăuna concurenței de pe piață.
笼罩	a învălui	Ceața deasă învăluia întregul sat.
搂	a îmbrățișa	Mama a îmbrățișat ușor copilul.
炉灶	o sobă	Soba din bucătărie trebuie curățată.
轮船	un vapor	Vaporul a plecat încet din port.
轮廓	un contur	Conturul vârfurilor din depărtare era foarte clar.
轮胎	o anvelopă	Anvelopele mașinii trebuie schimbate.
论坛	un forum	Experții au ținut discursuri la forum.
论证	a demonstra	Raportul trebuie să demonstreze mai departe punctul de vedere.
啰唆	a bate la cap	Nu mai bate la cap, spune direct ideea principală.
络绎不绝	în flux neîntrerupt	Turiștii au venit în flux neîntrerupt în orașul vechi.
落成	a inaugura construcția	Noua sală de sport va fi inaugurată oficial mâine.
落实	a implementa	Ședința a cerut implementarea noii politici cât mai repede.
屡次	în repetate rânduri	El le-a amintit în repetate rânduri tuturor să fie atenți la siguranță.
履行	a îndeplini	Ambele părți trebuie să își îndeplinească obligațiile contractuale.
掠夺	a jefui	Războiul a dus la jefuirea resurselor.
嘛	particulă modală	Această chestiune este foarte simplă.
麻痹	paralizie	Succesele îndelungate pot face ușor oamenii neglijenți.
麻木	amorțit	Frigul i-a amorțit degetele.
麻醉	anestezie	Înainte de operație, medicul i-a făcut pacientului anestezie.
码头	un debarcader	Vasul de marfă a acostat lângă debarcader.
蚂蚁	o furnică	Furnicile transportă mâncare.
埋伏	o ambuscadă	Soldații stăteau la ambuscadă în vale.
埋没	a îngropa în anonimat	Nu lăsa talentele să fie îngropate în anonimat.
埋葬	a îngropa	Sătenii l-au îngropat pe bătrân pe versantul dealului.
脉搏	un puls	Asistenta îi măsoară pulsul.
迈	a păși	El a pășit cu pași mari spre ușă.
埋怨	a se plânge	Nu te plânge mereu de alții.
慢性	cronic	Bolile cronice necesită tratament pe termen lung.
漫长	îndelungat	Ei au trecut printr-o așteptare îndelungată.
漫画	benzi desenate	Această carte de benzi desenate este foarte populară printre tineri.
蔓延	a se extinde	Focul s-a extins rapid spre adâncul pădurii.
忙碌	ocupat	Sfârșitul anului este cea mai ocupată perioadă a companiei.
盲目	orb	Investițiile nu trebuie să urmeze orbește tendința.
茫茫	nesfârșit	Nava a dispărut în marea nesfârșită.
茫然	derutat	După explicații, el avea încă o expresie derutată.
冒充	a se da drept	Cineva s-a dat drept polițist ca să obțină bani prin înșelăciune.
冒犯	a jigni	Cuvintele mele nu au avut intenția să te jignească.
茂盛	luxuriant	Copacii din curte cresc luxuriant.
媒介	un mediu	Internetul este un mediu important de informare.
枚	coeficient pentru obiecte mici	El a colecționat câteva monede comemorative.
美观	estetic	Acest design este atât practic, cât și estetic.
美满	fericit	Ei duc o viață fericită.
美妙	minunat	Concertul a adus o experiență minunată.
萌芽	a încolți	Idei noi au început să încolțească.
猛烈	violent	Furtuna a venit foarte violent.
眯	a miji	Soarele era prea puternic, iar el și-a mijit ochii.
弥补	a compensa	Scuzele nu pot compensa complet pierderea.
弥漫	a umple aerul	Mirosul florilor umplea aerul din curte.
谜语	o ghicitoare	Copiilor le place să ghicească ghicitori.
迷惑	a deruta	Datele complexe l-au derutat.
迷人	fermecător	Peisajul nocturn de la mare este foarte fermecător.
迷信	superstiție	Educația științifică poate reduce superstițiile.
密度	densitate	Densitatea acestui metal este foarte mare.
密封	a sigila	După deschidere, vă rog să sigilați din nou punga.
棉花	bumbac	Fermierii culeg bumbac.
免得	ca să nu	Pleacă mai devreme, ca să nu întârzii.
免疫	imunitate	Acest vaccin poate crește imunitatea.
勉励	a încuraja	Profesorul îi încurajează adesea pe elevi să continue să studieze.
勉强	cu greu	El a acceptat cu greu acest aranjament.
面貌	înfățișare	Înfățișarea orașului s-a schimbat enorm.
面子	prestigiu	El nu vrea să își piardă prestigiul în public.
描绘	a descrie	Romanul descrie viața de la țară.
瞄准	a ținti	Trăgătorul a țintit obiectivul.
渺小	neînsemnat	Omul pare neînsemnat în fața naturii.
藐视	a disprețui	Nu putem disprețui niciun adversar.
灭亡	a pieri	Această dinastie a ajuns în cele din urmă să piară.
蔑视	dispreț	Tonul lui era plin de dispreț.
民间	popular	Arta populară trebuie protejată.
民主	democrație	Ședința a folosit votul democratic.
敏捷	agil	Sportivul se mișcă foarte agil.
敏锐	ascuțit	Jurnaliștii au nevoie de o observație ascuțită.
名次	un loc în clasament	Ea a obținut un loc bun în clasament la concurs.
名额	o cotă	Acest proiect are doar zece locuri disponibile.
名副其实	autentic	El este un expert autentic.
名誉	reputație	Această chestiune a afectat reputația companiei.
明明	în mod evident	El știa în mod evident răspunsul, dar nu voia să îl spună.
明智	înțelept	Amânarea deciziei este o alegere înțeleaptă.
命名	a denumi	Oamenii de știință au denumit noua specie.
摸索	a explora	Echipa încă explorează metode noi.
摩擦	fricțiune	Între cele două țări au apărut fricțiuni comerciale.
模范	un model	El este un model pentru toți elevii școlii.
模式	un model	Acest model de afaceri este foarte reușit.
模型	o machetă	Inginerul a făcut o machetă a podului.
磨合	a se roda	Noua echipă are nevoie de timp să se rodeze.
膜	o membrană	Această membrană poate filtra impuritățile.
魔鬼	un diavol	Diavolul din poveste era foarte viclean.
魔术	magie	Copiilor le place să vadă spectacole de magie.
抹杀	a șterge	Nu putem șterge contribuția lui.
墨水儿	cerneală	Cerneala din stilou este aproape terminată.
莫名其妙	de neînțeles	Reacția lui a fost de neînțeles.
默默	în tăcere	Ea a ajutat mulți oameni în tăcere.
谋求	a căuta	Întreprinderea caută noi oportunități de dezvoltare.
模样	înfățișare	Înfățișarea lui s-a schimbat mult acum.
母语	limba maternă	Copilul învață limba maternă de mic.
沐浴	a se scălda	Satul de dimineață se scălda în lumina soarelui.
目睹	a fi martor	Mulți oameni au fost martori la acest accident.
目光	privire	Privirile tuturor erau concentrate pe scenă.
拿手	la care se pricepe	Peștele înăbușit este felul la care el se pricepe cel mai bine.
纳闷儿	nedumerit	M-am tot întrebat nedumerit de ce a întârziat.
耐用	durabil	Această pereche de pantofi este foarte durabilă.
南辕北辙	contrar scopului	Metoda lui este contrară scopului.
难得	rar	Aceasta este o ocazie rară.
难堪	jenant	Această întrebare l-a pus într-o situație jenantă.
难能可贵	foarte prețios	A rămâne cinstit sub presiune este foarte prețios.
恼火	enervat	Echipamentul s-a stricat din nou, iar el era foarte enervat.
内涵	conținut profund	Acest cuvânt are un conținut cultural profund.
内幕	dedesubturi	Jurnalistul a încercat să investigheze dedesubturile incidentului.
内在	interior	El pune mai mult preț pe calitățile interioare ale omului.
能量	energie	Acest mic dejun îmi dă multă energie.
拟定	a redacta	Secretara redactează programul ședinței.
逆行	a circula pe contrasens	Acea mașină circula pe contrasens pe strada cu sens unic.
年度	anual	Compania a publicat raportul anual.
捏	a ciupi	Ea a ciupit ușor obrazul copilului.
凝固	a se solidifica	După răcire, ceara se va solidifica încet.
凝聚	a uni	Un obiectiv comun poate uni forța echipei.
凝视	a privi fix	El privea fix luminile din depărtare.
拧	a răsuci	El m-a ciupit cu mâna.
宁肯	mai degrabă	Ea ar prefera mai degrabă să eșueze decât să renunțe la principii.
宁愿	a prefera	Aș prefera să merg pe jos decât să aștept autobuzul.
扭转	a inversa	Noua politică a inversat situația pierderilor.
纽扣儿	un nasture	Cămășii acesteia i-a căzut un nasture.
农历	calendarul lunar	Anul Nou Chinezesc este sărbătorit după calendarul lunar.
浓厚	puternic	El are un interes puternic pentru istorie.
奴隶	un sclav	În societatea antică exista sistemul sclaviei.
挪	a muta	Te rog să muți scaunul puțin într-o parte.
虐待	a abuza	Legea interzice abuzarea copiilor.
哦	oh	Oh, în sfârșit am înțeles.
殴打	a bate	Poliția l-a arestat pe omul care a bătut trecătorii.
偶像	un idol	Ea îl consideră pe acel scriitor un idol.
呕吐	a vomita	După ce a mâncat ceva stricat, a început să vomite.
趴	a sta culcat pe burtă	Pisicuța stă culcată pe pervaz și doarme.
徘徊	a ezita	El a ezitat mult timp la ușă.
排斥	a respinge	Noul material respinge umezeala.
排除	a exclude	Medicul a exclus mai întâi bolile grave.
排放	emisie	Fabrica trebuie să reducă emisiile de gaze reziduale.
排练	a repeta	Actorii repetă noul program.
派别	o facțiune	În interiorul acestei organizații există facțiuni diferite.
派遣	a trimite	Compania a trimis ingineri la fața locului.
攀登	a urca	Ei plănuiesc să urce muntele înzăpezit mâine.
盘旋	a se roti	Avionul se rotea deasupra aeroportului.
判决	o hotărâre	Judecătoria a anunțat astăzi hotărârea.
畔	mal	Copiii se plimbau pe malul lacului.
庞大	uriaș	Acest proiect necesită fonduri uriașe.
抛弃	a abandona	El nu vrea să își abandoneze visul.
泡沫	spumă	În pahar este multă spumă albă.
培育	a cultiva	Școala se străduiește să cultive simțul responsabilității la elevi.
配备	a echipa	Mașina nouă este echipată cu sistem de siguranță.
配偶	un soț	Formularul de cerere cere informații despre soț.
配套	complementar	Comunitatea are facilități complementare complete.
盆地	un bazin	Acest bazin este foarte fierbinte vara.
烹饪	gătit	Gătitul cere răbdare și experiență.
捧	a ține în palme	Ea ținea în palme un buchet de flori.
劈	a despica	Muncitorul despică lemne cu toporul.
批发	vânzare en-gros	Acest magazin vinde în principal fructe en-gros.
批判	a critica	Articolul a criticat această opinie greșită.
疲惫	epuizat	După călătoria lungă, toți erau epuizați.
疲倦	obosit	Munca neîntreruptă l-a făcut să se simtă obosit.
皮革	piele	Această geantă este făcută din piele.
屁股	fund	Copilul a căzut și îl doare fundul.
譬如	de exemplu	De exemplu, putem face mai întâi un mic test.
偏差	o abatere	Rezultatele experimentului au o abatere evidentă.
偏见	prejudecată	Ar trebui să evităm prejudecățile etnice.
偏僻	îndepărtat	Acest sat este într-un loc foarte îndepărtat.
偏偏	tocmai	Din păcate, cu cât mă grăbeam mai mult, cu atât mașina mergea tocmai mai încet.
片断	un fragment	În film sunt câteva fragmente excelente.
片刻	o clipă	Te rog să mă aștepți aici o clipă.
漂浮	a pluti	Frunzele căzute plutesc pe suprafața apei.
飘扬	a flutura	Drapelul flutura în vânt.
撇	a lăsa deoparte	El a lăsat deoparte vechiul plan.
拼搏	a lupta	Tinerii trebuie să lupte pentru idealurile lor.
拼命	cu toate puterile	El alerga cu toate puterile după grupul din față.
贫乏	sărac	Conținutul acestui articol este destul de sărac.
贫困	sărăcie	Guvernul ajută familiile aflate în sărăcie.
频繁	frecvent	Recent, accidentele rutiere sunt frecvente aici.
频率	frecvență	Frecvența acestui sunet este foarte înaltă.
品尝	a gusta	Oaspeții gustă mâncarea locală.
品德	caracter moral	Școala pune accent pe educația caracterului moral al elevilor.
品质	calitate	Calitatea produselor acestei companii este stabilă.
品种	soi	Pe piață sunt multe soiuri de fructe.
屏幕	un ecran	Te rog să reduci luminozitatea ecranului.
屏障	o barieră	Pădurea este o barieră importantă împotriva vântului.
平凡	obișnuit	El a lucrat mulți ani într-un post obișnuit.
平面	plan	Designerul a desenat planul casei.
平坦	neted	Acest drum este foarte neted.
平行	paralel	Aceste două linii sunt paralele între ele.
平庸	mediocru	El nu vrea să ducă o viață mediocră.
平原	o câmpie	Trenul a traversat câmpia întinsă.
评估	a evalua	Experții evaluează riscurile proiectului.
评论	a comenta	Cititorii pot comenta sub articol.
坡	o pantă	Mașina a urcat încet panta.
泼	a vărsa	Nu vărsa apa pe jos.
颇	destul	Acest rezultat este destul de surprinzător.
破例	a face o excepție	Managerul a făcut o excepție și i-a aprobat cererea.
迫不及待	nerăbdător	Copiii au deschis cadourile nerăbdători.
迫害	a persecuta	În istorie, mulți oameni au suferit persecuții.
魄力	curaj	Liderii au nevoie de curaj în luarea deciziilor.
扑	a se arunca	Copilul s-a aruncat în brațele mamei.
铺	a întinde	Muncitorii întind un covor nou.
普及	a se răspândi	Internetul s-a răspândit deja în orașe.
朴实	simplu	Limbajul lui este simplu și sincer.
朴素	sobru	Ea preferă un stil de viață sobru.
瀑布	o cascadă	Turiștii făceau fotografii lângă cascadă.
凄凉	pustiu	Satul de munte pare foarte pustiu iarna.
期望	așteptare	Părinții au așteptări mari de la copii.
期限	termen	Termenul de înscriere este vinerea aceasta.
欺负	a intimida	Copiii mai mari nu ar trebui să îi intimideze pe cei mici.
欺骗	a înșela	Publicitatea falsă i-a înșelat pe consumatori.
奇妙	minunat	Natura are multe fenomene minunate.
旗袍	rochie qipao	Ea a purtat o rochie qipao roșie la petrecere.
旗帜	un steag	În piață fluturau steaguri vii colorate.
歧视	discriminare	Legea interzice orice formă de discriminare.
