simplified	BN	example_BN
馒头	ভাপে সেদ্ধ বান	সকালের নাশতায় আমি একটি ভাপে সেদ্ধ বান খেয়েছি।
满足	পূরণ করা; সন্তুষ্ট করা	এই উত্তরটি প্রয়োজন পূরণ করে না।
毛病	সমস্যা; ত্রুটি	এই কম্পিউটারে একটু সমস্যা আছে।
矛盾	বিরোধ; দ্বন্দ্ব	তাদের মধ্যে কিছু বিরোধ আছে।
冒险	ঝুঁকি নেওয়া	একলা সেখানে যাওয়া খুব ঝুঁকিপূর্ণ।
贸易	বাণিজ্য	আন্তর্জাতিক বাণিজ্য দ্রুত উন্নত হচ্ছে।
媒体	মাধ্যম; সংবাদমাধ্যম	সংবাদমাধ্যম ঘটনাটি প্রতিবেদন করেছে।
煤炭	কয়লা	এই অঞ্চলে কয়লা উৎপাদন হয়।
眉毛	ভ্রু	তার ভ্রু ঘন।
美术	চারুকলা; শিল্প	আমার ছোট বোন চারুকলা পছন্দ করে।
魅力	আকর্ষণ	এই শহরের অনেক আকর্ষণ আছে।
梦想	স্বপ্ন	তার স্বপ্ন ডাক্তার হওয়া।
密切	ঘনিষ্ঠ	আমরা ঘনিষ্ঠ যোগাযোগ রাখি।
秘密	গোপন কথা	এটি আমাদের গোপন কথা।
秘书	সচিব	সচিব সভার সময় ঠিক করেছেন।
蜜蜂	মৌমাছি	ফুলের ঝোপে অনেক মৌমাছি আছে।
面对	মুখোমুখি হওয়া	আমাদের সাহসের সঙ্গে অসুবিধার মুখোমুখি হতে হবে।
面积	আয়তন	এই ঘরের আয়তন বড় নয়।
面临	সম্মুখীন হওয়া	কোম্পানি নতুন চ্যালেঞ্জের সম্মুখীন।
描写	বর্ণনা করা	লেখক গ্রামীণ জীবন বর্ণনা করেছেন।
苗条	ছিপছিপে	তার গড়ন খুব ছিপছিপে।
敏感	সংবেদনশীল	এই বিষয়টি তুলনামূলকভাবে সংবেদনশীল।
名牌	বিখ্যাত ব্র্যান্ড	সে একটি বিখ্যাত ব্র্যান্ডের ঘড়ি কিনেছে।
名片	ভিজিটিং কার্ড	দয়া করে আমাকে একটি ভিজিটিং কার্ড দিন।
名胜古迹	দর্শনীয় ও ঐতিহাসিক স্থান	বেইজিংয়ে অনেক দর্শনীয় ও ঐতিহাসিক স্থান আছে।
明确	স্পষ্ট করা; পরিষ্কার	শিক্ষক প্রয়োজনীয়তা স্পষ্ট করে বুঝিয়েছেন।
明显	স্পষ্ট; লক্ষণীয়	তার উন্নতি খুব স্পষ্ট।
明星	তারকা	সে চলচ্চিত্র তারকা হতে চায়।
命令	আদেশ	সৈন্যদের আদেশ মানতে হয়।
命运	ভাগ্য	সে বিশ্বাস করে ভাগ্য বদলানো যায়।
摸	ছোঁয়া	দয়া করে এই ছবিটি ছুঁবেন না।
摩托车	মোটরসাইকেল	সে মোটরসাইকেলে করে কাজে যায়।
模仿	অনুকরণ করা	শিশুরা বড়দের কথা অনুকরণ করতে পছন্দ করে।
模糊	অস্পষ্ট	এই ছবিটি একটু অস্পষ্ট।
模特	মডেল	সে একজন পোশাক মডেল।
陌生	অপরিচিত	এই শহর আমার কাছে খুব অপরিচিত।
某	কোনো এক; নির্দিষ্ট এক	কোনো এক শিক্ষক আমাকে ফোন করেছিলেন।
木头	কাঠ	এই টেবিলটি কাঠ দিয়ে তৈরি।
目标	লক্ষ্য	আমার লক্ষ্য পরীক্ষায় পাস করা।
目录	সূচিপত্র	দয়া করে আগে বইয়ের সামনের সূচিপত্র দেখুন।
目前	বর্তমানে	বর্তমানে পরিস্থিতি তুলনামূলকভাবে স্থিতিশীল।
哪怕	যদিও; এমনকি	যদিও সে খুব ব্যস্ত, তবু পড়াশোনা চালিয়ে যায়।
难怪	তাই তো; আশ্চর্য নয়	তাই তো তুমি আজ এত খুশি।
难免	এড়ানো কঠিন	প্রথমবার করলে ভুল হওয়া এড়ানো কঠিন।
脑袋	মাথা	তার মাথায় একটু ব্যথা করছে।
内部	অভ্যন্তরীণ	এটি কোম্পানির অভ্যন্তরীণ উপকরণ।
内科	অভ্যন্তরীণ চিকিৎসা বিভাগ	সে আজ অভ্যন্তরীণ চিকিৎসা বিভাগে ডাক্তার দেখাতে যাচ্ছে।
嫩	নরম; কোমল	এই মাংসটি খুব নরম।
能干	সক্ষম; দক্ষ	সে খুব দক্ষ মানুষ।
能源	জ্বালানি; শক্তির উৎস	সৌরশক্তি এক ধরনের পরিষ্কার জ্বালানি।
嗯	হুঁ; আচ্ছা	হুঁ, আমি বুঝেছি।
年代	যুগ; দশক	এই ছবিটি আশির দশকে তোলা।
年纪	বয়স	তার বয়স বেশি নয়, কিন্তু অভিজ্ঞতা অনেক।
念	পড়া; উচ্চারণ করা	দয়া করে পাঠটি একবার পড়ে শোনাও।
宁可	বরং; পছন্দ করা	বাসের জন্য অপেক্ষা করার চেয়ে আমি বরং হাঁটব।
牛仔裤	জিন্স	সে একটি জিন্স পরেছে।
农村	গ্রামাঞ্চল	সে গ্রামাঞ্চলে বড় হয়েছে।
农民	কৃষক	কৃষকেরা মাঠে কাজ করছেন।
农业	কৃষি	এই অঞ্চলের জন্য কৃষি খুব গুরুত্বপূর্ণ।
浓	ঘন; কড়া	এই কফিটি খুব কড়া।
女士	ভদ্রমহিলা	ওই ভদ্রমহিলা বাসের জন্য অপেক্ষা করছেন।
欧洲	ইউরোপ	সে আগামী মাসে ইউরোপে ভ্রমণ করবে।
偶然	হঠাৎ; ঘটনাক্রমে	আমি ঘটনাক্রমে পুরোনো সহপাঠীর সঙ্গে দেখা করেছি।
拍	ছবি তোলা; চাপড়ানো	দয়া করে আমার একটি ছবি তুলে দিন।
派	পাঠানো	কোম্পানি তাকে ব্যবসায়িক সফরে সাংহাই পাঠিয়েছে।
盼望	আশা করা; অপেক্ষায় থাকা	আমি শিগগির তোমার সঙ্গে দেখা করার অপেক্ষায় আছি।
培训	প্রশিক্ষণ	নতুন কর্মীদের প্রশিক্ষণে অংশ নিতে হবে।
培养	গড়ে তোলা; বিকশিত করা	স্কুল শিক্ষার্থীদের দক্ষতা গড়ে তোলাকে গুরুত্ব দেয়।
赔偿	ক্ষতিপূরণ দেওয়া	কোম্পানি ক্ষতির ক্ষতিপূরণ দিতে রাজি হয়েছে।
佩服	মুগ্ধ হওয়া; শ্রদ্ধা করা	আমি তার সাহস দেখে খুব মুগ্ধ।
配合	সহযোগিতা করা	দয়া করে সবাই শিক্ষকের ব্যবস্থার সঙ্গে সহযোগিতা করুন।
盆	গামলা; টব	বারান্দায় একটি ফুলের টব আছে।
碰	ছোঁয়া; ধাক্কা লাগা	সাবধান, গরম পানি ছুঁয়ো না।
批	দল; চালান	এই চালানের মাল আজ এসে পৌঁছেছে।
批准	অনুমোদন করা	ম্যানেজার এই পরিকল্পনা অনুমোদন করেছেন।
披	গায়ে জড়ানো	সে একটি কোট গায়ে জড়িয়েছে।
疲劳	ক্লান্তি	দীর্ঘ সময় কাজ করলে ক্লান্ত লাগে।
匹	ঘোড়ার গণনাবাচক শব্দ	ঘাসের ওপর একটি ঘোড়া আছে।
片	টুকরো; স্লাইস	দয়া করে আমাকে এক টুকরো রুটি দিন।
片面	একপেশে	এই দৃষ্টিভঙ্গি খুব একপেশে।
飘	ভেসে থাকা; উড়ে বেড়ানো	তুষারকণা আকাশে ভেসে বেড়াচ্ছে।
拼音	পিনইন	দয়া করে চীনা অক্ষরের পাশে পিনইন লিখুন।
频道	চ্যানেল	দয়া করে সংবাদ চ্যানেলে বদলান।
凭	ভিত্তিতে; নির্ভর করে	টিকিট থাকলে প্রবেশ করা যায়।
平均	গড়ে	গড়ে প্রত্যেকে দশ ইউয়ান খরচ করেছে।
平	সমতল	এই রাস্তা খুব সমতল।
平安	নিরাপদ; ভালোভাবে	তোমার যাত্রা নিরাপদ হোক।
平常	সাধারণত; স্বাভাবিক	সে সাধারণত খুব কম দেরি করে।
平等	সমতা; সমান	প্রত্যেকের সঙ্গে সমান আচরণ করা উচিত।
平方	বর্গ	এই ঘরটি বিশ বর্গমিটার।
平衡	ভারসাম্য	কাজ ও জীবনের মধ্যে ভারসাম্য দরকার।
平静	শান্ত	হ্রদের পৃষ্ঠ খুব শান্ত।
评价	মূল্যায়ন করা; মূল্যায়ন	শিক্ষক খুব উচ্চ মূল্যায়ন দিয়েছেন।
破产	দেউলিয়া হওয়া	ওই কোম্পানিটি গত বছর দেউলিয়া হয়েছে।
破坏	নষ্ট করা; ক্ষতি করা	দয়া করে সরকারি সম্পত্তি নষ্ট করবেন না।
迫切	জরুরি; অত্যন্ত প্রয়োজনীয়	আমাদের জরুরিভাবে আরও ডাক্তার দরকার।
期待	অপেক্ষায় থাকা; আশা করা	আমি এই ভ্রমণের জন্য খুব অপেক্ষায় আছি।
期间	সময়কালে	সভা চলাকালে দয়া করে ফোন বন্ধ রাখুন।
其余	বাকি; অন্যান্য	বাকি সমস্যাগুলো কাল আলোচনা করা হবে।
奇迹	অলৌকিক ঘটনা	ডাক্তার বলেছেন, এটি একটি অলৌকিক ঘটনা।
企业	উদ্যোগ; কোম্পানি	এই কোম্পানি দ্রুত উন্নত হচ্ছে।
启发	প্রেরণা দেওয়া; অনুপ্রাণিত করা	এই বই আমাকে অনেক অনুপ্রেরণা দিয়েছে।
气氛	পরিবেশ; আবহ	ক্লাসরুমের পরিবেশ খুব স্বস্তিদায়ক।
汽油	পেট্রল	গাড়িতে পেট্রল ভরতে হবে।
签	স্বাক্ষর করা	দয়া করে এখানে আপনার নাম স্বাক্ষর করুন।
谦虚	বিনয়ী	সে খুব ভালো, আবার খুব বিনয়ীও।
前途	ভবিষ্যৎ সম্ভাবনা	এই বিষয়ের ভবিষ্যৎ সম্ভাবনা ভালো।
浅	অগভীর	এই নদী খুব অগভীর।
欠	ধার থাকা; পাওনা থাকা	সে এখনো আমাকে বিশ ইউয়ান ধার আছে।
枪	বন্দুক	পুলিশ কর্মকর্তার হাতে বন্দুক আছে।
墙	দেয়াল	দেয়ালে একটি ছবি ঝুলছে।
强调	জোর দেওয়া	শিক্ষক নিরাপত্তা বিষয়ে জোর দিয়েছেন।
强烈	তীব্র; শক্তিশালী	তার দায়িত্ববোধ খুব তীব্র।
抢	ছিনিয়ে নেওয়া; কাড়াকাড়ি করা	অন্যদের সঙ্গে আসন নিয়ে কাড়াকাড়ি করো না।
悄悄	চুপিচুপি	সে চুপিচুপি ঘরে ঢুকল।
瞧	দেখো	দেখো, বাইরে তুষার পড়ছে।
巧妙	চতুর; কৌশলী	এই পদ্ধতিটি খুব কৌশলী।
切	কাটা	দয়া করে ফলগুলো ছোট টুকরো করে কাটুন।
亲爱	প্রিয়	প্রিয় বন্ধু, তোমাকে ধন্যবাদ।
亲切	স্নেহপূর্ণ; আন্তরিক	শিক্ষক খুব আন্তরিকভাবে কথা বলেন।
亲自	নিজে; ব্যক্তিগতভাবে	ম্যানেজার নিজে অতিথিদের অভ্যর্থনা করেছেন।
勤奋	পরিশ্রমী	পরিশ্রমী মানুষ সহজে সফল হয়।
清淡	হালকা স্বাদের	আমি হালকা স্বাদের খাবার পছন্দ করি।
轻视	অবহেলা করা; হালকা করে দেখা	এই ছোট সমস্যাকে অবহেলা করো না।
轻易	সহজে; হালকাভাবে	সে সহজে হাল ছাড়বে না।
青	নীলচে সবুজ	এই পোশাকটি নীলচে সবুজ।
青春	যৌবন	যৌবন মূল্যবান।
青少年	কিশোর-কিশোরী	কিশোর-কিশোরীদের পর্যাপ্ত ঘুম দরকার।
情景	দৃশ্য; পরিস্থিতি	চলচ্চিত্রের দৃশ্যটি খুব আবেগময়।
情绪	মনোভাব; আবেগ	তার আবেগ খুব স্থির নয়।
请求	অনুরোধ	সে একটি অনুরোধ করেছে।
庆祝	উদযাপন করা	আমরা তার জন্মদিন উদযাপন করেছি।
球迷	খেলার ভক্ত	অনেক ভক্ত খেলা দেখতে এসেছে।
趋势	প্রবণতা	এই প্রবণতা ক্রমেই আরও স্পষ্ট হচ্ছে।
取消	বাতিল করা	বৃষ্টির কারণে কার্যক্রমটি বাতিল হয়েছে।
娶	স্ত্রী হিসেবে বিয়ে করা	সে আগামী বছর তাকে বিয়ে করার পরিকল্পনা করছে।
去世	মারা যাওয়া	তার দাদু গত বছর মারা গেছেন।
圈	বৃত্ত; গোল চিহ্ন	সঠিক উত্তরের ওপর গোল চিহ্ন দিন।
全面	সমগ্র; পূর্ণাঙ্গ	আমাদের পরিস্থিতি পূর্ণাঙ্গভাবে বুঝতে হবে।
权利	অধিকার	প্রতিটি মানুষের শিক্ষা পাওয়ার অধিকার আছে।
权力	ক্ষমতা	ক্ষমতার ওপর নজরদারি থাকা উচিত।
劝	পরামর্শ দেওয়া; বোঝানো	বন্ধু আমাকে আগে বিশ্রাম নিতে বলেছে।
缺乏	অভাব থাকা	এই অঞ্চলে পরিষ্কার পানির অভাব আছে।
确定	নিশ্চিত করা; নির্ধারণ করা	আমি এখনো সময় নির্ধারণ করতে পারছি না।
确认	নিশ্চিত করা	দয়া করে আপনার ঠিকানা নিশ্চিত করুন।
群	দল; ভিড়	একদল শিশু খেলার মাঠে খেলছে।
燃烧	জ্বলা	কাঠ জ্বলছে।
绕	ঘুরে যাওয়া	আমরা হ্রদ ঘুরে এক চক্কর হাঁটলাম।
热爱	ভালোবাসা; গভীরভাবে ভালোবাসা	সে নিজের কাজ গভীরভাবে ভালোবাসে।
热烈	উষ্ণ; প্রাণবন্ত	সবাই অতিথিদের উষ্ণভাবে স্বাগত জানিয়েছে।
热心	উৎসাহী; সহৃদয়	প্রতিবেশীরা সবাই খুব সহৃদয়।
人才	প্রতিভাবান মানুষ	কোম্পানির আরও প্রতিভাবান মানুষ দরকার।
人口	জনসংখ্যা	এই শহরের জনসংখ্যা অনেক।
人类	মানবজাতি	মানবজাতিকে পৃথিবী রক্ষা করতে হবে।
人民币	রেনমিনবি; চীনা ইউয়ান	আমি কিছু রেনমিনবি বদলেছি।
人生	জীবন	জীবনে অনেক পছন্দ থাকে।
人事	মানবসম্পদ; কর্মী বিভাগ	সে মানবসম্পদ বিভাগে কাজ করে।
人物	চরিত্র; ব্যক্তি	উপন্যাসের চরিত্রগুলো খুব বাস্তব মনে হয়।
人员	কর্মী; স্টাফ	কর্মীরা সবাই এসে গেছে।
忍不住	নিজেকে সামলাতে না পারা	রসিকতাটি শুনে সে হাসি আটকাতে পারেনি।
日常	দৈনন্দিন	এটি আমার দৈনন্দিন কাজ।
日程	সময়সূচি	আজকের সময়সূচি খুব ভরা।
日历	ক্যালেন্ডার	দেয়ালে একটি ক্যালেন্ডার ঝুলছে।
日期	তারিখ	দয়া করে তারিখটি পরিষ্কার করে লিখুন।
日用品	দৈনন্দিন ব্যবহার্য জিনিস	সুপারমার্কেটে অনেক দৈনন্দিন ব্যবহার্য জিনিস বিক্রি হয়।
日子	দিন; সময়	এই কয়েক দিন সে খুব ব্যস্ত।
如何	কীভাবে	আমরা কীভাবে এই সমস্যা সমাধান করব?
如今	এখন; আজকাল	এখন যাতায়াত অনেক বেশি সুবিধাজনক।
软	নরম	এই বিছানাটি খুব নরম।
软件	সফটওয়্যার	এই সফটওয়্যার ব্যবহার করা সহজ।
弱	দুর্বল	তার শরীর তুলনামূলকভাবে দুর্বল।
洒	ছিটানো; ফেলে দেওয়া	সে অসাবধানে পানি ফেলে দিয়েছে।
嗓子	গলা; কণ্ঠ	আমার গলায় একটু ব্যথা করছে।
色彩	রং; বর্ণ	এই ছবির রং খুব সমৃদ্ধ।
杀	হত্যা করা	এই চলচ্চিত্রে হত্যার দৃশ্য নেই।
沙漠	মরুভূমি	মরুভূমির পানি খুব মূল্যবান।
沙滩	সৈকত	শিশুরা সৈকতে খেলছে।
傻	বোকা	বোকামি করো না।
晒	রোদে শুকানো	কাপড়গুলো বারান্দায় রোদে শুকোচ্ছে।
删除	মুছে ফেলা	দয়া করে এই ইমেইলটি মুছে ফেলুন।
闪电	বিদ্যুৎ চমক	রাতে বিদ্যুৎ চমক দেখা গেছে।
善良	দয়ালু	সে একজন দয়ালু মানুষ।
善于	দক্ষ হওয়া	সে সমস্যা সমাধানে দক্ষ।
扇子	পাখা	গ্রীষ্মে আমি প্রায়ই পাখা ব্যবহার করি।
伤害	আঘাত করা; ক্ষতি করা	অন্যের অনুভূতিতে আঘাত দিও না।
商品	পণ্য	এই দোকানে অনেক পণ্য আছে।
商务	ব্যবসায়িক	সে কাল ব্যবসায়িক সভায় যাবে।
商业	বাণিজ্য; ব্যবসা	এই এলাকায় বাণিজ্য খুব উন্নত।
上当	প্রতারিত হওয়া	সে প্রায় প্রতারিত হয়েছিল।
蛇	সাপ	ঘাসের মধ্যে একটি সাপ আছে।
舍不得	ছাড়তে মন না চাওয়া	এই জায়গা ছেড়ে যেতে আমার মন চায় না।
射击	গুলি চালানো; শুটিং	সে শুটিংয়ের প্রশিক্ষণ নিচ্ছে।
摄影	ফটোগ্রাফি	ফটোগ্রাফিতে তার খুব আগ্রহ।
设备	সরঞ্জাম; যন্ত্রপাতি	ল্যাবরেটরির যন্ত্রপাতি খুব উন্নত।
设计	নকশা করা; নকশা	এই নকশাটি খুব সৃজনশীল।
设施	সুবিধা; অবকাঠামো	স্কুলের ক্রীড়া সুবিধা ভালো।
伸	প্রসারিত করা	দয়া করে হাতটি বাড়িয়ে দিন।
深刻	গভীর	এই অভিজ্ঞতা আমার মনে গভীর ছাপ রেখেছে।
身材	দেহগঠন	তার দেহগঠন স্বাস্থ্যকর।
身份	পরিচয়; মর্যাদা	দয়া করে পরিচয়ের প্রমাণ দেখান।
神话	পুরাণ; পৌরাণিক গল্প	শিশুরা পৌরাণিক গল্প শুনতে পছন্দ করে।
神秘	রহস্যময়	এই প্রাচীন শহরটি খুব রহস্যময়।
升	লিটার; ওঠা	তেলের দাম প্রতি লিটারে একটু বেড়েছে।
声调	স্বর; টোন	চীনা ভাষায় চারটি মৌলিক স্বর আছে।
生产	উৎপাদন করা	এই কারখানা মোবাইল ফোন উৎপাদন করে।
生动	জীবন্ত; প্রাণবন্ত	শিক্ষক খুব প্রাণবন্তভাবে বোঝান।
生长	বড় হওয়া; বৃদ্ধি পাওয়া	এই ধরনের গাছ দ্রুত বাড়ে।
绳子	দড়ি	দয়া করে দড়ি দিয়ে বাক্সটি ভালো করে বাঁধুন।
省略	বাদ দেওয়া	এখানে একটি অক্ষর বাদ দেওয়া যায়।
胜利	জয়	তারা অবশেষে জয় অর্জন করেছে।
失眠	অনিদ্রা	সে সম্প্রতি প্রায়ই অনিদ্রায় ভোগে।
失去	হারানো	আত্মবিশ্বাস হারিয়ো না।
失业	বেকার হওয়া	বেকার হওয়ার পর সে নতুন দক্ষতা শেখা শুরু করেছে।
湿润	আর্দ্র; সিক্ত	বৃষ্টির পর বাতাস খুব আর্দ্র।
狮子	সিংহ	চিড়িয়াখানায় দুটি সিংহ আছে।
诗	কবিতা	সে একটি কবিতা লিখেছে।
实话	সত্য কথা	দয়া করে সত্য কথা বলুন।
实践	চর্চা করা; বাস্তবে প্রয়োগ করা	তত্ত্বকে চর্চার মাধ্যমে যাচাই করতে হয়।
实习	ইন্টার্নশিপ করা; ব্যবহারিক প্রশিক্ষণ	সে গ্রীষ্মের ছুটিতে হাসপাতালে ইন্টার্নশিপ করবে।
实现	বাস্তবায়ন করা; অর্জন করা	সে অবশেষে নিজের স্বপ্ন বাস্তবায়ন করেছে।
实验	পরীক্ষা-নিরীক্ষা	শিক্ষার্থীরা পরীক্ষা-নিরীক্ষা করছে।
实用	ব্যবহারিক; কার্যকর	এই সরঞ্জামটি খুব ব্যবহারিক।
时差	সময়ের পার্থক্য; জেট ল্যাগ	সে এখনো সময়ের পার্থক্যে অভ্যস্ত হয়নি।
时代	যুগ	আমরা তথ্যের যুগে বাস করছি।
时刻	মুহূর্ত	দয়া করে এই গুরুত্বপূর্ণ মুহূর্তটি মনে রাখুন।
时髦	ফ্যাশনেবল	এই পোশাকটি খুব ফ্যাশনেবল।
时期	সময়কাল; যুগ	বিশ্ববিদ্যালয় জীবনের সময়কাল তার ওপর বড় প্রভাব ফেলেছিল।
时尚	ফ্যাশন	তার ফ্যাশনের প্রতি খুব আগ্রহ।
石头	পাথর	রাস্তার পাশে একটি পাথর আছে।
食物	খাবার	দয়া করে খাবারটি ফ্রিজে রাখুন।
使劲儿	জোর লাগানো	এই বোতল খুলতে জোর লাগবে।
始终	শুরু থেকে শেষ পর্যন্ত; সব সময়	সে সব সময় বিশ্বাস করত যে সে সফল হবে।
事实	তথ্য; বাস্তব ঘটনা	বাস্তব ঘটনা প্রমাণ করে যে সে ঠিক ছিল।
事物	জিনিস; বিষয়	শিশুরা নতুন জিনিসের প্রতি খুব কৌতূহলী।
事先	আগে থেকে	দয়া করে আমাকে সময়টা আগে থেকে বলুন।
似的	মনে হওয়া; যেন	সে এত ক্লান্ত ছিল যেন একটি কথাও বলতে চায় না।
士兵	সৈনিক	সৈনিকেরা প্রশিক্ষণ নিচ্ছে।
市场	বাজার	এই বাজারটি খুব জমজমাট।
试卷	পরীক্ষার খাতা; প্রশ্নপত্র	শিক্ষক পরীক্ষার খাতা দেখছেন।
收获	ফসল; অর্জন	এই ভ্রমণ থেকে আমি অনেক কিছু পেয়েছি।
收据	রসিদ	পেমেন্টের পর দয়া করে রসিদটি রেখে দিন।
手工	হাতে তৈরি; হাতের কাজ	এই উপহারটি হাতে তৈরি।
手术	অস্ত্রোপচার	ডাক্তার কাল তার অস্ত্রোপচার করবেন।
手套	দস্তানা	শীতে বাইরে গেলে দস্তানা পরতে হয়।
手续	প্রক্রিয়া; আনুষ্ঠানিকতা	প্রক্রিয়া সম্পন্ন করতে পরিচয়পত্র দরকার।
手指	আঙুল	তার আঙুলে চোট লেগেছে।
首	গণনাবাচক; প্রথম	সে একটি গান গেয়েছে।
受伤	আহত হওয়া	সে খেলায় আহত হয়েছে।
寿命	আয়ু; ব্যবহারকাল	এই ধরনের যন্ত্রের ব্যবহারকাল দীর্ঘ।
书架	বইয়ের তাক	বইয়ের তাক বইয়ে ভরা।
梳子	চিরুনি	সে চিরুনি দিয়ে চুল আঁচড়ায়।
舒适	আরামদায়ক	এই ঘরটি খুব আরামদায়ক।
蔬菜	সবজি	বেশি সবজি খাওয়া শরীরের জন্য ভালো।
输入	প্রবেশ করানো; ইনপুট করা	দয়া করে পাসওয়ার্ডটি কম্পিউটারে প্রবেশ করান।
熟练	দক্ষ; পটু	সে দক্ষতার সঙ্গে কম্পিউটার ব্যবহার করতে পারে।
属于	অন্তর্গত হওয়া	এই বইটি গ্রন্থাগারের।
数	গোনা; সংখ্যা	দয়া করে গুনে দেখুন কতজন মানুষ আছে।
鼠标	মাউস	আমার কম্পিউটারের মাউসটি নষ্ট হয়েছে।
数据	তথ্য; ডেটা	এই তথ্যগুলো খুব গুরুত্বপূর্ণ।
数码	ডিজিটাল	সে একটি ডিজিটাল ক্যামেরা কিনেছে।
摔倒	পড়ে যাওয়া	সে রাস্তায় পড়ে গেছে।
甩	ঝাড়া; ছুড়ে ফেলা	সে হাতের পানি ঝেড়ে ফেলল।
双方	উভয় পক্ষ	উভয় পক্ষই এই পরিকল্পনায় সম্মত হয়েছে।
税	কর	জিনিস কিনলে কর দিতে হয়।
说不定	হয়তো; বলা যায় না	হয়তো কাল তুষার পড়বে।
说服	রাজি করানো; বোঝানো	সে অবশেষে বাবা-মাকে রাজি করিয়েছে।
丝绸	রেশম	এই স্কার্ফটি রেশমের তৈরি।
丝毫	সামান্যতম	সে সামান্যতম মতও বদলায়নি।
思考	চিন্তা করা; ভাবা	দয়া করে এই সমস্যাটি মন দিয়ে ভাবুন।
思想	ভাবনা; চিন্তাধারা	তার চিন্তাধারা খুব খোলা।
撕	ছিঁড়ে ফেলা	দয়া করে এই কাগজটি ছিঁড়বেন না।
私人	ব্যক্তিগত	এটি আমার ব্যক্তিগত জায়গা।
似乎	মনে হয়	সে খুব খুশি নয় বলে মনে হয়।
搜索	খোঁজা; অনুসন্ধান করা	আমি অনলাইনে তথ্য খুঁজেছি।
宿舍	ছাত্রাবাস	শিক্ষার্থীরা স্কুলের ছাত্রাবাসে থাকে।
随身	সঙ্গে রাখা	দয়া করে পাসপোর্টটি সঙ্গে রাখুন।
随时	যেকোনো সময়	আপনি আমাকে যেকোনো সময় ফোন করতে পারেন।
随手	যাওয়ার পথে; হাতের কাছে করে	বের হওয়ার সময় দয়া করে দরজাটি বন্ধ করে দিন।
碎	ভেঙে টুকরো হওয়া	কাপটি মাটিতে পড়ে ভেঙে গেছে।
损失	ক্ষতি; লোকসান	এই দুর্ঘটনায় বড় ক্ষতি হয়েছে।
缩短	সংক্ষিপ্ত করা; কমিয়ে দেওয়া	নতুন পথটি দূরত্ব কমিয়েছে।
所	প্রতিষ্ঠানের গণনাবাচক; স্থান	এই স্কুলটি খুব বিখ্যাত।
锁	তালা দেওয়া	বের হওয়ার আগে দয়া করে দরজায় তালা দিন।
台阶	সিঁড়ির ধাপ	বৃদ্ধ মানুষটি ধীরে ধীরে সিঁড়ির ধাপে উঠলেন।
太极拳	তাই চি	পার্কে কিছু মানুষ তাই চি অনুশীলন করছে।
太太	মিসেস; স্ত্রী	মিসেস ওয়াং রান্না করছেন।
谈判	আলোচনা; দর-কষাকষি	উভয় পক্ষ আলোচনা করছে।
坦率	সোজাসাপ্টা; অকপট	সে অকপটে নিজের ভাবনা বলেছে।
烫	গরম; দগ্ধ করা	এই চায়ের কাপটি খুব গরম।
桃	পীচ	গাছে অনেক পীচ ধরেছে।
淘气	দুষ্টু	এই শিশুটি একটু দুষ্টু।
逃	পালানো	ছোট কুকুরটি উঠান থেকে পালিয়ে গেছে।
逃避	এড়িয়ে যাওয়া	দায়িত্ব এড়িয়ে যেয়ো না।
讨价还价	দর-কষাকষি করা	জিনিস কেনার সময় সে দর-কষাকষি করতে পছন্দ করে।
套	সেট; আবরণ	সে নতুন এক সেট পোশাক কিনেছে।
特色	বিশেষত্ব; বৈশিষ্ট্য	এই রেস্তোরাঁর স্থানীয় বিশেষত্ব আছে।
特殊	বিশেষ	আজ একটি বিশেষ দিন।
特征	বৈশিষ্ট্য	এই প্রাণীর স্পষ্ট বৈশিষ্ট্য আছে।
疼爱	স্নেহ করা; খুব ভালোবাসা	দাদা-দাদি শিশুটিকে খুব স্নেহ করেন।
提倡	প্রচার করা; সমর্থন করা	স্কুল পানি সাশ্রয় প্রচার করে।
提纲	রূপরেখা	প্রবন্ধ লেখার আগে আগে রূপরেখা তৈরি করো।
提问	প্রশ্ন করা	শিক্ষার্থীরা যেকোনো সময় প্রশ্ন করতে পারে।
题目	বিষয়; প্রশ্ন	এই প্রশ্নটি খুব কঠিন নয়।
体会	উপলব্ধি; অভিজ্ঞতা থেকে বোঝা	ভ্রমণের মাধ্যমে আমার নতুন উপলব্ধি হয়েছে।
体贴	সহানুভূতিশীল; যত্নশীল	সে পরিবারের প্রতি খুব যত্নশীল।
体现	প্রকাশ করা; প্রতিফলিত করা	এই ঘটনাটি দলের মনোভাব প্রকাশ করে।
体验	নিজে অভিজ্ঞতা নেওয়া	আমি স্থানীয় জীবন নিজে অভিজ্ঞতা করতে চাই।
天空	আকাশ	আজ আকাশ খুব নীল।
天真	সরল; নিষ্পাপ	শিশুটির ভাবনা খুব সরল।
调皮	দুষ্টু; চঞ্চল	ওই বিড়ালটি খুব চঞ্চল।
调整	সামঞ্জস্য করা; পরিবর্তন করা	আমাদের পরিকল্পনা সামঞ্জস্য করতে হবে।
挑战	চ্যালেঞ্জ	এটি একটি বড় চ্যালেঞ্জ।
通常	সাধারণত	সে সাধারণত সাতটায় ওঠে।
统一	এক করা; ঐক্যবদ্ধ করা	সবার মত এক করতে হবে।
痛苦	যন্ত্রণা; কষ্ট	বন্ধুকে হারিয়ে সে খুব কষ্ট পেয়েছে।
