simplified	FI	example_FI
嫉妒	kadehtia	Hänen ei pitäisi kadehtia työtoverinsa menestystä
急功近利	tavoitella nopeaa hyötyä	Tutkimusta ei pidä tehdä nopeaa hyötyä tavoitellen
急剧	jyrkästi	Myynti laski jyrkästi
急切	innokas	Hän odotti uutisia innokkaasti
急于求成	hätäillä tuloksia	Kieltä oppiessa ei voi hätäillä tuloksia
急躁	kärsimätön	Älä ole kärsimätön vaikeuksia kohdatessasi
极端	äärimmäinen	Tällainen äärimmäinen sää yleistyy
极限	raja	Tämä harjoitus koetteli hänen rajojaan
疾病	sairaus	Hyvät tavat voivat ehkäistä sairauksia
籍贯	syntyperä	Lomakkeeseen täytyy merkitä syntyperä
级别	taso	Tämä kilpailu on jaettu kolmeen tasoon
集团	konserni	Tällä konsernilla on tytäryhtiöitä ulkomailla
给予	antaa	Koulu antaa apua köyhille oppilaille
季军	kolmas sija	Hän sai kilpailussa kolmannen sijan
季度	vuosineljännes	Yritys julkaisee talousraportin joka vuosineljännes
寂静	hiljainen	Laakso on yöllä erityisen hiljainen
寄托	asettaa toivo	Hän asetti toivonsa lapseensa
忌讳	tabu	Paikalliset pitävät tämän asian käsittelyä ruokapöydässä tabuna
技巧	tekniikka	Tekniikoiden hallitseminen voi parantaa tehokkuutta
纪要	kokousmuistio	Sihteeri järjesti kokousmuistion
继承	periä	Hän peri isänsä työn
计较	takertua	Älä takerru tällaiseen pikkuasiaan
记性	muisti	Hänellä on erittäin hyvä muisti
记载	kirjata	Historiankirjat kirjasivat tämän sodan
迹象	merkki	Tällä hetkellä ei ole paranemisen merkkejä
佳肴	herkku	Pöytä oli täynnä herkullisia ruokia
加工	jalostaa	Näitä raaka-aineita täytyy jalostaa lisää
加剧	voimistua	Ristiriita voimistuu
夹杂	sekoittua	Sateen ääneen sekoittui ukkosen jyrinä
家常	kotiruoka	Pidän kotiruoan syömisestä
家伙	tyyppi	Se tyyppi myöhästyy aina
家属	omainen	Lääkäri ilmoitti asiasta potilaan omaisille
家喻户晓	kaikkien tuntema	Tämä tarina on kaikkien tuntema
坚定	vakaa	Hänen asenteensa on hyvin vakaa
坚固	luja	Tämä silta on hyvin luja
坚韧	sitkeä	Hänellä on sitkeä luonne
坚实	vankka	Tällä tutkimuksella on vankka perusta
坚硬	kova	Tämä kivi on hyvin kova
尖端	huipputeknologia	Yritys sijoittaa huipputeknologiaan
尖锐	terävä	Tämä kysymys on hyvin terävä
煎	paistaa pannulla	Kokki paistaa kalaa pannulla
监督	valvoa	Julkinen valvonta auttaa parantamaan työtä
监视	tarkkailla	Poliisi tarkkailee epäiltyä
监狱	vankila	Hän suorittaa rangaistusta vankilassa
艰难	vaikea	Yrityksen perustamisen alkuvaihe oli hyvin vaikea
剪彩	leikata avajaisnauha	Pormestari leikkasi uuden kirjaston avajaisnauhan
拣	valita	Hän valitsi korista muutaman omenan
检讨	tarkastella kriittisesti	Hän tarkasteli omia virheitään vakavasti
检验	testata	Koe voi testata tämän hypoteesin
简化	yksinkertaistaa	Yksinkertaista prosessia vielä lisää
简陋	vaatimaton	He asuivat vaatimattomassa pienessä mökissä
简体字	yksinkertaistettu kiinalainen merkki	Tämä oppikirja käyttää yksinkertaistettuja kiinalaisia merkkejä
简要	lyhyt	Selitä näkemyksesi lyhyesti
健全	parantaa	Yrityksen täytyy parantaa hallintojärjestelmäänsä
剑	miekka	Seinällä roikkuu vanha miekka
溅	roiskua	Sadevettä roiskui hänen housuilleen
舰艇	sotalaiva	Useita sotalaivoja osallistui harjoitukseen
见多识广	kokenut ja tietäväinen	Tämä vanhus on kokenut ja tietäväinen
见解	näkemys	Hänellä on tähän kysymykseen omaperäinen näkemys
见闻	kokemus ja tieto	Matkustaminen laajensi hänen kokemustaan ja tietoaan
见义勇为	toimia rohkeasti oikein	Häntä kiitettiin siitä, että hän toimi rohkeasti oikein
践踏	tallata	Älä tallaa nurmikkoa
鉴别	erottaa	Asiantuntijat voivat erottaa, onko tämä maalaus aito
鉴定	tutkia	Poliisi tutkii sormenjälkiä
鉴于	ottaen huomioon	Huonon sään vuoksi tapahtuma siirrettiin
间谍	vakooja	Tämä elokuva kertoo vakoojatarinan
间隔	väli	Kahden kokouksen välillä on viikko
间接	epäsuora	Tällä politiikalla on epäsuora vaikutus
僵硬	jäykkä	Hänen hymynsä näytti jäykältä
将军	kenraali	Kenraali antoi käskyn
将近	lähes	Tämä hanke kesti lähes kaksi vuotta
将就	pärjätä	Olosuhteet ovat huonot, joten meidän täytyy vain pärjätä
奖励	palkita	Koulu palkitsi erinomaiset oppilaat
奖赏	palkkio	Kuningas antoi soturille runsaan palkkion
桨	airo	Veneilijä souti veneen rantaa kohti airolla
降临	laskeutua	Yö laskeutui vähitellen kaupungin ylle
交叉	risteytyä	Kaksi tietä risteytyy tässä
交代	selittää	Selitä tehtävä selkeästi
交涉	neuvotella	Osapuolet neuvottelevat korvauskysymyksestä
交易	kauppa	Tämä kauppa on jo saatu päätökseen
娇气	herkkänahkainen	Älä ole liian herkkänahkainen, sää ei ole kylmä
焦点	keskipiste	Työllisyyskysymyksestä tuli keskustelun keskipiste
焦急	huolestunut	Äiti odotti huolestuneena lapsensa paluuta
侥幸	hyvällä onnella	Hän selvisi onnettomuudesta hyvällä onnella
搅拌	sekoittaa	Sekoita taikina tasaisesti
缴纳	maksaa	Asukkaiden täytyy maksaa vesimaksu ajallaan
角落	nurkka	Kissa piiloutui huoneen nurkkaan
教养	kasvatus	Hyvä kasvatus näkyy yksityiskohdissa
较量	kilpailla	Kaksi vahvaa joukkuetta on pian kilpailemassa
接连	peräkkäin	Hän sai kolme sähköpostia peräkkäin
揭露	paljastaa	Toimittaja paljasti elintarviketurvallisuusongelman
皆	kaikki	Kaikki tuntevat nämä säännöt
阶层	yhteiskuntaluokka	Eri yhteiskuntaluokilla on erilaiset tarpeet
截止	päättyä	Ilmoittautuminen päättyy huomenna iltapäivällä
截至	tähän mennessä	Tähän mennessä kaksisataa ihmistä on ilmoittautunut
杰出	erinomainen	Hän on erinomainen tutkija
竭尽全力	tehdä kaikkensa	Teemme kaikkemme saadaksemme tehtävän valmiiksi
结晶	tulos	Tämä saavutus on vuosien työn tulos
结局	loppu	Tarinan loppu oli odottamaton
结算	selvittää maksu	Asiakas pyysi, että maksut selvitetään kuun lopussa
节制	kohtuus	Syömisessä ja juomisessa pitää olla kohtuus
节奏	rytmi	Tämän laulun rytmi on nopea
解除	purkaa	Yritys purki turvallisuushälytyksen
解放	vapauttaa	Uudistus vapautti tuotantovoimia
解雇	irtisanoa	Pomo päätti irtisanoa kyseisen työntekijän
解剖	anatomia	Lääketieteen opiskelijat opiskelevat anatomiaa
解散	hajota	Kokouksen päätyttyä ryhmä hajosi
解体	hajota	Liittouma hajosi lopulta
借鉴	ottaa oppia	Voimme ottaa oppia ulkomaisista kokemuksista
借助	avulla	Hän löysi reitin kartan avulla
戒备	valmiustila	Raja-alue pysyy korkeassa valmiustilassa
界限	raja	Työ ja elämä tarvitsevat selkeät rajat
津津有味	suurella mielenkiinnolla	Lapset kuuntelivat tarinaa suurella mielenkiinnolla
金融	rahoitus	Rahoitusmarkkinat heilahtelivat tänään voimakkaasti
紧迫	kiireellinen	Aika on kiireellinen, ja meidän täytyy toimia heti
锦上添花	kirsikka kakun päällä	Tämä lahja oli todella kirsikka kakun päällä
晋升	ylentää	Hänet ylennettiin viime vuonna osastonjohtajaksi
浸泡	liottaa	Papuja täytyy liottaa yön yli
近来	viime aikoina	Sää on muuttunut paljon viime aikoina
进而	sitten	Ymmärrä ensin tarpeet ja laadi sitten suunnitelma
进攻	hyökkäys	Joukkue vahvisti hyökkäystään toisella puoliajalla
进化	kehittyä	Eliöt kehittyvät ympäristönsä mukana
进展	edistyä	Hanke edistyy tällä hetkellä sujuvasti
兢兢业业	tunnollinen	Hän työskenteli tunnollisesti kolmekymmentä vuotta
惊动	hälyttää	Kova ääni hälytti lähialueen asukkaat
惊奇	hämmästyneenä	Lapset katsoivat taikuriesitystä hämmästyneinä
惊讶	yllättää	Hänen vastauksensa yllätti minut
精打细算	laskea tarkasti	Hän hoitaa kotitalouden menot aina tarkasti laskien
精华	ydin	Tämä artikkeli tiivistää teorian ytimen
精简	virtaviivaistaa	Yritys päätti virtaviivaistaa johtoa
精密	tarkka	Tämä laite on erittäin tarkka
精确	täsmällinen	Tietojen täytyy olla täsmällisiä kahden desimaalin tarkkuudella
精通	hallita	Hän hallitsee kolme vierasta kieltä
精心	huolellisesti	Äiti valmisti illallisen huolellisesti
精益求精	pyrkiä täydellisyyteen	Erinomaiset käsityöläiset pyrkivät aina täydellisyyteen
精致	hienostunut	Tämä lahja on pakattu hyvin hienostuneesti
经费	rahoitus	Tutkimusrahoitus on jo hyväksytty
经纬	pituus- ja leveysaste	Karttaan on merkitty pituus- ja leveysasteviivat
茎	varsi	Kasvin varsi tukee lehtiä
井	kaivo	Kylän sisäänkäynnillä on vanha kaivo
警告	varoittaa	Opettaja varoitti oppilaita lunttaamasta
警惕	olla varuillaan	Meidän täytyy olla varuillaan verkkohuijauksia vastaan
颈椎	kaularanka	Pitkäaikainen alas katsominen voi vahingoittaa kaularankaa
境界	taso	Hänen maalaustaiteensa saavutti uuden tason
敬礼	tehdä kunniaa	Sotilas teki kunniaa kansallislipulle
敬业	omistautunut työlle	Hän tekee työnsä vakavasti ja on hyvin omistautunut
竞赛	kilpailu	Koulu järjesti matematiikkakilpailun
竞选	asettua ehdolle	Hän aikoo asettua ehdolle pormestariksi
镜头	kameraobjektiivi	Valokuvaaja sääti kameraobjektiivia
纠纷	kiista	Osapuolet ratkaisivat kiistan sovittelulla
纠正	korjata	Opettaja korjasi ääntämisvirheen ajoissa
酒精	alkoholi	Lääkäri desinfioi haavan alkoholilla
就近	lähellä	Oppilaat voivat käydä koulua lähellä kotiaan
就业	työllisyys	Hallitus otti käyttöön politiikkaa työllisyyden edistämiseksi
就职	astua virkaan	Uusi johtaja astuu virallisesti virkaan ensi viikolla
救济	avustus	Katastrofin uhrit saivat ajoissa avustusta
居民	asukas	Lähialueen asukkaat vastustavat melusaastetta
居住	asua	He ovat asuneet täällä kymmenen vuotta
拘留	pidättää	Poliisi pidätti epäillyn lain mukaisesti
拘束	vaivautunut	Ystävien seurassa ei tarvitse olla vaivautunut
鞠躬	kumartaa	Näyttelijä kumarsi yleisölle kiitokseksi
局部	paikallinen	Lääkäri käytti vain paikallispuudutusta
局面	tilanne	Neuvottelut paransivat jännittynyttä tilannetta
局势	tilanne	Kansainvälinen tilanne on edelleen monimutkainen
局限	rajoitus	Tällä menetelmällä on selviä rajoituksia
举动	teko	Hänen tekonsa liikutti kaikkia
举世瞩目	herättää maailmanlaajuista huomiota	Tämä hanke saavutti maailmanlaajuista huomiota herättävän tuloksen
举足轻重	erittäin vaikutusvaltainen	Tämä yritys on alalla erittäin vaikutusvaltainen
咀嚼	pureskella	Ruokaa pitää pureskella hitaasti
沮丧	masentunut	Hän oli hyvin masentunut hävittyään ottelun
剧本	käsikirjoitus	Ohjaaja muokkaa parhaillaan käsikirjoitusta
剧烈	voimakas	Maa tärisi voimakkaasti
据悉	tietojen mukaan	Tietojen mukaan kokous siirretään ensi viikolle
聚精会神	keskittyä	Lapset kuuntelivat oppituntia keskittyneesti
卷	kääriä	Hän kääri kartan ja pani sen laukkuun
倔强	itsepäinen	Tämä lapsi on luonteeltaan hyvin itsepäinen
决策	päätös	Johto keskustelee tärkeästä päätöksestä
绝望	epätoivo	Hän tunsi epäonnistumisen jälkeen hetken epätoivoa
觉悟	tietoisuus	Tämä kokemus lisäsi hänen tietoisuuttaan
觉醒	herätä	Yleisön ympäristötietoisuus on heräämässä
军队	armeija	Armeija saapui nopeasti katastrofialueelle
君子	jalomielinen ihminen	Jalomielisen ihmisen sanojen ja tekojen pitäisi vastata toisiaan
卡通	piirretty	Lapsi pitää piirrettyjen elokuvien katsomisesta
开采	louhia	Tämä yritys vastaa mineraalien louhinnasta
开除	erottaa	Koulu päätti erottaa lunttauksen tehneen oppilaan
开阔	avara	Vuoren huipulta avautuu avara näkymä
开朗	iloinen	Hän on luonteeltaan iloinen ja hänellä on paljon ystäviä
开明	avaramielinen	Vanhempien asenne on hyvin avaramielinen
开辟	avata	Kaupunki avasi uuden bussilinjan
开拓	laajentaa	Yritys aikoo laajentaa ulkomaanmarkkinoille
开展	järjestää	Koulu järjesti turvallisuuskasvatustoiminnan
开支	menot	Perheen kuukausittaiset menot kasvoivat
刊登	julkaista	Sanomalehti julkaisi hänen artikkelinsa
刊物	julkaisu	Tämä julkaisu ilmestyy kerran kuukaudessa
勘探	tutkia	Insinööriryhmä tutkii maanalaisia vesilähteitä
侃侃而谈	puhua itsevarmasti	Hän puhui kokouksessa itsevarmasti ja pitkään
砍伐	kaataa	Metsien mielivaltainen kaataminen on kielletty
看待	suhtautua	Meidän pitää suhtautua tähän kysymykseen objektiivisesti
慷慨	antelias	Hän lahjoitti palkintorahansa anteliaasti
抗议	protestoida	Asukkaat protestoivat uuden tehtaan rakentamista vastaan
考察	tarkastaa	Asiantuntijat menivät paikalle tarkastamaan ympäristöä
考古	arkeologia	Arkeologiryhmä löysi muinaisia hautoja
考核	arvioida	Yritys arvioi työntekijöiden suoritusta joka vuosi
考验	koetella	Tämä kriisi koetteli tiimin kykyjä
靠拢	lähestyä	Joukkueen jäsenet lähestyivät keskustaa
磕	kolauttaa	Hän kolautti vahingossa itsensä pöydän kulmaan
科目	oppiaine	Matematiikka on hänen lempioppiaineensa
可观	huomattava	Tämä sijoitus toi huomattavan tuoton
可口	maukas	Tämän ravintolan ruoka on maukasta
可恶	vastenmielinen	Tällainen petos on todella vastenmielinen
可行	toteuttamiskelpoinen	Tämä suunnitelma on periaatteessa toteuttamiskelpoinen
渴望	kaivata	Lapset kaipaavat enemmän mahdollisuuksia
克制	hillitä	Riidellessä pitää hillitä tunteita
刻不容缓	ei siedä viivytystä	Vesivarojen suojeleminen ei siedä viivytystä
客户	asiakas	Asiakas on hyvin tyytyväinen palveluun
课题	aihe	Tämä aihe ansaitsee perusteellista tutkimusta
啃	nakerrella	Lapsi nakertaa maissintähkää
恳切	vilpitön	Hän pyysi vilpittömästi kaikkia auttamaan
坑	kuoppa	Tien reunassa on syvä kuoppa
空洞	sisällötön	Tämän raportin sisältö on sisällötön
空前绝后	ennennäkemätön ja ainutkertainen	Tätä esitystä voi kutsua ennennäkemättömäksi ja ainutkertaiseksi
空想	haaveilu	Pelkkä haaveilu ei voi ratkaista ongelmaa
空虚	tyhjyys	Kiireen jälkeen hän tunsi tyhjyyttä
孔	reikä	Seinässä on pieni reikä
恐怖	pelottava	Tämän elokuvan tunnelma on hyvin pelottava
恐吓	uhkailla	Vastapuoli uhkaili todistajaa
恐惧	pelko	Pimeys sai lapsen tuntemaan pelkoa
空白	tyhjä tila	Allekirjoita tyhjään kohtaan
空隙	rako	Oven ja lattian välissä on rako
口气	äänensävy	Hänen äänensävynsä oli hyvin kova
口腔	suuontelo	Lääkäri tutki hänen suuontelonsa
口头	suullinen	Heillä on vain suullinen sopimus
口音	aksentti	Hänen mandariinissaan on hieman aksenttia
扣	kiinnittää	Kiinnitä turvavyö kunnolla
哭泣	itkeä	Tyttö piiloutui nurkkaan itkemään
枯萎	lakastua	Veden puute sai kukat lakastumaan
枯燥	tylsä	Tämä työ on hieman tylsää
苦尽甘来	vaikeuksien jälkeen koittaa parempi aika	Vuosien sitkeyden jälkeen vaikeuksien jälkeen koitti parempi aika
苦涩	karvas	Tämä lääketeen maku on karvas
挎	kantaa käsivarrella	Hän lähti ulos kangaskassi käsivarrellaan
跨	astua yli	Hän astui ojan yli ja jatkoi eteenpäin
快活	onnellinen	Lapset leikkivät nurmikolla onnellisina
宽敞	tilava	Tämä luokkahuone on valoisa ja tilava
宽容	suvaitsevaisuus	Yhteiskunta tarvitsee enemmän ymmärrystä ja suvaitsevaisuutta
款待	vieraanvaraisesti kestitä	Isäntä kestitsi vieraita lämpimästi
款式	tyyli	Tämän vaatteen tyyli on hyvin uusi
筐	kori	Hän kantoi korillisen omenoita kotiin
况且	sitä paitsi	Matka on pitkä, ja sitä paitsi alkaa tulla pimeä
旷课	pinnata tunnilta	Ilman syytä tunnilta pinnaavat oppilaat merkitään muistiin
框架	kehys	Raportin kehys täytyy ensin määrittää
矿产	mineraalivarat	Tällä alueella on runsaasti mineraalivaroja
亏待	kohdella epäoikeudenmukaisesti	Yritys ei kohtele ahkeria työntekijöitä epäoikeudenmukaisesti
亏损	tappio	Tehdas kärsi tänä vuonna vakavia tappioita
捆绑	sitoa	Sido nämä laatikot tukevasti
扩充	laajentaa	Koulu aikoo laajentaa kirjaston kokoelmaa
扩散	levitä	Huhu levisi nopeasti verkossa
扩张	laajentuminen	Yritys laajentaa toimintaansa varovaisesti
啦	lauseenloppupartikkeli	Älä huolehdi, kaikki kääntyy paremmaksi
喇叭	torvi	Auton torvi soi yhtäkkiä
蜡烛	kynttilä	Syntymäpäiväkakun päälle asetettiin kynttilöitä
来历	alkuperä	Tämän kulttuuriesineen alkuperä on epäselvä
来源	lähde	Uutisessa täytyy mainita tiedon lähde
栏目	palsta	Tämä ohjelmaosio esitetään kerran viikossa
懒惰	laiska	Laiskuus vaikuttaa opiskelutuloksiin
狼狈	surkea	Sateen jälkeen hän oli läpimärkä ja näytti hyvin surkealta
狼吞虎咽	ahmia	Hän oli nälkäinen ja ahmi ruokansa
捞	nostaa vedestä	Kalastaja nosti verkon joesta
唠叨	jankuttaa	Äiti jankuttaa aina pikkuasioista
牢固	vankka	Tämän sillan rakenne on hyvin vankka
牢骚	valitus	Hänellä on paljon valituksia, mutta hän ei halua muuttua
乐趣	ilo	Lukeminen tuo hänelle paljon iloa
乐意	mielellään	Autan mielelläni sinua muokkaamaan ansioluetteloasi
雷达	tutka	Tutka havaitsi kaukana olevan lentokoneen
类似	samanlainen	Samanlaisia ongelmia on ilmennyt aiemminkin
冷酷	kylmä	Hänen äänensävynsä kuulosti hyvin kylmältä
冷落	jättää huomiotta	Uusi työntekijä tunsi itsensä huomiotta jätetyksi
冷却	jäähtyä	Koneen täytyy ensin jäähtyä ennen korjausta
愣	jähmettyä	Kuultuaan uutisen hän jähmettyi paikalleen
黎明	aamunkoitto	Aamunkoitteessa kaupunki alkoi vähitellen herätä
理睬	välittää	Hän oli vihainen eikä välittänyt kenestäkään
理所当然	itsestäänselvyys	Älä pidä muiden apua itsestäänselvyytenä
理直气壮	varma oikeudestaan	Riittävien todisteiden vuoksi hän puhui varmana oikeudestaan
理智	järki	Ristiriidan kohdatessa pitää säilyttää järki
礼节	etiketti	Eri kulttuureissa on erilainen etiketti
礼尚往来	vastavuorinen kohteliaisuus	Naapurien välillä arvostetaan vastavuoroista kohteliaisuutta
里程碑	virstanpylväs	Tämä onnistuminen on hankkeen virstanpylväs
例外	poikkeus	Kaikkien täytyy osallistua, eikä poikkeuksia ole
利害	edut ja haitat	Tämä koskee molempien osapuolten etuja ja haittoja
力求	pyrkiä	Me pyrimme vähentämään virheet minimiin
力所能及	omien kykyjen rajoissa	Tee asioita omien kykyjesi rajoissa
力争	pyrkiä kaikin voimin	Tiimi pyrkii kaikin voimin saamaan tehtävän valmiiksi etuajassa
历代	menneiden sukupolvien	Menneiden sukupolvien tutkijat ovat tutkineet tätä kysymystä
历来	aina	Tämä kaupunki on aina arvostanut koulutusta
立场	kanta	Hän ilmaisi kantansa kokouksessa
立方	kuutiometri	Tämän vesisäiliön tilavuus on kolme kuutiometriä
立交桥	eritasoliittymä	Tämä eritasoliittymä helpotti liikenneruuhkia
立体	kolmiulotteinen	Tässä maalauksessa on vahva kolmiulotteinen vaikutelma
立足	perustaa	Yritysten täytyy perustaa toimintansa paikallisille markkinoille
粒	jyvä	Pöydällä on muutama riisinjyvä
廉洁	rehellinen	Virkamiesten täytyy pysyä rehellisinä ja puhtaina
联欢	juhlat	Opiskelijat järjestivät uudenvuodenjuhlat
联络	ottaa yhteyttä	Ota yhteyttä asiakkaaseen mahdollisimman pian
联盟	liittouma	Useat maat muodostivat kauppaliittouman
联想	tuoda mieleen	Tämä valokuva tuo mieleeni lapsuuden
连年	vuosikausia	Tämä alue on kärsinyt tulvista vuosikausia
连锁	ketju	Tämä yritys pyörittää ketjusupermarketteja
连同	yhdessä	Lähetä lasku yhdessä sopimuksen kanssa
良心	omatunto	Ihmisen pitää elää niin, ettei petä omaatuntoaan
晾	kuivattaa	Hän ripusti vaatteet parvekkeelle kuivumaan
谅解	ymmärtää	Toivon, että voit ymmärtää vaikeutemme
辽阔	laaja	Ruohoaro on laaja eikä loppua näy
列举	luetella	Opettaja luetteli kolme esimerkkiä
临床	kliininen	Tämä lääke on kliinisissä kokeissa
淋	kastua	Älä kastu sateessa liian kauan
吝啬	saithuri	Hän ei ole koskaan saita ystävilleen
伶俐	nokkela	Tämä pieni tyttö on älykäs ja nokkela
凌晨	aamuyö	Lentokone lähtee aamuyöllä kello kolme
灵感	innostus	Musiikki antoi hänelle luovaa innostusta
灵魂	sielu	Vapaus on tämän teoksen sielu
灵敏	herkkä	Tämä laite reagoi hyvin herkästi
零星	hajanainen	Yötaivaalla näkyi hajanaisia valoja
领会	käsittää	Hän käsitti nopeasti opettajan tarkoituksen
领事馆	konsulaatti	Hän meni konsulaattiin hoitamaan viisumia
领土	alue	Jokainen maa arvostaa alueellista koskemattomuutta
领悟	ymmärtää	Koettuaan epäonnistumisen hän ymmärsi vastuun
领先	olla johdossa	Heidän teknologiansa on tällä hetkellä kilpailijoita edellä
领袖	johtaja	Tämä johtaja on kansan syvästi kunnioittama
溜	livahtaa	Pentu livahti ulos ovenraosta
流浪	vaeltaa	Hän vaelsi nuorena paikasta toiseen
流露	paljastua	Hänen kasvoiltaan paljastui ilo
流氓	huligaani	Poliisi otti kiinni useita kadun huligaaneja
流通	kiertää	Tämä valuutta kiersi kerran paikallisesti
留恋	haikea	Valmistuessaan kaikki tunsivat haikeutta kampusta kohtaan
留念	muistoksi	Otimme kuvia koulun portilla muistoksi
留神	olla tarkkana	Tietä ylittäessä täytyy olla tarkkana
聋哑	kuuro ja puhumaton	Koulu tarjoaa apua kuuroille ja puhumattomille lapsille
隆重	juhlallinen	Kokous pidettiin juhlasalissa juhlallisesti
垄断	monopoli	Monopoli voi vahingoittaa markkinakilpailua
笼罩	peittää	Sakea sumu peitti koko kylän
搂	halata	Äiti halasi lasta hellästi
炉灶	liesi	Keittiön liesi täytyy puhdistaa
轮船	laiva	Laiva lähti hitaasti satamasta
轮廓	ääriviiva	Kaukaisten vuorten ääriviivat ovat hyvin selvät
轮胎	rengas	Auton renkaat täytyy vaihtaa
论坛	foorumi	Asiantuntijat pitivät puheita foorumilla
论证	perustella	Raportin täytyy perustella näkemystä tarkemmin
啰唆	jaaritella	Älä jaarittele, vaan sano suoraan pääasia
络绎不绝	loputtomana virtana	Matkailijoita tuli vanhaan kaupunkiin loputtomana virtana
落成	valmistua	Uusi liikuntahalli valmistuu virallisesti huomenna
落实	toteuttaa	Kokous vaati uuden politiikan nopeaa toteuttamista
屡次	toistuvasti	Hän muistutti kaikkia toistuvasti turvallisuudesta
履行	täyttää	Molempien osapuolten täytyy täyttää sopimusvelvoitteensa
掠夺	ryöstää	Sota johti luonnonvarojen ryöstämiseen
嘛	lauseenloppupartikkeli	Tämä asiahan on hyvin yksinkertainen
麻痹	turtua	Pitkä sujuva jakso saa ihmiset helposti turtumaan ja huolimattomiksi
麻木	puutunut	Kylmyys teki hänen sormistaan puutuneet
麻醉	nukuttaa	Ennen leikkausta lääkäri nukutti potilaan
码头	laituri	Rahtilaiva pysähtyi laiturin viereen
蚂蚁	muurahainen	Muurahaiset kuljettavat ruokaa
埋伏	väijytys	Sotilaat olivat väijytyksessä laaksossa
埋没	jäädä huomaamatta	Älä anna lahjakkaiden ihmisten jäädä huomaamatta
埋葬	haudata	Kyläläiset hautasivat vanhuksen rinteeseen
脉搏	pulssi	Sairaanhoitaja mittaa hänen pulssiaan
迈	astua	Hän astui pitkin askelin ovelle
埋怨	valittaa	Älä aina valita muista
慢性	krooninen	Krooninen sairaus vaatii pitkäaikaista hoitoa
漫长	pitkä	He kokivat pitkän odotuksen
漫画	sarjakuva	Tämä sarjakuva on hyvin suosittu nuorten keskuudessa
蔓延	levitä	Tuli levisi nopeasti syvälle metsään
忙碌	kiireinen	Vuoden loppu on yrityksen kiireisintä aikaa
盲目	sokea	Sijoittamisessa ei pidä seurata trendejä sokeasti
茫茫	ääretön	Vene katosi äärettömälle merelle
茫然	hämmentynyt	Selityksen kuultuaan hän näytti yhä hämmentyneeltä
冒充	esiintyä jonakuna	Joku esiintyi poliisina ja huijasi rahaa
冒犯	loukata	Sanojeni ei ollut tarkoitus loukata sinua
茂盛	rehevä	Pihan puut kasvavat hyvin rehevinä
媒介	väline	Internet on tärkeä tiedonvälityksen väline
枚	kappale	Hän keräsi muutaman muistokolikon
美观	kaunis	Tämä muotoilu on sekä käytännöllinen että kaunis
美满	onnellinen	He elävät onnellista ja täyttä elämää
美妙	ihana	Konsertti tarjosi ihanan kokemuksen
萌芽	orastaa	Uusi ajatus alkoi orastaa
猛烈	raju	Myrsky tuli hyvin rajuna
眯	siristää	Aurinko oli liian kirkas, joten hän siristi silmiään
弥补	korvata	Anteeksipyyntö ei voi täysin korvata menetystä
弥漫	täyttää	Kukkien tuoksu täytti pihan
谜语	arvoitus	Lapset pitävät arvoitusten arvaamisesta
迷惑	hämmentää	Monimutkaiset tiedot hämmentivät häntä
迷人	viehättävä	Merenrannan yömaisema on hyvin viehättävä
迷信	taikausko	Tiedekasvatus voi vähentää taikauskoa
密度	tiheys	Tämän metallin tiheys on korkea
密封	sulkea tiiviisti	Sulje pussi uudelleen tiiviisti avaamisen jälkeen
棉花	puuvilla	Viljelijät poimivat puuvillaa
免得	jotta ei	Lähde aikaisemmin, jotta et myöhästy
免疫	vastustuskyky	Tämä rokote voi parantaa vastustuskykyä
勉励	kannustaa	Opettaja kannustaa usein oppilaita jatkamaan opiskelua
勉强	vastahakoisesti	Hän suostui tähän järjestelyyn vastahakoisesti
面貌	ulkoasu	Kaupungin ulkoasu on muuttunut valtavasti
面子	kasvot	Hän ei halunnut menettää kasvojaan julkisesti
描绘	kuvata	Romaani kuvaa maaseudun elämää
瞄准	tähdätä	Ampuja tähtäsi maaliin
渺小	pieni	Ihminen näyttää luonnon edessä hyvin pieneltä
藐视	väheksyä	Emme saa väheksyä yhtäkään vastustajaa
灭亡	tuho	Tämä dynastia kulki lopulta kohti tuhoa
蔑视	halveksunta	Hänen äänensävyssään oli täynnä halveksuntaa
民间	kansanperinne	Kansantaidetta täytyy suojella
民主	demokratia	Kokouksessa käytettiin demokraattista äänestystä
敏捷	ketterä	Urheilijan liikkeet ovat hyvin ketterät
敏锐	tarkka	Toimittajat tarvitsevat tarkkaa havainnointikykyä
名次	sijoitus	Hän sai kilpailussa hyvän sijoituksen
名额	kiintiö	Tässä ohjelmassa on vain kymmenen paikkaa
名副其实	nimensä veroinen	Hän on nimensä veroinen asiantuntija
名誉	maine	Tämä asia vahingoitti yrityksen mainetta
明明	selvästi	Hän tiesi selvästi vastauksen, mutta ei suostunut sanomaan sitä
明智	viisas	Päätöksen lykkääminen oli viisas valinta
命名	nimetä	Tutkijat nimesivät uuden lajin
摸索	etsiä	Tiimi etsii vielä uutta menetelmää
摩擦	kitka	Kahden maan välille syntyi kauppakitkaa
模范	esikuva	Hän on koko koulun oppilaiden esikuva
模式	malli	Tämä liiketoimintamalli on hyvin onnistunut
模型	malli	Insinööri teki sillan mallin
磨合	sopeutua	Uusi tiimi tarvitsee aikaa sopeutuakseen yhteen
膜	kalvo	Tämä kalvo voi suodattaa epäpuhtauksia
