simplified	KA	example_KA
疲劳	დაღლილობა	დიდხანს მუშაობა დაღლილობას იწვევს.
匹	ცხენის სათვლელი სიტყვა	ბალახზე ერთი ცხენი დგას.
片	ნაჭერი; თხელი ნაჭერი	გთხოვთ, ერთი ნაჭერი პური მომეცით.
片面	ცალმხრივი	ეს შეხედულება ძალიან ცალმხრივია.
飘	ფარფატი; ტივტივი	ფიფქები ჰაერში ფარფატებს.
拼音	ფინიინი	გთხოვთ, ჩინური იეროგლიფების გვერდით ფინიინი დაწეროთ.
频道	არხი	გთხოვთ, საინფორმაციო არხზე გადართოთ.
凭	საფუძველზე; მეშვეობით	ბილეთით შესვლა შეიძლება.
平均	საშუალოდ	საშუალოდ თითოეულმა ადამიანმა ათი იუანი დახარჯა.
平	ბრტყელი; სწორი	ეს გზა ძალიან სწორია.
平安	უსაფრთხოება; მშვიდობით	გისურვებ უსაფრთხო მგზავრობას.
平常	ჩვეულებრივ	ის ჩვეულებრივ იშვიათად აგვიანებს.
平等	თანასწორი	ყველას თანასწორად უნდა მოეპყრონ.
平方	კვადრატული მეტრი	ეს ოთახი ოცი კვადრატული მეტრია.
平衡	ბალანსი	სამუშაოსა და ცხოვრებას ბალანსი სჭირდება.
平静	მშვიდი	ტბის ზედაპირი ძალიან მშვიდია.
评价	შეფასება	მასწავლებელმა ძალიან მაღალი შეფასება მისცა.
破产	გაკოტრება	ის კომპანია შარშან გაკოტრდა.
破坏	დაზიანება; განადგურება	გთხოვთ, საზოგადოებრივ ქონებას ნუ დააზიანებთ.
迫切	გადაუდებელი	ჩვენ სასწრაფოდ მეტი ექიმი გვჭირდება.
期待	მოლოდინი; მოუთმენლად ლოდინი	ამ მოგზაურობას მოუთმენლად ველი.
期间	პერიოდი; დროს	შეხვედრის დროს ტელეფონი გამორთეთ.
其余	დანარჩენი	დანარჩენ საკითხებს ხვალ განვიხილავთ.
奇迹	სასწაული	ექიმმა თქვა, ეს სასწაულიაო.
企业	საწარმო; კომპანია	ეს საწარმო სწრაფად ვითარდება.
启发	შთაგონება	ამ წიგნმა ბევრი შთაგონება მომცა.
气氛	ატმოსფერო	კლასში ატმოსფერო ძალიან თავისუფალია.
汽油	ბენზინი	მანქანას ბენზინი სჭირდება.
签	ხელის მოწერა	გთხოვთ, აქ ხელი მოაწეროთ.
谦虚	მოკრძალებული	ის შესანიშნავია და თან ძალიან მოკრძალებული.
前途	პერსპექტივა	ამ სპეციალობას კარგი პერსპექტივა აქვს.
浅	მეჩხერი; არაღრმა	ეს მდინარე ძალიან არაღრმაა.
欠	ვალად ყოფნა	მას ჯერ კიდევ ოცი იუანი მართებს.
枪	იარაღი	პოლიციელს ხელში იარაღი უჭირავს.
墙	კედელი	კედელზე ერთი ნახატია დაკიდებული.
强调	ხაზგასმა	მასწავლებელმა უსაფრთხოების საკითხს ხაზი გაუსვა.
强烈	ძლიერი	მას პასუხისმგებლობის ძლიერი გრძნობა აქვს.
抢	წართმევაზე ბრძოლა; დასწრება	სხვებს ადგილებისთვის ნუ შეეცილებით.
悄悄	ჩუმად	ის ოთახში ჩუმად შევიდა.
瞧	შეხედვა	შეხედე, გარეთ თოვს.
巧妙	მოხერხებული; ჭკვიანური	ეს მეთოდი ძალიან მოხერხებულია.
切	დაჭრა	გთხოვთ, ხილი პატარა ნაჭრებად დაჭრათ.
亲爱	ძვირფასი	ძვირფასო მეგობარო, გმადლობ.
亲切	თბილი; კეთილი	მასწავლებელი ძალიან თბილად საუბრობს.
亲自	პირადად	მენეჯერმა სტუმრები პირადად მიიღო.
勤奋	შრომისმოყვარე	შრომისმოყვარე ადამიანები უფრო ადვილად აღწევენ წარმატებას.
清淡	მსუბუქი; ნაკლებად ცხიმიანი	მე მსუბუქი კერძების ჭამა მიყვარს.
轻视	დაუფასებლობა; უგულებელყოფა	ამ პატარა პრობლემას ნუ დაუფასებ.
轻易	ადვილად	ის ადვილად არ დანებდება.
青	მომწვანო-ლურჯი	ეს ტანსაცმელი მომწვანო-ლურჯი ფერისაა.
青春	ახალგაზრდობა	ახალგაზრდობა ძვირფასია.
青少年	მოზარდი	მოზარდებს საკმარისი ძილი სჭირდებათ.
情景	სცენა; ვითარება	ფილმის სცენა ძალიან ამაღელვებელია.
情绪	ემოცია; განწყობა	მისი ემოციები არც ისე სტაბილურია.
请求	თხოვნა	მან ერთი თხოვნა გამოთქვა.
庆祝	აღნიშვნა	მისი დაბადების დღე აღვნიშნეთ.
球迷	გულშემატკივარი	ბევრი გულშემატკივარი მოვიდა თამაშის სანახავად.
趋势	ტენდენცია	ეს ტენდენცია სულ უფრო აშკარა ხდება.
取消	გაუქმება	წვიმის გამო ღონისძიება გაუქმდა.
娶	ცოლის მოყვანა	ის მომავალ წელს მის ცოლად მოყვანას აპირებს.
去世	გარდაცვალება	მისი ბაბუა შარშან გარდაიცვალა.
圈	წრე	გთხოვთ, სწორ პასუხს წრე შემოავლოთ.
全面	ყოვლისმომცველი	მდგომარეობა ყოვლისმომცველად უნდა გავიგოთ.
权利	უფლება	ყველას აქვს განათლების მიღების უფლება.
权力	ძალაუფლება	ძალაუფლება ზედამხედველობის ქვეშ უნდა იყოს.
劝	რჩევის მიცემა	მეგობარმა მირჩია, უფრო ადრე დამესვენა.
缺乏	ნაკლებობა	ამ რეგიონს სუფთა წყალი აკლია.
确定	დადგენა; გარკვევა	დროს ჯერ ვერ ვადგენ.
确认	დადასტურება	გთხოვთ, თქვენი მისამართი დაადასტუროთ.
群	ჯგუფი	ბავშვების ჯგუფი მოედანზე თამაშობს.
燃烧	წვა	ხე იწვის.
绕	გარშემო შემოვლა	ტბას ერთხელ შემოვუარეთ.
热爱	გულით სიყვარული	მას თავისი სამუშაო ძალიან უყვარს.
热烈	თბილი	ყველამ სტუმრები თბილად მიიღო.
热心	გულისხმიერი	მეზობლები ძალიან გულისხმიერები არიან.
人才	ნიჭიერი კადრი	კომპანიას მეტი ნიჭიერი კადრი სჭირდება.
人口	მოსახლეობა	ამ ქალაქს დიდი მოსახლეობა ჰყავს.
人类	კაცობრიობა	კაცობრიობამ დედამიწა უნდა დაიცვას.
人民币	ჩინური იუანი	ცოტა ფული ჩინურ იუანზე გადავცვალე.
人生	ცხოვრება	ცხოვრებაში ბევრი არჩევანია.
人事	კადრების განყოფილება	ის კადრების განყოფილებაში მუშაობს.
人物	პერსონაჟი	რომანის პერსონაჟები ძალიან ნამდვილები ჩანან.
人员	პერსონალი	პერსონალი უკვე სრულად მოვიდა.
忍不住	თავის შეკავება ვერ	ხუმრობის გაგონებაზე სიცილი ვერ შეიკავა.
日常	ყოველდღიური	ეს ჩემი ყოველდღიური სამუშაოა.
日程	განრიგი	დღევანდელი განრიგი ძალიან გადატვირთულია.
日历	კალენდარი	კედელზე კალენდარია დაკიდებული.
日期	თარიღი	გთხოვთ, თარიღი გარკვევით დაწეროთ.
日用品	ყოველდღიური მოხმარების ნივთები	სუპერმარკეტში ბევრი ყოველდღიური ნივთი იყიდება.
日子	დღეები; პერიოდი	ამ დღეებში ის ძალიან დაკავებულია.
如何	როგორ	ეს პრობლემა როგორ უნდა გადავჭრათ?
如今	ახლა; ამჟამად	ახლა ტრანსპორტი ბევრად უფრო მოსახერხებელია.
软	რბილი	ეს საწოლი ძალიან რბილია.
软件	პროგრამული უზრუნველყოფა	ეს პროგრამული უზრუნველყოფა მარტივი გამოსაყენებელია.
弱	სუსტი	მისი სხეული შედარებით სუსტია.
洒	დაღვრა; მოფრქვევა	მან შემთხვევით წყალი დაღვარა.
嗓子	ყელი	ყელი ცოტა მტკივა.
色彩	ფერები; შეფერილობა	ამ ნახატს ძალიან მდიდარი ფერები აქვს.
杀	მოკვლა	ამ ფილმში მკვლელობის სცენები არ არის.
沙漠	უდაბნო	უდაბნოში წყალი ძალიან ძვირფასია.
沙滩	ქვიშიანი სანაპირო	ბავშვები ქვიშიან სანაპიროზე თამაშობენ.
傻	სულელური	სულელური რამ არ გააკეთო.
晒	მზეზე გაშრობა	ტანსაცმელი აივანზე მზეზე შრება.
删除	წაშლა	გთხოვთ, ეს ელფოსტა წაშალოთ.
闪电	ელვა	ღამით ელვა გამოჩნდა.
善良	კეთილი	ის კეთილი ადამიანია.
善于	კარგად გამოსდიოდეს	მას პრობლემების გადაჭრა კარგად გამოსდის.
扇子	სავენტილაციო მარაო	ზაფხულში ხშირად მარაოს ვიყენებ.
伤害	ზიანის მიყენება; ტკივენა	სხვის გრძნობებს ნუ ატკენთ.
商品	საქონელი	ამ მაღაზიაში ბევრი საქონელია.
商务	საქმიანი; კომერციული საქმეები	ის ხვალ საქმიან შეხვედრას დაესწრება.
商业	ვაჭრობა; კომერცია	ამ რაიონში ვაჭრობა კარგად არის განვითარებული.
上当	მოტყუება; ანკესზე წამოგება	ის კინაღამ მოტყუვდა.
蛇	გველი	ბალახში ერთი გველია.
舍不得	გულის დაწყვეტა; ვერ ელეოდეს	აქედან წასვლა მენანება.
射击	სროლა	ის სროლაში ვარჯიშობს.
摄影	ფოტოგრაფია; გადაღება	მას ფოტოგრაფია ძალიან აინტერესებს.
设备	აღჭურვილობა	ლაბორატორიის აღჭურვილობა ძალიან თანამედროვეა.
设计	დიზაინი; დაგეგმვა	ეს დიზაინი ძალიან კრეატიულია.
设施	ობიექტები; საშუალებები	სკოლის სპორტული ობიექტები კარგია.
伸	გაწვდენა	გთხოვთ, ხელი გაწვდეთ.
深刻	ღრმა	ამ გამოცდილებამ ჩემზე ღრმა შთაბეჭდილება დატოვა.
身材	აღნაგობა	მას ჯანსაღი აღნაგობა აქვს.
身份	ვინაობა; სტატუსი	გთხოვთ, ვინაობის დამადასტურებელი საბუთი აჩვენოთ.
神话	მითი	ბავშვებს მითების მოსმენა უყვართ.
神秘	იდუმალი	ეს ძველი ქალაქი ძალიან იდუმალია.
升	ლიტრი; მატება	საწვავის ფასი თითო ლიტრზე ცოტათი გაიზარდა.
声调	ტონი	ჩინურში ოთხი ძირითადი ტონია.
生产	წარმოება	ეს ქარხანა მობილურ ტელეფონებს აწარმოებს.
生动	ცოცხალი; ხატოვანი	მასწავლებელი ძალიან ხატოვნად ხსნის.
生长	ზრდა	ეს მცენარე სწრაფად იზრდება.
绳子	თოკი	გთხოვთ, ყუთი თოკით კარგად შეკრათ.
省略	გამოტოვება	აქ ერთი იეროგლიფის გამოტოვება შეიძლება.
胜利	გამარჯვება	მათ ბოლოს გამარჯვებას მიაღწიეს.
失眠	უძილობა	ბოლო დროს მას ხშირად უძილობა აწუხებს.
失去	დაკარგვა	ნდობას ნუ დაკარგავთ.
失业	უმუშევრად დარჩენა	სამსახურის დაკარგვის შემდეგ მან ახალი უნარების სწავლა დაიწყო.
湿润	ნესტიანი	წვიმის შემდეგ ჰაერი ძალიან ნესტიანია.
狮子	ლომი	ზოოპარკში ორი ლომია.
诗	ლექსი	მან ერთი ლექსი დაწერა.
实话	სიმართლე	გთხოვთ, სიმართლე თქვათ.
实践	პრაქტიკა	თეორია პრაქტიკით უნდა შემოწმდეს.
实习	სტაჟირება	ის ზაფხულის არდადეგებზე საავადმყოფოში სტაჟირებას გაივლის.
实现	განხორციელება	მან ბოლოს თავისი ოცნება აიხდინა.
实验	ექსპერიმენტი	სტუდენტები ექსპერიმენტს ატარებენ.
实用	პრაქტიკული	ეს ინსტრუმენტი ძალიან პრაქტიკულია.
时差	დროის სხვაობა	ის დროის სხვაობას ჯერ არ შეჩვევია.
时代	ეპოქა	ჩვენ ინფორმაციის ეპოქაში ვცხოვრობთ.
时刻	მომენტი	გთხოვთ, ეს მნიშვნელოვანი მომენტი დაიმახსოვროთ.
时髦	მოდური	ეს ტანსაცმელი ძალიან მოდურია.
时期	პერიოდი	უნივერსიტეტის პერიოდმა მასზე დიდი გავლენა მოახდინა.
时尚	მოდა	მას მოდა ძალიან აინტერესებს.
石头	ქვა	გზის პირას ერთი ქვა დევს.
食物	საკვები	გთხოვთ, საკვები მაცივარში შედოთ.
使劲儿	ძალის დატანება	ამ ბოთლის გასახსნელად ძალის დატანებაა საჭირო.
始终	მუდამ; თავიდან ბოლომდე	მას მუდამ სჯეროდა, რომ წარმატებას მიაღწევდა.
事实	ფაქტი	ფაქტებმა დაამტკიცა, რომ ის მართალი იყო.
事物	საგანი; მოვლენა	ბავშვებს ახალი საგნები ძალიან აინტერესებთ.
事先	წინასწარ	გთხოვთ, დრო წინასწარ მითხრათ.
似的	თითქოს	ის ისეთი დაღლილი ჩანდა, თითქოს ერთი სიტყვის თქმაც არ უნდოდა.
士兵	ჯარისკაცი	ჯარისკაცები ვარჯიშობენ.
市场	ბაზარი	ეს ბაზარი ძალიან ცოცხალია.
试卷	საგამოცდო ნაშრომი	მასწავლებელი საგამოცდო ნაშრომებს ასწორებს.
收获	მონაგარი; შედეგი	ამ მოგზაურობამ ბევრი რამ მომცა.
收据	ქვითარი	გადახდის შემდეგ ქვითარი შეინახეთ.
手工	ხელით ნაკეთები	ეს საჩუქარი ხელით არის გაკეთებული.
手术	ოპერაცია	ექიმი ხვალ მას ოპერაციას გაუკეთებს.
手套	ხელთათმანი	ზამთარში გარეთ გასვლისას ხელთათმანები ჩაიცვით.
手续	პროცედურები	პროცედურების გასავლელად პირადობის მოწმობაა საჭირო.
手指	თითი	მას თითი დაუზიანდა.
首	სათვლელი სიტყვა სიმღერისთვის	მან ერთი სიმღერა იმღერა.
受伤	დაშავება	ის შეჯიბრის დროს დაშავდა.
寿命	მუშაობის ვადა; სიცოცხლის ხანგრძლივობა	ამ ტიპის მანქანას მუშაობის ხანგრძლივი ვადა აქვს.
书架	წიგნების თარო	წიგნების თარო წიგნებით არის სავსე.
梳子	სავარცხელი	ის თმას სავარცხლით ივარცხნის.
舒适	კომფორტული	ეს ოთახი ძალიან კომფორტულია.
蔬菜	ბოსტნეული	მეტი ბოსტნეულის ჭამა ჯანმრთელობისთვის კარგია.
输入	შეყვანა	გთხოვთ, პაროლი კომპიუტერში შეიყვანოთ.
熟练	დახელოვნებული	ის კომპიუტერს დახელოვნებულად იყენებს.
属于	ეკუთვნოდეს	ეს წიგნი ბიბლიოთეკას ეკუთვნის.
数	დათვლა	გთხოვთ, დათვალოთ, რამდენი ადამიანია.
鼠标	კომპიუტერის მაუსი	ჩემი კომპიუტერის მაუსი გაფუჭდა.
数据	მონაცემები	ეს მონაცემები ძალიან მნიშვნელოვანია.
数码	ციფრული	მან ციფრული კამერა იყიდა.
摔倒	დაცემა	ის გზაზე დაეცა.
甩	დაბერტყვა; მოქნევა	მან ხელებიდან წყალი დაიბერტყა.
双方	ორივე მხარე	ორივე მხარე ამ გეგმას დაეთანხმა.
税	გადასახადი	ნივთის ყიდვისას გადასახადი უნდა გადაიხადოთ.
说不定	შეიძლება	შეიძლება ხვალ თოვლი მოვიდეს.
说服	დარწმუნება	მან ბოლოს მშობლები დაარწმუნა.
丝绸	აბრეშუმი	ეს შარფი აბრეშუმისგან არის დამზადებული.
丝毫	სულ მცირე; ოდნავაც	მან აზრი ოდნავაც არ შეცვალა.
思考	ფიქრი	გთხოვთ, ამ საკითხზე სერიოზულად იფიქროთ.
思想	აზროვნება; იდეა	მისი აზროვნება ძალიან ღიაა.
撕	გახევა	გთხოვთ, ეს ქაღალდი არ გახიოთ.
私人	პირადი	ეს ჩემი პირადი სივრცეა.
似乎	როგორც ჩანს	როგორც ჩანს, ის არც ისე გახარებულია.
搜索	ძებნა	ინტერნეტში მასალები მოვძებნე.
宿舍	საერთო საცხოვრებელი	სტუდენტები სკოლის საერთო საცხოვრებელში ცხოვრობენ.
随身	თან ტარება	გთხოვთ, პასპორტი თან იქონიოთ.
随时	ნებისმიერ დროს	შეგიძლია ნებისმიერ დროს დამირეკო.
随手	თანვე; გზადაგზა	გასვლისას კარი თანვე დახურეთ.
碎	დამტვრევა	ჭიქა მიწაზე დაეცა და დაიმტვრა.
损失	ზარალი	ამ ავარიამ დიდი ზარალი გამოიწვია.
缩短	შემოკლება	ახალმა მარშრუტმა გზა შეამოკლა.
所	სათვლელი სიტყვა დაწესებულებისთვის	ეს სკოლა ძალიან ცნობილია.
锁	ჩაკეტვა	გარეთ გასვლამდე კარი კარგად ჩაკეტეთ.
台阶	საფეხურები	მოხუცი ნელა ავიდა საფეხურებზე.
太极拳	ტაიძი ჩუანი	პარკში ხალხი ტაიძი ჩუანს ვარჯიშობს.
太太	ქალბატონი	ქალბატონი ვანი საჭმელს ამზადებს.
谈判	მოლაპარაკება	ორივე მხარე მოლაპარაკებას აწარმოებს.
坦率	გულწრფელი	მან თავისი აზრი გულწრფელად თქვა.
烫	ძალიან ცხელი; დაწვა	ეს ჩაი ძალიან ცხელია.
桃	ატამი	ხეზე ბევრი ატამი მოვიდა.
淘气	ცელქი	ეს ბავშვი ცოტა ცელქია.
逃	გაქცევა	ლეკვი ეზოდან გაიქცა.
逃避	თავის არიდება	პასუხისმგებლობას ნუ გაექცევი.
讨价还价	ვაჭრობა; ფასზე მოლაპარაკება	ყიდვისას მას ფასზე ვაჭრობა უყვარს.
套	კომპლექტი	მან ახალი ტანსაცმლის კომპლექტი იყიდა.
特色	თავისებურება	ამ რესტორანს ადგილობრივი თავისებურება აქვს.
特殊	განსაკუთრებული	დღეს განსაკუთრებული დღეა.
特征	ნიშანი; მახასიათებელი	ამ ცხოველს აშკარა ნიშნები აქვს.
疼爱	განსაკუთრებით სიყვარული	ბებია-ბაბუას ბავშვი ძალიან უყვარს.
提倡	წახალისება; მხარდაჭერა	სკოლა წყლის დაზოგვას წაახალისებს.
提纲	გეგმა; კონსპექტი	სტატიის დაწერამდე ჯერ გეგმა შეადგინეთ.
提问	კითხვის დასმა	სტუდენტებს ნებისმიერ დროს შეუძლიათ კითხვების დასმა.
题目	სათაური; საკითხი	ეს საკითხი არც ისე რთულია.
体会	გააზრება; გამოცდილებით გაგება	მოგზაურობით ახალი გააზრება მივიღე.
体贴	ყურადღებიანი	ის ოჯახის მიმართ ძალიან ყურადღებიანია.
体现	ასახვა	ეს საქმე გუნდურ სულს ასახავს.
体验	გამოცდა	ადგილობრივი ცხოვრების გამოცდა მინდა.
天空	ცა	დღეს ცა ძალიან ლურჯია.
天真	უმანკო; გულუბრყვილო	ბავშვის აზრი ძალიან გულუბრყვილოა.
调皮	ცელქი	ის კატა ძალიან ცელქია.
调整	შესწორება; მორგება	გეგმა უნდა შევასწოროთ.
挑战	გამოწვევა	ეს დიდი გამოწვევაა.
通常	ჩვეულებრივ	ის ჩვეულებრივ შვიდ საათზე დგება.
统一	გაერთიანება	ყველას აზრი უნდა გაერთიანდეს.
痛苦	ტკივილი; ტანჯვა	მეგობრის დაკარგვამ მას დიდი ტკივილი მიაყენა.
痛快	გულიანად; ხალისით	დღეს მართლა გულიანად ვითამაშეთ.
偷	მოპარვა	სხვის ნივთებს ნუ მოიპარავთ.
投入	გატაცებით ჩართვა	ის საქმეს დიდი გატაცებით აკეთებს.
投资	ინვესტიცია	მათ ახალ პროექტში ინვესტიცია ჩადეს.
透明	გამჭვირვალე	ეს ჭიქა გამჭვირვალეა.
突出	გამორჩეული	მისი ძლიერი მხარეები ძალიან გამორჩეულია.
土地	მიწა	ეს მიწა ძალიან ნაყოფიერია.
土豆	კარტოფილი	რამდენიმე კარტოფილი ვიყიდე.
兔子	კურდღელი	ბავშვს ერთი კურდღელი ჰყავს.
吐	გულისრევა; ღებინება	ის თავს ცუდად გრძნობს და გულისრევა აქვს.
团	ჯგუფი	ჩვენ ერთ ტურისტულ ჯგუფს შევუერთდით.
推辞	უარის თქმა	მან მეგობრის მოწვევაზე უარი თქვა.
推广	პოპულარიზაცია; წინ წაწევა	კომპანია ახალ პროდუქტს ავრცელებს.
推荐	რეკომენდაცია	მასწავლებელმა ეს წიგნი ურჩია.
退	უკან დახევა	გთხოვთ, ერთი ნაბიჯით უკან დაიხიოთ.
退步	უკუსვლა	თუ არ ივარჯიშებ, დონე დაგიქვეითდება.
退休	პენსიაზე გასვლა	ის მომავალ წელს პენსიაზე გავა.
歪	დახრილი; მრუდე	ეს ნახატი მრუდედ კიდია.
外公	დედის მამა	ჩემი დედის მამა წელს ოთხმოცი წლისაა.
外交	დიპლომატია	ის საერთაშორისო ურთიერთობებსა და დიპლომატიას სწავლობს.
完美	სრულყოფილი	ეს გეგმა სრულყოფილი არ არის.
完善	გაუმჯობესება; სრულყოფა	მომსახურების პროცესი უნდა გავაუმჯობესოთ.
完整	სრული	გთხოვთ, სრული ანგარიში მომცეთ.
玩具	სათამაშო	ბავშვმა სათამაშოები ყუთში ჩააწყო.
万一	თუ შემთხვევით; ყოველი შემთხვევისთვის	თუ წვიმა მოვიდა, სხვა დღეს წავალთ.
王子	პრინცი	ზღაპრის პრინცი ძალიან მამაცია.
往返	წასვლა-დაბრუნება	ამ ბილეთით იმავე დღეს წასვლა-დაბრუნება შეიძლება.
网络	ქსელი; ინტერნეტი	აქ ინტერნეტკავშირი ძალიან სტაბილურია.
危害	ზიანის მიყენება	მოწევა ჯანმრთელობას აზიანებს.
威胁	მუქარა; საფრთხის შექმნა	დაბინძურება მდინარეს საფრთხეს უქმნის.
微笑	გაღიმება	მან გამიღიმა.
唯一	ერთადერთი	ეს ერთადერთი გზაა.
围巾	შარფი	ზამთარში ის შარფს ატარებს.
围绕	გარშემო; ირგვლივ	მსჯელობა ამ საკითხის გარშემო გაიმართა.
维修	შეკეთება	ლიფტი ახლა შეკეთებაზეა.
违反	დარღვევა	ასე მოქცევა წესებს არღვევს.
伟大	დიდებული	ეს დიდებული აღმოჩენაა.
委屈	უსამართლოდ დაჩაგრულად გრძნობა	მან თავი ძალიან დაჩაგრულად იგრძნო.
尾巴	კუდი	ლეკვი კუდს აქიცინებდა.
位于	მდებარეობა	სკოლა ქალაქის ცენტრში მდებარეობს.
位置	ადგილი; მდებარეობა	ეს ადგილი ძალიან მშვიდია.
未必	აუცილებელი არ არის	მისი ნათქვამი აუცილებელი არ არის სიმართლე იყოს.
未来	მომავალი	მომავლისთვის უნდა მოვემზადოთ.
胃	კუჭი	კუჭი ცოტა მაწუხებს.
胃口	მადა	დღეს მას კარგი მადა აქვს.
温暖	თბილი	გაზაფხულის მზე ძალიან თბილია.
温柔	ნაზი	ის ძალიან ნაზად ლაპარაკობს.
文件	დოკუმენტი; ფაილი	გთხოვთ, დოკუმენტი გამომიგზავნოთ.
文具	საკანცელარიო ნივთები	ჩანთაში ბევრი საკანცელარიო ნივთია.
文明	ცივილიზებული; კულტურული	რიგში დგომა კულტურული ქცევაა.
文学	ლიტერატურა	მას ჩინური ლიტერატურა მოსწონს.
文字	წერილობითი ნიშნები; დამწერლობა	ამ ნიშნების წაკითხვა რთულია.
闻	სუნის შეგრძნება	ყვავილის სურნელი ვიგრძენი.
吻	კოცნა	დედამ ბავშვს ლოყაზე აკოცა.
稳定	სტაბილური	ფასები სტაბილურად რჩება.
问候	მოკითხვა	გთხოვთ, ჩემგან თქვენი ოჯახი მოიკითხოთ.
卧室	საძინებელი	საძინებელში დიდი საწოლი დგას.
握手	ხელის ჩამორთმევა	შეხვედრისას მათ ხელი ჩამოართვეს.
屋子	ოთახი	ოთახში თბილა.
无奈	უმწეობა; სხვა გზა არ ჰქონდეს	მან უმწეოდ თავი გააქნია.
无数	უთვალავი	ღამის ცაზე უთვალავი ვარსკვლავია.
无所谓	მნიშვნელობა არ აქვს	რა გინდა ჭამო, მნიშვნელობა არ აქვს.
武术	საბრძოლო ხელოვნება	ის ბავშვობიდან საბრძოლო ხელოვნებას სწავლობს.
勿	არ შეიძლება	გთხოვთ, აქ არ მოწიოთ.
物理	ფიზიკა	ფიზიკის გაკვეთილი ძალიან საინტერესოა.
物质	ნივთიერება	წყალი მნიშვნელოვანი ნივთიერებაა.
雾	ნისლი	დილით სქელი ნისლი იყო.
吸取	სწავლა; გაკვეთილის მიღება	ამ შემთხვევიდან გაკვეთილი უნდა მივიღოთ.
吸收	შეწოვა	მცენარეები წყალს იწოვენ.
戏剧	დრამა; თეატრი	მას ტრადიციული დრამის ყურება უყვარს.
系	ფაკულტეტი; განყოფილება	ის ჩინური ენის ფაკულტეტზე სწავლობს.
系统	სისტემა	ეს სისტემა სტაბილურად მუშაობს.
细节	დეტალი	გთხოვთ, ამ დეტალებს ყურადღება მიაქციოთ.
瞎	ბრმად; უაზროდ	ბრმად ნუ ივარაუდებ, ჯერ მასალები ნახე.
下载	ჩამოტვირთვა	ეს პროგრამული უზრუნველყოფა ჩამოვტვირთე.
吓	შეშინება	უეცარმა ხმამ შემაშინა.
夏令营	საზაფხულო ბანაკი	ბავშვი ჩინური ენის საზაფხულო ბანაკში მონაწილეობდა.
鲜艳	კაშკაშა	ამ კაბის ფერი ძალიან კაშკაშაა.
显得	გამოჩენა; ისე ჩანდეს	ეს ტანსაცმელი მას ძალიან ახალგაზრდად აჩენს.
显然	აშკარად	აშკარად, მან შედეგი უკვე იცის.
显示	ჩვენება	ეკრანი დროს არასწორად აჩვენებს.
县	მაზრა; ადმინისტრაციული რაიონი	ამ მაზრაში ბევრი ჩაის პლანტაციაა.
现代	თანამედროვე	თანამედროვე ცხოვრება ინტერნეტის გარეშე წარმოუდგენელია.
现实	რეალობა	რეალობას უნდა შევხვდეთ.
现象	მოვლენა	ეს მოვლენა ძალიან ხშირია.
限制	შეზღუდვა	აქ მანქანების შესვლა შეზღუდულია.
相处	ურთიერთობა; შეწყობა	ისინი ერთმანეთს კარგად ეწყობიან.
相当	საკმაოდ	ეს წიგნი საკმაოდ საინტერესოა.
相对	შედარებით	აქ ფასები შედარებით იაფია.
相关	დაკავშირებული	გთხოვთ, შესაბამისი მასალები მოგვაწოდოთ.
相似	მსგავსი	ამ ორი იეროგლიფის მნიშვნელობა ძალიან მსგავსია.
香肠	ძეხვი	საუზმეზე კვერცხი და ძეხვია.
享受	სიამოვნების მიღება	ისინი შვებულებით ტკბებიან.
想念	მონატრება	ოჯახი ძალიან მენატრება.
想象	წარმოდგენა	ასეთი ცხოვრების წარმოდგენა არ შემიძლია.
象棋	ჩინური ჭადრაკი	ბაბუას ჩინური ჭადრაკის თამაში უყვარს.
象征	სიმბოლო; სიმბოლიზება	თეთრი ფერი ხშირად სიწმინდეს აღნიშნავს.
项	პუნქტი; ერთეული	ეს ამოცანა ძალიან მნიშვნელოვანია.
项链	ყელსაბამი	მას ვერცხლის ყელსაბამი უკეთია.
项目	პროექტი	ამ პროექტს სამი თვე სჭირდება.
消费	მოხმარება	დღესასწაულის პერიოდში მოხმარება გაიზარდა.
消化	მონელება	ჭამის შემდეგ სეირნობა მონელებას ეხმარება.
消极	უარყოფითი; პასიური	პრობლემას უარყოფითი დამოკიდებულებით ნუ შეხედავთ.
消失	გაქრობა	მზე ნელა გაქრა მთის უკან.
销售	გაყიდვა	ეს კომპანია ელექტრონულ პროდუქტებს ყიდის.
小麦	ხორბალი	ჩრდილოეთში ბევრი ხორბალია დათესილი.
小气	ძუნწი	ასე ძუნწი ნუ იქნები.
孝顺	მშობლების პატივისმცემი	ის მშობლების მიმართ ძალიან პატივისმცემელია.
效率	ეფექტიანობა	ასე გაკეთება ეფექტიანობას გაზრდის.
歇	დასვენება	ჯერ ცოტა დავისვენოთ.
斜	დახრილი	ეს გზა ცოტა დახრილია.
写作	წერა	წერას ხანგრძლივი ვარჯიში სჭირდება.
心理	ფსიქოლოგიური	გამოცდის წინ ფსიქოლოგიური მდგომარეობა უნდა მოაწესრიგო.
心脏	გული	გულის ჯანმრთელობა ძალიან მნიშვნელოვანია.
欣赏	ტკბობა; შეფასება	ლამაზი პეიზაჟით დავტკბით.
信号	სიგნალი	აქ მობილურის სიგნალი ცუდია.
信任	ნდობა	მეგობრებს შორის ნდობა საჭიროა.
形成	ჩამოყალიბება	კარგი ჩვევები ნელ-ნელა ყალიბდება.
