hsk_key	source_word	simplified	KA	example_KA	HY	example_HY
2755:没法儿	没法儿	没法儿	ვერ; გზა არ არის	წვიმა ძალიან ძლიერია, გარეთ ვერ გავალთ.	չկարողանալ; ելք չունենալ	Անձրևը շատ ուժեղ է, մենք չենք կարող դուրս գալ։
2756:玫瑰	玫瑰	玫瑰	ვარდი	ყვავილების მაღაზიის შესასვლელთან ბევრი ვარდი აწყვია.	վարդ	Ծաղկի խանութի մուտքի մոտ շատ վարդեր են դրված։
2759:美味	美味	美味	გემრიელი; გემრიელი საჭმელი	ეს კერძი ძალიან გემრიელია.	համեղ; համեղ ուտելիք	Այս ուտեստը շատ համեղ է։
2761:门诊	门诊	门诊	ამბულატორია; ამბულატორიული მიღება	დილით ის საავადმყოფოში ამბულატორიულ მიღებაზე წავიდა.	ամբուլատոր բաժանմունք	Նա առավոտյան գնաց հիվանդանոցի ամբուլատոր բաժանմունք։
2762:迷	迷	迷	გულშემატკივარი; მოყვარული	ის კალათბურთის გულშემატკივარია.	երկրպագու; սիրահար	Նա բասկետբոլի երկրպագու է։
2767:面2	面2	面	მხარე; ზედაპირი	კედლის ამ მხარეს ხელახლა შეღებვა სჭირდება.	կողմ; մակերես	Պատի այս կողմը պետք է նորից ներկել։
2770:面向	面向	面向	მიმართული იყოს; პირისპირ იყოს	ეს კურსი დამწყებებისთვის არის განკუთვნილი.	ուղղված լինել; դեմքով նայել	Այս դասընթացը ուղղված է սկսնակներին։
2771:描述	描述	描述	აღწერა	გთხოვთ მოკლედ აღწეროთ, რა მოხდა.	նկարագրել	Խնդրում եմ նկարագրեք, թե ինչ է տեղի ունեցել։
2773:名称	名称	名称	სახელი; დასახელება	გთხოვთ ფორმაში კომპანიის დასახელება ჩაწეროთ.	անուն; անվանում	Խնդրում ենք ձևաթղթում լրացնել ընկերության անվանումը։
2779:命1	命1	命	სიცოცხლე; ბედი	ამ ოპერაციამ მისი სიცოცხლე გადაარჩინა.	կյանք; ճակատագիր	Այս վիրահատությունը փրկեց նրա կյանքը։
2790:难度	难度	难度	სირთულე	ამ ამოცანის სირთულე მცირე არ არის.	դժվարություն	Այս խնդրի դժվարությունը փոքր չէ։
2791:难以	难以	难以	ძნელი; რთულად	ამ პრობლემის მოკლე ვადაში გადაჭრა რთულია.	դժվար է	Այս խնդիրը կարճ ժամանակում լուծելը դժվար է։
2792:男子	男子	男子	კაცი; მამაკაცი	ერთი ახალგაზრდა კაცი გზას კითხულობს.	տղամարդ	Մի երիտասարդ տղամարդ ճանապարհ է հարցնում։
2793:闹	闹	闹	ხმაურიანი; არეულობის მოწყობა	გარეთ ძალიან ხმაურია, ვერ ვისვენებ.	աղմկոտ; անհանգստացնել	Դրսում շատ աղմկոտ է, ես չեմ կարող հանգստանալ։
2794:闹钟	闹钟	闹钟	მაღვიძარა	მაღვიძარა დილის ექვს საათზე დავაყენე.	զարթուցիչ	Ես զարթուցիչը դրեցի առավոտյան ժամը վեցին։
2797:年初	年初	年初	წლის დასაწყისი	წლის დასაწყისში კომპანიამ ახალი გეგმა შეადგინა.	տարվա սկիզբ	Տարվա սկզբին ընկերությունը նոր ծրագիր կազմեց։
2800:年夜饭	年夜饭	年夜饭	ახალი წლის ღამის ვახშამი	მთელი ოჯახი ერთად ჭამს ახალი წლის ღამის ვახშამს.	Նոր տարվա նախօրեի ընթրիք	Ամբողջ ընտանիքը միասին ուտում է Նոր տարվա նախօրեի ընթրիքը։
2806:女子	女子	女子	ქალი	ის ქალი ინტერვიუს იღებს.	կին	Այդ կինը հարցազրույց է տալիս։
2810:拍摄	拍摄	拍摄	გადაღება; ფოტოს გადაღება	ისინი ზღვის პირას საქორწილო ფოტოებს იღებენ.	նկարահանել; լուսանկարել	Նրանք ծովափին հարսանեկան լուսանկարներ են անում։
2813:派出所	派出所	派出所	პოლიციის განყოფილება	მან დაკარგული საფულე პოლიციის განყოფილებაში მიიტანა.	ոստիկանական բաժանմունք	Նա կորած դրամապանակը հանձնեց ոստիկանության բաժանմունք։
2814:跑道	跑道	跑道	სარბენი ბილიკი; ასაფრენი ზოლი	სპორტსმენი სარბენი ბილიკის საწყის წერტილთან იდგა.	վազքուղի; թռիչքուղի	Մարզիկը կանգնած էր վազքուղու մեկնարկային կետում։
2815:赔	赔	赔	ანაზღაურება; ზარალის გადახდა	მან ჭიქა გატეხა და ფული საკუთარი ინიციატივით აანაზღაურა.	փոխհատուցել; վճարել վնասի համար	Նա կոտրեց բաժակը և կամավոր փոխհատուցեց գումարը։
2816:陪伴	陪伴	陪伴	თან ყოფნა; თანხლება	ოჯახის თან ყოფნამ მას ბევრად მეტი სიმშვიდე მისცა.	ուղեկցել; կողքին լինել	Ընտանիքի կողքին լինելը նրան շատ ավելի հանգիստ դարձրեց։
2819:配	配	配	შეხამება; განაწილება	ეს ჰალსტუხი კოსტიუმს კარგად უხდება.	համապատասխանել; բաշխել	Այս փողկապը շատ լավ է սազում կոստյումին։
2821:配送	配送	配送	მიტანა; დარიგება	პლატფორმა საქონელს ორ საათში მიიტანს.	առաքել; բաշխել	Հարթակը ապրանքները կառաքի երկու ժամվա ընթացքում։
2824:碰见	碰见	碰见	შემთხვევით შეხვედრა	სუპერმარკეტში ძველი თანაკლასელი შემხვდა.	պատահաբար հանդիպել	Սուպերմարկետում պատահաբար հանդիպեցի հին դասընկերոջս։
2830:拼	拼	拼	აწყობა; ასოებად დაწერა; მთელი ძალით ბრძოლა	ბავშვმა ეს ნახატები ერთად ააწყო.	միացնել; տառերով գրել; ջանալ	Երեխան այս նկարները իրար միացրեց։
2832:品	品	品	ხარისხი; პროდუქტი; დაგემოვნება	ეს მაღაზია ბევრ ადგილობრივ სპეციალურ პროდუქტს ყიდის.	տեսակ; ապրանք; համտեսել	Այս խանութը վաճառում է շատ տեղական հատուկ ապրանքներ։
2833:品牌	品牌	品牌	ბრენდი	ამ ბრენდის საყოფაცხოვრებო ტექნიკა კარგი ხარისხისაა.	ապրանքանիշ	Այս ապրանքանիշի կենցաղային տեխնիկան լավ որակի է։
2836:聘请	聘请	聘请	დაქირავება; მოწვევა	სკოლამ ახალი მასწავლებელი დაიქირავა.	վարձել; հրավիրել	Դպրոցը վարձեց նոր ուսուցիչ։
2838:评	评	评	შეფასება; კომენტარის გაკეთება	მასწავლებელი თითოეული მოსწავლის თხზულებას შეაფასებს.	գնահատել; մեկնաբանել	Ուսուցիչը կգնահատի յուրաքանչյուր աշակերտի շարադրությունը։
2843:凭借	凭借	凭借	დაყრდნობით; საშუალებით	მან შრომის წყალობით უნივერსიტეტში ჩააბარა.	հիմնվելով; շնորհիվ	Նա ջանքերի շնորհիվ ընդունվեց համալսարան։
2847:平台	平台	平台	პლატფორმა	ამ პლატფორმაზე ჩინურის ონლაინ სწავლა შეიძლება.	հարթակ	Այս հարթակում կարելի է առցանց չինարեն սովորել։
2852:齐	齐	齐	მწყობრი; სრული; ერთად	ყველამ მაგიდები და სკამები სწორად დაალაგა.	կոկիկ; ամբողջական; միասին	Բոլորը սեղաններն ու աթոռները կոկիկ դասավորեցին։
2853:其	其	其	მისი; მათი	ეს კომპანია თავის საზღვარგარეთის ბიზნესს აფართოებს.	նրա; իրենց	Այս ընկերությունը ընդլայնում է իր արտասահմանյան բիզնեսը։
2857:气球	气球	气球	ბუშტი	ბავშვს ხელში წითელი ბუშტი უჭირავს.	փուչիկ	Երեխան ձեռքում կարմիր փուչիկ է պահում։
2860:签订	签订	签订	ხელმოწერა; დადება	ორივე მხარე ხვალ თანამშრომლობის შეთანხმებას მოაწერს ხელს.	ստորագրել; կնքել	Երկու կողմերը վաղը կստորագրեն համագործակցության համաձայնագիրը։
2861:签名	签名	签名	ხელმოწერა; სახელის მოწერა	გთხოვთ ფორმის ქვემოთ ხელი მოაწეროთ.	ստորագրություն; ստորագրել	Խնդրում ենք ստորագրել ձևաթղթի ներքևում։
2862:签字	签字	签字	ხელის მოწერა	ხელშეკრულებას პირადად უნდა მოეწეროს ხელი.	ստորագրել	Պայմանագիրը պետք է ստորագրի տվյալ անձը։
2863:前进	前进	前进	წინსვლა	ჯგუფი მთის მწვერვალისკენ წინსვლას აგრძელებდა.	առաջ շարժվել	Խումբը շարունակեց առաջ շարժվել դեպի լեռան գագաթը։
2864:前来	前来	前来	მოსვლა; ჩამოსვლა	ბევრი მაყურებელი მოვიდა შეჯიბრის სანახავად.	գալ; ժամանել	Շատ հանդիսատեսներ եկան մրցումը դիտելու։
2866:前往	前往	前往	გამგზავრება; წასვლა	დელეგაცია ხვალ შანხაიში გაემგზავრება.	մեկնել; գնալ	Պատվիրակությունը վաղը կմեկնի Շանհայ։
2870:强大	强大	强大	ძლიერი; მძლავრი	ეს გუნდი ძალიან ძლიერია.	ուժեղ; հզոր	Այս թիմը շատ ուժեղ է։
2872:强度	强度	强度	ინტენსივობა; სიმტკიცე	ვარჯიშის ინტენსივობა ძალიან მაღალია და ყველა დაიღალა.	ինտենսիվություն; ուժգնություն	Մարզման ինտենսիվությունը շատ մեծ է, և բոլորը հոգնած են։
2878:亲	亲	亲	კოცნა; ახლო	დედამ ბავშვს ლოყაზე აკოცა.	համբուրել; մոտիկ	Մայրը համբուրեց երեխայի այտը։
2880:亲朋好友	亲朋好友	亲朋好友	ნათესავები და მეგობრები	გაზაფხულის დღესასწაულზე ნათესავები და მეგობრები სახლში სადილად მოვიდნენ.	ազգականներ ու ընկերներ	Գարնան տոնի ժամանակ ազգականներն ու ընկերները բոլորը տուն եկան ընթրիքի։
2882:亲情	亲情	亲情	ოჯახური სიყვარული	ეს ფილმი ოჯახურ სიყვარულზეა.	ընտանեկան սեր	Այս ֆիլմը ընտանեկան սիրո մասին է։
2883:亲人	亲人	亲人	ოჯახის წევრი; ახლობელი	ავადმყოფობის დროს ახლობლების გვერდით ყოფნა ძალიან მნიშვნელოვანია.	հարազատ; ընտանիքի անդամ	Հիվանդության ժամանակ հարազատների կողքին լինելը շատ կարևոր է։
2888:轻重	轻重	轻重	მნიშვნელობა; წონა	საქმეების მოგვარებისას უნდა გაარჩიო, რა არის უფრო მნიშვნელოვანი.	կարևորություն; քաշ	Գործերը լուծելիս պետք է տարբերել կարևորն ու պակաս կարևորը։
2889:情感	情感	情感	გრძნობა; ემოცია	მუსიკას რთული გრძნობების გამოხატვა შეუძლია.	զգացմունք; հույզ	Երաժշտությունը կարող է արտահայտել բարդ զգացմունքներ։
2898:权	权	权	უფლება; უფლებამოსილება	ამ გადაწყვეტილების მიღების უფლება მენეჯერის ხელშია.	իրավունք; լիազորություն	Այս որոշման իրավունքը մենեջերի ձեռքում է։
2900:全力	全力	全力	მთელი ძალით	ექიმები პაციენტის გადასარჩენად ყველაფერს აკეთებენ.	ամբողջ ուժով	Բժիշկները ամբողջ ուժով փորձում են փրկել հիվանդին։
2902:全体	全体	全体	ყველა; მთელი ჯგუფი	ტრენინგში ყველა თანამშრომელმა მიიღო მონაწილეობა.	ամբողջ; բոլորը	Բոլոր աշխատակիցները մասնակցեցին վերապատրաստմանը։
2903:全新	全新	全新	სრულიად ახალი	მან სრულიად ახალი კომპიუტერი იყიდა.	բոլորովին նոր	Նա բոլորովին նոր համակարգիչ գնեց։
2910:群体	群体	群体	ჯგუფი; საზოგადოება	ხანდაზმული ადამიანები ის ჯგუფია, რომელსაც ყურადღება სჭირდება.	խումբ; համայնք	Տարեց մարդիկ այն խումբն են, որը ուշադրության կարիք ունի։
2914:热量	热量	热量	სითბო; კალორია	ამ სასმელში კალორიები ბევრია.	ջերմություն; կալորիա	Այս ըմպելիքը բարձր կալորիականություն ունի։
2919:人际	人际	人际	ადამიანთაშორისი	კარგი ადამიანთაშორისი ურთიერთობები მუშაობაში ეხმარება.	միջանձնային	Լավ միջանձնային հարաբերությունները օգնում են աշխատանքում։
2922:人力	人力	人力	ადამიანური რესურსი; სამუშაო ძალა	ამ პროექტს მეტი სამუშაო ძალა სჭირდება.	աշխատուժ; մարդկային ռեսուրսներ	Այս նախագծին ավելի շատ աշխատուժ է պետք։
2923:人民	人民	人民	ხალხი	ეს მემორიალური დარბაზი ხალხისთვის უფასოდ არის ღია.	ժողովուրդ	Այս հուշասրահը ժողովրդի համար անվճար բաց է։
2925:人群	人群	人群	ბრბო; ადამიანების ჯგუფი	დღესასწაულის ბრბომ მოედანი გაავსო.	ամբոխ; մարդկանց խումբ	Տոնական ամբոխը լցրել էր հրապարակը։
2926:人体	人体	人体	ადამიანის სხეული	ეს კურსი ადამიანის სხეულის ძირითად აგებულებას აცნობს.	մարդու մարմին	Այս դասընթացը ներկայացնում է մարդու մարմնի հիմնական կառուցվածքը։
2928:忍	忍	忍	გაძლება; მოთმენა	ტკივილი ძლიერი იყო, მაგრამ ის მაინც ითმენდა.	դիմանալ; համբերել	Ցավը ուժեղ էր, բայց նա շարունակում էր դիմանալ։
2929:认	认	认	ცნობა; აღიარება	ის ერთი შეხედვით ვიცანი.	ճանաչել; ընդունել	Ես նրան մի հայացքից ճանաչեցի։
2932:如	如	如	როგორც; თუ	შედეგი ისეთი იყო, როგორც ველოდით.	ինչպես; եթե	Արդյունքը եղավ այնպես, ինչպես մենք սպասում էինք։
2933:如此	如此	如此	ასე; ამგვარად	არ მეგონა, პრობლემა ასე რთული იქნებოდა.	այսքան; այսպես	Ես չէի սպասում, որ խնդիրը այսքան բարդ կլինի։
2936:如同	如同	如同	როგორც; თითქოს	ღამით ტბის ზედაპირი სარკეს ჰგავს.	ինչպես; կարծես	Գիշերը լճի մակերեսը կարծես հայելի լինի։
2937:如下	如下	如下	შემდეგნაირად	კონკრეტული განრიგი შემდეგნაირია.	հետևյալն է	Մանրամասն դասավորությունը հետևյալն է։
2942:赛场	赛场	赛场	სარბიელი; შეჯიბრის არენა	სპორტსმენები უკვე შეჯიბრის არენაზე შევიდნენ.	մրցադաշտ; արենա	Մարզիկները արդեն մտել են մրցադաշտ։
2945:沙子	沙子	沙子	ქვიშა	ბავშვი ზღვის პირას ქვიშით თამაშობს.	ավազ	Երեխան ծովափին ավազով է խաղում։
2948:删	删	删	წაშლა	გთხოვთ განმეორებული შინაარსი წაშალოთ.	ջնջել	Խնդրում եմ ջնջեք կրկնվող բովանդակությունը։
2949:扇	扇	扇	განიავება; დაქნევა	ის მარაოთი ნაზად ინიავებდა.	հով անել; թափահարել	Նա հովհարով մեղմորեն հով էր անում։
2951:山区	山区	山区	მთიანი რაიონი	მთიან რაიონში ღამე ძალიან მშვიდია.	լեռնային շրջան	Լեռնային շրջանում գիշերը շատ հանգիստ է։
2956:伤	伤	伤	დაზიანება; დაშავება	მას ხელი დაუზიანდა.	վնասվածք; վնասել	Նրա ձեռքը վնասվել էր։
2958:商家	商家	商家	გამყიდველი; მოვაჭრე	ბევრმა მოვაჭრემ მიიღო მონაწილეობა ამ აქციაში.	վաճառող; առևտրական	Շատ վաճառողներ մասնակցեցին այս զեղչային ակցիային։
2959:商人	商人	商人	ბიზნესმენი; ვაჭარი	ეს ბიზნესმენი ხშირად მიდის საზღვარგარეთ მივლინებით.	գործարար; առևտրական	Այս գործարարը հաճախ արտասահման է մեկնում գործուղման։
2962:赏	赏	赏	ტკბობა; აღფრთოვანებით ყურება	ტურისტები ტბის პირას ყვავილებით ტკბებოდნენ.	վայելել; հիանալ	Զբոսաշրջիկները լճի մոտ հիանում էին ծաղիկներով։
2963:上传	上传	上传	ატვირთვა	გთხოვთ ფოტოები პლატფორმაზე ატვირთოთ.	վերբեռնել	Խնդրում եմ լուսանկարները վերբեռնեք հարթակ։
2964:上升	上升	上升	ზრდა; აწევა	წლევანდელი გაყიდვები კვლავ იზრდება.	բարձրանալ; աճել	Այս տարվա վաճառքները շարունակում են աճել։
2965:上下	上下	上下	ზემოთ და ქვემოთ; დაახლოებით	ამ შენობას სულ ათი სართული აქვს.	վեր ու վար; մոտավորապես	Այս շենքը ընդհանուր առմամբ ունի տասը հարկ։
2966:上涨	上涨	上涨	გაძვირება; ზრდა	ბოლო დროს ბოსტნეულის ფასები გაიზარდა.	բարձրանալ; թանկանալ	Վերջերս բանջարեղենի գները բարձրացել են։
2967:烧	烧	烧	დაწვა; მოხარშვა; სიცხის ქონა	ქვაბში წყალი უკვე ადუღდა.	այրել; եփել; ջերմել	Կաթսայի ջուրը արդեն եռացել է։
2968:烧烤	烧烤	烧烤	მწვადი; გრილი	შაბათ-კვირას მდინარის პირას მწვადის საჭმელად წავედით.	խորոված	Հանգստյան օրերին գնացինք գետի մոտ խորոված ուտելու։
2971:舍得	舍得	舍得	არ დანანება; მზად ყოფნა დათმობისთვის	ბავშვის გამო მას დროის დახარჯვა არ ენანება.	չափսոսալ; պատրաստ լինել հատկացնել	Երեխայի համար նա չի ափսոսում ժամանակ հատկացնել։
2981:深度	深度	深度	სიღრმე	ამ ტბის სიღრმე ოც მეტრს აღემატება.	խորություն	Այս լճի խորությունը գերազանցում է քսան մետրը։
2983:深厚	深厚	深厚	ღრმა; ძლიერი	მათ შორის ღრმა მეგობრობაა.	խոր; ամուր	Նրանց միջև խոր ընկերություն կա։
2985:深入	深入	深入	სიღრმეში შესვლა; საფუძვლიანი	ჟურნალისტი მთიან რაიონში სიღრმისეული ინტერვიუებისთვის წავიდა.	խորը մտնել; խորքային	Լրագրողը խորացավ լեռնային շրջան՝ հարցազրույցներ անելու։
2986:深远	深远	深远	შორსმიმავალი; ღრმა	ამ რეფორმამ შორსმიმავალი გავლენა მოახდინა.	խորը և հեռահար	Այս բարեփոխումը հեռահար ազդեցություն ունեցավ։
2993:升级	升级	升级	განახლება; დონის ამაღლება	ტელეფონის სისტემას განახლება სჭირდება.	թարմացնել; մակարդակը բարձրացնել	Հեռախոսի համակարգը պետք է թարմացնել։
2994:升温	升温	升温	დათბობა; ტემპერატურის აწევა	ხვალიდან ამინდი აშკარად დათბება.	տաքանալ; ջերմաստիճանը բարձրանալ	Վաղվանից եղանակը նկատելիորեն կտաքանա։
2999:省份	省份	省份	პროვინცია	ჩინეთს ბევრი განსხვავებული პროვინცია აქვს.	նահանգ	Չինաստանն ունի շատ տարբեր նահանգներ։
3001:胜	胜	胜	გამარჯვება; სჯობს	მასპინძელმა გუნდმა სტუმარი გუნდი ორი ქულით დაამარცხა.	հաղթել; գերազանցել	Տանտեր թիմը երկու միավորով հաղթեց հյուր թիմին։
3004:湿	湿	湿	სველი	წვიმის შემდეგ ბალახი ჯერ კიდევ სველია.	թաց	Անձրևից հետո խոտը դեռ թաց է։
3005:失恋	失恋	失恋	სასიყვარულო დაშორების გადატანა	დაშორების შემდეგ ის დიდხანს დარდობდა.	սիրային բաժանում ապրել	Բաժանումից հետո նա երկար ժամանակ տխուր էր։
3007:诗人	诗人	诗人	პოეტი	ამ პოეტს ბევრი ცნობილი ლექსი აქვს დაწერილი.	բանաստեղծ	Այս բանաստեղծը շատ հայտնի բանաստեղծություններ է գրել։
3023:实验室	实验室	实验室	ლაბორატორია	სტუდენტები ლაბორატორიაში ტესტებს ატარებენ.	լաբորատորիա	Ուսանողները լաբորատորիայում փորձարկումներ են անում։
3025:食用	食用	食用	საჭმელად გამოყენება; საკვები	ამ ყვავილის ჭამაც შეიძლება და ჩაის დაყენებაც.	ուտել; ուտելի	Այս ծաղիկը կարելի է ուտել, ինչպես նաև թեյ պատրաստել։
3026:使得	使得	使得	გამოწვევა; გაკეთება	ძლიერმა წვიმამ შეჯიბრის გაუქმება გამოიწვია.	պատճառ դառնալ; անել այնպես, որ	Հորդառատ անձրևը պատճառ դարձավ, որ մրցումը չեղարկվի։
3028:式	式	式	ტიპი; სტილი; ფორმულის ბოლოსართი	ამ ახალი სტილის ელექტრო მანქანა ძალიან პოპულარულია.	տեսակ; ոճ; բանաձևի վերջածանց	Այս նոր ոճի էլեկտրական մեքենան շատ սիրված է։
3029:适当	适当	适当	შესაფერისი; ზომიერი	ზომიერი ვარჯიში ძილს ეხმარება.	հարմար; պատշաճ	Հարմար վարժությունը օգնում է քնին։
3034:市民	市民	市民	ქალაქის მცხოვრები; მოქალაქე	ბევრმა ქალაქის მცხოვრებმა მიიღო მონაწილეობა შაბათ-კვირის ღონისძიებაში.	քաղաքացի; քաղաքի բնակիչ	Շատ քաղաքի բնակիչներ մասնակցեցին հանգստյան օրերի միջոցառմանը։
3036:视为	视为	视为	მიჩნევა; ჩათვლა	ყველა უსაფრთხოებას ყველაზე მნიშვნელოვან საქმედ მიიჩნევს.	համարել; դիտել որպես	Բոլորը անվտանգությունը համարում են ամենակարևոր գործը։
3041:试用	试用	试用	საცდელად გამოყენება	ახალი პროგრამის უფასოდ გამოცდა შვიდი დღის განმავლობაში შეიძლება.	փորձել; փորձնական օգտագործել	Նոր ծրագիրը կարելի է անվճար փորձել յոթ օր։
3042:适用	适用	适用	გამოსადეგი; მოქმედი	ეს წესი ყველა თანამშრომელზე ვრცელდება.	կիրառելի; հարմար	Այս կանոնը կիրառվում է բոլոր աշխատակիցների նկատմամբ։
3044:收集	收集	收集	შეგროვება	მკვლევრები მონაცემებს აგროვებენ.	հավաքել	Հետազոտողները տվյալներ են հավաքում։
3045:收看	收看	收看	ყურება; გადაცემის ჩართვა	საღამოს რვა საათზე გთხოვთ ახალი ამბების პროგრამას უყუროთ.	դիտել; միանալ հեռարձակմանը	Երեկոյան ժամը ութին դիտեք լրատվական հաղորդումը։
3046:守	守	守	დაცვა; შენარჩუნება	დაცვის თანამშრომელი შესასვლელთან მთელი ღამე იდგა დარაჯად.	պահպանել; հսկել	Պահակը ամբողջ գիշեր հսկեց մուտքի մոտ։
3047:首次	首次	首次	პირველად	ეს მისი პირველად მონაწილეობაა საერთაშორისო შეჯიბრში.	առաջին անգամ	Սա նրա առաջին մասնակցությունն է միջազգային մրցույթին։
3048:手段	手段	手段	საშუალება; მეთოდი	კომუნიკაცია პრობლემის გადაწყვეტის მნიშვნელოვანი საშუალებაა.	միջոց; մեթոդ	Հաղորդակցությունը խնդրի լուծման կարևոր միջոց է։
3054:售价	售价	售价	გასაყიდი ფასი	ამ კომპიუტერის გასაყიდი ფასი დაბალი არ არის.	վաճառքի գին	Այս համակարգչի վաճառքի գինը ցածր չէ։
3057:书房	书房	书房	სამუშაო ოთახი; კაბინეტი	მამა საღამოს ხშირად კაბინეტში მუშაობს.	աշխատասենյակ	Հայրը երեկոյան հաճախ աշխատում է աշխատասենյակում։
3062:熟人	熟人	熟人	ნაცნობი	ახალ ქალაქში ნაცნობის შეხვედრა სასიამოვნოა.	ծանոթ	Նոր քաղաքում ծանոթի հանդիպելը հաճելի է։
3068:树木	树木	树木	ხეები	გზის ორივე მხარეს ბევრი ხე დარგეს.	ծառեր	Ճանապարհի երկու կողմերում շատ ծառեր տնկվեցին։
3069:摔	摔	摔	დაცემა; დაგდება	წვიმიან დღეს ის დაეცა.	ընկնել; վայր գցել	Նա անձրևոտ օրը ընկավ։
3071:水分	水分	水分	ტენიანობა; წყლის შემცველობა	ამ ხილს ბევრი წყალი აქვს.	խոնավություն; ջրի պարունակություն	Այս միրգը շատ ջրային պարունակություն ունի։
3073:睡眠	睡眠	睡眠	ძილი	კარგი ძილი სამუშაო ეფექტიანობას ზრდის.	քուն	Լավ քունը կարող է բարձրացնել աշխատանքի արդյունավետությունը։
3074:顺	顺	顺	გლუვი; მიმართულებით	ეს გზა ძალიან მოსახერხებელია და მანქანით სიარული ადვილია.	հարթ; ընթացքով	Այս ճանապարհը հարթ է, մեքենա վարելը հարմար է։
3081:四处	四处	四处	ყველგან; ირგვლივ	ბავშვები ეზოში ყველგან დარბოდნენ.	ամենուր; չորս կողմը	Երեխաները բակում ամենուր վազում էին։
3083:四周	四周	四周	ირგვლივ; გარემო	სახლის ირგვლივ სულ ხეებია.	շուրջբոլորը; շրջակայք	Տան շուրջբոլորը ծառեր են։
3084:搜	搜	搜	ძებნა	პოლიცია დაკარგული ადამიანის კვალს ეძებს.	որոնել	Ոստիկանությունը որոնում է անհետացած մարդու հետքերը։
3087:酸甜苦辣	酸甜苦辣	酸甜苦辣	მჟავე, ტკბილი, მწარე და ცხარე; ცხოვრების გემოები	ეს წიგნი ცხოვრების მრავალფეროვან გემოებს აღწერს.	թթու, քաղցր, դառը և կծու; կյանքի համերը	Այս գիրքը ներկայացնում է կյանքի տարբեր համերը։
3088:随	随	随	მიყოლა; თან	ფასები სეზონებთან ერთად იცვლება.	հետևել; հետը	Գները փոխվում են եղանակների հետ։
3089:随后	随后	随后	შემდეგ; მოგვიანებით	შეხვედრა დასრულდა და შემდეგ ყველა წავიდა.	այնուհետև; հետո	Ժողովն ավարտվեց, և բոլորը հետո հեռացան։
3094:损害	损害	损害	ზიანის მიყენება	მოწევა ჯანმრთელობას აზიანებს.	վնասել	Ծխելը վնասում է առողջությանը։
3097:缩小	缩小	缩小	შემცირება; დაპატარავება	კომპანია ხარჯების სხვაობის შემცირებას იმედოვნებს.	փոքրացնել; նվազեցնել	Ընկերությունը հույս ունի նվազեցնել ծախսերի տարբերությունը։
3100:他人	他人	他人	სხვა ადამიანები	სხვისი ნივთები დაუდევრად არ აიღო.	այլ մարդիկ	Մի վերցրու ուրիշների իրերը առանց մտածելու։
3101:台灯	台灯	台灯	მაგიდის სანათი	საწერ მაგიდაზე ერთი მაგიდის სანათი დგას.	սեղանի լամպ	Գրասեղանի վրա սեղանի լամպ կա։
3104:谈话	谈话	谈话	საუბარი; საუბრის გამართვა	ამ საუბარმა ერთმანეთი უკეთ გაგვაგებინა.	զրույց; խոսել	Այս զրույցը մեզ օգնեց ավելի լավ հասկանալ իրար։
3107:特产	特产	特产	ადგილობრივი სპეციალური პროდუქტი	ჩაი აქაური ადგილობრივი პროდუქტია.	տեղական հատուկ ապրանք	Թեյը այստեղի տեղական հատուկ ապրանքն է։
3110:特有	特有	特有	უნიკალური; დამახასიათებელი	ამ მცენარეს უნიკალური სურნელი აქვს.	հատուկ; յուրահատուկ	Այս բույսն ունի յուրահատուկ բույր։
3112:疼痛	疼痛	疼痛	ტკივილი	ვარჯიშის შემდეგ ფეხებში ცოტაოდენი ტკივილია.	ցավ	Մարզումից հետո ոտքերում մի քիչ ցավ կա։
3114:提交	提交	提交	წარდგენა; ჩაბარება	გთხოვთ ანგარიში პარასკევამდე წარადგინოთ.	ներկայացնել; հանձնել	Խնդրում ենք զեկույցը ներկայացնել մինչև ուրբաթ։
3116:提起	提起	提起	ხსენება; აწევა	როგორც კი მშობლიურ ქალაქს ახსენებენ, ის ბედნიერი ხდება.	հիշատակել; բարձրացնել	Երբ հիշատակվում է հայրենի քաղաքը, նա շատ ուրախանում է։
3117:提升	提升	提升	გაუმჯობესება; დაწინაურება	ტრენინგს თანამშრომლების უნარების გაუმჯობესება შეუძლია.	բարելավել; բարձրացնել	Վերապատրաստումը կարող է բարելավել աշխատակիցների հմտությունները։
3120:体力	体力	体力	ფიზიკური ძალა	გრძელი სირბილი ფიზიკურ ძალას კარგად ამოწმებს.	ֆիզիկական ուժ	Երկար վազքը լավ է ստուգում ֆիզիկական ուժը։
3123:替	替	替	ნაცვლად; მაგივრად	კოლეგის მაგივრად ერთ წერილს ვუპასუხე.	փոխարեն; համար	Ես գործընկերոջս փոխարեն պատասխանեցի մի նամակի։
3125:天上	天上	天上	ცაში	ცაში რამდენიმე თეთრი ღრუბელია.	երկնքում	Երկնքում մի քանի սպիտակ ամպ կա։
3126:填	填	填	შევსება	გთხოვთ სახელი პირველ ხაზზე ჩაწეროთ.	լրացնել	Խնդրում ենք անունը լրացնել առաջին տողում։
3127:甜品	甜品	甜品	დესერტი	სადილის შემდეგ ერთი დესერტი შევუკვეთეთ.	աղանդեր	Ճաշից հետո մենք մի աղանդեր պատվիրեցինք։
3128:挑	挑	挑	არჩევა; შერჩევა	მან ნაცრისფერი პალტო აირჩია.	ընտրել	Նա ընտրեց մոխրագույն վերարկու։
