simplified	FI	example_FI
锁	lukita	Lukitse ovi ennen kuin lähdet ulos.
台阶	porras	Vanhus nousi hitaasti portaita.
太极拳	taiji	Puistossa jotkut harjoittelevat taijia.
太太	rouva	Rouva Wang laittaa ruokaa.
谈判	neuvotella; neuvottelu	Molemmat osapuolet neuvottelevat.
坦率	suora; avoin	Hän kertoi ajatuksensa suoraan.
烫	polttavan kuuma	Tämä tee on hyvin kuumaa.
桃	persikka	Puussa kasvoi paljon persikoita.
淘气	tuhma; vallaton	Tämä lapsi on vähän vallaton.
逃	paeta	Pentu juoksi pois pihalta.
逃避	vältellä	Älä välttele vastuuta.
讨价还价	tinkiä	Hän tykkää tinkiä ostoksia tehdessään.
套	setti; sarja	Hän osti uuden vaatekerran.
特色	erityispiirre	Tässä ravintolassa on paikallisia erityispiirteitä.
特殊	erityinen	Tänään on erityinen päivä.
特征	ominaispiirre	Tällä eläinlajilla on selviä ominaispiirteitä.
疼爱	rakastaa hellästi	Isovanhemmat rakastavat lasta hyvin paljon.
提倡	edistää; kannattaa	Koulu edistää veden säästämistä.
提纲	jäsennys	Tee jäsennys ennen artikkelin kirjoittamista.
提问	kysyä	Oppilaat voivat kysyä milloin tahansa.
题目	kysymys; aihe	Tämä kysymys ei ole kovin vaikea.
体会	oivallus; kokemus	Matkalla sain uuden oivalluksen.
体贴	huomaavainen	Hän on hyvin huomaavainen perhettään kohtaan.
体现	ilmentää	Tämä asia ilmentää tiimihenkeä.
体验	kokea	Haluan kokea paikallista elämää.
天空	taivas	Taivas on tänään hyvin sininen.
天真	viaton; naiivi	Lapsen ajatus on hyvin viaton.
调皮	vallaton	Tuo kissa on hyvin vallaton.
调整	säätää; muokata	Meidän pitää muuttaa suunnitelmaa.
挑战	haaste	Tämä on suuri haaste.
通常	tavallisesti	Hän nousee tavallisesti seitsemältä.
统一	yhtenäistää	Kaikkien mielipiteet pitää yhtenäistää.
痛苦	kärsimys; tuskallinen	Ystävän menettäminen teki hänet hyvin surulliseksi.
痛快	mahtava; vapautunut	Meillä oli tänään todella hauskaa.
偷	varastaa	Älä varasta muiden tavaroita.
投入	keskittynyt; sijoittaa	Hän työskentelee hyvin keskittyneesti.
投资	sijoittaa	He sijoittivat uuteen projektiin.
透明	läpinäkyvä	Tämä kuppi on läpinäkyvä.
突出	erottuva; huomattava	Hänen vahvuutensa ovat hyvin näkyvät.
土地	maa; maaperä	Tämä maa-alue on hyvin hedelmällinen.
土豆	peruna	Ostin muutaman perunan.
兔子	kani	Lapsella on kani.
吐	oksentaa	Hän voi huonosti ja haluaa oksentaa.
团	ryhmä	Liityimme matkaryhmään.
推辞	kieltäytyä	Hän kieltäytyi ystävänsä kutsusta.
推广	mainostaa; edistää	Yritys markkinoi uutta tuotetta.
推荐	suositella	Opettaja suositteli tätä kirjaa.
退	astua taaksepäin	Astu yksi askel taaksepäin.
退步	taantua	Jos ei harjoittele, taso heikkenee.
退休	jäädä eläkkeelle	Hän jää eläkkeelle ensi vuonna.
歪	vinossa	Tämä maalaus roikkuu vinossa.
外公	äidinisä	Äidinisäni täyttää tänä vuonna kahdeksankymmentä.
外交	diplomatia	Hän opiskelee kansainvälisiä suhteita ja diplomatiaa.
完美	täydellinen	Tämä suunnitelma ei ole täydellinen.
完善	parantaa; täydentää	Meidän pitää parantaa palveluprosessia.
完整	täydellinen; kokonainen	Anna minulle täydellinen raportti.
玩具	lelu	Lapsi laittoi lelut laatikkoon.
万一	jos sattuu; varmuuden vuoksi	Jos sattuu satamaan, menemme jonain toisena päivänä.
王子	prinssi	Tarinan prinssi on hyvin rohkea.
往返	meno-paluu	Tällä lipulla voi tehdä meno-paluumatkan samana päivänä.
网络	verkko; internet	Täällä internet-yhteys on hyvin vakaa.
危害	vahingoittaa	Tupakointi voi vahingoittaa terveyttä.
威胁	uhata	Saastuminen uhkaa jokea.
微笑	hymy	Hän hymyili minulle.
唯一	ainoa	Tämä on ainoa keino.
围巾	huivi	Talvella hän käyttää huivia.
围绕	keskittyä; kiertää	Keskustelu keskittyi tähän kysymykseen.
维修	korjaus; huoltaa	Hissi on korjattavana.
违反	rikkoa; olla vastoin	Näin tekeminen rikkoo sääntöjä.
伟大	suuri; merkittävä	Tämä on merkittävä löytö.
委屈	tuntea tulleensa kohdelluksi väärin	Hän tunsi tulleensa kohdelluksi hyvin väärin.
尾巴	häntä	Pentu heilutti häntäänsä.
位于	sijaita	Koulu sijaitsee kaupungin keskustassa.
位置	paikka; sijainti	Tämä paikka on hyvin rauhallinen.
未必	ei välttämättä	Se, mitä hän sanoi, ei välttämättä ole totta.
未来	tulevaisuus	Meidän pitää valmistautua tulevaisuuteen.
胃	vatsa	Vatsani tuntuu vähän epämukavalta.
胃口	ruokahalu	Hänellä on tänään hyvä ruokahalu.
温暖	lämmin	Kevään auringonpaiste on hyvin lämmin.
温柔	lempeä	Hän puhuu hyvin lempeästi.
文件	asiakirja; tiedosto	Lähetä asiakirja minulle.
文具	kirjoitustarvikkeet	Koululaukussa on paljon kirjoitustarvikkeita.
文明	sivistynyt	Jonottaminen on sivistynyttä käytöstä.
文学	kirjallisuus	Hän pitää kiinalaisesta kirjallisuudesta.
文字	kirjoitus; merkit	Näitä kirjoitusmerkkejä on vaikea lukea.
闻	haistaa; kuulla	Haistoin kukkien tuoksun.
吻	suudella	Äiti suuteli lasta poskelle.
稳定	vakaa	Hinnat pysyvät vakaina.
问候	tervehtiä; lähettää terveiset	Lähetä terveiseni perheellesi.
卧室	makuuhuone	Makuuhuoneessa on suuri sänky.
握手	kätellä	He kättelivät tavatessaan.
屋子	huone	Huoneessa on lämmintä.
无奈	avuttomasti	Hän pudisti päätään avuttomasti.
无数	lukematon	Yötaivaalla on lukemattomia tähtiä.
无所谓	ei ole väliä	Ei ole väliä, mitä haluat syödä.
武术	taistelulajit	Hän on opiskellut taistelulajeja lapsesta asti.
勿	älä; ei saa	Älä tupakoi täällä.
物理	fysiikka	Fysiikan tunti on hyvin kiinnostava.
物质	aine	Vesi on tärkeä aine.
雾	sumua	Aamulla oli sakea sumu.
吸取	ottaa opiksi	Meidän pitää ottaa tästä opiksi.
吸收	imeä; omaksua	Kasvit imevät vettä.
戏剧	draama; teatteri	Hän katsoo mielellään perinteistä teatteria.
系	laitos; osasto	Hän opiskelee kiinan kielen laitoksella.
系统	järjestelmä	Tämä järjestelmä toimii vakaasti.
细节	yksityiskohta	Kiinnitä huomiota näihin yksityiskohtiin.
瞎	sokeasti; summittaisesti	Älä arvaile sokeasti, katso ensin aineistoa.
下载	ladata	Latasin tämän ohjelmiston.
吓	säikäyttää	Äkillinen ääni säikäytti minut.
夏令营	kesäleiri	Lapsi osallistui kiinan kielen kesäleirille.
鲜艳	kirkkaanvärinen	Tämän hameen väri on hyvin kirkas.
显得	näyttää joltakin	Tämä vaate saa hänet näyttämään nuorelta.
显然	ilmeisesti	Ilmeisesti hän tietää jo tuloksen.
显示	näyttää	Näyttö näyttää väärän ajan.
县	piirikunta; kunta	Tässä piirikunnassa on paljon teeviljelmiä.
现代	moderni	Nykyaikainen elämä ei tule toimeen ilman internetiä.
现实	todellisuus	Meidän täytyy kohdata todellisuus.
现象	ilmiö	Tämä ilmiö on hyvin yleinen.
限制	rajoittaa	Täällä ajoneuvojen pääsyä rajoitetaan.
相处	tulla toimeen	He tulevat hyvin toimeen keskenään.
相当	melko; varsin	Tämä kirja on varsin kiinnostava.
相对	suhteellisen	Hinnat täällä ovat suhteellisen halpoja.
相关	asiaankuuluva; liittyvä	Toimita asiaankuuluva aineisto.
相似	samanlainen	Näiden kahden merkin merkitykset ovat hyvin samanlaiset.
香肠	makkara	Aamiaisella on munia ja makkaraa.
享受	nauttia	He nauttivat lomasta.
想念	kaivata	Kaipaan perhettäni todella paljon.
想象	kuvitella	En pysty kuvittelemaan sellaista elämää.
象棋	kiinalainen shakki	Isoisä pitää kiinalaisen shakin pelaamisesta.
象征	symboloida	Valkoinen symboloi usein puhtautta.
项	kohta; tehtävä	Tämä tehtävä on hyvin tärkeä.
项链	kaulakoru	Hänellä on hopeinen kaulakoru.
项目	projekti	Tämä projekti vaatii kolme kuukautta.
消费	kulutus	Kulutus kasvoi juhlan aikana.
消化	ruoansulatus; sulattaa	Kävely aterian jälkeen auttaa ruoansulatusta.
消极	negatiivinen	Älä katso ongelmia negatiivisella asenteella.
消失	kadota	Aurinko katosi hitaasti vuoren taakse.
销售	myydä	Tämä yritys myy elektroniikkatuotteita.
小麦	vehnä	Pohjoisessa viljellään paljon vehnää.
小气	saita	Älä ole noin saita.
孝顺	kunnioittaa vanhempiaan	Hän kohtelee vanhempiaan hyvin kunnioittavasti.
效率	tehokkuus	Näin tekeminen voi parantaa tehokkuutta.
歇	levätä	Lepäämme ensin hetken.
斜	kalteva	Tämä tie on vähän kalteva.
写作	kirjoittaminen	Kirjoittaminen vaatii pitkäaikaista harjoittelua.
心理	psykologinen; mielentila	Ennen koetta pitää säätää mielentilaa.
心脏	sydän	Sydämen terveys on erittäin tärkeää.
欣赏	ihailla; nauttia	Ihailimme kaunista maisemaa.
信号	signaali	Matkapuhelimen signaali on täällä huono.
信任	luottamus	Ystävien välillä tarvitaan luottamusta.
形成	muodostua	Hyvien tapojen pitää muodostua vähitellen.
形容	kuvata	En tiedä, miten kuvaisin tätä tunnetta.
形势	tilanne	Nykyinen tilanne on melko monimutkainen.
形式	muoto	Kokous voidaan järjestää verkkomuodossa.
形象	imago; kuva	Hänen julkinen imagonsa on hyvin hyvä.
形状	muoto	Tämän laatikon muoto on hyvin erikoinen.
行动	toimia; toiminta	Meidän pitää toimia heti.
行人	jalankulkija	Kiinnitä huomiota jalankulkijoihin tietä ylittäessä.
行为	käytös	Tällainen käytös ei ole kohteliasta.
幸亏	onneksi	Onneksi muistutit minua.
幸运	onnekas	Hän oli onnekas ja löysi työpaikan.
性质	luonne	Tämän ongelman luonne on hyvin vakava.
兄弟	veljekset; veljet	Näillä kahdella veljeksellä on hyvä suhde.
胸	rinta	Hän tuntee pientä puristusta rinnassa.
休闲	vapaa-aika	Viikonloppu on hyvää aikaa vapaa-ajalle.
修改	muokata; korjata	Muokkaa tätä artikkelia.
虚心	avoin ja nöyrä	Meidän pitää kuunnella mielipiteitä avoimin mielin.
叙述	kertoa	Hän kertoi tapahtumien kulun selvästi.
宣布	ilmoittaa	Koulu ilmoitti uudet säännöt.
宣传	tiedottaa; edistää	He levittävät tietoa ympäristönsuojelusta.
学历	koulutustausta	Tämä työ vaatii alemman korkeakoulututkinnon.
学术	akateeminen	Tässä kokouksessa käsitellään akateemisia kysymyksiä.
学问	oppineisuus; tieto	Hän on hyvin oppinut.
血	veri	Hänen kädestään tuli vähän verta.
寻找	etsiä	Etsimme uutta menetelmää.
询问	kysyä; tiedustella	Hän kysyi opettajalta koeajasta.
训练	harjoitella	Urheilija harjoittelee joka päivä.
迅速	nopea; nopeasti	Uutinen levisi nopeasti.
押金	takuumaksu; pantti	Vuokra-asunnosta pitää maksaa takuumaksu.
牙齿	hampaat	Pidä hampaistasi hyvää huolta joka päivä.
严肃	vakava	Opettajan ilme on hyvin vakava.
延长	pidentää	Kokousta pidennettiin puolella tunnilla.
演讲	puhe	Hän valmistautuu huomiseen puheeseen.
宴会	juhla-ateria; vastaanotto	He osallistuivat juhla-aterialle.
阳台	parveke	Parvekkeella on useita kukkaruukkuja.
痒	kutista	Käsivarttani kutittaa vähän.
样式	tyyli; malli	Tämä tyyli on hyvin suosittu.
腰	vyötärö; alaselkä	Pitkään istuessa alaselkä voi tulla kipeäksi.
摇	ravistaa; heilua	Tuuli heilutti oksia edestakaisin.
咬	purra	Tämä koira ei pure ihmisiä.
要不	mitä jos; muuten	Mitä jos menisimme huomenna uudestaan?
业务	liiketoiminta	Yrityksen liiketoiminta kasvaa koko ajan.
业余	vapaa-ajan	Hän opiskelee valokuvausta vapaa-ajallaan.
夜	yö	Yöllä kadulla on hyvin hiljaista.
依然	yhä; edelleen	Hän asuu edelleen Pekingissä.
一辈子	koko elämä	Hän rakasti musiikkia koko elämänsä.
一旦	kun kerran; jos kerran	Kun olet päättänyt, sinun pitää pitää siitä kiinni.
一律	kaikki; poikkeuksetta	Kokouksen aikana kaikki puhelimet on suljettava.
一再	toistuvasti	Hän muistutti meitä toistuvasti turvallisuudesta.
一致	yhtenäinen; samaa mieltä	Kaikkien mielipiteet ovat täysin yhteneväiset.
疑问	kysymys; epäilys	Minulla on kysymys tästä vastauksesta.
移动	siirtää	Siirrä pöytää vähän.
移民	muuttaa maahan; siirtolainen	He aikovat muuttaa ulkomaille.
遗憾	pahoitella; harmi	Harmittaa, etten voinut tavata sinua.
乙	osapuoli B	Sopimuksessa osapuoli B vastaa maksusta.
以及	sekä; ja	Ostin kirjoja sekä kirjoitustarvikkeita.
以来	lähtien	Valmistumisestaan lähtien hän on työskennellyt Pekingissä.
义务	velvollisuus	Ympäristön suojeleminen on jokaisen velvollisuus.
亿	sata miljoonaa	Tässä maassa on yli miljardi asukasta.
意外	odottamaton; vahinko	Tämänkertainen myöhästyminen oli täysin odottamatonta.
意义	merkitys	Tämä tapahtuma on hyvin merkityksellinen.
议论	keskustella; kommentoida	Kaikki keskustelevat tästä asiasta.
因而	siksi; näin ollen	Hän opiskelee ahkerasti, joten hänen arvosanansa ovat hyvät.
因素	tekijä	Sää on tärkeä tekijä.
银	hopea	Hänellä on hopeinen rannekoru.
印刷	painaa; painatus	Tämä kirja on painettu hyvin selkeästi.
英俊	komea	Hän on hyvin komea.
英雄	sankari	Palomiehet ovat todellisia sankareita.
营养	ravinto	Aamiaisessa pitää olla tarpeeksi ravintoa.
营业	olla avoinna; harjoittaa liiketoimintaa	Tämä kauppa avautuu yhdeksältä.
迎接	ottaa vastaan	Menimme lentokentälle ottamaan vieraat vastaan.
影子	varjo	Hänen varjonsa näkyy katulampun alla.
应付	selviytyä; käsitellä	Hän pystyy käsittelemään tämän ongelman.
应用	soveltaa	Tätä menetelmää voi soveltaa opetuksessa.
硬	kova	Tämä tuoli on liian kova.
硬件	laitteisto	Tässä tietokoneessa on hyvä laitteisto.
拥抱	halata	Lapsi juoksi halaamaan äitiä.
拥挤	ruuhkainen	Metro on aamuruuhkan aikaan hyvin ruuhkainen.
勇气	rohkeus	Hänellä on rohkeutta myöntää virheensä.
用功	opiskella ahkerasti	Hän opiskelee hyvin ahkerasti.
用途	käyttötarkoitus	Tällä materiaalilla on monia käyttötarkoituksia.
优惠	alennus; etu	Tässä kaupassa on tänään alennus.
优美	kaunis; elegantti	Täällä ympäristö on hyvin kaunis.
优势	etu	Hänen etunsa on runsas kokemus.
悠久	pitkäaikainen; vanha	Kiinalla on pitkä historia.
油炸	friteerata	Syön harvoin friteerattua ruokaa.
游览	kierrellä nähtävyyksiä	Kiertelemme huomenna Kiellettyä kaupunkia.
犹豫	epäröidä	Hän epäröi hetken ennen kuin vastasi.
有利	edullinen; hyödyllinen	Tämä ehto on meille edullinen.
幼儿园	päiväkoti	Lapsi menee ensi vuonna päiväkotiin.
娱乐	viihde	Elokuvien katsominen on eräänlaista viihdettä.
与其	sen sijaan että	Sen sijaan että valittaisi, on parempi toimia.
语气	äänensävy	Hänen äänensävynsä on hyvin lempeä.
玉米	maissi	Illallisella on maissikeittoa.
预报	ennuste	Sääennusteen mukaan huomenna sataa.
预订	varata	Olen jo varannut hotellin.
预防	ehkäistä	Käsien peseminen usein voi ehkäistä flunssaa.
元旦	uudenvuodenpäivä	Meillä on uudenvuodenpäivänä yksi vapaapäivä.
原料	raaka-aine	Leivän pääraaka-aine on jauho.
原则	periaate	Ihmisellä pitäisi olla periaatteita.
员工	työntekijä	Yrityksessä on kolmesataa työntekijää.
圆	pyöreä	Kuu on suuri ja pyöreä.
愿望	toive	Hänen toiveensa on matkustaa maailman ympäri.
乐器	soitin	Hän osaa soittaa useita soittimia.
晕	huimata	Minua huimaa vähän veneessä.
运气	onni	Tänään minulla on hyvä onni.
运输	kuljetus	Nämä tavarat tarvitsevat rautatiekuljetuksen.
运用	käyttää; soveltaa	Käytä näitä sanoja joustavasti.
灾害	katastrofi; tuho	Tulva on luonnonkatastrofi.
再三	yhä uudelleen	Opettaja muistutti meitä toistuvasti kertaamaan.
在乎	välittää	Hän välittää paljon ystäviensä mielipiteistä.
在于	olla jossakin; perustua	Menestys perustuu sinnikkyyteen.
赞成	kannattaa	Olen ehdotuksesi kannalla.
赞美	kehua	Kaikki kehuivat hänen rohkeuttaan.
糟糕	kamala; surkea	Tämän päivän sää on todella surkea.
造成	aiheuttaa	Kova sade aiheutti liikenneruuhkan.
则	silloin; niin	Jos tekee töitä, edistystä tapahtuu.
责备	syyttää; moittia	Opettaja ei moittinut häntä.
摘	poimia	Hän poimi puutarhassa kukan.
窄	kapea	Tämä tie on liian kapea.
粘贴	liimata	Liimaa valokuva tähän.
展开	käynnistyä; avata	Keskustelu käynnistyi nopeasti.
展览	näyttely	Museossa on uusi näyttely.
占	viedä tilaa	Tämä pöytä vie tilaa.
战争	sota	Sota tuo ihmisille kärsimystä.
掌握	hallita	Hän hallitsee jo peruskieliopin.
涨	nousta	Vuokra on noussut taas viime aikoina.
长辈	vanhemmat sukulaiset	Uudenvuoden aikaan pitää tervehtiä vanhempia sukulaisia.
账户	tili	Tarkista pankkitilisi.
招待	ottaa vastaan; kestitä	Isäntä otti vieraat lämpimästi vastaan.
着火	syttyä palamaan	Keittiö syttyi äkkiä palamaan.
着凉	vilustua	On kylmä, älä vilustu.
召开	pitää kokous	Koulu pitää huomenna kokouksen.
照常	kuten tavallisesti	Kauppa on huomenna avoinna kuten tavallisesti.
哲学	filosofia	Hän opiskeli yliopistossa filosofiaa.
珍惜	arvostaa; vaalia	Meidän pitää arvostaa aikaa.
真实	todellinen	Tämä tarina on totta.
针对	kohdistua	Tämä ehdotus on suunnattu uusille opiskelijoille.
诊断	diagnoosi	Lääkäri teki diagnoosin nopeasti.
振动	värinä	Puhelin värisee pöydällä.
阵	lyhyt jakso; kuuro	Ulkona tuli lyhyt sadekuuro.
争论	väitellä	He väittelivät tästä kysymyksestä pitkään.
争取	tavoitella; pyrkiä	Meidän pitää pyrkiä saamaan lisää mahdollisuuksia.
征求	pyytää mielipidettä	Opettaja kysyi kaikkien mielipidettä.
挣	riuhtaista irti; ansaita	Pieni lintu riuhtaisi itsensä irti narusta.
睁	avata silmät	Avaa silmiäsi vähän enemmän.
整个	koko	Koko kaupunki on hyvin hiljainen.
整齐	siisti; järjestyksessä	Kirjat on asetettu hyvin siististi.
整体	kokonaisuus	Meidän pitää ottaa huomioon kokonaisvaikutus.
政府	hallitus	Hallitus julkaisi uuden ilmoituksen.
政治	politiikka	Hän on hyvin kiinnostunut politiikasta.
正	oikea; suora	Tämä vastaus on oikea.
证件	henkilöllisyystodistus; asiakirja	Näytä henkilöllisyystodistuksesi.
证据	todiste	Poliisi löysi uusia todisteita.
支	kynän kaltaisen esineen luokittelusana	Pöydällä on kynä.
支票	sekki	Hän maksoi sekillä.
执照	lupa; ajokortti	Autolla ajamiseen tarvitaan ajokortti.
直	suoraan	Kulje tätä tietä suoraan eteenpäin.
指导	ohjata	Opettaja ohjasi meitä tutkielman kirjoittamisessa.
指挥	johtaa; komentaa	Hän vastaa tämän operaation johtamisesta.
制定	laatia	Yritys laati uuden suunnitelman.
制度	järjestelmä	Koululla on tiukka järjestelmä.
制造	valmistaa	Tämä tehdas valmistaa koneita.
制作	valmistaa; tehdä	Hän tekee syntymäpäiväkakkua.
志愿者	vapaaehtoinen	Monet vapaaehtoiset osallistuivat tapahtumaan.
智慧	viisaus	Tämä vanhus on hyvin viisas.
治疗	hoitaa; hoito	Lääkäri hoitaa potilasta.
秩序	järjestys	Pitäkää järjestys.
至今	tähän päivään asti	Tätä ongelmaa ei ole tähän päivään asti ratkaistu.
至于	mitä tulee	Mitä kustannuksiin tulee, puhumme niistä huomenna.
中介	välittäjä	Hän vuokrasi asunnon välittäjän kautta.
中心	keskus	Sairaala on kaupungin keskustassa.
中旬	kuukauden puoliväli	Kokous on suunniteltu toukokuun puoliväliin.
种类	laji; tyyppi	Täällä on monenlaisia hedelmiä.
重大	merkittävä	Tämä on merkittävä päätös.
重量	paino	Mikä on tämän laatikon paino?
周到	huomaavainen	Hänen palvelunsa on erittäin huomaavaista.
猪	sika	Maatilalla kasvatetaan paljon sikoja.
竹子	bambu	Pandat pitävät bambun syömisestä.
逐步	askel askeleelta	Suunnitelma toteutetaan askel askeleelta.
逐渐	vähitellen	Sää kylmeni vähitellen.
主持	juontaa; johtaa	Hän johtaa tämän päivän kokousta.
主动	oma-aloitteinen	Hän auttoi luokkatoveriaan oma-aloitteisesti.
主观	subjektiivinen	Tämä arvio on vähän subjektiivinen.
主人	isäntä; omistaja	Isäntä toivotti meidät lämpimästi tervetulleiksi.
主任	johtaja; päällikkö	Johtaja on toimistossa.
主题	aihe	Tämän päivän keskustelun aihe on ympäristönsuojelu.
主席	puheenjohtaja	Puheenjohtaja ilmoitti kokouksen alkaneeksi.
主张	kannattaa; näkemys	Hän kannattaa liikenneongelman ratkaisemista ensin.
煮	keittää	Äiti keittää nuudeleita.
注册	rekisteröityä	Uusien käyttäjien pitää ensin rekisteröityä.
祝福	onnentoivotus	Ystävät lähettivät onnentoivotuksensa.
抓	tarttua	Lapsi tarttui äidin käteen.
抓紧	käyttää tehokkaasti	Meidän pitää käyttää aika tehokkaasti.
专家	asiantuntija	Asiantuntija esitti ehdotuksia.
专心	keskittyä	Tunnilla pitää kuunnella keskittyneesti.
转变	muutos	Hänen asenteensa muuttui.
转告	välittää viesti	Kerro hänelle, että huomenna on kokous.
装	laittaa sisään	Laita kirjat laukkuun.
装饰	koristella	He koristelivat huoneen kukilla.
装修	remontoida	Uutta taloa remontoidaan.
撞	törmätä	Kaksi autoa törmäsi risteyksessä.
状况	tilanne	Nykyinen tilanne on melko vakaa.
状态	tila	Hän on tänään hyvässä kunnossa.
追	ajaa takaa	Lapsi jahtaa pentua takaapäin.
追求	tavoitella	Hän on aina tavoitellut unelmaansa.
咨询	kysyä neuvoa	Voit kysyä neuvoa erikoislääkäriltä.
姿势	asento	Pidä oikea asento.
资格	pätevyys; oikeus	Hänellä on oikeus osallistua kilpailuun.
资金	rahoitus	Projekti tarvitsee lisää rahoitusta.
资料	aineisto	Lähetä aineisto minulle.
资源	resurssi	Vesi on tärkeä luonnonvara.
紫	violetti	Hän pitää violetista väristä.
字母	kirjain	Englannissa on kaksikymmentäkuusi kirjainta.
字幕	tekstitys	Tässä elokuvassa on kiinankieliset tekstitykset.
自从	siitä lähtien	Valmistumisensa jälkeen hän palaa harvoin.
自动	automaattinen	Tämä ovi avautuu automaattisesti.
自豪	olla ylpeä	Olen ylpeä omasta edistymisestäni.
自觉	oma-aloitteisesti	Hän teki läksyt oma-aloitteisesti.
自私	itsekäs	Ihmisen ei pidä olla liian itsekäs.
自由	vapaus	Kaikki arvostavat vapautta.
自愿	vapaaehtoinen	He osallistuivat toimintaan vapaaehtoisesti.
综合	kokonaisvaltainen; yhdistää	Meidän pitää harkita kaikkia tekijöitä kokonaisvaltaisesti.
总裁	toimitusjohtaja	Toimitusjohtaja piti tänään puheen.
总共	yhteensä	Tämä matka maksoi yhteensä kolme tuhatta yuania.
总理	pääministeri	Pääministeri osallistui kokoukseen.
总算	vihdoin	Ongelma saatiin vihdoin ratkaistua.
总统	presidentti	Presidentti piti televisiopuheen.
总之	lyhyesti sanottuna	Lyhyesti sanottuna meidän täytyy saada tämä valmiiksi ajoissa.
组	ryhmä	Opettaja jakoi meidät kolmeen ryhmään.
组成	koostua	Vesi koostuu vedystä ja hapesta.
组合	yhdistelmä	Tämä väriyhdistelmä näyttää hyvältä.
组织	järjestää; organisaatio	Koulu järjesti matkan.
阻止	estää	Poliisi esti vaarallisen teon.
最初	aluksi	Aluksi en oikein ymmärtänyt.
醉	humalassa	Hän joi liikaa ja on vähän humalassa.
尊敬	kunnioittaa	Oppilaat kunnioittavat kaikki opettajaa.
遵守	noudattaa	Meidän täytyy noudattaa liikennesääntöjä.
作品	teos	Tämä maalaus on hänen teoksensa.
作为	roolissa; jonakin	Opettajana hän on hyvin kärsivällinen.
作文	aine; kirjoitelma	Opettaja pyysi meitä kirjoittamaan aineen.
