simplified	FR	example_FR
埋伏	embuscade	Les soldats étaient embusqués dans la vallée.
埋没	enfouir; laisser dans l'oubli	Ne laisse pas les talents tomber dans l'oubli.
埋葬	enterrer	Les villageois ont enterré le vieil homme sur la pente.
脉搏	pouls	L'infirmière mesure son pouls.
迈	faire un pas	Il a avancé à grands pas vers la porte.
埋怨	se plaindre de	Ne te plains pas toujours des autres.
慢性	chronique	Les maladies chroniques nécessitent un traitement de longue durée.
漫长	très long; interminable	Ils ont traversé une attente interminable.
漫画	bande dessinée; manga	Cette bande dessinée est très populaire auprès des jeunes.
蔓延	se propager	L'incendie s'est rapidement propagé au fond de la forêt.
忙碌	occupé; affairé	La fin de l'année est la période la plus chargée pour l'entreprise.
盲目	aveugle; sans discernement	Il ne faut pas investir en suivant aveuglément la tendance.
茫茫	vaste; immense	Le bateau a disparu dans l'immense mer.
茫然	perdu; perplexe	Après les explications, il avait encore l'air perdu.
冒充	se faire passer pour	Quelqu'un s'est fait passer pour un policier afin d'escroquer de l'argent.
冒犯	offenser	Mes paroles n'avaient pas l'intention de t'offenser.
茂盛	luxuriant; dense	Les arbres de la cour poussent de façon très luxuriante.
媒介	média; support	Internet est un important média d'information.
枚	classificateur pour pièces et objets similaires	Il collectionne plusieurs pièces commémoratives.
美观	esthétique; agréable à voir	Ce design est à la fois pratique et esthétique.
美满	heureux; harmonieux	Ils mènent une vie heureuse.
美妙	merveilleux; splendide	Le concert a offert une expérience merveilleuse.
萌芽	germer; germe	De nouvelles idées commencent à germer.
猛烈	violent; intense	La tempête est arrivée avec une grande violence.
眯	plisser les yeux; somnoler	Le soleil était trop fort, il a plissé les yeux.
弥补	compenser; réparer	Des excuses ne peuvent pas compenser entièrement la perte.
弥漫	emplir l'air; se répandre	Le parfum des fleurs se répand dans la cour.
谜语	devinette	Les enfants aiment résoudre des devinettes.
迷惑	perplexe; troubler	Les données complexes l'ont rendu perplexe.
迷人	charmant; fascinant	La vue nocturne au bord de la mer est très charmante.
迷信	superstition	L'éducation scientifique peut réduire les superstitions.
密度	densité	Ce métal a une densité élevée.
密封	sceller; refermer	Après ouverture, veuillez refermer le sac.
棉花	coton	Les paysans cueillent le coton.
免得	afin d'éviter	Pars plus tôt afin d'éviter d'être en retard.
免疫	immunité	Ce vaccin peut renforcer l'immunité.
勉励	encourager	Le professeur encourage souvent les élèves à persévérer dans leurs études.
勉强	à contrecœur; difficilement	Il a accepté cet arrangement à contrecœur.
面貌	apparence; aspect	L'aspect de la ville a beaucoup changé.
面子	face; honneur	Il ne veut pas perdre la face en public.
描绘	décrire; dépeindre	Le roman dépeint la vie rurale.
瞄准	viser	Le tireur a visé la cible.
渺小	minuscule; insignifiant	Face à la nature, l'être humain paraît très petit.
藐视	mépriser	Nous ne devons mépriser aucun adversaire.
灭亡	disparaître; périr	Cette dynastie a finalement disparu.
蔑视	mépris	Son ton était plein de mépris.
民间	populaire; folklorique	L'art populaire doit être protégé.
民主	démocratie	La réunion utilise un vote démocratique.
敏捷	agile; rapide	Les mouvements de l'athlète sont très agiles.
敏锐	aigu; perspicace	Les journalistes ont besoin d'un sens aigu de l'observation.
名次	classement	Elle a obtenu un bon classement dans la compétition.
名额	quota; nombre de places	Ce projet n'a que dix places.
名副其实	digne de ce nom	C'est un expert digne de ce nom.
名誉	réputation; honneur	Cette affaire a nui à la réputation de l'entreprise.
明明	manifestement; clairement	Il connaissait clairement la réponse, mais refusait de la dire.
明智	sage; judicieux	Reporter la décision est un choix judicieux.
命名	nommer	Les scientifiques ont nommé la nouvelle espèce.
摸索	explorer; tâtonner	L'équipe explore encore une nouvelle méthode.
摩擦	friction; conflit	Des frictions commerciales sont apparues entre les deux pays.
模范	modèle; exemple	Il est un modèle pour tous les élèves de l'école.
模式	modèle; mode	Ce modèle commercial est très réussi.
模型	modèle; maquette	L'ingénieur a fabriqué une maquette du pont.
磨合	roder; s'adapter	La nouvelle équipe a besoin de temps pour s'adapter.
膜	membrane; film	Cette membrane peut filtrer les impuretés.
魔鬼	démon	Le démon de l'histoire est très rusé.
魔术	magie	Les enfants aiment regarder des spectacles de magie.
抹杀	effacer; nier	On ne peut pas nier sa contribution.
墨水儿	encre	L'encre du stylo est presque épuisée.
莫名其妙	incompréhensible; inexplicable	Sa réaction est vraiment incompréhensible.
默默	en silence	Elle a aidé beaucoup de gens en silence.
谋求	rechercher; viser	L'entreprise recherche de nouvelles possibilités de développement.
模样	apparence; allure	Son apparence a beaucoup changé maintenant.
母语	langue maternelle	L'enfant apprend sa langue maternelle dès son plus jeune âge.
沐浴	baigner; être baigné	Le village du matin est baigné de soleil.
目睹	être témoin de	Beaucoup de gens ont été témoins de cet accident.
目光	regard	Tous les regards se sont concentrés sur la scène.
拿手	exceller dans; spécialité	Le poisson braisé est sa spécialité.
纳闷儿	être perplexe	Je me demande depuis longtemps pourquoi il est arrivé en retard.
耐用	durable	Cette paire de chaussures est très durable.
南辕北辙	aller à l'encontre de son objectif	Sa méthode va complètement à l'encontre de son objectif.
难得	rare; précieux	C'est une occasion rare.
难堪	embarrassant; pénible	Cette question l'a mis très mal à l'aise.
难能可贵	rare et précieux	Rester honnête sous pression est rare et précieux.
恼火	irrité; fâché	L'appareil est encore tombé en panne, il est très irrité.
内涵	connotation; contenu	Ce mot a une riche connotation culturelle.
内幕	coulisses; informations internes	Le journaliste essaie d'enquêter sur les dessous de l'affaire.
内在	interne; intrinsèque	Il accorde plus d'importance aux qualités intérieures d'une personne.
能量	énergie	Ce petit-déjeuner me donne beaucoup d'énergie.
拟定	rédiger; établir	Le secrétaire rédige l'ordre du jour de la réunion.
逆行	circuler en sens interdit	Cette voiture roulait en sens interdit dans une rue à sens unique.
年度	annuel; année	L'entreprise a publié son rapport annuel.
捏	pincer; modeler	Elle a doucement pincé la joue de l'enfant.
凝固	se solidifier	Après refroidissement, la cire se solidifie lentement.
凝聚	rassembler; unir	Un objectif commun peut unir les forces de l'équipe.
凝视	fixer du regard	Il fixait du regard les lumières au loin.
拧	tordre; pincer	Il m'a pincé avec la main.
宁肯	préférer	Elle préfère échouer plutôt que renoncer à ses principes.
宁愿	préférer	Je préfère marcher plutôt que d'attendre le bus.
扭转	inverser; renverser	La nouvelle politique a inversé la situation déficitaire.
纽扣儿	bouton	Un bouton est tombé de cette chemise.
农历	calendrier lunaire	La Fête du printemps est célébrée selon le calendrier lunaire.
浓厚	fort; profond	Il a un fort intérêt pour l'histoire.
奴隶	esclave	Le système esclavagiste existait dans les sociétés anciennes.
挪	déplacer	Veuillez déplacer un peu la chaise sur le côté.
虐待	maltraiter	La loi interdit de maltraiter les enfants.
哦	oh	Oh, j'ai enfin compris.
殴打	frapper; passer à tabac	La police a arrêté la personne qui avait frappé des passants.
偶像	idole	Elle considère cet écrivain comme son idole.
呕吐	vomir	Après avoir mangé quelque chose d'avarié, il a commencé à vomir.
趴	être allongé sur le ventre	Le chaton dort allongé sur le ventre sur le rebord de la fenêtre.
徘徊	hésiter; faire les cent pas	Il a longtemps fait les cent pas devant la porte.
排斥	repousser; exclure	Ce nouveau matériau repousse l'eau.
排除	éliminer; écarter	Le médecin a d'abord écarté les maladies graves.
排放	émission; rejet	L'usine doit réduire ses émissions de gaz usés.
排练	répéter; répétition	Les acteurs répètent un nouveau programme.
派别	faction; courant	Il existe différentes factions au sein de cette organisation.
派遣	envoyer; dépêcher	L'entreprise a envoyé des ingénieurs sur place.
攀登	escalader; grimper	Ils prévoient d'escalader la montagne enneigée demain.
盘旋	tourner en rond; planer	L'avion tournait au-dessus de l'aéroport.
判决	jugement	Le tribunal a annoncé le jugement aujourd'hui.
畔	rive; bord	Les enfants se promènent au bord du lac.
庞大	énorme; considérable	Ce projet nécessite des fonds considérables.
抛弃	abandonner	Il ne veut pas abandonner ses rêves.
泡沫	mousse; bulle	Il y a beaucoup de mousse blanche dans le verre.
培育	cultiver; former	L'école s'efforce de cultiver le sens des responsabilités des élèves.
配备	équiper	La nouvelle voiture est équipée d'un système de sécurité.
配偶	conjoint	Le formulaire demande les informations du conjoint.
配套	complémentaire; complet	La communauté dispose d'équipements complets.
盆地	bassin	Ce bassin est très chaud en été.
烹饪	cuisine; art culinaire	La cuisine demande de la patience et de l'expérience.
捧	tenir à deux mains	Elle tient un bouquet de fleurs à deux mains.
劈	fendre; couper	L'ouvrier fend du bois avec une hache.
批发	vente en gros	Ce magasin vend principalement des fruits en gros.
批判	critiquer	L'article critique cette idée erronée.
疲惫	épuisé	Après le long voyage, tout le monde était épuisé.
疲倦	fatigué	Le travail continu le fatigue.
皮革	cuir	Ce sac est fait de cuir.
屁股	fesses	Après être tombé, l'enfant a mal aux fesses.
譬如	par exemple	Par exemple, nous pouvons d'abord faire un petit test.
偏差	écart; biais	Les résultats de l'expérience présentent un écart évident.
偏见	préjugé	Nous devons éviter les préjugés ethniques.
偏僻	reculé; isolé	Ce village est situé dans un endroit très isolé.
偏偏	contre toute attente	Plus je suis pressé, plus la voiture avance lentement, justement.
片断	fragment; passage	Il y a plusieurs passages remarquables dans le film.
片刻	un instant	Attends-moi ici un instant, s'il te plaît.
漂浮	flotter	Les feuilles mortes flottent à la surface de l'eau.
飘扬	flotter au vent	Le drapeau national flotte au vent.
撇	mettre de côté; lancer	Il a mis l'ancien plan de côté.
拼搏	lutter; se battre	Les jeunes doivent se battre pour leurs idéaux.
拼命	de toutes ses forces	Il a poursuivi l'équipe devant lui de toutes ses forces.
贫乏	pauvre; insuffisant	Le contenu de cet article est assez pauvre.
贫困	pauvreté; pauvre	Le gouvernement aide les familles pauvres.
频繁	fréquent	Récemment, les accidents de la route sont fréquents ici.
频率	fréquence	La fréquence de ce son est très élevée.
品尝	goûter	Les invités goûtent les spécialités locales.
品德	moralité; caractère moral	L'école attache de l'importance à l'éducation morale des élèves.
品质	qualité	La qualité des produits de cette entreprise est stable.
品种	variété; espèce	Il y a de nombreuses variétés de fruits sur le marché.
屏幕	écran	Veuillez baisser la luminosité de l'écran.
屏障	barrière; écran protecteur	La forêt est une importante barrière contre le vent.
平凡	ordinaire	Il travaille depuis des années à un poste ordinaire.
平面	plan; surface plane	Le designer a dessiné le plan de la maison.
平坦	plat; régulier	Cette route est très plate.
平行	parallèle	Ces deux lignes sont parallèles.
平庸	médiocre	Il refuse de mener une vie médiocre.
平原	plaine	Le train traverse une vaste plaine.
评估	évaluer; estimation	Les experts évaluent les risques du projet.
评论	commenter; commentaire	Les lecteurs peuvent commenter sous l'article.
坡	pente	La voiture monte lentement la pente.
泼	éclabousser; renverser	Ne renverse pas l'eau par terre.
颇	assez; plutôt	Ce résultat est assez surprenant.
破例	faire une exception	Le directeur a fait une exception et approuvé sa demande.
迫不及待	impatient	Les enfants ouvrent les cadeaux avec impatience.
迫害	persécuter; persécution	Dans l'histoire, beaucoup de gens ont subi des persécutions.
魄力	audace; courage	Un dirigeant a besoin d'audace dans ses décisions.
扑	se jeter sur	L'enfant s'est jeté dans les bras de sa mère.
铺	étendre; poser	Les ouvriers posent une nouvelle moquette.
普及	se généraliser; populariser	Internet s'est déjà généralisé dans les villes.
朴实	simple; sincère	Son langage est simple et sincère.
朴素	simple; sobre	Elle aime un mode de vie simple.
瀑布	cascade	Les touristes prennent des photos près de la cascade.
凄凉	désolé; lugubre	Le village de montagne paraît très désolé en hiver.
期望	attente; espoir	Les parents ont de grandes attentes envers leurs enfants.
期限	délai	Le délai d'inscription est ce vendredi.
欺负	brimer; harceler	Les grands enfants ne doivent pas brimer les petits.
欺骗	tromper; duper	Les fausses publicités ont trompé les consommateurs.
奇妙	merveilleux; fantastique	La nature présente de nombreux phénomènes merveilleux.
旗袍	qipao; robe chinoise	Elle porte un qipao rouge pour participer à la soirée.
旗帜	drapeau	Des drapeaux colorés flottent sur la place.
歧视	discrimination; discriminer	La loi interdit toute forme de discrimination.
齐全	complet	Les outils de ce magasin sont très complets.
齐心协力	unir ses efforts	Tout le monde a uni ses efforts pour terminer la tâche.
乞丐	mendiant	Un vieux mendiant est assis au bord de la route.
企图	tenter; tentative	Il a tenté de cacher la vérité.
启程	partir; prendre la route	La délégation partira demain matin de bonne heure.
启蒙	initier; éveiller	Ce livre convient à l'initiation à la lecture des enfants.
启事	avis; annonce	Une annonce de recrutement est affichée à l'entrée de l'école.
启示	inspiration; révélation	Cet échec nous a donné une leçon importante.
岂有此理	c'est absurde	Ce genre de frais est vraiment absurde.
起草	rédiger; ébaucher	L'avocat rédige le contrat.
起初	au début	Au début, il ne croyait pas cette nouvelle.
起伏	onduler; hauts et bas	La route de montagne monte et descend avec le relief.
起哄	chahuter; faire du tapage	Les élèves ne doivent pas chahuter en classe.
起码	au minimum	Tu aurais au minimum dû me prévenir à l'avance.
起源	origine; provenir	Cette fête trouve son origine dans l'Antiquité.
器材	matériel; équipement	Le laboratoire a besoin de nouveau matériel pédagogique.
器官	organe	Le cœur est un organe important du corps humain.
气概	esprit; grandeur	Ce poème exprime un esprit héroïque.
气功	qigong	Grand-père pratique le qigong chaque matin.
气魄	envergure; force	Ce grand pont a beaucoup d'envergure.
气色	teint	Après s'être reposé, il a bien meilleur teint.
气势	élan; vigueur	L'équipe a commencé le match avec beaucoup d'élan.
气味	odeur	Il y a une odeur de pain grillé dans la cuisine.
气象	météorologie; conditions météorologiques	Les conditions météorologiques du plateau changent très vite ici.
气压	pression atmosphérique	La baisse de la pression atmosphérique peut apporter de la pluie.
气质	tempérament	Elle a un tempérament calme.
迄今为止	jusqu'à présent	Jusqu'à présent, l'expérience progresse bien.
掐	pincer; cueillir	Elle a cueilli une petite fleur.
恰当	approprié	Ta réponse est très appropriée.
恰到好处	parfaitement dosé	Le degré de douceur de ce plat est parfaitement dosé.
恰巧	par hasard; justement	Quand je suis arrivé à la gare, il s'est justement mis à pleuvoir.
洽谈	discuter; négocier	Les deux parties discutent des détails de la coopération.
千方百计	par tous les moyens	Ils cherchent par tous les moyens une solution.
牵	tenir; mener	La mère tient son enfant par la main pour traverser la route.
牵扯	impliquer	Cette affaire implique de nombreux services.
牵制	contenir; restreindre	La défense adverse a contenu l'attaque.
签署	signer	Les deux entreprises ont signé un accord.
谦逊	modeste; humilité	Il est resté très modeste après son succès.
迁就	céder à; s'adapter à	Les parents ne peuvent pas toujours céder aux enfants.
迁徙	migrer	Les oiseaux migrateurs migrent chaque année selon les saisons.
前景	perspectives	Les perspectives de ce secteur sont très bonnes.
前提	préalable; condition	La confiance est la condition préalable à la coopération.
潜力	potentiel	Cet étudiant a un grand potentiel.
潜水	plonger; plongée	Ils vont au bord de la mer apprendre la plongée.
潜移默化	influence imperceptible	L'environnement familial influence imperceptiblement les enfants.
谴责	condamner	La communauté internationale a condamné les actes de violence.
抢劫	braquer; voler	La police a arrêté le suspect du braquage de la banque.
强制	obliger; imposer	La nouvelle règle oblige les conducteurs à attacher leur ceinture.
强迫	forcer; contraindre	Ne force pas les enfants à faire ce qu'ils n'aiment pas.
抢救	secourir; sauver	Les médecins secourent l'ouvrier blessé.
桥梁	pont	La langue est un pont pour les échanges culturels.
窍门	astuce; savoir-faire	Il existe quelques astuces pour apprendre la prononciation.
翘	relever; lever	Il a posé un pied en hauteur sur la chaise.
切实	concret; réalisable	Nous avons besoin d'un plan concret et réalisable.
锲而不舍	persévérer	Il étudie ce problème avec persévérance.
亲密	intime; proche	Ils ont toujours gardé une relation proche.
亲热	affectueux; chaleureux	Le vieil homme accueille chaleureusement les invités.
侵犯	violer; porter atteinte à	Ce comportement porte atteinte à la vie privée.
侵略	invasion; agression	Le peuple s'oppose à toute forme d'agression.
钦佩	admirer	J'admire beaucoup son courage.
勤俭	travailleur et économe	Grand-mère a tenu la maison toute sa vie avec travail et économie.
勤劳	travailleur; diligent	Les personnes travailleuses savent toujours créer des occasions.
倾听	écouter attentivement	Le professeur écoute attentivement les avis des élèves.
倾向	tendance; pencher vers	Les jeunes consommateurs tendent à acheter en ligne.
倾斜	pencher; s'incliner	Après la forte pluie, le mur a commencé à pencher.
清澈	limpide	L'eau du ruisseau en montagne est très limpide.
清晨	tôt le matin	L'air du matin est particulièrement frais.
清除	enlever; éliminer	Les ouvriers ont enlevé la neige sur la route.
清洁	propre; propreté	L'hôpital doit garder un environnement propre.
清理	ranger; nettoyer	Le week-end, nous avons nettoyé l'entrepôt.
清晰	net; clair	Cette photo est très nette.
清醒	lucide; réveillé	Après avoir bu du café, il est devenu beaucoup plus lucide.
清真	halal; musulman	Il y a un restaurant halal à proximité.
情报	renseignement; information	Le journaliste a obtenu des renseignements importants.
情节	intrigue	L'intrigue du roman est très tendue.
情理	raison; bon sens	Sa demande n'est pas raisonnable.
情形	situation; circonstances	La situation sur place est plus complexe qu'on l'imaginait.
晴朗	dégagé; ensoleillé	Le ciel est particulièrement dégagé aujourd'hui.
请柬	carton d'invitation	Ils ont envoyé des cartons d'invitation au mariage à leurs proches et amis.
请教	consulter; demander conseil	Je voudrais vous demander conseil sur une question.
请示	demander des instructions	Cette affaire doit d'abord être soumise aux responsables.
请帖	carton d'invitation	Il y a un carton d'invitation à un anniversaire sur la table.
丘陵	collines	Cette région compte beaucoup de collines.
区分	distinguer; différencier	L'enfant sait déjà distinguer la gauche et la droite.
区域	zone; région	Le stationnement est interdit dans cette zone.
屈服	céder; se soumettre	Il n'a pas cédé à la pression.
曲折	sinueux; compliqué	Ils ont traversé des négociations compliquées.
驱逐	expulser	La police a expulsé les fauteurs de troubles.
渠道	canal; voie	L'entreprise vend ses produits par de nouveaux canaux.
取缔	interdire; bannir	Le gouvernement a interdit le marché illégal.
曲子	mélodie; morceau	La mélodie de ce morceau est très belle.
趣味	intérêt; plaisir	Ce jeu est très intéressant.
圈套	piège	Il a failli tomber dans le piège des escrocs.
全局	situation d'ensemble	Les dirigeants doivent considérer l'intérêt général.
全力以赴	faire tout son possible	Nous ferons tout notre possible pour terminer la tâche.
拳头	poing	Il serre le poing pour se préparer à la compétition.
权衡	peser; évaluer	Nous devons peser les coûts et les effets.
权威	autorité; expert	Ce professeur est une autorité dans ce domaine.
犬	chien	Cette race de chien convient à la garde de la maison.
缺口	brèche; ouverture	Il y a une petite brèche dans le mur.
缺席	absence; absent	Il était absent de la réunion pour cause de maladie.
缺陷	défaut; faille	Cette conception présente un défaut évident.
瘸	boiteux	Sa jambe gauche est un peu boiteuse.
确保	assurer; garantir	Assure-toi que la porte est bien verrouillée.
确立	établir	L'entreprise a établi de nouveaux objectifs de développement.
确切	exact; précis	Je ne connais pas l'heure exacte.
确信	être convaincu	Je suis convaincu qu'il arrivera à l'heure.
群众	les masses; le public	Le public soutient beaucoup la nouvelle politique.
染	teindre	Elle s'est teint les cheveux en noir.
嚷	crier	Ne crie pas fort dans le couloir.
让步	concession; céder	Les deux parties ont fait quelques concessions.
饶恕	pardonner	Elle a finalement choisi de pardonner à l'autre partie.
扰乱	perturber	Le bruit a perturbé l'ordre de la classe.
惹祸	s'attirer des ennuis	Plaisanter n'importe comment attire facilement des ennuis.
热泪盈眶	avoir les larmes aux yeux	En entendant la bonne nouvelle, elle avait les larmes aux yeux.
热门	populaire; en vogue	L'intelligence artificielle est un sujet populaire.
人道	humanitaire; humanité	L'opération de secours incarne l'esprit humanitaire.
人格	personnalité; dignité	Insulter les autres porte atteinte à leur dignité.
人工	artificiel; manuel	Cette rivière a été creusée artificiellement.
人家	les autres	Ne te compare pas toujours aux autres.
人间	monde humain	Le printemps remplit le monde de vitalité.
人士	personnalité; personne	Des personnalités de tous les milieux ont participé au symposium.
人为	artificiel; causé par l'homme	Cet accident a été causé par des facteurs humains.
人性	nature humaine	Ce film aborde la nature humaine.
人质	otage	La police a réussi à libérer les otages.
仁慈	bienveillant; charitable	Ce médecin est très bienveillant envers les patients.
忍耐	patience; endurer	Faire la queue longtemps demande un peu de patience.
忍受	supporter; endurer	Je ne peux pas supporter le bruit ici.
任命	nommer	Le conseil d'administration l'a nommée directrice.
任性	capricieux; entêté	Un enfant trop capricieux peut être freiné dans sa croissance.
任意	arbitraire; à volonté	Veuillez ne pas modifier les données arbitrairement.
任重道远	lourde responsabilité et long chemin	La réforme de l'éducation est une lourde responsabilité de longue haleine.
认定	déterminer; conclure	La police a déterminé qu'il s'agissait d'un accident.
认可	approbation; reconnaître	Son plan a été approuvé par tout le monde.
仍旧	toujours; encore	Des années plus tard, il habite toujours ici.
日新月异	changer rapidement	La technologie évolue très rapidement.
日益	de jour en jour; de plus en plus	Les problèmes environnementaux deviennent de plus en plus graves.
容貌	apparence; visage	Les années ont changé son apparence.
容纳	contenir; accueillir	Cette salle peut accueillir cinq cents personnes.
容器	récipient	Veuillez verser le liquide dans un récipient en verre.
容忍	tolérer	L'entreprise ne peut pas tolérer la fraude.
溶解	se dissoudre	Le sel se dissout dans l'eau.
荣幸	honoré	Je suis honoré de pouvoir participer à la réunion.
荣誉	honneur; gloire	Cette médaille représente le plus grand honneur.
融化	fondre; dégeler	Le soleil fait lentement fondre la neige et la glace.
融洽	harmonieux	Les relations entre collègues sont très harmonieuses.
揉	masser; frotter	Maman me masse doucement les épaules.
柔和	doux; tamisé	La lumière est douce et n'éblouit pas.
儒家	confucianisme	La pensée confucéenne a influencé la culture d'Asie de l'Est.
弱点	point faible	La négligence est son principal point faible.
若干	plusieurs; un certain nombre	La réunion a avancé plusieurs propositions.
撒谎	mentir	Les enfants ne devraient pas mentir.
散文	prose; essai	Elle aime lire la prose moderne.
散布	diffuser	Quelqu'un diffuse des rumeurs en ligne.
散发	émettre; diffuser	Le jardin dégage un parfum frais.
丧失	perdre	Il n'a pas perdu confiance.
骚扰	harceler; déranger	Veuillez ne pas déranger les autres passagers.
嫂子	belle-sœur	Le repas préparé par ma belle-sœur est très bon.
刹车	freiner	Le conducteur a freiné brusquement.
啥	quoi	Qu'est-ce que tu viens de dire ?
筛选	filtrer; sélectionner	Le système filtre automatiquement les CV.
山脉	chaîne de montagnes	Cette chaîne de montagnes est très longue.
闪烁	scintiller	Les lumières au loin scintillent sans cesse.
擅长	exceller dans	Il excelle dans la gestion des problèmes complexes.
擅自	sans autorisation	Les employés ne peuvent pas quitter leur poste sans autorisation.
伤脑筋	casse-tête; ennuyeux	Ce problème est vraiment un casse-tête.
商标	marque; logo	L'entreprise a enregistré une nouvelle marque.
上级	supérieur; autorité supérieure	Il a rendu compte de la situation à ses supérieurs.
上进	ambitieux; chercher à progresser	Elle cherche toujours à progresser.
上任	entrer en fonction	Le nouveau directeur entrera en fonction la semaine prochaine.
上瘾	devenir dépendant	Beaucoup de gens deviennent dépendants des vidéos courtes.
上游	amont	La pollution vient de l'amont de la rivière.
尚且	même	Même les adultes peuvent faire des erreurs.
捎	apporter; transmettre	Aide-moi à transmettre un message, s'il te plaît.
梢	bout de branche	Un oiseau est posé à la cime de l'arbre.
哨	sentinelle; sifflet	Il y a une sentinelle à l'entrée.
奢侈	luxueux; extravagant	Ce genre de consommation est trop extravagant.
舌头	langue	Il s'est brûlé la langue.
摄氏度	degré Celsius	La température est de trente degrés Celsius aujourd'hui.
涉及	impliquer; concerner	Le rapport concerne plusieurs services.
社区	communauté; quartier	Le quartier a organisé une conférence sur la santé.
设立	établir; créer	L'école a créé une bourse.
设想	idée; envisager	Cette idée doit encore être discutée.
设置	configurer; installer	Veuillez réinitialiser le mot de passe.
呻吟	gémir	Le patient gémit à voix basse.
深奥	profond; difficile	Ce livre a un contenu très profond.
深沉	profond; grave	Sa voix est basse et grave.
深情厚谊	profonde amitié	Les peuples des deux pays ont noué une profonde amitié.
申报	déclarer	Les voyageurs doivent déclarer honnêtement leurs objets.
绅士	gentleman	Il se comporte comme un gentleman.
神经	nerf	Le stress peut affecter le système nerveux.
神奇	magique; merveilleux	Le paysage ici est vraiment merveilleux.
神气	air; attitude	Il a l'air particulièrement fier aujourd'hui.
神圣	sacré	C'est une responsabilité sacrée.
神态	expression; attitude	Son expression est très calme.
神仙	immortel taoïste; être surnaturel	La légende dit que des immortels vivent dans les montagnes.
审查	examiner; censurer	La plateforme examinera le contenu publié.
审理	instruire; juger	Le tribunal instruit actuellement cette affaire.
审美	esthétique; goût	Son sens esthétique est très particulier.
审判	procès; juger	Le procès public a attiré l'attention des médias.
慎重	prudent; avec précaution	Cette décision doit être prise avec prudence.
渗透	pénétrer; infiltrer	L'eau de pluie pénètre lentement dans le sol.
声明	déclaration	L'entreprise a publié une déclaration officielle.
声势	élan; ampleur	Cette campagne de communication a beaucoup d'ampleur.
声誉	réputation	La qualité des produits influence la réputation de la marque.
牲畜	bétail	Les éleveurs ramènent le bétail au pâturage.
生存	survivre; existence	Les animaux sauvages ont besoin d'un espace de survie.
生机	vitalité	La pluie de printemps remplit la terre de vitalité.
生理	physiologie	Le sommeil influence l'état physiologique d'une personne.
生疏	rouillé; peu familier	Après des années sans pratique, son piano est un peu rouillé.
生态	écologie	La protection des forêts concerne l'équilibre écologique.
生物	organisme; être vivant	Il y a de nombreux êtres vivants étranges dans l'océan.
生效	entrer en vigueur	La nouvelle règle entrera officiellement en vigueur demain.
生肖	signe du zodiaque chinois	Quel est ton signe du zodiaque chinois ?
生锈	rouiller	La chaîne du vélo a déjà rouillé.
生育	mettre au monde; procréation	L'hôpital offre des services de conseil en procréation.
省会	capitale provinciale	Chengdu est depuis l'Antiquité la capitale du Sichuan.
盛产	produire en abondance	On produit ici en abondance du thé de qualité.
盛开	être en pleine floraison	Les cerisiers du parc sont en pleine floraison.
盛情	grande hospitalité	Nous remercions l'hôte pour sa grande hospitalité.
盛行	être en vogue	Ce style a été très en vogue pendant un temps.
胜负	victoire ou défaite; issue	La dernière minute du match a décidé de l'issue.
失事	avoir un accident	La cause de l'accident d'avion est encore en cours d'enquête.
失误	erreur	Une petite erreur a retardé le projet.
失踪	disparu	La police recherche l'enfant disparu.
尸体	cadavre	L'équipe de secours a trouvé le corps de la victime.
师范	pédagogique; formation des enseignants	Elle est diplômée d'une université normale.
施加	exercer	Les parents ne doivent pas exercer une pression excessive.
施展	déployer; mettre en valeur	Il a enfin l'occasion de déployer son talent.
十足	total; complet	Il a une confiance totale dans le résultat.
实惠	avantageux; bon marché	Les prix de ce magasin sont très avantageux.
实力	force; capacité	La force globale de l'équipe est très élevée.
实施	mettre en œuvre	Le gouvernement a commencé à mettre en œuvre le nouveau plan.
实事求是	rechercher la vérité dans les faits	En recherche, il faut s'appuyer sur les faits.
实行	appliquer; mettre en pratique	L'entreprise applique un système de travail flexible.
实质	essence; substance	L'essence du problème n'a pas changé.
拾	ramasser	Il se penche pour ramasser la clé par terre.
时常	souvent	Grand-père parle souvent de sa jeunesse.
时而	par moments	Le temps est parfois ensoleillé, parfois couvert.
时光	temps; période	Les bons moments sont toujours très courts.
时机	moment opportun	Ce n'est pas le bon moment pour négocier.
时事	actualité	Les élèves discutent chaque semaine de l'actualité internationale.
石油	pétrole	Le prix du pétrole a encore augmenté.
识别	reconnaître; identifier	Le système peut reconnaître différents visages.
使命	mission	Protéger l'environnement est une mission commune.
世代	générations	Ce savoir-faire se transmet de génération en génération dans la famille.
事故	accident	Cet accident n'a fait aucune victime.
事迹	hauts faits; actes	Ses actes héroïques sont largement connus.
事件	événement; incident	Cet incident a attiré l'attention de la société.
事态	situation	Le gouvernement contrôle l'évolution de la situation.
事务	affaires; tâches	Elle est responsable des affaires quotidiennes de l'entreprise.
事项	point; élément	Veuillez confirmer les points importants du contrat.
事业	carrière; cause	Il considère l'éducation comme la cause de toute sa vie.
势必	inévitablement	La hausse des coûts influencera inévitablement les prix.
势力	force; influence	Les forces commerciales locales sont puissantes.
是非	bien et mal; querelle	Il ne veut pas être mêlé aux querelles du bureau.
示范	démontrer; exemple	Le professeur a d'abord fait une démonstration.
示威	manifestation	Une manifestation pacifique a eu lieu au centre-ville.
示意	faire signe; indiquer	Le directeur a fait signe à tout le monde de se taire.
