simplified	PL	example_PL
随手	przy okazji; mimochodem	Przy wyjściu proszę zamknąć za sobą drzwi.
碎	rozbity; pokruszony	Kubek spadł na ziemię i się rozbił.
损失	strata	Ten wypadek spowodował dużą stratę.
缩短	skracać	Nowa trasa skróciła podróż.
所	klasyfikator dla instytucji i budynków	Ta szkoła jest bardzo znana.
锁	zamykać na klucz	Przed wyjściem proszę zamknąć drzwi na klucz.
台阶	stopień; schody	Starsza osoba powoli weszła po schodach.
太极拳	tai chi	W parku kilka osób ćwiczy tai chi.
太太	pani; żona	Pani Wang gotuje.
谈判	negocjować; negocjacje	Obie strony prowadzą negocjacje.
坦率	szczery; otwarty	On szczerze wyraził swoje myśli.
烫	gorący; parzyć	Ta herbata jest bardzo gorąca.
桃	brzoskwinia	Na drzewie wyrosło wiele brzoskwiń.
淘气	niegrzeczny; psotny	To dziecko jest trochę niegrzeczne.
逃	uciekać	Szczeniak uciekł z podwórka.
逃避	unikać; uchylać się	Nie unikaj odpowiedzialności.
讨价还价	targować się	On lubi targować się podczas zakupów.
套	komplet; zestaw	On kupił nowy komplet ubrań.
特色	cecha szczególna; specyfika	Ta restauracja ma lokalny charakter.
特殊	specjalny; szczególny	Dzisiaj jest szczególny dzień.
特征	cecha charakterystyczna	Ten gatunek zwierzęcia ma wyraźne cechy.
疼爱	bardzo kochać	Dziadkowie bardzo kochają dziecko.
提倡	promować; zalecać	Szkoła promuje oszczędzanie wody.
提纲	plan; konspekt	Przed pisaniem artykułu zrób konspekt.
提问	zadawać pytania	Uczniowie mogą zadawać pytania w każdej chwili.
题目	temat; pytanie	To pytanie nie jest bardzo trudne.
体会	doświadczenie; zrozumieć	Dzięki podróży zyskałem nowe zrozumienie.
体贴	troskliwy; wyrozumiały	On jest bardzo troskliwy wobec rodziny.
体现	odzwierciedlać	Ta sprawa odzwierciedla ducha zespołu.
体验	doświadczyć	Chcę doświadczyć lokalnego życia.
天空	niebo	Dzisiejsze niebo jest bardzo niebieskie.
天真	naiwny; niewinny	Pomysł dziecka jest bardzo niewinny.
调皮	psotny	Ten kot jest bardzo psotny.
调整	dostosować; korekta	Musimy dostosować plan.
挑战	wyzwanie	To jest wielkie wyzwanie.
通常	zwykle	On zwykle wstaje o siódmej.
统一	ujednolicić; zjednoczyć	Opinie wszystkich trzeba ujednolicić.
痛苦	ból; cierpienie	Utrata przyjaciela bardzo go zasmuciła.
痛快	świetnie; z przyjemnością	Dzisiaj naprawdę świetnie się bawiliśmy.
偷	kraść	Nie kradnij cudzych rzeczy.
投入	zaangażować się; zainwestować	On pracuje z dużym zaangażowaniem.
投资	inwestować; inwestycja	Oni zainwestowali w nowy projekt.
透明	przezroczysty	Ten kubek jest przezroczysty.
突出	wyraźny; wyróżniający się	Jego zalety są bardzo wyraźne.
土地	ziemia; grunt	Ten kawałek ziemi jest bardzo żyzny.
土豆	ziemniak	Kupiłem kilka ziemniaków.
兔子	królik	Dziecko trzyma królika.
吐	wymiotować	On źle się czuje i chce wymiotować.
团	grupa; wycieczka grupowa	Dołączyliśmy do grupy wycieczkowej.
推辞	odmówić; odrzucić	On odmówił zaproszenia przyjaciela.
推广	promować; upowszechniać	Firma promuje nowy produkt.
推荐	polecać	Nauczyciel polecił tę książkę.
退	cofnąć się	Proszę cofnąć się o krok.
退步	cofać się; pogorszenie	Jeśli nie będziesz ćwiczyć, twój poziom się pogorszy.
退休	przejść na emeryturę	On przejdzie na emeryturę w przyszłym roku.
歪	krzywy	Ten obraz wisi krzywo.
外公	dziadek ze strony matki	Mój dziadek ze strony matki ma w tym roku osiemdziesiąt lat.
外交	dyplomacja	On studiuje stosunki międzynarodowe i dyplomację.
完美	doskonały; perfekcja	Ten plan nie jest doskonały.
完善	ulepszać; udoskonalać	Musimy ulepszyć proces obsługi.
完整	kompletny; nienaruszony	Proszę dać mi kompletny raport.
玩具	zabawka	Dziecko włożyło zabawki do pudełka.
万一	na wszelki wypadek; gdyby	Gdyby padało, pójdziemy innego dnia.
王子	książę	Książę w tej historii jest bardzo odważny.
往返	podróż tam i z powrotem	Ten bilet pozwala na podróż tam i z powrotem tego samego dnia.
网络	internet; sieć	Połączenie internetowe tutaj jest bardzo stabilne.
危害	szkodzić; zagrożenie	Palenie może szkodzić zdrowiu.
威胁	grozić; zagrożenie	Zanieczyszczenie zagraża rzece.
微笑	uśmiech; uśmiechać się	Ona uśmiechnęła się do mnie.
唯一	jedyny	To jest jedyny sposób.
围巾	szalik	Zimą nosi szalik.
围绕	koncentrować się wokół	Dyskusja koncentrowała się wokół tej sprawy.
维修	naprawa; konserwacja	Winda jest w naprawie.
违反	naruszać; łamać	Robienie tego łamie zasady.
伟大	wielki	To jest wielkie odkrycie.
委屈	czuć się skrzywdzonym	Ona czuła się bardzo skrzywdzona.
尾巴	ogon	Szczeniak machał ogonem.
位于	znajdować się	Szkoła znajduje się w centrum miasta.
位置	miejsce; pozycja	To miejsce jest bardzo ciche.
未必	niekoniecznie	To, co powiedział, niekoniecznie jest prawdą.
未来	przyszłość	Musimy przygotować się na przyszłość.
胃	żołądek	Mój żołądek czuje się trochę nieswojo.
胃口	apetyt	Dzisiaj ma dobry apetyt.
温暖	ciepły	Wiosenne słońce jest bardzo ciepłe.
温柔	delikatny; łagodny	Ona mówi bardzo łagodnie.
文件	dokument; plik	Proszę wysłać mi dokument.
文具	artykuły papiernicze	W plecaku jest dużo artykułów papierniczych.
文明	cywilizowany; cywilizacja	Stanie w kolejce to cywilizowane zachowanie.
文学	literatura	Ona lubi literaturę chińską.
文字	pismo; znaki pisane	Te znaki są trudne do odczytania.
闻	wąchać; słyszeć	Poczułem zapach kwiatów.
吻	całować; pocałunek	Matka pocałowała dziecko w twarz.
稳定	stabilny	Ceny pozostają stabilne.
问候	pozdrowić; przesłać pozdrowienia	Proszę przekazać moje pozdrowienia twojej rodzinie.
卧室	sypialnia	W sypialni jest duże łóżko.
握手	podać sobie ręce	Oni podali sobie ręce przy spotkaniu.
屋子	pokój; dom	W pokoju jest ciepło.
无奈	bezradny; nie mieć wyjścia	On bezradnie pokręcił głową.
无数	niezliczony	Na nocnym niebie jest niezliczenie wiele gwiazd.
无所谓	wszystko jedno; nie ma znaczenia	Nie ma znaczenia, co chcesz jeść.
武术	sztuki walki	On od dzieciństwa uczy się sztuk walki.
勿	nie wolno	Proszę tu nie palić.
物理	fizyka	Lekcja fizyki jest bardzo ciekawa.
物质	substancja; materia	Woda jest ważną substancją.
雾	mgła	Rano była gęsta mgła.
吸取	wyciągać; przyswajać	Powinniśmy wyciągnąć wnioski z tej lekcji.
吸收	wchłaniać; absorbować	Rośliny wchłaniają wodę.
戏剧	dramat; teatr	On lubi oglądać tradycyjny teatr.
系	wydział; związek	Ona studiuje na wydziale języka chińskiego.
系统	system	Ten system działa stabilnie.
细节	szczegół	Proszę zwrócić uwagę na te szczegóły.
瞎	na ślepo; bezpodstawnie	Nie zgaduj na ślepo, najpierw spójrz na materiały.
下载	pobierać	Pobrałem to oprogramowanie.
吓	przestraszyć	Nagły dźwięk mnie przestraszył.
夏令营	obóz letni	Dziecko wzięło udział w chińskim obozie letnim.
鲜艳	jaskrawy; żywy	Kolor tej spódnicy jest bardzo żywy.
显得	wydawać się; wyglądać	To ubranie sprawia, że wygląda bardzo młodo.
显然	oczywiście; wyraźnie	Oczywiście on już zna wynik.
显示	pokazywać; wyświetlać	Ekran pokazuje złą godzinę.
县	powiat	W tym powiecie jest wiele plantacji herbaty.
现代	nowoczesny; współczesny	Współczesne życie nie może obyć się bez internetu.
现实	rzeczywistość	Musimy stawić czoła rzeczywistości.
现象	zjawisko	To zjawisko jest bardzo powszechne.
限制	ograniczać	Tutaj wjazd pojazdów jest ograniczony.
相处	dogadywać się	Oni bardzo dobrze się dogadują.
相当	dość; całkiem	Ta książka jest całkiem ciekawa.
相对	stosunkowo; względnie	Ceny tutaj są stosunkowo tanie.
相关	związany; odpowiedni	Proszę dostarczyć odpowiednie materiały.
相似	podobny	Znaczenia tych dwóch znaków są bardzo podobne.
香肠	kiełbasa	Na śniadanie są jajka i kiełbasa.
享受	cieszyć się; korzystać	Oni cieszą się wakacjami.
想念	tęsknić	Bardzo tęsknię za rodziną.
想象	wyobrażać sobie	Nie potrafię sobie wyobrazić takiego życia.
象棋	chińskie szachy	Dziadek lubi grać w chińskie szachy.
象征	symbol; symbolizować	Biel często symbolizuje czystość.
项	element; zadanie	To zadanie jest bardzo ważne.
项链	naszyjnik	Ona nosi srebrny naszyjnik.
项目	projekt	Ten projekt wymaga trzech miesięcy.
消费	konsumpcja; wydawać	Konsumpcja wzrosła podczas święta.
消化	trawić; trawienie	Spacer po posiłku pomaga w trawieniu.
消极	negatywny; bierny	Nie patrz na problemy z negatywnym nastawieniem.
消失	znikać	Słońce powoli zniknęło za górą.
销售	sprzedawać; sprzedaż	Ta firma sprzedaje produkty elektroniczne.
小麦	pszenica	Na północy uprawia się dużo pszenicy.
小气	skąpy	Nie bądź taki skąpy.
孝顺	być oddanym rodzicom	On jest bardzo oddany swoim rodzicom.
效率	wydajność; efektywność	Robienie tego w ten sposób może poprawić wydajność.
歇	odpocząć; przerwać	Najpierw odpocznijmy chwilę.
斜	ukośny; nachylony	Ta droga jest trochę nachylona.
写作	pisanie	Pisanie wymaga długotrwałej praktyki.
心理	psychika; psychologiczny	Przed egzaminem musisz dostosować swój stan psychiczny.
心脏	serce	Zdrowie serca jest bardzo ważne.
欣赏	podziwiać; doceniać	Podziwialiśmy piękny krajobraz.
信号	sygnał	Sygnał telefonu komórkowego jest tutaj słaby.
信任	zaufanie; ufać	Między przyjaciółmi potrzebne jest zaufanie.
形成	uformować się; powstać	Dobre nawyki muszą kształtować się stopniowo.
形容	opisywać	Nie wiem, jak opisać to uczucie.
形势	sytuacja	Obecna sytuacja jest dość złożona.
形式	forma	Spotkanie może mieć formę online.
形象	wizerunek	Jego publiczny wizerunek jest bardzo dobry.
形状	kształt	Kształt tego pudełka jest bardzo szczególny.
行动	działanie	Musimy natychmiast podjąć działanie.
行人	pieszy	Przechodząc przez drogę, zwracaj uwagę na pieszych.
行为	zachowanie	Takie zachowanie jest niegrzeczne.
幸亏	na szczęście	Na szczęście mi przypomniałeś.
幸运	szczęśliwy; szczęście	Miał szczęście, że znalazł pracę.
性质	charakter; natura	Charakter tego problemu jest bardzo poważny.
兄弟	bracia	Relacja między tymi braćmi jest dobra.
胸	klatka piersiowa	Czuje lekki ucisk w klatce piersiowej.
休闲	wypoczynek; rekreacja	Weekend to dobry czas na wypoczynek.
修改	poprawiać; zmieniać	Proszę poprawić ten artykuł.
虚心	pokorny; otwarty na rady	Powinniśmy słuchać opinii z otwartością.
叙述	opowiadać; relacjonować	On jasno opowiedział, co się wydarzyło.
宣布	ogłosić	Szkoła ogłosiła nowe zasady.
宣传	promować; rozpowszechniać	Oni promują wiedzę o ochronie środowiska.
学历	wykształcenie	Ta praca wymaga wykształcenia licencjackiego.
学术	akademicki; naukowy	To spotkanie omawia kwestie akademickie.
学问	wiedza; erudycja	On ma bardzo dużą wiedzę.
血	krew	Jego ręka trochę krwawiła.
寻找	szukać	Szukamy nowej metody.
询问	pytać; dowiadywać się	On zapytał nauczyciela o godzinę egzaminu.
训练	trening; trenować	Sportowiec trenuje codziennie.
迅速	szybki	Wiadomość szybko się rozeszła.
押金	kaucja	Przy wynajmie mieszkania trzeba zapłacić kaucję.
牙齿	zęby	Proszę codziennie dobrze dbać o zęby.
严肃	poważny	Wyraz twarzy nauczyciela jest bardzo poważny.
延长	przedłużyć	Spotkanie przedłużono o pół godziny.
演讲	przemówienie; wykład	On przygotowuje jutrzejsze przemówienie.
宴会	bankiet	Oni uczestniczyli w bankiecie.
阳台	balkon	Na balkonie stoi kilka doniczek z kwiatami.
痒	swędzieć	Trochę swędzi mnie ręka.
样式	styl; fason	Ten styl jest bardzo popularny.
腰	talia; dolna część pleców	Po długim siedzeniu mogą boleć plecy w pasie.
摇	kołysać; potrząsać	Wiatr kołysał gałęziami tam i z powrotem.
咬	gryźć	Ten pies nie gryzie ludzi.
要不	albo; może	Może pójdziemy znowu jutro?
业务	działalność; interesy	Działalność firmy rośnie.
业余	w czasie wolnym; amatorski	On w wolnym czasie uczy się fotografii.
夜	noc	Ulica jest bardzo cicha w nocy.
依然	nadal; wciąż	On nadal mieszka w Pekinie.
一辈子	całe życie	Ona kochała muzykę przez całe życie.
一旦	gdy tylko; kiedy już	Gdy już podejmiesz decyzję, powinieneś wytrwać.
一律	wszystkie bez wyjątku	W czasie spotkania wszystkie telefony muszą być wyłączone.
一再	wielokrotnie	On wielokrotnie przypominał nam o bezpieczeństwie.
一致	zgodny	Opinie wszystkich są całkowicie zgodne.
疑问	wątpliwość; pytanie	Mam wątpliwość co do tej odpowiedzi.
移动	przesuwać; ruch	Proszę trochę przesunąć stół.
移民	emigrować; imigrant	Oni planują wyemigrować za granicę.
遗憾	żałować; szkoda	Żałuję, że nie mogę cię zobaczyć.
乙	strona B; drugi	W umowie strona B odpowiada za płatność.
以及	oraz; a także	Kupiłem książki oraz artykuły papiernicze.
以来	od czasu	Od ukończenia studiów pracuje w Pekinie.
义务	obowiązek	Ochrona środowiska jest obowiązkiem każdego.
亿	sto milionów	Ten kraj ma ponad miliard mieszkańców.
意外	nieoczekiwany; wypadek	To spóźnienie było całkowicie nieoczekiwane.
意义	znaczenie	To wydarzenie ma duże znaczenie.
议论	dyskutować; komentować	Wszyscy dyskutują o tej sprawie.
因而	dlatego; w rezultacie	On pilnie się uczy, dlatego ma dobre oceny.
因素	czynnik	Pogoda jest ważnym czynnikiem.
银	srebro; srebrny	Ona nosi srebrną bransoletkę.
印刷	drukować; druk	Ta książka jest wydrukowana bardzo wyraźnie.
英俊	przystojny	On jest bardzo przystojny.
英雄	bohater	Strażacy są prawdziwymi bohaterami.
营养	odżywianie; składniki odżywcze	Śniadanie powinno mieć wystarczająco dużo składników odżywczych.
营业	prowadzić działalność; być otwartym	Ten sklep zaczyna działalność o dziewiątej.
迎接	witać; przyjmować	Pojechaliśmy na lotnisko powitać gości.
影子	cień	Jego cień jest pod latarnią.
应付	radzić sobie	On potrafi poradzić sobie z tym problemem.
应用	stosować; zastosowanie	Tę metodę można zastosować w nauczaniu.
硬	twardy	To krzesło jest zbyt twarde.
硬件	sprzęt komputerowy	Ten komputer ma dobry sprzęt.
拥抱	przytulić	Dziecko podbiegło, żeby przytulić mamę.
拥挤	tłoczny	W godzinach porannego szczytu metro jest bardzo tłoczne.
勇气	odwaga	On ma odwagę przyznać się do błędu.
用功	pilnie się uczyć	Ona uczy się bardzo pilnie.
用途	zastosowanie	Ten materiał ma wiele zastosowań.
优惠	rabat; korzystny	W tym sklepie jest dziś rabat.
优美	piękny; elegancki	Środowisko tutaj jest bardzo piękne.
优势	przewaga	Jego przewagą jest bogate doświadczenie.
悠久	długi; dawno utrwalony	Chiny mają długą historię.
油炸	smażyć w głębokim oleju	Rzadko jem smażone potrawy.
游览	zwiedzać	Jutro będziemy zwiedzać Zakazane Miasto.
犹豫	wahać się	On zawahał się przez chwilę przed odpowiedzią.
有利	korzystny	Ten warunek jest dla nas korzystny.
幼儿园	przedszkole	Dziecko pójdzie do przedszkola w przyszłym roku.
娱乐	rozrywka	Oglądanie filmów to rodzaj rozrywki.
与其	zamiast; raczej niż	Zamiast narzekać, lepiej działać.
语气	ton wypowiedzi	Jego ton wypowiedzi jest bardzo łagodny.
玉米	kukurydza	Na kolację jest zupa kukurydziana.
预报	prognoza	Prognoza pogody mówi, że jutro będzie padać.
预订	zarezerwować	Zarezerwowałem już hotel.
预防	zapobiegać	Częste mycie rąk może zapobiegać przeziębieniom.
元旦	Nowy Rok	W Nowy Rok mamy jeden dzień wolny.
原料	surowiec	Głównym surowcem chleba jest mąka.
原则	zasada	Człowiek powinien mieć zasady.
员工	pracownik	Firma ma trzystu pracowników.
圆	okrągły	Księżyc jest duży i okrągły.
愿望	życzenie; pragnienie	Jego pragnieniem jest podróż dookoła świata.
乐器	instrument muzyczny	Ona umie grać na kilku instrumentach muzycznych.
晕	kręcić się w głowie	Na łodzi trochę kręci mi się w głowie.
运气	szczęście	Dzisiaj mam dobre szczęście.
运输	transportować; transport	Te towary wymagają transportu koleją.
运用	używać; stosować	Proszę elastycznie używać tych słów.
灾害	klęska; katastrofa	Powódź jest rodzajem klęski żywiołowej.
再三	wielokrotnie	Nauczyciel wielokrotnie przypominał nam o powtórce.
在乎	przejmować się; obchodzić	On bardzo przejmuje się opiniami przyjaciół.
在于	polegać na; tkwić w	Sukces polega na wytrwałości.
赞成	popierać	Zgadzam się z twoją propozycją.
赞美	chwalić	Wszyscy chwalili jej odwagę.
糟糕	fatalny; okropny	Dzisiejsza pogoda jest naprawdę okropna.
造成	spowodować	Ulewny deszcz spowodował korek.
则	wtedy; zasada	Jeśli ktoś ciężko pracuje, wtedy robi postępy.
责备	obwiniać; krytykować	Nauczyciel go nie obwinił.
摘	zrywać; zbierać	Ona zerwała kwiat w ogrodzie.
窄	wąski	Ta droga jest zbyt wąska.
粘贴	przykleić	Proszę przykleić tutaj zdjęcie.
展开	rozpocząć; rozwinąć	Dyskusja szybko się rozpoczęła.
展览	wystawa	W muzeum jest nowa wystawa.
占	zajmować	Ten stół zajmuje miejsce.
战争	wojna	Wojna przynosi ludziom cierpienie.
掌握	opanować	On już opanował podstawową gramatykę.
涨	rosnąć; podrożeć	Ostatnio czynsz znowu wzrósł.
长辈	starszy członek rodziny	W Nowy Rok należy pozdrowić starszych członków rodziny.
账户	konto	Proszę sprawdzić swoje konto bankowe.
招待	przyjmować; gościć	Gospodarz serdecznie przyjął gości.
着火	zapalić się	W kuchni nagle wybuchł pożar.
着凉	przeziębić się	Jest zimno, więc się nie przezięb.
召开	zwołać; odbyć	Szkoła jutro odbędzie spotkanie.
照常	jak zwykle	Sklep jutro będzie otwarty jak zwykle.
哲学	filozofia	On studiował filozofię na uniwersytecie.
珍惜	cenić; szanować	Powinniśmy cenić czas.
真实	prawdziwy	Ta historia jest prawdziwa.
针对	być skierowanym do	Ta propozycja jest skierowana do nowych studentów.
诊断	diagnoza; diagnozować	Lekarz szybko postawił diagnozę.
振动	wibracja	Telefon wibruje na stole.
阵	krótka fala; seria	Na zewnątrz był krótki deszcz.
争论	spierać się; debata	Oni długo spierali się o tę sprawę.
争取	starać się zdobyć; walczyć o	Powinniśmy starać się o więcej możliwości.
征求	zasięgać; prosić o	Nauczyciel poprosił wszystkich o opinie.
挣	uwolnić się; zarabiać	Ptak uwolnił się ze sznura.
睁	otworzyć oczy	Proszę otworzyć oczy trochę szerzej.
整个	cały	Całe miasto jest bardzo ciche.
整齐	schludny; uporządkowany	Książki są ułożone bardzo schludnie.
整体	całość; ogólny	Musimy rozważyć ogólny efekt.
政府	rząd	Rząd wydał nowe zawiadomienie.
政治	polityka	On bardzo interesuje się polityką.
正	poprawny; właśnie	Ta odpowiedź jest poprawna.
证件	dokument; zaświadczenie	Proszę okazać dokument tożsamości.
证据	dowód	Policja znalazła nowy dowód.
支	klasyfikator dla długich cienkich przedmiotów	Na stole leży długopis.
支票	czek	On zapłacił czekiem.
执照	licencja; pozwolenie	Do prowadzenia samochodu potrzebne jest prawo jazdy.
直	prosto; bezpośrednio	Idź prosto tą drogą.
指导	kierować; wskazywać	Nauczyciel pokierował nami przy pisaniu pracy.
指挥	dowodzić; kierować	On odpowiada za kierowanie tą operacją.
制定	opracować; ustanowić	Firma opracowała nowy plan.
制度	system; ustrój	Szkoła ma surowy system.
制造	produkować	Ta fabryka produkuje maszyny.
制作	robić; wykonywać	Ona robi tort urodzinowy.
志愿者	wolontariusz	Wielu wolontariuszy wzięło udział w wydarzeniu.
智慧	mądrość	Ta starsza osoba ma wielką mądrość.
治疗	leczyć	Lekarz leczy pacjenta.
秩序	porządek	Proszę utrzymywać porządek.
至今	do dziś	Do dziś ten problem nie został rozwiązany.
至于	co do; jeśli chodzi o	Co do kosztów, omówimy je jutro.
中介	pośrednik; agencja	On wynajął mieszkanie przez agencję.
中心	centrum	Szpital jest w centrum miasta.
中旬	środkowa dekada miesiąca	Spotkanie zaplanowano na połowę maja.
种类	rodzaj	Jest tu wiele rodzajów owoców.
重大	poważny; ważny	To jest ważna decyzja.
重量	waga	Jaka jest waga tego pudełka?
周到	troskliwy; staranny	Jego obsługa jest bardzo staranna.
猪	świnia	Na farmie jest wiele świń.
竹子	bambus	Pandy lubią jeść bambus.
逐步	krok po kroku	Plan będzie wdrażany krok po kroku.
逐渐	stopniowo	Pogoda stopniowo robiła się chłodniejsza.
主持	prowadzić; przewodniczyć	Ona prowadzi dzisiejsze spotkanie.
主动	z własnej inicjatywy; aktywny	On z własnej inicjatywy pomógł koledze z klasy.
主观	subiektywny	Ta ocena jest trochę subiektywna.
主人	gospodarz; właściciel	Gospodarz serdecznie nas powitał.
主任	kierownik; dyrektor	Kierownik jest w biurze.
主题	temat	Tematem dzisiejszej dyskusji jest ochrona środowiska.
主席	przewodniczący	Przewodniczący ogłosił rozpoczęcie spotkania.
主张	opowiadać się za; pogląd	On opowiada się za tym, żeby najpierw rozwiązać problem ruchu.
煮	gotować	Mama gotuje makaron.
注册	zarejestrować się	Nowi użytkownicy muszą najpierw się zarejestrować.
祝福	życzenia; błogosławieństwo	Przyjaciele przesłali życzenia.
抓	chwytać; łapać	Dziecko chwyciło mamę za rękę.
抓紧	dobrze wykorzystać; pośpieszyć się	Musimy dobrze wykorzystać czas.
专家	ekspert	Ekspert dał sugestie.
专心	skupić się; uważny	Na lekcji powinieneś uważnie słuchać.
转变	zmienić się; przemiana	Jego nastawienie się zmieniło.
转告	przekazać wiadomość	Proszę przekazać mu, że jutro jest spotkanie.
装	wkładać; udawać	Proszę włożyć książki do torby.
装饰	dekorować	Oni udekorowali pokój kwiatami.
装修	remontować; urządzać	Nowy dom jest w remoncie.
撞	zderzyć się; uderzyć	Dwa samochody zderzyły się na skrzyżowaniu.
状况	sytuacja; stan	Obecna sytuacja jest dość stabilna.
状态	stan	On jest dziś w dobrej formie.
追	gonić	Dziecko goni szczeniaka od tyłu.
追求	dążyć do; zabiegać	On zawsze dążył do swojego marzenia.
咨询	konsultować się; zasięgać porady	Możesz skonsultować się z lekarzem specjalistą.
姿势	postawa; pozycja	Proszę utrzymywać prawidłową postawę.
资格	kwalifikacje	On ma kwalifikacje, żeby wziąć udział w konkursie.
资金	fundusze	Projekt potrzebuje więcej funduszy.
资料	materiały; dane	Proszę wysłać mi materiały.
资源	zasoby	Woda jest ważnym zasobem naturalnym.
紫	fioletowy	Ona lubi kolor fioletowy.
字母	litera	Angielski ma dwadzieścia sześć liter.
字幕	napisy	Ten film ma chińskie napisy.
自从	od czasu	Od ukończenia studiów rzadko wraca.
自动	automatyczny	Te drzwi otwierają się automatycznie.
自豪	duma; być dumnym	Czuję dumę ze swoich postępów.
自觉	świadomy; z własnej inicjatywy	On z własnej inicjatywy odrobił pracę domową.
自私	samolubny	Człowiek nie powinien być zbyt samolubny.
自由	wolność	Każdy ceni wolność.
自愿	dobrowolny; z własnej woli	Oni dobrowolnie wzięli udział w aktywności.
综合	kompleksowo; syntetyzować	Musimy kompleksowo rozważyć różne czynniki.
总裁	prezes; dyrektor generalny	Dzisiaj prezes wygłosił przemówienie.
总共	łącznie; razem	Ta podróż kosztowała łącznie trzy tysiące yuanów.
总理	premier	Premier uczestniczył w spotkaniu.
总算	wreszcie; nareszcie	Problem wreszcie został rozwiązany.
总统	prezydent	Prezydent wygłosił przemówienie telewizyjne.
总之	krótko mówiąc	Krótko mówiąc, musimy skończyć na czas.
组	grupa; dzielić na grupy	Nauczyciel podzielił nas na trzy grupy.
组成	składać się; tworzyć	Woda składa się z wodoru i tlenu.
组合	połączenie; kombinacja	To połączenie kolorów wygląda dobrze.
组织	organizować; organizacja	Szkoła zorganizowała wycieczkę.
阻止	powstrzymać; zapobiec	Policja powstrzymała niebezpieczne zachowanie.
最初	początkowo; na początku	Na początku nie bardzo rozumiałem.
醉	pijany	On wypił za dużo i jest trochę pijany.
尊敬	szanować	Wszyscy uczniowie szanują nauczyciela.
遵守	przestrzegać	Musimy przestrzegać przepisów ruchu drogowego.
作品	dzieło	Ten obraz jest jego dziełem.
作为	jako; postępowanie	Jako nauczyciel jest bardzo cierpliwy.
作文	wypracowanie	Nauczyciel poprosił nas o napisanie wypracowania.
