simplified	KM	example_KM
烂	រលួយ	ផ្លែប៉ោមនេះរលួយហើយ។
朗读	អានឮៗ	សូមអានអត្ថបទឮៗ។
劳动	ការងារ	ការងារធ្វើឲ្យមនុស្សមានអារម្មណ៍ពេញចិត្ត។
劳驾	សូមអភ័យទោស	សូមអភ័យទោស ស្ថានីយរថភ្លើងក្រោមដីនៅឯណា?
姥姥	ជីដូនខាងម្តាយ	ជីដូនខាងម្តាយរបស់ខ្ញុំចម្អិនម្ហូបបានល្អណាស់។
老百姓	ប្រជាជនសាមញ្ញ	ប្រជាជនសាមញ្ញយកចិត្តទុកដាក់ចំពោះថ្លៃរស់នៅ។
老板	ថៅកែ	ថ្ងៃនេះថៅកែមិននៅការិយាល័យទេ។
老婆	ប្រពន្ធ	គាត់បានទិញផ្កាឲ្យប្រពន្ធរបស់គាត់។
老实	ស្មោះត្រង់	គាត់ជាមនុស្សស្មោះត្រង់។
老鼠	កណ្តុរ	មានកណ្តុរមួយនៅក្នុងផ្ទះបាយ។
乐观	សុទិដ្ឋិនិយម	នាងមានសុទិដ្ឋិនិយមចំពោះអនាគត។
雷	ផ្គរ	ផ្គរយប់មិញឮខ្លាំងណាស់។
类型	ប្រភេទ	ខ្សែភាពយន្តប្រភេទនេះជាប្រភេទអ្វី?
冷淡	ត្រជាក់; មិនស្និទ្ធស្នាល	អាកប្បកិរិយារបស់គាត់ត្រជាក់បន្តិច។
厘米	សង់ទីម៉ែត្រ	ប៊ិចនេះវែងដប់ប្រាំសង់ទីម៉ែត្រ។
梨	ផ្លែសារី	ខ្ញុំបានទិញផ្លែសារីជាច្រើន។
离婚	លែងលះ	ពួកគេបានលែងលះកាលពីឆ្នាំមុន។
理论	ទ្រឹស្តី	ទ្រឹស្តីនេះស្មុគស្មាញណាស់។
理由	មូលហេតុ	អ្នកមានមូលហេតុអ្វីសម្រាប់ការមកយឺត?
利润	ប្រាក់ចំណេញ	ប្រាក់ចំណេញរបស់ក្រុមហ៊ុនកើនឡើងនៅឆ្នាំនេះ។
利息	ការប្រាក់	ការប្រាក់ធនាគារមិនខ្ពស់ទេ។
利益	ផលប្រយោជន៍	យើងត្រូវការពារផលប្រយោជន៍របស់មនុស្សគ្រប់គ្នា។
利用	ប្រើប្រាស់	គាត់ប្រើចុងសប្តាហ៍ដើម្បីរៀនភាសាចិន។
力量	កម្លាំង	សាមគ្គីភាពគឺជាកម្លាំង។
立即	ភ្លាមៗ	សូមចេញពីទីនេះភ្លាមៗ។
立刻	ភ្លាមៗ	បន្ទាប់ពីឮព័ត៌មាន គាត់បានចេញដំណើរភ្លាមៗ។
联合	រួមគ្នា	ក្រុមហ៊ុនទាំងពីរបានអភិវឌ្ឍផលិតផលមួយរួមគ្នា។
连忙	យ៉ាងប្រញាប់	ឮទូរស័ព្ទរោទ៍ គាត់បានលើកវាយ៉ាងប្រញាប់។
连续	ជាប់ៗគ្នា	គាត់បានធ្វើការជាប់ៗគ្នា​ដប់ម៉ោង។
恋爱	ស្នេហា	ពួកគេកំពុងមានទំនាក់ទំនងស្នេហា។
粮食	គ្រាប់ធញ្ញជាតិ	ផលិតផលគ្រាប់ធញ្ញជាតិឆ្នាំនេះកើនឡើង។
良好	ល្អ	គាត់មានទម្លាប់រៀនល្អ។
亮	ភ្លឺ	ភ្លើងនៅក្នុងបន្ទប់ភ្លឺណាស់។
了不起	អស្ចារ្យ	នាងទទួលបានលទ្ធផលអស្ចារ្យ។
列车	រថភ្លើង	រថភ្លើងជិតចេញដំណើរហើយ។
临时	បណ្តោះអាសន្ន	នេះជាសេចក្តីសម្រេចបណ្តោះអាសន្ន។
灵活	បត់បែនបាន	វិធីសាស្ត្ររៀនគួរតែបត់បែនបាន។
铃	កណ្តឹង	កណ្តឹងចូលថ្នាក់បានរោទ៍។
零件	គ្រឿងបន្លាស់	ម៉ាស៊ីនខ្វះគ្រឿងបន្លាស់មួយ។
零食	អាហារសម្រន់	កុមារចូលចិត្តញ៉ាំអាហារសម្រន់។
领导	អ្នកដឹកនាំ	អ្នកដឹកនាំកំពុងប្រជុំ។
领域	វិស័យ	នាងធ្វើការក្នុងវិស័យអប់រំ។
流传	ត្រូវបានបន្តរៀបរាប់	រឿងនេះត្រូវបានបន្តរៀបរាប់មកយូរហើយ។
流泪	ហូរទឹកភ្នែក	បន្ទាប់ពីឮព័ត៌មាននេះ នាងបានហូរទឹកភ្នែក។
浏览	មើលត្រួសៗ	ខ្ញុំនឹងមើលគេហទំព័រត្រួសៗជាមុន។
龙	នាគ	ក្នុងវប្បធម៌ចិនមាននាគ។
漏	លេចធ្លាយ	ដំបូលកំពុងលេចទឹកភ្លៀង។
录取	ទទួលចូលរៀន	គាត់ត្រូវបានសាកលវិទ្យាល័យទទួលចូលរៀន។
录音	ថតសំឡេង	សូមចាប់ផ្តើមថតសំឡេង។
陆地	ដីគោក	អណ្តើកសមុទ្រឡើងមកលើដីគោក។
陆续	ជាបន្តបន្ទាប់	ភ្ញៀវបានមកដល់ជាបន្តបន្ទាប់។
轮流	ប្តូរវេន	យើងប្តូរវេនសម្អាតថ្នាក់រៀន។
论文	និក្ខេបបទ	នាងកំពុងសរសេរនិក្ខេបបទបញ្ចប់ការសិក្សា។
逻辑	តក្កវិជ្ជា	តក្កវិជ្ជារបស់គាត់ច្បាស់ណាស់។
落后	ថយក្រោយ	យើងមិនអាចថយក្រោយពីអ្នកដទៃបានទេ។
骂	ស្តីបន្ទោស	សូមកុំស្តីបន្ទោសកុមារ។
麦克风	មីក្រូហ្វូន	សូមហុចមីក្រូហ្វូនឲ្យគាត់។
馒头	នំប៉័ងចំហុយ	អាហារពេលព្រឹកខ្ញុំញ៉ាំនំប៉័ងចំហុយមួយ។
满足	បំពេញ	ចម្លើយនេះមិនបំពេញតាមតម្រូវការទេ។
毛病	បញ្ហាតូច	កុំព្យូទ័រនេះមានបញ្ហាតូចមួយ។
矛盾	ទំនាស់	រវាងពួកគេមានទំនាស់ខ្លះ។
冒险	ប្រថុយប្រថាន	ទៅទីនោះតែម្នាក់ឯងប្រថុយប្រថានពេក។
贸易	ពាណិជ្ជកម្ម	ពាណិជ្ជកម្មអន្តរជាតិកំពុងអភិវឌ្ឍយ៉ាងលឿន។
媒体	ប្រព័ន្ធផ្សព្វផ្សាយ	ប្រព័ន្ធផ្សព្វផ្សាយបានរាយការណ៍អំពីរឿងនេះ។
煤炭	ធ្យូងថ្ម	តំបន់នេះផលិតធ្យូងថ្ម។
眉毛	ចិញ្ចើម	ចិញ្ចើមរបស់នាងក្រាស់។
美术	វិចិត្រសិល្បៈ	ប្អូនស្រីរបស់ខ្ញុំចូលចិត្តវិចិត្រសិល្បៈ។
魅力	មន្តស្នេហ៍	ទីក្រុងនេះមានមន្តស្នេហ៍ច្រើន។
梦想	ក្តីសុបិន	ក្តីសុបិនរបស់គាត់គឺក្លាយជាវេជ្ជបណ្ឌិត។
密切	ជិតស្និទ្ធ	យើងរក្សាទំនាក់ទំនងជិតស្និទ្ធ។
秘密	អាថ៌កំបាំង	នេះជាអាថ៌កំបាំងរបស់យើង។
秘书	លេខា	លេខាបានរៀបចំពេលប្រជុំ។
蜜蜂	ឃ្មុំ	មានឃ្មុំជាច្រើននៅក្នុងចំណោមផ្កា។
面对	ប្រឈមមុខ	យើងគួរប្រឈមមុខនឹងការលំបាកដោយក្លាហាន។
面积	ផ្ទៃក្រឡា	ផ្ទៃក្រឡារបស់បន្ទប់នេះមិនធំទេ។
面临	ប្រឈមនឹង	ក្រុមហ៊ុនប្រឈមនឹងការប្រកួតប្រជែងថ្មី។
描写	ពិពណ៌នា	អ្នកនិពន្ធបានពិពណ៌នាជីវិតជនបទ។
苗条	ស្លីម	នាងមានរាងស្លីម។
敏感	រសើប	ប្រធានបទនេះរសើបគួរសម។
名牌	ម៉ាកល្បី	គាត់បានទិញនាឡិកាម៉ាកល្បីមួយ។
名片	នាមប័ណ្ណ	សូមផ្តល់នាមប័ណ្ណមួយឲ្យខ្ញុំ។
名胜古迹	កន្លែងទេសចរណ៍និងបុរាណដ្ឋាន	ប៉េកាំងមានកន្លែងទេសចរណ៍និងបុរាណដ្ឋានជាច្រើន។
明确	ច្បាស់លាស់	គ្រូបានពន្យល់តម្រូវការយ៉ាងច្បាស់លាស់។
明显	ច្បាស់	ការរីកចម្រើនរបស់គាត់ច្បាស់ណាស់។
明星	តារា	នាងចង់ក្លាយជាតារាភាពយន្ត។
命令	បញ្ជា	ទាហានត្រូវតែគោរពបញ្ជា។
命运	វាសនា	គាត់ជឿថាវាសនាអាចផ្លាស់ប្តូរបាន។
摸	ប៉ះ	សូមកុំប៉ះគំនូរនេះ។
摩托车	ម៉ូតូ	គាត់ជិះម៉ូតូទៅធ្វើការ។
模仿	ត្រាប់តាម	កុមារចូលចិត្តត្រាប់តាមពាក្យសម្តីរបស់មនុស្សធំ។
模糊	មិនច្បាស់	រូបថតនេះមិនច្បាស់បន្តិច។
模特	តារាម៉ូដែល	នាងជាតារាម៉ូដែលសម្លៀកបំពាក់។
陌生	ចម្លែក	ទីក្រុងនេះចម្លែកណាស់សម្រាប់ខ្ញុំ។
某	ណាមួយ	គ្រូម្នាក់បានទូរស័ព្ទមកខ្ញុំ។
木头	ឈើ	តុនេះធ្វើពីឈើ។
目标	គោលដៅ	គោលដៅរបស់ខ្ញុំគឺជាប់ប្រឡង។
目录	មាតិកា	សូមមើលមាតិកានៅដើមសៀវភៅជាមុន។
目前	បច្ចុប្បន្ន	បច្ចុប្បន្នស្ថានភាពមានស្ថេរភាពគួរសម។
哪怕	ទោះបីជា	ទោះបីជាគាត់រវល់ ក៏គាត់នៅតែបន្តរៀន។
难怪	មិនចម្លែកទេ	មិនចម្លែកទេដែលថ្ងៃនេះអ្នកសប្បាយចិត្តបែបនេះ។
难免	ជៀសមិនផុត	ធ្វើលើកដំបូង ជៀសមិនផុតពីកំហុស។
脑袋	ក្បាល	ក្បាលរបស់គាត់ឈឺបន្តិច។
内部	ខាងក្នុង	នេះជាឯកសារខាងក្នុងរបស់ក្រុមហ៊ុន។
内科	ផ្នែកជំងឺក្នុង	ថ្ងៃនេះគាត់នឹងទៅពិនិត្យផ្នែកជំងឺក្នុង។
嫩	ទន់	សាច់មួយដុំនេះទន់ណាស់។
能干	មានសមត្ថភាព	នាងជាមនុស្សមានសមត្ថភាពណាស់។
能源	ថាមពល	ថាមពលព្រះអាទិត្យជាថាមពលស្អាតមួយប្រភេទ។
嗯	អឺ	អឺ ខ្ញុំយល់ហើយ។
年代	ទសវត្សរ៍	រូបថតនេះថតនៅទសវត្សរ៍ទីមួយពាន់ប្រាំបួនរយប៉ែតសិប។
年纪	អាយុ	គាត់មិនចាស់ណាស់ទេ ប៉ុន្តែមានបទពិសោធន៍ច្រើន។
念	អាន	សូមអានអត្ថបទឮៗម្តង។
宁可	សុខចិត្ត	ខ្ញុំសុខចិត្តដើរជាជាងរង់ចាំឡានក្រុង។
牛仔裤	ខោខូវប៊យ	គាត់កំពុងពាក់ខោខូវប៊យមួយ។
农村	ជនបទ	នាងធំឡើងនៅជនបទ។
农民	កសិករ	កសិករកំពុងធ្វើការនៅវាលស្រែ។
农业	កសិកម្ម	កសិកម្មសំខាន់ណាស់សម្រាប់តំបន់នេះ។
浓	ខាប់; ខ្លាំង	កាហ្វេកែវនេះខ្លាំងពេក។
女士	ស្ត្រី	ស្ត្រីនោះកំពុងរង់ចាំឡានក្រុង។
欧洲	អឺរ៉ុប	ខែក្រោយគាត់នឹងទៅធ្វើដំណើរនៅអឺរ៉ុប។
偶然	ដោយចៃដន្យ	ខ្ញុំបានជួបមិត្តរួមថ្នាក់ចាស់ម្នាក់ដោយចៃដន្យ។
拍	ថត	សូមជួយថតរូបឲ្យខ្ញុំ។
派	បញ្ជូន	ក្រុមហ៊ុនបានបញ្ជូនគាត់ទៅសៀងហៃដើម្បីធ្វើដំណើរការងារ។
盼望	ទន្ទឹងរង់ចាំ	ខ្ញុំទន្ទឹងរង់ចាំជួបអ្នកឆាប់ៗ។
培训	បណ្តុះបណ្តាល	បុគ្គលិកថ្មីត្រូវចូលរួមការបណ្តុះបណ្តាល។
培养	បណ្តុះបណ្តាល; អភិវឌ្ឍ	សាលាឲ្យតម្លៃលើការបណ្តុះបណ្តាលសមត្ថភាពសិស្ស។
赔偿	សងសំណង	ក្រុមហ៊ុនយល់ព្រមសងសំណងចំពោះការខាតបង់។
佩服	កោតសរសើរ	ខ្ញុំពិតជាកោតសរសើរភាពក្លាហានរបស់គាត់។
配合	សហការ	សូមសហការជាមួយការរៀបចំរបស់គ្រូ។
盆	ផើង	មានផើងផ្កាមួយនៅលើយ៉រ។
碰	ប៉ះ	ប្រយ័ត្ន កុំប៉ះទឹកក្តៅ។
批	លើក; បាច់	ទំនិញលើកនេះបានមកដល់ថ្ងៃនេះ។
批准	អនុម័ត	អ្នកគ្រប់គ្រងបានអនុម័តផែនការនេះ។
披	ពាក់គ្រប	នាងពាក់អាវធំគ្របលើស្មា។
疲劳	អស់កម្លាំង	ធ្វើការយូរអាចធ្វើឲ្យមនុស្សមានអារម្មណ៍អស់កម្លាំង។
匹	ក្បាល	មានសេះមួយក្បាលនៅលើវាលស្មៅ។
片	ចំណិត	សូមឲ្យនំប៉័ងមួយចំណិតមកខ្ញុំ។
片面	មួយជ្រុង	ទស្សនៈនេះមួយជ្រុងពេក។
飘	អណ្ដែត	ផ្កាព្រិលកំពុងអណ្ដែតក្នុងអាកាស។
拼音	ភីនអ៊ីន	សូមសរសេរភីនអ៊ីននៅក្បែរអក្សរចិន។
频道	ប៉ុស្តិ៍	សូមប្តូរទៅប៉ុស្តិ៍ព័ត៌មាន។
凭	ដោយផ្អែកលើ	អ្នកអាចចូលបានដោយផ្អែកលើសំបុត្រ។
平均	ជាមធ្យម	ជាមធ្យម មនុស្សម្នាក់ចំណាយដប់យន់។
平	រាបស្មើ	ផ្លូវនេះរាបស្មើណាស់។
平安	សុវត្ថិភាព	សូមឲ្យអ្នកធ្វើដំណើរដោយសុវត្ថិភាព។
平常	ធម្មតា	ធម្មតាគាត់កម្រមកយឺតណាស់។
平等	ស្មើភាព	មនុស្សគ្រប់គ្នាគួរត្រូវបានប្រព្រឹត្តដោយស្មើភាព។
平方	ម៉ែត្រការ៉េ	បន្ទប់នេះមានម្ភៃម៉ែត្រការ៉េ។
平衡	តុល្យភាព	ការងារ និងជីវិតត្រូវការតុល្យភាព។
平静	ស្ងប់ស្ងាត់	ផ្ទៃបឹងស្ងប់ស្ងាត់ណាស់។
评价	វាយតម្លៃ	គ្រូបានវាយតម្លៃខ្ពស់ណាស់។
破产	ក្ស័យធន	ក្រុមហ៊ុននោះបានក្ស័យធនកាលពីឆ្នាំមុន។
破坏	បំផ្លាញ	សូមកុំបំផ្លាញទ្រព្យសម្បត្តិសាធារណៈ។
迫切	បន្ទាន់	យើងត្រូវការគ្រូពេទ្យបន្ថែមយ៉ាងបន្ទាន់។
期待	ទន្ទឹងរង់ចាំ	ខ្ញុំទន្ទឹងរង់ចាំដំណើរនេះ។
期间	អំឡុងពេល	សូមបិទទូរស័ព្ទអំឡុងពេលប្រជុំ។
其余	ដែលនៅសល់	បញ្ហាដែលនៅសល់នឹងពិភាក្សាថ្ងៃស្អែក។
奇迹	អព្ភូតហេតុ	គ្រូពេទ្យបាននិយាយថានេះជាអព្ភូតហេតុ។
企业	សហគ្រាស	សហគ្រាសនេះកំពុងអភិវឌ្ឍយ៉ាងលឿន។
启发	បំផុសគំនិត	សៀវភៅនេះបានបំផុសគំនិតខ្ញុំយ៉ាងច្រើន។
气氛	បរិយាកាស	បរិយាកាសក្នុងថ្នាក់រៀនធូរស្រាលណាស់។
汽油	សាំង	ឡានត្រូវការសាំង។
签	ចុះហត្ថលេខា	សូមចុះហត្ថលេខារបស់អ្នកនៅទីនេះ។
谦虚	រាបសារ	គាត់ពូកែ ហើយក៏រាបសារណាស់។
前途	អនាគត	ជំនាញនេះមានអនាគតល្អ។
浅	រាក់	ទន្លេនេះរាក់ណាស់។
欠	ជំពាក់	គាត់នៅជំពាក់ខ្ញុំម្ភៃយន់។
枪	កាំភ្លើង	មន្ត្រីប៉ូលិសកំពុងកាន់កាំភ្លើង។
墙	ជញ្ជាំង	មានគំនូរមួយព្យួរនៅលើជញ្ជាំង។
强调	សង្កត់ធ្ងន់	គ្រូបានសង្កត់ធ្ងន់លើបញ្ហាសុវត្ថិភាព។
强烈	ខ្លាំង	គាត់មានអារម្មណ៍ទទួលខុសត្រូវខ្លាំង។
抢	ដណ្តើម	កុំដណ្តើមកៅអីជាមួយអ្នកដទៃ។
悄悄	ស្ងាត់ៗ	នាងបានដើរចូលបន្ទប់ស្ងាត់ៗ។
瞧	មើល	មើល៍ ខាងក្រៅកំពុងធ្លាក់ព្រិល។
巧妙	ឆ្លាតវៃ	វិធីសាស្ត្រនេះឆ្លាតវៃណាស់។
切	កាត់	សូមកាត់ផ្លែឈើជាបំណែកតូចៗ។
亲爱	ជាទីស្រឡាញ់	មិត្តជាទីស្រឡាញ់ អរគុណអ្នក។
亲切	រួសរាយ	គ្រូនិយាយយ៉ាងរួសរាយ។
亲自	ដោយផ្ទាល់	អ្នកគ្រប់គ្រងបានទទួលភ្ញៀវដោយផ្ទាល់។
勤奋	ឧស្សាហ៍	មនុស្សឧស្សាហ៍ងាយនឹងជោគជ័យជាង។
清淡	ស្រាល	ខ្ញុំចូលចិត្តញ៉ាំម្ហូបរសជាតិស្រាល។
轻视	មើលស្រាល	កុំមើលស្រាលបញ្ហាតូចនេះ។
轻易	ដោយងាយ	គាត់នឹងមិនបោះបង់ដោយងាយទេ។
青	ខៀវបៃតង	សម្លៀកបំពាក់មួយនេះពណ៌ខៀវបៃតង។
青春	វ័យក្មេង	វ័យក្មេងមានតម្លៃណាស់។
青少年	យុវវ័យ	យុវវ័យត្រូវការដំណេកគ្រប់គ្រាន់។
情景	ទិដ្ឋភាព	ទិដ្ឋភាពក្នុងភាពយន្តនេះរំភើបចិត្តណាស់។
情绪	អារម្មណ៍	អារម្មណ៍របស់គាត់មិនសូវមានស្ថេរភាពទេ។
请求	សំណើ	គាត់បានដាក់សំណើមួយ។
庆祝	អបអរ	យើងបានអបអរខួបកំណើតរបស់គាត់។
球迷	អ្នកគាំទ្របាល់	អ្នកគាំទ្រជាច្រើនបានមកមើលការប្រកួត។
趋势	និន្នាការ	និន្នាការនេះកាន់តែច្បាស់ឡើង។
取消	លុបចោល	ព្រឹត្តិការណ៍ត្រូវបានលុបចោលដោយសារភ្លៀង។
娶	រៀបការជាមួយ	គាត់មានគម្រោងរៀបការជាមួយនាងនៅឆ្នាំក្រោយ។
去世	ទទួលមរណភាព	ជីតារបស់គាត់បានទទួលមរណភាពកាលពីឆ្នាំមុន។
圈	គូសរង្វង់	សូមគូសរង្វង់ចម្លើយត្រឹមត្រូវ។
全面	គ្រប់ជ្រុងជ្រោយ	យើងត្រូវយល់ពីស្ថានភាពឲ្យបានគ្រប់ជ្រុងជ្រោយ។
权利	សិទ្ធិ	មនុស្សគ្រប់គ្នាមានសិទ្ធិទទួលការអប់រំ។
权力	អំណាច	អំណាចគួរត្រូវបានត្រួតពិនិត្យ។
劝	ណែនាំ	មិត្តខ្ញុំបានណែនាំឲ្យខ្ញុំសម្រាកឲ្យបានមុន។
缺乏	ខ្វះខាត	តំបន់នេះខ្វះខាតទឹកស្អាត។
确定	កំណត់	ខ្ញុំនៅមិនអាចកំណត់ពេលបានទេ។
确认	បញ្ជាក់	សូមបញ្ជាក់អាសយដ្ឋានរបស់អ្នក។
群	ក្រុម	កុមារមួយក្រុមកំពុងលេងនៅលើទីលាន។
燃烧	ឆេះ	ឈើកំពុងឆេះ។
绕	ដើរជុំវិញ	យើងបានដើរជុំវិញបឹងមួយជុំ។
热爱	ស្រឡាញ់ខ្លាំង	គាត់ស្រឡាញ់ការងាររបស់គាត់ខ្លាំង។
热烈	យ៉ាងកក់ក្តៅ	មនុស្សគ្រប់គ្នាបានស្វាគមន៍ភ្ញៀវយ៉ាងកក់ក្តៅ។
热心	មានចិត្តក្តៅគគុក	អ្នកជិតខាងទាំងអស់មានចិត្តក្តៅគគុក។
人才	បុគ្គលមានទេពកោសល្យ	ក្រុមហ៊ុនត្រូវការបុគ្គលមានទេពកោសល្យបន្ថែម។
人口	ប្រជាជន	ទីក្រុងនេះមានប្រជាជនច្រើន។
人类	មនុស្សជាតិ	មនុស្សជាតិត្រូវការពារផែនដី។
人民币	ប្រាក់យន់ចិន	ខ្ញុំបានប្តូរប្រាក់យន់ចិនខ្លះ។
人生	ជីវិតមនុស្ស	ជីវិតមនុស្សមានជម្រើសជាច្រើន។
人事	ធនធានមនុស្ស	នាងធ្វើការនៅផ្នែកធនធានមនុស្ស។
人物	តួអង្គ	តួអង្គក្នុងប្រលោមលោកមានអារម្មណ៍ពិតណាស់។
人员	បុគ្គលិក	បុគ្គលិកទាំងអស់បានមកដល់ហើយ។
忍不住	ទប់មិនបាន	បន្ទាប់ពីឮរឿងកំប្លែង គាត់ទប់សំណើចមិនបាន។
日常	ប្រចាំថ្ងៃ	នេះជាការងារប្រចាំថ្ងៃរបស់ខ្ញុំ។
日程	កាលវិភាគ	កាលវិភាគថ្ងៃនេះពេញណាស់។
日历	ប្រតិទិន	មានប្រតិទិនមួយព្យួរនៅលើជញ្ជាំង។
日期	កាលបរិច្ឆេទ	សូមសរសេរកាលបរិច្ឆេទឲ្យច្បាស់។
日用品	របស់ប្រើប្រាស់ប្រចាំថ្ងៃ	ផ្សារទំនើបលក់របស់ប្រើប្រាស់ប្រចាំថ្ងៃជាច្រើន។
日子	ថ្ងៃ	ប៉ុន្មានថ្ងៃនេះគាត់រវល់ណាស់។
如何	យ៉ាងដូចម្តេច	យើងគួរដោះស្រាយបញ្ហានេះយ៉ាងដូចម្តេច?
如今	សព្វថ្ងៃ	សព្វថ្ងៃការធ្វើដំណើរងាយស្រួលជាងមុនច្រើន។
软	ទន់	គ្រែនេះទន់ណាស់។
软件	កម្មវិធីកុំព្យូទ័រ	កម្មវិធីកុំព្យូទ័រនេះងាយប្រើ។
弱	ខ្សោយ	រាងកាយរបស់គាត់ខ្សោយគួរសម។
洒	កំពប់	គាត់បានកំពប់ទឹកដោយចៃដន្យ។
嗓子	បំពង់ក	បំពង់ករបស់ខ្ញុំឈឺបន្តិច។
色彩	ពណ៌សម្បូរ	គំនូរនេះមានពណ៌សម្បូរណាស់។
杀	សម្លាប់	ក្នុងភាពយន្តនេះគ្មានឈុតសម្លាប់មនុស្សទេ។
沙漠	វាលខ្សាច់	ទឹកនៅក្នុងវាលខ្សាច់មានតម្លៃណាស់។
沙滩	ឆ្នេរខ្សាច់	កុមារកំពុងលេងនៅលើឆ្នេរខ្សាច់។
傻	ល្ងង់	កុំធ្វើរឿងល្ងង់។
晒	ហាលថ្ងៃ	សម្លៀកបំពាក់កំពុងហាលថ្ងៃនៅលើយ៉រ។
删除	លុប	សូមលុបអ៊ីមែលនេះ។
闪电	ផ្លេកបន្ទោរ	មានផ្លេកបន្ទោរលេចឡើងនៅពេលយប់។
善良	ចិត្តល្អ	នាងជាមនុស្សចិត្តល្អ។
善于	ពូកែ	គាត់ពូកែដោះស្រាយបញ្ហា។
扇子	កង្ហារ	រដូវក្តៅខ្ញុំប្រើកង្ហារញឹកញាប់។
伤害	ធ្វើឲ្យឈឺចាប់	កុំធ្វើឲ្យអារម្មណ៍អ្នកដទៃឈឺចាប់។
商品	ទំនិញ	ហាងនេះមានទំនិញច្រើន។
商务	អាជីវកម្ម	គាត់នឹងចូលរួមកិច្ចប្រជុំអាជីវកម្មថ្ងៃស្អែក។
商业	ពាណិជ្ជកម្ម	ពាណិជ្ជកម្មនៅតំបន់នេះអភិវឌ្ឍល្អ។
上当	ចាញ់បោក	គាត់ស្ទើរតែចាញ់បោកហើយ។
蛇	ពស់	មានពស់មួយនៅក្នុងស្មៅ។
舍不得	មិនចង់ចាកចេញ	ខ្ញុំមិនចង់ចាកចេញពីកន្លែងនេះទេ។
射击	បាញ់ប្រហារ	គាត់កំពុងហាត់បាញ់ប្រហារ។
摄影	ថតរូប	នាងចាប់អារម្មណ៍លើការថតរូបណាស់។
设备	ឧបករណ៍	ឧបករណ៍ក្នុងមន្ទីរពិសោធន៍ទំនើបណាស់។
设计	រចនា	ការរចនានេះមានគំនិតច្នៃប្រឌិតណាស់។
设施	សម្ភារៈបរិក្ខារ	សម្ភារៈបរិក្ខារកីឡារបស់សាលាល្អ។
伸	លាត	សូមលាតដៃរបស់អ្នកចេញ។
深刻	ជ្រាលជ្រៅ	បទពិសោធន៍នេះបានទុកចំណាប់អារម្មណ៍ជ្រាលជ្រៅចំពោះខ្ញុំ។
身材	រូបរាង	នាងមានរូបរាងមានសុខភាពល្អ។
身份	អត្តសញ្ញាណ	សូមបង្ហាញភស្តុតាងអត្តសញ្ញាណ។
神话	រឿងព្រេង	កុមារចូលចិត្តស្តាប់រឿងព្រេង។
神秘	អាថ៌កំបាំង	ទីក្រុងបុរាណនេះអាថ៌កំបាំងណាស់។
升	ឡើង	តម្លៃប្រេងក្នុងមួយលីត្រឡើងបន្តិច។
声调	សំនៀង	ភាសាចិនមានសំនៀងមូលដ្ឋានបួន។
生产	ផលិត	រោងចក្រនេះផលិតទូរស័ព្ទដៃ។
生动	រស់រវើក	គ្រូពន្យល់យ៉ាងរស់រវើក។
生长	លូតលាស់	រុក្ខជាតិប្រភេទនេះលូតលាស់លឿន។
绳子	ខ្សែ	សូមចងប្រអប់ដោយខ្សែ។
省略	លុបចោល	នៅទីនេះអាចលុបអក្សរមួយចោលបាន។
胜利	ជ័យជម្នះ	ទីបំផុតពួកគេទទួលបានជ័យជម្នះ។
失眠	គេងមិនលក់	ថ្មីៗនេះគាត់គេងមិនលក់ញឹកញាប់។
失去	បាត់បង់	កុំបាត់បង់ទំនុកចិត្ត។
失业	បាត់បង់ការងារ	បន្ទាប់ពីបាត់បង់ការងារ គាត់ចាប់ផ្តើមរៀនជំនាញថ្មី។
湿润	សើម	ខ្យល់បន្ទាប់ពីភ្លៀងសើមណាស់។
狮子	សត្វតោ	នៅសួនសត្វមានសត្វតោពីរក្បាល។
诗	កំណាព្យ	គាត់បានសរសេរកំណាព្យមួយ។
实话	ការពិត	សូមនិយាយការពិត។
实践	អនុវត្ត	ទ្រឹស្តីត្រូវការត្រូវបានសាកល្បងតាមការអនុវត្ត។
实习	ហាត់ការ	នាងនឹងទៅហាត់ការនៅមន្ទីរពេទ្យក្នុងវិស្សមកាលរដូវក្តៅ។
实现	សម្រេច	ទីបំផុតគាត់បានសម្រេចក្តីសុបិន។
实验	ពិសោធន៍	សិស្សកំពុងធ្វើការពិសោធន៍។
实用	មានប្រយោជន៍ជាក់ស្តែង	ឧបករណ៍នេះមានប្រយោជន៍ជាក់ស្តែងណាស់។
时差	ភាពខុសគ្នាម៉ោង	គាត់នៅមិនទាន់សម្របខ្លួននឹងភាពខុសគ្នាម៉ោងបានទេ។
时代	សម័យ	យើងរស់នៅក្នុងសម័យព័ត៌មាន។
时刻	ពេលវេលា	សូមចងចាំពេលវេលាសំខាន់នេះ។
时髦	ទាន់សម័យ	សម្លៀកបំពាក់មួយនេះទាន់សម័យណាស់។
时期	អំឡុងពេល	អំឡុងពេលសិក្សាសាកលវិទ្យាល័យមានឥទ្ធិពលធំលើគាត់។
时尚	ម៉ូដទាន់សម័យ	នាងចាប់អារម្មណ៍លើម៉ូដទាន់សម័យណាស់។
石头	ថ្ម	មានថ្មមួយនៅក្បែរផ្លូវ។
食物	អាហារ	សូមដាក់អាហារចូលក្នុងទូទឹកកក។
使劲儿	ប្រើកម្លាំង	អ្នកត្រូវប្រើកម្លាំងខ្លះដើម្បីបើកដបនេះ។
