simplified	SI	example_SI
历代	අනුප්‍රාප්තික යුග	අනුප්‍රාප්තික යුගවල විද්වතුන් මෙම ගැටලුව අධ්‍යයනය කර ඇත.
历来	සෑම කලකම	මෙම නගරය සෑම කලකම අධ්‍යාපනයට වැදගත්කම දී ඇත.
立场	ස්ථාවරය	ඔහු රැස්වීමේදී තම ස්ථාවරය පැහැදිලි කළේය.
立方	ඝන ඒකකය	මෙම ජල ටැංකියේ ධාරිතාව ඝන මීටර් තුනකි.
立交桥	උඩ මාර්ග පාලම	මෙම උඩ මාර්ග පාලම ගමනාගමන තදබදය අඩු කළේය.
立体	ත්‍රිමාණ	මෙම චිත්‍රයේ ත්‍රිමාණ හැඟීම ඉතා ශක්තිමත්ය.
立足	පදනම් වීම	ව්‍යාපාරය දේශීය වෙළඳපොළ මත පදනම් විය යුතුය.
粒	කුඩා ධාන්‍ය කණිකාව	මේසය මත සහල් කණිකා කිහිපයක් ඇත.
廉洁	අවංක හා දූෂණයෙන් තොර	රජයේ නිලධාරීන් අවංක හා දූෂණයෙන් තොර විය යුතුය.
联欢	එක්ව සතුටු රැස්වීමක් පැවැත්වීම	සහපංතිකයෝ අලුත් අවුරුදු සතුටු රැස්වීමක් පැවැත්වූහ.
联络	සම්බන්ධ වීම	කරුණාකර පාරිභෝගිකයා සමඟ ඉක්මනින් සම්බන්ධ වන්න.
联盟	සන්ධානය	රටවල් කිහිපයක් වෙළඳ සන්ධානයක් පිහිටුවීය.
联想	මනසින් සම්බන්ධ කිරීම	මෙම ඡායාරූපය මට ළමා කාලය මනසින් සම්බන්ධ කරයි.
连年	අඛණ්ඩ වසර ගණනාවක්	මෙම ප්‍රදේශය අඛණ්ඩ වසර ගණනාවක් ගංවතුරට ලක් විය.
连锁	දාමය	මෙම සමාගම දාම සුපිරි වෙළඳසැල් පවත්වාගෙන යයි.
连同	සමඟ එක්ව	කරුණාකර රිසිට්පත ගිවිසුම සමඟ එක්ව යවන්න.
良心	හෘද සාක්ෂිය	මිනිසෙකු ලෙස හෘද සාක්ෂියට ගැළපෙන ලෙස ජීවත් විය යුතුය.
晾	වාතයේ වියළීම	ඇය ඇඳුම් බැල්කනියේ වාතයේ වියළීමට දැමුවාය.
谅解	අවබෝධයෙන් සමාව දීම	අපගේ දුෂ්කරතා ඔබ අවබෝධයෙන් සමාව දෙනු ඇතැයි බලාපොරොත්තු වෙමු.
辽阔	විශාල හා පුළුල්	තණ බිම විශාල හා පුළුල් බැවින් අවසානය නොපෙනේ.
列举	ලැයිස්තුගත කිරීම	ගුරුවරයා උදාහරණ තුනක් ලැයිස්තුගත කළේය.
临床	සායනික	මෙම ඖෂධය සායනික පරීක්ෂණයක යෙදෙමින් පවතී.
淋	තෙමීම	වැස්සේ ඉතා දිගු වේලාවක් තෙමී නොසිටින්න.
吝啬	කංජූස	ඔහු මිතුරන්ට කිසිවිටෙකත් කංජූස නොවේ.
伶俐	චතුර හා බුද්ධිමත්	මෙම කුඩා දැරිය චතුර හා බුද්ධිමත්ය.
凌晨	අලුයම	යානය අලුයම තුනට පිටත් වේ.
灵感	ආශ්වාදය	සංගීතය ඔහුට නිර්මාණාත්මක ආශ්වාදය දුන්නේය.
灵魂	ආත්මය	නිදහස මෙම කෘතියේ ආත්මයයි.
灵敏	සංවේදී	මෙම උපකරණය ඉතා සංවේදීව ප්‍රතිචාර දක්වයි.
零星	විසිරි ඇති	රාත්‍රී අහසේ විසිරි ඇති ආලෝක කිහිපයක් තිබුණි.
领会	වටහා ගැනීම	ඔහු ගුරුවරයාගේ අර්ථය ඉක්මනින් වටහා ගත්තේය.
领事馆	කොන්සල් කාර්යාලය	ඔහු වීසා සඳහා කොන්සල් කාර්යාලයට ගියේය.
领土	භූමිය	සෑම රටක්ම භූමියේ අඛණ්ඩතාවට වැදගත්කම දක්වයි.
领悟	අවබෝධ කර ගැනීම	අසාර්ථකත්වයෙන් පසු ඔහු වගකීම අවබෝධ කර ගත්තේය.
领先	ඉදිරියෙන් සිටීම	ඔවුන්ගේ තාක්ෂණය දැනට සම වෘත්තීය අය අතර ඉදිරියෙන් සිටී.
领袖	නායකයා	මෙම නායකයා ජනතාවගේ ගෞරවයට පාත්‍ර වේ.
溜	නිහඬව ලිස්සා යාම	කුඩා බල්ලා දොර කුහරයෙන් නිහඬව ලිස්සා ගියේය.
流浪	ඉබාගාතේ යාම	ඔහු තරුණ කාලයේ සෑම තැනම ඉබාගාතේ ගොස් ඇත.
流露	පිටතට පෙන්වීම	ඇගේ මුහුණේ සතුට පිටතට පෙනුණි.
流氓	දඩබ්බරයා	පොලිසිය වීථියේ දඩබ්බරයන් කිහිප දෙනෙකු අත්අඩංගුවට ගත්තේය.
流通	සංසරණය වීම	මෙම මුදල් කට්ටලය කලක් එම ප්‍රදේශයේ සංසරණය විය.
留恋	හැර යාමට අකමැති වීම	උපාධි ප්‍රදානයේදී සියලු දෙනා පාසල හැර යාමට අකමැති විය.
留念	සිහිවටනයක් ලෙස තබා ගැනීම	අපි පාසල් දොරටුව අසල සිහිවටනයක් ලෙස ඡායාරූපයක් ගත්තෙමු.
留神	සැලකිලිමත් වීම	පාර මාරු වන විට අනිවාර්යයෙන්ම සැලකිලිමත් වන්න.
聋哑	බිහිරි හා කථා කළ නොහැකි	පාසල බිහිරි හා කථා කළ නොහැකි දරුවන්ට උපකාර සපයයි.
隆重	විභවවත්	මහා සභාව ශාලාවේ විභවවත් ලෙස පැවැත්විණි.
垄断	ඒකාධිකාරය	ඒකාධිකාරය වෙළඳපොළ තරඟයට හානි කරයි.
笼罩	වැසී යාම	ඝන මීදුම මුළු ගමම වසා ගත්තේය.
搂	අතලඟට අල්ලා ගැනීම	මව දරුවා මෘදු ලෙස අතලඟට අල්ලා ගත්තාය.
炉灶	කුස්සි උදුන	කුස්සියේ උදුන පිරිසිදු කළ යුතුය.
轮船	නැව	නැව සෙමින් වරායෙන් පිටත් විය.
轮廓	බාහිර හැඩරේඛාව	දුරින් කඳු මුදුන්වල බාහිර හැඩරේඛාව පැහැදිලිව පෙනුණි.
轮胎	ටයරය	මෝටර් රථයේ ටයරය වෙනස් කළ යුතුය.
论坛	සංවාද මණ්ඩපය	විශේෂඥයා සංවාද මණ්ඩපයේ දේශනයක් කළේය.
论证	තර්කයෙන් ඔප්පු කිරීම	වාර්තාවට අදහස තවදුරටත් තර්කයෙන් ඔප්පු කළ යුතුය.
啰唆	දිගින් දිගටම කියවීම	දිගින් දිගටම කියවන්න එපා, කෙලින්ම මූලික කරුණ කියන්න.
络绎不绝	නිරන්තරයෙන් නොනැවතී	සංචාරකයෝ නිරන්තරයෙන් නොනැවතී පුරාණ නගරයට පැමිණියහ.
落成	ඉදිකිරීම අවසන් වීම	නව ක්‍රීඩාගාරය හෙට නිල වශයෙන් ඉදිකිරීම අවසන් කර විවෘත වේ.
落实	ක්‍රියාත්මක කිරීම	රැස්වීම නව ප්‍රතිපත්තිය ඉක්මනින් ක්‍රියාත්මක කරන ලෙස ඉල්ලා සිටියේය.
屡次	නැවත නැවත	ඔහු සියලු දෙනාට ආරක්ෂාව ගැන නැවත නැවත මතක් කළේය.
履行	ඉටු කිරීම	පාර්ශ්ව දෙක ගිවිසුම් වගකීම් ඉටු කළ යුතුය.
掠夺	කොල්ලකෑම	යුද්ධය සම්පත් කොල්ලකෑමට හේතු විය.
嘛	පැහැදිලි බව පෙන්වන අවසාන පදය	මේ කාරණය හරි සරලයි නේ.
麻痹	අසංවේදී වීම	දිගු කාලයක් සුමටව යාම මිනිසුන්ට අසංවේදී නොසැලකිල්ලක් ඇති කරයි.
麻木	ගල් වූ	සීතල නිසා ඔහුගේ ඇඟිලි ගල් විය.
麻醉	නිර්වින්දනය	ශල්‍යකර්මයට පෙර වෛද්‍යවරයා රෝගියාට නිර්වින්දනය දුන්නේය.
码头	වරාය තොටුපළ	බඩු නැව වරාය තොටුපළ අසල නැවතුණි.
蚂蚁	කුහුඹුවා	කුහුඹුවෝ ආහාර ගෙන යමින් සිටියහ.
埋伏	සැඟවී සිට පහර දීම	සොල්දාදුවෝ මිටියාවතේ සැඟවී සිටියහ.
埋没	අමතකයට යට වීම	දක්ෂයන් අමතකයට යට වීමට ඉඩ නොදිය යුතුය.
埋葬	භූමදානය කිරීම	ගම්වැසියෝ මහලු පුද්ගලයා කන්ද පැත්තේ භූමදානය කළහ.
脉搏	නාඩිය	හෙදිය ඔහුගේ නාඩිය මනිනු ලබමින් සිටියාය.
迈	පියවර තැබීම	ඔහු විශාල පියවර තබමින් දොර දෙසට ගියේය.
埋怨	අමනාපයෙන් පැමිණිලි කිරීම	හැම විටම අන් අයට අමනාපයෙන් පැමිණිලි නොකරන්න.
慢性	දීර්ඝකාලීන	දීර්ඝකාලීන රෝගවලට දිගු ප්‍රතිකාර අවශ්‍යය.
漫长	ඉතා දිගු	ඔවුහු ඉතා දිගු බලා සිටීමක් අත්විඳියහ.
漫画	කාටූන් පොත	මෙම කාටූන් පොත තරුණයන් අතර ජනප්‍රියය.
蔓延	පැතිර යාම	ගින්න ඉක්මනින් වනයේ ඇතුළට පැතිර ගියේය.
忙碌	කාර්යබහුල	වසර අවසානය සමාගමට වඩාත් කාර්යබහුල කාලයයි.
盲目	අන්ධ ලෙස	ආයෝජනය අන්ධ ලෙස ජනප්‍රිය රැල්ල පසුපස නොයා යුතුය.
茫茫	අසීමිත විශාල	නැව අසීමිත විශාල මුහුදේ අතුරුදහන් විය.
茫然	අවබෝධයක් නැති	විස්තරය අසා අවසන් වූ පසුත් ඔහුගේ මුහුණ අවබෝධයක් නැති ලෙස තිබුණි.
冒充	වේශයෙන් පෙනී සිටීම	කෙනෙකු පොලිස් නිලධාරියෙකුගේ වේශයෙන් පෙනී සිට මුදල් වංචා කළේය.
冒犯	අපහාස කිරීම	මගේ වචන ඔබට අපහාස කිරීමට අදහස් කළේ නැත.
茂盛	සශ්‍රීක	අංගනයේ ගස් ඉතා සශ්‍රීකව වැඩී ඇත.
媒介	මාධ්‍යය	අන්තර්ජාලය වැදගත් තොරතුරු මාධ්‍යයකි.
枚	කුඩා වස්තු ගණන් කරන පදය	ඔහු සිහිවටන කාසි කිහිපයක් එකතු කර ඇත.
美观	දෘශ්‍යමය අලංකාර	මෙම සැලසුම ප්‍රයෝජනවත්ද දෘශ්‍යමය අලංකාරද වේ.
美满	සතුටින් පිරුණු	ඔවුහු සතුටින් පිරුණු ජීවිතයක් ගත කරති.
美妙	අති සුන්දර	සංගීත ප්‍රසංගය අති සුන්දර අත්දැකීමක් ගෙන ආවේය.
萌芽	මතුවන මුල් අදහස	නව අදහසක් මතුවීමට පටන් ගත්තේය.
猛烈	දරුණු	කුණාටුව ඉතා දරුණු ලෙස පැමිණියේය.
眯	ඇස් පටු කිරීම	හිරු එළිය වැඩි නිසා ඔහු ඇස් පටු කළේය.
弥补	පිරිමැසීම	සමාව ඉල්ලීමෙන් හානිය සම්පූර්ණයෙන් පිරිමැසිය නොහැක.
弥漫	පිරී පැතිරීම	මල් සුවඳ අංගනය පුරා පිරී පැතිරුණි.
谜语	ප්‍රහේලිකාව	දරුවන් ප්‍රහේලිකා විසඳීමට කැමතිය.
迷惑	අවුල් කිරීම	සංකීර්ණ දත්ත ඔහුව අවුල් කළේය.
迷人	මනමෝහනීය	මුහුදු වෙරළේ රාත්‍රී දර්ශනය ඉතා මනමෝහනීයය.
迷信	මිථ්‍යා විශ්වාසය	විද්‍යා අධ්‍යාපනයෙන් මිථ්‍යා විශ්වාසය අඩු කළ හැකිය.
密度	ඝනත්වය	මෙම ලෝහයේ ඝනත්වය ඉතා ඉහළය.
密封	මුද්‍රා තැබීම	විවෘත කළ පසු කරුණාකර බෑගය නැවත මුද්‍රා තබන්න.
棉花	කපු	ගොවීන් කපු නෙලමින් සිටිති.
免得	වළක්වා ගැනීමට	පරක්කු නොවීමට කලින් පිටත් වන්න.
免疫	ප්‍රතිශක්තිය	මෙම එන්නත ප්‍රතිශක්ති හැකියාව වැඩි කරයි.
勉励	දිරිමත් කිරීම	ගුරුවරයා සිසුන්ට ඉගෙනීම දිගටම කරගෙන යාමට නිතර දිරිමත් කරයි.
勉强	අකමැත්තෙන් පිළිගැනීම	ඔහු මෙම සැලැස්ම අකමැත්තෙන් පිළිගත්තේය.
面貌	පෙනුම	නගරයේ පෙනුම විශාල ලෙස වෙනස් වී ඇත.
面子	මුහුණ රැකීම	ඔහුට සෙනඟ ඉදිරියේ මුහුණ රැකීම අහිමි කර ගැනීමට අවශ්‍ය නොවීය.
描绘	විස්තර කර නිරූපණය කිරීම	නවකතාව ග්‍රාමීය ජීවිතය විස්තර කර නිරූපණය කරයි.
瞄准	ඉලක්ක කිරීම	වෙඩික්කරු ඉලක්කය ඉලක්ක කළේය.
渺小	ඉතා කුඩා	ස්වභාව ධර්මය ඉදිරියේ මිනිසා ඉතා කුඩා ලෙස පෙනේ.
藐视	අවතක්සේරු කිරීම	අපි කිසිදු ප්‍රතිවාදියෙකු අවතක්සේරු නොකළ යුතුය.
灭亡	විනාශ වී අතුරුදහන් වීම	එම රාජවංශය අවසානයේ විනාශ වී අතුරුදහන් විය.
蔑视	අපහාසාත්මක ලෙස පහත් බැලීම	ඔහුගේ කථන ස්වරය අපහාසාත්මක පහත් බැලීමෙන් පිරී තිබුණි.
民间	ජනතාව අතර	ජනතාව අතර පවතින කලාව ආරක්ෂා කළ යුතුය.
民主	ප්‍රජාතන්ත්‍රවාදය	රැස්වීම ප්‍රජාතන්ත්‍රවාදී ඡන්ද ක්‍රමය භාවිතා කළේය.
敏捷	කඩිසර	ක්‍රීඩකයාගේ චලනයන් ඉතා කඩිසරය.
敏锐	තියුණු	වාර්තාකරුවෙකුට තියුණු නිරීක්ෂණ හැකියාව අවශ්‍යය.
名次	තරඟ ස්ථානය	ඇය තරඟයේ හොඳ ස්ථානයක් ලබා ගත්තාය.
名额	කෝටාව	මෙම ව්‍යාපෘතියට ස්ථාන දහයක් පමණක් ඇත.
名副其实	නමට පමණක් නොව සැබෑවටම	ඔහු නමට පමණක් නොව සැබෑවටම විශේෂඥයෙකි.
名誉	කීර්තිය	මෙම සිද්ධිය සමාගමේ කීර්තියට හානි කළේය.
明明	පැහැදිලිවම	ඔහු පිළිතුර පැහැදිලිවම දන්නා නමුත් කියන්න අකමැතිය.
明智	බුද්ධිමත්	තීරණය කල් දැමීම බුද්ධිමත් තේරීමක් විය.
命名	නමක් තැබීම	විද්‍යාඥයා නව ජීව විශේෂයට නමක් තැබුවේය.
摸索	අත්හදා බලා සොයා යාම	කණ්ඩායම තවමත් නව ක්‍රම අත්හදා බලා සොයා යමින් සිටී.
摩擦	ඝර්ෂණය	රටවල් දෙක අතර වෙළඳ ඝර්ෂණයක් ඇති විය.
模范	ආදර්ශය	ඔහු මුළු පාසලේම සිසුන්ට ආදර්ශයකි.
模式	ක්‍රම ආකෘතිය	මෙම ව්‍යාපාරික ක්‍රම ආකෘතිය ඉතා සාර්ථකය.
模型	ආකෘතිය	ඉංජිනේරුවා පාලමේ ආකෘතියක් සකස් කළේය.
磨合	එකට ගැළපීම	නව කණ්ඩායමට එකට ගැළපීමට කාලයක් අවශ්‍යය.
膜	පටලය	මෙම පටලයට අපද්‍රව්‍ය පෙරීමට හැකිය.
魔鬼	යක්ෂයා	කතාවේ යක්ෂයා ඉතා කපටිය.
魔术	මැජික්	දරුවන් මැජික් ප්‍රදර්ශන නැරඹීමට කැමතිය.
抹杀	සම්පූර්ණයෙන් මකා දැමීම	ඔහුගේ දායකත්වය සම්පූර්ණයෙන් මකා දැමිය නොහැක.
墨水儿	තීන්ත	පෑනේ තීන්ත ඉක්මනින් අවසන් වේ.
莫名其妙	හේතුව තේරුම් ගත නොහැකි	ඔහුගේ ප්‍රතිචාරය හේතුව තේරුම් ගත නොහැකි විය.
默默	නිහඬව	ඇය බොහෝ දෙනෙකුට නිහඬව උදව් කළාය.
谋求	සොයා ලබා ගැනීමට උත්සාහ කිරීම	ව්‍යාපාරය නව සංවර්ධන අවස්ථා සොයා ලබා ගැනීමට උත්සාහ කරයි.
模样	පෙනුම	ඔහුගේ වර්තමාන පෙනුම බොහෝ වෙනස් වී ඇත.
母语	මව් භාෂාව	දරුවා කුඩා කාලයේ සිට මව් භාෂාව ඉගෙන ගනී.
沐浴	ස්නානය කිරීම	උදෑසන ගම හිරු එළියේ ස්නානය කරන ලද සේ පෙනුණි.
目睹	තම ඇසින් දැකීම	බොහෝ දෙනා එම අනතුර තම ඇසින් දැක ඇත.
目光	බැල්ම	සියලු දෙනාගේ බැල්ම වේදිකාව මත එකතු විය.
拿手	දක්ෂ	රතු සෝස් මාළු ඔහුගේ දක්ෂ ආහාරයයි.
纳闷儿	ගැටලුවෙන් පුදුම වීම	ඔහු ඇයි පරක්කු වූයේදැයි මම දිගටම පුදුම වුණෙමි.
耐用	දිගුකල් පවත්නා	මෙම සපත්තු ඉතා දිගුකල් පවත්නාය.
南辕北辙	ඉලක්කයට සම්පූර්ණයෙන් විරුද්ධ	ඔහුගේ ක්‍රමය ඉලක්කයට සම්පූර්ණයෙන් විරුද්ධය.
难得	දුර්ලභ	මෙය දුර්ලභ අවස්ථාවකි.
难堪	ලැජ්ජාවට පත් කරන	මෙම ප්‍රශ්නය ඔහු ලැජ්ජාවට පත් කළේය.
难能可贵	දුර්ලභ හා අගය කළ යුතු	පීඩනය යටතේ අවංකව සිටීම දුර්ලභ හා අගය කළ යුතුය.
恼火	කෝපයට පත්	උපකරණය නැවත කැඩී ගිය නිසා ඔහු කෝපයට පත් විය.
内涵	අභ්‍යන්තර අර්ථය	මෙම වචනයට පොහොසත් සංස්කෘතික අභ්‍යන්තර අර්ථයක් ඇත.
内幕	ඇතුළත කතාව	වාර්තාකරු සිද්ධියේ ඇතුළත කතාව පරීක්ෂා කිරීමට උත්සාහ කළේය.
内在	අභ්‍යන්තර	ඔහු මිනිසුන්ගේ අභ්‍යන්තර ගුණාංගවලට වැඩි වැදගත්කමක් දෙයි.
能量	ශක්තිය	මෙම උදෑසන ආහාරය මට බොහෝ ශක්තියක් දුන්නේය.
拟定	කෙටුම්පත් කිරීම	ලේකම්වරයා රැස්වීමේ කාලසටහන කෙටුම්පත් කරමින් සිටී.
逆行	වැරදි දිශාවට යාම	එම රථය එක් දිශා මාර්ගයේ වැරදි දිශාවට ගියේය.
年度	වාර්ෂික	සමාගම වාර්ෂික වාර්තාව ප්‍රකාශ කළේය.
捏	චිමටීම	ඇය දරුවාගේ මුහුණ මෘදු ලෙස චිමටුවාය.
凝固	ඝන වීම	සිසිල් වූ පසු ඉටි සෙමින් ඝන වේ.
凝聚	එක්රැස් කිරීම	පොදු ඉලක්කයක් කණ්ඩායම් ශක්තිය එක්රැස් කරයි.
凝视	තදින් බලා සිටීම	ඔහු දුරින් තිබූ ආලෝකය දෙස තදින් බලා සිටියේය.
拧	මිරිකීම	ඔහු අතින් මාව ටිකක් මිරිකුවේය.
宁肯	වඩා කැමති වීම	ඇය අසාර්ථක වීමට වඩා කැමති වූවත් මූලධර්ම අත්හැරීමට කැමති නැත.
宁愿	වඩා කැමති වීම	මම වාහනයක් බලා සිටීමට වඩා ඇවිදීමට කැමතියි.
扭转	තත්ත්වය හැරවීම	නව ප්‍රතිපත්තිය පාඩු තත්ත්වය හැරවීය.
纽扣儿	බොත්තම	මෙම කමිසයේ බොත්තමක් වැටී ඇත.
农历	චන්ද්‍ර දින දර්ශනය	වසන්ත උත්සවය චන්ද්‍ර දින දර්ශනය අනුව සමරයි.
浓厚	ගැඹුරු	ඔහුට ඉතිහාසය පිළිබඳ ගැඹුරු උනන්දුවක් ඇත.
奴隶	වහලෙක්	පුරාණ සමාජයේ වහල් පද්ධතිය පැවතුණි.
挪	මාරු කිරීම	කරුණාකර පුටුව ටිකක් පැත්තකට මාරු කරන්න.
虐待	අයහපත් ලෙස සැලකීම	නීතිය දරුවන්ට අයහපත් ලෙස සැලකීම තහනම් කරයි.
哦	අහෝ	අහෝ, මට අවසානයේ තේරුණා.
殴打	පහර දීම	පොලිසිය මගියෙකුට පහර දුන් පුද්ගලයා අත්අඩංගුවට ගත්තේය.
偶像	ආදර්ශ පුද්ගලයා	ඇය එම ලේඛකයා ආදර්ශ පුද්ගලයෙකු ලෙස සලකයි.
呕吐	වමනය කිරීම	කුණු ආහාර කෑ පසු ඔහු වමනය කිරීමට පටන් ගත්තේය.
趴	බඩ මත වැතිරීම	කුඩා බළලා ජනෙල් පඩිය මත බඩ මත වැතිරී නිදා ගත්තේය.
徘徊	එහා මෙහා ඇවිදීම	ඔහු දොරකඩ බොහෝ වේලාවක් එහා මෙහා ඇවිද්දේය.
排斥	බැහැර කිරීම	නව ද්‍රව්‍යය තෙතමනය බැහැර කරයි.
排除	ඉවත් කිරීම	වෛද්‍යවරයා පළමුව බරපතළ රෝග ඉවත් කළේය.
排放	විමෝචනය	කර්මාන්ත ශාලාව අපද්‍රව්‍ය වායු විමෝචනය අඩු කළ යුතුය.
排练	පුහුණුව	නළුවෝ නව වැඩසටහන පුහුණු කරමින් සිටිති.
派别	කණ්ඩායම් පක්ෂය	මෙම සංවිධානය තුළ විවිධ කණ්ඩායම් පක්ෂ ඇත.
派遣	යැවීම	සමාගම ඉංජිනේරුවන් ස්ථානයට යැව්වේය.
攀登	නැගීම	ඔවුහු හෙට හිම කන්ද නැගීමට සැලසුම් කරති.
盘旋	වටකර පියාසර කිරීම	යානය ගුවන් තොටුපළ ඉහළින් වටකර පියාසර කළේය.
判决	තීන්දුව	අධිකරණය අද තීන්දුව ප්‍රකාශ කළේය.
畔	තීරය	දරුවෝ විලේ තීරය අසල ඇවිද්දහ.
庞大	විශාල	මෙම ව්‍යාපෘතියට විශාල අරමුදල් අවශ්‍යය.
抛弃	අත්හැර දැමීම	ඔහු තම සිහින අත්හැර දැමීමට කැමති නැත.
泡沫	පෙන	කෝප්පයේ බොහෝ සුදු පෙන තිබුණි.
培育	පෝෂණය කර වර්ධනය කිරීම	පාසල සිසුන්ගේ වගකීමේ හැඟීම පෝෂණය කර වර්ධනය කිරීමට උත්සාහ කරයි.
配备	සපයා සන්නද්ධ කිරීම	නව රථය ආරක්ෂක පද්ධතියකින් සන්නද්ධ කර ඇත.
配偶	ජීවන සහකරු	අයදුම්පතේ ජීවන සහකරුගේ තොරතුරු පිරවිය යුතුය.
配套	සම්පූර්ණ පහසුකම්	සමාජයේ සම්පූර්ණ පහසුකම් ඇත.
盆地	නිම්නය	මෙම නිම්නය ගිම්හානයේදී ඉතා උණුසුම්ය.
烹饪	ආහාර පිසීම	ආහාර පිසීමට ඉවසීම සහ අත්දැකීම් අවශ්‍යය.
捧	දෙඅතින් අල්ලා ගැනීම	ඇය මල් පොකුරක් දෙඅතින් අල්ලාගෙන සිටියාය.
劈	කපා පැලීම	කම්කරුවා පොරොවකින් ලී කපා පැලුවේය.
批发	තොග වෙළඳාම	මෙම වෙළඳසැල ප්‍රධාන වශයෙන් පලතුරු තොග වෙළඳාම කරයි.
批判	විවේචනය කිරීම	ලිපිය මෙම වැරදි අදහස විවේචනය කළේය.
疲惫	අතිශය වෙහෙසට පත්	දිගු ගමනෙන් පසු සියලු දෙනා අතිශය වෙහෙසට පත් වූහ.
疲倦	වෙහෙසට පත්	අඛණ්ඩ වැඩ කිරීම ඔහුව වෙහෙසට පත් කළේය.
皮革	සම්	මෙම බෑගය සම් වලින් සාදා ඇත.
屁股	පසුපස කොටස	දරුවා වැටුණු පසු පසුපස කොටස බොහෝ වේදනා දුන්නේය.
譬如	උදාහරණයක් ලෙස	උදාහරණයක් ලෙස, අපට මුලින් කුඩා පරීක්ෂණයක් කළ හැකිය.
偏差	විකලනය	අත්හදා බැලීමේ ප්‍රතිඵලවල පැහැදිලි විකලනයක් ඇත.
偏见	පූර්ව විනිශ්චය	අපි ජාතික පූර්ව විනිශ්චය වළක්වා ගත යුතුය.
偏僻	දුරස්ථ	මෙම ගමේ ස්ථානය ඉතා දුරස්ථය.
偏偏	අවාසනාවකටම	මම වැඩි වැඩියෙන් හදිසි වූ විට, වාහනය අවාසනාවකටම තවත් මන්දගාමී විය.
片断	කොටස	චිත්‍රපටයේ අලංකාර කොටස් කිහිපයක් ඇත.
片刻	මොහොතක්	කරුණාකර මෙහි මොහොතක් මා බලා සිටින්න.
漂浮	පාවීම	වැටුණු කොළ ජල මතුපිට පාවෙමින් තිබුණි.
飘扬	ලෙළදීම	ජාතික කොඩිය සුළඟේ ලෙළදෙයි.
撇	පසෙකට දමීම	ඔහු පැරණි සැලැස්ම පසෙකට දමා තිබුණි.
拼搏	දැඩි උත්සාහයෙන් සටන් කිරීම	තරුණයන් තම සන්ධාන සඳහා දැඩි උත්සාහයෙන් සටන් කළ යුතුය.
拼命	සියලු ශක්තියෙන්	ඔහු ඉදිරියේ සිටි කණ්ඩායම පසුපස සියලු ශක්තියෙන් දිව ගියේය.
贫乏	දුප්පත් හා හිඟ	මෙම ලිපියේ අන්තර්ගතය සාපේක්ෂව දුප්පත් හා හිඟය.
贫困	දුගී	රජය දුගී පවුල්වලට උදව් කරයි.
频繁	නිතර	මෑතකදී මෙහි රථවාහන අනතුරු නිතර සිදු වේ.
频率	සංඛ්‍යාතය	මෙම ශබ්දයේ සංඛ්‍යාතය ඉතා ඉහළය.
品尝	රස බැලීම	අමුත්තෝ දේශීය ආහාර රස බලමින් සිටිති.
品德	චරිත ගුණ	පාසල සිසුන්ගේ චරිත ගුණ අධ්‍යාපනයට වැදගත්කම දෙයි.
品质	ගුණාත්මකභාවය	මෙම සමාගමේ නිෂ්පාදන ගුණාත්මකභාවය ස්ථිරය.
品种	වර්ගය	වෙළඳපොළේ පලතුරු වර්ග බොහෝය.
屏幕	තිරය	කරුණාකර තිරයේ දීප්තිය අඩු කරන්න.
屏障	ආරක්ෂක බාධකය	වනය සුළං වළක්වන වැදගත් ආරක්ෂක බාධකයකි.
平凡	සාමාන්‍ය	ඔහු සාමාන්‍ය තනතුරක වසර ගණනාවක් වැඩ කළේය.
平面	තලය	නිර්මාණකරු නිවසේ තල සැලැස්ම ඇන්දේය.
平坦	සමතලා	මෙම මාර්ගය ඉතා සමතලාය.
平行	සමාන්තර	මෙම රේඛා දෙක එකිනෙකට සමාන්තරය.
平庸	මධ්‍යස්ථ	ඔහු මධ්‍යස්ථ ජීවිතයක් ගත කිරීමට කැමති නැත.
平原	තැනිතලාව	දුම්රිය පුළුල් තැනිතලාව හරහා ගියේය.
评估	ඇගයීම	විශේෂඥයෝ ව්‍යාපෘති අවදානම ඇගයමින් සිටිති.
评论	අදහස් දැක්වීම	පාඨකයන්ට ලිපිය යටතේ අදහස් දැක්විය හැකිය.
坡	ඉස්සුණු බෑවුම	මෝටර් රථය සෙමින් ඉස්සුණු බෑවුමට නැගුණි.
泼	ඉසීම	ජලය බිමට නොඉසන්න.
颇	සෑහෙන	මෙම ප්‍රතිඵලය සෑහෙන පුදුමය ඇති කළේය.
破例	ව්‍යතිරේකයක් කිරීම	කළමනාකරු ඔහු වෙනුවෙන් ව්‍යතිරේකයක් කර අයදුම්පත අනුමත කළේය.
迫不及待	ඉවසිල්ලක් නැති	දරුවෝ තෑගි විවෘත කිරීමට ඉවසිල්ලක් නැතිව සිටියහ.
迫害	පීඩා කිරීම	ඉතිහාසයේ බොහෝ දෙනා පීඩාවට ලක් වූහ.
魄力	ධෛර්යමත් තීරණ ශක්තිය	නායකයෙකුට ධෛර්යමත් තීරණ ශක්තිය අවශ්‍යය.
扑	පැන වැදීම	දරුවා එකවර මවගේ අතට පැන වැදුණේය.
铺	අතුරීම	කම්කරුවෝ නව කාපට් අතුරමින් සිටිති.
普及	ව්‍යාප්ත වීම	අන්තර්ජාලය නගරවල දැනටමත් ව්‍යාප්ත වී ඇත.
