simplified	HI	example_HI	BN	example_BN	TL	example_TL
流利	धाराप्रवाह	तुम चीनी बहुत धाराप्रवाह बोलते हो।	সাবলীল	তুমি চীনা ভাষা খুব সাবলীলভাবে বলো।	matatas	Matatas kang magsalita ng Tsino.
流行	लोकप्रिय; चलन में	बहुत से युवा पॉप संगीत पसंद करते हैं।	জনপ্রিয়; প্রচলিত	অনেক তরুণ জনপ্রিয় গান পছন্দ করে।	sikat; uso	Maraming kabataan ang gusto ng popular na musika.
留	छोड़ना; रुकना	कृपया अपना फ़ोन नंबर छोड़ दें।	রাখা; রেখে যাওয়া	দয়া করে তোমার ফোন নম্বর রেখে যাও।	iwan; manatili	Pakiwan ang numero ng telepono mo.
旅行	यात्रा करना; यात्रा	हम गर्मियों में युन्नान की यात्रा करने की योजना बना रहे हैं।	ভ্রমণ করা; ভ্রমণ	আমরা গ্রীষ্মে ইউনান ভ্রমণের পরিকল্পনা করছি।	maglakbay; biyahe	Plano naming maglakbay sa Yunnan sa tag-init.
乱	बिखरा हुआ; अस्त-व्यस्त	छोटे कुत्ते ने कमरे को बहुत अस्त-व्यस्त कर दिया।	এলোমেলো; বিশৃঙ্খল	ছোট কুকুরটা ঘরটা খুব এলোমেলো করে দিয়েছে।	magulo	Ginulo ng tuta ang kuwarto.
律师	वकील	मेरी माँ वकील हैं।	আইনজীবী	আমার মা একজন আইনজীবী।	abogado	Abogado ang nanay ko.
麻烦	कष्ट देना; झंझट	क्या आप कृपया मेरे लिए एक कप ला सकते हैं?	ঝামেলা; বিরক্ত করা	আপনি কি দয়া করে আমাকে একটা কাপ এনে দেবেন?	abala; pakiusap	Maaari po ba ninyo akong ikuha ng isang tasa?
马虎	लापरवाह; ढीला-ढाला	ज़रा-सी लापरवाही से ग़लती हो सकती है।	অসাবধান; গাফিল	একটু অসাবধান হলেই ভুল হতে পারে।	pabaya; burara	Kaunting kapabayaan lang ay maaaring magdulot ng mali.
满	भरा हुआ	कप भर गया है।	ভরা; পূর্ণ	কাপটি ভরে গেছে।	puno	Puno na ang tasa.
毛	रोएँ; बाल	इस बिल्ली के बाल सफ़ेद हैं।	লোম; পশম	এই বিড়ালের লোম সাদা।	balahibo	Puti ang balahibo ng pusang ito.
毛巾	तौलिया	गर्मी लग रही है न, तौलिये से पसीना पोंछ लो।	তোয়ালে	গরম লাগছে তো, তোয়ালে দিয়ে ঘাম মুছে নাও।	tuwalya	Mainit, di ba? Punasan mo ng tuwalya ang pawis mo.
美丽	सुंदर; खूबसूरत	वह सचमुच एक सुंदर लड़की है।	সুন্দর; মনোরম	সে সত্যিই খুব সুন্দর একটি মেয়ে।	maganda	Talagang maganda siyang babae.
梦	सपना	यह सचमुच एक दिलचस्प सपना है!	স্বপ্ন	এটা সত্যিই একটা মজার স্বপ্ন!	panaginip	Talagang kawili-wili ang panaginip na ito!
迷路	रास्ता भटकना; खो जाना	वह जंगल में रास्ता भटक गया।	হারিয়ে যাওয়া; পথ হারানো	সে জঙ্গলে পথ হারিয়েছে।	maligaw	Naligaw siya sa kagubatan.
密码	पासवर्ड; गुप्त कोड	मैं अपने क्रेडिट कार्ड का पासवर्ड भूल गया।	পাসওয়ার্ড; গোপন সংকেত	আমি আমার ক্রেডিট কার্ডের পাসওয়ার্ড ভুলে গেছি।	lihim na numero; kodigo	Nakalimutan ko ang lihim na numero ng tarhetang pangkredito ko.
免费	मुफ़्त; निःशुल्क	इस रेस्तराँ में खाना खाने पर पेय मुफ़्त हैं।	বিনামূল্যে	এই রেস্তোরাঁয় খাবার খেলে পানীয় বিনামূল্যে।	libre; walang bayad	Libre ang inumin kapag kumain sa restawrang ito.
秒	सेकंड	कृपया मेरा दस सेकंड इंतज़ार करें।	সেকেন্ড	দয়া করে আমার জন্য দশ সেকেন্ড অপেক্ষা করুন।	segundo	Pakisuyo, hintayin mo ako nang sampung segundo.
民族	जातीय समूह; समुदाय	चीन एक बहु-जातीय देश है।	জাতিগোষ্ঠী; জাতীয়তা	চীন একটি বহু-জাতিগোষ্ঠীর দেশ।	pangkat-etniko; nasyonalidad	Ang Tsina ay bansang maraming pangkat-etniko.
母亲	माँ; माता	मैं परिचय करा दूँ, ये मेरी माँ हैं।	মা; মাতা	আমি পরিচয় করিয়ে দিই, ইনি আমার মা।	ina; nanay	Ipakikilala ko siya: ito ang aking ina.
目的	उद्देश्य; मकसद	मुझे समझ नहीं आता कि उसका ऐसा करने का उद्देश्य क्या है।	উদ্দেশ্য; লক্ষ্য	সে এভাবে করছে কেন, তার উদ্দেশ্য আমি বুঝতে পারছি না।	layunin; pakay	Hindi ko maintindihan ang layunin niya sa paggawa nito.
耐心	धैर्य; धैर्यवान	बच्चों को शिक्षित करने में धैर्य चाहिए।	ধৈর্য; ধৈর্যশীল	শিশুদের শিক্ষা দিতে ধৈর্য লাগে।	pasensiya; matiyaga	Kailangan ng pasensiya sa pagtuturo sa mga bata.
难道	क्या सचमुच...?; क्या ऐसा हो सकता है...?	क्या ये व्यंजन स्वादिष्ट नहीं हैं?	নাকি; তা কি হতে পারে	এই খাবারগুলো কি সুস্বাদু নয় নাকি?	hindi ba; talaga bang	Hindi ba masarap ang mga pagkaing ito?
难受	बुरा लगना; अस्वस्थ होना	मुझे ज़ुकाम है और शरीर बहुत ख़राब लग रहा है।	খারাপ লাগা; অসুস্থ বোধ করা	আমার সর্দি হয়েছে, শরীর খুব খারাপ লাগছে।	masama ang pakiramdam	May sipon ako at masama ang pakiramdam ko.
内	के भीतर; अंदर	कृपया तीन दिनों के भीतर काम पूरा करें।	মধ্যে; ভেতরে	দয়া করে তিন দিনের মধ্যে কাজটি শেষ করুন।	sa loob ng	Pakitapos ang gawain sa loob ng tatlong araw.
内容	विषय-वस्तु; सामग्री	इस लेख की विषय-वस्तु बहुत शानदार है।	বিষয়বস্তু; তথ্য	এই প্রবন্ধের বিষয়বস্তু খুব চমৎকার।	nilalaman	Napakahusay ng nilalaman ng artikulong ito.
能力	क्षमता; योग्यता	उसकी काम करने की क्षमता बहुत मज़बूत है।	ক্ষমতা; দক্ষতা	তার কাজের দক্ষতা খুব ভালো।	kakayahan	Napakalakas ng kakayahan niya sa trabaho.
年龄	उम्र; आयु	किसी की उम्र यूँ ही पूछना अशिष्ट है।	বয়স	অকারণে অন্যের বয়স জিজ্ঞেস করা ভদ্র নয়।	edad	Hindi magalang ang basta-bastang magtanong ng edad ng iba.
弄	करना; बना देना	पिल्ले ने कमरे को बहुत अस्त-व्यस्त कर दिया।	করা; বানিয়ে ফেলা	ছোট কুকুরটা ঘরটা খুব এলোমেলো করে দিয়েছে।	gawin; guluhin	Ginulo ng tuta ang kuwarto.
暖和	गरम; सुहावना	वसंत आ गया है और मौसम गरम होने लगा है।	উষ্ণ; আরামদায়ক	বসন্ত এসেছে, আবহাওয়া উষ্ণ হয়ে উঠছে।	mainit-init; maginhawa	Dumating na ang tagsibol at umiinit na ang panahon.
偶尔	कभी-कभी; यदा-कदा	मैं उसे कभी-कभी स्कूल में देख लेता हूँ।	মাঝে মাঝে; কখনো কখনো	আমি মাঝে মাঝে তাকে স্কুলে দেখি।	paminsan-minsan	Paminsan-minsan ko siyang nakikita sa paaralan.
排队	कतार में लगना	टिकट खरीदने वाले लोग कतार में खड़े हैं।	লাইনে দাঁড়ানো	টিকিট কিনতে আসা লোকেরা লাইনে দাঁড়িয়ে আছে।	pumila	Nakapila ang mga taong bumibili ng tiket.
排列	क्रम में लगाना; व्यवस्थित करना	कृपया इन डिब्बों को बड़े से छोटे क्रम में लगाएँ।	সাজানো; ক্রমানুসারে রাখা	দয়া করে এই বাক্সগুলো বড় থেকে ছোট ক্রমে সাজান।	ayusin; ihanay	Pakiayos ang mga kahong ito mula pinakamalaki hanggang pinakamaliit.
判断	निर्णय; आकलन	तुम्हारा आकलन बिल्कुल सही है।	বিচার; সিদ্ধান্ত	তোমার বিচার একেবারে ঠিক।	paghuhusga; hatol	Tamang-tama ang paghusga mo.
陪	साथ देना; साथ रहना	जब मैं दुखी होता हूँ, तुम हमेशा मेरे साथ रहते हो।	সঙ্গ দেওয়া; পাশে থাকা	আমি দুঃখ পেলে তুমি সবসময় আমার পাশে থাকো।	samahan; manatili sa tabi	Palagi kang nasa tabi ko kapag nalulungkot ako.
批评	आलोचना करना; आलोचना	शिक्षक बहुत कम मेरी आलोचना करते हैं।	সমালোচনা করা; সমালোচনা	শিক্ষক খুব কমই আমাকে সমালোচনা করেন।	punahin; pagpuna	Bihira akong punahin ng guro.
皮肤	त्वचा	माँ त्वचा की रक्षा पर बहुत ध्यान देती हैं।	ত্বক	মা ত্বকের যত্নে খুব মন দেন।	balat	Maingat si Nanay sa pag-aalaga ng balat.
脾气	स्वभाव; मिज़ाज	उसका स्वभाव अच्छा है, वह कभी ग़ुस्सा नहीं होता।	মেজাজ; স্বভাব	তার মেজাজ ভালো, সে কখনো রাগ করে না।	ugali; init ng ulo	Maganda ang ugali niya at hindi siya nagagalit.
篇	लेख; रचना	यह लेख मैंने कई बार पढ़ा है।	প্রবন্ধ; লেখা	এই প্রবন্ধটি আমি অনেকবার পড়েছি।	artikulo; sulatin	Maraming beses ko nang nabasa ang artikulong ito.
骗	धोखा देना; झूठ बोलना	मैंने तुमसे झूठ नहीं कहा, वह सचमुच आया था।	প্রতারণা করা; মিথ্যা বলা	আমি তোমাকে মিথ্যা বলিনি, সে সত্যিই এসেছিল।	lokohin; magsinungaling	Hindi ako nagsinungaling sa iyo, talagang dumating siya.
乒乓球	टेबल टेनिस; पिंग-पॉन्ग	कौन टेबल टेनिस प्रतियोगिता में भाग लेना चाहता है?	টেবিল টেনিস; পিং-পং	কে টেবিল টেনিস প্রতিযোগিতায় অংশ নিতে চায়?	tenis de mesa	Sino ang gustong sumali sa paligsahan sa tenis de mesa?
平时	आम तौर पर; सामान्य दिनों में	वह आम तौर पर बहुत कम व्यायाम करती है।	সাধারণত; সাধারণ সময়ে	সে সাধারণত খুব কম ব্যায়াম করে।	karaniwan; sa pang-araw-araw	Karaniwan ay bihira siyang mag-ehersisyo.
破	टूटा; तोड़ना	माफ़ कीजिए, मैंने आईना तोड़ दिया।	ভাঙা; ভেঙে ফেলা	দুঃখিত, আমি আয়নাটা ভেঙে ফেলেছি।	sira; mabasag	Pasensiya na, nabasag ko ang salamin.
葡萄	अंगूर	अंगूर आधा किलो पाँच युआन हैं।	আঙুর	আঙুর আধা কেজি পাঁচ ইউয়ান।	ubas	Limang yuan ang bawat kalahating kilo ng ubas.
普遍	आम; व्यापक	यह समस्या बहुत आम है।	সাধারণ; ব্যাপক	এই সমস্যাটি খুব সাধারণ।	karaniwan; laganap	Karaniwan ang problemang ito.
普通话	मंदारिन चीनी; पुतोंगहुआ	तुम मंदारिन बहुत अच्छी बोलते हो।	মান্দারিন চীনা; পুতংহুয়া	তুমি মান্দারিন খুব ভালো বলো।	wikang Mandarin; Putonghua	Napakahusay mong magsalita ng Mandarin.
其次	इसके बाद; दूसरे नंबर पर	सबसे पहले सुरक्षा चाहिए, फिर गति।	এরপর; দ্বিতীয়ত	প্রথমে নিরাপত্তা দরকার, এরপর দ্রুততা।	pangalawa; pagkatapos nito	Una ang kaligtasan, pangalawa ang bilis.
其中	उनमें से; इनके बीच	हमारी कक्षा में बीस विद्यार्थी हैं, उनमें से पाँच विदेश से आए हैं।	এর মধ্যে; তাদের মধ্যে	আমাদের ক্লাসে বিশজন ছাত্র আছে, তাদের মধ্যে পাঁচজন বিদেশ থেকে এসেছে।	kabilang dito; sa mga ito	May dalawampung estudyante sa klase namin, at lima sa kanila ay mula sa ibang bansa.
气候	जलवायु	क्या तुम उत्तर के मौसम के अनुकूल हो सकते हो?	জলবায়ু	তুমি কি উত্তরের জলবায়ুর সঙ্গে মানিয়ে নিতে পারবে?	klima	Kaya mo bang masanay sa klima sa hilaga?
千万	ज़रूर; हरगिज़ नहीं	कल की बैठक हरगिज़ मत भूलना।	অবশ্যই; কোনোভাবেই না	আগামীকালের সভা কোনোভাবেই ভুলে যেও না।	siguraduhin; huwag na huwag	Huwag na huwag mong kalilimutan ang pulong bukas.
签证	वीज़ा	मैं कल दूतावास जाकर वीज़ा बनवाऊँगा।	ভিসা	আমি কাল দূতাবাসে ভিসা করতে যাব।	bisa	Pupunta ako sa embahada bukas para mag-apply ng bisa.
敲	खटखटाना; ठोकना	कोई दरवाज़ा खटखटा रहा है, जाकर देखो कौन आया है।	কড়া নাড়া; ঠোকা	কেউ দরজায় কড়া নাড়ছে, গিয়ে দেখো কে এসেছে।	kumatok; katukin	May kumakatok sa pinto, tingnan mo kung sino ang dumating.
桥	पुल	नदी पर एक छोटा पुल है।	সেতু; পুল	নদীর ওপর একটি ছোট সেতু আছে।	tulay	May maliit na tulay sa ibabaw ng ilog.
巧克力	चॉकलेट	मुझे चॉकलेट खाना सबसे ज़्यादा पसंद है।	চকোলেট	আমি চকোলেট খেতে সবচেয়ে ভালোবাসি।	tsokolate	Pinakagusto kong kumain ng tsokolate.
亲戚	रिश्तेदार	मेरे ज़्यादातर रिश्तेदार बीजिंग में रहते हैं।	আত্মীয়	আমার বেশির ভাগ আত্মীয় বেইজিংয়ে থাকে।	kamag-anak	Karamihan sa mga kamag-anak ko ay nakatira sa Beijing.
轻	हल्का	यह बक्सा बहुत हल्का है।	হালকা	এই বাক্সটি খুব হালকা।	magaan	Magaan ang kahong ito.
轻松	आरामदेह; आसान	यह काम उसके लिए आसान नहीं है।	সহজ; স্বচ্ছন্দ	এই কাজটি তার জন্য সহজ নয়।	magaan; madali	Hindi madali para sa kanya ang trabahong ito.
情况	स्थिति; हालात	स्थिति में बहुत बड़ा बदलाव आया है।	পরিস্থিতি; অবস্থা	পরিস্থিতিতে বড় পরিবর্তন হয়েছে।	kalagayan; sitwasyon	Malaki ang ipinagbago ng sitwasyon.
穷	गरीब; दरिद्र	यह बुज़ुर्ग बहुत गरीब हैं, फिर भी खुश रहते हैं।	গরিব; দরিদ্র	এই বৃদ্ধ মানুষটি খুব গরিব হলেও আনন্দে থাকেন।	mahirap	Bagama't mahirap ang matandang ito, masaya siyang namumuhay.
区别	अंतर; भेद	क्या इन दो तरह की सामग्रियों में कोई अंतर है?	পার্থক্য; আলাদা করা	এই দুই ধরনের উপাদানের মধ্যে কোনো পার্থক্য আছে কি?	pagkakaiba	May pagkakaiba ba ang dalawang uri ng materyal na ito?
取	निकालना; लेना	मैं बैंक से पैसे निकालने जा रहा हूँ।	তোলা; নেওয়া	আমি ব্যাংকে টাকা তুলতে যাচ্ছি।	kumuha; maglabas	Pupunta ako sa bangko para kumuha ng pera.
全部	सब कुछ; पूरा	संगीत ही मेरा सब कुछ है।	সব; সম্পূর্ণ	সঙ্গীতই আমার সবকিছু।	lahat; kabuuan	Musika ang lahat para sa akin.
缺点	कमी; दोष	इंसान को अपनी कमियों की तुलना दूसरों की खूबियों से नहीं करनी चाहिए।	দুর্বলতা; ত্রুটি	মানুষের উচিত নয় নিজের দুর্বলতার সঙ্গে অন্যের গুণের তুলনা করা।	kahinaan; kapintasan	Hindi dapat ihambing ng tao ang sarili niyang kahinaan sa kalakasan ng iba.
缺少	कमी होना; अभाव होना	देखो और क्या कमी है, मैं अभी खरीदने जाता हूँ।	কম থাকা; অনুপস্থিত থাকা	দেখো আর কী কম আছে, আমি এখনই কিনে আনব।	kulang; nawawala	Tingnan mo kung ano pa ang kulang, bibilhin ko na ngayon.
却	लेकिन; फिर भी	मेरे पास कहने को बहुत कुछ था, लेकिन घबराते ही बोल नहीं पाया।	কিন্তু; অথচ	আমার বলার মতো অনেক কথা ছিল, কিন্তু নার্ভাস হয়ে কিছুই বলতে পারলাম না।	ngunit; pero	Marami akong gustong sabihin, pero nang kabahan ako ay hindi ko na masabi.
确实	वाकई; सचमुच	यह तरीका सचमुच अच्छा है।	সত্যিই; নিশ্চয়ই	এই পদ্ধতিটি সত্যিই ভালো।	talaga; tunay na	Talagang maganda ang paraang ito.
然而	हालाँकि; लेकिन	मैंने यह किताब पढ़ने में बहुत समय लगाया, लेकिन अभी तक ख़त्म नहीं की।	তবে; কিন্তু	আমি এই বইটি পড়তে অনেক সময় দিয়েছি, কিন্তু এখনও শেষ করিনি।	gayunman; subalit	Matagal kong binasa ang aklat na ito, subalit hindi ko pa rin natatapos.
热闹	चहल-पहल वाला; रौनकदार	सड़क पर बहुत चहल-पहल है।	জমজমাট; সরগরম	বড় রাস্তাটি খুব জমজমাট।	masigla; matao	Napakasigla ng malaking kalye.
任何	कोई भी; किसी भी	माँ मुझे किसी भी व्यक्ति से ज़्यादा समझती हैं।	যেকোনো; যে কেউ	মা আমাকে অন্য যেকোনো মানুষের চেয়ে বেশি বোঝেন।	anuman; sinuman	Mas kilala ako ni Nanay kaysa kaninuman.
任务	काम; कार्य	काम अस्सी प्रतिशत पूरा हो गया है।	কাজ; দায়িত্ব	কাজের আশি শতাংশ শেষ হয়েছে।	gawain; tungkulin	Tapos na ang walumpung porsiyento ng gawain.
扔	फेंकना	कृपया कचरा कूड़ेदान में फेंक दें।	ফেলা; ছুড়ে ফেলা	দয়া করে আবর্জনা ডাস্টবিনে ফেলুন।	itapon	Pakitapon ang basura sa basurahan.
仍然	अब भी; फिर भी	आज अब भी अच्छा मौसम है।	এখনও; তবু	আজও আবহাওয়া ভালো।	pa rin; gayunman	Maganda pa rin ang panahon ngayon.
日记	डायरी	बेटी ने रोज़ डायरी लिखने की आदत बना ली है।	ডায়েরি	মেয়ে প্রতিদিন ডায়েরি লেখার অভ্যাস গড়ে তুলেছে।	talaarawan	Nakasanayan na ng anak na babae ang pagsulat sa talaarawan araw-araw.
入口	प्रवेश द्वार	मैं इमारत के प्रवेश द्वार पर तुम्हारा इंतज़ार कर रहा हूँ।	প্রবেশদ্বার	আমি ভবনের প্রবেশদ্বারে তোমার জন্য অপেক্ষা করছি।	pasukan	Hinihintay kita sa pasukan ng gusali.
散步	टहलना	टहलते समय पिल्ला लगातार मेरे पीछे चलता रहा।	হাঁটতে যাওয়া; পায়চারি করা	হাঁটার সময় ছোট কুকুরটা সবসময় আমার পেছনে ছিল।	maglakad-lakad	Habang naglalakad ako, patuloy na sumusunod sa likod ko ang tuta.
森林	जंगल; वन	यह जंगल बहुत बड़ा है।	বন; জঙ্গল	এই বনটি খুব বড়।	kagubatan	Malaki ang kagubatong ito.
沙发	सोफ़ा	कृपया सोफ़े पर थोड़ी देर बैठिए, मैं आपके लिए चाय डालता हूँ।	সোফা	দয়া করে সোফায় একটু বসুন, আমি আপনার জন্য এক কাপ চা ঢেলে আনছি।	sofa	Maupo muna po kayo sa sofa, kukuha ako ng isang tasa ng tsaa para sa inyo.
伤心	दुखी होना; मन दुखना	यह ख़बर सुनने के बाद मैं बहुत दुखी हुआ।	দুঃখিত হওয়া; কষ্ট পাওয়া	এই খবর শুনে আমি খুব কষ্ট পেয়েছি।	malungkot; masaktan	Matapos marinig ang balitang ito, labis akong nalungkot.
商量	सलाह करना; चर्चा करना	तुम ठीक समय पर आए हो, चलो इस पर बात कर लेते हैं।	আলোচনা করা; পরামর্শ করা	তুমি ঠিক সময়ে এসেছ, চল আমরা একটু আলোচনা করি।	pag-usapan; kumonsulta	Tamang-tama ang dating mo, pag-usapan natin ito.
稍微	थोड़ा सा	ज़रा-सी लापरवाही से गलती हो सकती है।	একটু; সামান্য	একটু অসাবধান হলেই ভুল হতে পারে।	kaunti; bahagya	Kaunting kapabayaan lang ay maaaring magkamali.
勺子	चम्मच	माफ़ कीजिए, मुझसे चम्मच ज़मीन पर गिर गया।	চামচ	দুঃখিত, আমি চামচটা মেঝেতে ফেলে দিয়েছি।	kutsara	Pasensiya na, nahulog ko ang kutsara sa sahig.
社会	समाज	इन सामाजिक समस्याओं की सबको बहुत चिंता है।	সমাজ	এই সামাজিক সমস্যাগুলো নিয়ে সবাই খুব চিন্তিত।	lipunan	Maraming nagmamalasakit sa mga suliraning panlipunang ito.
深	गहरा	हमारे बीच बहुत गहरी दोस्ती है।	গভীর	আমাদের মধ্যে গভীর বন্ধুত্ব আছে।	malalim	May malalim na pagkakaibigan sa pagitan namin.
申请	आवेदन करना; आवेदन	मैंने बैंक में एक क्रेडिट कार्ड के लिए आवेदन किया।	আবেদন করা; আবেদন	আমি ব্যাংকে একটি ক্রেডিট কার্ডের জন্য আবেদন করেছি।	mag-aplay; aplikasyon	Nag-aplay ako sa bangko para sa isang tarhetang pangkredito.
甚至	यहाँ तक कि	सबने इतना मज़ा किया कि समय तक भूल गए।	এমনকি	সবাই এত আনন্দ করেছে যে সময়ও ভুলে গেছে।	kahit; maging	Nagpakasaya ang lahat, at nakalimutan pa nga ang oras.
生活	जीवन; जीना	जीवन में हमेशा कुछ परेशानियाँ आती हैं।	জীবন; বসবাস করা	জীবনে সবসময় কিছু না কিছু ঝামেলা আসে।	buhay; mamuhay	Laging may ilang alalahanin sa buhay.
生命	जीवन; प्राण	वह कला को अपने जीवन से भी ज़्यादा महत्वपूर्ण मानता है।	জীবন; প্রাণ	সে শিল্পকে নিজের জীবনের চেয়েও বেশি গুরুত্বপূর্ণ মনে করে।	buhay	Mas pinahahalagahan niya ang sining kaysa sarili niyang buhay.
生意	व्यापार; कारोबार	उसका व्यापार दिन-ब-दिन बड़ा होता जा रहा है।	ব্যবসা	তার ব্যবসা ক্রমেই বড় হচ্ছে।	negosyo	Palaki nang palaki ang negosyo niya.
省	प्रांत	मैं शानदोंग प्रांत से हूँ।	প্রদেশ	আমি শানদং প্রদেশ থেকে এসেছি।	lalawigan	Mula ako sa lalawigan ng Shandong.
剩	बचना; शेष रहना	सिर्फ़ दो सेब बचे हैं।	বাকি থাকা; অবশিষ্ট থাকা	শুধু দুটি আপেল বাকি আছে।	matira	Dalawang mansanas na lang ang natitira.
失败	असफलता; असफल होना	हालाँकि मैंने कई असफलताएँ देखी हैं, मैं कभी हार नहीं मानता।	ব্যর্থতা; ব্যর্থ হওয়া	অনেক ব্যর্থতার মধ্য দিয়ে গেলেও আমি কখনো হাল ছাড়ি না।	kabiguan; mabigo	Kahit maraming kabiguan ang naranasan ko, hindi ako sumusuko.
失望	निराश होना	मैं उससे बहुत निराश हूँ।	হতাশ হওয়া	আমি তার ওপর খুব হতাশ।	mabigo; madismaya	Labis akong nadismaya sa kanya.
师傅	उस्ताद; कारीगर; आदरपूर्वक संबोधन	उस्ताद जी, कृपया बताइए सिनेमा कैसे जाना है?	গুরু; কারিগর; সম্মানসূচক সম্বোধন	ভাই, সিনেমা হলে কীভাবে যাব?	manong; bihasang manggagawa	Manong, paano po pumunta sa sinehan?
十分	बहुत; अत्यंत	वह काम बहुत सावधानी से करती है।	খুব; অত্যন্ত	সে কাজ খুব সাবধানে করে।	lubos; napaka	Lubos siyang maingat sa paggawa ng trabaho.
实际	वास्तविक; व्यावहारिक	उसने इस समस्या को समझाने के लिए एक वास्तविक उदाहरण दिया।	বাস্তব; ব্যবহারিক	সে এই বিষয়টি বোঝাতে একটি বাস্তব উদাহরণ ব্যবহার করেছে।	aktuwal; praktikal	Gumamit siya ng praktikal na halimbawa upang ipaliwanag ang problemang ito.
实在	वाकई; सचमुच	मैं सचमुच बहुत थक गया हूँ।	সত্যিই; আসলেই	আমি সত্যিই খুব ক্লান্ত।	talaga; tunay	Talagang pagod na pagod ako.
使	कराना; बना देना	उसकी बातों ने मुझे बहुत प्रभावित किया।	করানো; প্রভাবিত করা	তার কথায় আমি খুব আবেগাপ্লুত হয়েছি।	maging sanhi; magpaantig	Labis akong naantig ng sinabi niya.
使用	इस्तेमाल करना; प्रयोग करना	चीनी लोग आम तौर पर खाना खाने के लिए चॉपस्टिक इस्तेमाल करते हैं।	ব্যবহার করা	চীনারা সাধারণত খাওয়ার সময় চপস্টিক ব্যবহার করে।	gumamit	Karaniwang gumagamit ng chopstick ang mga Tsino kapag kumakain.
世纪	सदी; शताब्दी	अब इक्कीसवीं सदी है।	শতাব্দী	এখন একবিংশ শতাব্দী।	siglo	Ika-dalawampu't isang siglo na ngayon.
是否	क्या; कि नहीं	वह आ पाएगा या नहीं, मुझे अभी ठीक से पता नहीं।	কি না; কিনা	সে আসতে পারবে কি না, আমি এখনও ঠিক জানি না।	kung; kung ba	Hindi ko pa tiyak kung makakapunta siya.
适合	उपयुक्त होना; सूट करना	हरे कपड़े मुझ पर बहुत अच्छे नहीं लगते।	মানানসই হওয়া; উপযুক্ত হওয়া	সবুজ পোশাক আমার সঙ্গে খুব মানায় না।	bagay; angkop	Hindi gaanong bagay sa akin ang berdeng damit.
适应	अनुकूल होना; अभ्यस्त होना	क्या तुम उत्तर की जलवायु के अनुकूल हो सकते हो?	মানিয়ে নেওয়া	তুমি কি উত্তরের জলবায়ুর সঙ্গে মানিয়ে নিতে পারবে?	umangkop; masanay	Kaya mo bang masanay sa klima sa hilaga?
收	प्राप्त करना; लेना	मुझे तुम्हारा पत्र मिल गया है।	পাওয়া; গ্রহণ করা	আমি তোমার চিঠি পেয়েছি।	tumanggap; makuha	Natanggap ko ang liham mo.
收入	आमदनी; आय	उसकी आमदनी पहले से ज़्यादा हो गई है।	আয়; উপার্জন	তার আয় আগের চেয়ে বেড়েছে।	kita; kinikita	Mas mataas na ang kita niya kaysa dati.
收拾	समेटना; व्यवस्थित करना	मैं सामान बाँध रहा हूँ।	গুছানো; গোছানো	আমি লাগেজ গুছাচ্ছি।	ayusin; mag-impake	Nag-iimpake ako ng bagahe.
首都	राजधानी	चीन की राजधानी बीजिंग है।	রাজধানী	চীনের রাজধানী বেইজিং।	kabisera	Beijing ang kabisera ng Tsina.
首先	सबसे पहले	सबसे पहले अच्छी तरह आराम करना चाहिए, फिर अच्छा काम किया जा सकता है।	প্রথমে; সবার আগে	প্রথমে ভালোভাবে বিশ্রাম নিতে হবে, তারপর ভালোভাবে কাজ করা যাবে।	una; una sa lahat	Una, kailangan munang makapagpahinga nang mabuti; pagkatapos ay makakapagtrabaho nang mabuti.
受不了	सह न पाना; बर्दाश्त न होना	मौसम बहुत गरम है, मैं सह नहीं पा रहा हूँ।	সহ্য করতে না পারা	আবহাওয়া খুব গরম, আমি সহ্য করতে পারছি না।	hindi matiis	Sobrang init ng panahon, hindi ko matiis.
受到	प्राप्त होना; सामना करना	उसका उपन्यास पाठकों में बहुत लोकप्रिय हुआ।	পাওয়া; সম্মুখীন হওয়া	তার উপন্যাস পাঠকদের কাছে ভালোভাবে গ্রহণ করা হয়েছে।	makatanggap; matamo	Tinanggap nang mabuti ng mga mambabasa ang nobela niya.
售货员	विक्रेता; दुकान सहायक	मैं शॉपिंग मॉल में विक्रेता का काम करता हूँ।	বিক্রয়কর্মী	আমি শপিং মলে বিক্রয়কর্মী হিসেবে কাজ করি।	tindera; tindero	Nagtatrabaho ako bilang tindero sa pamilihan.
输	हारना	इस प्रतियोगिता में हम हार गए।	হারা	এই প্রতিযোগিতায় আমরা হেরেছি।	matalo	Natalo kami sa larong ito.
熟悉	परिचित होना; अच्छी तरह जानना	मैं उन सबको अच्छी तरह जानता हूँ।	পরিচিত হওয়া; ভালোভাবে জানা	আমি তাদের সবাইকে ভালোভাবে চিনি।	pamilyar; kilala	Kilalang-kilala ko silang lahat.
数量	संख्या; मात्रा	नाम लिखाने वालों की संख्या बहुत ज़्यादा है।	সংখ্যা; পরিমাণ	নিবন্ধনকারীর সংখ্যা অনেক।	dami; bilang	Marami ang bilang ng mga nagpatala.
数字	अंक; संख्या	कृपया अंकों को साफ़-साफ़ लिखिए।	সংখ্যা; অঙ্ক	দয়া করে সংখ্যাগুলো পরিষ্কার করে লিখুন।	numero; bilang	Pakisulat nang malinaw ang mga numero.
