simplified	SR	example_SR
凝固	очврснути	После хлађења восак ће полако очврснути.
凝聚	окупити	Заједнички циљ може окупити снагу тима.
凝视	нетремице гледати	Нетремице је гледао светла у даљини.
拧	уштинути	Руком ме је уштинуо.
宁肯	радије	Она би радије доживела неуспех него одустала од принципа.
宁愿	радије	Радије бих пешачио него чекао аутобус.
扭转	преокренути	Нова политика је преокренула губитничку ситуацију.
纽扣儿	дугме	Са ове кошуље је отпало једно дугме.
农历	лунарни календар	Пролећни празник се слави по лунарном календару.
浓厚	снажан	Он има снажно интересовање за историју.
奴隶	роб	У древном друштву постојао је робовласнички систем.
挪	померити	Молим те помери столицу мало у страну.
虐待	злостављати	Закон забрањује злостављање деце.
哦	ох	Ох, коначно разумем.
殴打	претући	Полиција је ухапсила човека који је претукао пролазника.
偶像	идол	Она тог писца сматра својим идолом.
呕吐	повраћати	Почео је да повраћа након што је појео покварену храну.
趴	лежати потрбушке	Маче је лежало потрбушке на прозорској дасци и спавало.
徘徊	оклевати	Дуго је оклевао на улазу.
排斥	одбијати	Нови материјал одбија влагу.
排除	искључити	Лекар је најпре искључио озбиљну болест.
排放	испуштање	Фабрике морају смањити испуштање издувних гасова.
排练	вежбати	Глумци вежбају нови програм.
派别	фракција	У овој организацији постоје различите фракције.
派遣	послати	Компанија је послала инжењере на терен.
攀登	пењати се	Планирају да се сутра попну на снежну планину.
盘旋	кружити	Авион је кружио изнад аеродрома.
判决	пресуда	Суд је данас објавио пресуду.
畔	обала	Деца су шетала обалом језера.
庞大	огроман	Овај пројекат захтева огромна средства.
抛弃	напустити	Он не жели да напусти свој сан.
泡沫	пена	У чаши има много беле пене.
培育	неговати	Школа настоји да негује осећај одговорности код ученика.
配备	опремити	Нови ауто је опремљен безбедносним системом.
配偶	супружник	У пријави треба попунити податке о супружнику.
配套	пратећи	Насеље има потпуне пратеће садржаје.
盆地	котлина	У овој котлини лети је веома вруће.
烹饪	кување	Кување захтева стрпљење и искуство.
捧	држати обема рукама	Обема рукама је држала букет цвећа.
劈	цепати	Радник је секиром цепао дрва.
批发	велепродаја	Ова продавница се углавном бави велепродајом воћа.
批判	критиковати	Чланак је критиковао ово погрешно гледиште.
疲惫	исцрпљен	После дугог путовања сви су били исцрпљени.
疲倦	уморан	Непрекидан рад га је уморио.
皮革	кожа	Ова торба је направљена од коже.
屁股	задњица	Дете је после пада болела задњица.
譬如	на пример	На пример, можемо прво урадити мали тест.
偏差	одступање	У резултатима експеримента постоји очигледно одступање.
偏见	предрасуда	Треба да избегавамо етничке предрасуде.
偏僻	забацен	Ово село је на веома забаченом месту.
偏偏	баш	Што сам више журио, ауто је баш постајао све спорији.
片断	одломак	У филму има неколико одличних одломака.
片刻	тренутак	Молим те сачекај ме овде тренутак.
漂浮	плутати	Опало лишће плутало је по води.
飘扬	вијорити се	Државна застава се вијорила на ветру.
撇	одбацити	Одбацио је стари план у страну.
拼搏	борити се	Млади треба да се боре за своје идеале.
拼命	свом снагом	Свом снагом је јурио за екипом испред себе.
贫乏	оскудан	Садржај овог чланка је прилично оскудан.
贫困	сиромаштво	Влада помаже сиромашним породицама.
频繁	чест	У последње време овде су саобраћајне несреће честе.
频率	фреквенција	Фреквенција овог звука је веома висока.
品尝	пробати	Гости пробају локалну храну.
品德	морални карактер	Школа цени васпитање моралног карактера ученика.
品质	квалитет	Квалитет производа ове компаније је стабилан.
品种	сорта	На пијаци има много сорти воћа.
屏幕	екран	Молим те смањи осветљеност екрана.
屏障	заштитна баријера	Шума је важна заштитна баријера од ветра.
平凡	обичан	Много година је радио на обичном радном месту.
平面	тлоцрт	Дизајнер је нацртао тлоцрт куће.
平坦	раван	Овај пут је веома раван.
平行	паралелан	Ове две линије су међусобно паралелне.
平庸	просечан	Он не жели да живи просечним животом.
平原	равница	Воз је прошао кроз широку равницу.
评估	проценити	Стручњаци процењују ризике пројекта.
评论	коментарисати	Читаоци могу да коментаришу испод чланка.
坡	падина	Ауто се полако попео уз падину.
泼	просути	Немој просути воду по поду.
颇	прилично	Овај резултат је прилично изненађујући.
破例	направити изузетак	Менаџер је за њега направио изузетак и одобрио захтев.
迫不及待	једва чекати	Деца су једва чекала да отворе поклоне.
迫害	прогон	У историји су многи људи трпели прогон.
魄力	одлучност	Вођи је потребна одлучност у доношењу одлука.
扑	бацити се	Дете се одједном бацило мајци у наручје.
铺	поставити	Радници постављају нови тепих.
普及	раширити се	Интернет се већ раширио у градовима.
朴实	једноставан	Његов језик је једноставан и искрен.
朴素	скроман	Она воли скроман начин живота.
瀑布	водопад	Туристи су стајали крај водопада и фотографисали се.
凄凉	пуст	Планинско село зими изгледа веома пусто.
期望	очекивање	Родитељи имају велика очекивања од деце.
期限	рок	Рок за пријаву је овај петак.
欺负	малтретирати	Старија деца не би требало да малтретирају млађу.
欺骗	преварити	Лажна реклама је преварила потрошаче.
奇妙	чудесан	Природа има много чудесних појава.
旗袍	ћипао	Она је у црвеном ћипау дошла на вечерњу забаву.
旗帜	застава	На тргу су се вијориле живописне заставе.
歧视	дискриминација	Закон забрањује сваки облик дискриминације.
齐全	потпун	Ова продавница има потпун избор алата.
齐心协力	заједнички радити	Сви су заједнички радили и завршили задатак.
乞丐	просјак	Поред пута је седео стари просјак.
企图	покушај	Покушао је да сакрије стварну ситуацију.
启程	кренути на пут	Делегација ће кренути на пут сутра рано ујутру.
启蒙	почетно образовање	Ова књига је погодна за почетно читање деце.
启事	обавештење	На школској капији је залепљено обавештење о запошљавању.
启示	поука	Овај неуспех нам је дао важну поуку.
岂有此理	бесмислен	Таква наплата је заиста бесмислена.
起草	саставити нацрт	Адвокат саставља нацрт уговора.
起初	испрва	Испрва није веровао тој вести.
起伏	успони и падови	Планински пут има успоне и падове према терену.
起哄	правити неред	Ученици не треба да праве неред на часу.
起码	барем	Барем је требало да ме унапред обавестиш.
起源	порекло	Овај празник води порекло из давних времена.
器材	опрема	Лабораторији је потребна нова наставна опрема.
器官	орган	Срце је важан орган људског тела.
气概	дух	Ова песма показује јуначки дух.
气功	ћигонг	Деда сваког јутра вежба ћигонг.
气魄	импозантност	Овај мост има велику импозантност.
气色	тен	После одмора тен му је изгледао много боље.
气势	замах	Екипа је од почетка имала снажан замах.
气味	мирис	У кухињи се осећао мирис печеног хлеба.
气象	временске прилике	Временске прилике на овој висоравни брзо се мењају.
气压	ваздушни притисак	Пад ваздушног притиска може донети кишу.
气质	темперамент	Она има миран темперамент.
迄今为止	до сада	До сада експеримент напредује глатко.
掐	убрати	Убрала је један мали цвет.
恰当	прикладан	Твој одговор је веома прикладан.
恰到好处	баш како треба	Слаткоћа овог јела је баш како треба.
恰巧	случајно	Кад сам стигао на станицу, случајно је почела киша.
洽谈	преговарати	Две стране преговарају о детаљима сарадње.
千方百计	свим средствима	Свим средствима су тражили решење.
牵	водити за руку	Мајка је водила дете за руку преко улице.
牵扯	укључивати	Ова ствар укључује много одељења.
牵制	обуздати	Противничка одбрана је обуздала напад.
签署	потписати	Две компаније су потписале споразум.
谦逊	скроман	После успеха је и даље остао скроман.
迁就	попуштати	Родитељи не могу увек попуштати деци.
迁徙	селити се	Селице се сваке године селе према годишњем добу.
前景	изгледи	Ова индустрија има добре изгледе.
前提	предуслов	Поверење је предуслов за сарадњу.
潜力	потенцијал	Овај ученик има велики потенцијал.
潜水	ронити	Отишли су на море да уче роњење.
潜移默化	неприметан утицај	Породично окружење може неприметно утицати на децу.
谴责	осудити	Међународна заједница је осудила насиље.
抢劫	опљачкати	Полиција је ухватила осумњиченог који је опљачкао банку.
强制	приморати	Ново правило приморава возаче да вежу појас.
强迫	присиљавати	Не присиљавај децу да раде оно што не воле.
抢救	спасавати	Лекари спасавају повређеног радника.
桥梁	мост	Језик је мост за културну размену.
窍门	трик	За учење изговора постоје неки трикови.
翘	подићи	Подигао је једну ногу на столицу.
切实	изводљив	Потребан нам је практичан и изводљив план.
锲而不舍	истрајност	Истрајно је проучавао овај проблем.
亲密	близак	Они су увек одржавали близак однос.
亲热	срдачан	Старац је срдачно поздравио госте.
侵犯	повредити	Овакво понашање повређује личну приватност.
侵略	инвазија	Људи се противе сваком облику инвазије.
钦佩	дивити се	Веома се дивим њеној храбрости.
勤俭	вредан и штедљив	Баки је цео живот домаћинство било вредно и штедљиво.
勤劳	вредан	Вредни људи увек могу створити прилике.
倾听	пажљиво слушати	Наставник пажљиво слуша мишљења ученика.
倾向	склоност	Млади потрошачи имају склоност ка куповини на интернету.
倾斜	нагнути се	После пљуска зид је почео да се нагиње.
清澈	бистар	Планински поток је веома бистар.
清晨	рано јутро	Ваздух у рано јутро је посебно свеж.
清除	уклонити	Радници су уклонили снег са пута.
清洁	чист	Болница мора одржавати чисто окружење.
清理	рашчистити	За викенд смо рашчистили складиште.
清晰	јасан	Ова фотографија је веома јасна.
清醒	бистре главе	После кафе био је много бистрије главе.
清真	халал	У близини има један халал ресторан.
情报	обавештајни податак	Новинар је добио важан обавештајни податак.
情节	радња	Радња романа је веома напета.
情理	разум	Његов захтев није у складу са разумом.
情形	ситуација	Ситуација на лицу места била је сложенија него што се очекивало.
晴朗	ведар	Данашње небо је посебно ведро.
请柬	позивница	Послали су свадбене позивнице рођацима и пријатељима.
请教	посаветовати се	Желео бих да се са вама посаветујем о једном питању.
请示	затражити упутство	О овој ствари прво треба затражити упутство од руководиоца.
请帖	позивница	На столу је стајала рођенданска позивница.
丘陵	брежуљци	У овој области има много брежуљака.
区分	разликовати	Дете већ уме да разликује лево и десно.
区域	подручје	У овом подручју је забрањено паркирање.
屈服	попустити	Није попустио под притиском.
曲折	сложен	Прошли су кроз сложене преговоре.
驱逐	протерати	Полиција је протерала изгреднике.
渠道	канал	Компанија продаје производе новим каналом.
取缔	забранити	Влада је забранила нелегално тржиште.
曲子	мелодија	Мелодија ове песме је веома лепа.
趣味	занимљивост	Ова игра има много занимљивости.
圈套	замка	Замало је упао у замку преваранта.
全局	целина	Руководилац мора да разматра интересе целине.
全力以赴	дати све од себе	Даћемо све од себе да завршимо задатак.
拳头	песница	Стиснуо је песницу и припремио се за меч.
权衡	одмерити	Морамо одмерити трошкове и ефекат.
权威	ауторитет	Овај професор је ауторитет у тој области.
犬	пас	Ова врста пса је погодна за чување куће.
缺口	пукотина	На зиду има мала пукотина.
缺席	одсуство	Због болести је одсуствовао са састанка.
缺陷	мана	Овај дизајн има очигледну ману.
瘸	хром	Лева нога му је мало хрома.
确保	осигурати	Молим те осигурај да су врата закључана.
确立	утврдити	Компанија је утврдила нове развојне циљеве.
确切	тачан	Не знам тачно време.
确信	бити уверен	Уверен сам да ће стићи на време.
群众	народ	Народ веома подржава нову политику.
染	обојити	Обојила је косу у црно.
嚷	викати	Не вичи гласно у ходнику.
让步	уступак	Обе стране су направиле неке уступке.
饶恕	опростити	На крају је изабрала да опрости другој страни.
扰乱	пореметити	Бука је пореметила ред у учионици.
惹祸	изазвати невољу	Неопрезне шале лако могу изазвати невољу.
热泪盈眶	очи пуне суза	Кад је чула добре вести, очи су јој се напуниле сузама.
热门	популаран	Вештачка интелигенција је популарна тема.
人道	хуманост	Акција спасавања показала је дух хуманости.
人格	достојанство	Вређање других повређује лично достојанство.
人工	вештачки	Ова река је вештачки ископана.
人家	други људи	Не упоређуј се стално са другим људима.
人间	људски свет	Пролеће испуњава људски свет животном снагом.
人士	особе	Особе из свих кругова учествовале су на разговору.
人为	људски узрок	Ову несрећу су изазвали људски фактори.
人性	људска природа	Овај филм говори о људској природи.
人质	талац	Полиција је успешно спасила таоца.
仁慈	милосрдан	Овај лекар је веома милосрдан према пацијентима.
忍耐	стрпљење	Чекање у дугом реду захтева мало стрпљења.
忍受	подносити	Не могу да поднесем овдашњу буку.
任命	именовати	Управни одбор ју је именовао за менаџера.
任性	својеглав	Претерана својеглавост детета може утицати на развој.
任意	произвољно	Молим те немој произвољно мењати податке.
任重道远	дуг и тежак пут	Реформа образовања има дуг и тежак пут.
认定	утврдити	Полиција је утврдила да је то несрећа.
认可	признање	Његов план је добио признање свих.
仍旧	и даље	Много година касније и даље је живео овде.
日新月异	брз развој	Технологија се из дана у дан брзо развија.
日益	све више	Еколошки проблеми постају све озбиљнији.
容貌	изглед	Године су промениле његов изглед.
容纳	примити	Ова сала може примити пет стотина људи.
容器	посуда	Молим те сипај течност у стаклену посуду.
容忍	толерисати	Компанија не може толерисати превару.
溶解	растворити се	Со ће се растворити у води.
荣幸	почаствован	Почаствован сам што могу да присуствујем састанку.
荣誉	част	Ова медаља представља највишу част.
融化	отопити се	Сунчева светлост је полако отопила лед и снег.
融洽	складан	Односи међу колегама су веома складни.
揉	трљати	Мама ми је нежно трљала рамена.
柔和	благ	Светло је благо и не боде очи.
儒家	конфучијанство	Конфучијанска мисао је утицала на културу источне Азије.
弱点	слабост	Непажња је његова главна слабост.
若干	неколико	На састанку је изнето неколико предлога.
撒谎	лагати	Деца не треба да лажу.
散文	проза	Она воли да чита модерну прозу.
散布	ширити	Неко је на интернету ширио гласине.
散发	одашиљати	Врт одаје свеж мирис.
丧失	изгубити	Није изгубио самопоуздање.
骚扰	узнемиравати	Молим вас немојте узнемиравати друге путнике.
嫂子	снаја	Снаја кува веома укусно.
刹车	кочити	Возач је изненада закочио.
啥	шта	Шта си малопре рекао?
筛选	филтрирати	Систем ће аутоматски филтрирати биографије.
山脉	планински ланац	Овај планински ланац је веома дуг.
闪烁	треперити	Светла у даљини су непрестано треперила.
擅长	бити добар у	Добар је у решавању сложених проблема.
擅自	без дозволе	Запослени не смеју без дозволе напуштати радно место.
伤脑筋	главобоља	Овај проблем је заиста главобоља.
商标	заштитни знак	Компанија је регистровала нови заштитни знак.
上级	надређени	Известио је надређене о ситуацији.
上进	амбициозан	Она је увек била амбициозна.
上任	ступити на дужност	Нови менаџер ступа на дужност следеће недеље.
上瘾	постати зависан	Многи људи постају зависни од кратких видео-снимака.
上游	горњи ток	Загађење долази из горњег тока реке.
尚且	чак	Чак и одрасли могу да погреше.
捎	пренети	Молим те пренеси ми поруку.
梢	врх гране	Птица је стала на врх крошње.
哨	стражар	На улазу је један стражар.
奢侈	раскошан	Таква потрошња је превише раскошна.
舌头	језик	Опекао је језик.
摄氏度	степен Целзијуса	Данашња температура је тридесет степени Целзијуса.
涉及	обухватати	Извештај обухвата више одељења.
社区	заједница	Заједница је организовала здравствено предавање.
设立	основати	Школа је основала стипендију.
设想	замисао	О овој замисли још треба расправити.
设置	подесити	Молим те поново подеси лозинку.
呻吟	стењати	Пацијент је тихо стењао.
深奥	дубок	Садржај ове књиге је веома дубок.
深沉	дубок	Глас му је био тих и дубок.
深情厚谊	дубоко пријатељство	Народи две земље су изградили дубоко пријатељство.
申报	пријавити	Путници треба искрено да пријаве предмете.
绅士	господин	Понаша се као господин.
神经	живац	Стрес може утицати на нервни систем.
神奇	чаробан	Пејзаж овде је веома чаробан.
神气	поносан изглед	Данас је изгледао посебно поносно.
神圣	свет	Ово је света дужност.
神态	израз	Њен израз је био веома миран.
神仙	бесмртник	Легенда каже да у планини живе бесмртници.
审查	прегледати	Платформа прегледа објављени садржај.
审理	разматрати	Суд разматра овај предмет.
审美	естетски укус	Његов естетски укус је веома особен.
审判	суђење	Јавно суђење привукло је пажњу медија.
慎重	опрезан	Ова одлука мора бити донета опрезно.
渗透	продрети	Кишница је полако продрла у земљиште.
声明	изјава	Компанија је издала званичну изјаву.
声势	замах	Ова промотивна кампања има велики замах.
声誉	углед	Квалитет производа утиче на углед бренда.
牲畜	стока	Сточари су отерали стоку назад на пашњак.
生存	опстати	Дивљим животињама је потребан простор за опстанак.
生机	животна снага	Пролећна киша испуњава земљу животном снагом.
生理	физиологија	Сан утиче на физиолошко стање човека.
生疏	зарђао	После година без вежбања, његово свирање клавира је мало зарђало.
生态	екологија	Заштита шума повезана је са еколошком равнотежом.
生物	организам	У океану има много необичних организама.
生效	ступити на снагу	Нова уредба званично ступа на снагу сутра.
生肖	кинески хороскопски знак	Који је твој кинески хороскопски знак?
生锈	зарђати	Ланац бицикла је већ зарђао.
生育	плодност	Болница пружа саветовање о плодности.
省会	главни град покрајине	Ченгду је од давнина главни град покрајине Сичуан.
盛产	обилно производити	Ово место обилно производи квалитетан чај.
盛开	бити у пуном цвату	Трешње у парку су у пуном цвату.
盛情	срдачно гостопримство	Захваљујемо домаћину на срдачном гостопримству.
盛行	бити распрострањен	Тај стил је некада био веома распрострањен.
胜负	исход	Последњи минут утакмице одлучио је исход.
失事	несрећа	Узрок авионске несреће се још истражује.
失误	грешка	Мала грешка је изазвала кашњење пројекта.
失踪	нестати	Полиција тражи нестало дете.
尸体	тело	Спасилачки тим је пронашао тело жртве.
师范	педагошки	Дипломирала је на педагошком универзитету.
施加	вршити	Родитељи не би требало да врше превелик притисак.
施展	искористити	Коначно је добио прилику да искористи свој таленат.
十足	потпун	Потпуно је уверен у резултат.
实惠	повољан	Цене у овој продавници су веома повољне.
实力	снага	Укупна снага тима је веома велика.
实施	спроводити	Влада је почела да спроводи нови план.
实事求是	тражити истину из чињеница	У истраживању треба тражити истину из чињеница.
实行	примењивати	Компанија примењује флексибилан систем рада.
实质	суштина	Суштина проблема се није променила.
拾	покупити	Сагнуо се да покупи кључ са земље.
时常	често	Деда често прича о стварима из младости.
时而	понекад	Време је понекад сунчано, а понекад облачно.
时光	време	Лепи тренуци увек делују кратко.
时机	тренутак	Сада није добар тренутак за преговоре.
时事	актуелна збивања	Ученици сваке недеље разговарају о међународним актуелним збивањима.
石油	нафта	Цене нафте су поново порасле.
识别	препознати	Систем може да препозна различита лица.
使命	мисија	Заштита животне средине је заједничка мисија.
世代	генерације	Овај занат се у породици преноси генерацијама.
事故	несрећа	У овој несрећи није било жртава.
事迹	дела	Његова јуначка дела су се широко проширила.
事件	догађај	Овај догађај је привукао пажњу друштва.
事态	ситуација	Влада контролише развој ситуације.
事务	послови	Она је одговорна за свакодневне послове компаније.
事项	ставка	Молимо потврдите важне ставке у уговору.
事业	каријера	Он образовање сматра својом животном каријером.
势必	неизбежно	Раст трошкова неизбежно ће утицати на цене.
势力	утицај	Локални пословни утицај је веома јак.
是非	спор	Не жели да се уплиће у канцеларијске спорове.
示范	показати	Наставник је прво показао пример.
示威	протест	У центру града одржан је миран протест.
示意	дати знак	Менаџер је дао знак свима да буду тихи.
视力	вид	Дуго гледање у екране може утицати на вид.
视频	видео	Молим те, пошаљи ми видео.
视线	видно поље	Густа магла је заклонила возачу видно поље.
视野	видици	Путовање може проширити видике.
试图	покушати	Покушао је да објасни своју одлуку.
试验	експеримент	Научници су спровели много експеримената.
适宜	погодан	Клима је овде погодна за живот.
逝世	преминути	Овај писац је преминуо прошле године.
释放	ослободити	Суд је одлучио да ослободи оптуженог.
收藏	сакупљати	Сакупио је много старих поштанских марки.
收缩	скупљати се	Хладан ваздух може изазвати скупљање метала.
收益	принос	Принос од улагања био је већи од очекиваног.
收音机	радио	Бака сваки дан слуша радио.
守护	чувати	Лекари чувају животе пацијената.
手法	техника	Редитељева техника снимања је веома особена.
手势	гест	Гестом је показао сагласност.
手艺	вештина	Вештина овог мајстора је веома добра.
首饰	накит	Носила је једноставан сребрни накит.
首要	најважнији	Безбедност је најважнији приоритет.
受罪	патити	Пацијент је много патио после операције.
授予	доделити	Школа му је доделила почасну диплому.
书法	калиграфија	Од детињства вежба калиграфију.
书记	секретар	Сеоски партијски секретар је председавао састанком.
书籍	књиге	Библиотека има велики број књига.
书面	писмени	Молимо доставите писмени доказ.
疏忽	непажња	Ова грешка је настала због непажње на послу.
疏远	удаљити се	Неспоразум је учинио да се њих двоје постепено удаље.
舒畅	опуштен	После шетње осећао сам се веома опуштено и срећно.
数额	износ	Износ одштете још није утврђен.
束	свежањ	Купила је свежањ цвећа.
束缚	ограничити	Традиционалне идеје су ограничиле његов избор.
树立	успоставити	Компанија треба да успостави добар имиџ.
竖	усправан	Молим те, постави знак усправно.
耍	играти се	Немој да се играш телефоном током радног времена.
衰老	старење	Вежбање може успорити старење.
衰退	рецесија	Економска рецесија је утицала на запосленост.
率领	водити	Капетан је водио тим напред.
涮火锅	јести кинески врели лонац	Зими сви воле да једу кинески врели лонац.
双胞胎	близанци	Они су пар близанаца.
爽快	отворен	Одговорила је веома отворено.
水利	водопривреда	Овај регион придаје значај водопривредној изградњи.
水龙头	славина	Славина у кухињи цури.
水泥	цемент	Радници су превезли цемент на градилиште.
瞬间	тренутак	Сва светла су се угасила у једном тренутку.
司法	правосуђе	Независност правосуђа захтева институционалну заштиту.
司令	командант	Командант је издао наређење за повлачење.
思念	недостајати	Често јој недостаје завичај.
思索	размишљати	Спустио је главу и дуго размишљао.
思维	мишљење	Ова обука може побољшати логичко мишљење.
斯文	отмен	Говори отмено и благо.
私自	без дозволе	Ученици не смеју да напусте школу без дозволе.
死亡	смрт	Несрећа је изазвала више смртних случајева.
四肢	удови	Пре вежбања треба разгибати удове.
寺庙	храм	На планини се налази стари храм.
肆无忌惮	без икаквих обзира	Кршио је правила без икаквих обзира.
饲养	узгајати	Фарма узгаја много млечних крава.
耸	слегнути раменима	Када је то чуо, само је слегнуо раменима.
艘	брод	У луци су усидрена три теретна брода.
苏醒	повратити свест	Пацијент је коначно повратио свест.
俗话	пословица	Како каже пословица, вежба чини мајстора.
塑造	обликовати	Окружење може обликовати човеков карактер.
素食	вегетаријанска храна	Овај ресторан нуди вегетаријанску храну.
素质	квалитет	Услужно особље је високог квалитета.
诉讼	тужба	Обе стране су одлучиле да то реше тужбом.
算数	држати реч	Треба да држиш реч коју си дао.
随即	одмах	После завршетка састанка, одмах је отишао.
随意	произвољно	Молимо не мењајте подешавања произвољно.
岁月	године	Пролазне године су промениле његов изглед.
隧道	тунел	Воз је прошао кроз дугачак тунел.
损坏	оштетити	Јака киша је оштетила пут.
索取	затражити	Купци могу бесплатно затражити узорке.
索性	једноставно	Киша је била прејака, па једноставно нисмо изашли.
塌	срушити се	Кров старе куће се срушио.
踏实	спокојан	После завршетка задатка, осећао сам се спокојно.
塔	торањ	У центру града налази се висок торањ.
台风	тајфун	Очекује се да ће тајфун сутра стићи до копна.
太空	свемир	Човечанство је одувек истраживало свемир.
泰斗	водећи ауторитет	Он је водећи ауторитет у лингвистици.
摊	тезга	Поставила је тезгу са воћем на пијаци.
瘫痪	парализа	Саобраћајна несрећа му је паралисала доње удове.
贪婪	похлепа	Похлепа може уништити човека.
贪污	корупција	Званичник је био под истрагом због корупције.
弹性	еластичност	Овај материјал је веома еластичан.
坦白	признати	На крају је признао истину.
叹气	уздахнути	Када је чуо резултат, није могао да не уздахне.
探测	открити	Опрема може открити подземну воду.
探索	истраживати	Научници настављају да истражују свемир.
探讨	размотрити	Стручњаци су размотрили план реформе.
探望	посетити	За викенд сам отишао у болницу да посетим пријатеља.
倘若	ако	Ако буде кише, догађај ће бити одложен.
掏	извадити	Извадио је кључ из џепа.
滔滔不绝	говорити без престанка	Када почне да говори о историји, говори без престанка.
淘汰	елиминисати	Ова екипа је рано елиминисана.
陶瓷	керамика	Ђингдежен је познат по керамици.
陶醉	очаран	Публика је била очарана музиком.
讨好	улагивати се	Не жели намерно да се улагује шефу.
特长	посебна вештина	Сликање је њена посебна вештина.
特定	одређен	Молимо поднесите пријаву у одређеном року.
特意	посебно	Дошао сам посебно да ти захвалим.
提拔	унапредити	Компанија ју је унапредила у руководиоца одељења.
提炼	издвојити	Фабрика издваја метал из руде.
提示	затражити	Систем ће затражити да унесете лозинку.
提议	предложити	Предложила је да сутра наставимо расправу.
题材	тема	Тема овог филма је свежа.
体裁	жанр	Романи и песме су различити жанрови.
体积	запремина	Ова кутија има велику запремину.
体谅	имати разумевања	Молим те, имај разумевања за његове тешкоће.
体面	угледан	Жели да пронађе угледан посао.
体系	систем	Компанија је изградила потпун систем обуке.
天才	геније	Ово дете се сматра музичким генијем.
天赋	дар	Она има дар за учење језика.
