simplified	SV	example_SV
局限	en begränsning	Den här metoden har tydliga begränsningar
举动	en handling	Hans handling rörde alla
举世瞩目	väcka världens uppmärksamhet	Det här projektet nådde resultat som väckte världens uppmärksamhet
举足轻重	ha avgörande betydelse	Det här företaget har avgörande betydelse i branschen
咀嚼	tugga	Man bör tugga långsamt när man äter
沮丧	nedstämd	Han kände sig mycket nedstämd efter förlusten
剧本	ett manus	Regissören håller på att revidera manuset
剧烈	våldsam	Marken skakade våldsamt
据悉	enligt uppgift	Enligt uppgift skjuts mötet upp till nästa vecka
聚精会神	koncentrera sig	Barnen lyssnade koncentrerat på lektionen
卷	rulla ihop	Han rullade ihop kartan och lade den i väskan
倔强	envis	Barnet har en mycket envis personlighet
决策	ett beslut	Ledningen diskuterar ett viktigt beslut
绝望	förtvivlan	Efter misslyckandet kände han en tid förtvivlan
觉悟	medvetenhet	Den här erfarenheten höjde hans medvetenhet
觉醒	vakna	Allmänhetens miljömedvetenhet håller på att vakna
军队	en armé	Armén anlände snabbt till katastrofområdet
君子	en gentleman	En gentleman bör låta ord och handling stämma överens
卡通	en tecknad film	Barnet gillar att titta på tecknade filmer
开采	bryta	Företaget ansvarar för att bryta mineraler
开除	utesluta	Skolan beslutade att utesluta eleven som fuskade
开阔	vid	Utsikten från bergstoppen är mycket vid
开朗	utåtriktad	Hon är utåtriktad och har många vänner
开明	öppensinnad	Föräldrarna har en mycket öppensinnad inställning
开辟	öppna	Staden öppnade en ny busslinje
开拓	utveckla	Företaget planerar att utveckla utländska marknader
开展	genomföra	Skolan genomförde en aktivitet om säkerhetsutbildning
开支	utgifter	Familjens månatliga utgifter ökade
刊登	publicera	Tidningen publicerade hans artikel
刊物	en publikation	Den här publikationen ges ut en gång i månaden
勘探	utforskning	Ingenjörsgruppen undersöker underjordiska vattenkällor
侃侃而谈	tala självsäkert	Han talade självsäkert och utförligt på mötet
砍伐	avverka	Det är förbjudet att avverka skog utan tillstånd
看待	se på	Vi bör se objektivt på den här frågan
慷慨	generös	Han donerade prispengarna generöst
抗议	protestera	Invånarna protesterade mot bygget av en ny fabrik
考察	inspektera	Experter åkte till platsen för att inspektera miljön
考古	arkeologi	Arkeologigruppen upptäckte gamla gravar
考核	utvärdera	Företaget utvärderar de anställdas prestationer varje år
考验	pröva	Den här krisen prövade gruppens förmåga
靠拢	närma sig	Lagmedlemmarna närmade sig mitten
磕	stöta till	Han stötte av misstag till bordshörnet
科目	ett ämne	Matematik är hans favoritämne
可观	betydande	Den här investeringen gav betydande avkastning
可口	god	Maten på den här restaurangen är god
可恶	avskyvärd	Den här sortens bedrägeri är verkligen avskyvärt
可行	genomförbar	Den här planen är i grunden genomförbar
渴望	längta efter	Barnen längtar efter fler möjligheter
克制	behärska sig	Man bör behärska sina känslor under en diskussion
刻不容缓	tåla inget dröjsmål	Att skydda vattenkällor tål inget dröjsmål
客户	en kund	Kunden är mycket nöjd med tjänsten
课题	ett ämne	Det här ämnet är värt djupare forskning
啃	gnaga	Barnet gnager på en majskolv
恳切	uppriktig	Han bad uppriktigt alla om hjälp
坑	en grop	Det finns en djup grop vid vägen
空洞	tom	Rapportens innehåll är tomt
空前绝后	utan motstycke	Föreställningen kan kallas utan motstycke
空想	en fantasi	Man kan inte lösa problem enbart med fantasier
空虚	tom	Efter all brådska kände han sig tom
孔	ett hål	Det finns ett litet hål i väggen
恐怖	skrämmande	Den filmen har en skrämmande stämning
恐吓	hota	Motparten hotade vittnet
恐惧	rädsla	Mörkret fick barnet att känna rädsla
空白	ett tomrum	Skriv under i tomrummet
空隙	en springa	Det finns en springa mellan dörren och golvet
口气	en ton	Hans ton var mycket hård
口腔	munhålan	Läkaren undersökte hans munhåla
口头	muntlig	De har bara ett muntligt avtal
口音	en accent	Hans mandarin har en svag accent
扣	spänna fast	Spänn fast säkerhetsbältet
哭泣	gråta	Flickan gömde sig i hörnet och grät
枯萎	vissna	Vattenbrist fick blommorna att vissna
枯燥	tråkig	Det här arbetet är lite tråkigt
苦尽甘来	efter svårigheter kommer lättnad	Efter många års uthållighet kom till slut lättnad efter svårigheterna
苦涩	bitter	Det här örtteet smakar bittert
挎	bära över armen	Hon gick ut med en tygväska över armen
跨	kliva över	Han klev över diket och fortsatte framåt
快活	glad	Barnen lekte glatt på gräset
宽敞	rymlig	Det här klassrummet är ljust och rymligt
宽容	tolerans	Samhället behöver mer förståelse och tolerans
款待	ta emot varmt	Värden tog varmt emot gästerna
款式	en stil	Det här plagget har en mycket ny stil
筐	en korg	Han bar hem en korg äpplen
况且	dessutom	Vägen är lång, och dessutom blir det snart mörkt
旷课	skolka	Elever som skolkar utan skäl blir antecknade
框架	en ram	Rapportens ram måste bestämmas först
矿产	mineraler	Det här området är rikt på mineraltillgångar
亏待	behandla orättvist	Företaget kommer inte att behandla flitiga anställda orättvist
亏损	en förlust	Fabriken gjorde stora förluster i år
捆绑	binda ihop	Bind ihop de här lådorna ordentligt
扩充	utöka	Skolan planerar att utöka bibliotekets samling
扩散	sprida sig	Ryktet spreds snabbt på nätet
扩张	expansion	Företaget expanderar sin verksamhet försiktigt
啦	en satsfinal partikel	Oroa dig inte, allt kommer att bli bättre
喇叭	en tuta	Biltutan ljöd plötsligt
蜡烛	ett ljus	Det satt ljus på födelsedagstårtan
来历	ursprung	Ursprunget till den här kulturreliken är oklart
来源	en källa	Nyheter måste ange informationskällan
栏目	en programpunkt	Den här programpunkten sänds en gång i veckan
懒惰	lathet	Lathet kan påverka studieresultaten
狼狈	eländig	Efter regnet var han genomblöt och såg mycket eländig ut
狼吞虎咽	sluka maten	Han var utsvulten och slukade maten
捞	fiska upp	Fiskaren drog upp ett nät ur floden
唠叨	tjata	Mamman tjatar alltid om småsaker
牢固	stadig	Den här bron har en mycket stadig konstruktion
牢骚	klagomål	Han är full av klagomål men vill inte förändras
乐趣	glädje	Läsning ger henne mycket glädje
乐意	gärna	Jag hjälper dig gärna att ändra ditt CV
雷达	en radar	Radarn upptäckte ett flygplan på avstånd
类似	liknande	Liknande problem har förekommit tidigare
冷酷	kall	Hans ton lät mycket kall
冷落	försumma	Den nya medarbetaren kände sig försummad
冷却	svalna	Maskinen måste först svalna innan den repareras
愣	stelna	Han stelnade till när han hörde nyheten
黎明	gryning	I gryningen vaknade staden långsamt
理睬	bry sig om	Han var arg och brydde sig inte om någon
理所当然	självklart	Ta inte andras hjälp som något självklart
理直气壮	med gott självförtroende	Med tillräckliga bevis talade han med gott självförtroende
理智	förnuft	Man bör behålla förnuftet vid konflikter
礼节	etikett	Olika kulturer har olika etikett
礼尚往来	ömsesidig artighet	Grannar värdesätter ömsesidig artighet
里程碑	en milstolpe	Den här framgången är en milstolpe för projektet
例外	ett undantag	Alla måste delta, utan undantag
利害	för- och nackdelar	Det här rör båda sidors intressen
力求	sträva efter	Vi strävar efter att minska felen till ett minimum
力所能及	inom ens förmåga	Gör sådant som ligger inom din förmåga
力争	arbeta hårt för	Gruppen arbetar hårt för att slutföra uppgiften i förväg
历代	generation efter generation	Forskare i generation efter generation har studerat frågan
历来	alltid	Den här staden har alltid värdesatt utbildning
立场	en ståndpunkt	Han redogjorde för sin ståndpunkt på mötet
立方	kubikmeter	Den här vattentanken rymmer tre kubikmeter
立交桥	en trafikplats	Den här trafikplatsen minskade trafikstockningen
立体	tredimensionell	Den här målningen har en stark tredimensionell känsla
立足	förankra sig	Företag bör förankra sig på den lokala marknaden
粒	ett korn	Det ligger några riskorn på bordet
廉洁	hederlig	Offentliga tjänstemän måste förbli hederliga och rena
联欢	ett samkväm	Klasskamraterna höll ett nyårssamkväm
联络	kontakta	Kontakta kunden så snart som möjligt
联盟	en allians	Flera länder bildade en handelsallians
联想	associera	Det här fotot får mig att tänka på barndomen
连年	år efter år	Det här området har drabbats av översvämningar år efter år
连锁	en kedja	Företaget driver kedjesupermarknader
连同	tillsammans med	Skicka fakturan tillsammans med kontraktet
良心	samvete	Man bör leva så att man kan stå för sitt samvete
晾	lufttorka	Hon hängde kläderna på balkongen för att torka
谅解	förståelse	Jag hoppas att du kan visa förståelse för våra svårigheter
辽阔	vidsträckt	Grässlätten är vidsträckt och verkar aldrig ta slut
列举	räkna upp	Läraren räknade upp tre exempel
临床	klinisk	Det här läkemedlet genomgår kliniska prövningar
淋	bli genomblöt	Bli inte genomblöt i regnet för länge
吝啬	snål	Han är aldrig snål mot sina vänner
伶俐	smart	Den lilla flickan är smart och snabbtänkt
凌晨	tidig morgon	Flygplanet lyfter klockan tre tidigt på morgonen
灵感	inspiration	Musiken gav honom skapande inspiration
灵魂	en själ	Frihet är själen i det här verket
灵敏	känslig	Det här instrumentet reagerar mycket känsligt
零星	spridd	Det syntes spridda ljus på natthimlen
领会	fatta	Han fattade snabbt vad läraren menade
领事馆	ett konsulat	Han gick till konsulatet för att ordna sitt visum
领土	territorium	Varje land värdesätter sin territoriella integritet
领悟	inse	Efter misslyckandet insåg han vad ansvar betyder
领先	ligga före	Deras teknik ligger för närvarande före konkurrenternas
领袖	en ledare	Den här ledaren är djupt respekterad av folket
溜	slinka ut	Valpen slank ut genom dörrspringan
流浪	vandra omkring	Han vandrade en gång omkring från plats till plats när han var ung
流露	visa	Glädje syntes i hennes ansikte
流氓	en huligan	Polisen grep flera gatuhuliganer
流通	cirkulera	Den här valutan cirkulerade en gång lokalt
留恋	ha svårt att lämna	Vid examen hade alla svårt att lämna campus
留念	ha som minne	Vi tog bilder vid skolporten som minne
留神	vara uppmärksam	Var uppmärksam när du korsar vägen
聋哑	dövstum	Skolan ger hjälp till dövstumma barn
隆重	högtidlig	Konferensen hölls högtidligt i aulan
垄断	monopol	Ett monopol kan skada konkurrensen på marknaden
笼罩	täcka	Tät dimma täckte hela byn
搂	krama	Mamman kramade barnet försiktigt
炉灶	en spis	Spisen i köket behöver rengöras
轮船	ett fartyg	Fartyget lämnade långsamt hamnen
轮廓	en kontur	Konturen av de avlägsna bergstopparna är mycket tydlig
轮胎	ett däck	Bilens däck behöver bytas
论坛	ett forum	Experter höll tal på forumet
论证	underbygga argument	Rapporten behöver underbygga sitt argument ytterligare
啰唆	långrandig	Var inte så långrandig, gå direkt till saken
络绎不绝	i en oavbruten ström	Besökare kom till den gamla staden i en oavbruten ström
落成	färdigställas	Den nya sporthallen färdigställs officiellt i morgon
落实	genomföra	Mötet krävde att den nya politiken skulle genomföras snabbt
屡次	upprepade gånger	Han påminde upprepade gånger alla om att tänka på säkerheten
履行	uppfylla	Båda sidor måste uppfylla sina avtalsförpliktelser
掠夺	plundra	Kriget ledde till plundring av resurser
嘛	en självklarhetspartikel	Det här är ju enkelt
麻痹	förlamning	Långvariga framgångar kan lätt göra människor oförsiktiga
麻木	domnad	Kylan gjorde hans fingrar domnade
麻醉	bedöva	Före operationen bedövade läkaren patienten
码头	en kaj	Lastfartyget lade till vid kajen
蚂蚁	en myra	Myrorna bär mat
埋伏	ligga i bakhåll	Soldaterna låg i bakhåll i dalen
埋没	gå obemärkt förbi	Låt inte begåvade personer gå obemärkta förbi
埋葬	begrava	Byborna begravde den gamle mannen på sluttningen
脉搏	en puls	Sjuksköterskan mäter hans puls
迈	ta ett steg	Han tog stora steg mot dörren
埋怨	klaga	Klaga inte alltid på andra
慢性	kronisk	Kroniska sjukdomar kräver långvarig behandling
漫长	lång	De gick igenom en lång väntan
漫画	en serie	Den här serien är mycket populär bland unga
蔓延	sprida sig	Elden spred sig snabbt djupt in i skogen
忙碌	upptagen	Årets slut är företagets mest hektiska tid
盲目	blind	Investeringar bör inte blint följa trender
茫茫	vidsträckt	Båten försvann ute på det vidsträckta havet
茫然	förvirrad	Efter förklaringen såg han fortfarande förvirrad ut
冒充	utge sig för	Någon utgav sig för att vara polis för att lura till sig pengar
冒犯	förolämpa	Mina ord var inte avsedda att förolämpa dig
茂盛	frodig	Träden på gården växer frodigt
媒介	ett medium	Internet är ett viktigt informationsmedium
枚	ett styck	Han samlade på några minnesmynt
美观	estetiskt tilltalande	Den här designen är både praktisk och estetiskt tilltalande
美满	lycklig	De lever ett lyckligt och fullgott liv
美妙	underbar	Konserten gav en underbar upplevelse
萌芽	börja gro	En ny idé började gro
猛烈	våldsam	Stormen kom mycket våldsamt
眯	kisa	Solljuset var för starkt, så han kisade
弥补	gottgöra	En ursäkt kan inte helt gottgöra förlusten
弥漫	fylla luften	Blomdoften fyllde gården
谜语	en gåta	Barn tycker om att gissa gåtor
迷惑	förvirra	De komplexa uppgifterna gjorde honom förvirrad
迷人	charmig	Nattutsikten vid havet är mycket charmig
迷信	vidskepelse	Naturvetenskaplig utbildning kan minska vidskepelse
密度	densitet	Den här metallen har hög densitet
密封	försegla	Försegla påsen igen efter öppning
棉花	bomull	Bönderna plockar bomull
免得	för att undvika	Gå hemifrån tidigare för att undvika att komma sent
免疫	immunitet	Det här vaccinet kan förbättra immuniteten
勉励	uppmuntra	Läraren uppmuntrar ofta eleverna att fortsätta studera
勉强	motvilligt	Han gick motvilligt med på arrangemanget
面貌	utseende	Stadens utseende har förändrats kraftigt
面子	ansikte	Han ville inte tappa ansiktet inför andra
描绘	skildra	Romanen skildrar livet på landsbygden
瞄准	sikta	Skytten siktade på målet
渺小	liten	Människan verkar mycket liten inför naturen
藐视	se ner på	Vi får inte se ner på någon motståndare
灭亡	gå under	Den här dynastin gick till slut under
蔑视	förakt	Hans ton var full av förakt
民间	folklig	Folklig konst behöver skyddas
民主	demokrati	Mötet använde demokratisk omröstning
敏捷	smidig	Idrottarens rörelser är mycket smidiga
敏锐	skarp	Reportrar behöver skarp iakttagelseförmåga
名次	en placering	Hon fick en bra placering i tävlingen
名额	en kvot	Det här programmet har bara tio platser
名副其实	verklig	Han är en verklig expert
名誉	ett rykte	Den här saken skadade företagets rykte
明明	uppenbarligen	Han visste uppenbarligen svaret men vägrade säga det
明智	klok	Att skjuta upp beslutet var ett klokt val
命名	namnge	Forskarna namngav den nya arten
摸索	utforska	Gruppen utforskar fortfarande nya metoder
摩擦	friktion	Handelsfriktion uppstod mellan de två länderna
模范	en förebild	Han är en förebild för alla elever på skolan
模式	en modell	Den här affärsmodellen är mycket framgångsrik
模型	en modell	Ingenjören gjorde en bromodell
磨合	anpassa sig till varandra	Det nya teamet behöver tid för att anpassa sig till varandra
膜	ett membran	Det här membranet kan filtrera bort orenheter
魔鬼	en demon	Demonen i berättelsen är mycket listig
魔术	magi	Barn tycker om att titta på magiföreställningar
抹杀	utplåna	Hans bidrag kan inte utplånas
墨水儿	bläck	Bläcket i pennan är nästan slut
莫名其妙	oförklarlig	Hans reaktion gjorde folk förbryllade
默默	i tysthet	Hon hjälpte många människor i tysthet
谋求	söka	Företaget söker nya utvecklingsmöjligheter
模样	utseende	Hans utseende har förändrats mycket nu
母语	ett modersmål	Barn lär sig sitt modersmål från tidig ålder
沐浴	bada i	Morgonens by badade i solljus
目睹	bevittna	Många människor bevittnade olyckan
目光	blick	Allas blickar var riktade mot scenen
拿手	vara bra på	Bräserad fisk är hans specialrätt
纳闷儿	undra	Jag undrade hela tiden varför han var sen
耐用	hållbar	Det här paret skor är mycket hållbart
南辕北辙	gå emot målet	Hans tillvägagångssätt går emot målet
难得	sällsynt	Det här är ett sällsynt tillfälle
难堪	generad	Den här frågan gjorde honom mycket generad
难能可贵	särskilt lovvärd	Att förbli ärlig under press är särskilt lovvärt
恼火	irriterad	Utrustningen gick sönder igen och han blev mycket irriterad
内涵	innebörd	Det här ordet har rik kulturell innebörd
内幕	bakom kulisserna	Reportern försökte undersöka vad som hände bakom kulisserna
内在	inre	Han värdesätter en persons inre egenskaper mer
能量	energi	Den här frukosten ger mig mycket energi
拟定	utarbeta	Sekreteraren håller på att utarbeta mötesagendan
逆行	köra åt fel håll	Den bilen körde åt fel håll på en enkelriktad gata
年度	årlig	Företaget publicerade sin årsrapport
捏	nypa	Hon nöp försiktigt barnet i kinden
凝固	stelna	Efter avkylning stelnar vaxet långsamt
凝聚	samla	Ett gemensamt mål kan samla teamets styrka
凝视	blicka	Han blickade mot ljusen i fjärran
拧	nypa	Han nöp mig en gång med handen
宁肯	hellre	Hon misslyckas hellre än ger upp sina principer
宁愿	hellre	Jag går hellre än väntar på bussen
扭转	vända	Den nya politiken vände förlustsituationen
纽扣儿	en knapp	Skjortan tappade en knapp
农历	den kinesiska månkalendern	Vårfesten firas enligt den kinesiska månkalendern
浓厚	starkt intresse	Han har ett starkt intresse för historia
奴隶	en slav	Slaveri fanns i antika samhällen
挪	flytta	Flytta stolen lite åt sidan
虐待	misshandla	Lagen förbjuder misshandel av barn
哦	åh	Åh, nu förstår jag äntligen
殴打	misshandla	Polisen grep personen som misshandlade en förbipasserande
偶像	en idol	Hon ser den författaren som en idol
呕吐	kräkas	Han började kräkas efter att ha ätit dålig mat
趴	ligga på mage	Kattungen låg och sov på fönsterbrädan
徘徊	dröja kvar	Han dröjde kvar länge vid dörren
排斥	stöta bort	Det nya materialet stöter bort fukt
排除	utesluta	Läkaren uteslöt först allvarlig sjukdom
排放	utsläpp	Fabriker måste minska avgasutsläpp
排练	repetera	Skådespelarna repeterar ett nytt program
派别	en fraktion	Det finns olika fraktioner inom organisationen
派遣	skicka	Företaget skickade ingenjörer till platsen
攀登	bestiga	De planerar att bestiga det snötäckta berget i morgon
盘旋	cirkla	Flygplanet cirklade ovanför flygplatsen
判决	en dom	Domstolen meddelade domen i dag
畔	vid stranden	Barnen promenerade vid sjöstranden
庞大	enorm	Det här projektet kräver enorm finansiering
抛弃	överge	Han vill inte överge sin dröm
泡沫	skum	Det finns mycket vitt skum i koppen
培育	odla	Skolan arbetar hårt för att odla elevernas ansvarskänsla
配备	utrustad	Den nya bilen är utrustad med ett säkerhetssystem
配偶	en make eller maka	Ansökningsblanketten kräver uppgifter om make eller maka
配套	kompletterande	Området har fullständiga kompletterande faciliteter
盆地	en bassäng	Den här bassängen är mycket het på sommaren
烹饪	matlagning	Matlagning kräver tålamod och erfarenhet
捧	hålla i båda händerna	Hon höll en bukett blommor i båda händerna
劈	klyva	Arbetaren klöv ved med en yxa
批发	grossistförsäljning	Den här butiken säljer främst frukt i grossistledet
批判	kritisera	Artikeln kritiserade den här felaktiga uppfattningen
疲惫	utmattad	Alla var utmattade efter den långa resan
疲倦	trött	Oavbrutet arbete gjorde honom trött
皮革	läder	Den här väskan är gjord av läder
屁股	rumpa	Barnets rumpa gjorde ont efter fallet
譬如	till exempel	Till exempel kan vi först göra ett litet test
偏差	en avvikelse	Det finns en tydlig avvikelse i experimentresultaten
偏见	fördom	Vi bör undvika etniska fördomar
偏僻	avlägsen	Den här byn ligger mycket avlägset
偏偏	just då	Ju mer stressad jag var, desto långsammare gick bilen just då
片断	ett fragment	Det finns flera fina fragment i filmen
片刻	en stund	Vänta här på mig en stund
漂浮	flyta	Fallna löv flöt på vattnet
飘扬	vaja	Nationalflaggan vajade i vinden
撇	lägga åt sidan	Han lade den gamla planen åt sidan
拼搏	kämpa	Unga människor bör kämpa för sina ideal
拼命	med all kraft	Han jagade laget framför med all kraft
贫乏	fattig	Artikelns innehåll är ganska fattigt
贫困	fattig	Regeringen hjälper fattiga familjer
频繁	frekvent	Trafikolyckor har varit frekventa här på sistone
频率	en frekvens	Det här ljudet har hög frekvens
品尝	smaka	Gästerna smakar på lokal mat
品德	moralisk karaktär	Skolan värdesätter elevernas moraliska fostran
品质	kvalitet	Företagets produktkvalitet är stabil
品种	en sort	Det finns många sorters frukt på marknaden
屏幕	en skärm	Sänk skärmens ljusstyrka
屏障	en barriär	Skogen är en viktig barriär mot vinden
平凡	vanlig	Han arbetade i många år på en vanlig tjänst
平面	ett plan	Designern ritade husets planritning
平坦	jämn	Den här vägen är mycket jämn
平行	parallell	De två linjerna är parallella med varandra
平庸	medioker	Han nöjer sig inte med att leva ett mediokert liv
平原	en slätt	Tåget passerade över en vidsträckt slätt
评估	utvärdera	Experter utvärderar projektets risker
评论	kommentera	Läsare kan kommentera under artikeln
坡	en sluttning	Bilen körde långsamt uppför sluttningen
泼	stänka	Stänk inte vatten på golvet
颇	ganska	Det här resultatet är ganska oväntat
破例	göra ett undantag	Chefen gjorde ett undantag och godkände hans ansökan
迫不及待	inte kunna vänta	Barnen kunde inte vänta med att öppna presenterna
迫害	förfölja	Många människor har förföljts i historien
魄力	handlingskraft	Ledare behöver handlingskraft för att fatta beslut
扑	kasta sig	Barnet kastade sig plötsligt i mammans famn
铺	lägga	Arbetarna lägger en ny matta
普及	bli allmänt spridd	Internet har redan blivit allmänt spritt i städer
朴实	enkel	Hans språk är enkelt och uppriktigt
朴素	enkelt	Hon tycker om ett enkelt sätt att leva
瀑布	ett vattenfall	Turisterna stod vid vattenfallet och fotograferade
凄凉	öde	Bergsbyn såg mycket öde ut på vintern
期望	förväntan	Föräldrar har höga förväntningar på sina barn
期限	en tidsfrist	Sista anmälningsdag är nu på fredag
欺负	mobba	Äldre barn bör inte mobba yngre barn
欺骗	lura	Den falska reklamen lurade konsumenterna
奇妙	underbar	Naturen har många underbara fenomen
旗袍	en qipao	Hon bar en röd qipao på kvällsfesten
旗帜	en flagga	Färgstarka flaggor vajade på torget
歧视	diskriminering	Lagen förbjuder alla former av diskriminering
齐全	komplett	Den här butiken har ett komplett urval av verktyg
齐心协力	arbeta tillsammans	Alla arbetade tillsammans för att slutföra uppgiften
乞丐	en tiggare	En gammal tiggare satt vid vägkanten
企图	försöka	Han försökte dölja den verkliga situationen
启程	ge sig av	Delegationen ger sig av tidigt i morgon bitti
启蒙	grundläggande undervisning	Den här boken passar för barns första läsning
启事	ett anslag	Det satt ett rekryteringsanslag vid skolporten
启示	en lärdom	Det här misslyckandet gav oss en viktig lärdom
岂有此理	absurt	Den här avgiften är verkligen absurd
起草	utarbeta	Advokaten håller på att utarbeta kontraktet
起初	i början	I början trodde han inte på nyheten
起伏	stiga och falla	Bergsvägen stiger och faller med terrängen
起哄	störa	Elever ska inte störa på lektionen
起码	åtminstone	Du borde åtminstone meddela mig i förväg
起源	ha sitt ursprung	Den här högtiden har sitt ursprung i antiken
器材	utrustning	Laboratoriet behöver ny undervisningsutrustning
器官	ett organ	Hjärtat är ett viktigt organ i människokroppen
气概	hjälteanda	Den här dikten visar hjälteanda
气功	qigongövningar	Farfar gör qigongövningar varje morgon
气魄	imponerande stil	Den här bron har en imponerande stil
气色	ansiktsfärg	Efter vilan såg hans ansiktsfärg mycket bättre ut
气势	driv	Laget hade starkt driv från början
气味	en lukt	Det luktade rostat bröd i köket
气象	väder	Vädret på högplatån förändras snabbt
气压	lufttryck	Sjunkande lufttryck kan ge regn
气质	temperament	Hon har ett lugnt temperament
迄今为止	hittills	Hittills har experimentet gått smidigt
掐	plocka	Hon plockade en liten blomma
恰当	lämplig	Ditt svar är mycket lämpligt
恰到好处	precis lagom	Rättens sötma är precis lagom
恰巧	råka	Det råkade regna när jag kom till stationen
洽谈	förhandla	De två sidorna förhandlar om detaljerna i samarbetet
千方百计	med alla medel	De försökte med alla medel hitta en lösning
牵	hålla i handen	Mamman höll barnet i handen när de gick över vägen
牵扯	beröra	Den här saken berör många avdelningar
牵制	hålla tillbaka	Motståndarens försvar höll tillbaka anfallet
签署	underteckna	De två företagen undertecknade ett avtal
谦逊	ödmjuk	Han förblev ödmjuk efter framgången
迁就	anpassa sig efter	Föräldrar kan inte alltid anpassa sig efter sina barn
迁徙	flytta	Flyttfåglar flyttar varje år med årstiderna
前景	utsikter	Den här branschen har goda utsikter
前提	en förutsättning	Förtroende är en förutsättning för samarbete
潜力	potential	Den här eleven har stor potential
潜水	dyka	De åkte till havet för att lära sig dyka
潜移默化	omärkligt påverka	Familjemiljön kan omärkligt påverka barn
谴责	fördöma	Det internationella samfundet fördömde våldet
抢劫	råna	Polisen grep den misstänkte som rånade banken
强制	tvinga	Den nya regeln tvingar förare att använda säkerhetsbälte
强迫	tvinga	Tvinga inte barn att göra saker de ogillar
抢救	rädda	Läkarna räddar den skadade arbetaren
桥梁	en bro	Språk är en bro för kulturellt utbyte
窍门	ett knep	Det finns några knep för att lära sig uttal
翘	höja	Han höjde ena foten på stolen
切实	praktisk	Vi behöver en praktisk och genomförbar plan
锲而不舍	uthålligt	Han studerade problemet uthålligt
亲密	nära	De har alltid haft en nära relation
亲热	varm	Den gamle hälsade varmt på gästerna
侵犯	kränka	Det här beteendet kränkte personlig integritet
侵略	invasion	Folket motsätter sig alla former av invasion
钦佩	beundra	Jag beundrar hennes mod mycket
勤俭	flitig och sparsam	Farmor skötte hemmet flitigt och sparsamt hela livet
勤劳	flitig	Flitiga människor kan alltid skapa möjligheter
倾听	lyssna uppmärksamt	Läraren lyssnade uppmärksamt på elevernas åsikter
倾向	tendera	Unga konsumenter tenderar att handla på nätet
倾斜	luta	Efter det kraftiga regnet började väggen luta
清澈	klar	Bäcken i bergen är mycket klar
清晨	tidig morgon	Luften tidigt på morgonen är särskilt frisk
清除	rensa bort	Arbetarna rensade bort snön från vägen
清洁	ren	Sjukhus måste hålla miljön ren
清理	rensa	Vi rensade lagret under helgen
清晰	tydlig	Det här fotot är mycket tydligt
清醒	pigg	Efter kaffet blev han mycket piggare
清真	halal	Det finns en halalrestaurang i närheten
情报	underrättelse	Reportern fick viktig underrättelseinformation
情节	intrig	Romanens intrig är mycket spänd
情理	förnuft	Hans krav är oförnuftigt
情形	situation	Situationen på platsen var mer komplicerad än väntat
晴朗	klar	Himlen är särskilt klar i dag
请柬	en inbjudan	De skickade bröllopsinbjudningar till släkt och vänner
请教	rådfråga	Jag vill rådfråga dig om en fråga
请示	be om instruktioner	Den här saken måste först tas upp med chefen för instruktioner
请帖	en inbjudan	Det låg en födelsedagsinbjudan på bordet
丘陵	kullar	Det här området har många kullar
区分	skilja	Barnet kan redan skilja på vänster och höger
区域	ett område	Parkering är förbjuden i det här området
屈服	ge efter	Han gav inte efter för pressen
曲折	komplicerad	De gick igenom komplicerade förhandlingar
驱逐	driva bort	Polisen drev bort bråkmakarna
渠道	en kanal	Företaget säljer produkter genom en ny kanal
取缔	förbjuda	Regeringen förbjöd den illegala marknaden
曲子	en melodi	Den här melodin är vacker
趣味	intresse	Det här spelet är mycket intressant
圈套	en fälla	Han föll nästan i bedragarens fälla
全局	helheten	Ledare måste tänka på helhetens intressen
全力以赴	göra allt	Vi kommer att göra allt för att slutföra uppgiften
拳头	en knytnäve	Han knöt näven och förberedde sig för matchen
权衡	väga	Vi behöver väga kostnad mot effekt
权威	en auktoritet	Den här professorn är en auktoritet inom området
犬	en hund	Den här sortens hund passar för att vakta ett hem
缺口	en lucka	Det finns en liten lucka i väggen
缺席	frånvaro	Han var frånvarande från mötet på grund av sjukdom
缺陷	en brist	Den här designen har en tydlig brist
瘸	halt	Hans vänstra ben är lite halt
确保	säkerställa	Kontrollera att dörren verkligen är låst
确立	etablera	Företaget etablerade nya utvecklingsmål
确切	exakt	Jag vet inte den exakta tiden
确信	vara säker	Jag är säker på att han kommer i tid
群众	allmänheten	Allmänheten stöder den nya politiken
染	färga	Hon färgade håret svart
嚷	skrika	Skrik inte högt i korridoren
让步	en eftergift	Båda sidor gjorde några eftergifter
饶恕	förlåta	Hon valde till slut att förlåta den andra personen
扰乱	störa	Bullret störde ordningen i klassrummet
惹祸	ställa till problem	Oförsiktiga skämt kan lätt ställa till problem
热泪盈眶	få tårar i ögonen	När hon hörde de goda nyheterna fick hon tårar i ögonen
热门	populär	Artificiell intelligens är ett populärt ämne
人道	humanitär	Räddningsinsatsen visade humanitär anda
人格	personlig värdighet	Att förolämpa andra skadar deras personliga värdighet
人工	konstgjord	Den här floden grävdes konstgjort
人家	andra	Jämför dig inte alltid med andra
人间	människovärlden	Våren fyller människovärlden med livskraft
人士	personer	Personer från olika kretsar deltog i samtalet
人为	mänsklig	Olyckan orsakades av mänskliga faktorer
人性	mänsklig natur	Den här filmen diskuterar mänsklig natur
