simplified	IS	example_IS
急功近利	leita skjóts ávinnings	Í rannsóknum má ekki leita skjóts ávinnings.
急剧	snöggur	Salan féll snögglega.
急切	ákafur	Hún beið fréttanna ákaflega.
急于求成	óþolinmóður eftir árangri	Í tungumálanámi má maður ekki vera óþolinmóður eftir árangri.
急躁	óþolinmóður	Vertu ekki óþolinmóður þegar þú lendir í erfiðleikum.
极端	öfgakenndur	Slíkt öfgaveður verður sífellt algengara.
极限	takmörk	Þessi æfing reyndi á takmörk hans.
疾病	sjúkdómur	Góðar venjur geta komið í veg fyrir sjúkdóma.
籍贯	upprunastaður	Á eyðublaðinu þarf að fylla inn upprunastað.
级别	stig	Keppninni er skipt í þrjú stig.
集团	samsteypa	Þessi samsteypa á útibú erlendis.
给予	veita	Skólinn veitir fátækum nemendum hjálp.
季军	þriðja sæti	Hann náði þriðja sæti í keppninni.
季度	ársfjórðungur	Fyrirtækið birtir fjárhagsskýrslu á hverjum ársfjórðungi.
寂静	kyrr	Náttúrulegi dalurinn var sérstaklega kyrr um nóttina.
寄托	binda vonir við	Hún bindur vonir sínar við barnið.
忌讳	tabú	Heimamenn forðast að tala um þetta við matarborðið.
技巧	tækni	Að ná tökum á tækni getur aukið skilvirkni.
纪要	fundargerð	Ritarinn tók saman fundargerðina.
继承	erfa	Hann erfði starf föður síns.
计较	gera veður út af	Ekki gera veður út af svona smámáli.
记性	minni	Hann hefur mjög gott minni.
记载	skrá	Sögubækur skráðu þetta stríð.
迹象	merki	Enn eru engin merki um bata.
佳肴	ljúffengur matur	Borðið var fullt af ljúffengum mat.
加工	vinnsla	Þessi hráefni þurfa frekari vinnslu.
加剧	versna	Ágreiningurinn er að versna.
夹杂	blandast	Þrumuhljóð blandaðist regnhljóðinu.
家常	heimilislegur	Ég hef gaman af heimilislegum réttum.
家伙	gaur	Þessi gaur er alltaf seinn.
家属	fjölskylda	Læknirinn lét fjölskyldu sjúklingsins vita.
家喻户晓	vel þekktur	Þessi saga er vel þekkt á hverju heimili.
坚定	staðfastur	Afstaða hennar er mjög staðföst.
坚固	sterkur	Þessi brú er mjög sterk.
坚韧	seigur	Hann hefur seigan persónuleika.
坚实	traustur	Þessi rannsókn hefur traustan grunn.
坚硬	harður	Þessi steinn er mjög harður.
尖端	fremstur	Fyrirtækið fjárfestir í fremstu tækni.
尖锐	beittur	Þetta vandamál er mjög beitt.
煎	steikja	Kokkurinn er að steikja fisk.
监督	eftirlit	Almennt eftirlit hjálpar til við að bæta vinnuna.
监视	fylgjast með	Lögreglan fylgist með hinum grunaða.
监狱	fangelsi	Hann afplánar dóm í fangelsi.
艰难	erfiður	Upphaf fyrirtækisreksturs var mjög erfitt.
剪彩	klippa borða	Borgarstjórinn klippti borða fyrir nýja bókasafnið.
拣	velja úr	Hún valdi nokkur epli úr körfunni.
检讨	fara yfir	Hann fór alvarlega yfir eigin mistök.
检验	prófa	Tilraun getur prófað þessa tilgátu.
简化	einfalda	Vinsamlegast einfaldaðu ferlið enn frekar.
简陋	fábrotinn	Þau bjuggu í fábrotinni litlu kofabyggingu.
简体字	einfölduð kínversk tákn	Þessi kennslubók notar einfölduð kínversk tákn.
简要	stuttur	Vinsamlegast útskýrðu skoðun þína stuttlega.
健全	bæta	Fyrirtækið þarf að bæta stjórnunarkerfið.
剑	sverð	Á veggnum hékk fornt sverð.
溅	skvettast	Regnvatn skvettist á buxurnar hans.
舰艇	herskip	Nokkur herskip tóku þátt í æfingunni.
见多识广	reyndur og fróður	Þessi gamli maður er reyndur og fróður.
见解	innsýn	Hann hefur sérstaka innsýn í þetta mál.
见闻	reynsla og þekking	Ferðalög juku reynslu hans og þekkingu.
见义勇为	sýna hugrekki í réttlátu máli	Hann fékk hrós fyrir að sýna hugrekki í réttlátu máli.
践踏	traðka	Ekki traðka á grasflötinni.
鉴别	greina	Sérfræðingar geta greint hvort málverkið er ósvikið.
鉴定	meta	Lögreglan er að meta fingraförin.
鉴于	í ljósi	Í ljósi slæms veðurs var viðburðinum frestað.
间谍	njósnari	Þessi mynd segir sögu um njósnara.
间隔	bil	Bil milli fundanna tveggja er ein vika.
间接	óbeinn	Þessi stefna hefur óbein áhrif.
僵硬	stífur	Bros hans virtist mjög stíft.
将军	hershöfðingi	Hershöfðinginn gaf skipunina.
将近	næstum	Verkefnið stóð í næstum tvö ár.
将就	láta sér nægja	Aðstæður eru slæmar, svo við verðum að láta okkur þetta nægja.
奖励	verðlauna	Skólinn verðlaunaði framúrskarandi nemendur.
奖赏	umbun	Konungurinn gaf kappanum ríflega umbun.
桨	ár	Bátsmaðurinn notaði árina til að róa bátnum að ströndinni.
降临	falla	Nóttin féll smám saman yfir borgina.
交叉	skerast	Vegirnir tveir skerast hér.
交代	útskýra	Vinsamlegast útskýrðu verkefnið skýrt.
交涉	semja	Aðilarnir tveir eru að semja um bætur.
交易	viðskipti	Þessum viðskiptum er þegar lokið.
娇气	viðkvæmur	Vertu ekki svona viðkvæmur, veðrið er ekki kalt.
焦点	áhersla	Atvinnumál urðu áhersla umræðunnar.
焦急	kvíðinn	Móðirin beið kvíðin eftir að barnið kæmi heim.
侥幸	fyrir heppni	Hann slapp frá slysinu fyrir heppni.
搅拌	hræra	Vinsamlegast hrærðu deigið jafnt.
缴纳	greiða	Íbúar þurfa að greiða vatnsgjaldið á réttum tíma.
角落	horn	Kötturinn faldi sig í horni herbergisins.
教养	uppeldi	Gott uppeldi kemur fram í smáatriðunum.
较量	keppa	Sterku liðin tvö fara brátt að keppa.
接连	hver á fætur öðrum	Hann fékk þrjá tölvupósta hvern á fætur öðrum.
揭露	afhjúpa	Blaðamaðurinn afhjúpaði vandamál í matvælaöryggi.
皆	allir	Allir þekkja þessar reglur.
阶层	stétt	Mismunandi stéttir hafa mismunandi þarfir.
截止	ljúka	Skráningu lýkur síðdegis á morgun.
截至	fram til	Fram til dagsins í dag hafa tvö hundruð manns skráð sig.
杰出	framúrskarandi	Hún er framúrskarandi vísindamaður.
竭尽全力	gera sitt ýtrasta	Við munum gera okkar ýtrasta til að ljúka verkefninu.
结晶	ávöxtur	Þessi árangur er ávöxtur margra ára vinnu.
结局	endir	Endir sögunnar kom á óvart.
结算	gera upp	Viðskiptavinurinn bað um að gjöldin yrðu gerð upp í lok mánaðar.
节制	hóf	Maður þarf að sýna hóf í mat og drykk.
节奏	taktur	Þetta lag hefur hraðan takt.
解除	aflétta	Fyrirtækið aflétti öryggisviðvöruninni.
解放	frelsa	Umbæturnar leystu framleiðsluöflin úr læðingi.
解雇	segja upp	Yfirmaðurinn ákvað að segja þessum starfsmanni upp.
解剖	líffærafræði	Læknanemar eru að læra líffærafræði.
解散	leysast upp	Eftir fundinn leystist hópurinn upp.
解体	sundrast	Bandalagið sundraðist að lokum.
借鉴	læra af	Við getum lært af reynslu erlendis.
借助	með hjálp	Hann fann leiðina með hjálp kortsins.
戒备	viðbúnaður	Landamærasvæðið er áfram í miklum viðbúnaði.
界限	mörk	Vinna og líf þurfa skýr mörk.
津津有味	af miklum áhuga	Börnin hlustuðu á söguna af miklum áhuga.
金融	fjármál	Fjármálamarkaðurinn sveiflaðist mikið í dag.
紧迫	brýnn	Tíminn er brýnn og við verðum að bregðast strax við.
锦上添花	rúsínan í pylsuendanum	Þessi gjöf var sannarlega rúsínan í pylsuendanum.
晋升	fá stöðuhækkun	Hann fékk stöðuhækkun í deildarstjóra í fyrra.
浸泡	leggja í bleyti	Baunirnar þurfa að liggja í bleyti yfir nótt.
近来	undanfarið	Veðrið hefur breyst mikið undanfarið.
进而	síðan	Fyrst þarf að skilja þarfirnar og síðan móta áætlun.
进攻	sókn	Liðið efldi sóknina í seinni hálfleik.
进化	þróun	Lífverur þróast með umhverfinu.
进展	framvinda	Verkefnið gengur nú vel.
兢兢业业	samviskusamur	Hann vann samviskusamlega í þrjátíu ár.
惊动	gera viðvart	Hávær hvellur gerði íbúana í nágrenninu viðvart.
惊奇	undrun	Börnin horfðu á töfrasýninguna með undrun.
惊讶	hissa	Svar hans gerði mig mjög hissa.
精打细算	fara sparlega með	Hún fer alltaf sparlega með heimilisútgjöldin.
精华	kjarni	Þessi grein dregur saman kjarna kenningarinnar.
精简	straumlínulaga	Fyrirtækið ákvað að straumlínulaga stjórnendahópinn.
精密	nákvæmur	Þetta tæki er mjög nákvæmt.
精确	nákvæmur	Gögnin verða að vera nákvæm niður í tvo aukastafi.
精通	hafa gott vald á	Hann hefur gott vald á þremur erlendum tungumálum.
精心	af mikilli umhyggju	Móðirin undirbjó kvöldmatinn af mikilli umhyggju.
精益求精	leitast stöðugt við að bæta	Framúrskarandi handverksmenn leitast stöðugt við að bæta sig.
精致	fágaður	Gjöfin var mjög fágað innpökkuð.
经费	fjármagn	Rannsóknarfjármagnið hefur þegar verið samþykkt.
经纬	lengdar- og breiddarlínur	Kortið sýnir lengdar- og breiddarlínur.
茎	stilkur	Stilkur plöntunnar styður laufin.
井	brunnur	Við inngang þorpsins er gamall brunnur.
警告	vara við	Kennarinn varaði nemendur við að svindla.
警惕	vera á varðbergi	Við þurfum að vera á varðbergi gagnvart netsvikum.
颈椎	hálshryggur	Að horfa lengi niður getur skaðað hálshrygginn.
境界	stig	Málverk hans náði nýju stigi.
敬礼	heilsa	Hermaðurinn heilsaði fánanum.
敬业	samviskusamur í starfi	Hún vinnur af alvöru og er mjög samviskusöm í starfi.
竞赛	keppni	Skólinn hélt stærðfræðikeppni.
竞选	bjóða sig fram	Hann undirbýr sig fyrir að bjóða sig fram til borgarstjóra.
镜头	linsa	Ljósmyndarinn stillti linsuna.
纠纷	deila	Aðilarnir tveir leystu deiluna með sáttamiðlun.
纠正	leiðrétta	Kennarinn leiðrétti framburðarmistök strax.
酒精	alkóhól	Læknirinn sótthreinsaði sárið með alkóhóli.
就近	nálægur	Nemendur geta farið í nálægan skóla.
就业	atvinna	Ríkisstjórnin kynnti stefnu til að efla atvinnu.
就职	taka við starfi	Nýi framkvæmdastjórinn tekur formlega við starfi í næstu viku.
救济	neyðaraðstoð	Fórnarlömb hamfaranna fengu tímanlega neyðaraðstoð.
居民	íbúi	Íbúar í nágrenninu mótmæla hávaðamengun.
居住	búa	Þau hafa búið hér í tíu ár.
拘留	halda í gæslu	Lögreglan hélt hinum grunaða í gæslu samkvæmt lögum.
拘束	stífur	Með vinum þarf maður ekki að vera stífur.
鞠躬	hneigja sig	Leikarinn hneigði sig fyrir áhorfendum til þakklætis.
局部	staðbundinn	Læknirinn notaði aðeins staðbundna deyfingu.
局面	staða	Samningaviðræðurnar bættu spennuþrungna stöðuna.
局势	ástand	Alþjóðlegt ástand er enn flókið.
局限	takmörkun	Þessi aðferð hefur augljósar takmarkanir.
举动	athöfn	Athöfn hans hreif alla.
举世瞩目	vakja heimsathygli	Verkefnið náði árangri sem vakti heimsathygli.
举足轻重	mjög áhrifamikill	Þetta fyrirtæki er mjög áhrifamikið í greininni.
咀嚼	tyggja	Maður ætti að tyggja hægt þegar maður borðar.
沮丧	vonsvikinn	Hann var mjög vonsvikinn eftir tapið.
剧本	handrit	Leikstjórinn er að endurskoða handritið.
剧烈	kröftugur	Jörðin skalf kröftuglega.
据悉	samkvæmt fregnum	Samkvæmt fregnum verður fundinum frestað til næstu viku.
聚精会神	einbeita sér	Börnin einbeittu sér að kennslustundinni.
卷	rúlla upp	Hann rúllaði kortinu upp og setti það í töskuna.
倔强	þrjóskur	Þetta barn er mjög þrjóskt að eðlisfari.
决策	ákvörðun	Stjórnendur ræða mikilvæga ákvörðun.
绝望	örvænting	Eftir mistökin fann hann um tíma fyrir örvæntingu.
觉悟	vitund	Þessi reynsla jók vitund hans.
觉醒	vakna	Umhverfisvitund almennings er að vakna.
军队	her	Herinn kom fljótt á hamfarasvæðið.
君子	göfugur maður	Göfugur maður ætti að láta orð og gerðir fara saman.
卡通	teiknimynd	Barnið hefur gaman af að horfa á teiknimyndir.
开采	náma	Þetta fyrirtæki sér um að vinna steinefni úr námum.
开除	reka	Skólinn ákvað að reka nemandann sem svindlaði.
开阔	víður	Útsýnið er mjög vítt af fjallstoppnum.
开朗	líflegur	Hún er lífleg að eðlisfari og á marga vini.
开明	opinn	Foreldrarnir hafa mjög opið viðhorf.
开辟	opna	Borgin opnaði nýja strætisvagnaleið.
开拓	ryðja sér leið	Fyrirtækið hyggst ryðja sér leið inn á erlenda markaði.
开展	hrinda af stað	Skólinn hrinti af stað öryggisfræðslu.
开支	útgjöld	Mánaðarleg útgjöld fjölskyldunnar jukust.
刊登	birta	Dagblaðið birti grein hans.
刊物	tímarit	Þetta tímarit kemur út einu sinni í mánuði.
勘探	könnun	Verkfræðiteymið kannar grunnvatnsuppsprettur.
侃侃而谈	tala af öryggi	Hann talaði af öryggi og lengi á fundinum.
砍伐	höggva niður	Óheimilt er að höggva skóga niður að vild.
看待	líta á	Við eigum að líta hlutlægt á þetta mál.
慷慨	örlátur	Hann gaf verðlaunaféð örlátlega.
抗议	mótmæli	Íbúar mótmæltu byggingu nýrrar verksmiðju.
考察	kanna	Sérfræðingar fóru á staðinn til að kanna umhverfið.
考古	fornleifafræði	Fornleifateymið fann fornar grafir.
考核	meta	Fyrirtækið metur frammistöðu starfsmanna á hverju ári.
考验	reyna	Þessi kreppa reyndi á getu teymisins.
靠拢	færast nær	Liðsmennirnir færðust nær miðjunni.
磕	rekast á	Hann rakst óvart í borðhornið.
科目	námsgrein	Stærðfræði er uppáhaldsnámsgreinin hans.
可观	talsverður	Þessi fjárfesting skilaði talsverðum ávinningi.
可口	bragðgóður	Maturinn á þessum veitingastað er bragðgóður.
可恶	andstyggilegur	Svona svik eru sannarlega andstyggileg.
可行	framkvæmanlegur	Þessi áætlun er í grundvallaratriðum framkvæmanleg.
渴望	þrá	Börnin þrá fleiri tækifæri.
克制	hemja	Maður ætti að hemja tilfinningar sínar í deilu.
刻不容缓	þola enga bið	Verndun vatnsuppspretta þolir enga bið.
客户	viðskiptavinur	Viðskiptavinurinn er mjög ánægður með þjónustuna.
课题	viðfangsefni	Þetta viðfangsefni er þess virði að rannsaka ítarlega.
啃	naga	Barnið er að naga maískólf.
恳切	einlægur	Hann bað alla einlæglega um hjálp.
坑	hola	Það er djúp hola við veginn.
空洞	innihaldslaus	Þessi skýrsla er innihaldslaus.
空前绝后	einstakur	Þessi sýning má kallast einstök.
空想	dagdraumur	Að treysta aðeins á dagdrauma leysir ekki vandamál.
空虚	tómleiki	Eftir annríkið fann hann fyrir tómleika.
孔	gat	Það er lítið gat á veggnum.
恐怖	ógnvekjandi	Myndin hefur mjög ógnvekjandi andrúmsloft.
恐吓	ógna	Hinn aðilinn notaði hótanir til að ógna vitninu.
恐惧	ótti	Myrkrið vakti ótta hjá barninu.
空白	autt svæði	Vinsamlegast skrifaðu undir á auða svæðinu.
空隙	bil	Það er bil milli hurðarinnar og gólfsins.
口气	tónn	Tónninn í tali hans var mjög harður.
口腔	munnhol	Læknirinn skoðaði munnhol hans.
口头	munnlegur	Þau hafa aðeins munnlegt samkomulag.
口音	hreimur	Mandarín hans ber smá hreim.
扣	spenna	Vinsamlegast spenntu öryggisbeltið.
哭泣	gráta	Stúlkan faldi sig í horninu og grét.
枯萎	visna	Vatnsskortur olli því að blómin visnuðu.
枯燥	leiðinlegur	Þetta starf er dálítið leiðinlegt.
苦尽甘来	erfiðleikarnir víkja fyrir gleði	Eftir margra ára þrautseigju véku erfiðleikarnir loks fyrir gleði.
苦涩	beiskur	Þetta lækningate bragðast beiskt.
挎	bera á handlegg	Hún fór út með taupoka á handleggnum.
跨	stíga yfir	Hann steig yfir skurðinn og hélt áfram.
快活	glaður	Börnin léku sér glöð á grasinu.
宽敞	rúmgóður	Þessi kennslustofa er björt og rúmgóð.
宽容	umburðarlyndi	Samfélagið þarf meiri skilning og umburðarlyndi.
款待	taka vel á móti	Gestgjafinn tók hlýlega á móti gestunum.
款式	snið	Þessi flík er með mjög nýstárlegt snið.
筐	karfa	Hann bar körfu af eplum heim.
况且	auk þess	Vegurinn er langur og auk þess er að dimma.
旷课	skrópa	Nemendur sem skrópa án ástæðu verða skráðir.
框架	rammi	Fyrst þarf að ákveða ramma skýrslunnar.
矿产	jarðefni	Þetta svæði er ríkt af jarðefnaauðlindum.
亏待	koma illa fram við	Fyrirtækið kemur ekki illa fram við starfsmenn sem vinna af alvöru.
亏损	tap	Verksmiðjan varð fyrir alvarlegu tapi á þessu ári.
捆绑	binda	Vinsamlegast bindið þessa kassa tryggilega.
扩充	stækka	Skólinn hyggst stækka bókasafnskostinn.
扩散	breiðast út	Orðrómurinn breiddist hratt út á netinu.
扩张	útvíkka	Fyrirtækið er að útvíkka starfsemina varlega.
啦	setningarögn	Hafðu engar áhyggjur, allt mun lagast.
喇叭	flauta	Bílflautan hljómaði skyndilega.
蜡烛	kerti	Kerti voru sett á afmæliskökuna.
来历	uppruni	Uppruni þessa menningargrips er óljós.
来源	heimild	Fréttir verða að tilgreina heimild upplýsinga.
栏目	dagskrárliður	Þessi dagskrárliður er sýndur einu sinni í viku.
懒惰	leti	Leti getur haft áhrif á námsárangur.
狼狈	aumlegur	Eftir rigninguna var hann rennblautur og leit mjög aumlega út.
狼吞虎咽	gleypa í sig	Hann var sársvangur og gleypti matinn í sig.
捞	draga upp	Sjómaðurinn dró net upp úr ánni.
唠叨	nöldra	Móðirin nöldrar alltaf yfir smámunum.
牢固	traustur	Bygging brúarinnar er mjög traust.
牢骚	kvörtun	Hann er fullur af kvörtunum en vill ekki breyta sér.
乐趣	ánægja	Lestur veitir henni mikla ánægju.
乐意	vera fús	Ég er fús til að hjálpa þér að laga ferilskrána.
雷达	ratsjá	Ratsjáin greindi flugvél í fjarska.
类似	svipaður	Svipuð vandamál hafa komið upp áður.
冷酷	kaldur	Tónn hans hljómaði mjög kaldur.
冷落	vanrækja	Nýi starfsmaðurinn fannst hann vera vanræktur.
冷却	kólna	Vélin þarf að kólna áður en viðgerð hefst.
愣	frjósa	Hann fraus þegar hann heyrði fréttirnar.
黎明	dögun	Í dögun vaknaði borgin smám saman.
理睬	sinna	Hann var reiður og sinnti engum.
理所当然	sjálfsagður hlutur	Ekki líta á hjálp annarra sem sjálfsagðan hlut.
理直气壮	fullur sjálfstrausts	Með nægum sönnunargögnum talaði hann fullur sjálfstrausts.
理智	skynsemi	Þegar átök koma upp þarf að halda skynsemi.
礼节	siðareglur	Mismunandi menningarheimar hafa mismunandi siðareglur.
礼尚往来	endurgjalda kurteisi	Nágrannar leggja áherslu á að endurgjalda kurteisi.
里程碑	áfangi	Þessi árangur er áfangi í verkefninu.
例外	undantekning	Allir verða að mæta, án undantekninga.
利害	hagsmunir	Þetta varðar hagsmuni beggja aðila.
力求	leitast við	Við leitumst við að minnka villur eins mikið og hægt er.
力所能及	innan getu	Vinsamlegast gerðu það sem er innan getu þinnar.
力争	leggja sig fram	Teymið leggur sig fram um að ljúka verkefninu fyrr.
历代	fyrri kynslóðir	Fræðimenn fyrri kynslóða hafa rannsakað þetta mál.
历来	alla tíð	Þessi borg hefur alla tíð lagt áherslu á menntun.
立场	afstaða	Hann lýsti afstöðu sinni á fundinum.
立方	rúmmetri	Þessi vatnstankur tekur þrjá rúmmetra.
立交桥	mislæg gatnamót	Þessi mislægu gatnamót léttu á umferðarteppu.
立体	þrívíður	Þetta málverk hefur sterk þrívíddaráhrif.
立足	festa sig í sessi	Fyrirtæki þurfa að festa sig í sessi á heimamarkaði.
粒	korn	Nokkur hrísgrjónakorn eru á borðinu.
廉洁	heiðarlegur	Opinberir starfsmenn verða að vera heiðarlegir og óspilltir.
联欢	samkoma	Bekkjarfélagarnir héldu nýárssamkomu.
联络	hafa samband	Vinsamlegast hafðu samband við viðskiptavininn sem fyrst.
联盟	bandalag	Nokkur lönd stofnuðu viðskiptabandalag.
联想	minna á	Þessi mynd minnir mig á bernskuna.
连年	ár eftir ár	Þetta svæði hefur orðið fyrir flóðum ár eftir ár.
连锁	keðja	Þetta fyrirtæki rekur stórmarkaðskeðju.
连同	ásamt	Vinsamlegast sendu reikninginn ásamt samningnum.
良心	samviska	Maður ætti að lifa þannig að maður svíki ekki samvisku sína.
晾	þurrka í lofti	Hún hengdi fötin til þerris á svölunum.
谅解	skilningur	Ég vona að þú sýnir erfiðleikum okkar skilning.
辽阔	víðáttumikill	Sléttan er víðáttumikil og nær út fyrir sjónarrönd.
列举	telja upp	Kennarinn taldi upp þrjú dæmi.
临床	klínískur	Þetta lyf er í klínískum rannsóknum.
淋	blautna	Ekki blotna of lengi í rigningunni.
吝啬	nískur	Hann er aldrei nískur við vini sína.
伶俐	snjall	Þessi litla stúlka er snjöll og fljót að hugsa.
凌晨	aðfaranótt	Flugvélin fer í loftið klukkan þrjú aðfaranótt.
灵感	innblástur	Tónlistin gaf honum skapandi innblástur.
灵魂	sál	Frelsi er sál þessa verks.
灵敏	næmur	Þetta tæki bregst mjög næmt við.
零星	dreifður	Það sáust dreifð ljós á næturhimninum.
领会	skilja	Hann skildi fljótt hvað kennarinn átti við.
领事馆	ræðismannsskrifstofa	Hann fór á ræðismannsskrifstofuna til að sækja um vegabréfsáritun.
领土	landsvæði	Hvert land leggur áherslu á heilleika landsvæðis síns.
领悟	átta sig á	Eftir mistökin áttaði hann sig á ábyrgð.
领先	vera fremst	Tækni þeirra er nú fremst meðal keppinauta.
领袖	leiðtogi	Þessi leiðtogi nýtur mikillar virðingar fólksins.
溜	smjúga út	Hvolpurinn smaug út um rifu við dyrnar.
流浪	flakka	Hann flakkaði milli staða þegar hann var ungur.
流露	koma í ljós	Gleði kom í ljós á andliti hennar.
流氓	götufantur	Lögreglan náði nokkrum götuföntum.
流通	vera í umferð	Þessi gjaldmiðill var áður í umferð á svæðinu.
留恋	vera tregur til að fara	Við útskrift voru allir tregir til að yfirgefa háskólasvæðið.
留念	til minningar	Við tókum mynd við skólahliðið til minningar.
留神	gæta sín	Þú verður að gæta þín þegar þú ferð yfir götuna.
聋哑	heyrnarlaus og mállaus	Skólinn veitir heyrnarlausum og mállausum börnum aðstoð.
隆重	hátíðlegur	Ráðstefnan var haldin hátíðlega í samkomusalnum.
垄断	einokun	Einokun getur skaðað samkeppni á markaði.
笼罩	hylja	Þykk þoka huldi allt þorpið.
搂	faðma	Móðirin faðmaði barnið blíðlega.
炉灶	eldavél	Eldavélin í eldhúsinu þarf að þrífa.
轮船	skip	Skipið sigldi hægt úr höfninni.
轮廓	útlínur	Útlínur fjallanna í fjarska voru mjög skýrar.
轮胎	dekk	Skipta þarf um dekk bílsins.
论坛	vettvangur	Sérfræðingar héldu ræður á vettvanginum.
论证	rökstyðja	Skýrslan þarf að rökstyðja sjónarmiðið frekar.
啰唆	málalengingar	Hættu málalengingum og farðu beint að aðalatriðinu.
络绎不绝	óslitinn straumur	Ferðamenn komu í óslitnum straumi til fornu borgarinnar.
落成	ljúka framkvæmd	Nýja íþróttahúsið verður formlega fullgert á morgun.
落实	framkvæma	Fundurinn krafðist þess að nýja stefnan yrði framkvæmd fljótt.
屡次	ítrekað	Hann minnti alla ítrekað á að gæta öryggis.
履行	uppfylla	Báðir aðilar verða að uppfylla samningsskyldur sínar.
掠夺	ræna	Stríðið leiddi til rányrkju auðlinda.
嘛	setningarögn	Þetta mál er einfalt, auðvitað.
麻痹	kæruleysi	Langvarandi velgengni getur auðveldlega leitt til kæruleysis.
麻木	dofinn	Kuldinn gerði fingurna hans dofna.
麻醉	svæfing	Fyrir aðgerðina gaf læknirinn sjúklingnum svæfingu.
码头	bryggja	Flutningaskipið lagðist að bryggjunni.
蚂蚁	maur	Maurarnir eru að bera mat.
埋伏	launsát	Hermennirnir lágu í launsátri í dalnum.
埋没	falla í skuggann	Ekki láta hæfileikaríkt fólk falla í skuggann.
埋葬	jarða	Þorpsbúar jörðuðu gamla manninn í hlíðinni.
脉搏	púls	Hjúkrunarfræðingurinn er að mæla púlsinn hans.
迈	stíga	Hann tók stór skref í átt að dyrunum.
埋怨	kvarta yfir	Ekki kvarta alltaf yfir öðrum.
慢性	langvinnur	Langvinnir sjúkdómar þurfa langtímameðferð.
漫长	langur	Þau gengu í gegnum langa bið.
漫画	teiknimyndasaga	Þessi teiknimyndasaga er mjög vinsæl meðal ungs fólks.
蔓延	breiðast út	Eldurinn breiddist hratt út inn í skóginn.
忙碌	annasamur	Áramótin eru annasamasti tími fyrirtækisins.
盲目	blindur	Fjárfestingar ættu ekki að fylgja tískustraumum í blindni.
茫茫	víðáttumikill	Báturinn hvarf út á víðáttumikið hafið.
茫然	ráðvilltur	Eftir skýringuna var hann enn ráðvilltur á svip.
冒充	þykjast vera	Einhver þóttist vera lögreglumaður til að svíkja peninga út úr fólki.
冒犯	móðga	Orð mín voru ekki ætluð til að móðga þig.
茂盛	gróskumikill	Trén í garðinum vaxa mjög gróskumikil.
媒介	miðill	Netið er mikilvægur upplýsingamiðill.
枚	talningarorð	Hann safnaði nokkrum minningarmyntum.
美观	fallegur	Þessi hönnun er bæði hagnýt og falleg.
美满	hamingjusamur	Þau lifa hamingjusömu og innihaldsríku lífi.
美妙	dásamlegur	Tónleikarnir gáfu dásamlega upplifun.
萌芽	spíra	Ný hugmynd byrjaði að spíra.
猛烈	ofsafenginn	Stormurinn skall á af miklum ofsafengnum krafti.
眯	píra augun	Sólarljósið var of sterkt, svo hann píraði augun.
弥补	bæta upp	Afsökunarbeiðni getur ekki bætt tapið að fullu.
弥漫	fylla loftið	Blómailmur fyllti garðinn.
谜语	gáta	Börnum finnst gaman að ráða gátur.
迷惑	rugla	Flóknu gögnin rugluðu hann.
迷人	töfrandi	Nætursýnin við sjóinn er mjög töfrandi.
迷信	hjátrú	Vísindamenntun getur dregið úr hjátrú.
密度	eðlisþyngd	Þessi málmur hefur mikla eðlisþyngd.
密封	loka þétt	Eftir opnun skal loka pokanum aftur þétt.
棉花	bómull	Bændur eru að tína bómull.
免得	til að forðast	Farðu fyrr af stað til að forðast að koma of seint.
免疫	ónæmi	Þetta bóluefni getur aukið ónæmi.
勉励	hvetja	Kennarinn hvetur nemendur oft til að halda áfram að læra.
勉强	treglega	Hann samþykkti þetta fyrirkomulag treglega.
面貌	ásýnd	Ásýnd borgarinnar hefur breyst gríðarlega.
面子	andlit	Hann vildi ekki missa andlitið fyrir framan aðra.
描绘	lýsa	Skáldsagan lýsir sveitalífi.
瞄准	miða	Skyttan miðaði á skotmarkið.
渺小	smágerður	Maðurinn virðist mjög smár frammi fyrir náttúrunni.
藐视	vanmeta	Við megum ekki vanmeta neinn andstæðing.
灭亡	hrun	Þetta ríki stefndi að lokum í hrun.
蔑视	fyrirlitning	Tónn hans var fullur af fyrirlitningu.
民间	þjóðlegur	Þjóðleg list þarf vernd.
民主	lýðræði	Fundurinn notaði lýðræðislega atkvæðagreiðslu.
敏捷	lipur	Hreyfingar íþróttamannsins eru mjög liprar.
敏锐	skarpur	Blaðamenn þurfa skarpa athyglisgáfu.
名次	sæti	Hún náði góðu sæti í keppninni.
名额	pláss	Í þessu verkefni eru aðeins tíu pláss.
名副其实	í raun og veru	Hann er sérfræðingur í raun og veru.
名誉	orðspor	Þetta mál skaðaði orðspor fyrirtækisins.
明明	augljóslega	Hann vissi augljóslega svarið en vildi ekki segja það.
明智	skynsamur	Að fresta ákvörðuninni var skynsamlegt val.
命名	nefna	Vísindamenn nefndu nýju tegundina.
摸索	þreifa sig áfram	Teymið er enn að þreifa sig áfram með nýjar aðferðir.
摩擦	núningur	Það kom upp viðskiptanúningur milli landanna tveggja.
模范	fyrirmynd	Hann er fyrirmynd allra nemenda skólans.
模式	líkan	Þetta viðskiptalíkan er mjög árangursríkt.
模型	líkan	Verkfræðingurinn gerði líkan af brúnni.
磨合	samlagast	Nýja teymið þarf tíma til að samlagast.
膜	himna	Þessi himna getur síað óhreinindi.
